shouter,n. 高呼者；喊叫者
opera,n. 歌剧；歌剧院；歌剧团
summon,vt. 召唤；召集；鼓起；振作
needless,adj. 不必要的，不需要的；多余的，无用的
eminent,adj. 杰出的；有名的；明显的
vocalist,n. 歌手；声乐家
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
rave,"n. 咆哮；胡言乱语；热烈赞美
adj. 赞扬的
vt. 咆哮；语无伦次地说
vi. 咆哮；胡言乱语；狂骂"
suicidal,adj. 自杀的，自杀性的；自我毁灭的；自取灭亡的
darkly,adv. 黑暗地；模糊地；阴郁地；秘密地
Buddhist,"n. 佛教徒
adj. 佛教的"
Buddhist monk,找不到解释
grief,n. 悲痛；忧伤；不幸
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
stricken,adj. 患病的；受挫折的；受…侵袭的；遭殃的
grief-stricken,adj. 极度悲伤的
callous,"n. 硬皮；老茧
adj. 无情的；麻木的；硬结的；起老茧的
vt. 使冷酷无情；使硬结；使生茧
vi. 变得冷酷无情；结茧；变硬"
Roman,"n. 罗马人；古罗马语
adj. 罗马的；罗马人的"
emperor,n. 皇帝，君主
shudder,"n. 发抖；战栗；震动
vi. 发抖；战栗"
incapable,adj. 不能的；无能力的；不能胜任的
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
grovel,vi. 匍匐；卑躬屈膝；趴
benefactor,n. 恩人；捐助者；施主
mortally,adv. 致命地；非常
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
legal,adj. 法律的；合法的；法定的；依照法律的
rajah,n. 首长；王侯
prospective,"n. 预期；展望
adj. 未来的；预期的"
pressing,"n. 压；冲压件
v. 压；按；熨烫衣物（press的ing形式）
adj. 紧迫的；迫切的；恳切的"
unscrupulous,adj. 肆无忌惮的；寡廉鲜耻的；不讲道德的
endless,adj. 无止境的；连续的；环状的；漫无目的的
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
infidelity,n. 无信仰，不信神；背信
admirer,n. 爱慕者；赞赏者；钦佩者
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
liking,n. 嗜好，爱好
devotion,n. 献身，奉献；忠诚；热爱
artistic,adj. 艺术的；风雅的；有美感的
lessen,"vt. 使…变小；使…减轻；使…变少
vi. 减少；减轻；变小"
testimony,n.  证词，证言；证据
autobiography,n. 自传；自传文学
disagreeable,adj. 不愉快的；厌恶的；不为人喜的；难相处的；脾气坏的
stupendous,adj. 惊人的；巨大的
unquestionably,adv. 无可非议地；确凿地
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
musico-dramatic,adj. 音乐与戏剧的；音乐与戏剧结合的
masterpiece,n. 杰作；绝无仅有的人
heartache,n. 心痛；悲叹
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
loot,"n. 战利品；抢劫；掠夺品
vt. 抢劫，洗劫；强夺
vi. 洗劫，掠夺；抢劫"
trilogy,n. 三部曲；三部剧
faithless,adj. 不忠实的；无信的；无宗教信仰的
mistress,n. 情妇；女主人；主妇；女教师；女能人
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
downright,"adj. 明白的；直率的；显明的
adv. 完全，彻底；全然"
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
forgiveness,n. 宽恕；宽仁之心
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
shriek,"vt. 尖声发出
vi. 尖叫；促人注意
n. 尖声；尖锐的响声"
in relation to,"na. 关于…
 涉及；有关；与…相比"
in support of,"na. 支持；支援；拥护
 为了支持；以便支持；维护"
at sb.'s expense,找不到解释
needless to say,"na. 不用说
 不必说；更不用说；不待说"
out of sorts,"na. 觉得不舒服；情绪不好；没有精神；铅字不全
 身体不适；心情不佳；心绪不佳"
under obligation, 有义务；一定要
under obligation to do,找不到解释
good for,"un. 擅长；拿手的；精明的；非常拿手的
 有效；对…有好处；有支付…能力的"
lay one's hands on, 把…弄到手；获得；拥有
run up,"na. 抬高(市价等)；升(旗等)；造；增加(费用,债款等)
 短而低的近距离击球；向上跑；积欠"
on record, 记录在案的；记录在案；记录下来的
historian,n. 历史学家
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
rivalry,n. 竞争；对抗；竞赛
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
biography,n. 传记；档案；个人简介
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
resolution,n.  分辨率；决议；解决；决心
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
epoch,n.  世；新纪元；新时代；时间上的一点
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
permission,n. 允许，许可
detection,n. 侦查，探测；发觉，发现；察觉
hitherto,adv. 迄今；至今
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
controversy,n. 争论；论战；辩论
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
dine,"vi. 进餐，用餐
vt. 宴请"
parliament,n. 议会，国会
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
hypothesis,n. 假设
sentiment,n. 感情，情绪；情操；观点；多愁善感
ice-encased,找不到解释
hysterical,adj. 歇斯底里的；异常兴奋的
quiet,"n. 安静；和平
adj. 安静的；安定的；不动的；温顺的
vt. 使平息；安慰
vi. 平静下来"
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
subsequently,adv. 随后，其后；后来
hind,"n. 雌鹿
adj. 后部的"
follow-up,"n. 随访；跟进；后续行动
adj. 后续的；增补的"
dispatch,"n. 派遣；急件
vt. 派遣；分派"
disappearance,n. 消失；不见
rescue,"n. 营救；援救；解救
vt. 营救；援救"
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
defrost,"vt. 除霜
vi. 解冻"
unfair,adj. 不公平的，不公正的
luckless,adj. 不幸的，运气不好的
archvillain,找不到解释
unknown,"n. 未知数；未知的事物，默默无闻的人
adj. 未知的；陌生的，默默无闻的"
indisputably,adv. 无争论余地地
client,n.  客户；顾客；委托人
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
exorbitant,adj. （要价等）过高的；（性格等）过分的；不在法律范围之内的
storage,n. 存储；仓库；贮藏所
facility,n. 设施；设备；容易；灵巧
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
enterprise,n. 企业；事业；进取心；事业心
whimper,"n. 呜咽声；啜泣声；牢骚；怨声
vi. 呜咽；啜泣；低声抱怨
vt. 呜咽着说；啜泣着说"
fee,"n. 费用；酬金；小费
vt. 付费给……"
ironclad,"n. 装甲舰
adj. 装甲的；打不破的；坚固的"
mainstay,n. 支柱；中流砥柱；主要的依靠；主桅支索
loot,"n. 战利品；抢劫；掠夺品
vt. 抢劫，洗劫；强夺
vi. 洗劫，掠夺；抢劫"
admirable,adj. 令人钦佩的；极好的；值得赞扬的
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
hue and cry,"n. 叫嚷；噪杂声
 追捕犯人时的叫喊声；追捕犯人的喊声；呼声"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
shady,adj. 成荫的；阴暗的；名声不好的
anonymity,n. 匿名；匿名者；无名之辈
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
enforcement,n. 执行，实施；强制
enforce,vt. 实施，执行；强迫，强制
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
fugitive,"n. 逃亡者；难捕捉之物
adj. 逃亡的；无常的；易变的"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
bizarre,adj. 奇异的（指态度，容貌，款式等）
unparalleled,adj. 无比的；无双的；空前未有的
liquidate,"vt. 清算；偿付；消除
vi. 清算；清理债务"
empire,n. 帝国；帝王统治，君权
yacht,"n. 游艇，快艇；轻舟
vi. 乘游艇，驾游艇"
arduous,adj. 努力的；费力的；险峻的
goodly,adj. 漂亮的；优秀的；相当多的
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
pensioner,n. 领养老金者；领取抚恤金者
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
incredible,adj. 难以置信的，惊人的
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
inexhaustible,adj. 用不完的；不知疲倦的
insupportable,adj. 不能忍受的；忍耐不住的
marital,adj. 婚姻的；夫妇间的
confession,n. 忏悔，告解；供认；表白
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
incarcerate,"adj. 监禁的；禁闭的
vt. 监禁；下狱；禁闭"
unamiable,adj. 不和蔼的，不友好的
spouse,"n. 配偶
vt. 和…结婚"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
lifework,n. 毕生的事业；一生的工作
fanatically,adv. 盲信地；狂热地
meticulous,adj. 一丝不苟的；小心翼翼的；拘泥小节的
double-check,"n. 复核；第二次检查
vi. 仔细检查，进行复核
vt. 将…仔细检查，复核"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
greed,n. 贪婪，贪心
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
grievance,n. 不满，不平；委屈；冤情
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
tragic,adj. 悲剧的；悲痛的，不幸的
immature,adj. 不成熟的；未成熟的；粗糙的
frivolous,adj. 无聊的；轻佻的；琐碎的
darling,n. 心爱的人；亲爱的
foresee,vt. 预见；预知
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
sweetheart,"n. 爱人；心上人
vt. 向…求爱；与…恋爱
vi. 爱慕；恋爱
adj. 私下签订的；私下达成的"
accusation,n. 控告，指控；谴责
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
rumor,"n. 谣言；传闻
vt. 谣传；传说"
Congress,找不到解释
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
freezer,n. 冰箱；冷冻库；制冷工
mandatory,"adj. 强制的；托管的；命令的
n. 受托者（等于mandatary）"
penalty,n. 罚款，罚金；处罚
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
warehouse,n. 仓库；货栈；大商店
dehydrate,"vt. 使…脱水；使极其口渴；使丧失力量和兴趣等
vi. 脱水；去水"
in brief,"na. 简单地说
 简言之；简而言之；总之"
for one,"na. 至少；至少有一个
 举个例说；作为其中一个；举个例子说"
dry off,"n. 停奶；干奶
 弄干；擦干身体；变干"
stop dead in one's tracks,找不到解释
be bound up with,"na. 与…有密切联系；与…结合在一起；和…有密切关系
 与...有密切联系；与…有密切关系；相关"
first and last,"na. 总的说来
 总的来说；始终；总的看来"
put away,"v. 把…收起来；储存
 放好；把……收起来；收好"
die down,"na. 殉国
 平息；变弱；渐渐消失"
on the track of,"na. 跟踪追赶；没有出轨；未出岔子；话未离题
 追踪；紧追…不舍；掌握"
earn a living, 谋生；谋生或维持生活；赚钱谋生
make a living, 谋生；度日；维持生计
... at that,"adv. 而且
 就那样，就这样；在那时候；而且还是"
be caught in,"na. 遇(雨)；落入(陷阱,圈套)
 陷入；遇上；被困在"
to the point where,adv.到...的程度
play around,"v. 玩弄
 玩耍；吊儿郎当；胡闹"
settle down,"na. 定居；成家；移居；平静下来
 安下心来；安定下来；安顿下来"
take with a grain of salt,不全信；对…采取保留态度
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
obedient,adj. 顺从的，服从的；孝顺的
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
polish,找不到解释
rod,n. 棒；惩罚；枝条；权力
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
terrific,adj. 极好的；极其的，非常的；可怕的
wrench,"n. 扳手，扳钳；扭伤；痛苦；歪曲；猛扭
vt. 扭伤；猛扭；曲解；折磨
vi. 扭伤；猛扭；猛绞"
cynical,adj. 愤世嫉俗的；冷嘲的
diameter,n. 直径
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
respective,adj. 分别的，各自的
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
recital,n. 朗诵，吟诵；独奏会；背诵；独唱会
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
episode,n. 插曲；一段情节；插话；有趣的事件
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
axis,n. 轴；轴线；轴心国
velocity,n. 速度
envelop,"n. 信封；包裹
vt. 包围；包封；遮盖"
molecular,adj.  分子的；由分子组成的
neutralize,"vt. 抵销；使…中和；使…无效；使…中立
vi. 中和；中立化；变无效"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
equilibrium,n. 均衡；平静；保持平衡的能力
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
microscope,n. 显微镜
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
rusty,adj. 生锈的，腐蚀的；铁锈色的，锈色的；迟钝的
lining,n. 衬里；内层；衬套
inheritable,adj. 可继承的；会遗传的
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
worrier,n. 发愁的人；烦人事
glum,adj. 阴沉的；忧郁的
gene,n.  基因，遗传因子
reflower,v. 再开花，使再开花
all-purpose,adj. 通用的；多用途的
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
vogue,"n. 时尚；流行，时髦
adj. 时髦的，流行的"
fad,n. 时尚；一时的爱好；一时流行的狂热
celestial,"n. 神仙，天堂里的居民
adj. 天上的，天空的"
pop,abbr. 卖点广告（Point of Purchase）
ominously,adv. 恶兆地；不吉利地
ominous,adj. 预兆的；不吉利的
worrisome,adj. 令人烦恼的，令人不安的；麻烦的
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
inexorably,"adv. 不可逆转地，不可阻挡地
adv. 无情地；冷酷地"
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
riddled with, 布满
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
manageable,adj. 易管理的；易控制的；易办的
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
optimist,n. 乐观主义者；乐天派
inspiration,n. 灵感；鼓舞；吸气；妙计
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
brand-new,adj. 崭新的；最近获得的
quaint,adj. 古雅的；奇怪的；离奇有趣的；做得很精巧的
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
tidal,adj. 潮汐的；潮的，有关潮水的；定时涨落的
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
trump,"n. 王牌；法宝；喇叭
vt. 胜过；打出王牌赢
vi. 出王牌；吹喇叭"
inundation,n. 洪水；泛滥
overdue,adj. 过期的；迟到的；未兑的
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
immemorial,adj. 远古的，古老的；无法追忆的
cryogenically,"adv. cryogenic（低温的, 冷冻的）的变形"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
relocate,"n. 浮动
vt. 重新安置；迁移
vi. 重新安置；迁移新址"
self-cancelling,自相抵销(的)
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
rink,"n. 溜冰场，室内溜冰场；冰球场
vi. 溜冰"
dud,"n. 衣服； 哑弹；无用物
adj. 无用的"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
chinch bug,"un. 麦长蝽
 免遭玉米长蝽；麦虱；金吉拉虫"
menopause,n. 更年期；活动终止期
endorse,vt. 背书；认可；签署；赞同；在背面签名
suck up,"v. 吸收
 拍马屁；吸取；吸出"
but then,"na. 但是；但是另一方面
 不过；但另一方面；然而"
at hand,"na. 在手边；即将到来
 在附近；眼前；近在手边"
turn back,"na. 同“turn down ”
 折回；往回走；翻回到"
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
 敬仰；仰望；尊重"
get through,"na. 花光；了结；(使)通过(议案)；及格
 到达；度过；接通"
drop dead,"na. 暴死
 去死吧；倒毙；倒毙，倒地而死"
make room for,"na. 让地位给…
 给……腾出地方；腾出空间；给……腾地方"
ease off,"v. (痛苦)渐减；(索等)松弛；放松；放开(小船)
 减轻；缓和；缓和，减轻"
burn out,"na. 烧起来；烧光；烧尽；烧断
 烧掉；烧坏；熄灭"
play a part,"na. 扮演…角色；假装
 起作用；扮演角色；扮演一个角色"
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
fulfillment,n. 履行；实行
workmanship,n. 手艺，工艺；技巧
testify,"vi. 作证；证明
vt. 证明，证实；作证"
warfare,n. 战争；冲突
endanger,vt. 危及；使遭到危险
livelihood,n. 生计，生活；营生
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
clause,n. 条款； 子句
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
regime,n. 政权，政体；社会制度；管理体制
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
generalization,n. 概括；普遍化；一般化
generalize,"vi. 形成概念
vt. 概括；推广；使...一般化"
apprehensive,adj. 忧虑的；不安的；敏悟的；知晓的
apprehension,n. 理解；恐惧；逮捕；忧惧
literal,adj. 文字的；逐字的；无夸张的
unknowable,adj. 不可知的；不能知道的
puzzlement,n. 迷惑；费解
turbulence,n. 骚乱，动荡； 湍流；狂暴
subside,vi. 平息；减弱；沉淀；坐下
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
incomprehension,n. 不了解；缺乏理解
reconfirm,vt. 再确认；再证实
skepticism,n. 怀疑论；怀疑的态度
assertion,n. 断言，声明；主张，要求；坚持；认定
instability,n. 不稳定（性）；基础薄弱；不安定
admission,n. 承认；入场费；进入许可；坦白；录用
entomology,n. 昆虫学
incite,vt. 煽动；激励；刺激
termite,n.  白蚁
presence,n. 存在；出席；参加；风度；仪态
fecal,adj. 排泄物的；残渣的；糟粕的
pellet,"n. 小球； 小子弹（枪用）
vt. 将…制成丸状；用子弹打；用小球扔"
column,n. 纵队，列；专栏；圆柱，柱形物
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
termitarium,n. 白蚁窝; 螱巢
flawless,adj. 完美的；无瑕疵的；无裂缝的
air-conditioning,n. 空调系统；空气调节
humidity,n.  湿度；湿气
ecosystem,n. 生态系统
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
superorganism,n. 超个体（指群居昆虫等的群体）
reductionist,"n. 还原论者；简化论
adj. 简化（法）的；分解成简单部分的"
reduction,n. 减少；下降；缩小；还原反应
insect,n. 昆虫；卑鄙的人
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
unsolved,adj. 未解决的；未解答的
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
introduction,n. 介绍；引进；采用；入门；传入
ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
ambiguous,adj. 模糊不清的；引起歧义的
premedical,adj. 医学预科的
outset,n. 开始；开端
engross,vt. 使全神贯注；用大字体书写；正式写成（决议等）；独占；吸引
engrossing,"adj. 引人入胜的
v. 使全神贯注（engross的ing形式）"
adversary,n. 对手；敌手
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
Darwinian,"n. 进化论者；达尔文主义者
adj. 达尔文的；达尔文学说的"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
reluctance,n.  磁阻；勉强；不情愿
doctrinal,adj. 学说的，教义的；教诲的
doctrine,n. 主义；学说；教义；信条
readily,adv. 容易地；乐意地；无困难地
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
ethologist,n. 动物行为学家；（个体）生态学研究者
consciousness,n. 意识；知觉；觉悟；感觉
capitalize,"vi. 利用；积累资本
vt. 使资本化；以大写字母写；估计…的价值"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
chimpanzee,n.  黑猩猩
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
dolphin,n. 海豚
contingency,n. 偶然性； 意外事故；可能性； 意外开支；偶然式
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
sparse,adj. 稀疏的；稀少的
resultant,"n. 合力；结果； 生成物
adj. 结果的；合成的"
metaphor,n. 暗喻，隐喻；比喻说法
nonetheless,adv. 尽管如此，但是
genuine,adj. 真实的，真正的；诚恳的
unsettled,adj. 未决定的；怀疑的；未处理的；不整齐的
debatable,adj. 成问题的；可争论的；未决定的
biosphere,n. 生物圈
conjoin,"vi. 结合；连结
vt. 使结合；使联合"
coherence,n. 一致；连贯性；凝聚
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
emergence,n. 出现，浮现；发生；露头
hypothesis,n. 假设
totality,n.  全食；全体；总数
feedback,n. 反馈；成果，资料；回复
cybernetic,adj. 控制论的
optimal,adj. 最佳的；最理想的
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
postulate,"n. 基本条件；假定
vt. 假定；要求；视…为理所当然"
fume,"n. 烟；愤怒，烦恼
vt. 熏；冒烟；愤怒地说
vi. 冒烟；发怒"
faction,n. 派别；内讧；小集团；纪实小说
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
decry,vt. 责难，谴责；诽谤
heresy,n. 异端；异端邪说；异教
sociobiologist,n. 社会生物学家
antisociobiologist,找不到解释
behold,"vt. 看；注视；把...视为
vi. 看
int. 瞧；看呀"
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
imaginative,adj. 富于想象的；有创造力的
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
move ahead, 1。进行; 2。进展; 3。前进
plug away, 不停地工作；拼命地干；苦干
at close quarters,"na. 短兵相接；接近；在仔细观察之下
 非常接近；逼近；接近地"
out of fashion,"adj. 过时
 不流行；不合时尚；过时的"
