affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
beleaguered,"v. 围攻（beleaguer的过去式和过去分词）
adj. 围困的；包围的"
communication,n. 通讯， 通信；交流；信函
bereft,"adj. 丧失的；被剥夺的；失去亲人的
v. 失去…的（bereave的过去式）"
camaraderie,n. 友情；同志之爱
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
eclectic,"n. 折衷派的人；折衷主义者
adj. 折衷的；选择的；折衷学派的
adj. 不拘一格的"
edifying,"adj. 有益的；有教化意味的
v. 熏陶（edify的ing形式）；启迪"
egalitarian,"n. 平等主义；平等主义者
adj. 平等主义的"
fiend,n. 魔鬼；能手；成癖者
filch,vt. 窃取；偷窃
finagle,"vt. 欺瞒；哄骗
vi. 欺瞒；哄骗"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
nuclear family,"n. 核心家庭
 小家庭；核型家庭；小家庭或是核心家庭"
extended family,"n. 家族
 大家庭；扩大家庭；扩展家庭"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
over-indulged,"(over-indulge 的过去分词) vt. 溺爱
vi. 溺爱"
egoistic,adj. 自私自利的，自我中心的
inconsiderate,adj. 轻率的；不顾别人的；无谋得
infantile autism,n. 自闭症
misconduct,"n. 不端行为；处理不当
vt. 处理不当；行为不检"
nourish,vt. 滋养；怀有；使健壮
polish,找不到解释
rebellious,adj. 反抗的；造反的；难控制的
pastime,n. 娱乐，消遣
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
enlighten,vt. 启发，启蒙；教导，开导；照耀
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
blood kinship, 血亲血
morose,adj. 郁闷的；孤僻的
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
category,n. 种类，分类； 范畴
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
difference,n. 差异；不同；争执
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
in contrast,"adv. 相反
 相比之下；对比；成对比"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
indicate,vt. 表明；指出；预示；象征
majority,n. 多数；成年
outnumber,vt. 数目超过；比…多
pronounced,"v. 发音；宣告；断言（pronounce的过去分词）
adj. 显著的；断然的；讲出来的"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
take up,"na. 拿起；举起；拾起；给搭(火车等)
 占据；从事；开始"
confirm,vt. 确认；确定；证实；批准；使巩固
consistent,adj. 始终如一的，一致的；坚持的
data,n. 数据（datum的复数）；资料
disproportion,"n. 不均衡；不相称
vt. 使不均衡"
drastically,adv. 彻底地；激烈地
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
evident,adj. 明显的；明白的
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
incidence,n. 发生率；影响； 入射；影响范围
obvious,adj. 明显的；显著的；平淡无奇的
occur,vi. 发生；出现；存在
overwhelmingly,adv. 压倒性地；不可抵抗地
percentage,n. 百分比；百分率，百分数
prevalence,n. 流行；普遍；广泛
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
remarkable,adj. 卓越的；非凡的；值得注意的
respectively,adv. 分别地；各自地，独自地
undergo,vt. 经历，经受；忍受
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
mode,n. 模式；方式；风格；时尚
statistics,n. 统计；统计学； 统计资料
percentage,n. 百分比；百分率，百分数
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
fluctuation,n. 起伏，波动
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
upward,"adj. 向上的；上升的
adv. 向上"
downward,"adj. 向下的，下降的
adv. 向下"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
stand at,"na. 犹豫不决
 踌躇；达到；保持在"
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
plummet,"n.  铅锤，坠子
vi. 垂直落下；（价格、水平等）骤然下跌"
flatten,"vt. 击败，摧毁；使……平坦
vi. 变平；变单调"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
whereas,conj. 然而；鉴于；反之
on the other hand,"na. 从另一方面来说；在另一方面
 一方面…另一方面；但是；表示而另一方面"
conversely,adv. 相反地
likewise,adv. 同样地；也
similarly,adv. 同样地；类似于
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
respectively,adv. 分别地；各自地，独自地
category,n. 种类，分类； 范畴
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
noteworthy,adj. 值得注意的；显著的
undergo,vt. 经历，经受；忍受
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
surpass,vt. 超越；胜过，优于；非…所能办到或理解
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
staggering,adj. 惊人的，令人震惊的
uneven,adj. 不均匀的；不平坦的； 奇数的
flow chart,"n. 流程图
 流程表单；流程图或过程图；流程图表"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
include,vt. 包含，包括
procedure,n. 程序，手续；步骤
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
posterior,"n. 后部；臀部
adj. 其次的；较后的"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
automatically,"adj. 不经思索的
adv. 自动地；机械地；无意识地"
manual,"adj. 手工的；体力的
n. 手册，指南"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
detach,vt. 分离；派遣；使超然
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
vertically,adv. 垂直地
levelly,adv. 不动心地，水准地
infuse,"vt. 灌输；使充满；浸渍
vi. （茶叶、草药等）被泡"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
humidity,n.  湿度；湿气
density,n. 密度
height,n. 高地；高度；身高；顶点
width,n. 宽度；广度
laminate,"vt. 将锻压成薄片；分成薄片
vi. 分成薄片
n. 薄片制品；层压制件"
grind,"n. 磨；苦工作
vt. 磨碎；磨快
vi. 磨碎；折磨"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
complainant,n.  原告；发牢骚的人；抱怨者
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
analyze,vt. 对…进行分析，分解（等于analyse）
certify,v. 证明；保证
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
fertilize,vt. 使受精；使肥沃
thresh,"vt. 推敲；打谷；反复做
vi. 打；打谷；颠簸
n. 打谷"
venue,n. 审判地；犯罪地点；发生地点；集合地点
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
relocate,"n. 浮动
vt. 重新安置；迁移
vi. 重新安置；迁移新址"
urban,adj. 城市的；住在都市的
downtown,"n. 市中心区；三分线以外
adj. 市中心的
adv. 往闹市区；在市区"
populous,adj. 人口稠密的；人口多的
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
suitable,adj. 适当的；相配的
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
valley,n. 山谷；流域；溪谷
mountain,n. 山；山脉
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
coastal,adj. 沿海的；海岸的
forest,"n. 森林
vt. 植树于，使成为森林"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行"
thruway,n. 高速公路
vessel,n. 船，舰； 脉管，血管；容器，器皿
consumption,n. 消费；消耗；肺痨
length,n. 长度，长；时间的长短；（语）音长
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
action,n. 行动；活动；功能；战斗；情节
administration,n. 管理；行政；实施；行政机构
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
apology,n. 道歉；谢罪；辩护；勉强的替代物
arrangement,n. 布置；整理；准备
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
attention,n. 注意力；关心；立正！（口令）
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
attitude,n. 态度；看法；意见；姿势
authority,n. 权威；权力；当局
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
council,n. 委员会；会议；理事会；地方议会；顾问班子
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
disappointment,n. 失望；沮丧
dissatisfaction,n. 不满；令人不满的事物
efficient,adj. 有效率的；有能力的；生效的
enclose,vt. 围绕；装入；放入封套
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
explanation,n. 说明，解释；辩解
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
fervent,adj. 热心的；强烈的；炽热的；热烈的
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
look into,"na. 窥视；调查；过问
 研究；检查；了解"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
go wrong,"na. 走错路；失败
 出毛病；出错；发生故障"
grateful,adj. 感谢的；令人愉快的，宜人的
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
immediate,adj. 立即的；直接的；最接近的
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
insist on,"v. 坚持；强调
 坚决要求；坚持要；坚持认为"
invoice,"n. 账单，发货单，收款请求
vt. 开发票；记清单"
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
manufacturer,n. 制造商； 厂商
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
request,"n. 请求；需要
vt. 要求，请求"
response,n. 响应；反应；回答
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
warranty,n. 保证；担保；授权；（正当）理由
turn a deaf ear to,"na. 充耳不闻；装听不见
 对…充耳不闻；不听；不理睬"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
application,n. 应用；申请；应用程序；敷用
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
consideration,n. 考虑；原因；关心；报酬
creativity,n. 创造力；创造性
currently,adv. 当前；一般地
diligent,adj. 勤勉的；用功的，费尽心血的
due,"n. 应付款；应得之物
adj. 到期的；预期的；应付的；应得的
adv. 正（置于方位词前）"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
personality,n. 个性；品格；名人
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
possibility,n. 可能性；可能发生的事物
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
qualification,n. 资格；条件；限制；赋予资格
response,n. 响应；反应；回答
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
scholarship,n. 奖学金；学识，学问
expertise,n. 专门知识；专门技术；专家的意见
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
appreciation,n. 欣赏，鉴别；增值；感谢
beyond description,"na. “beyond expression”的变体
 难以形容；无法形容；无法描述"
considerate,adj. 体贴的；体谅的；考虑周到的
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
heartfelt,adj. 衷心的；真诚的；真心真意的
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
indebted,"adj. 负债的；感激的；受惠的
v. 使负债；使受恩惠（indebt的过去分词）"
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
satisfactory,adj. 满意的；符合要求的；赎罪的
sincere,adj. 真诚的；诚挚的；真实的
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
hospitality,n. 好客；殷勤
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
reciprocate,"vt. 报答；互换；互给
vi. 往复运动；互换；酬答；互给"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
convenient,adj. 方便的；适当的；近便的；实用的
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
enjoy oneself,"na. 过得快乐
 玩得愉快；玩得开心；过得愉快"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
expertise,n. 专门知识；专门技术；专家的意见
get-together,n. 聚会，联欢会
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
in advance,"na. 预先；在先头
 事先；提前；事前"
invitation,n. 邀请；引诱；请帖；邀请函
owing to,"conj. 由于；因为
prep. 因为；由于
 归因于；由于…的原因；多亏"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
advertisement,n. 广告，宣传
bulletin,"n. 公告，公报
vt. 公布，公告"
enrollment,n. 登记；入伍
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
chef,n. 厨师，大师傅
obtain,"vi. 获得；流行
vt. 获得"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
location,n. 位置（形容词locational）；地点；外景拍摄场地
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
tuition,n. 学费；讲授
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
convenience,n. 便利；厕所；便利的事物
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
regretful,adj. 后悔的，遗憾的；惋惜的
negligence,n. 疏忽；忽视；粗心大意
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
attention,n. 注意力；关心；立正！（口令）
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
confuse,vt. 使混乱；使困惑
curiosity,n. 好奇，好奇心；珍品，古董，古玩
democracy,n. 民主，民主主义；民主政治
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
forbid,vt. 禁止；不准；不允许；严禁
obligation,n. 义务；职责；债务
prohibit,vt. 阻止，禁止
unlawful,adj. 非法的；私生的
violate,vt. 违反；侵犯，妨碍；亵渎
deteriorate,"vi. 恶化，变坏
vt. 恶化"
discrimination,n. 歧视；区别，辨别；识别力
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
faculty,n. 科，系；能力；全体教员
fertility,n. 多产；肥沃； 生产力；丰饶
financial,adj. 金融的；财政的，财务的
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
malpractice,n. 玩忽职守；不法行为；治疗不当
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
prolong,vt. 延长；拖延
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
recruitment,n. 补充；征募新兵
reasonable,adj. 合理的，公道的；通情达理的
superannuation,n. 退休；退休金；废弃；陈旧
talent,n. 才能；天才；天资
vigor,n.  活力，精力
wisdom,n. 智慧，才智；明智；学识；至理名言
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
zealous,adj. 热心的，热情的，积极的
device,n. 装置；策略；图案
dignity,n. 尊严；高贵
disgraceful,adj. 不名誉的，可耻的
embarrass,vt. 使局促不安；使困窘；阻碍
ensure,vt. 保证，确保；使安全
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
install,vt. 安装；任命；安顿
installation,n. 安装，装置；就职
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
offender,n. 罪犯；冒犯者；违法者
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
safety,n. 安全；保险；安全设备；保险装置；安打
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
surveillance,n. 监督；监视
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
ubiquitous,adj. 普遍存在的；无所不在的
unobtrusive,adj. 不唐突的；谦虚的；不引人注目的
victimize,vt. 使受害；使牺牲；欺骗
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
contaminate,vt. 污染，弄脏
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
discourage,vt. 阻止；使气馁
depreciate,"vi. 贬值；轻视；贬低
vt. 使贬值；贬低；轻视"
deserve,"vi. 应受，应得
vt. 应受，应得"
distribute,vt. 分配；散布；分开；把…分类
entertainer,n. 演艺人员，表演者
exorbitant,adj. （要价等）过高的；（性格等）过分的；不在法律范围之内的
fulfillment,n. 履行；实行
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
immoral,adj. 不道德的；邪恶的；淫荡的
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
occupation,n. 职业；占有；消遣；占有期
overpaid,adj. 多付款的，付得过多
phenomenon,n. 现象；奇迹；杰出的人才
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
profession,n. 职业，专业；声明，宣布，表白
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
survival,n. 幸存，残存；幸存者，残存物
tertiary,"n. 第三纪；第三修道会会员；第三级教士
adj. 第三的；第三位的；三代的"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
vanity,n. 虚荣心；空虚；浮华；无价值的东西
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
competition,n. 竞争；比赛，竞赛
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
dislocation,n. 转位；混乱； 脱臼
equip,vt. 装备，配备
integrity,n. 完整；正直；诚实；廉正
itch,"n. 痒；渴望；疥疮
vi. 发痒；渴望
vt. 使发痒；使恼怒"
job hopper,频繁变换工作的人
motivation,n. 动机；积极性；推动
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
