abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
superiority,n. 优越，优势；优越性
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
supplementary,"n. 补充者；增补物
adj. 补充的；追加的"
suppress,vt. 抑制；镇压；废止
surpass,vt. 超越；胜过，优于；非…所能办到或理解
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
suspension,n. 悬浮；暂停；停职
suspicious,adj. 可疑的；怀疑的；多疑的
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
symmetrical,adj. 匀称的，对称的
symmetry,n. 对称（性）；整齐，匀称
symphony,n. 交响乐；谐声，和声
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
tack,"n. 大头钉；粗缝；行动方针；食物
vt. 附加；以大头针钉住
vi. 抢风航行；作文字形移动"
tactful,adj. 机智的；圆滑的；老练的
takeoff,"起飞
开始
起跳
起跳的，起飞的"
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
temperament,n. 气质，性情，性格；急躁
temporal,"n. 世间万物；暂存的事物
adj. 暂时的；当时的；现世的"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
termination,n. 结束，终止
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
terrain,n.  地形，地势；领域；地带
terrify,vt. 恐吓；使恐怖；使害怕
terrorism,n. 恐怖主义；恐怖行动；恐怖统治
terrorist,n. 恐怖主义者，恐怖分子
testify,"vi. 作证；证明
vt. 证明，证实；作证"
testimony,n.  证词，证言；证据
texture,n. 质地；纹理；结构；本质，实质
thereafter,adv. 其后；从那时以后
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
thesis,n. 论文；论点
threshold,n. 入口；门槛；开始；极限；临界值
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
timely,"adj. 及时的；适时的
adv. 及时地；早"
timid,adj. 胆小的；羞怯的
tolerant,adj. 宽容的；容忍的；有耐药力的
tow,"n. 拖；麻的粗纤维；拖曳所用之绳
vt. 拖；牵引；曳
vi. 被拖带；拖行"
toxic,adj. 有毒的；中毒的
tract,n. 束；大片土地，地带；小册子
tragic,adj. 悲剧的；悲痛的，不幸的
transcend,vt. 胜过，超越
transcribe,vt. 转录；抄写
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
transistor,n. 晶体管（收音机）
transit,"n. 运输；经过
vt. 运送
vi. 经过"
transition,n. 过渡；转变； 转换；变调
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
trivial,adj. 不重要的，琐碎的；琐细的
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
tuition,n. 学费；讲授
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
turbulence,n. 骚乱，动荡； 湍流；狂暴
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
turnout,n. 产量；出席者；参加人数；出动；清除； 岔道
turnover,"n. 翻覆； 营业额；流通量；半圆卷饼；失误
adj. 翻过来的；可翻转的"
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
unanimous,adj. 全体一致的；意见一致的；无异议的
underestimate,"n. 低估
vt. 低估；看轻"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
underscore,"n. 底线， 下划线
vt. 强调；划线于…下"
underway,"n.  水底通道
adj. 进行中的；起步的；航行中的"
undutiful,adj. 未尽职的，不顺从的，不孝的
unfold,"vi. 展开；显露
vt. 打开；呈现"
unification,n. 统一；一致；联合
unify,vt. 统一；使相同，使一致
unilateral,adj. 单边的； 单侧的；单方面的；单边音；（父母）单系的
unlawful,adj. 非法的；私生的
unprecedented,adj. 空前的；无前例的
unsettle,"vt. 使动摇；使不安定；使心神不宁
vi. 不安；动荡不定"
unveil,"vt. 使公之于众，揭开；揭幕
vi. 除去面纱；显露"
upcoming,adj. 即将来临的
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
upfront,"adj. 预付的；在前面的；正直的，坦率的
adv. 在前面；提前支付（工资）"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
uphold,vt. 支撑；鼓励；赞成；举起
upside,n. 优势，上面
utilization,n. 利用，使用
vacancy,n. 空缺；空位；空白；空虚
vaccinate,"vt. 给…注射疫苗
vi. 接种疫苗
n. 被接种牛痘者"
validate,vt. 证实，验证；确认；使生效
validity,n.  有效性；正确；正确性
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
velocity,n. 速度
venerable,adj. 庄严的，值得尊敬的；珍贵的
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
ventilate,vt. 使通风；给…装通风设备；宣布
venue,n. 审判地；犯罪地点；发生地点；集合地点
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
verdict,n. 结论；裁定
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
versatile,adj. 多才多艺的；通用的，万能的；多面手的
versus,prep. 对；与...相对；对抗
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
vicinity,n. 邻近，附近；近处
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
victorious,adj. 胜利的；凯旋的
virgin,"n. 处女
adj. 处女的；纯洁的；未经利用的，处于原始状态的"
virtuous,adj. 善良的；有道德的；贞洁的；正直的；有效力的
visibility,n. 能见度，可见性；能见距离；明显性
visionary,"n. 空想家；梦想者；有眼力的人
adj. 梦想的；幻影的"
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
visualise,"vt. 使…可见；使…具体化（等于visualize）
vi. 想象；显现"
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
vocational,adj. 职业的，行业的
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
vow,"n. 发誓；誓言；许愿
vi. 发誓；郑重宣告
vt. 发誓；郑重宣告"
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
warfare,n. 战争；冲突
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
wasteland,n. 荒地，不毛之地；未开垦地，荒漠；（精神或文化上的）贫乏
watertight,adj. 水密的；不漏水的；无懈可击的
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
well-being,n. 幸福；康乐
well-off,adj. 富裕的；顺利的，走运的；繁荣昌盛的
whereby,adv. 凭借；通过…；借以；与…一致
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
wreckage,n. （失事船或飞机等的）残骸；（船只等的）失事
wrench,"n. 扳手，扳钳；扭伤；痛苦；歪曲；猛扭
vt. 扭伤；猛扭；曲解；折磨
vi. 扭伤；猛扭；猛绞"
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
zigzag,"n. 之字形；Z字形
vt. 使成之字形；使曲折行进
vi. 曲折行进；作之字形行进
adj. 曲折的；锯齿形的；之字形的
adv. 曲折地；之字形地；Z字形地"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
abnormal,adj. 反常的，不规则的；变态的
abolish,vt. 废除，废止；取消，革除
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
abundant,adj. 丰富的；充裕的；盛产
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessible,adj. 易接近的；可进入的；可理解的
accommodation,n. 住处，膳宿；调节；和解；预订铺位
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accordance,n. 一致；和谐
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accumulate,"vt. 积攒
vi. 累积；积聚"
acknowledge,vt. 承认；答谢；报偿；告知已收到
acquire,vt. 获得；取得；学到；捕获
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
adequate,adj. 充足的；适当的；胜任的
affection,n. 喜爱，感情；影响；感染
afford,vt. 给予，提供；买得起
agenda,n. 议程；日常工作事项；日程表
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
alliance,n. 联盟，联合；联姻
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
alter,"vt. 改变，更改
vi. 改变；修改"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
anticipate,vt. 预期，期望；占先，抢先；提前使用
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
appearance,n. 外貌，外观；出现，露面
appliance,n. 器具；器械；装置
applied,"v. 应用；实施（apply的过去分词）；敷上
adj. 应用的；实用的"
arbitrary,adj.  任意的；武断的；专制的
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
astronomer,n. 天文学家
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
attitude,n. 态度；看法；意见；姿势
attribute,"n. 属性；特质
vt. 归属；把…归于"
authentic,adj. 真正的，真实的；可信的
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
behalf,n. 代表；利益
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
bloodshed,n. 流血；杀戮
boiler,n. 锅炉；烧水壶，热水器；盛热水器
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
breakthrough,n. 突破；突破性进展
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
candidate,n. 候选人，候补者；应试者
capacity,n. 能力；容量；资格，地位；生产力
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
citizenship,n.  公民身份，公民资格；国籍；公民权
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
clap,"n. 鼓掌；拍手声
vt. 拍手，鼓掌；轻轻拍打某人
vi. 鼓掌，拍手；啪地关上"
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
coarse,adj. 粗糙的；粗俗的；下等的
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
commitment,n. 承诺，保证；委托；承担义务；献身
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
compatible,adj. 兼容的；能共处的；可并立的
compel,vt. 强迫，迫使；强使发生
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compensation,n. 补偿；报酬；赔偿金
compete,vi. 竞争；比赛；对抗
competitive,adj. 竞争的；比赛的；求胜心切的
competitor,n. 竞争者，对手
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
complaint,n. 抱怨；诉苦；疾病；委屈
complicated,adj. 难懂的，复杂的
composer,n. 作曲家；作家，著作者；设计者
comprehension,n. 理解；包含
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
comprise,vt. 包含；由…组成
computerize,vt. 使电脑化；使计算机化；用电脑处理
conceal,vt. 隐藏；隐瞒
concede,"vi. 让步
vt. 承认；退让；给予，容许"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
conclusion,n. 结论；结局；推论
condemn,vt. 谴责；判刑，定罪；声讨
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
confirm,vt. 确认；确定；证实；批准；使巩固
confirmation,n. 确认；证实；证明；批准
confront,vt. 面对；遭遇；比较
Confucian,"n. 儒家，儒家学者；孔子的门徒
adj. 孔子的，儒家的；儒家学说的"
confuse,vt. 使混乱；使困惑
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
consequently,adv. 因此；结果；所以
conservation,n. 保存，保持；保护
conservative,找不到解释
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
considerable,adj. 相当大的；重要的，值得考虑的
considerate,adj. 体贴的；体谅的；考虑周到的
consist,vi. 由…组成；在于；符合
consistent,adj. 始终如一的，一致的；坚持的
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
constitute,vt. 组成，构成；建立；任命
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
consultant,n. 顾问；咨询者；会诊医生
consumption,n. 消费；消耗；肺痨
contaminate,vt. 污染，弄脏
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
context,n. 环境；上下文；来龙去脉
contradiction,n. 矛盾；否认；反驳
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
controversy,n. 争论；论战；辩论
convenience,n. 便利；厕所；便利的事物
conventional,adj. 符合习俗的，传统的；常见的；惯例的
convey,vt. 传达；运输；让与
convince,vt. 说服；使确信，使信服
cooperation,n. 合作，协作； 协力
cope,"n. 长袍
vi. 处理；对付；竞争"
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
crucial,adj. 重要的；决定性的；定局的；决断的
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
deceive,v. 欺骗；行骗
decent,adj. 正派的；得体的；相当好的
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
deficit,n. 赤字；不足额
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
delegation,n. 代表团；授权；委托
delete,vt. 删除
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
denial,n. 否认；拒绝；节制；背弃
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
depend,vi. 依赖，依靠；取决于；相信，信赖
dependence,n. 依赖；依靠；信任；信赖
depict,vt. 描述；描画
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
depress,vt. 压抑；使沮丧；使萧条
derive,"vt. 源于；得自；获得
vi. 起源"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
destruction,n. 破坏，毁灭；摧毁
destructive,adj. 破坏的；毁灭性的；有害的，消极的
devote,vt. 致力于；奉献
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
dilemma,n. 困境；进退两难；两刀论法
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
dine,"vi. 进餐，用餐
vt. 宴请"
disaster,n. 灾难，灾祸；不幸
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
distinction,n. 区别；差别；特性；荣誉、勋章
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
donation,n. 捐款，捐赠物；捐赠
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
economic,adj. 经济的，经济上的；经济学的
economical,adj. 经济的；节约的；合算的
economics,n. 经济学；国家的经济状况
economist,n. 经济学者；节俭的人
economy,n. 经济；节约；理财
efficiency,n. 效率；效能；功效
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
emphasize,vt. 强调，着重
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
enforce,vt. 实施，执行；强迫，强制
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
enhance,vt. 提高；加强；增加
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
enrich,vt. 使充实；使肥沃；使富足
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
ensure,vt. 保证，确保；使安全
entertainment,n. 娱乐；消遣；款待
entitle,vt. 称做…；定名为…；给…称号；使…有权利
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
error,n. 误差；错误；过失
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
eternal,adj. 永恒的；不朽的
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
exceed,"vt. 超过；胜过
vi. 超过其他"
exception,n. 例外；异议
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
excessive,adj. 过多的，极度的；过分的
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
exclude,vt. 排除；排斥；拒绝接纳；逐出
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
execute,vt. 实行；执行；处死
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
expel,vt. 驱逐；开除
explicit,adj. 明确的；清楚的；直率的；详述的
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
expose,vt. 揭露，揭发；使曝光；显示
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extinguish,vt. 熄灭；压制；偿清
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
facilitate,vt. 促进；帮助；使容易
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
feasible,adj. 可行的；可能的；可实行的
fiction,n. 小说；虚构，编造；谎言
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
flexible,adj. 灵活的；柔韧的；易弯曲的
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
foresee,vt. 预见；预知
forestry,n. 林业；森林地；林学
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
fraction,n. 分数；部分；小部分；稍微
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
furnish,vt. 提供；供应；装备
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
gaze,"n. 凝视；注视
vi. 凝视；注视"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
generate,vt. 使形成；发生；生殖；产生物理反应
genetic,adj. 遗传的；基因的；起源的
genuine,adj. 真实的，真正的；诚恳的
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
grief,n. 悲痛；忧伤；不幸
grim,adj. 冷酷的；糟糕的；残忍的
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
