highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
disappoint,vt. 使失望
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
comparable,adj. 可比较的；比得上的
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
instruct,vt. 指导；通知；命令；教授
radiation,n. 辐射；发光；放射物
advisable,adj. 明智的，可取的，适当的
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
feasible,adj. 可行的；可能的；可实行的
refusal,n. 拒绝；优先取舍权；推却；取舍权
appealing,"v. 恳求（appeal的ing形式）；将…上诉
adj. 吸引人的；动人的；引起兴趣的；恳求似的"
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
explicit,adj. 明确的；清楚的；直率的；详述的
decoration,n. 装饰，装潢；装饰品；奖章
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
comrade,n. 同志；伙伴
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
commitment,n. 承诺，保证；委托；承担义务；献身
heading,"n. 标题；（足球）头球；信头
v. 用头顶（head的ing形式）"
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
tropical,adj. 热带的；热情的；酷热的
attorney,n. 律师；代理人；检查官
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
rubber,"n. 橡胶；橡皮；合成橡胶；按摩师
adj. 橡胶制成的
vt. 涂橡胶于；用橡胶制造
vi. 扭转脖子看；好奇地引颈而望"
detection,n. 侦查，探测；发觉，发现；察觉
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
refugee,n. 难民，避难者；流亡者，逃亡者
courtroom,n. 法庭；审判室
prohibit,vt. 阻止，禁止
jeep,n. 吉普车
Marxism,"n. 马克思主义
adj. 马克思的；马克思主义的"
collaborate,vi. 合作；勾结，通敌
whisky,"n. 威士忌酒
adj. 威士忌酒的"
buckle,"n. 皮带扣，带扣
vi. 扣住；变弯曲
vt. 扣住；使弯曲"
brand-new,adj. 崭新的；最近获得的
influenza,n.  流行性感冒（简写flu）；家畜流行性感冒
bridegroom,n. 新郎
broke,"v. 打破，断掉（break的过去式）
adj. 一文不名的，破产的"
outing,"n. 远足；短途旅游；体育比赛
adj. 远足适用的
v. 出来；暴露（out的ing形式）"
foresight,n. 先见，远见；预见；深谋远虑
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
masterpiece,n. 杰作；绝无仅有的人
setback,n. 挫折；退步；逆流
homosexual,"n. 同性恋者
adj. 同性恋的"
transit,"n. 运输；经过
vt. 运送
vi. 经过"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
battalion,n. 营，军营；军队，部队
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
endanger,vt. 危及；使遭到危险
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
continual,adj. 持续不断的；频繁的
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
receipt,"n. 收到；收据；收入
vt. 收到"
ministry,n. （政府的）部门
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
efficiency,n. 效率；效能；功效
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
require,vt. 需要；要求；命令
prove,"vi. 证明是
vt. 证明；检验；显示"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
massive,adj. 大量的；巨大的，厚重的；魁伟的
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
manual,"adj. 手工的；体力的
n. 手册，指南"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
route,"n. 路线；航线；通道
vt. 按某路线发送"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
reduction,n. 减少；下降；缩小；还原反应
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
phenomenon,n. 现象；奇迹；杰出的人才
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
scenery,n. 风景；景色；舞台布景
electrical,adj. 有关电的；电气科学的
prosperity,n. 繁荣，成功
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
emotion,n. 情感；情绪
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
primarily,adv. 首先；主要地，根本上
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
delicious,adj. 美味的；可口的
preference,n. 偏爱，倾向；优先权
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
abundant,adj. 丰富的；充裕的；盛产
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
ache,"n. 疼痛
vi. 疼痛；渴望"
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
exclude,vt. 排除；排斥；拒绝接纳；逐出
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
accessible,adj. 易接近的；可进入的；可理解的
integrity,n. 完整；正直；诚实；廉正
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
prosperous,adj. 繁荣的；兴旺的
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
handful,n. 少数；一把；棘手事
facility,n. 设施；设备；容易；灵巧
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
mutual,adj. 共同的；相互的，彼此的
voltage,n.  电压
postage,n. 邮资，邮费
napkin,n. 餐巾；餐巾纸；尿布
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
corridor,走廊
architect,"n. 建筑师
缔造者"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
guitarist,n. 吉他弹奏者
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
acquaintance,n. 熟人；相识；了解；知道
hacker,n. 电脑黑客，企图不法侵入他人电脑系统的人
scanner,n.  扫描仪；扫描器；光电子扫描装置
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
equation,n. 方程式，等式；相等； 反应式
kneel,vi. 跪下，跪
consistency,n.  一致性；稠度；相容性
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
acquaint,vt. 使熟悉；使认识
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
resent,vt. 怨恨；愤恨；厌恶
lass,n. 小姑娘；情侣；（苏格兰）女佣
intangible,adj. 无形的，触摸不到的；难以理解的
negate,"vt. 否定；取消；使无效
vi. 否定；否认；无效
n. 对立面；反面"
blonde,"n. 白肤金发碧眼的女人
adj. 亚麻色的；金色的；白皙的；白肤金发碧眼的"
boxing,"n. 拳击；装箱；围模；做箱的材料
v. 将…装入盒中（box的ing形式）"
footprint,n. 足迹；脚印
vigor,n.  活力，精力
maiden,"adj. 未婚的，处女的；初次的
n. 少女；处女"
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
overdue,adj. 过期的；迟到的；未兑的
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
thesis,n. 论文；论点
ecology,n. 生态学；社会生态学
cornerstone,n. 基础；柱石；地基
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
nutrition,n. 营养，营养学；营养品
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
layoff,n. 活动停止期间；临时解雇；操作停止；失业期
council,n. 委员会；会议；理事会；地方议会；顾问班子
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
analyze,vt. 对…进行分析，分解（等于analyse）
deadline,n. 截止期限，最后期限
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
umbrella,n. 雨伞；保护伞；庇护；伞形结构
quantity,n. 量，数量；大量；总量
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
enterprise,n. 企业；事业；进取心；事业心
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
foundation,n. 基础；地基；基金会；根据；创立
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
accomplish,vt. 完成；实现；达到
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
identity,n. 身份；同一性，一致；特性；恒等式
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
property,n. 性质，性能；财产；所有权
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
painful,adj. 痛苦的；疼痛的；令人不快的
regulate,vt. 调节，规定；控制；校准；有系统的管理
expel,vt. 驱逐；开除
consequently,adv. 因此；结果；所以
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
enhance,vt. 提高；加强；增加
expectation,n. 期待；预期；指望
exceed,"vt. 超过；胜过
vi. 超过其他"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
virtue,n. 美德；优点；贞操；功效
appointment,n. 任命；约定；任命的职位
beneath,"prep. 在…之下
adv. 在下方"
religion,n. 宗教；宗教信仰
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
clinic,n. 临床；诊所
consultant,n. 顾问；咨询者；会诊医生
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
strategic,adj. 战略上的，战略的
conclusion,n. 结论；结局；推论
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
verify,vt. 核实；查证
tradition,n. 惯例，传统；传说
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
assure,vt. 保证；担保；使确信；弄清楚
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
horrible,adj. 可怕的；极讨厌的
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
statistic,"n. 统计数值
adj. 统计的，统计学的"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
ambassador,n. 大使；代表；使节
industrialise,vt. 使工业化（等于industrialize）
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
fruitful,adj. 富有成效的；多产的；果实结得多的
economical,adj. 经济的；节约的；合算的
cite,vt. 引用；传讯；想起；表彰
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
liter,n.  公升（容量单位）
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
ignorance,n. 无知，愚昧；不知，不懂
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
volt,n. 伏特（电压单位）；环骑；闪避
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
fraction,n. 分数；部分；小部分；稍微
chap,"n. 小伙子；家伙；龟裂
vt. 使皲裂
vi. 皲裂"
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
massage,"vt. 按摩；揉
n. 按摩；揉"
intake,n. 摄取量；通风口；引入口；引入的量
proverb,n. 谚语，格言；众所周知的人或事
infrastructure,n. 基础设施；公共建设；下部构造
dove,"n. 鸽子；鸽派人士
v. 潜水（dive的过去式）"
hereby,adv. 以此方式，据此；特此
tumour,n.  瘤；肿瘤；肿块
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
comma,n. 逗号；停顿
cohesion,n. 凝聚；结合； 内聚力
calling,"n. 职业；欲望；点名；召集；邀请
v. 召；呼唤（call的现在分词）；称之为"
gorgeous,adj. 华丽的，灿烂的；极好的
expend,vt. 花费；消耗；用光；耗尽
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
deficient,adj. 不足的；有缺陷的；不充分的
diligent,adj. 勤勉的；用功的，费尽心血的
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
premier,"n. 总理，首相
adj. 第一的；最初的"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
territory,n. 领土，领域；范围；地域；版图
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
comedy,n. 喜剧；喜剧性；有趣的事情
committee,n. 委员会
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
album,n. 相簿；唱片集；集邮簿；签名纪念册
comparison,n. 比较；对照；比喻；比较关系
disagree,vi. 不同意；不一致；争执；不适宜
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
crucial,adj. 重要的；决定性的；定局的；决断的
accommodation,n. 住处，膳宿；调节；和解；预订铺位
insane,adj. 疯狂的；精神病的；极愚蠢的
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
county,n. 郡，县
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
layout,n. 布局；设计；安排；陈列
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
effort,n. 努力；成就
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
continuous,adj. 连续的，持续的；继续的；连绵不断的
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
energetic,adj. 精力充沛的；积极的；有力的
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
deserve,"vi. 应受，应得
vt. 应受，应得"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
obstacle,n. 障碍，干扰；妨害物
mechanic,"n. 技工，机修工
adj. 手工的"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
impatient,adj. 焦躁的；不耐心的
equipment,n. 设备，装备；器材
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
destruction,n. 破坏，毁灭；摧毁
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
defensive,"n. 防御；守势
adj. 自卫的；防御用的"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
plural,"n. 复数
adj. 复数的"
logical,adj. 合逻辑的，合理的；逻辑学的
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
eager,adj. 渴望的；热切的；热心的
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
mode,n. 模式；方式；风格；时尚
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
fee,"n. 费用；酬金；小费
vt. 付费给……"
deficit,n. 赤字；不足额
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
device,n. 装置；策略；图案
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
revenue,n. 税收，国家的收入；收益
priority,n. 优先；优先权； 优先次序；优先考虑的事
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
emit,vt. 发出，放射；发行；发表
genuine,adj. 真实的，真正的；诚恳的
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
bloodshed,n. 流血；杀戮
rug,n. 小地毯；毛皮地毯；男子假发
sticky,adj. 粘的；粘性的
hut,"n. 小屋；临时营房
vt. 使住在小屋中；驻扎
vi. 住在小屋中；驻扎"
