a collection of,"un. 收藏的
 集…为一体的；一批；的收藏"
miniature landscape,盆景
winding paths and corridors,找不到解释
landscape painting scroll,找不到解释
freshwater lake,"un. 淡水湖；淡水胡
 淡水湖泊"
productive fishery,找不到解释
be located in ...,找不到解释
be situated at ...,找不到解释
the provincial capital,找不到解释
... above sea level,找不到解释
salt lake,"na. 咸水湖
 盐湖；盐湖区；盐湖城冬季奥运"
saltwater lake,"un. 咸水湖
 水中含盐分多的湖"
square kilometers, 平方公里；平方千米；我国面积五十万平里
intermediate stop,找不到解释
many species of,adj.许多种
seasonal,adj. 季节的；周期性的；依照季节的
total river flow,找不到解释
migration route, 回游路线
flood basin,"un. 泛滥盆地；洪水泛滥区；浇口杯；蓄洪水库
 洪水面积"
the original place,找不到解释
beautiful scenery, 美景；美丽的景色；美丽的风景
picturesque,adj. 独特的；生动的；别致的；图画般的
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
to cover a large area,找不到解释
to occupy a large area,找不到解释
hot areas,找不到解释
hot fields,找不到解释
applied science,"un. 应用科学
 应用科学系；应用科学类；应用科技"
three-D printing,找不到解释
artificial organ research,找不到解释
to remove structural barriers,找不到解释
to promote energy conservation and emission reduction,找不到解释
to facilitate energy conservation and emission reduction,找不到解释
Chinese Academy of Sciences,"n. 中国科学院
 中科院；中科院的英文名称；中国科学院化学研究所"
research institute,"n. 研究院
 研究所；研究机构；英国内燃机研究所"
research and development funds,找不到解释
innovation,n. 创新，革新；新方法
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
be similar to ...,找不到解释
similarly,adv. 同样地；类似于
likewise,adv. 同样地；也
to gain popularity,找不到解释
to ride on a wave of popularity,找不到解释
to enjoy an unstoppable rise in popularity,找不到解释
to become increasingly popular,找不到解释
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
traditional,adj. 传统的；惯例的
conventional,adj. 符合习俗的，传统的；常见的；惯例的
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
convey,vt. 传达；运输；让与
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
constitute,vt. 组成，构成；建立；任命
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
be aimed at doing sth.,找不到解释
to aim to do sth.,找不到解释
to aim for sth.,找不到解释
typical,adj. 典型的；特有的；象征性的
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
ramble,"vi. 漫步；漫游；闲逛；漫谈；蔓延
vt. 漫步于…
n. 漫步；漫游；随笔"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
elaborately designed,找不到解释
world-known, 洋名天下
world-renowned,adj. 世界知名的
be renowned for, 以某事物闻名；以…闻名；以……闻名于世
be famous for,"v. 因…出名
 因…而出名；因……而著名；因……而闻名"
a series of,"na. 一系列；许多
 一连串；一连串的；一系列的"
a range of,"det. 一大片；一排
 一系列；一些；一系列的"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
derive from,"v. 来自；起源于
 衍生；由来；来源于"
originate from,"v. 起源于；发源于
 来源于；来自；起源於"
stem from,"v. 出于；基于
 起源于；来自；源自"
to name after,找不到解释
play an important role, 起重要作用；起到重要作用；扮演重要的角色
play an important role in,"na. 在…中起重要作用
 在...中起重要作用；扮演很重要的角色；在……起重要作用"
play an important part, 起重要作用；扮演重要角色；国家中起着重要作用
play an important part in, 在…方面起重要作用；在……中起重要作用；在……起重要作用
to spread to the whole world,找不到解释
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
facility,n. 设施；设备；容易；灵巧
in addition,"na. 加之
 另外；此外；又"
besides,"prep. 除…之外
adv. 此外；而且"
moreover,adv. 而且；此外
used to do, 过去常常做某事；过去常做某事；过去常常作某事
that is to say,"na. “that is”的变体
 也就是说；那就是说；换句话说"
have no taste,找不到解释
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
 到目前为止；迄今为止；至今"
consist of,"v. 由…合成
 由……组成；由…构成；包括"
include,vt. 包含，包括
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
the coming year,找不到解释
the year to come,找不到解释
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
put much emphasis on,找不到解释
lay particular stress on,找不到解释
pay more attention to, 更加注意；注重；更注重
attach great importance to,找不到解释
enhance,vt. 提高；加强；增加
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
for instance,"na. 例如
 比如；举例说；举例来说"
for example,"na. 例如
 举例；比如；比如说"
such as,"un. 例如；像；象…这样；诸如…之类
 比如；像这种的；像……那样的"
arise from,"v. 从…而得的
 由…引起；起因于；由…产生"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
aside from,"na. 暂置不论；加之；除…外
 除...外；除…之外；除了"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
to seek new breakthroughs,找不到解释
endeavor to do,找不到解释
make an effort to do, 努力去做；努力做；努力做某事
attempt to do, 试图；试图做某事；企图做某事
in an attempt to do, 竭尽全力做某事；尝试做某事；企图做
make the best use of,"v. 充分利用
 人尽其才；尽量利用；使···得到最好的利用"
take full advantage of,"v. 充份利用
 充分利用；完全利用"
to provide equal opportunities,找不到解释
be largely attributed to,找不到解释
be most preferred,找不到解释
depict,vt. 描述；描画
describe,vt. 描述，形容；描绘
recreation,n. 娱乐；消遣；休养
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
at present,"na. 目前
 现在；当今；眼下"
currently,adv. 当前；一般地
nowadays,"adv. 现今；时下
n. 当今"
at the present time,"na. 在现在
 目前；在目前；当前"
presently,adv. （美）目前；不久
to set goals,找不到解释
demonstrate,"vt. 证明；展示；论证
vi. 示威"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
indicate,vt. 表明；指出；预示；象征
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
consider ... important,找不到解释
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
think much of,"na. 重视；夸奖；认为了不起
 看得起；尊重；看重"
surpass,vt. 超越；胜过，优于；非…所能办到或理解
transcend,vt. 胜过，超越
to catch up at a fast pace,找不到解释
it is estimated that ...,找不到解释
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
with this specific goal,找不到解释
convert ... to,找不到解释
remarkable achievement,找不到解释
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
prosperous,adj. 繁荣的；兴旺的
thrive,vi. 繁荣，兴旺；茁壮成长
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
spring up,"na. 跳上来；发生；萌芽；出现
 涌现；迅速生长；突然出现"
consequently,adv. 因此；结果；所以
hence,adv. 因此；今后
as a result,"adv. 结果
 因此；结果是；作为结果"
therefore,adv. 因此；所以
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
due to,"un. 由于；预定；因为；亏
 应归于；由於；由…引起"
owing to,"conj. 由于；因为
prep. 因为；由于
 归因于；由于…的原因；多亏"
as a result of,"na. (作)为…的结果
 由于；由于…的结果；作为…的结果"
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
as a consequence of,"prep. 由于…的结果
 因为；因……的结果；作为……的结果"
it is not surprising that ...,找不到解释
it is not uncommon to see ...,找不到解释
it is not rare to see ...,找不到解释
in spite of the fact that ...,找不到解释
it's worth mentioning that ...,找不到解释
take no account of,"na. 不考虑
 不注意；不予考虑；对…不予注意"
in one's interests,找不到解释
be subject to one's will,找不到解释
to bend to one's will,找不到解释
tend to,"v. 倾向于；有助于
 趋向；趋于；往往"
insist on doing, 坚持做某事；坚持要做；坚持要做某事
persist in doing,找不到解释
it is commendable that ...,找不到解释
to strike a balance,"结帐, 作出被认为公平的处理/调整"
when it comes to ...,找不到解释
to offer assistance to,找不到解释
with regard to,"na. 关于；对于；为了答复；“in/with regard to”的变体
 至于；就…而言；至于，就"
with respect to,"na. 考虑到
 关于；至于；有关"
concerning,"prep. 关于；就…而言
v. 涉及；使关心（concern的ing形式）；忧虑"
regarding,prep. 关于，至于
relating to,"prep. 关于
 说到；有关；与……有关"
as regards,"na. 至于；提到
 关于；至于……关于；就…来说"
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
conspicuously,adv. 显著地，明显地；超群地，惹人注目地
conspicuous improvements,找不到解释
to tackle the challenges,找不到解释
be involved in doing ...,找不到解释
obtain,"vi. 获得；流行
vt. 获得"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
acquire,vt. 获得；取得；学到；捕获
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
accomplish,vt. 完成；实现；达到
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
have faith in,"na. 相信
 信任；对……有信心；信仰"
have every confidence in,找不到解释
place a great deal of faith in,找不到解释
rely on,"v. 依靠；信赖
 依赖；依仗；凭借"
pay a price,"un. 付出…的代价；付出代价
 为所得付出代价；不守承诺的行为付出代价"
at the cost of,"na. 以…为牺牲
 以…为代价；以…代价；以之为代价"
at the expense of,"na. 以…为代价；由…出钱；牺牲…
 以…为牺牲；在损害…情况下；在损害……的情况下"
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
unprecedented,adj. 空前的；无前例的
a variety of,"det. 种种；形形色色
 各种各样的；多种多样的；多种的"
all kinds of,"na. 种种
 各种各样的；表示各种各样的；各种各类的"
range from ... to ...,找不到解释
cooperate with ...,找不到解释
big data, 大数据；海量资料；海量数据
to adapt to the ever-changing and growing needs,找不到解释
to adapt oneself to the ever-changing and growing needs,找不到解释
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
in this regard,"na. 在这一点上；“in this/that regard”的变体
 在这点上；在这方面；关于这件事"
to go through some changes,找不到解释
meanwhile,"adv. 同时，其间
n. 其间，其时"
simultaneously,adv. 同时地
in the meanwhile,"na. 在这期间
 与此同时；在此期间；在此其间"
merely,adv. 仅仅，只不过；只是
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
solely,adv. 单独地，唯一地
nothing but,"na. 不外；的确
 只有；只不过；只是"
establish ... as ...,找不到解释
experimental field,试验地
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
undergo,vt. 经历，经受；忍受
with a population of,找不到解释
be equivalent to,"na. 等于；相当于
 等价于；等效；与…相当"
unique status,找不到解释
prevalent,adj. 流行的；普遍的，广传的
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
destination,n. 目的地，终点
swarm into,"v. 拥入；云集
 涌入；蜂拥而入；蜂涌而进"
approximately,adv. 大约，近似地；近于
almost,adv. 差不多，几乎
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
nearly,adv. 差不多，几乎；密切地
close to,"na. 接近于；在附近
 靠近；亲近；离…近"
roughly,adv. 粗糙地；概略地
be confined to ...,找不到解释
to occupy a dominant position,找不到解释
engage in,"na. 从事；参加
 参与；从事于；忙于"
to rank the first,找不到解释
account for ...,找不到解释
serve diverse purposes,找不到解释
serve multiple purposes,找不到解释
serve various purposes,找不到解释
diligent,adj. 勤勉的；用功的，费尽心血的
industrious,adj. 勤勉的
hard-working,adj. 勤勉的；勤奋的；勤劳的
to adopt various approaches,找不到解释
era,n. 时代；年代；纪元
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
period,"n. 周期，期间；时期；月经；课时；（语法学）句点，句号
adj. 某一时代的"
epoch,n.  世；新纪元；新时代；时间上的一点
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
busy entertainment venue,找不到解释
competitive examination,"na. 竞争考试
 答辩考试；公开竞争考试；竞争性考试"
vibrant,adj. 振动的；充满生气的；响亮的；战栗的
gather to do ...,找不到解释
a large amount of,"det. 大量
 大量的；许多；接不可数名词大量"
a great deal of,"det. 很多；重重
 大量的；许多；很多的"
quantities of, 大量的；大批；其后谓语用复数
plenty of,"na. 很多的
 许多；大量的；充足的"
consecutively,adv. 连续地
successively,adv. 相继地；接连着地
contribute significantly to,找不到解释
be vitally important to ...,找不到解释
be of great importance to ...,找不到解释
be of great significance to ...,找不到解释
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
acceptance,n. 接纳；赞同；容忍
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accidentally,adv. 意外地；偶然地
accountable,adj. 有责任的；有解释义务的；可解释的
accurately,adv. 精确地，准确地
accustom,vt. 使习惯于
acquire,vt. 获得；取得；学到；捕获
additional,adj. 附加的，额外的
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
age,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
alternatively,adv. 非此即彼；二者择一地；作为一种选择
apparently,adv. 显然地；似乎，表面上
aptly,adv. 适宜地；适当地
arena,n. 舞台；竞技场
arise,vi. 出现；上升；起立
arrogance,n. 自大；傲慢态度
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
assess,vt. 评定；估价；对…征税
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
assumption,n. 假定；设想；担任；采取
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
automatically,"adj. 不经思索的
adv. 自动地；机械地；无意识地"
avoid,vt. 避免；避开，躲避；消除
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
beneficial,adj. 有益的，有利的；可享利益的
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
brilliance,n. 光辉；才华；宏伟
capacity,n. 能力；容量；资格，地位；生产力
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
carefully,adv. 小心地
cater,vt. 投合，迎合；满足需要；提供饮食及服务
cautiously,adv. 慎重地，谨慎地
celebrity,n. 名人；名声
chronically,adv. 长期地；慢性地；习惯性地
circulation,n. 流通，传播；循环；发行量
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
classified,"n. 分类广告
v. 把…分类（classify的过去分词）
adj. 分类的；类别的；机密的"
climatic,adj. 气候的；气候上的；由气候引起的；受气候影响的
closely,adv. 紧密地；接近地；严密地；亲近地
combination,n. 结合；组合；联合； 化合
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
community,n. 社区； 群落；共同体；团体
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
completely,adv. 完全地，彻底地；完整地
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
confidential,adj. 机密的；表示信任的；获信任的
confirm,vt. 确认；确定；证实；批准；使巩固
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
confuse,vt. 使混乱；使困惑
consciously,adv. 自觉地；有意识地
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
consistent,adj. 始终如一的，一致的；坚持的
constrain,vt. 驱使；强迫；束缚
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
contextual,adj. 上下文的；前后关系的
continuous,adj. 连续的，持续的；继续的；连绵不断的
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
convenience,n. 便利；厕所；便利的事物
convince,vt. 说服；使确信，使信服
correlation,n.  相关，关联；相互关系
credibility,n. 可信性；确实性
currently,adv. 当前；一般地
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
dedicate,vt. 致力；献身；题献
deduction,n. 扣除，减除；推论；减除额
definite,adj. 一定的；确切的
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
deprivation,n. 剥夺；损失；免职；匮乏；贫困
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
destined,"v. 注定（destine的过去式和过去分词）
adj. 注定的；命定的；去往…的"
deterioration,n. 恶化；退化；堕落
deviate,"vi. 脱离；越轨
vt. 使偏离"
devote,vt. 致力于；奉献
digit,n. 数字；手指或足趾；一指宽
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
disagree,vi. 不同意；不一致；争执；不适宜
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
displace,vt. 取代；置换；转移；把…免职；排水
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
drastically,adv. 彻底地；激烈地
duplication,n. 复制；副本；成倍
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
eliminate,vt. 消除；排除
elsewhere,adv. 在别处；到别处
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
embarrass,vt. 使局促不安；使困窘；阻碍
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
emphasize,vt. 强调，着重
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
endurance,n. 忍耐力；忍耐；持久；耐久
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
enthusiasm,n. 热心，热忱，热情
entrance,"n. 入口；进入
vt. 使出神，使入迷"
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
eventually,adv. 最后，终于
everything,pron. 每件事物；最重要的东西；（有关的）一切；万事
exception,n. 例外；异议
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
exclude,vt. 排除；排斥；拒绝接纳；逐出
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
exclusively,adv. 唯一地；专有地；排外地
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
exertion,n. 发挥；运用；努力
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
existence,n. 存在，实在；生存，生活；存在物，实在物
exotic,adj. 异国的；外来的；异国情调的
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
expedition,n. 远征；探险队；迅速
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
exploration,n. 探测；探究；踏勘
expose,vt. 揭露，揭发；使曝光；显示
facility,n. 设施；设备；容易；灵巧
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
forever,adv. 永远；不断地；常常
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
formula,n.  公式，准则；配方；婴儿食品
forthcoming,"n. 来临
adj. 即将来临的"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
fruitful,adj. 富有成效的；多产的；果实结得多的
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
habitat,n.  栖息地，产地
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
handful,n. 少数；一把；棘手事
hasten,"vt. 加速；使赶紧；催促
vi. 赶快；急忙"
hazardous,adj. 有危险的；冒险的；碰运气的
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
hypothesis,n. 假设
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
impair,vt. 损害；削弱；减少
impart,vt. 给予（尤指抽象事物），传授；告知，透露
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
improvement,n. 改进，改善；提高
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
incidentally,adv. 顺便；偶然地；附带地
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
increasingly,adv. 越来越多地；渐增地
incur,vt. 招致，引发；蒙受
indefinite,adj. 不确定的；无限的；模糊的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
indication,n. 指示，指出；迹象；象征
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
industrialize,"vt. 使工业化
vi. 实现工业化"
inertia,n.  惯性；惰性，迟钝；不活动
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
install,vt. 安装；任命；安顿
instantaneous,adj. 瞬间的；即时的；猝发的
instruct,vt. 指导；通知；命令；教授
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
intention,n. 意图；目的；意向；愈合
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interaction,"n. 相互作用； 交互作用
n. 互动"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interpretation,n. 解释；翻译；演出
intolerant,adj. 无法忍受的；偏狭的
intrinsic,adj. 本质的，固有的
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
investigate,v. 调查；研究
jobless,"adj. 失业的，无业的；（关于）失业者的
n. 失业者"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
legacy,n. 遗赠，遗产
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
