thirsty,adj. 口渴的，口干的；渴望的，热望的
lead to,"na. 通向
 导致；引起；通往"
less and less,"un. 扣去；越来越少
 越来越少的；越来越小地；少了"
moreover,adv. 而且；此外
fisherman,n. 渔夫；渔人
fishermen,n. 渔夫，钓鱼者，渔船
fish,"n. 鱼，鱼类
vt. 钓鱼，捕鱼；搜寻
vi. 捕鱼，钓鱼；用钩捞取"
government,n. 政府；政体；管辖
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
society,n. 社会；交往；社团；社交界
record,"n. 档案，履历；唱片；最高纪录
adj. 创纪录的
vt. 记录，记载；标明；将...录音
vi. 记录；录音"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
describe,vt. 描述，形容；描绘
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
importance,n. 价值；重要；重大；傲慢
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
 写下；写下来；减记"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
red-crowned,丹顶鹤
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
binoculars,n.  双筒望远镜； 双筒镜， 双目镜
clearly,adv. 清晰地；明显地；无疑地；明净地
speaker,n. 演讲者；扬声器；说话者；说某种语言的人
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
application,n. 应用；申请；应用程序；敷用
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
chairperson,n. 主席；议长
introduce,vt. 介绍；引进；提出；采用
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
foggy,adj. 有雾的；模糊的，朦胧的
rainy,adj. 下雨的；多雨的
snowy,adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
memory,n. 记忆，记忆力；内存， 存储器；回忆
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
upon,prep. 根据；接近；在…之上
on,"adv. 向前地；作用中，行动中；继续着
prep. 向，朝……；关于；在……之上；在……时候
adj. 开着的；发生着的，正在进行中"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
temperature,n. 温度；体温；气温；发烧
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
awful,adj. 可怕的；极坏的；使人敬畏的
snowstorm,n. 暴风雪；雪暴
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
around,"prep. 四处；在…周围
adv. 大约；到处；在附近"
sunshine,n. 阳光；愉快；晴天；快活
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
degree,n. 程度，等级；度；学位；阶层
bit,"n.  比特（二进位制信息单位）；少量；马嚼子；辅币；老一套；一点，一块
adj. 很小的；微不足道的
vt. 咬（bite的过去式和过去分词）
vt. 控制
adv. 有点儿；相当"
a bit,"na. 有点儿
 一点儿；稍微；有一点"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
loud,"adj. 大声的，高声的；不断的；喧吵的
adv. 大声地，高声地，响亮地"
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
sleepy,adj. 欲睡的；困乏的；不活跃的
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
shiny,adj. 有光泽的，擦亮的；闪耀的；晴朗的；磨损的
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
snowball,"n. 雪球
vt. 向…掷雪球；使滚雪球般增大
vi. 掷雪球；滚雪球般增大"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
snowman,n. 雪人
snowmen,n. 雪人( snowman的名词复数 )
ice,"n. 冰；冰淇淋；矜持；（俚）钻石
adj. 冰的
vt. 冰镇；结冰
vi. 结冰"
everywhere,"n. 每个地方
adv. 到处"
disaster,n. 灾难，灾祸；不幸
mop,"vt. 擦干；用拖把拖洗
vi. 用拖把擦洗地板；扮鬼脸
n. 拖把；蓬松的头发；鬼脸"
up,"prep. 在…之上；向…的较高处
n. 上升；繁荣
adj. 涨的；起床的；向上的
adv. 起来；上涨；向上"
earthquake,n. 地震；大动荡
thousands of,"adj. 几千；成千上万
 成千上万的；数以千计的；数千"
accident,n. 事故；意外； 意外事件；机遇
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
wash away,"v. 清洗
 冲走；洗掉；冲掉"
village,n. 村庄；村民；（动物的）群落
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
catch fire,"na. 着火
 失火；著火；发火"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
loud,"adj. 大声的，高声的；不断的；喧吵的
adv. 大声地，高声地，响亮地"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
direction,n. 方向；指导；趋势；用法说明
in all directions,"na. 四面八方
 向四面八方；各方面；朝四面八方"
while,"conj. 虽然；然而；当……的时候
n. 一会儿；一段时间
vt. 消磨；轻松地度过"
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
come down,"na. 败落；退步；(飞机的)下降
 下来；病倒；降落"
shaking,"n. 震动，震惊；挥动，摇动
v. 握手（shake的ing形式）；摇动；颤动"
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
not ... at all,找不到解释
if,"conj. （表条件）如果；即使；是否；（表假设）假如
n. 条件；设想"
nervous,adj. 神经的；紧张不安的；强健有力的
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
trapped,"adj. 捕获的；陷入困境的；收集的；受到限制的
vt. 诱捕（trap的过去分词）"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
calm down,"na. 平静下来
 镇定下来；冷静；冷静下来"
since,"conj. 因为；由于；既然；自…以来；自…以后
prep. 自…以来；自…以后
adv. 后来"
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
alive,adj. 活着的；活泼的；有生气的
dark,"n. 黑暗；夜；黄昏；模糊
adj. 黑暗的，深色的；模糊的；无知的；忧郁的"
find one's way out, 寻找解决方法；寻找出路
shout,"n. 呼喊；呼叫
vi. 呼喊；喊叫；大声说
vt. 呼喊；大声说"
at last,"na. 终于
 最后；最终；终於"
daylight,n. 白天；日光；黎明；公开
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
asleep,"adj. 睡着的；麻木的；长眠的
adv. 熟睡地；进入睡眠状态"
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
as ... as possible,找不到解释
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
railway,"n. （英）铁路；轨道；铁道部门
vi. 乘火车旅行"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
daughter,"n. 女儿； 子代
adj. 女儿的；子代的"
granddaughter,n. 孙女；外孙女
son,n. 儿子；孩子（对年轻人的称呼）；男性后裔
grandson,n. 孙子；外孙
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
weekday,n. 平日，普通日；工作日
headache,n. 头痛；麻烦；令人头痛之事
toothache,n.  牙痛
countryside,n. 农村，乡下；乡下的全体居民
housework,n. 家务事
pancake,"n. 薄烤饼；粉饼；平降（全称pancake landing）
vt. 使平坠著陆；使平展
vi. 平坠着陆；平展"
nearly,adv. 差不多，几乎；密切地
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
