barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
secondhand,"adj. 二手的；旧的；间接获得的；做旧货生意的
adv. 间接地；间接听来；以旧货"
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
specify,vt. 指定；详细说明；列举；把…列入说明书
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
trivial,adj. 不重要的，琐碎的；琐细的
important,adj. 重要的，重大的；有地位的；有权力的
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
bewilder,vt. 使迷惑，使不知所措
bewilderment,n. 困惑；迷乱；慌张
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circulation,n. 流通，传播；循环；发行量
deceive,v. 欺骗；行骗
deception,n. 欺骗，欺诈；骗术
define,vt. 定义；使明确；规定
definition,n. 定义； 清晰度；解说
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
disruption,n. 破坏，毁坏；分裂，瓦解
heredity,n. 遗传，遗传性
hereditary,"n. 遗传类
adj. 遗传的；世袭的；世代相传的"
myth,n. 神话；虚构的人，虚构的事
mythical,adj. 神话的；虚构的
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
outrageous,adj. 粗暴的；可恶的；令人吃惊的
patriot,n. 爱国者
patriotic,adj. 爱国的
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
penetration,n. 渗透；突破；侵入；洞察力
restrict,vt. 限制；约束；限定
restriction,n. 限制；约束；束缚
temperament,n. 气质，性情，性格；急躁
temperamental,adj. 喜怒无常的；性情的；易兴奋的
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
earthquake,n. 地震；大动荡
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
famine,n. 饥荒；饥饿，奇缺
fraud,n. 欺骗；骗子；诡计
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
recess,"n. 休息；休会；凹处
vt. 使凹进；把…放在隐蔽处
vi. 休息；休假"
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
rustle,"n. 沙沙声；急忙；飒飒声
vt. 使…沙沙作响
vi. 发出沙沙声"
scowl,"n. 愁容；怒容；阴沉沉的样子
vt. 皱眉表示；对…沉下脸
vi. 皱眉；怒视"
wretch,n. 可怜的人，不幸的人；卑鄙的人
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
road,"n. 公路，马路；道路；手段
adj. （美）巡回的
vt. （狗）沿臭迹追逐（猎物）"
bestow,vt. 使用；授予；放置；留宿
confer,"vt. 授予；给予
vi. 协商"
brim,"n. 边；边缘
vi. 满溢；溢出
vt. 使…满溢"
brink,n. （峭壁的）边缘
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
insight,n. 洞察力；洞悉
penetration,n. 渗透；突破；侵入；洞察力
plea,n. 恳求，请求；辩解，辩护；借口，托辞
pretext,"n. 借口；托辞
vt. 以…为借口"
prestige,n. 威望，声望；声誉
reputation,n. 名声，名誉；声望
ripple,"n. 波纹；涟漪； 涟波
vt. 在…上形成波痕
vi. 起潺潺声"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
shrill,"n. 尖叫声
adv. 尖锐地
vi. 尖声喊叫
vt. 尖声喊出
adj. 尖锐的；刺耳的"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
stray,"n. 走失的家畜；流浪者
adj. 迷路的；离群的；偶遇的
vi. 流浪；迷路；偏离"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
tendency,n. 倾向，趋势；癖好
wreath,"n. 花冠；圈状物
vt. 环绕（等于wreathe）
vi. 盘旋（等于wreathe）"
garland,"n. 花环
vt. 戴花环"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
accumulate,"vt. 积攒
vi. 累积；积聚"
statter,找不到解释
ample,adj. 丰富的；足够的；宽敞的
scanty,adj. 缺乏的；吝啬的；仅有的；稀疏的
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
existent,"n. 生存者；存在的事物
adj. 存在的；生存的"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
darken,"vt. 使变暗；使模糊
vi. 变黑；变得模糊"
incredible,adj. 难以置信的，惊人的
believable,adj. 可信的
lament,"n. 挽歌；恸哭；悲痛之情
vi. 哀悼；悲叹；悔恨
vt. 哀悼；痛惜"
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
profound,adj. 深厚的；意义深远的；渊博的
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
disorderly,"adj. 混乱的，无秩序的；骚乱的；无法无天的
adv. 杂乱地，无秩序地"
vivid,adj. 生动的；鲜明的；鲜艳的
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
comical,adj. 滑稽的，好笑的
drowsy,adj. 昏昏欲睡的；沉寂的；催眠的
embarrass,vt. 使局促不安；使困窘；阻碍
fabric,n. 织物；布；组织；构造；建筑物
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
pregnant,adj. 怀孕的；富有意义的
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
repulse,"n. 拒绝；击退
vt. 拒绝；驱逐；憎恶"
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
aristocrat,n. 贵族
biography,n. 传记；档案；个人简介
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
daze,"n. 迷乱，眼花缭乱
vt. 使茫然；使眼花缭乱；使晕眩"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
mound,"n. 堆；高地；坟堆；护堤
vt. 堆起；筑堤
vi. 积成堆"
ranch,"n. 大农场；大牧场
vi. 经营牧场；在牧场工作
vt. 经营牧场；在牧场饲养…"
repeal,"n. 废除；撤销
vt. 废除；撤销；废止；放弃；否定"
rumble,"n. 隆隆声；抱怨声
vi. 隆隆作响
vt. 使隆隆响；低沉地说"
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
batter,"n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜
vt. 猛击；打坏；使向上倾斜
vi. 接连猛击；向上倾斜"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
garbage,n. 垃圾；废物
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
obstacle,n. 障碍，干扰；妨害物
obstruction,n. 障碍；阻碍；妨碍
pious,adj. 虔诚的；敬神的；可嘉的；尽责的
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
regulate,vt. 调节，规定；控制；校准；有系统的管理
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
uproar,n. 骚动；喧嚣
shovel,"n. 铁铲；一铲的量；铲车
vi. 铲
vt. 铲除；用铲挖；把…胡乱塞入"
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
stately,adj. 庄严的；堂皇的，宏伟的
majestic,adj. 庄严的；宏伟的
tow,"n. 拖；麻的粗纤维；拖曳所用之绳
vt. 拖；牵引；曳
vi. 被拖带；拖行"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
vex,"vt. 使烦恼；使困惑；使恼怒
vi. 烦恼"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
communism,n. 共产主义
dignify,vt. 使高贵；增威严；授以荣誉
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
disaster,n. 灾难，灾祸；不幸
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
gloom,n. 昏暗；阴暗
brightness,n.  亮度；聪明，活泼；鲜艳；愉快
hospitable,adj. 热情友好的；（环境）舒适的
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
adult,"n. 成年人
adj. 成年的；成熟的"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
immature,adj. 不成熟的；未成熟的；粗糙的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
fairness,n. 公平；美好；清晰；顺利性
simplify,vt. 简化；使单纯；使简易
complicate,vt. 使复杂化；使恶化；使卷入
tranquil,adj. 安静的，平静的；安宁的；稳定的
noisy,adj. .嘈杂的；喧闹的；聒噪的
unworthy,adj. 不值得的；无价值的；不相称的
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
valid,adj. 有效的；有根据的；合法的；正当的
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
athlete,n. 运动员，体育家；身强力壮的人
certify,v. 证明；保证
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
convey,vt. 传达；运输；让与
discreet,adj. 谨慎的；小心的
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
torrent,n. 奔流；倾注；迸发；连续不断
anniversary,n. 周年纪念日
barracks,"n. 兵营，营房；简陋的房子；警察所（barrack的复数）
v. 使驻扎军营里；住在工房、棚屋里；（澳）大声鼓噪（barrack的三单形式）"
creed,n. 信条，教义
drip,"n. 水滴，滴水声；静脉滴注；使人厌烦的人
vt. 使滴下；溢出，发出
vi. 滴下；充满；漏下"
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
patron,n. 赞助人；保护人；主顾
razor,"n. 剃刀
vt. 剃，用剃刀刮"
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
telegraph,"n.  电报机，电报
vt. 电汇；流露出；打电报给…
vi. 打电报"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
acknowledge,vt. 承认；答谢；报偿；告知已收到
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
beware,"vt. 注意，当心；提防
vi. 当心，小心"
heed,"n. 注意到；留心到
vt. 注意，留心
vi. 注意，留心"
dwell,vi. 居住；存在于；细想某事
reside,vi. 住，居住；属于
endow,vt. 赋予；捐赠；天生具有
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
pitiable,adj. 可怜的
reap,"vt. 收获，获得；收割
vi. 收割，收获"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
reproach,"n. 责备；耻辱
vt. 责备；申斥"
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
rigorous,adj. 严格的，严厉的；严密的；严酷的
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
sustain,vt. 维持；支撑，承担；忍受；供养；证实
maintain,vt. 维持；继续；维修；主张；供养
torment,"n. 痛苦，苦恼；痛苦的根源
vt. 折磨，使痛苦；纠缠，作弄"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
abolish,vt. 废除，废止；取消，革除
establish,"vi. 植物定植
vt. 建立；创办；安置"
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
skillful,adj. 熟练的；巧妙的
bliss,"n. 极乐；天赐的福
vt. 使欣喜若狂
vi. 狂喜
n. 必列斯（化妆品品牌）"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
expenditure,n. 支出，花费；经费，消费额
income,n. 收入，收益；所得
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
prolong,vt. 延长；拖延
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
urban,adj. 城市的；住在都市的
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
undistinguished,adj. 平凡的；混杂的；听不清的；看不清的
prominent,adj. 突出的，显著的；杰出的；卓越的
concession,n. 让步；特许（权）；承认；退位
deceit,n. 欺骗；谎言；欺诈手段
dedicate,vt. 致力；献身；题献
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
economical,adj. 经济的；节约的；合算的
infect,vt. 感染，传染
intolerant,adj. 无法忍受的；偏狭的
respective,adj. 分别的，各自的
scholar,n. 学者；奖学金获得者
technique,n. 技巧，技术；手法
tedious,adj. 沉闷的；冗长乏味的
bristle,"n. 猪鬃；刚毛
vi. 发怒；竖起
vt. 使（毛发等）直立"
commodity,n. 商品，货物；日用品
dispatch,"n. 派遣；急件
vt. 派遣；分派"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
frantic,adj. 狂乱的，疯狂的
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
hemisphere,n. 半球
install,vt. 安装；任命；安顿
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
species,"n.  物种；种类
adj. 物种上的"
assail,vt. 攻击；质问；着手解决
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
hindrance,n. 障碍；妨碍；妨害；阻碍物
burglar,n. 夜贼，窃贼
thief,n. 小偷，贼
devour,v. 吞食；毁灭
gulp,"n. 一大口（尤指液体）；吞咽
vi. 哽住；喘不过气
vt. 狼吞虎咽地吃；大口地吸"
dreary,adj. 沉闷的，枯燥的
gloomy,adj. 黑暗的；沮丧的；阴郁的
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
homage,n. 敬意；尊敬；效忠
reverence,"n. 崇敬；尊严；敬礼
vt. 敬畏；尊敬"
inescapable,adj. 不可避免的；逃脱不了的
unavoidable,adj. 不可避免的；不能废除的
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
sly,adj. 狡猾的；淘气的；诡密的
crafty,adj. 狡猾的；灵巧的
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
vanquish,vt. 征服；击败；克服；抑制（感情等）
overcome,"vt. 克服；胜过
vi. 克服；得胜"
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
skillful,adj. 熟练的；巧妙的
conservative,找不到解释
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
exhale,"vt. 呼气；发出；发散；使蒸发
vi. 呼气；发出；发散"
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
homely,adj. 家庭的；平凡的；不好看的
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
indefinite,adj. 不确定的；无限的；模糊的
definite,adj. 一定的；确切的
obedient,adj. 顺从的，服从的；孝顺的
disobedient,adj. 不服从的；违背的；不孝的
precise,adj. 精确的；明确的；严格的
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
rational,"n. 有理数
adj. 合理的；理性的"
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
timid,adj. 胆小的；羞怯的
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
harmful,adj. 有害的；能造成损害的
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
barbarian,"n. 野蛮人
adj. 野蛮的；未开化的"
essence,n. 本质，实质；精华；香精
harmony,n. 协调；和睦；融洽；调和
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
modify,"vt. 修改，修饰；更改
vi. 修改"
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
suburb,n. 郊区；边缘
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
vacancy,n. 空缺；空位；空白；空虚
alley,n. 小巷；小路；小径
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
dairy,"n. 奶制品；乳牛；制酪场；乳品店；牛奶及乳品业
adj. 乳品的；牛奶的；牛奶制的；产乳的"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
pillar,"n. 柱子，柱形物；栋梁；墩
vt. 用柱支持"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
refrigerator,n. 冰箱，冷藏库
skull,n. 头盖骨，脑壳
strategy,n. 战略，策略
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
undertake,vt. 承担，保证；从事；同意；试图
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
breadth,n. 宽度，幅度；宽宏
width,n. 宽度；广度
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
conspicuous,adj. 显著的；显而易见的
noticeable,adj. 显而易见的，显著的；值得注意的
delusion,n. 迷惑，欺骗；错觉；幻想
impatient,adj. 焦躁的；不耐心的
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
miracle,n. 奇迹，奇迹般的人或物；惊人的事例
prodigy,n. 奇迹，奇事；奇才；奇观；预兆
provisional,"adj. 临时的，暂时的；暂定的
n. 临时邮票"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
restrain,vt. 抑制，控制；约束；制止
suppress,vt. 抑制；镇压；废止
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
ramble,"vi. 漫步；漫游；闲逛；漫谈；蔓延
vt. 漫步于…
n. 漫步；漫游；随笔"
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
endanger,vt. 危及；使遭到危险
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
fiction,n. 小说；虚构，编造；谎言
fact,n. 事实；实际；真相
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
intimacy,n. 性行为；亲密；亲昵行为；隐私
unfamiliarity,n. 陌生
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
defend,"vi. 保卫；防守
vt. 辩护；防护"
selfish,adj. 自私的；利己主义的
altruistic,adj. 利他的；无私心的
thrifty,adj. 节约的；茂盛的；成功的
wasteful,adj. 浪费的，不经济的；奢侈的
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
erroneous,adj. 错误的；不正确的
expend,vt. 花费；消耗；用光；耗尽
fury,n. 狂怒；暴怒；激怒者
liberate,vt. 解放；放出；释放
perplex,vt. 使困惑，使为难；使复杂化
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
temperate,adj. 温和的；适度的；有节制的
bout,n. 回合；较量；发作；一阵
category,n. 种类，分类； 范畴
choir,"n. 唱诗班；合唱队；舞蹈队
vt. 合唱
vi. 合唱"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
emigrate,"vi. 移居；移居外国
vt. 移民"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
pane,"n. 窗格；边；面；窗格玻璃；嵌板
vt. 装窗玻璃于；镶嵌板于"
pest,n. 害虫；有害之物；讨厌的人
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
abode,"n. 住处；营业所
v. 遵守；停留；忍受（abide的过去分词）"
residence,n. 住宅，住处；居住
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
yearly,"n. 年刊；年鉴
adj. 每年的
adv. 每年；一年一次"
coax,"vt. 哄；哄诱；慢慢将…弄好
vi. 哄骗；劝诱"
