agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
revenuer,n. <美口>财政部缉私酒官员，税务官员
circumvent,v. 包围；智取；绕行，规避
circumvention,n. 规避；陷害；绕行
circumventer, 围绕者
supervene,"vt. 随后发生；取代
vi. 随后发生；接着发生"
supervention,"n. 意外发生, 并发, 伴随产生, 附带发生
 附加, 并发"
contravene,vt. 抵触；违反；反驳；否认
contravention,n. 违反，违背；矛盾；违法
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
advertisement,n. 广告，宣传
anniversary,n. 周年纪念日
subvert,vt. 颠覆；推翻；破坏
subversion,n. 颠覆；破坏
subversive,"n. 危险分子；颠覆分子
adj. 破坏性的；从事颠覆的"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
diversion,n. 转移；消遣；分散注意力
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
adversity,n. 逆境；不幸；灾难；灾祸
adversary,n. 对手；敌手
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
reversion,n. 逆转；回复；归还； 隔代遗传； 继承权
reversible,"adj. 可逆的；可撤消的；可反转的
n. 双面布料"
irreversible,adj. 不可逆的；不能取消的；不能翻转的
introvert,"n. 内向的人；内翻的东西
vi. 成为内弯；成为性格内向的人
vt. 使内向；使内倾；使内弯"
introversion,n. 内省性，内向性
extrovert,n. 外向；外倾者；性格外向者（等于extravert）
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
conversion,n. 转换；变换； 兑换；改变信仰
versatile,adj. 多才多艺的；通用的，万能的；多面手的
controvert,"vt. 驳斥；就…展开争论
vi. 争论；辩论"
controversy,n. 争论；论战；辩论
controversial,adj. 有争议的；有争论的
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
inverse,"n. 相反；倒转
adj. 相反的；倒转的
vt. 使倒转；使颠倒"
inversion,n. 倒置；反向；倒转
inversive,"a. 反向的
 转化的"
diverse,adj. 不同的；多种多样的；变化多的
diversify,vt. 使多样化，使变化；增加产品种类以扩大
diversified,"adj. 多样化的；各种的
v. 使…多样化（diversify的过去分词）"
diversification,n. 多样化；变化
diversiform,adj. 多种的，各色各样的，多样的
diversity,n. 多样性；差异
retrovert,vt. 向后弯曲；使后屈
retroversion,n. 回退，倒转; 回译
avert,vt. 避免，防止；转移
version,n. 版本；译文；倒转术
vertigo,n. 晕头转向， 眩晕
obvious,adj. 明显的；显著的；平淡无奇的
obviously,"adv. 明显地
显然地"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
trivial,adj. 不重要的，琐碎的；琐细的
triviality,n. 浅薄，轻浮；琐事；平凡
deviate,"vi. 脱离；越轨
vt. 使偏离"
deviation,n. 偏差；误差；背离
deviationist,"n. 异端分子
a. 异端的"
devious,adj. 偏僻的；弯曲的；不光明正大的
via,prep. 渠道，通过；经由
viatic,"a. 道路的, 旅行的"
viameter,n. 路程计; 车程计
viaduct,n. 高架桥；高架铁路
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
visitor,n. 访问者，参观者；视察者；候鸟
revisit,"n. 再访问
vt. 重游；再访；重临"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
adviser,n. 顾问；劝告者；指导教师（等于advisor）
advisor,n. 顾问；指导教师；劝告者
advisory,"n. 报告；公告
adj. 咨询的；顾问的；劝告的"
advice,n. 建议；忠告；劝告；通知
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
revision,n.  修正；复习；修订本
previse,vt. 预知；预先警告
prevision,n. 预知；先见
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
supervisor,n. 监督人， 管理人；检查员
supervision,n. 监督，管理
supervisory,adj. 监督的
visual,adj. 视觉的，视力的；栩栩如生的
visage,n. 面貌，容貌；外表
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
television,n. 电视，电视机；电视业
televise,"vt. 用电视播放
vi. 电视播放"
televisual,adj. 电视的；适于上电视镜头的
visa,"n. 签证
vt. 签发签证"
evident,adj. 明显的；明白的
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
provident,adj. 节俭的；有先见之明的；顾及未来的
improvident,adj. 浪费的；无远见的；无先见之明的
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
videophone,n. 电视电话
videocast,"n. 电视广播
 视频广播"
vital,adj. 至关重要的；生死攸关的；有活力的
vitality,n. 活力，生气；生命力，生动性
vitalize,vt. 赋予…生命；激发；使有生气
revitalize,vt. 使…复活；使…复兴；使…恢复生气
devitalize,vt. 夺去生命，使衰弱
vitamin,n.  维生素； 维他命
vitamine,"n. 维生素, 维他命"
vitaminology,"n. 维生素学
 维生素学"
avitaminosis,n. 维生素缺乏症
devitaminize,vt. 使(食物)失去维生素
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
survival,n. 幸存，残存；幸存者，残存物
survivor,n. 幸存者；生还者；残存物
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
revival,n. 复兴；复活；苏醒；恢复精神；再生效
vivid,adj. 生动的；鲜明的；鲜艳的
vivacious,adj. 活泼的；快活的；有生气的
vivacity,n. 活泼；快活；精神充沛
vivify,vt. 使生动；使活跃；给与生气
vivarium,n. 植物园；动物园
revivify,"vt. 使再生，使复活；使振奋精神
vi. 复活，再生；振奋精神"
vivisect,vt. 活生生解剖
vivisection,n. 活体解剖
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
aeriform,adj. 无形的；空气状的；无实质的
aerify,v. 在…注入空气; 掺气于; 使气化; 使蒸发
aerification,"n. 气化, 充气
 气化"
aerodrome,n. 飞机场；航空站
aerodynamics,n.  气体力学； 航空动力学
aerogram,n. 无线电报，航空邮件
aerolith,n. 陨石；硝酸钾
aerolithology,n. 陨星学
aerology,n. 高空气象学
aeroscopy,空中观测术
aerometer,n. 量气计，气体计
aerobiology,n. 空气生物学，高空生物学
aeromedicine,n. 航空医学
aeromechanics,n. 航空力学；空气力学
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
alto,"n. 女低音；男声最高音；中音乐器
adj. 中音部的"
exalt,"vt. 提升；提拔；赞扬；使得意
vi. 使人得意"
exaltation,n. 得意洋洋，欣喜；提拔；举起
exalted,"adj. 高尚的；尊贵的；兴奋的
v. 高举；赞扬；使激动（exalt的过去分词）"
altar,n. 祭坛；圣坛；圣餐台
altarage,n. 坛上的祭品
altimeter,n. 测高仪，高度计
altimetry,n. 测高学，高度测量法（以海平面为基准）
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
amateurish,adj. 业余的；不熟练的；外行的
amatory,adj. 恋爱的，情人的
amour,n. 恋情；偷情，奸情
amorous,adj. 多情的；恋爱的；热情的；色情的
amorist,n. 多情的人，好色的人; 善于写爱情（尤指色情）故事的人
enamour,vt. 使倾心，使迷恋
ambulance,n.  救护车；战时流动医院
ambulant,adj. 走动的，流动的；可走动的
ambulate,vi. 走动；步行；移动
ambulation,n. 移动；步行
ambulator,n. （地测）测程轮，测距计
circumambulate,vt. 巡行；绕行；婉转打探
circumambulation, 绕行；转经；绕坛城
noctambulant,a. 夜间步行的
noctambulation,n. 梦行症
noctambulist,n. 梦行者
perambulate,"vt. 巡行；巡视；漫步
vi. 漫步；巡回"
perambulation,n. 勘查；巡视
perambulator,n. 巡视者；勘查者；摇篮车
preamble,"n. 序文；电报报头；先兆
vi. 作序文"
preambulate,vi. 作序言
somnambulate,vi. 梦游
somnambulation, 梦行
somnambulist,n. 梦游者；梦游症患者
somnambulistic,adj. 梦行的，梦游者的
animal,"n. 动物
动物的"
animalcule,n. 微生物
animalize,v. 使动物化
animality,n. 兽性；人的动物本能；动物界（等于animal kingdom）；动物的生活
animalism,n. 动物特性，兽性
animate,"adj. 有生命的
vt. 使有生气；使活泼；鼓舞；推动"
animation,n. 活泼，生气；激励；卡通片绘制
animator,n. 鼓舞者；赋与生气者；卡通片绘制者（等于animater）
animative,a. 使有生气的；令人鼓舞的
disanimate,v. 使灰心，使失去生命
equanimity,n. 平静；镇定
exanimate,adj. 已死的，缺乏生气的
exanimation,"n. 死, 昏迷, 晕厥, 意气消沉
 晕厥, 昏迷, 昏睡"
inanimate,adj. 无生命的；无生气的
inanimation,"n. 无生命, 无活动, 不活泼"
longanimous,"a. 忍受的, 忍耐的"
longanimity,n. 忍受；坚忍
reanimate,vt. 鼓舞；使复活；使恢复生气
reanimation,n. 复活；鼓舞；激励
unanimous,adj. 全体一致的；意见一致的；无异议的
unanimity,n. 同意，全体一致
magnanimous,adj. 宽宏大量的；有雅量的；宽大的
anthropology,"n. 人类学
人类学家"
anthropologist,n. 人类学家；人类学者
anthropoid,"n. 类人猿
adj. 类人猿的；类人的；（猿等）似人类的"
anthroposcopy,"n. 相术, 相面术"
anthroposociology,n. 人类社会学
anthropotomy,n.  人体解剖学
philanthropy,n. 博爱，慈善；慈善事业
philanthropist,n. 慈善家，博爱主义者；乐善好施的人
philanthropic,adj. 博爱的；仁慈的
misanthropy,n. 厌恶人类；厌世，愤世嫉俗
misanthropist,n. 厌世者；厌恶人类者
misanthropic,adj. 厌恶人类的；不愿与人来往的
aquarium,n. 水族馆；养鱼池；玻璃缸
aquatic,"n. 水上运动；水生植物或动物
adj. 水生的；水栖的；在水中或水面进行的"
aqueduct,n.  渡槽；导水管；沟渠
aqueous,adj. 水的，水般的
aquosity,"n. 潮湿
 水性, 水态"
aquiculture,n. 水产养殖；水培（等于aquaculture）
aquiferous,adj. 含水的； 蓄水的
aquiform,a. 水状的；液体的
subaqueous,adj. 水中的，水下用的
superaqueous,a. 水上的
aqualung,"n. 水肺，水中呼吸器
vi. 使用水肺"
aquashow,n. 水上技艺表演
anarchy,n. 无政府状态；混乱；无秩序
anarchism,n. 无政府主义
anarchist,"n. 无政府主义者
无政府主义的"
monarch,n. 君主，帝王；最高统治者
monarchy,n. 君主政体；君主国；君主政治
monarchic,adj. 君主政体的；君主的；赞成君主政体的
monarchism,n. 君主主义，君主制主义
polyarchy,n. 多头政治
oligarchy,n. 寡头政治
plutarchy,n. 富豪统治
gynarchy,n. 妇女政治；女人当政
patriarch,n. 家长；族长；元老；创始人
patriarchy,n. 父权制；家长统治；父系社会
matriarch,n. 女家长；女统治者；女负责人；受人尊敬的妇女
matriarchy,n. 母权制；女家长制；女族长制；母系氏族
avian,"n. 鸟
adj. 鸟的；鸟类的"
aviary,n. 鸟类饲养场；大型鸟舍
aviculture,n. 养鸟，鸟类饲养; 养禽业
aviate,"vi. 驾驶飞机，乘坐飞机
vt. 驾驶（飞机）"
aviation,n. 航空；飞行术；飞机制造业
aviator,n. 飞行员
aviatrix,n. 女飞行家，女飞行员
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
combatant,"n. 战士；争斗者
adj. 战斗的；好斗的"
combative,adj. 好战的；好事的
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
batter,"n. 击球手；（用鸡蛋、牛奶、面粉等调成的）糊状物；墙面的倾斜
vt. 猛击；打坏；使向上倾斜
vi. 接连猛击；向上倾斜"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
debatable,adj. 成问题的；可争论的；未决定的
debater,n. 讨论者；辩论家
bibliographer,n. 书志学家；书目编制人
bibliographic,adj. 书目的；书籍解题的；著书目录的
bibliographize,v. 作书目
bibliography,n. 参考书目；文献目录
bibliolatry,n. 书籍崇拜，圣经崇拜
bibliolater,n. 书籍崇拜者，圣经崇拜者
bibliolatrous,adj. 书籍崇拜的，圣经崇拜的
bibliomania,n. 藏书癖，藏书狂; 集书狂
bibliophilist,n. 书籍收藏家
bibliopole,n. 书籍商
Bible,找不到解释
brigade,"n. 旅；大部队；队列
vt. 把…编成旅；把…编成队"
brigadier,n. 准将；陆军准将
brigand,n. 强盗；土匪；盗贼
brigandism,"n. 土匪行为, 掠夺
 掠夺, 土匪行为"
brigandish,a. 土匪般的
brigandage,n. 抢劫; 盗窃; 土匪; 强盗
brigantine,n. 双桅帆船的一种
decadence,n. 堕落，颓废；衰落
decadent,"adj. 颓废的；衰微的
n. 颓废者"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
casualty,n. 意外事故；伤亡人员；急诊室
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
occasional,adj. 偶然的；临时的；特殊场合的
occasionalism,n. 偶因论，机会论
occasionality,n. 偶然性
certify,v. 证明；保证
certifier,n.  证明者
certified,"v. 证明，证实；颁发合格证书（certify的过去分词形式）
adj. 被证明的；有保证的；具有证明文件的"
certification,n. 证明，保证；检定
certifiable,adj. 可证明的；可确认的；可保证的
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
certitude,n. 确信；确实
incertitude,n. 不确定，无信心；疑惑
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
certainly,adv. 当然；行（用于回答）；必定
certainty,n. 必然；确实；确实的事情
ascertain,vt. 确定；查明；探知
ascertainable,adj. 可查明的；可确定的
ascertainment,n. 确定；发现；探查
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
uncertainty,n. 不确定，不可靠
chronic,adj. 慢性的；长期的；习惯性的
chronicity,n. 慢性，长期性
synchronal,adj. 同步的；同时的
synchronism,n. 同时发生，同步性；对照性历史年谱
synchronize,"vt. 使……合拍；使……同步
vi. 同步；同时发生"
synchronoscope,n. 同步指示器，同步示波器
chronometer,n.  精密记时表；高度精确的钟表；航海经线仪
chronicle,"n. 编年史，年代记；记录
vt. 记录；把…载入编年史"
chronicler,n. 记录者；年代史编者
chronology,n. 年表；年代学
accident,n. 事故；意外； 意外事件；机遇
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
incidental,"n. 附带事件；偶然事件；杂项
adj. 附带的；偶然的；容易发生的"
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
coincident,adj. 一致的；符合的；同时发生的
coincidence,n. 巧合；一致；同时发生
Occident,找不到解释
Occidental,找不到解释
Occidentalism,n. 西方人（或文化）的特征
Occidentialist,找不到解释
deciduous,adj. 落叶性的，脱落性的；非永久性的
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
declension,n. 词尾变化；变格；倾斜；衰退
declinal, 下降
declinate,adj. 下倾的，斜向的，弯下的
declination,n. 倾斜；偏差；衰微；下倾；赤纬；磁偏角
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
inclination,n. 倾向，爱好；斜坡
inclinable,adj. 倾向于…的
disincline,"vt. 使不愿；使不欲；不感兴趣
vi. 不愿意"
disinclination,n. 不感兴趣；厌恶；不起劲
recline,"vt. 使躺下；使斜倚
vi. 靠；依赖；斜倚"
reclination," 针拨术, 内障摘出术"
cosmic,adj. 宇宙的（等于cosmical）
cosmism,n. 宇宙论
cosmics,"(cosmic 的复数) a. 宇宙的, 宇宙航行的, 无限的, 有秩序的
 宇宙的"
cosmology,n.  宇宙论， 宇宙学
cosmologic,adj. 宇宙论的，宇宙哲学的
cosmologist,n. 宇宙论者，宇宙学家
cosmonaut,n. （俄）宇航员（等于astronaut）
cosmonautics,n. 宇（宙）航（行）学，航天学
cosmopolis,n. 国际都市（指居民中有许多不同国籍的人）
cosmopolitan,"n. 四海为家者；世界主义者；世界各地都有的东西
adj. 世界性的；世界主义的，四海一家的"
cosmopolitanism,n. 世界主义；世界大同主义；四海一家
cosmos,n. 宇宙；和谐；秩序；大波斯菊
microcosm,n. 微观世界；小宇宙；作为宇宙缩影的人类；缩图（等于microcosmos）
microcosmic,adj. 微观的，微观世界的；小宇宙的
macrocosm,n. 宏观世界；宇宙
macrocosmic,宏观
democracy,n. 民主，民主主义；民主政治
democrat,n. 民主党人；民主主义者；民主政体论者
democratic,adj. 民主的；民主政治的；大众的
democratism,n. 民主主义
autocracy,n. 独裁政治；专制政治；独裁政府；独裁统治的国家
autocrat,n. 独裁者，专制君主；独断独行的人
autocratic,adj. 专制的；独裁的，专横的
bureaucracy,n. 官僚主义；官僚机构；官僚政治
bureaucrat,n. 官僚；官僚主义者
bureaucratic,adj. 官僚的；官僚政治的
bureaucratese,n. 官腔，官僚语言
bureaucratism,n. 官僚主义
bureaucratize,vt. 官僚统治，官僚化
plutocracy,n. 富豪统治，富豪统治集团
plutocrat,n. 财阀；富豪
plutocratic,adj. 财阀的，富豪的，有钱有势的
theocracy,n. 神政；神权政体；神治国（复数theocracies）
theocratic,adj. 神权的；神权政治的
monocracy,n. 独裁政治
monocrat,n. 独裁主义者；独裁者
monocratic, 四孢单性的
polycracy, 多元化
cubicle,n. 小卧室；小隔间
incubate,"n. 孵育物
vt. 孵化；培养；温育；逐渐发展
vi. 孵化；酝酿"
incubation,n. 孵化； 潜伏；抱蛋
incubative,"a. 孵蛋的, 潜伏的"
incubator,n.  孵卵器； 保温箱；早产儿保育器；细菌培养器
incubus,n. 梦魇；沉重的负担
concubine,n. 妾；情妇；姘妇
cultivate,vt. 培养；陶冶；耕作
cultivable,adj. 可培养的，可教化的；可耕种的
cultivation,n. 培养；耕作；耕种；教化；文雅
cultivator,n. 耕者；栽培者；耕田机
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
cultural,adj. 文化的；教养的
aquiculture,n. 水产养殖；水培（等于aquaculture）
agriculture,n. 农业；农耕；农业生产；农艺，农学
agricultural,adj. 农业的；农艺的
agriculturist,n. 农业家； 农场工作者
apiculture,n. 养蜂（业）
apiculturist,"n. 养蜂人, 养蜂家"
arboriculture,n. 树木的培植/栽培
arboriculturist,n. 树木栽培家
aviculture,n. 养鸟，鸟类饲养; 养禽业
floriculture,n. 花卉栽培；花卉园艺学
floricultural,"a. 种花的, 养花的"
floriculturist,"n. 花匠, 花草栽培家"
unicycle,n. 单轮车；独轮脚踏车
bicycle,"n. 自行车
vt. 骑自行车运送
vi. 骑脚踏车"
tricycle,n.  三轮车
autocycle,n. 摩托车
hemicycle,n. 半圆形；半圆形的斗技场；半圆形建筑
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
cyclical,adj. 周期的，循环的
cyclometer,n. 记转器; 里程计
cyclograph,n. 圆弧规; 涡流式感应图示仪
cyclone,n. 旋风； 气旋；飓风
tetracycline,n.  四环素（抗生素的一种）
democracy,n. 民主，民主主义；民主政治
democrat,n. 民主党人；民主主义者；民主政体论者
democratism,n. 民主主义
democratize,"vt. 使民主化；使大众化
vi. 民主化；大众化"
democratic,adj. 民主的；民主政治的；大众的
demagogue,n. 煽动者；煽动家；煽动政治家
demagogism,n. 煽动，煽动行为
demagogic,adj. 蛊惑人心的；煽动性的
demography,n. 人口统计学
demographic,adj. 人口统计学的；人口学的
endemic,"n. 地方病
adj. 地方性的；风土的"
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
epidemiology,n. 流行病学；传染病学
epidemiologist,n. 流行病学家
epidemiological,adj. 流行病学的
pandemic,"adj. （疾病等）（全国、全球i）流行的；普遍的
n. 流行性疾病"
dexter,adj. 右侧的；幸运的
dexterous,adj. 灵巧的；敏捷的；惯用右手的
dexterity,n. 灵巧；敏捷；机敏
ambidexter,"adj. 十分灵光的，怀二心的
n. 诡诈者，两面讨好者"
ambidexterous,adj. 左右手都很灵巧的
ambidexterity,n. 怀二心
dextral,adj. 右旋的；右侧的；用右手的
dextrorotation,n. 右旋
dextrorotatory,"a. 右旋的
 右旋的"
dextrose,n.  右旋糖， 葡萄糖
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
doctoral,"n. 博士论文
adj. 博士的；博士学位的；有博士学位的"
doctorate,n. 博士学位；博士头衔
doctrine,n. 主义；学说；教义；信条
doctrinal,adj. 学说的，教义的；教诲的
doctrinaire,"adj. 教条主义的；空谈理论的
n. 教条主义者；空论家，纯理论家"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
documental,adj. 公文的，文件的
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
docile,adj. 温顺的，驯服的；容易教的
docility,n. 温顺；顺从
indocile,adj. 不顺从的；不听话的；难教的
indocility,"n. 不顺从, 难教"
docent,n. 讲师；讲解员
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
domesticate,"vt. 驯养；教化；引进
vi. 驯养；使习惯于或喜爱家务和家庭生活"
domestication,n. 驯养；教化
domesticator," 驯化者, 驯养者, 使归化者"
domesticable,adj. 习于家居的，可移植的
domesticity,n. 家庭生活；专心于家务；对家庭的挚爱
domicile,"n. 住宅；永久居住地；期票支付场所
vt. 使定居；使在指定的场所支付（期票等）
vi. 居住"
domiciliary,adj. 住处的，住家的
domiciliate,v. 决定住处，定居
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
domical,"a. 圆屋顶的, 穹窿式的"
semidome,n. 半圆形屋顶
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
dormancy,n.  休眠，冬眠； 蛰伏
dormitive,"n. 安眠药；麻醉剂
adj. 安眠的；催眠的"
aerodrome,n. 飞机场；航空站
hippodrome,找不到解释
motordrome,"n. 汽车试车场, 赛车道路"
prodrome,n. 前驱症状，序论
prodromic,"a. 前驱的,有前驱症状的"
syndrome,n.  综合症状；并发症状；校验子；并发位
dromedary,n. 单峰骆驼
dromometer,速度计
ego,n. 自我；自负；自我意识
egoism,n. 利己主义，自我主义
egocentric,"adj.  自我中心的；利己主义的
n. 利己主义者"
egocentricity,n. 自我中心；自私自利
egoist,n. 自我主义者；利己主义者
egoistical,adj. 自我中心的，自私自利的，利己主义的
egomania,n. 自大狂；极端利己；利己癖；自尊癖
egomaniac,n. 极端自我主义者；极端利己主义者
errant,adj. 不定的；周游的；错误的；偏离正路的
errantry,n. 游侠行为，骑士精神，侠义
erratic,"n. 漂泊无定的人；古怪的人
adj. 不稳定的；古怪的"
error,n. 误差；错误；过失
erring,"v. 犯错误；越轨（err的ing形式）
adj. 做错的；错误的"
aberrant,adj. 异常的；畸变的；脱离常轨的；迷乱的
aberrance,n. 反常，异常，畸变
aberration,n. 失常；离开正路，越轨
inerrable,adj. 不会错的，没有错的
inerrancy,n. 无差错；绝对正确
fable,"n. 寓言；无稽之谈
vt. 煞有介事地讲述；虚构
vi. 编寓言；虚构"
fabler,"n. 编寓言者, 虚构情节者
 虚构情节者"
fabulist,n. 寓言家；说谎者
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
fabulosity,n. 传说性质; 非现实性; 无稽; 惊人
fabled,"adj. 寓言中的，虚构的
v. 虚构（fable的过去分词）"
confabulate,v. 交谈
confabulation,n. 交谈；闲谈
confabulator,n. 闲谈者
confab,"n. 交谈；会议
vi. 谈话；闲谈"
effable,adj. 可表达的
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
federalism,n. 联邦制；联邦主义
federalist,"adj. （支持）联邦党人的；联邦制的
n. 联邦党；联邦制拥护者；支持北部联邦者"
federalize,vt. 使同盟；使成联邦
federalization,n. 联邦化；同盟
federate,"adj. 同盟的；联邦制度下的；联合的
vt. 使结成同盟；使结成联邦
vi. 结成联邦"
federation,n. 联合；联邦；联盟；联邦政府
federationist,n. 联合主义者
federative,adj. 联合的；联邦性的
antifederal,a. 反对联邦的
confederacy,n. 联盟；联邦；私党
confederate,"n. 同盟国，同盟者
adj. 同盟的，联合的
vt. 使联盟；使联合；同伙；帮凶
vi. 同盟；联合"
confederation,n. 联盟；邦联；同盟
confederative,adj. 同盟的，联邦的，联合的
fervid,adj. 热的；热心的
fervidity,n. 炽热，热烈
fervent,adj. 热心的；强烈的；炽热的；热烈的
fervency,n. 热情的; 强烈的; 热烈
fervescent, 发热的
fervor,n. 热情；热烈；热心；炽热
effervesce,vi. 泡腾；冒泡；兴奋
effervescent,adj. 冒泡的，沸腾的；兴奋的
effervescence,n. 冒泡； 泡腾；欢腾
perfervid,adj. 非常热心的；热烈的
fiction,n. 小说；虚构，编造；谎言
fictionist,"n. 小说家, 创作家"
fictional,adj. 虚构的；小说的
fictionalize,vt. 使小说化；把…编成小说
fictitious,adj. 虚构的；假想的；编造的；假装的
fictive,adj. 虚构的；想象上的；虚伪的
fictile,"adj. 塑造的，陶土制的，可塑造性的
n. 陶制品"
figment,n. 虚构的事；臆造的事物
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
figurable,adj. 能成形的，能定形的
figural,adj. 借喻的；具有人的形象的；比喻的
figuration,n. 成形；外形；定形；比喻表达法；图案装饰法
figurine,n. 小雕像，小塑像
configure,vt. 安装；使成形
configuration,n. 配置；结构；外形
disfigure,vt. 使变丑；损毁…的外形；使大为减色
disfigurement,n. 缺陷；毁容；外形的损毁
prefigure,vt. 预示；预想
prefiguration,n. 预示；预想；征兆
transfigure,vt. 使变形；使改观；美化；理想化
transfiguration,n. 变形；变容；变貌
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
confiding,"adj. 相信人的，易于相信的
v. 吐露（秘密，心事等）( confide的现在分词 ); （向某人）吐露（隐私、秘密等）"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
confident,adj. 自信的；确信的
confidential,adj. 机密的；表示信任的；获信任的
confidant,n. 知己；密友
confidante,n. 知心女友；18世纪的一种沙发（等于confidente）
self-confidence,n. 自信
self-confident,adj. 自信的
overconfidence,n. 自负；过分相信
diffidence,n. 无自信；羞怯；内向
diffident,adj. 羞怯的；缺乏自信的；谦虚谨慎的
filar,adj. 丝的；丝状的
filament,n. 灯丝；细丝；细线；单纤维
filamentary,adj. 单纤维的；似丝的；细丝的
filamentous,adj. 细丝状的，纤维所成的，如丝的
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
defile,"n. 狭谷；隘路
vt. 污损，弄脏；染污
vi. 以纵队前进"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
filiform,adj. 丝状的，纤维状的; 线状
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
inflationary,adj. 通货膨胀的；通货膨胀倾向的；通货膨胀引起的
inflatable,adj. 膨胀的，可充气的；得意的
inflator,n. 充气者；打气筒；增压泵
deflate,"vt. 放气；使缩小；紧缩通货；打击；使泄气
vi. 缩小；物价下降"
deflation,n. 通货紧缩；放气
