accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
typewriter,n. 打字机
typical,adj. 典型的；特有的；象征性的
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
breakthrough,n. 突破；突破性进展
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
emphasize,vt. 强调，着重
emphasis,n. 重点；强调；加强语气
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
music,n. 音乐，乐曲
amuse,vt. 娱乐；消遣；使发笑；使愉快
scientist,n. 科学家
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
banker,n. 银行家；银行业者；掘土工
online,"adj. 联机的；在线的
adv. 在线地"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
reality,n. 现实；实际；真实
realistic,adj. 现实的；现实主义的；逼真的；实在论的
trustworthiness,n. 可信赖；确实性
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
imitate,vt. 模仿，仿效；仿造，仿制
politics,n. 政治，政治学；政治活动；政纲
money,n. 钱；货币；财富
monetary,adj. 货币的；财政的
behavior,n. 行为，举止；态度；反应
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
funding,"n. 提供资金；用发行长期债券的方法来收回短期债券
v. 提供资金；积存（fund的ing形式）"
fund,"n. 基金；资金；存款
vt. 投资；资助"
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
foundation,n. 基础；地基；基金会；根据；创立
profound,adj. 深厚的；意义深远的；渊博的
poor,adj. 贫穷的；可怜的；贫乏的；卑鄙的
poorly,"adj. 身体不舒服的；心情恶劣的
adv. 贫穷地；贫乏地；不充分地"
poverty,n. 贫困；困难；缺少；低劣
derive,"vt. 源于；得自；获得
vi. 起源"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
variety,n. 多样；种类；杂耍；变化，多样化
establish,"vi. 植物定植
vt. 建立；创办；安置"
stability,n. 稳定性；坚定，恒心
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
emerge,vi. 浮现；摆脱；暴露
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
earnings,n. 收入
born,"v. 出世（bear的过去分词）
adj. 天生的"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
birth,n. 出生；血统，出身；起源
birthright,n. 与生俱来的权利；长子继承权
childbirth,n. 分娩
collection,n. 采集，聚集； 征收；收藏品；募捐
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
attribute,"n. 属性；特质
vt. 归属；把…归于"
contribution,n. 贡献；捐献；投稿
distribution,n. 分布；分配
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
occur,vi. 发生；出现；存在
curriculum,"n. 课程
总课程"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
maintain,vt. 维持；继续；维修；主张；供养
retain,vt. 保持；雇；记住
sustain,vt. 维持；支撑，承担；忍受；供养；证实
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
solve,"vt. 解决；解答；溶解
vi. 作解答"
solution,n. 解决方案；溶液；溶解；解答
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
handful,n. 少数；一把；棘手事
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
manner,n. 方式；习惯；种类；规矩；风俗
manipulate,vt. 操纵；操作；巧妙地处理；篡改
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
essentially,adv. 本质上；本来
concept,n. 观念，概念
source,n. 来源；水源；原始资料
resource,n. 资源，财力；办法；智谋
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
aspect,n. 方面；方向；形势；外貌
perspective,"n. 观点；远景；透视图
adj. 透视的"
speculate,"vi. 推测；投机；思索
vt. 推断"
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
spectrum,n. 光谱；频谱；范围；余象
assess,vt. 评定；估价；对…征税
assessment,n. 评定；估价
possession,n. 拥有；财产；领地；自制；着迷
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
ensure,vt. 保证，确保；使安全
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
insurance,n. 保险；保险费；保险契约；赔偿金
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
inequality,n. 不平等；不同；不平均
equality,n. 平等；相等； 等式
adequate,adj. 充足的；适当的；胜任的
inadequate,adj. 不充分的，不适当的
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
food,n. 食物；养料
feedback,n. 反馈；成果，资料；回复
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
printer,n.  打印机；印刷工；印花工
newsprint,n. 新闻用纸（等于newspaper）
genetic,adj. 遗传的；基因的；起源的
generation,n. 一代；产生；一代人；生殖
gene,n.  基因，遗传因子
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
generate,vt. 使形成；发生；生殖；产生物理反应
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
genius,n. 天才，天赋；精神
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
affirm,"vt. 肯定；断言
vi. 确认；断言"
confirm,vt. 确认；确定；证实；批准；使巩固
news,n. 新闻，消息；新闻报导
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
novel,"adj. 新奇的；异常的
n. 小说"
innovation,n. 创新，革新；新方法
innovative,adj. 革新的，创新的；新颖的；有创新精神的
computer,n. 计算机；电脑；电子计算机
reputation,n. 名声，名誉；声望
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
deputy,"n. 代理人，代表
adj. 副的；代理的"
Internet,找不到解释
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
network,n. 网络；广播网；网状物
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
sale,n. 销售；出售；拍卖；销售额；廉价出售
wholesale,"n. 批发
adj. 批发的；大规模的
vt. 批发
adv. 大规模地；以批发方式
vi. 批发；经营批发业"
best-seller,n. 畅销书；畅销唱片
protect,vt. 保护，防卫；警戒
protection,n. 保护；防卫；护照
architecture,n. 建筑学；建筑风格；建筑式样；架构
investment,n. 投资；投入；封锁
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investor,n. 投资者
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
income,n. 收入，收益；所得
outcome,n. 结果，结局；成果
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
management,n. 管理；管理人员；管理部门；操纵；经营手段
manager,n. 经理；管理人员
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
flexibility,n. 灵活性；弹性；适应性
flexible,adj. 灵活的；柔韧的；易弯曲的
element,n. 元素；要素；原理；成分；自然环境
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
campus,n. （大学）校园；大学，大学生活；校园内的草地
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
deprive,vt. 使丧失，剥夺
privacy,n. 隐私；秘密；隐居；隐居处
privilege,"n. 特权；优待
vt. 给与…特权；特免"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
landing,"n. 登陆；码头；楼梯平台
v. 登陆（land的ing形式）"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
superstition,n. 迷信
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
global,adj. 全球的；总体的；球形的
globally,adv. 全球地；全局地；世界上
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
comply,vi. 遵守；顺从，遵从；答应
completely,adv. 完全地，彻底地；完整地
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
complementary,adj. 补足的，补充的
priority,n. 优先；优先权； 优先次序；优先考虑的事
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
overrate,vt. 过高估计；对…估价过高
worth,"n. 价值；财产
adj. 值…的"
worthwhile,adj. 值得做的，值得花时间的
worthless,adj. 无价值的；不值钱的；卑微的
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
convention,n. 大会； 惯例； 约定； 协定；习俗
conventional,adj. 符合习俗的，传统的；常见的；惯例的
prevention,n. 预防；阻止；妨碍
intervention,n. 介入；调停；妨碍
revenue,n. 税收，国家的收入；收益
requirement,n. 要求；必要条件；必需品
speak,"vi. 说话；演讲；表明；陈述
vt. 讲话；发言；讲演"
speech,n. 演讲；讲话； 语音；演说
origin,n. 起源；原点；出身；开端
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
tolerance,n. 公差；宽容；容忍；公差
tolerate,vt. 忍受；默许；宽恕
enjoy,vt. 欣赏，享受；喜爱；使过得快活
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
event,n. 事件，大事；项目；结果
eventually,adv. 最后，终于
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
expansion,n. 膨胀；阐述；扩张物
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
exception,n. 例外；异议
series,n. 系列，连续； 串联；级数；丛书
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
attraction,n. 吸引，吸引力；引力；吸引人的事物
attractive,adj. 吸引人的；有魅力的；引人注目的
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
extraction,n. 取出；抽出；拔出；抽出物；出身
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
aspiring,"v. 立志（aspire的ing形式）
adj. 有抱负的；追求…的；高耸的"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
prosperity,n. 繁荣，成功
conspire,"vi. 共谋；协力
vt.  密谋策划"
consumer,n. 消费者；用户，顾客
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
assumption,n. 假定；设想；担任；采取
consumption,n. 消费；消耗；肺痨
presumably,adv. 大概；推测起来；可假定
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
habitually,adv. 习惯地；日常地
inhabitant,n. 居民；居住者
union,n. 联盟，协会；工会；联合
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
unification,n. 统一；一致；联合
unity,n. 团结；一致；联合；个体
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
billboard,"n. 广告牌；布告板
vt. 宣传；介绍"
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
laboratory,n. 实验室，研究室
collaborative,adj. 合作的，协作的
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
expensive,adj. 昂贵的；花钱的
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
similar,"n. 类似物
adj. 相似的"
similarity,n. 类似；相似点
resemble,vt. 类似，像
sympathy,n. 同情；慰问；赞同
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
similarly,adv. 同样地；类似于
judgment,n. 判断；裁判；判决书；辨别力
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
acquisition,n. 获得物，获得；收购
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
uneasy,adj. 不舒服的；心神不安的；不稳定的
teacher,n. 教师；导师
tuition,n. 学费；讲授
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
jointly,adv. 共同地；连带地
conjunction,n. 结合； 连接词；同时发生
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
enlighten,vt. 启发，启蒙；教导，开导；照耀
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
administration,n. 管理；行政；实施；行政机构
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
interpretation,n. 解释；翻译；演出
interpret,"vi. 解释；翻译
vt. 说明；口译"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
provoke,vt. 驱使；激怒；煽动；惹起
option,n.  选项；选择权；买卖的特权
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
adapt,"vi. 适应
vt. 使适应；改编"
version,n. 版本；译文；倒转术
universe,n. 宇宙；世界；领域
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
diverse,adj. 不同的；多种多样的；变化多的
diversity,n. 多样性；差异
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
condemn,vt. 谴责；判刑，定罪；声讨
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
constrain,vt. 驱使；强迫；束缚
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
rarely,adv. 很少地；难得；罕有地
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
scarcely,adv. 几乎不，简直不；简直没有
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
fully,adv. 充分地；完全地；彻底地
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
fulfillment,n. 履行；实行
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
remarkable,adj. 卓越的；非凡的；值得注意的
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
depth,n.  深度；深奥
presence,n. 存在；出席；参加；风度；仪态
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
devote,vt. 致力于；奉献
voter,n. 选举人，投票人；有投票权者
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
direction,n. 方向；指导；趋势；用法说明
director,n. 主任，主管；导演；人事助理
indirect,adj. 间接的；迂回的；非直截了当的
publisher,n. 出版者，出版商；发行人
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
separation,n. 分离，分开；间隔，距离； 分居；缺口
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
airline,"n. 航空公司；航线
adj. 航线的"
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
cite,vt. 引用；传讯；想起；表彰
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
besides,"prep. 除…之外
adv. 此外；而且"
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
outsider,n. 外人；无取胜希望者
beside,prep. 在旁边；与…相比；和…无关
alongside,"prep. 在……旁边
adv. 在旁边"
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
appreciation,n. 欣赏，鉴别；增值；感谢
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
precious,adj. 宝贵的；珍贵的；矫揉造作的
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
editor,n. 编者，编辑；社论撰写人；编辑装置
edition,"n. 版本
版次
集"
editorial,"n. 社论
adj. 编辑的；社论的"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
virtually,adv. 事实上，几乎；实质上
virtuous,adj. 善良的；有道德的；贞洁的；正直的；有效力的
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
masterpiece,n. 杰作；绝无仅有的人
senate,n. 参议院，上院；（古罗马的）元老院
congress,n. 国会；代表大会；会议；社交
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
congressional,adj. 国会的；会议的；议会的
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
artist,n. 艺术家；美术家（尤指画家）；大师
artistic,adj. 艺术的；风雅的；有美感的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
groundbreaking,"n. 动工
adj. 开创性的"
groundless,adj. 无理由的
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
urgent,adj. 紧急的；急迫的
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
massive,adj. 大量的；巨大的，厚重的；魁伟的
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
commitment,n. 承诺，保证；委托；承担义务；献身
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
convey,vt. 传达；运输；让与
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
previously,adv. 以前；预先；仓促地
via,prep. 渠道，通过；经由
