apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
provoke,vt. 驱使；激怒；煽动；惹起
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
profuse,adj. 丰富的；很多的；慷慨的；浪费的
prominent,adj. 突出的，显著的；杰出的；卓越的
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
amity,n. 友好；亲善关系；友好关系
amiable,adj. 和蔼可亲的，亲切的
amicable,adj. 友好的；友善的
amorous,adj. 多情的；恋爱的；热情的；色情的
enamored,"adj. 迷恋的；倾心的
v. 迷住，使迷恋（enamor的过去分词形式）"
animosity,n. 憎恶，仇恨，敌意
animus,n. 敌意；意图；基本态度；女性的男性意向
equanimity,n. 平静；镇定
unanimity,n. 同意，全体一致
magnanimous,adj. 宽宏大量的；有雅量的；宽大的
unanimous,adj. 全体一致的；意见一致的；无异议的
affinity,n. 密切关系；吸引力；姻亲关系；类同
finale,n. 结局；终曲；最后一场；最后乐章；尾声
finis,n. 终结；死
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
flux,"n.  流量；变迁；不稳定；流出
vt. 使熔融；用焊剂处理
vi. 熔化；流出"
influx,n. 流入；汇集；河流的汇集处
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
fluent,adj. 流畅的，流利的；液态的；畅流的
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
progenitor,n. 祖先；原著；起源
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
engender,"vt. 使产生；造成
vi. 产生；引起"
regenerate,"vt. 使再生；革新
adj. 再生的；革新的
vi. 再生；革新"
aggregation,n.  聚合，聚集；聚集体，集合体
congregation,n. 集会；集合；圣会
segregation,n. 隔离，分离；种族隔离
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
gregarious,adj. 社交的；群居的
coherence,n. 一致；连贯性；凝聚
cohesion,n. 凝聚；结合； 内聚力
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
cohere,vi. 凝聚；连贯；粘着；一致
inherent,adj. 固有的；内在的；与生俱来的，遗传的
quadrilateral,"n. 四边形
adj. 四边形的"
collateral,"n. 抵押品； 担保品；旁系亲属
adj. 并行的；旁系的；附属的"
equilateral,"n. 等边形
adj. 等边的；等面的"
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
multilateral,adj.  多边的；多国的，多国参加的
unilateral,adj. 单边的； 单侧的；单方面的；单边音；（父母）单系的
alliteration,n. 头韵；同音韵错误症
literacy,n. 读写能力；精通文学
literal,adj. 文字的；逐字的；无夸张的
literary,adj. 文学的；书面的；精通文学的
literate,"adj. 受过教育的；精通文学的
n. 学者"
luminary,n. 发光体；杰出人物；知识渊博的人
elucidate,vt. 阐明；说明
lucid,adj. 明晰的；透明的；易懂的；头脑清楚的
luminous,adj. 发光的；明亮的；清楚的
translucent,adj. 透明的；半透明的
manacle,"n. 束缚；手铐
vt. 束缚；给…上手铐"
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
manual,"adj. 手工的；体力的
n. 手册，指南"
manuscript,"n.  手稿；原稿
adj. 手写的"
emancipate,vt. 解放；释放
manipulate,vt. 操纵；操作；巧妙地处理；篡改
appendix,n. 附录；阑尾；附加物
pendant,n. 下垂物，垂饰
suspense,n. 悬念；悬疑；焦虑；悬而不决
append,"n. 设置数据文件的搜索路径
vt. 附加；贴上；盖章"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
impending,"adj. 即将发生的；迫切的；悬挂的
v. 迫近；悬空（impend的现在分词）"
pending,"prep. 在…期间；直到…时为止；在等待…之际
v. 待定；悬而不决（pend的ing形式）
adj. 未决定的；行将发生的"
depose,"vt. 免职；作证；废黜
vi. 宣誓作证"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
superimpose,vt. 添加；重叠；附加；安装
transpose,"n. 转置阵
vt. 调换；移项；颠倒顺序
vi. 进行变换"
inscription,n. 题词；铭文；刻印
scribe,"n. 抄写员；作家；划线器
vt. 写下，记下；用划线器划
vi. 写下，记下；担任抄写员"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
subscriber,n. 订户；签署者；捐献者
conscript,"n. 应征士兵
adj. 被征召的
vt. 征召"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
similarity,n. 类似；相似点
simile,n. 明喻；直喻
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
dissimilar,adj. 不同的
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
soliloquy,n. 独白；自言自语
solitude,n. 孤独；隐居；荒僻的地方
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
dissolution,n. 分解，溶解；（议会等的）解散；（契约等的）解除；死亡
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
resolution,n.  分辨率；决议；解决；决心
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
soluble,adj.  可溶的，可溶解的；可解决的
solvent,"n. 溶剂；解决方法
adj. 有偿付能力的；有溶解力的"
abound,vi. 富于；充满
inundate,vt. 淹没；泛滥；浸水；（洪水般的）扑来
redound,"vt. 带来
vi. 有助于；报偿，报应；被转移"
abundant,adj. 丰富的；充裕的；盛产
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
veracity,n. 诚实；精确性；老实；说真实话
verdict,n. 结论；裁定
verity,n. 真实；真理；事实；真实性
aver,vt. 断言，极力声明；主张
verify,vt. 核实；查证
veritable,adj. 真正的，名副其实的
visibility,n. 能见度，可见性；能见距离；明显性
envision,vt. 想象；预想
improvise,"vt. 即兴创作；即兴表演；临时做；临时提供
vi. 即兴创作；即兴表演；临时凑合"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
visual,adj. 视觉的，视力的；栩栩如生的
forearm,"n. 前臂
vt. 预先武装；准备"
forebear,n. 祖先；祖宗
foreboding,"n. 预感；先兆；预兆
adj. 预感的；不祥之兆的"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
forefront,n. 最前线，最前部；活动的中心
foresight,n. 先见，远见；预见；深谋远虑
foreword,n. 序；前言
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
foregoing,"adj. 前述的；前面的；在前的
v. 发生在…之前；走在…之前（forego的ing形式）"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
misbelief,n. 错误的信仰
misdeed,n. 罪行；犯罪
misgiving,"n. 担忧；疑虑；不安
v. 担忧；使…疑虑；害怕（misgive的ing形式）"
mishap,n. 灾祸；不幸事故；晦气
misstep,"n. 失足；过失；踏错；失策
vi. 失足；走上歧途"
misfire,"vi. 失败；不发火
n. 失败；不发火"
mislay,vt. 放错；遗失
mislead,vt. 误导；带错
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
output,"n. 输出，输出量；产量；出产
vt. 输出"
outgrow,vt. 过大而不适于；出生；长大成熟而不再
outlast,vt. 比…长久；从…中逃生
outrun,vt. 超过；跑得比…快；从…逃脱
outwit,vt. 瞒骗；以智取胜
outlandish,adj. 古怪的；奇异的；异国风格的；偏僻的
outspoken,adj. 坦率的，直言不讳的
overdose,"vt. 配药过量；使过分沉溺
n. 药量过多（等于overdosage）
vi. 服药过量；过分沉溺"
oversupply,"n.  供给过多；过多的供应品
vt. 过度供给"
overburden,"vt. 使负担过重；使过劳
n. 表土（等于burden，capping）；过重的负担"
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
overbearing,"adj. 傲慢的；压倒一切的
v. 压住；否定；专横地对待；繁殖过度（overbear的ing形式）"
overconfident,adj. 过于自信的；自负的
overgenerous, （施与某物时）过于慷慨的，过分大方的
unconcern,n. 不关心；不感兴趣；冷淡
undeceive,vt. 使某人不再抱幻想或不再受骗，使（某人）醒悟
unnerve,vt. 使失去勇气；使身心交疲；使焦躁；使失常
unscramble,vt. 整理；使恢复原状；译出密码
unshackle,v. 释放
unabridged,adj. 完整的；未经删节的；足本的
unbiased,adj. 公正的；无偏见的
unquenchable,adj. 止不住的；不能遏制的；不能熄灭的
unwary,adj. 粗心的；不警惕的；不谨慎的
underbrush,n. 林下灌木丛；矮树丛
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
underpayment,n. 缴付不足；不足工资
undersigned,"adj. 下面签名的；签过字的
v. 在…的下面签名（undersign的过去式和过去分词）"
understatement,n. 保守的陈述；不充分的陈述；有保留的陈述
understudy,"n. 候补演员；替工
vt. 练习代演；当…的替手；实地演习
vi. 学当替工"
underscore,"n. 底线， 下划线
vt. 强调；划线于…下"
undersell,vt. 抛售；以低于市价售出
underdeveloped,adj. 不发达的
underprivileged,adj. 贫困的；被剥夺基本权力的；社会地位低下的
upheaval,n. 剧变；隆起；举起
upkeep,n. 维持；维修费；保养
upstart,"n. 暴发户；自命不凡的人；傲慢自负的人
adj. 暴富的；自命不凡的
vt. 使…突然跳起；使…崛起
vi. 突然跳起；崛起"
upturn,"n. 情况好转
vt. 使……转朝上；翻转
vi. 向上"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
uproot,"vt. 根除，连根拔起；迫使某人离开出生地或定居处
vi. 迁离；改变生活方式"
upcoming,adj. 即将来临的
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
withdrawal,n. 撤退，收回；提款；取消；退股
withdrawn,"v. 取出；撤退（withdraw的过去分词）
adj. 偏僻的；沉默寡言的；孤独的"
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
withholding,"n. 扣缴税款
v. 克制；阻挡（withhold的ing形式）"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
Adonis,n. 美少年；阿多尼斯；美男子
aegis,n. 保护；庇护；支持；赞助
amazon,亚马逊；古希腊女战士
ambrosial,adj. 特别美味的；芬香的
atlas,n. 地图集；寰椎
auroral,adj. 极光的；曙光的；玫瑰红的
bacchanalian,"n. 发酒疯的人
adj. 酒神节的；狂饮作乐的"
chimerical,adj. 空想的，妄想的；荒唐的
draconian,adj. 严厉的，苛刻的
Elysian,adj. 乐土的，象天堂的；快乐的
hector,"n. 虚张声势的人；威吓者；恃强凌弱的人
vt. 威吓；欺凌
vi. 威吓；愚弄"
herculean,adj. 力大无比的；困难的；赫拉克勒斯的
hermetic,"n. 炼金术士
adj. 密封的；与外界隔绝的；不透气的；炼金术的"
iridescent,adj. 彩虹色的；闪光的
jovial,adj. 天性快活的；主神朱庇特的
labyrinthine,adj. 迷宫的；复杂的
laconic,adj. 简洁的，简明的
lethargic,adj. 昏睡的；无生气的
Lucullan,找不到解释
martial,adj. 军事的；战争的；尚武的
mentor,"n. 指导者，良师益友
vt. 指导"
mercurial,"adj. 水银的；水星的；墨丘利神的；雄辩机智的；活泼善变的
n. 汞剂；水银剂"
myrmidon,"n. 家仆, 部下, 跟班"
nemesis,"n. 报应；给与惩罚的人；天罚
n. 主要敌人，强硬对手"
odyssey,找不到解释
paean,n. 赞美歌，欢乐歌
palladium,n.  钯；守护神
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
philippic,找不到解释
plutocratic,adj. 财阀的，富豪的，有钱有势的
procrustean,找不到解释
protean,adj. 千变万化的；一人演几个角色的；变形虫的
Pyrrhic,找不到解释
saturnine,adj. 忧郁的；阴沉的；铅中毒的；沉默寡言的
siren,"n. 汽笛；迷人的女人；歌声动人的女歌手
adj. 迷人的
vt. 引诱
vi. 响着警报器行驶"
solon,n. 贤人；议员
stentorian,adj. 声音洪亮的
Stygian,adj. 阴暗的，幽暗的；地狱的
tantalize,"vt. 逗弄；使干着急
vi. 逗弄人；令人干着急"
terpsichorean,"n. 舞蹈家
adj. 舞蹈的"
thespian,找不到解释
titanic,找不到解释
au courant,"na. 通晓；跟上时代
 熟悉；熟悉的；最新的"
blasé,找不到解释
chic,"n. 时髦；别致的款式
adj. 别致的"
debonair,adj. 高兴的，快活的；温文尔雅的；殷勤的
maladroit,adj. 笨拙的；不灵巧的；愚钝的
naive,"adj. 天真的,幼稚的"
nonchalant,adj. 冷淡的，漠不关心的
attaché,找不到解释
bourgeoisie,n. 资产阶级；中产阶级
chargé d'affaires,找不到解释
connoisseur,n. 鉴赏家；内行
coterie,n. 圈内人；小集团；伙伴；同志
debutante,n. 初次参加上层社会社交活动的少女
devotee,n. 信徒；爱好者
elite,n. 精英；精华；中坚分子
émigré,找不到解释
entrepreneur,n. 企业家；承包人；主办者
envoy,n. 使者；全权公使
fiancé,找不到解释
gendarme,n. （法）宪兵；近卫骑兵；警官
ingenue,n. 天真无邪的少女；扮演天真姑娘的女演员
maitre d'hôtel,找不到解释
martinet,n. 严格执行纪律的人
nouveaux riches,"na. 暴发户
 新富人；新发彩"
protégé,找不到解释
raconteur,n. 健谈者；善谈者；擅长讲故事的人
éclat,找不到解释
élan,找不到解释
ennui,n. （法）厌倦，无聊；倦怠
esprit de corps,"n. 集体荣誉感；团队精神
 团体精神；团结精神；集体精神"
finesse,"n. 策略；纤细；灵巧
vt. 巧妙处理；以偷牌方式先出
vi. 偷牌；施展巧计"
legerdemain,n. 戏法，骗术；巧妙的花招
malaise,n. 不舒服；心神不安
noblesse oblige,"n. 位高则任重；显贵者应有高尚品德；贵族义务
 高则责任重；地位高则责任重；生为贵族，举止就要像贵族"
rapport,n. 密切关系，交往；和谐一致
sangfroid,n. 沉着；冷静
savoir faire,"n. （应付裕如的）社交能力；处世能力
 手腕；机智；才干"
adieu,"n. 告别；辞行
int. 再见；再会"
au revoir,"int. 再见
 再见了；再见吧；永别了"
billet-doux,n. 情书
bon mot,"n. 妙语
 名言；珠玑妙语；警句"
brochure,n. 手册，小册子
canard,n. 误传，谬传；谣言
cliché,找不到解释
entre nous,"na. 不要对外人说
 一见钟情；我们之间；不跟别人说"
mot juste,"n. 恰当的用词；贴切的字眼
 适当的词眼；适当的字眼；非常贴切的字眼"
précis,找不到解释
repartee,n. 机敏的应答；妙语；巧辩
résumé,找不到解释
riposte,"n. 还击；机敏的回答
vi. 回击；机敏地回答"
tête-à-tête,找不到解释
bête noire,找不到解释
carte blanche,"n. 自由行使权；全权
 全权委托；全权委任；署名空白纸"
cause célèbre,找不到解释
cul-de-sac,n. （法）死巷；死路；困境
debacle,n. 崩溃；灾害；解冻
fait accompli,"n. 既成事实
 爱的种子；既定事实；既成的事实"
faux pas,"n. 有失检点；失态；失礼；失言
 失足；过失；失言任务理解"
impasse,n. 僵局；死路
liaison,n. 联络；（语言）连音
mélange,找不到解释
mirage,n. 海市蜃楼；幻想，妄想
coup d'état,找不到解释
démarche,找不到解释
détente,找不到解释
entente,n. 协约；谅解；协定
laissez-faire,"n. 放任政策；不干涉主义
adj. 自由放任的；放任主义的"
lettre de cachet,找不到解释
rapprochement,n. 友好；恢复邦交；友善关系的建立
régime,找不到解释
avant-garde,"n. 先锋派；前卫派
adj. 前卫的；先锋的"
bas-relief,n. 浅浮雕
baton,n. 指挥棒；接力棒；警棍；司令棒
chef d'oeuvre,"n. 杰作
 最杰出的作品"
dénouement,找不到解释
encore,"n. 再演唱的要求；经要求而再唱
vt. 要求再演或唱
int. 再来一个"
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
musicale,n. 音乐会
palette,n. 调色板；颜料
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
vignette,"n. 装饰图案；小插图
n. 梗概，简介，花絮
vt. 把……印放为虚光照，晕映"
a la carte,"a. 按菜单点菜的
adv. 按菜单点菜"
aperitif,n. 开胃酒
bonbon,n. 夹心软糖；（法）小糖果；棒棒糖
cuisine,n. 烹饪，烹调法
demitasse,n. 小型咖啡杯；小杯清咖啡
entree,n. （美）主菜；（法）入场许可
filet,n. 肉片；鱼片；（猪、牛等的）里脊
hors d'oeuvres, 冷盘；开胃菜；小食
pièce de résistance,找不到解释
table d'hôte,找不到解释
bouffant,"n. 蓬松的发式
adj. 鼓起的，蓬松的；向外胀起的"
chemise,n. 女式无袖衬衫；无腰身宽松女服
coiffure,"n. 发型；头饰
vt. 把头发做成某种式样；把头饰给…戴上"
corsage,n. 胸衣；胸前花饰
cravat,n. 领带；领巾，领结
flamboyant,"adj. 艳丽的；火焰似的；炫耀的
n. 凤凰木"
toupee,n. 假发；男子假发
vogue,"n. 时尚；流行，时髦
adj. 时髦的，流行的"
avoirdupois,n. 体重；常衡；肥胖
bagatelle,n. 琐事，小事；弹子球戏的一种；轻快小曲
coup de grâce,找不到解释
facade,n. 正面；表面；外观
fête,找不到解释
foyer,n. 门厅，休息室；大厅
milieu,n. 环境；周围；出身背景
parasol,n. 阳伞
par excellence,"adj. 最好的；最优秀的；典型的；卓越的
 最卓越；最卓越的；出类拔萃的"
pince-nez,n. 夹鼻眼镜
raison d'être,找不到解释
rendezvous,"n. 约会；约会地点；集结地
vi. 会合；约会
vt. 在指定地点与…相会"
silhouette,"n. 轮廓，剪影
vt. 使…照出影子来；使…仅仅显出轮廓"
sobriquet,n. 绰号
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
tour de force,"n. 绝技；特技；杰作
 力作；代表作；精心杰作"
vis-à-vis,找不到解释
basso,n. 低音部；低音歌手；男低音歌手
baritone,"n. 男中音；男中音歌手
adj. 男中音的"
tenor,"n. 男高音；要旨，大意；票据的限期；稳定的进程
adj. 男高音的"
alto,"n. 女低音；男声最高音；中音乐器
adj. 中音部的"
contralto,n. 女低音，女低音歌唱家
mezzo-soprano,n. 女中音；女中音歌手
soprano,"n. 女高音；最高音部；女高音歌手
adj. 女高音的；童声高音的"
coloratura,"n. 花腔；花腔女高音歌手
adj. 花腔的"
falsetto,"n. 假音；假声歌手； 男性女声
adj. 用假声的
adv. 用假声"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
largo,"n. 缓慢曲；广板
adv. 缓慢地；庄严地；宽广地
adj. 缓慢的；庄严的；宽广的"
adagio,"n. 柔板；慢板乐章
adj. 缓慢的
adv. 缓慢地"
lento,adj. 徐缓的，柔和的
andante,"n. 行板；行板乐曲；徐缓调
adj. 行板的；缓慢的
adv. 行板地；缓慢地"
moderato,n. 中速（的）（一段乐曲）
allegro,"n. 快板；急速的乐章
adj. 快速的
adv. 急速地"
vivace,"adv. 活泼地
adj. 活泼的"
presto,"n. 急板；急板之乐曲或乐章
adv. 赶快
adj. 迅速的
int. 转眼间"
prestissimo,"n. 最快速度
adj. 最快的，极快的"
crescendo,"n. 声音渐增
adv. 渐次加强地
adj. 渐强的
vi. 音量逐渐增强"
decrescendo,"n. 渐弱；渐弱音
adj. 渐弱的
adv. 渐弱地"
dolce,"n. 柔和，柔美；记号
adj. 温柔的，甜美的；悦耳而柔和的
adv. 甜美温柔地"
forte,"n. 长处；特长
adj. 强音的；响的
adv. 响亮地"
fortissimo,"n. 用极强音奏的音
adj. 极强的；非常嘹亮的
adv. 极强地；非常响亮地"
pianissimo,"n. 乐曲中最柔弱之部分
adj. 极弱的
adv. 极弱地"
piano,n. 钢琴
sforzando,"n. 强调音符
adj. 加强的
adv. 加强地"
a cappella,"adj. 清唱的；无乐器伴奏的
 无伴奏合唱；阿卡贝拉；无伴奏合唱曲"
arpeggio,n. 琶音；和音急速弹奏，竖琴弹奏法
legato,"adj. 连奏的
adv. 连奏地"
pizzicato,"n. 拨奏曲；用指弹的乐曲
adj. 拨奏的
adv. 用拨奏"
staccato,"n. 断奏，断音
adj. 断奏的，断音的
adv. 不连贯地"
tremolo,n. 颤音；震音装置
vibrato,n. （意）颤音；抑扬顿挫
aria,n. 咏叹调，独唱曲
bravura,"n. 大胆的尝试；令人赞赏的演唱或演奏技巧
adj. 难演唱或演奏的；雄壮华丽的"
cantata,n. 大合唱；（意）清唱剧；康塔塔（一种声乐套曲）
concerto,n. 协奏曲
duet,n. 二重奏；二重唱
finale,n. 结局；终曲；最后一场；最后乐章；尾声
intermezzo,n. 间奏曲；插曲；幕间剧；芭蕾舞表演
libretto,n. 剧本；歌词集
opera,n. 歌剧；歌剧院；歌剧团
oratorio,n. 清唱剧；宗教剧
scherzo,n. 诙谐曲
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
sonata,n. 奏鸣曲
trio,n. 三重唱；三件一套；三个一组
cameo,n. （影视剧中的）配角；刻有浮雕的宝石或贝壳；小品文
campanile,n. 钟楼
canto,n. 篇；曲调；长诗的篇章
chiaroscuro,n. 用明暗对照法绘制的图画；明暗的配合
cupola,n. 化铁炉； 圆屋顶；圆顶的塔
fresco,n. 壁画
intaglio,"n. 凹雕；凹雕玉石；凹雕术
vt. 凹雕"
majolica,n. 马略尔卡陶器（意大利产锡釉陶器）；意大利产花饰陶器及仿制品
mezzanine,"n. 中层楼；夹楼
adj. 中间的"
mezzotint,"n. 网线铜版；金属版印刷法
vt. 用网线铜版雕刻法刻"
patina,n.  铜绿；光泽；神态；圣餐盘
portico,n. （有圆柱的） 门廊； 柱廊
rotunda,n. 圆形大厅；圆形建筑
stucco,"n. 灰泥，灰墁
vt. 粉饰，粉刷；涂以灰泥"
tempera,n. 蛋彩画；蛋彩画法
terra cotta,"un. 硬陶土；瓷砖；赤土；焙烧过的粘土
 赤陶；赤陶土；赤土陶器的"
torso,n. 躯干；裸体躯干雕像；未完成的作品；残缺不全的东西
cognoscente,n. 行家
dilettante,"n. 业余爱好者；一知半解者
adj. 浅薄的；业余艺术爱好的
vi. （在艺术、科学等方面）浅尝辄止"
maestro,n. 大师；名家；大音乐家
virtuoso,"n. 艺术品鉴赏家；古董收藏家；艺术大师
adj. 行家里手的；艺术爱好者的"
dolce far niente,"na. 安逸
 悠闲；无所事事的美好；闲逸"
fiasco,n. 惨败
imbroglio,n. 纠葛；纷乱；纷扰
incognito,"n. 匿名者；微行者
adj. 改名的；微行的；隐姓埋名的
adv. 隐姓埋名地"
vendetta,n. （尤指族间或血亲间的）仇杀；深仇
antipasto,n. 前菜；开胃菜；开胃食物
Chianti,找不到解释
gusto,n. 爱好；由衷的高兴；嗜好
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
gondola,n. 两头尖的平底船；狭长小船；无盖货车
grotto,n. 岩穴，洞穴；人工洞室
piazza,n. 露天市场，广场；走廊
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
salvo,"n. 齐射；齐鸣；齐声欢呼喝彩；保留条款；遁辞
vt. 齐鸣
vi. 齐鸣"
sotto voce,"adv. 小声地；轻声地
 低声地；把声音压住；很弱的声音"
aficionado,n. 迷；狂热爱好者
caballero,n. 骑手，骑师；（西班牙）绅士；（贵）妇人的护卫或陪伴
conquistador,n. 征服者；西班牙征服者
desperado,n. 亡命之徒，暴徒
duenna,n. 少女的保姆
gaucho,找不到解释
grandee,n. 贵族；要人；大公（西班牙或葡萄牙最高爵位）
hidalgo,n. 西班牙的绅士（低于最高贵族，大公）；西班牙的下级贵族
junta,n. 团体，派别
junto,n. 政治集团；秘密结社；团体
matador,n. 斗牛士；王牌
mestizo,n. 混血儿（尤指拉丁民族与印第安族的）
peon,n. 日工；劳工；雇农；被强制劳役以还债的工人
picador,n. 骑马斗牛士（复数picadors）；斗牛士之助手
picaro,n. 流浪汉，流氓
renegade,"n. 叛徒；变节者；脱党者
vi. 背叛；脱离
adj. 叛徒的；背弃的；脱离的"
señor,找不到解释
señora,找不到解释
señorita,找不到解释
toreador,n. 斗牛士（西班牙）
torero,n. （尤指徒步的）斗牛士
vaquero,n. 牧童；放牛者；牧人
adobe,n. 土砖，砖坯
bolero,n. （西班牙的）波列罗舞；（西班牙的）波列罗舞曲；一种前胸敞开的女用短上衣
bonanza,n. 富矿带；带来好运之事；幸运
bravado,n. 虚张声势；冒险
cabana,n. 小屋；有凉台的屋子
castanets,n. 响板
fiesta,n. 圣日，宗教节日；祭典；假日
flotilla,n. 小型船队；小舰队
hacienda,n. 大庄园
incommunicado,"adj. 被单独监禁的
不愿被打扰的"
mantilla,n. 女用小披风，连披肩之头纱
olio,n. 什锦菜，（文艺方面的）杂录，杂集
peccadillo,n. 轻罪；小过失；小瑕疵
poncho,n. 雨披；南美披风
pueblo,n. 印第安人村庄；普韦布洛（美国科罗拉多州中部一城市）
siesta,"n. （西）午睡；午休
vi. 午睡；午休"
tortilla,n. 玉米粉薄烙饼，玉米粉圆饼
arroyo,n. 小河；河谷；干涸沟壑
bronco,n. 野马（美国西部的）
burro,n. 驴子（尤指美国西南部用作驮畜的驴）
canyon,n. 峡谷
indigo,"n. 靛蓝，靛蓝染料；靛蓝色；槐蓝属植物
adj. 靛蓝色的"
mañana,找不到解释
mesa,n. 台地； 平顶山
mustang,n. 野马（产于墨西哥和北美平原）；海军行伍出身的军官（美国俚语）
pampas,n. 草原；蒲苇（pampa的复数形式）
sierra,n.  锯齿山脊；呈齿状起伏的山脉
