ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
decision,n. 决定，决心；决议
decisive,adj. 决定性的；果断的，坚定的
concise,adj. 简明的，简洁的
precise,adj. 精确的；明确的；严格的
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
insecticide,n. 杀虫剂
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
foundation,n. 基础；地基；基金会；根据；创立
fund,"n. 基金；资金；存款
vt. 投资；资助"
funding,"n. 提供资金；用发行长期债券的方法来收回短期债券
v. 提供资金；积存（fund的ing形式）"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
profound,adj. 深厚的；意义深远的；渊博的
profundity,n. 深刻；深度；深奥
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identification,n. 鉴定，识别；认同；身份证明
identity,n. 身份；同一性，一致；特性；恒等式
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
regarding,prep. 关于，至于
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
award,"n. 奖品；判决
vt. 授予；判定"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
inclination,n. 倾向，爱好；斜坡
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
literal,adj. 文字的；逐字的；无夸张的
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
literacy,n. 读写能力；精通文学
literate,"adj. 受过教育的；精通文学的
n. 学者"
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
literary,adj. 文学的；书面的；精通文学的
literature,n. 文学；文献；文艺；著作
liberation,n. 释放，解放
liberation,n. 释放，解放
liberate,vt. 解放；放出；释放
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
liberalize,"vt. 使自由化；宽大
vi. 自由化"
liberalise,vt. 使自由化
liberty,n. 自由；许可；冒失
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
delivery,n.  交付；分娩；递送
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
rely,vi. 依靠；信赖
rely,vi. 依靠；信赖
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
reliant,adj. 依赖的；可靠的；信赖的
reliance,n. 信赖；信心；受信赖的人或物
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
deserve,"vi. 应受，应得
vt. 应受，应得"
servant,n. 仆人，佣人；公务员；雇工
sergeant,n. 军士；警察小队长；海军陆战队中士；高等律师
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
conservation,n. 保存，保持；保护
conservative,找不到解释
preservation,n. 保存，保留
reservation,n. 预约，预订；保留
reservoir,n. 水库；蓄水池
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处"
hang about,"na. 荡来荡去；缠住不放；在附近逗留
 闲荡；徘徊；闲逛"
talk about,"na. 讲(某事)
 谈论；讨论；谈到"
think about,"un. 思考；探讨；为…费心思；想像
 考虑；回想；思索"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
set about,"na. 动手；开始；下手；着手
 散布；着手做某事；开始做"
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
go after,"na. 追求
 追逐；追赶；寻找"
hunger after, 极需…，渴望得到…
ask after,"na. 问安
 问候；询问；探问"
inquire after,"na. 问候(病人等)
 问起的健康情况；问起某人的生活等情况；打听"
name ... after,找不到解释
take after,"na. 尾随；仿效；像
 象；长得像；与相像"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
cloud,"n. 云；阴云；云状物；一大群；黑斑
vt. 使混乱；以云遮敝；使忧郁；玷污
vi. 阴沉；乌云密布"
infancy,n. 初期；婴儿期；幼年
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
ice,"n. 冰；冰淇淋；矜持；（俚）钻石
adj. 冰的
vt. 冰镇；结冰
vi. 结冰"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
behavior,n. 行为，举止；态度；反应
behaviour,n. 行为；习性；运行状况（=behavior）
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
fellowship,n. 团体；友谊；奖学金；研究员职位
sympathy,n. 同情；慰问；赞同
sympathy,n. 同情；慰问；赞同
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
sympathize,vi. 同情，怜悯；支持
sympathise,vi. 同情，支持
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
specially,adv. 特别地；专门地
especially,adv. 特别；尤其；格外
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
specialise,"vt. 使专门化；限定…的范围；深入（等于specialize）
vi. 专门研究（等于specialize）"
specialization,n. 专门化；特殊化；特化作用
specialisation,n. 特殊化，专门化，特化作用
speciality,n. 专业，专长；特性
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
specifically,adv. 特别地；明确地
specify,vt. 指定；详细说明；列举；把…列入说明书
specification,n. 规格；说明书；详述
species,"n.  物种；种类
adj. 物种上的"
specimen,n. 样品，样本；标本
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
unveil,"vt. 使公之于众，揭开；揭幕
vi. 除去面纱；显露"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
violent,adj. 暴力的；猛烈的
violent,adj. 暴力的；猛烈的
violence,n. 暴力；侵犯；激烈；歪曲
violate,vt. 违反；侵犯，妨碍；亵渎
violation,n. 违反；妨碍，侵害；违背；强奸
different,adj. 不同的；个别的，与众不同的
different,adj. 不同的；个别的，与众不同的
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
differentiate,"vt. 区分，区别
vi. 区分，区别"
differential,"n. 微分；差别
adj. 微分的；差别的；特异的"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
indifference,n. 漠不关心；冷淡；不重视；中立
confer,"vt. 授予；给予
vi. 协商"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
infer,"vi. 推断；作出推论
vt. 推断；推论"
inference,n. 推理；推论；推断
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
preferable,adj. 更好的，更可取的；更合意的
preference,n. 偏爱，倾向；优先权
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
uphold,vt. 支撑；鼓励；赞成；举起
hold-up,n. 停顿；耽误；抢劫
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
holder,n. 持有人；所有人；固定器；（台、架等）支持物
shareholder,n. 股东；股票持有人
stockholder,n. 股东；股票持有人
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
trademark,"n. 商标
标志"
marked,"adj. 显著的；有记号的
v. 表示（mark的过去分词）；作记号；打分数"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
remarkable,adj. 卓越的；非凡的；值得注意的
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
marginal,adj. 边缘的；临界的；末端的
novel,"adj. 新奇的；异常的
n. 小说"
novel,"adj. 新奇的；异常的
n. 小说"
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
innovation,n. 创新，革新；新方法
innovative,adj. 革新的，创新的；新颖的；有创新精神的
renovate,vt. 更新；修复；革新；刷新
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
misuse,"vt. 滥用；误用；虐待
n. 滥用；误用；虐待"
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
utilize,vt. 利用
utilise,vt. 使用（等于utilize）；利用
utilization,n. 利用，使用
utilisation,n. 使用（等于utilization）；利用
utensil,n. 用具，器皿
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
extinguish,vt. 熄灭；压制；偿清
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
extinguish,vt. 熄灭；压制；偿清
distinction,n. 区别；差别；特性；荣誉、勋章
distinct,adj. 明显的；独特的；清楚的；有区别的
distinctive,adj. 有特色的，与众不同的
distinguishable,adj. 可区别的；辨认得出的；可辨识的
distinguished,"v. 区别（distinguish的过去式）
adj. 著名的；卓著的；高贵的"
extinguish,vt. 熄灭；压制；偿清
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
extinction,n. 灭绝；消失；消灭；废止
instinct,"n. 本能，直觉；天性
adj. 充满着的"
gene,n.  基因，遗传因子
gene,n.  基因，遗传因子
genetic,adj. 遗传的；基因的；起源的
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
genius,n. 天才，天赋；精神
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
genuine,adj. 真实的，真正的；诚恳的
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
heterogeneous,adj.  多相的；异种的； 不均匀的；由不同成分形成的
generate,vt. 使形成；发生；生殖；产生物理反应
generation,n. 一代；产生；一代人；生殖
generator,n. 发电机；发生器；生产者
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
regenerative,adj. 再生的，更生的；更新的
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
generosity,n. 慷慨，大方；宽宏大量
hydrogen,n.  氢
nitrogen,n.  氮
oxygen,n.  氧气， 氧
benign,adj. 良性的；和蔼的，亲切的；吉利的
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
pregnant,adj. 怀孕的；富有意义的
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
alliance,n. 联盟，联合；联姻
allied,"adj. 联合的；同盟的；与…同属一系
v. 联合（ally的过去分词）"
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
analyze,vt. 对…进行分析，分解（等于analyse）
analyse,vt. 分析；分解；细察
analyze,vt. 对…进行分析，分解（等于analyse）
analyse,vt. 分析；分解；细察
analysis,n. 分析；分解；验定
analyst,n. 分析者；精神分析医师；分解者
analytic,adj. 分析的；解析的；善于分析的
analytical,adj. 分析的；解析的；善于分析的
analytically,adv. 分析地；解析地
paralyze,vt. 使麻痹；使瘫痪
paralyse,vt. 使……无力；使……麻痹；使……瘫痪
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
aspire,vi. 渴望；立志；追求
aspiration,n. 渴望；抱负；送气；吸气；吸引术
inspirit,vt. 激励，鼓舞；使振奋
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
inspiration,n. 灵感；鼓舞；吸气；妙计
dispirit,vt. 使气馁，使沮丧
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
desperation,n. 绝望的境地；不顾一切拼命
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
prosperity,n. 繁荣，成功
prosperous,adj. 繁荣的；兴旺的
conspire,"vi. 共谋；协力
vt.  密谋策划"
conspiracy,n. 阴谋；共谋；阴谋集团
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
decade,n. 十年，十年期；十
decade,n. 十年，十年期；十
decimal,"n. 小数
adj. 小数的；十进位的"
dean,n. 院长；系主任；教务长；主持牧师
democracy,n. 民主，民主主义；民主政治
democracy,n. 民主，民主主义；民主政治
democrat,n. 民主党人；民主主义者；民主政体论者
democratic,adj. 民主的；民主政治的；大众的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
seem,vi. 似乎；像是；装作
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
assembly,n. 装配；集会，集合
resemble,vt. 类似，像
resemblance,n. 相似；相似之处；相似物；肖像
similar,"n. 类似物
adj. 相似的"
similarly,adv. 同样地；类似于
similarity,n. 类似；相似点
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
simile,n. 明喻；直喻
facsimile,"n. 传真；复写
adj. 复制的
vt. 传真；临摹"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
seem,vi. 似乎；像是；装作
seemingly,adv. 看来似乎；表面上看来
during,prep. 在…的时候，在…的期间
during,prep. 在…的时候，在…的期间
durable,"n. 耐用品
adj. 耐用的，持久的"
duration,"n. 持续，持续的时间，期间
音长，音延"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
endurance,n. 忍耐力；忍耐；持久；耐久
enduring,"adj. 持久的；能忍受的
v. 忍耐（endure的ing形式）"
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
stationer,n. 文具店；文具商
stationery,n. 文具；信纸
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
stature,n. 身高，身材；（精神、道德等的）高度
status,n. 地位；状态；情形；重要身份
estate,n. 房地产；财产；身份
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
statical," 静止的, 静的"
statute,n.  法规；法令；条例
constitute,vt. 组成，构成；建立；任命
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
constitutional,"n. 保健散步；保健运动
adj. 宪法的；本质的；体质上的；保健的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
substitution,n. 代替； 置换；代替物
idea,n. 想法；主意；概念
idea,n. 想法；主意；概念
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
ideally,adv. 理想地；观念上地
idealism,n. 唯心主义，理想主义；理念论
idealize,"vt. 使理想化；理想化地描述
vi. 理想化；形成思想"
idealise,"vt. （英）把…理想化（等于idealize）
vi. 形成理想；理想化地表现"
ideology,n. 意识形态；思想意识；观念学
lapse,n. (一时的) 走神，判断错误
lapse,n. (一时的) 走神，判断错误
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
racecourse,n. 赛马场，跑马场；跑道
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
intercourse,n. 性交；交往；交流
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
curriculum,"n. 课程
总课程"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
currency,n. 货币；通货
incur,vt. 招致，引发；蒙受
occur,vi. 发生；出现；存在
occurrence,n. 发生；出现；事件；发现
recur,vi. 复发；重现；采用；再来；循环；递归
recurrent,adj. 复发的；周期性的，经常发生的
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
machinery,n. 机械；机器；机构；机械装置
mechanic,"n. 技工，机修工
adj. 手工的"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
mechanics,n. 力学（用作单数）；结构；技术；机械学（用作单数）
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
refer to ... as,"v. 提交；归类；称谓
 把…称作；把…当作；称为"
serve as,"v. 用作；充当
 作为；担任；当作"
take ... as,找不到解释
think of ... as,找不到解释
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
go back on,"na. “Go back from”的变体
 违背；食言；背弃"
look back,"na. 回头看；回顾；追想 (to；upon)；(对事业等)不起劲
 回忆；追忆；向后看"
fall back on,"na. 撤退到…线；求助于
 转而依靠；依赖；借助于"
give back,"na. 归还；返回；往后站；凹陷
 恢复；送还；后退"
pay back,"na. 偿还；报答；向…报复；付还
 回报；还钱；还钱给"
hang back,"v. 踌躇不前；退缩
 畏缩不前；犹豫；却步"
hold back,"na. 阻止；踌躇；隐瞒；抑制
 退缩；控制；退缩不前"
keep back,"na. 隐瞒；阻止；阻止向前；忍住
 留下；留在后面；保留"
set back,"na. 阻碍；延迟；花费
 推迟；推迟，延缓；使退步"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
 削减；减少；消减"
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
fall behind,"na. 落后；跟不上；落下；拖欠
 落在后面；落后于；掉队"
leave behind,"na. 遗留；留下；追过；留在后头
 超过；落后；丢弃"
by,"prep. 通过；被；依据；经由；在附近；在……之前
adv. 通过；经过；附近； 白俄罗斯的国家代码顶级域名"
drop by,"na. 随便访问一下
 顺便拜访；顺道拜访；非正式访问"
go by,"na. 走过；以…为根据(作判断)；顺道访问；受…所控制
 过去；经过；依照"
stand by,"na. 袖手旁观；站在旁边；待机；等待
 支持；待命；站在一边"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
juicy,adj. 多汁的；利润多的；生动的
short-sighted,adj. 目光短浅的；近视的
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
dinosaur,n. 恐龙；过时、落伍的人或事物
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
