amongst,prep. 在…之中；在…当中（等于among）
in addition to,"na. 加之
 除…之外；除了；除…外"
keep going,"na. 继续(运转,谈话)；维持
 继续前进；一直走；继续走"
like clockwork,"na. 有规律地；精确地；准确无误地
 象钟表一样准确；顺利地；分秒不差地"
role model,"n. 楷模；榜样；典范
 模范；行为榜样；角色典范"
ablaze,"adj. 着火的；闪耀的；激昂的
adv. 着火；闪耀"
beneficiary,"n.  受益人，受惠者；封臣
adj. 拥有封地的；受圣俸的"
campervan,"n. 房车
 露营车；野营车；自行式房车"
colleague,n. 同事，同僚
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
established,adj. 确定的；已制定的，已建立的
extensive,adj. 广泛的；大量的；广阔的
facility,n. 设施；设备；容易；灵巧
gargantuan,adj. 庞大的，巨大的
inbox,"n. 收件箱
收文篮"
install,vt. 安装；任命；安顿
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
pager,n. 寻呼机，呼机
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
proverb,n. 谚语，格言；众所周知的人或事
psychological,adj. 心理的；心理学的；精神上的
psychosocial,adj. 社会心理的；心理社会学的
response,n. 响应；反应；回答
rewarding,adj. 有益的，值得的；有报酬的，报答的
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
transferable,adj. 可转让的； 可转移的
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
voucher,"n. 收据；证人；保证人；证明者；代金
vt. 证实...的可靠性"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
webinar,找不到解释
a range of,"det. 一大片；一排
 一系列；一些；一系列的"
a variety of,"det. 种种；形形色色
 各种各样的；多种多样的；多种的"
base on,"v. 根据
 基于；以……为基础；以…为根据"
be relevant to,"v. 有关
 与…有关；和……相关；与……相关"
be supposed to,"na. …(在职务上)要；不许
 应该；被认为；被期望"
be tucked,找不到解释
be tucked away,找不到解释
by no means,"na. 决不；并没有
 一点也不；绝不；无论如何决不"
even if,"na. 即使…也
 纵然；就算；甚至"
fresh out of, 刚用完；刚刚出了；耗尽某物
in return for ...,找不到解释
loads of,"adj. 大量；许多
 一堆堆的；一载载的；很多"
look on,"na. 旁观；面向；看做
 观看；看待；观望"
on call,"na. 随叫随到；随时待命
 小时；待命的；值班"
on top of sth.,找不到解释
tuck away,"na. 藏起
 畅饮；大嚼；藏起来"
assignment,n. 分配；任务；作业；功课
cite,vt. 引用；传讯；想起；表彰
collectively,adv. 共同地，全体地
correlation,n.  相关，关联；相互关系
crucial,adj. 重要的；决定性的；定局的；决断的
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
exposure,n. 暴露；曝光；揭露；陈列
findings,n. 发现，调查结果；检验发现的情况（finding复数）
flyer,n. 传单；飞鸟；飞行物；飞跳；孤注一掷
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
generate,vt. 使形成；发生；生殖；产生物理反应
habitual,adj. 习惯的；惯常的；习以为常的
independently,adv. 独立地；自立地
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
insightful,adj. 有深刻见解的，富有洞察力的
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
nail,"vt. 钉；使固定；揭露
n.  指甲；钉子"
pamphlet,n. 小册子
pervasive,adj. 普遍的；到处渗透的；流行的
pique,"n. 生气；愠怒；呕气
vt. 刺激；伤害…自尊心；激怒"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
shampoo,"n. 洗发；洗发精
vt. 洗发"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
solution,n. 解决方案；溶液；溶解；解答
subsequent,adj. 后来的，随后的
tortuous,adj. 扭曲的，弯曲的；啰嗦的
uncontrollable,adj. 无法控制的；无法管束的；难以驾驭的
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
volition,n. 意志，意志力；决断力
voracious,adj. 贪婪的；贪吃的；狼吞虎咽的
whereas,conj. 然而；鉴于；反之
a small amount of,"adj.少量的,少量"
be aware of,"na. 知道
 意识到；觉察；了解"
benefit from,"v. 从…得到好处
 受益于；从……中受益；从…中获益"
blog about,找不到解释
doses of,找不到解释
in that,"na. 因为；以…的理由
 由于；在于；在…方面"
keep a record of,"un. 公开(提倡)；把…记下来
 记录；登记；把……记录下来"
pay off,"na. 偿清(债务等)；付清；发清(工钱)；发清工钱解雇
 还清；偿还；报复"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
put an effort into,找不到解释
rather than,"na. 而不
 而不是；宁愿；与其"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
rise to,"un. 出人头地；在社会大显身手；满足；应付
 上升至；上升到；起而应付"
seek out,"na. 找出；寻求；想获得
 挑出；找到；搜寻出"
analytical,adj. 分析的；解析的；善于分析的
barnyard,"n. 谷仓前的空场地
adj. 下流的；粗俗的"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
concentration,n. 浓度；集中；浓缩；专心；集合
context,n. 环境；上下文；来龙去脉
creative,adj. 创造性的
creativity,n. 创造力；创造性
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
envision,vt. 想象；预想
establish,"vi. 植物定植
vt. 建立；创办；安置"
expendable,"n. 消耗品
adj. 可消费的；排出的；不重复使用的；可牺牲的"
fictional,adj. 虚构的；小说的
GPA,找不到解释
imagination,n.  想象力；空想；幻想物
increasingly,adv. 越来越多地；渐增地
indulgence,n. 嗜好；放纵；纵容；沉溺
informative,adj. 教育性的，有益的；情报的；见闻广博的
intuitively,adv. 直观地；直觉地
involvement,n. 牵连；包含；混乱；财政困难
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
perceptible,adj. 可察觉的；可感知的；看得见的
retain,vt. 保持；雇；记住
sake,n. 目的；利益；理由；日本米酒
significantly,adv. 显著地；相当数量地
solve,"vt. 解决；解答；溶解
vi. 作解答"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
technological,adj. 技术的；工艺的
validate,vt. 证实，验证；确认；使生效
at a rate,"prep.按...的比率,以...的速度"
be willing to,"na. 乐意进行
 愿意；乐于；情愿"
due to,"un. 由于；预定；因为；亏
 应归于；由於；由…引起"
in close interaction with,找不到解释
in the past,"na. 在过去
 以往；从前；过往"
take an active involvement in,找不到解释
acquaintance,n. 熟人；相识；了解；知道
attorney,n. 律师；代理人；检查官
balcony,n. 阳台；包厢；戏院楼厅
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
definition,n. 定义； 清晰度；解说
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
frisbee,n. （投掷游戏用的）飞盘
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
irreplaceable,adj. 不能替代的，不能调换的
lawn,n. 草地；草坪
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
mythical,adj. 神话的；虚构的
occasionally,adv. 偶尔；间或
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
reunion,n. 重聚；（班级或学校的）同学会，同窗会
semester,n. 学期；半年
sibling,n. 兄弟姊妹；民族成员
suburb,n. 郊区；边缘
summarize,"vt. 总结；概述
vi. 作总结；作概括"
talent,n. 才能；天才；天资
technician,n. 技师，技术员；技巧纯熟的人
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
valley,n. 山谷；流域；溪谷
a shoulder to cry on, 可以靠着哭泣的肩膀；可以靠著哭泣的肩膀；可依靠的肩膀
compare ... to,找不到解释
drift apart, 疏远；各奔东西；逐渐疏远
ever after,"na. 以后老是
 情话童真；灰姑娘；从此以后一直"
far from,"na. 远离；决不
 远非；完全不；远远不是"
join hands,"na. 联合；同…合伙开店；同…结婚
 戮力；携手；携手合作"
join hands with,"na. 同…携手；同…合伙开店；同…结婚
 携起手来；联合；互相合作"
make it back to,找不到解释
no matter how,"na. 不管怎样
 无论怎样；无论怎么样；不管如何"
on a tour of,找不到解释
succeed in,"v. 成功于
 在…成功；成功地做；取得成功"
try on,"na. 试穿；搞恶作剧(以试探能否被容忍)；耍花招
 试试看；试穿衣物；试衣服"
astonishment,n. 惊讶；令人惊讶的事物
blankly,adv. 茫然地；毫无表情地；茫然若失
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
deadline,n. 截止期限，最后期限
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
enclose,vt. 围绕；装入；放入封套
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
fate,"n. 命运
vt. 注定"
florist,n. 花商，种花人；花卉研究者
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
haltingly,adv. 迟疑不决地；犹豫地
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
intense,adj. 强烈的；紧张的；非常的；热情的
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
promptly,adv. 迅速地；立即地；敏捷地
provoke,vt. 驱使；激怒；煽动；惹起
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
solitude,n. 孤独；隐居；荒僻的地方
standing,"n. 站立；持续；身分
adj. 长期的；直立的；固定的
v. 站立；坚持不变；坐落于（stand的ing形式）"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
symbolically,adv. 象征性地；象征意义地
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
unexpectedly,adv. 出乎意料地，意外地
cheer sb. up,"v. 鼓舞；振作一点
 振作起来；高兴起来；使高兴起来"
go by,"na. 走过；以…为根据(作判断)；顺道访问；受…所控制
 过去；经过；依照"
in advance,"na. 预先；在先头
 事先；提前；事前"
in case,"na. 以防万一；作为准备；如果；免得
 假使；假如；以防免得"
once again,"na. 一再；再一次；“once again/more”的变体
 再度；再次；又一次"
pass away,"na. 消失；Vi. 经过；去；终止
 去世；逝世；过世"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
