progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
actual,adj. 真实的，实际的；现行的，目前的
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
receipt,"n. 收到；收据；收入
vt. 收到"
concept,n. 观念，概念
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
preposition,n. 介词；前置词
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
expose,vt. 揭露，揭发；使曝光；显示
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
postage,n. 邮资，邮费
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
preference,n. 偏爱，倾向；优先权
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
infer,"vi. 推断；作出推论
vt. 推断；推论"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
description,n. 描述，描写；类型；说明书
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
tractor,n. 拖拉机；牵引机
subtract,vt. 减去；扣掉
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
pat,"n. 轻拍；小块；轻拍声
adj. 恰好的；熟练的；合适的
vt. 轻拍
adv. 恰好；熟记地
vi. 轻拍"
patience,n. 耐性，耐心；忍耐，容忍
path,n. 道路；小路；轨道
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
depress,vt. 压抑；使沮丧；使萧条
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
convey,vt. 传达；运输；让与
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
living-room,n. 起居室；客厅
kitchen,n. 厨房；炊具；炊事人员
balcony,n. 阳台；包厢；戏院楼厅
bacon,n. 咸肉；腌肉；熏猪肉
barber,"n. 理发师
vt. 为…理发；修整
vi. 当理发师"
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
basement,n. 地下室；地窖
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
pollution,"n. 污染
污染物"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
ash,n. 灰；灰烬
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
bee,n. 蜜蜂，蜂；勤劳的人
beast,n. 野兽；畜生，人面兽心的人
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
beer,"n. 啤酒
vi. 喝啤酒"
alcohol,n. 酒精，乙醇
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
champagne,n. 香槟酒；香槟酒色
ham,"adj. 过火的；做作的
vi. 表演过火
vt. 演得过火
n. 火腿；业余无线电爱好者；蹩脚演员"
hammer,"n. 铁锤；链球； 锤骨；音锤
vi. 锤击；敲打；重复
vt. 锤击；锤打"
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
hen,n. 母鸡；女人；雌禽
hence,adv. 因此；今后
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
phenomenon,n. 现象；奇迹；杰出的人才
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
jar,"n. 罐；广口瓶；震动；刺耳声
vi. 冲突；不一致；震惊；发刺耳声
vt. 震动；刺激；使震动"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
pan,"n. 平底锅；盘状的器皿；淘盘子，金盘，秤盘
vi. 淘金；在淘洗中收获金子
vt. 淘金；在浅锅中烹调（食物）；严厉的批评"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
bowl,"n. 碗；木球；大酒杯
vt. 投球；旋转；平稳快速移动
vi. 玩保龄球；滑动；平稳快速移动"
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
jeans,n. 牛仔裤；工装裤
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
hurricane,n. 飓风，暴风
typhoon,n.  台风
ant,n. 蚂蚁
dorm,n. 宿舍（等于dormitory）
butcher,"n. 屠夫
vt. 屠杀"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
animal,"n. 动物
动物的"
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
claw,"n. 爪；螯，钳；爪形器具
vi. 用爪抓（或挖）
vt. 用爪抓（或挖）"
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
deer,n. 鹿
eagle,n. 鹰；鹰状标饰
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
mosquito,n. 蚊子
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
turkey,n. 土耳其（横跨欧亚两洲的国家）
bean,"n. 豆；嘴峰；毫无价值的东西
vt. 击…的头部"
biscuit,n. 小点心，饼干
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
chopsticks,n. 筷子
chips,n.  炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
heroine,n. 女主角；女英雄；女杰出人物
ocean,n. 海洋；大量；广阔
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
chef,n. 厨师，大师傅
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
cucumber,n. 黄瓜；胡瓜
cupboard,n. 碗柜；食橱
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
chest,n. 胸，胸部；衣柜；箱子；金库
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
steak,n. 牛排；肉排；鱼排
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
garlic,n. 大蒜；蒜头
onion,n. 洋葱；洋葱头
melon,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
sausage,n. 香肠；腊肠；装香肠的碎肉
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
saucer,n. 茶托，浅碟；浅碟形物；眼睛
pea,n. 豌豆
nut,"n. 螺母，螺帽；坚果；难对付的人，难解的问题
vi. 采坚果"
nutrition,n. 营养，营养学；营养品
recipe,n. 食谱； 处方；秘诀；烹饪法
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
strawberry,n. 草莓；草莓色
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
tobacco,n. 烟草，烟叶；烟草制品；抽烟
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
vinegar,n. 醋
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
wheat,n. 小麦；小麦色
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
pest,n. 害虫；有害之物；讨厌的人
pine,"n.  松树；凤梨，菠萝
adj. 松木的；似松的
vt. 为…悲哀；哀悼
vi. 渴望，痛苦；憔悴"
pineapple,"n.  菠萝； 凤梨
adj. 凤梨科的"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
system,n. 制度，体制；系统；方法
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
greenhouse,"n. 温室
造成温室效应的"
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
bacterium,n.  细菌；杆菌属
fireplace,n. 壁炉
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
furniture,n. 家具；设备；储藏物
furnish,vt. 提供；供应；装备
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
element,n. 元素；要素；原理；成分；自然环境
oxygen,n.  氧气， 氧
oxide,n.  氧化物
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
hydrogen,n.  氢
aluminum,n. 铝
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
gold,"n. 金，黄金；金色；金币
adj. 金的，金制的；金色的"
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
comb,"n. 梳子；蜂巢；鸡冠
vt. 梳头发；梳毛
vi. （浪）涌起"
bomb,"n. 炸弹
vt. 轰炸，投弹于
vi. 轰炸，投弹；失败"
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
tomb,"n. 坟墓；死亡
vt. 埋葬"
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
atom,n. 原子
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
electricity,n. 电力；电流；强烈的紧张情绪
electronic,"adj. 电子的
n. 电子电路；电子器件"
university,n. 大学；综合性大学；大学校舍
universe,n. 宇宙；世界；领域
anniversary,n. 周年纪念日
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
harmony,n. 协调；和睦；融洽；调和
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
diverse,adj. 不同的；多种多样的；变化多的
version,n. 版本；译文；倒转术
avoid,vt. 避免；避开，躲避；消除
college,n. 大学；学院；学会
ambassador,n. 大使；代表；使节
legal,adj. 法律的；合法的；法定的；依照法律的
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
justice,n. 司法，法律制裁；正义；法官，审判员
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
injure,vt. 伤害，损害
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
clause,n. 条款； 子句
client,n.  客户；顾客；委托人
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
sew,"vt. 缝合，缝上；缝纫
vi. 缝纫，缝"
nylon,n. 尼龙， 聚酰胺纤维；尼龙袜
fiber,n. 纤维；光纤（等于fibre）
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
overcoat,n. 大衣，外套
shirt,n. 衬衫；汗衫，内衣
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
robe,"n. 长袍，礼服；制服
vi. 穿长袍
vt. 使穿长袍"
sweater,n. 毛线衣，运动衫；大量出汗的人，发汗剂
clothes,n. 衣服
cab,"n. 驾驶室；出租汽车；出租马车
vi. 乘出租马车（或汽车）"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
toilet,"n. 厕所，盥洗室；梳妆，打扮
vt. 给…梳妆打扮
vi. 梳妆，打扮"
wallet,n. 钱包，皮夹
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
bucket,"n. 桶，水桶；铲斗；一桶的量
v. 倾盆而下；颠簸着行进"
planet,n. 行星
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
pave,vt. 铺设；安排；作铺设之用
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
heaven,n. 天堂；天空；极乐
solve,"vt. 解决；解答；溶解
vi. 作解答"
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investigate,v. 调查；研究
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
glove,"n. 手套
vt. 给…戴手套"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
jewel,"n. 宝石；珠宝
vt. 镶以宝石；饰以珠宝"
necklace,n. 项链
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
stocking,n. 长袜
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
storey,n.  楼层；叠架的一层
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
collar,"n. 衣领；颈圈
vt. 抓住；给…上领子；给…套上颈圈"
trousers,n. 裤子，长裤
pants,n. 裤子
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
rag,"n. 破布；碎屑
vt. 戏弄；责骂
vi. 变破碎；穿着讲究"
wool,n. 羊毛；毛线；绒线；毛织品；毛料衣物
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
campus,n. （大学）校园；大学，大学生活；校园内的草地
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
headmaster,n. 校长
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
president,n. 总统；董事长；校长；主席
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
degree,n. 程度，等级；度；学位；阶层
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
architecture,n. 建筑学；建筑风格；建筑式样；架构
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
march,n. 三月
detect,vt. 察觉；发现；探测
biology,n. （一个地区全部的）生物；生物学
ecology,n. 生态学；社会生态学
psychology,n. 心理学；心理状态
sociology,n. 社会学；群体生态学
mathematics,n. 数学；数学运算
politics,n. 政治，政治学；政治活动；政纲
policy,n. 政策，方针；保险单
police,"n. 警察，警方；治安
adj. 警察的；有关警察的
vt. 监督；管辖；维持治安；为…配备警察"
apology,n. 道歉；谢罪；辩护；勉强的替代物
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
arithmetic,n. 算术，算法
back,"n. 后面；背部；靠背；足球等的后卫；书报等的末尾
adj. 后面的；过去的；拖欠的
vt. 支持；后退；背书；下赌注
adv. 以前；向后地；来回地；上溯；回来；回原处
vi. 后退；背靠；倒退"
backward,"adj. 向后的；反向的；发展迟缓的
adv. 向后地；相反地"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
lick,"vt. 舔；卷过；鞭打
vt. （非正式）战胜
vi. 舔；轻轻拍打
n. 舔；打；少许"
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
ticket,vt. 加标签于；指派；对…开出交通违规罚单
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
