palace,n. 宫殿；宅邸；豪华住宅
too ... to ...,找不到解释
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
ability,n. 能力，能耐；才能
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
believe it or not,"na. 信不信由你
 信不信由你博物馆；七月又十四之信不信由你；七月又十四信不信由你"
look out,"na. 挑选；注意；看外头；展望 (on；over)
 当心；小心；留神"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
able,adj. 能； 有能力的；能干的
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
 付款；付钱；支付"
notebook,n. 笔记本，笔记簿；手册
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
save ... from, 拯救；从…中救出；挽救
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
next door,"n. 隔壁邻居；住在隔壁的人
adv. 在隔壁
 邻家；隔邻"
badly,adv. 非常，很；严重地，厉害地；恶劣地
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
could,"aux. 能够
v. 能（can的过去式）"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
protect,vt. 保护，防卫；警戒
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
wet,"n. 雨天；湿气
adj.  潮湿的；有雨的
vt. 弄湿
vi. 变湿"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
fireman,n. 消防队员；救火队员；锅炉工
firemen,n. 消防员
put out,"v. 扑灭；熄灭；放出；伸出
 关；关熄；消灭，关"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
in hospital, 住院；在医院；生病住院
moment,n. 片刻，瞬间，时刻；重要，契机
nod,"n. 点头；打盹；摆动
vt. 点头；点头表示
vi. 点头；打盹；摆动"
careful,adj. 仔细的，小心的
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
reporter,n. 记者
news,n. 新闻，消息；新闻报导
newspaper,"n. 报纸
报社
旧报纸"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
bin,"n. 箱子，容器；二进制
vt. 把…放入箱中"
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
by the way,"na. 见 way 条
 顺便说一句；顺便问一下；顺便说一下"
camera,n. 照相机；摄影机
no problem,"n. 没问题
 没有问题；没关系；不客气"
X-ray,找不到解释
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
do one's best,"na. 竭尽所能；尽力
 尽最大努力；不遗余力；尽最大的努力"
try one's best,"na. 尽全力
 尽力；努力；竭尽全力"
careless,adj. 粗心的；无忧无虑的；淡漠的
piano,n. 钢琴
do well in, 擅长；在……方面做得好；在……干得好
better,"n. 长辈；较好者；打赌的人（等于bettor）
adj. 较好的
vt. 改善；胜过
adv. 更好的；更多的；较大程度地
vi. 变得较好"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
violin,n. 小提琴；小提琴手
at the age of,"na. 在…岁时
 在……岁时；在……岁的时候；在…年龄"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
sir,n. 先生；（用于姓名前）爵士；阁下；（中小学生对男教师的称呼）先生；老师
madam,n. 夫人；女士；鸨母
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
award,"n. 奖品；判决
vt. 授予；判定"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
lose one's way,"na. 迷路
 迷失方向；迷途；谁迷路"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
hear from,"na. 得到…的消息
 收到……的来信；收到……来信；收到…的信"
yours faithfully,"na. “ever yours”的变体
 你忠实的；你的忠实的；您忠诚的"
pet,"n. 宠物；生气；受宠爱的人
adj. 宠爱的
vt. 宠爱
vi. 生气；爱抚"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
goldfish,n. 金鱼
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
mice,n. 老鼠（mouse的复数）
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
poem,n. 诗
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
look after,"na. 照看；照顾；看管；对…负责
 照料；照管；目送"
till,"prep. 直到
conj. 直到...为止
n.  冰碛；放钱的抽屉；备用现金
vt. 耕种；犁
vi. 耕种；耕耘"
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
rhyme,"n. 韵律；韵脚；韵文；押韵词
vt. 使押韵；用韵诗表达；把…写作诗
vi. 押韵；作押韵诗"
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
take care of,"na. 照看；处理；清除
 照顾；照料；爱护"
anywhere,"n. 任何地方
adv. 在任何地方；无论何处"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
all the time,"na. 始终；老是
 一直；总是；无时无刻"
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
gram,n. 克；鹰嘴豆（用作饲料）
grow up,"na. 长大
 成长；长大成人；成年"
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
noise,"n.  噪音；响声；杂音
vt. 谣传
vi. 发出声音；大声议论"
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
basket,"n. 篮子；（篮球比赛的）得分；一篮之量；篮筐
vt. 装入篮"
noisy,adj. .嘈杂的；喧闹的；聒噪的
