apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
swerve,"vt. 使转弯；使突然转向；使背离
vi. 转弯；突然转向；背离
n. 转向；偏离的程度"
diversion,n. 转移；消遣；分散注意力
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
engine,n. 引擎，发动机；机车，火车头；工具
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
siren,"n. 汽笛；迷人的女人；歌声动人的女歌手
adj. 迷人的
vt. 引诱
vi. 响着警报器行驶"
rumble,"n. 隆隆声；抱怨声
vi. 隆隆作响
vt. 使隆隆响；低沉地说"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
overpass,"vt. 超越；胜过；忽略
n. 天桥；陆桥"
intersection,n. 交叉；十字路口；交集；交叉点
junction,n. 连接，接合；交叉点；接合点
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
barricade,"n. 街垒；路障；争论之处
vt. 设路障；阻碍"
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
lane,n. 小巷； 航线；车道；罚球区
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
aisle,n. 通道，走道；侧廊
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
telecommunications,n. 通讯行业：服务类型变更，缴纳话费，账户总览等所有业务均可通过移动设备完成
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
transmission,n. 传动装置， 变速器；传递；传送；播送
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
correspondence,n. 通信；一致；相当
enclosure,n. 附件；围墙；围场
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
convenience,n. 便利；厕所；便利的事物
loudspeaker,n. 喇叭，扬声器；扩音器
conception,n. 怀孕；概念；设想；开始
concept,n. 观念，概念
domain,n. 领域；域名；产业；地产
phenomenon,n. 现象；奇迹；杰出的人才
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
universe,n. 宇宙；世界；领域
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
comet,n.  彗星
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
rotary,"n. 旋转式机器； 转缸式发动机
adj. 旋转的，转动的；轮流的"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
equator,n. 赤道
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
atlas,n. 地图集；寰椎
axis,n. 轴；轴线；轴心国
arc,"n. 弧（度）；弧光（全称electric arc）；弧形物；天穹
adj. 圆弧的；反三角函数的
vt. 形成电弧；走弧线"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
pristine,adj. 原始的，古时的；纯朴的
variation,n. 变化； 变异，变种
precise,adj. 精确的；明确的；严格的
bacteria,n.  细菌
protein,"n. 蛋白质；朊
adj. 蛋白质的"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
radioactive,adj.  放射性的；有辐射的
emission,n. （光、热等的）发射，散发；喷射；发行
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
optical,adj. 光学的；眼睛的，视觉的
spectrum,n. 光谱；频谱；范围；余象
ultraviolet,"adj. 紫外的；紫外线的
n. 紫外线辐射，紫外光"
synthesis,n. 综合， 合成；综合体
substance,n. 物质；实质；资产；主旨
molecule,n.  分子；微小颗粒，微粒
transistor,n. 晶体管（收音机）
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
quartz,n. 石英
silicon,n.  硅；硅元素
sulfur,"n. 硫磺；硫磺色
vt. 用硫磺处理"
sulphur,"n. 硫磺；硫磺色
vt. 使硫化；用硫磺处理"
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
metallic,adj. 金属的，含金属的
zinc,"n. 锌
vt. 镀锌于…; 在…上镀锌"
mercury,n. 水星
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
oxygen,n.  氧气， 氧
oxide,n.  氧化物
derive,"vt. 源于；得自；获得
vi. 起源"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
velocity,n. 速度
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
audible,"adj. 听得见的
听得见地"
apparatus,n. 装置，设备；仪器；器官
compatible,adj. 兼容的；能共处的；可并立的
digital,"n. 数字；键
adj. 数字的；手指的"
decimal,"n. 小数
adj. 小数的；十进位的"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
quart,n. 夸脱（容量单位）；一夸脱的容器
watt,n. 瓦特
ideology,n. 意识形态；思想意识；观念学
electronic,"adj. 电子的
n. 电子电路；电子器件"
electrical,adj. 有关电的；电气科学的
astronomy,n. 天文学
aviation,n. 航空；飞行术；飞机制造业
physiological,adj. 生理学的，生理的
evolution,n. 演变；进化论；进展
genetic,adj. 遗传的；基因的；起源的
sociology,n. 社会学；群体生态学
logical,adj. 合逻辑的，合理的；逻辑学的
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
quantitative,adj. 定量的；量的，数量的
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
rectangular,adj. 矩形的；成直角的
symmetry,n. 对称（性）；整齐，匀称
graphics,n.  制图学；制图法；图表算法
linear,adj. 线的，线型的；直线的，线状的；长度的
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
addition,n. 添加； 加法；增加物
subtract,vt. 减去；扣掉
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
fraction,n. 分数；部分；小部分；稍微
parameter,n. 参数；系数；参量
qualitative,adj. 定性的；质的，性质上的
element,n. 元素；要素；原理；成分；自然环境
formula,n.  公式，准则；配方；婴儿食品
module,n.  模块；组件；模数
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
output,"n. 输出，输出量；产量；出产
vt. 输出"
empirical,adj. 经验主义的，完全根据经验的；实证的
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
formulate,vt. 规划；用公式表示；明确地表达
hypothesis,n. 假设
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
accuracy,n.  精确度，准确性
accurate,adj. 精确的
database,n. 数据库，资料库
analogy,n. 类比；类推；类似
analyse,vt. 分析；分解；细察
analysis,n. 分析；分解；验定
analytic,adj. 分析的；解析的；善于分析的
analytical,adj. 分析的；解析的；善于分析的
detect,vt. 察觉；发现；探测
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
collaborate,vi. 合作；勾结，通敌
collaboration,n. 合作；勾结；通敌
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
deduce,vt. 推论，推断；演绎出
obtain,"vi. 获得；流行
vt. 获得"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
innovation,n. 创新，革新；新方法
intelligent,adj. 智能的；聪明的；理解力强的
breakthrough,n. 突破；突破性进展
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
feasible,adj. 可行的；可能的；可实行的
instrument,n. 仪器；工具；乐器；手段；器械
instrumental,"n. 器乐曲；工具字，工具格
adj. 乐器的；有帮助的；仪器的，器械的"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
fusion,n. 融合；熔化；熔接；融合物； 核聚变
odor,n. 气味；名声
odour,n. 气味；声誉
sanitation,n.  环境卫生；卫生设备；下水道设施
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
discomfort,"n. 不适，不安；不便之处
vt. 使……不舒服；使……不安"
complication,n. 并发症；复杂；复杂化；混乱
syndrome,n.  综合症状；并发症状；校验子；并发位
chronic,adj. 慢性的；长期的；习惯性的
benign,adj. 良性的；和蔼的，亲切的；吉利的
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
valve,"n. 阀； 瓣膜；真空管；活门
vt. 装阀于；以活门调节"
appendix,n. 附录；阑尾；附加物
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
artery,n. 动脉；干道；主流
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
gland,"n. 腺
密封压盖"
cholesterol,n.  胆固醇
kidney,n.  肾脏；腰子；个性
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
insomnia,n. 失眠症，失眠
spine,n. 脊柱，脊椎；刺；书脊
paralyze,vt. 使麻痹；使瘫痪
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
disable,vt. 使失去能力；使残废；使无资格
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
sneeze,"n. 喷嚏
vi. 打喷嚏"
vomit,"n. 呕吐；呕吐物；催吐剂
vi. 呕吐；吐出
vt. 吐出；使……呕吐"
wrench,"n. 扳手，扳钳；扭伤；痛苦；歪曲；猛扭
vt. 扭伤；猛扭；曲解；折磨
vi. 扭伤；猛扭；猛绞"
subside,vi. 平息；减弱；沉淀；坐下
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
bleed,"vt. 使出血；榨取
vi. 流血；渗出；悲痛"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
toxic,adj. 有毒的；中毒的
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
cocaine,n.  可卡因
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
induce,vt. 诱导；引起；引诱；感应
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
incidence,n. 发生率；影响； 入射；影响范围
surgeon,n. 外科医生
surgery,n. 外科；外科手术；手术室；诊疗室
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
malnutrition,n. 营养失调，营养不良
pregnancy,n. 怀孕；丰富，多产；意义深长
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
potent,adj. 有效的；强有力的，有权势的；有说服力的
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
inject,vt. 注入；注射
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
alleviate,vt. 减轻，缓和
bandage,"n. 绷带
vt. 用绷带包扎"
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
ecology,n. 生态学；社会生态学
classification,n. 分类；类别，等级
humanity,n. 人类；人道；仁慈；人文学科
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
longevity,n. 长寿，长命；寿命
tribe,n. 部落；族；宗族；一伙
species,"n.  物种；种类
adj. 物种上的"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
habitat,n.  栖息地，产地
parasite,n. 寄生虫；食客
insect,n. 昆虫；卑鄙的人
pest,n. 害虫；有害之物；讨厌的人
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
ivory,"n. 象牙；乳白色；长牙
adj. 乳白色的；象牙制的"
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
corpse,n. 尸体
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
dolphin,n. 海豚
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
owl,n. 猫头鹰；枭；惯于晚上活动的人
penguin,n. 企鹅；空军地勤人员
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
chatter,"n. 唠叨；饶舌；（动物的）啁啾声；潺潺流水声
vt. 喋喋不休地说；使卡嗒卡嗒作声
vi. 唠叨；喋喋不休；（动物等）吱吱叫"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
flit,"n. 轻快的飞行；搬家
vi. 掠过；轻快地飞；移居"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
brood,"n. 一窝；一伙
vt. 孵；沉思"
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
vegetation,n. 植被；植物，草木；呆板单调的生活
herb,n. 香草，药草
mint,"n. 薄荷； 造币厂，巨款
vt. 铸造，铸币
adj. 完美的"
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的"
shrub,n. 灌木；灌木丛
thorn,n. 刺； 荆棘
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
stump,"vt. 砍伐；使为难；在…作巡回政治演说
n. 树桩；残余部分；假肢
vi. 笨重地行走；发表竞选演说"
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
conservation,n. 保存，保持；保护
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
solution,n. 解决方案；溶液；溶解；解答
disposal,n. 处理；支配；清理；安排
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
garbage,n. 垃圾；废物
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
contaminate,vt. 污染，弄脏
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
erosion,n. 侵蚀，腐蚀
deteriorate,"vi. 恶化，变坏
vt. 恶化"
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
endurance,n. 忍耐力；忍耐；持久；耐久
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
utilize,vt. 利用
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
climate,n. 气候；风气；思潮；风土
temperate,adj. 温和的；适度的；有节制的
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
hemisphere,n. 半球
atmosphere,n. 气氛；大气；空气
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
latitude,n. 纬度；界限；活动范围
longitude,n.  经度；经线
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
region,n. 地区；范围；部位
vicinity,n. 邻近，附近；近处
proximity,n. 接近，邻近；接近；接近度，距离；亲近
situation,n. 情况；形势；处境；位置
terrain,n.  地形，地势；领域；地带
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
peninsula,n. 半岛
inlet,"n. 入口，进口；插入物；水湾
v. 引进; 嵌入; 插入;"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
deflect,"vt. 使转向；使偏斜；使弯曲
vi. 转向；偏斜"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
spacious,adj. 宽敞的，广阔的；无边无际的
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
marsh,"n. 沼泽；湿地
adj. 沼泽的；生长在沼泽地的"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
meadow,n. 草地；牧场
humidity,n.  湿度；湿气
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
cliff,n. 悬崖；绝壁
brink,n. （峭壁的）边缘
cavity,n. 腔；洞，凹处
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
ramp,"n. 斜坡，坡道；敲诈
vt. 敲诈；使有斜面
vi. 蔓延；狂跳乱撞；敲诈"
situated,"v. 使位于；使处于（situate的过去分词）
adj. 位于…的；处于…境遇的"
livestock,n. 牲畜；家畜
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
diversify,vt. 使多样化，使变化；增加产品种类以扩大
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
shear,"n.  切变；修剪；大剪刀
vi. 剪；剪切；修剪
vt. 剪；修剪；剥夺"
yoke,"n. 轭；束缚；牛轭
vt. 结合；给…上轭
vi. 结合；匹配"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
virgin,"n. 处女
adj. 处女的；纯洁的；未经利用的，处于原始状态的"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
tow,"n. 拖；麻的粗纤维；拖曳所用之绳
vt. 拖；牵引；曳
vi. 被拖带；拖行"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
fertilizer,n.  肥料；受精媒介物；促进发展者
pesticide,n. 杀虫剂
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
irrigation,n. 灌溉； 冲洗；冲洗法
prune,"n. 深紫红色；傻瓜；李子干
vt. 修剪；删除；剪去
vi. 删除；减少"
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
reap,"vt. 收获，获得；收割
vi. 收割，收获"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
warehouse,n. 仓库；货栈；大商店
hoard,"n. 贮藏物
vt. 贮藏
vi. 积聚钱财；贮藏货物"
abundant,adj. 丰富的；充裕的；盛产
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
machinery,n. 机械；机器；机构；机械装置
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
mechanize,vt. 使机械化；机动化；用机械装置
productivity,n. 生产力；生产率；生产能力
efficient,adj. 有效率的；有能力的；生效的
