ankle,n. 踝关节，踝
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
catatonic,"n. 紧张性精神症患者
adj. 紧张性精神症的"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
dedicate,vt. 致力；献身；题献
deliberately,adv. 故意地；谨慎地；慎重地
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
exhale,"vt. 呼气；发出；发散；使蒸发
vi. 呼气；发出；发散"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
felicity,n. 幸福；快乐；幸运
fiction,n. 小说；虚构，编造；谎言
flawless,adj. 完美的；无瑕疵的；无裂缝的
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
hormone,n.  激素，荷尔蒙
inherent,adj. 固有的；内在的；与生俱来的，遗传的
insatiability,n. 不知足，贪求无厌
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
knave,n. 无赖；流氓；（纸牌中的）杰克
laxative,"n. 泻药； 缓泻药
adj. 通便的"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
orthopedics,n. 矫形术
patriotism,n. 爱国主义；爱国心，爱国精神
perception,n. 知觉； 感觉；看法；洞察力；获取
perpetual,adj. 永久的；不断的；四季开花的；无期限的
pharmacopoeia,n. 药典，处方书；一批备用药品
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
pursuit,n. 追赶，追求；职业，工作
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
sake,n. 目的；利益；理由；日本米酒
salve,"vt. 涂油膏；缓和
n. 药膏；安慰"
stocking,n. 长袜
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
therapy,n. 治疗，疗法
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
uplifting,adj. 令人振奋的；使人开心的
vaguely,adv. 含糊地；暧昧地；茫然地
varicose veins,n. 静脉曲张( varicose vein的名词复数 ); （尤指腿部的）静脉曲张
abound,vi. 富于；充满
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
authorities,n. 当局，官方（authority的复数）
beckon,"vt. 召唤；吸引
vi. 吸引；（招手或点头）示意
n. 表召唤的点头；手势"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
bureaucrat,n. 官僚；官僚主义者
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
commodity,n. 商品，货物；日用品
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
coupling,"n.  耦合；结合，联结
v. 连接（couple的ing形式）"
craze,"n. 狂热
vt. 使发狂；使产生纹裂
vi. 发狂；产生纹裂"
dangle,"vt. 使摇晃地悬挂
vi. 摇晃地悬挂着"
deadbeat,"n. 游手好闲者；赖债不还的人；落魄者
adj. 非周期的；直进式的"
decoration,n. 装饰，装潢；装饰品；奖章
demonstrable,adj. 可论证的；显而易见的
designer,"n. 设计师；谋划者
adj. 由设计师专门设计的；享有盛名的；赶时髦的"
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
emigrate,"vi. 移居；移居外国
vt. 移民"
ensuing,"adj. 接着发生的
v. 跟着发生（ensue的ing形式）"
equality,n. 平等；相等； 等式
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
faulty,adj. 有错误的；有缺点的
gang,"n. 群；一伙；一组
vt. 使成群结队；结伙伤害或恐吓某人
vi. 成群结队"
gimmick,"n. 暗机关；骗人的玩意；花招
vt. 使暗机关；搞骗人的玩意"
girth,"n. 周长；围长；肚带
vt. 围绕；包围
vi. 围长为"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
idiosyncratic,adj. 特质的；特殊的；异质的
indigo,"n. 靛蓝，靛蓝染料；靛蓝色；槐蓝属植物
adj. 靛蓝色的"
inseam,n. 内接缝
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
lumberjack,n. 伐木工人；木材商的佣工；短茄克衫
marginal,adj. 边缘的；临界的；末端的
mean-tempered,adj. 脾气坏的
necktie,n. 领带
ore,n. 矿；矿石
ornamentation,n. 装饰物
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
pacify,vt. 使平静；安慰；平定
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
peddler,n. 小贩；传播者
profitable,adj. 有利可图的；赚钱的；有益的
proletarian,"n. 普罗，无产者；工人
adj. 普罗阶级的，无产阶级的"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
rigor,n. 严厉；精确；苛刻；僵硬
rivet,"n. 铆钉
vt. 铆接；固定；（把目光、注意力等）集中于"
rugged,adj. 崎岖的；坚固的；高低不平的；粗糙的
slit,"n. 裂缝；投币口
vt. 撕裂；使有狭缝
vi. 纵裂"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
sundries,n. 杂物；杂货；杂件
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
symbol,n. 象征；符号；标志
thereafter,adv. 其后；从那时以后
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
ubiquitous,adj. 普遍存在的；无所不在的
yarn,"n. 纱线；奇谈，故事
vt. 用纱线缠
vi. 讲故事"
be engaged in,"na. 正做着
 从事于；忙于；从事……职业"
break up,"v. 拆散；打碎；剖割(兽体等)；破坏
 分手；结束；分解"
chop off,"na. 切去
 砍下；切断；切开"
convert into,"v. 转换成
 折合；转化成；转换为"
dude ranch,"n. 度假农场
 牧场；观光牧场；度假牧场"
eke out,"na. 弥补不足；辛辛苦苦维持(生活)；节省地消费
 竭力维持；使能持久；辛苦经营"
get around,"na. 回避(事实)；往来；避开(法律等)；智胜(某人)
 走动；规避；四处走动"
jump at,"v. 欣然接受
 立即抓住；急忙接受；欣然接收"
seek after,"na. 求；寻求；探究
 追求；寻找；探索"
stand up to,"na. 抵抗；反抗；反对；经得起
 勇敢地面对；勇敢面对；顶得住"
acknowledge,vt. 承认；答谢；报偿；告知已收到
adopted,"v. 采用；接受（adopt的过去式和过去分词）
adj. 被收养的；被采用的"
atonement,n. 赎罪；补偿，弥补
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
compel,vt. 强迫，迫使；强使发生
contrition,n. 痛悔；悔悟
convince,vt. 说服；使确信，使信服
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
cruel,adj. 残酷的，残忍的；使人痛苦的，让人受难的；无情的，严酷的
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
domineering,"adj. 跋扈的；专横的；盛气凌人的
v. 实行暴政；高耸；流行（domineer的ing形式）"
duplicity,n. 口是心非；表里不一；不诚实
escalator,n. （美）自动扶梯；电动扶梯
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
faculty,n. 科，系；能力；全体教员
fallible,adj. 易犯错误的；不可靠的
fester,"n. 溃烂；脓疮，脓疱
vt. 使……溃烂；使……痛苦；使……恶化
vi. 溃烂；化脓"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
foe,n. 敌人；反对者；危害物
fury,n. 狂怒；暴怒；激怒者
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
guideline,"n. 指导方针
参考"
hothead,n. 性急的人；鲁莽的人
infidelity,n. 无信仰，不信神；背信
insight,n. 洞察力；洞悉
lest,conj. 唯恐，以免；担心
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
malice,n. 恶意；怨恨；预谋
malignancy,n. 恶性（肿瘤等）；恶意
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
muddle,"vt. 混合；使咬字不清晰；使微醉
n. 糊涂；困惑；混浊状态
vi. 胡乱思考；糊里糊涂地行事"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
pregnant,adj. 怀孕的；富有意义的
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
rebellion,n. 叛乱；反抗；谋反；不服从
recommendation,n. 推荐；建议；推荐信
reconcile,vt. 使一致；使和解；调停，调解；使顺从
reconciliation,n. 和解；调和；和谐；甘愿
retaliation,n. 报复；反击；回敬
scapegoat,"n. 替罪羊，替人顶罪者；替身
vt. 使成为…的替罪羊"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
stifle,"n. （马等的）后膝关节；（马等的） 后膝关节病
vt. 扼杀；使窒息；藏匿
vi. 窒息；被扼杀"
trapped,"adj. 捕获的；陷入困境的；收集的；受到限制的
vt. 诱捕（trap的过去分词）"
unjust,adj. 不公平的，不公正的；非正义的
vengeance,n. 复仇；报复；报仇
wrong,"n. 坏事；不公正
adj. 错误的；失常的；不适当的
vt. 委屈；无理地对待；诽谤
adv. 错误地；邪恶地，不正当地"
a bundle of,"un. 一捆
 一包；一束；一捆捆"
be critical of, 批评的；爱挑毛病的；对……持批评态度
be worth, 值得；值得的；价值相当
be worth doing,值得做……
bring down,"na. 降低；击落；削减；使落下
 打倒；使下降；使倒下"
bring on,"na. “bring forward”的变体
 引起；导致；造成"
cut out,"na. 割掉；除去；剪下；开辟
 停止；删除；切掉"
face up to,"na. 大胆面向；正面对付；同“face”
 勇敢地面对某事；大胆面对；勇敢地对付"
hide from, 隐瞒；躲避；躲藏
let off the hook, 摆脱困境；错过得胜的机会
pay for,"na. 付开销；赔偿(损失)；(为某种过失)付出代价；吃亏
 付款；付钱；支付"
set free,"na. 释放；使游离
 放走；被释放；赦免"
strip sth. of,"un. 剥去；剥掉；剥夺；失去
 除去"
strip sb. of,"un. 剥去；剥掉；剥夺；失去
 除去"
vicious circle,"n. 恶性循环
 循环论法；怪圈；循环不已"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
accessibility,n. 易接近；可亲；可以得到
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
anthology,n. （诗、文、曲、画等的）选集
aptitude,n. 天资；自然倾向；适宜
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
bearing,"n.  轴承；关系；方位；举止
v. 忍受（bear的ing形式）"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
clergy,n. 神职人员；牧师；僧侣
cognitive,adj. 认知的，认识的
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
congressional,adj. 国会的；会议的；议会的
conscience,n. 道德心，良心
counselor,n. 顾问；法律顾问；参事（等于counsellor）
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
crucial,adj. 重要的；决定性的；定局的；决断的
cultivate,vt. 培养；陶冶；耕作
data,n. 数据（datum的复数）；资料
defective,"n. 有缺陷的人；不完全变化词
adj. 有缺陷的；不完美的"
deficit,n. 赤字；不足额
diagnosis,n. 诊断
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
enhance,vt. 提高；加强；增加
episode,n. 插曲；一段情节；插话；有趣的事件
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
frantic,adj. 狂乱的，疯狂的
homicide,n. 过失杀人；杀人犯
horrifying,"adj. 令人恐惧的；使人惊骇的
v. 令人恐惧；使人毛骨悚然（horrify的ing形式）"
hyperactivity,n. 极度活跃；活动过度
incivility,n. 无礼貌
indicator,n. 指示器； 指示剂； 指示符；压力计
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
litany,n. 冗长而枯燥的陈述；连祷
march,n. 三月
marijuana,n. 大麻；大麻毒品
miraculous,adj. 不可思议的，奇迹的
opt,vi. 选择
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
pressing,"n. 压；冲压件
v. 压；按；熨烫衣物（press的ing形式）
adj. 紧迫的；迫切的；恳切的"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
retention,n. 保留；扣留，滞留；记忆力；闭尿
revolutionize,"vt. 发动革命；彻底改革；宣传革命
vi. 革命化；从事革命"
self-esteem,n. 自尊；自负；自大
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
shaken,v. 摇动，动摇（shake的过去分词）
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
suffocate,"vt. 压制，阻碍；使……窒息
vi. 受阻，受扼制；窒息"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
toxic,adj. 有毒的；中毒的
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
summit meeting,"n. 最高会议
 峰会；首脑会议；高峰会议"
absolutist,n. 绝对论者；专制主义者
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
bourgeois,"n. 资本家；九点活字；中产阶级的人；追求物质享受和社会地位者
adj. 资产阶级的；中产阶级的；贪图享受的"
calumniate,vt. 诽谤；中伤；诬蔑
capitalist,"n. 资本家；资本主义者
adj. 资本主义的；资本家的"
cobweb,"n. 蜘蛛网；蛛丝；圈套
vt. 使布满蛛网；使混乱"
conceal,vt. 隐藏；隐瞒
conception,n. 怀孕；概念；设想；开始
conservative,找不到解释
critic,n. 批评家，评论家；爱挑剔的人
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
departure,n. 离开；出发；违背
deport,vt. 驱逐出境；举止；放逐
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
emancipation,n. 解放；释放
envisage,vt. 正视，面对；想像
epoch,n.  世；新纪元；新时代；时间上的一点
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
hitherto,adv. 迄今；至今
investigate,v. 调查；研究
legal,adj. 法律的；合法的；法定的；依照法律的
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
mode,n. 模式；方式；风格；时尚
mourn,v. 哀悼；忧伤；服丧
organic,adj.  有机的；组织的；器官的；根本的
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
pamphlet,n. 小册子
proletariat,n. 无产阶级，工人阶级；最下层阶级
religion,n. 宗教；宗教信仰
republican,"n. 共和党人
adj. 共和党的
共和的"
revere,vt. 敬畏；尊敬；崇敬
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
scarcely,adv. 几乎不，简直不；简直没有
slander,"n. 诽谤；中伤
vt. 诽谤；造谣中伤"
subsistence,n. 生活；生存；存在
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
tenacity,n. 韧性；固执；不屈不挠；黏性
theoretical,adj. 理论的；理论上的；假设的；推理的
ultra-democratic,找不到解释
vie,"vi. 争；竞争
vt. 使针锋相对；提出...来竞争；以...作较量"
brush aside,"na. 刷去；扫除；无视
 漠视；不顾；置之不理"
vice versa,"adv. 反之亦然；反过来也一样
 小爸爸大儿子；反过来亦然；反过来的"
ad-lib,"vt. 即兴演唱；即兴讲演
adj. 即兴的
vi. 即兴演出
n. 即兴的演唱"
aspire,vi. 渴望；立志；追求
bedbug,n. 臭虫
blessing,"n. 祝福；赐福；祷告
v. 使幸福（bless的ing形式）；使神圣化；为…祈神赐福"
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
bourbon,找不到解释
centerpiece,n. 中心装饰品；放在餐桌中央的摆饰
compatible,adj. 兼容的；能共处的；可并立的
decent,adj. 正派的；得体的；相当好的
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
effeminate,"adj. 柔弱的；女人气的
n. 女子气的男人
vt. 使柔弱；使无男子汉气概
vi. 变得无男子汉气概；变得柔弱"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
enchilada,"n. 玉米卷饼（墨西哥菜）, 整件事情, 全部细节"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
floral,adj. 花的；植物的，植物群的；花似的
freesia,n. 小苍兰（小苍兰属植物）
garb,"n. 服装；装束；打扮
vt. 装扮；穿衣"
gay,"n. 同性恋者
adj. 快乐的；放荡的；艳丽的"
gild,vt. 镀金；虚饰；供给钱
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
homophobic,adj. 害怕同性恋的
huff,"n. 发怒
vt. 把…吹胀；激怒；蔑视
vi. 吹气；发怒；恫吓"
huffy,adj. 怒冲冲的；暴躁的
impersonator,n. 演员；模拟艺人
impressionable,adj. 敏感的；易受影响的
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
leather-bound,adj. 皮边儿的，用皮革包边儿的
lily,"n. 百合花，百合；类似百合花的植物；洁白之物
adj. 洁白的，纯洁的"
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
lousy,adj. 讨厌的；多虱的；污秽的；极坏的
napkin,n. 餐巾；餐巾纸；尿布
orchid,"n. 兰花； 兰科植物；淡紫色
adj. 淡紫色的"
overdose,"vt. 配药过量；使过分沉溺
n. 药量过多（等于overdosage）
vi. 服药过量；过分沉溺"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
picket,"n. 警戒哨；纠察队； 尖木桩
vt. 派……担任纠察；用尖桩围住
vi. 担任纠察"
presence,n. 存在；出席；参加；风度；仪态
prototype,n. 原型；标准，模范
proverbial,adj. 谚语的；众所周知的；谚语式的
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
pushover,n. 易于征服或控制的人；容易打败的对手；容易做的事情
racist,"n. 种族主义者
种族主义的"
reception,n. 接待；接收；招待会；感受；反应
redneck,n. 乡下人；红脖子（指美国南方保守的露天劳动者）
Ruscus, 假叶树属；花竹柏；金雀花
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
sinker,n. 铅锤；铅坠； 凿井工；下沉的人
snag,"n. 障碍；意外障碍；突出物
vt. 抓住机会；造成阻碍；清除障碍物
vi. 被绊住；形成障碍"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
stud,"n. 种马；大头钉；饰纽；壁骨
vt. 散布；用许多饰钮等装饰
adj. 种马的；为配种而饲养的"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
suppress,vt. 抑制；镇压；废止
umpteenth,adj. 第无数次的
virgin,"n. 处女
adj. 处女的；纯洁的；未经利用的，处于原始状态的"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
whisk,"n. 搅拌器；扫帚；毛掸子
vt. 拂，掸；搅拌；挥动
vi. 飞奔，疾过"
zoning,n. （城市规划中分成工厂区、住宅区等的）分区制; 成区; 分带
at the tender age of,在小小年纪
class action,"n. 集体诉讼
 集团诉讼；法网雄心；共同起诉"
put sb. to shame,"na. 给丢脸!
 使蒙羞；使羞惭，使羞辱；使自愧不如"
set in,"na. 固定；停当；涨潮；进来
 开始；来临；插入"
trailer park,"na. 拖车式活动房屋集中地
 活动房屋停放场；拖车公园；活动住屋或停车场"
