code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
core,找不到解释
miraculous,adj. 不可思议的，奇迹的
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
subsequent,adj. 后来的，随后的
synonym,n. 同义词；同义字
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
efficiency,n. 效率；效能；功效
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
scroll,"n. 卷轴，画卷；名册；卷形物
vi. 成卷形
vt. 使成卷形"
energize,"vt. 激励；使活跃；供给…能量
vi. 活动；用力"
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
clan,n. 宗族；部落；集团
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
portray,vt. 描绘；扮演
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
reflection,n. 反射；沉思；映象
discontent,"n. 不满
adj. 不满的
vt. 使不满"
infrastructure,n. 基础设施；公共建设；下部构造
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
locality,n. 所在；位置；地点
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
instrumental,"n. 器乐曲；工具字，工具格
adj. 乐器的；有帮助的；仪器的，器械的"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
oxidize,"vt. 使氧化；使生锈
vi. 氧化"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
navigable,adj. 可航行的；可驾驶的；适于航行的
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
citizenry,n. 市民；公民
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
populate,vt. 居住于；构成人口；移民于；殖民于
artifact,n. 人工制品；手工艺品
dizziness,n. 头晕；头昏眼花
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
corridor,走廊
aspiration,n. 渴望；抱负；送气；吸气；吸引术
shun,vt. 避开，避免；回避
multiplication,n.  乘法；增加
governance,n. 管理；统治；支配
carbonate,"n. 碳酸盐
vt. 使充满二氧化碳；使变成碳酸盐"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
timber,n. 木材；木料
abstraction,n. 抽象；提取；抽象概念；空想；心不在焉
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
vegetation,n. 植被；植物，草木；呆板单调的生活
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
turbulence,n. 骚乱，动荡； 湍流；狂暴
backbone,n. 支柱；主干网；决心，毅力；脊椎
unintentional,adj. 非故意的；无意识的
conceptual,adj. 概念上的
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
expose,vt. 揭露，揭发；使曝光；显示
prehistoric,adj. 史前的；陈旧的
distract,vt. 转移；分心
cultivate,vt. 培养；陶冶；耕作
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
dinosaur,n. 恐龙；过时、落伍的人或事物
underlie,vt. 成为……的基础；位于……之下
sensation,n. 感觉；轰动；感动
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
intake,n. 摄取量；通风口；引入口；引入的量
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
successive,adj. 连续的；继承的；依次的；接替的
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
inference,n. 推理；推论；推断
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
exotic,adj. 异国的；外来的；异国情调的
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
strongman,n. 强人；铁腕人物
oxide,n.  氧化物
indefensible,adj. 站不住脚的；不能防卫的；无辩护余地的
neutralize,"vt. 抵销；使…中和；使…无效；使…中立
vi. 中和；中立化；变无效"
eject,vt. 喷射；驱逐，逐出
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
theoretical,adj. 理论的；理论上的；假设的；推理的
complicate,vt. 使复杂化；使恶化；使卷入
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
persistent,adj. 固执的，坚持的；持久稳固的
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
requisite,"n. 必需品
adj. 必备的，必不可少的；需要的"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
mystify,vt. 使神秘化；使迷惑，使困惑
restraint,n. 抑制，克制；约束
temporal,"n. 世间万物；暂存的事物
adj. 暂时的；当时的；现世的"
exceedingly,adv. 非常；极其；极度地；极端
pollutant,n. 污染物
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
habitat,n.  栖息地，产地
conclusive,adj. 决定性的；最后的；确实的；确定性的
lava,n. 火山岩浆；火山所喷出的熔岩
meteor,n. 流星； 大气现象
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
ridicule,"n. 嘲笑；笑柄；愚弄
vt. 嘲笑；嘲弄；愚弄"
overheat,"vi. 过热；愤怒起来
vt. 使过热；使愤怒
n. 过热；激烈"
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
analytical,adj. 分析的；解析的；善于分析的
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
rhythm,n. 节奏；韵律
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
remarkable,adj. 卓越的；非凡的；值得注意的
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
visibility,n. 能见度，可见性；能见距离；明显性
passageway,n. 通道；走廊
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
adaptable,adj. 适合的；能适应的；可修改的
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
documentation,"n. 文件, 证明文件, 史实, 文件编制"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
regulate,vt. 调节，规定；控制；校准；有系统的管理
wane,"n. 衰退；月亏；衰退期；缺损
vi. 衰落；变小；亏缺；退潮；消逝"
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
syllable,"n. 音节
vt. 划分音节
vi. 按音节发音；讲话"
dependable,adj. 可靠的，可信赖的；可信任的
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
ivory,"n. 象牙；乳白色；长牙
adj. 乳白色的；象牙制的"
inequality,n. 不平等；不同；不平均
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
genuine,adj. 真实的，真正的；诚恳的
superiority,n. 优越，优势；优越性
predecessor,n. 前任，前辈
parasite,n. 寄生虫；食客
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
typify,vt. 代表；作为…的典型；具有…的特点
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
elementary,adj. 基本的；初级的； 元素的
vertebrate,"adj. 脊椎动物的；有脊椎的
n. 脊椎动物"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
sediment,n. 沉积；沉淀物
fragile,adj. 脆的；易碎的
mechanically,adv. 机械地；呆板地；物理上地
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
lettuce,n.  生菜；莴苣；（美）纸币
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
detection,n. 侦查，探测；发觉，发现；察觉
thorough,adj. 彻底的；十分的；周密的
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
peculiarity,n. 特性；特质；怪癖；奇特
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
emphasis,n. 重点；强调；加强语气
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
saint,找不到解释
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
cottage,n. 小屋；村舍；（农舍式的）小别墅
layout,n. 布局；设计；安排；陈列
obstacle,n. 障碍，干扰；妨害物
exclude,vt. 排除；排斥；拒绝接纳；逐出
inactivity,n. 静止；不活泼；休止状态；不放射性
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
refine,vt. 精炼，提纯；改善；使…文雅
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
linguistic,adj. 语言的；语言学的
motivation,n. 动机；积极性；推动
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
nestle,"vi. 舒适地坐定；偎依；半隐半现地处于
vt. 抱；安置"
guesswork,n. 猜测；臆测；凭猜测所作之工作
depict,vt. 描述；描画
astronomy,n. 天文学
unequaled,adj. 无与伦比的；无敌的
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
argumentative,adj. 好辩的；辩论的；争辩的
renewable,"n. 再生性能源
adj. 可再生的；可更新的；可继续的"
nonetheless,adv. 尽管如此，但是
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
harshness,n. 严肃；刺耳；粗糙的事物
fiber,n. 纤维；光纤（等于fibre）
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
composer,n. 作曲家；作家，著作者；设计者
utilization,n. 利用，使用
stellar,adj. 星的；星球的；主要的；一流的
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
formulate,vt. 规划；用公式表示；明确地表达
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
plum,"n. 李子；梅子；洋李；紫红色
adj. 人所希望的；有利的；上等的"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
sensory,adj. 感觉的；知觉的；传递感觉的
irresistible,adj. 不可抵抗的；不能压制的；极为诱人的
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
unobtainable,adj. 难获得的；不能得到的
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
hormone,n.  激素，荷尔蒙
per capita,"adj. 每人的；人均的
 按人；拉丁语人均；按人口平均计算"
conversion,n. 转换；变换； 兑换；改变信仰
miscalculate,"vt. 算错；估计错误
vi. 算错；判断错误"
recurrence,n. 再发生；循环；重现；重新提起
ironic,adj. 讽刺的；反话的
progression,n. 前进；连续
mimic,"vt. 模仿，摹拟
n. 效颦者，模仿者；仿制品；小丑
adj. 模仿的，模拟的；假装的"
hallmark,"n. 特点；品质证明
vt. 给…盖上品质证明印记；使具有…标志"
forehead,n. 额，前额
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
longitude,n.  经度；经线
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
infect,vt. 感染，传染
symptom,n.  症状；征兆
ceremonial,"n. 仪式，礼节
adj. 仪式的；正式的，礼仪的"
latitude,n. 纬度；界限；活动范围
sacred,adj. 神的；神圣的；宗教的；庄严的
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
taxation,n. 课税，征税；税款
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
vibrant,adj. 振动的；充满生气的；响亮的；战栗的
consequence,n. 结果；重要性；推论
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
harmonious,adj. 和谐的，和睦的；协调的；悦耳的
plumb,"n. 垂直；铅锤
adj. 垂直的
vt. 使垂直；探测，探索
adv. 恰恰，正；垂直地
vi. 当管子工"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
practicality,n. 实用性，实际性；实际，实例
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
abbreviate,"vt. 缩写，使省略；使简短
vi. 使用缩写词"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
respective,adj. 分别的，各自的
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
adequate,adj. 充足的；适当的；胜任的
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
mythic,adj. 神话的；虚构的
shrinkage,n. 收缩；减低
pesticide,n. 杀虫剂
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
correspond,vi. 符合，一致；相应；通信
droplet,n. 小滴，微滴
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
rehearsal,n. 排演；预演；练习；训练；叙述
pore,"n. 气孔；小孔
vt. 使注视
vi. 细想；凝视；熟读"
synthesis,n. 综合， 合成；综合体
improbable,adj. 不大可能的，未必确实的；不可信的；未必会发生的
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
irrelevant,adj. 不相干的；不切题的
catalyst,n.  催化剂；刺激因素
transit,"n. 运输；经过
vt. 运送
vi. 经过"
rib,"n. 肋骨；排骨；肋状物
vt. 戏弄；装肋于"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
encircle,vt. 包围；围绕；环绕
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
plow,"n.  犁；似犁的工具；北斗七星
vt.  犁；耕；开路
vi.  犁；耕地；破浪前进；开路"
windmill,"n. 风车；风车房；旋转玩具；直升飞机
vt. 使旋转
vi. 作风车般旋转"
ecologist,n. 生态学者
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
compile,vt. 编译；编制；编辑； 汇编
disharmony,n. 不一致；不调和；不融洽
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
differentiate,"vt. 区分，区别
vi. 区分，区别"
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
strive,vi. 努力；奋斗；抗争
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
violet,"n. 紫罗兰；堇菜；羞怯的人
adj. 紫色的；紫罗兰色的"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
craze,"n. 狂热
vt. 使发狂；使产生纹裂
vi. 发狂；产生纹裂"
ratio,n. 比率，比例
acidity,n. 酸度；酸性；酸过多；胃酸过多
entity,n. 实体；存在；本质
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
diversification,n. 多样化；变化
envision,vt. 想象；预想
protectionist,"n. 贸易保护主义者
adj. 贸易保护主义的；保护贸易论的"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
starch,"n. 淀粉；刻板，生硬
vt. 给…上浆"
convention,n. 大会； 惯例； 约定； 协定；习俗
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
peck,"n. 许多；配克（容量单位，等于2加仑）；啄痕；快速轻吻
vt. 啄食；扔
vi. 啄食；扔石头；吹毛求疵"
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
virtue,n. 美德；优点；贞操；功效
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
matrix,n.  矩阵；模型； 基质；母体；子宫； 脉石
versatile,adj. 多才多艺的；通用的，万能的；多面手的
deplete,vt. 耗尽，用尽；使衰竭，使空虚
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
marshland,n. 沼泽地，沼泽地区
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
landmass,n. 大陆
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
representation,n. 代表；表现；表示法；陈述
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
aspect,n. 方面；方向；形势；外貌
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
distinct,adj. 明显的；独特的；清楚的；有区别的
pollinate,vt. 对...授粉
speculate,"vi. 推测；投机；思索
vt. 推断"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
consistent,adj. 始终如一的，一致的；坚持的
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
retain,vt. 保持；雇；记住
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
accustom,vt. 使习惯于
recur,vi. 复发；重现；采用；再来；循环；递归
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
inhibit,vt. 抑制；禁止
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
watertight,adj. 水密的；不漏水的；无懈可击的
temperate,adj. 温和的；适度的；有节制的
identifiable,adj. 可辨认的；可认明的；可证明是同一的
hardy,"n. 强壮的人；耐寒植物；方柄凿
adj. 坚强的；勇敢的；能吃苦耐劳的；鲁莽的"
chunk,n. 大块；矮胖的人或物
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
verify,vt. 核实；查证
aromatic,"n. 芳香植物；芳香剂
adj. 芳香的，芬芳的；芳香族的"
vastly,adv. 极大地；广大地；深远地
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
trickle,"n. 滴，淌；细流
vt. 使…滴；使…淌；使…细细地流
vi. 滴；细细地流；慢慢地移动"
integration,n. 集成；综合
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
swirl,"n. 漩涡；打旋；涡状形
vi. 盘绕；打旋；眩晕；大口喝酒
vt. 使成漩涡"
rectangular,adj. 矩形的；成直角的
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
Mediterranean,"n. 地中海
adj. 地中海的"
distinctive,adj. 有特色的，与众不同的
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
extensive,adj. 广泛的；大量的；广阔的
feasible,adj. 可行的；可能的；可实行的
complement,"n. 补语；余角；补足物
vt. 补足，补助"
conductivity,n. 导电性； 传导性
steadily,adv. 稳定地；稳固地；有规则地
wavelength,n.  波长
odor,n. 气味；名声
privilege,"n. 特权；优待
vt. 给与…特权；特免"
glacier,n. 冰河，冰川
gut,"n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠
vt. 取出内脏；摧毁（建筑物等）的内部
adj. 简单的；本质的，根本的；本能的，直觉的"
negligible,adj. 微不足道的，可以忽略的
