emperor,n. 皇帝，君主
legal,adj. 法律的；合法的；法定的；依照法律的
cinematography,n. 电影艺术
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
imagination,n.  想象力；空想；幻想物
bronchitis,n.  支气管炎
exacerbate,vt. 使加剧；使恶化；激怒
intrusion,n. 侵入；闯入
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
cork,"n. 软木橡树皮；瓶塞；软木塞
vt. 用瓶塞塞住"
data,n. 数据（datum的复数）；资料
buffalo,n.  水牛； 野牛（产于北美）；水陆两用坦克
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
grocery,"n. 食品杂货店
食品杂货"
humid,adj. 潮湿的；湿润的；多湿气的
relation,n. 关系；叙述；故事；亲属关系
confuse,vt. 使混乱；使困惑
correspondence,n. 通信；一致；相当
allocation,n. 分配，配置；安置
entertainment,n. 娱乐；消遣；款待
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
decoration,n. 装饰，装潢；装饰品；奖章
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
larva,n.  幼体， 幼虫
semester,n. 学期；半年
offspring,n. 后代，子孙；产物
occasional,adj. 偶然的；临时的；特殊场合的
crater,"n. 火山口；弹坑
vt. 在…上形成坑；取消；毁坏
vi. 形成坑；消亡"
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
instruct,vt. 指导；通知；命令；教授
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
flexibility,n. 灵活性；弹性；适应性
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
loyalty,n. 忠诚；忠心；忠实；忠于…感情
conditioner,n. 调节器；调节剂；调料槽
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
controversy,n. 争论；论战；辩论
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
dwell,vi. 居住；存在于；细想某事
sensation,n. 感觉；轰动；感动
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
anxious,adj. 焦虑的；担忧的；渴望的；急切的
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
tropospheric,adj. 对流层的
attraction,n. 吸引，吸引力；引力；吸引人的事物
earthwork,n.  土方工程；土木工事
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
horrify,vt. 使恐惧；惊骇；使极度厌恶
introduction,n. 介绍；引进；采用；入门；传入
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
enquire,"vi. 询问；调查；问候（等于inquire）
vt. 询问；打听"
onwards,adv. 向前；在前面
memorandum,n. 备忘录；便笺
rectangular,adj. 矩形的；成直角的
kidney,n.  肾脏；腰子；个性
standpoint,n. 立场；观点
curative,"n. 药品；治疗法
adj. 有疗效的；治病的"
predominantly,adv. 主要地；显著地
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
asthma,n.  哮喘，气喘
signature,n. 署名；签名；信号
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
invaluable,adj. 无价的；非常贵重的
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
moderation,n. 适度；节制；温和；缓和
documentation,"n. 文件, 证明文件, 史实, 文件编制"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
vocational,adj. 职业的，行业的
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
coffer,"n. 围堰；保险箱；金库；资金
vt. 把…放进箱柜；用平顶镶板装饰"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
mercury,n. 水星
trinket,"n. 小装饰品；不值钱的小玩意儿
vi. 密谋"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
accessible,adj. 易接近的；可进入的；可理解的
turbine,n.  涡轮； 涡轮机
backbone,n. 支柱；主干网；决心，毅力；脊椎
attribute,"n. 属性；特质
vt. 归属；把…归于"
magnitude,n. 大小；量级； 震级；重要；光度
compatible,adj. 兼容的；能共处的；可并立的
entrepreneur,n. 企业家；承包人；主办者
proposal,n. 提议，建议；求婚
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
currency,n. 货币；通货
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
fact sheet,"n. （尤指英国广播或电视节目中有关讨论题目的）资料页
 情况说明书；资料单；情况报道"
audacious,adj. 无畏的；鲁莽的
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
tramp,"n. 流浪者；沉重的脚步声；徒步旅行
vi. 流浪；践踏，踩；脚步沉重地行走
vt. 践踏，踩；走过"
pest,n. 害虫；有害之物；讨厌的人
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
statement,n. 声明；陈述，叙述；报表，清单
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
advanced,"adj. 先进的；高级的；晚期的；年老的
v. 前进；增加；上涨（advance的过去式和过去分词形式）"
milestone,n. 里程碑，划时代的事件
crank,"n. 曲柄；奇想
adj. 易怒的
vt. 装曲柄"
lexicographer,n. 词典编纂者
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
phenomenon,n. 现象；奇迹；杰出的人才
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
presumably,adv. 大概；推测起来；可假定
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
bring out,"na. 公布；说出；出版；上演
 生产；阐明；说明"
arithmetic,n. 算术，算法
request,"n. 请求；需要
vt. 要求，请求"
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
treatment,n. 治疗，疗法；处理；对待
coarse,adj. 粗糙的；粗俗的；下等的
insecure,adj. 不安全的；不稳定的；不牢靠的
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
inspiration,n. 灵感；鼓舞；吸气；妙计
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
cultivate,vt. 培养；陶冶；耕作
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
outcome,n. 结果，结局；成果
aggravate,vt. 加重；使恶化；激怒
deception,n. 欺骗，欺诈；骗术
sharpen,"vt. 削尖；磨快；使敏捷；加重
vi. 尖锐；变锋利"
practical,adj. 实际的；实用性的
pliable,adj. 柔韧的；柔软的；圆滑的；易曲折的
disposal,n. 处理；支配；清理；安排
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
cautious,adj. 谨慎的；十分小心的
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
terrain,n.  地形，地势；领域；地带
darkroom,n. 暗房； 暗室
kneel,vi. 跪下，跪
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
contempt,n. 轻视，蔑视；耻辱
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
economic,adj. 经济的，经济上的；经济学的
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
virtue,n. 美德；优点；贞操；功效
fibre,n. 纤维；纤维制品
suburb,n. 郊区；边缘
pulverise,vt. 将…弄碎; 将…弄成粉末或尘埃; 摧毁; 粉碎
inductive reasoning,"na. 归纳推理
 归纳法；归纳法或称归纳推理；归纳法或归纳推理"
fertilise,vt. 使受精；施肥于；使肥沃
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
debt,n. 债务；借款；罪过
attractive,adj. 吸引人的；有魅力的；引人注目的
conquest,n. 征服，战胜；战利品
sophisticate,"n. 久经世故的人；精通者
vt. 弄复杂；使变得世故；曲解
vi. 诡辩"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
identifiable,adj. 可辨认的；可认明的；可证明是同一的
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
acquire,vt. 获得；取得；学到；捕获
bump into,"v. 偶然碰到；邂逅；遇见；(意外)撞到
 撞上；碰见；撞见"
graphology,n. 笔迹学；笔迹相法；图表法
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
extremely,adv. 非常，极其；极端地
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
ambulance,n.  救护车；战时流动医院
miserable,adj. 悲惨的；痛苦的；卑鄙的
continuous,adj. 连续的，持续的；继续的；连绵不断的
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
cloakroom,n. 衣帽间；寄物处；（英）盥洗室
short-term,adj. 短期的
refusal,n. 拒绝；优先取舍权；推却；取舍权
coupon,n. 息票；赠券；联票； 配给券
tome,n. 册；大本书
toxin,n. 毒素；毒质
simultaneously,adv. 同时地
ridiculous,adj. 可笑的；荒谬的
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
polish,找不到解释
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
scholarship,n. 奖学金；学识，学问
familiarise,vt. 使熟悉（等于familiarize）
expectancy,n. 期望，期待
shilling,n. 先令
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
interplay,"n. 相互影响，相互作用
vi. 相互影响，相互作用"
convenient,adj. 方便的；适当的；近便的；实用的
genuine,adj. 真实的，真正的；诚恳的
attentive,adj. 留意的，注意的
observation,n. 观察；监视；观察报告
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
vitality,n. 活力，生气；生命力，生动性
requirement,n. 要求；必要条件；必需品
advisable,adj. 明智的，可取的，适当的
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
deplete,vt. 耗尽，用尽；使衰竭，使空虚
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
tragic,adj. 悲剧的；悲痛的，不幸的
splint,"n. 夹板；薄木条；薄金属片
vt. 用夹板固定"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
occupation,n. 职业；占有；消遣；占有期
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
typhoon,n.  台风
appointment,n. 任命；约定；任命的职位
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
population,n. 人口； 种群， 群体；全体居民
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
prerequisite,"n. 先决条件
adj. 首要必备的"
assessment,n. 评定；估价
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
volt,n. 伏特（电压单位）；环骑；闪避
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
enlighten,vt. 启发，启蒙；教导，开导；照耀
textile,"n. 纺织品，织物
adj. 纺织的"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
topsoil,n. 表层土；上层土
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
surgeon,n. 外科医生
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
booklet,n. 小册子
layout,n. 布局；设计；安排；陈列
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
gland,"n. 腺
密封压盖"
curriculum,"n. 课程
总课程"
shortage,n. 缺乏，缺少；不足
accreditation,n. 委派；信赖；鉴定合格
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
emphasize,vt. 强调，着重
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
foresee,vt. 预见；预知
historic,adj. 有历史意义的；历史上著名的
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
president,n. 总统；董事长；校长；主席
internist,n.  内科医生
reception,n. 接待；接收；招待会；感受；反应
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
explorer,n. 探险家；勘探者；探测器；探针
untrustworthy,adj. 靠不住的；不能信赖的
prospective,"n. 预期；展望
adj. 未来的；预期的"
percentage,n. 百分比；百分率，百分数
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
stammer,"n. 口吃；结巴
vt. 口吃；结巴着说出
vi. 口吃；结结巴巴地说"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
fickle,adj. 浮躁的；易变的；变幻无常的
uphill,"n. 上升；登高
adj. 上坡的，向上的
adv. 向上地；往上坡"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
consecutive,adj. 连贯的；连续不断的
diversion,n. 转移；消遣；分散注意力
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
defence,n. 防御；防卫；答辩；防卫设备
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
emboss,vt. 使凸出；在……上作浮雕图案；装饰
internationalist,n. 国际主义者；国际法学家
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
appetite,n. 食欲；嗜好
prevail,vi. 盛行，流行；战胜，获胜
glossary,n. 术语（特殊用语）表；词汇表；专业词典
consolidation,n. 巩固；合并；团结
sulphuric acid,"n. 硫酸
 浓硫酸；求购硫酸；稀硫酸"
goodwill,n.  商誉；友好；好意
amass,vt. 积聚，积累
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
consideration,n. 考虑；原因；关心；报酬
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
mansion,n. 大厦；宅邸
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
route,"n. 路线；航线；通道
vt. 按某路线发送"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
participation,n. 参与；分享；参股
relief,n. 救济；减轻，解除；安慰；浮雕
cultivation,n. 培养；耕作；耕种；教化；文雅
pretension,n. 自负；要求；主张；借口；骄傲
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
bent,"n. 爱好，嗜好
adj. 弯曲的；决心的"
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
manual,"adj. 手工的；体力的
n. 手册，指南"
mite,n. 极小量；小虫；小孩儿；微小的东西
burglar,n. 夜贼，窃贼
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
addition,n. 添加； 加法；增加物
sensory,adj. 感觉的；知觉的；传递感觉的
grove,n. 小树林；果园
materialistic,adj. 唯物主义的；唯物论的；金钱至上的
detach,vt. 分离；派遣；使超然
torrent,n. 奔流；倾注；迸发；连续不断
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
thirsty,adj. 口渴的，口干的；渴望的，热望的
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
seam,"n. 缝；接缝
vt. 缝合；接合；使留下伤痕
vi. 裂开；产生裂缝"
agriculture,n. 农业；农耕；农业生产；农艺，农学
microcosm,n. 微观世界；小宇宙；作为宇宙缩影的人类；缩图（等于microcosmos）
surgery,n. 外科；外科手术；手术室；诊疗室
catastrophe,n. 大灾难；大祸；惨败
overwork,"vi. 工作过度
vt. 工作过度
n. 过度工作
过度工作的"
parental,adj. 父母亲的，父母的；亲代的，亲本的
sediment,n. 沉积；沉淀物
various,adj. 各种各样的；多方面的
resit,"n. 补考；重考
vi. 补考；重考
vt. （英）重考；补考"
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
establish,"vi. 植物定植
vt. 建立；创办；安置"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
flexitime,n. 弹性上班制（等于flextime）
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
mammal,n.  哺乳动物
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
ultimately,adv. 最后；根本；基本上
sinew,"n. 筋；肌腱；体力；精力
vt. 加强；使牢固"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
removal,n. 免职；移动；排除；搬迁
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
compel,vt. 强迫，迫使；强使发生
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
serial,"n. 电视连续剧； 期刊；连载小说
adj. 连续的；连载的；分期偿还的"
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
commitment,n. 承诺，保证；委托；承担义务；献身
donation,n. 捐款，捐赠物；捐赠
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
overdraft,"n.  透支； 透支额
vt.  透支"
optical,adj. 光学的；眼睛的，视觉的
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
possession,n. 拥有；财产；领地；自制；着迷
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
cultural,adj. 文化的；教养的
morality,n. 道德；品行，美德
transaction,n. 交易；事务；办理；会报，学报
twofold,"adj. 双重的；两倍的
adv. 双重地；两倍地"
solution,n. 解决方案；溶液；溶解；解答
embassy,n. 大使馆；大使馆全体人员
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
congress,n. 国会；代表大会；会议；社交
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
carousel,"n. 旋转木马
行李传送带"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
aspect,n. 方面；方向；形势；外貌
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
sincere,adj. 真诚的；诚挚的；真实的
summarise,vt. 总结，概述
vice versa,"adv. 反之亦然；反过来也一样
 小爸爸大儿子；反过来亦然；反过来的"
foetus,n. 胎儿
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
interrelationship,n. 相互关系
stationery,n. 文具；信纸
limestone,n.  石灰岩
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
wax,"n. 蜡；蜡状物
adj. 蜡制的；似蜡的
vt. 给…上蜡
vi. 月亮渐满；增大"
incapacitate,vt. 使无能力；使不能；使不适于
appear,vi. 出现；显得；似乎；出庭；登场
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
describe,vt. 描述，形容；描绘
chunk,n. 大块；矮胖的人或物
agency,n. 代理，中介；代理处，经销处
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
introduce,vt. 介绍；引进；提出；采用
advice,n. 建议；忠告；劝告；通知
attitude,n. 态度；看法；意见；姿势
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
