deviate,"vi. 脱离；越轨
vt. 使偏离"
license to do sth.,找不到解释
safeguard ... from sth.,找不到解释
safeguard ... against sth.,找不到解释
swap sth. with sb.,找不到解释
have an insight into,"v. 看透
 洞察；对……有深入的了解；对…具有洞察力"
throw caution to the wind, 将警惕抛在风中；也就是毫无警惕
cast caution to the wind,不顾风险
throw caution to the winds, 不顾一切；鲁莽；鲁莽行事
cast caution to the winds,"不顾一切,莽撞从事"
watch one's back, 小心提防；谨慎背后
watch for,"v. 期待；等待
 监视；注意；守候"
watch out for,"v. 期待；等待
 留意；密切注意；警惕"
open one's mind, 对…吐露心意; 讲心里话
constrain sb. from doing sth.,找不到解释
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
revenue,n. 税收，国家的收入；收益
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
pastime,n. 娱乐，消遣
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
greenhouse,"n. 温室
造成温室效应的"
mayor,n. 市长
prone,adj. 俯卧的；有…倾向的，易于…的
dedicate,vt. 致力；献身；题献
autonomy,n. 自治，自治权
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
livelihood,n. 生计，生活；营生
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
innovation,n. 创新，革新；新方法
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
automated,"adj. 自动化的；机械化的
v. 自动化（automate的过去分词）；自动操作"
upcoming,adj. 即将来临的
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
aristocrat,n. 贵族
aristocracy,n. 贵族；贵族统治；上层社会；贵族政治
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
addictive,adj. 使人上瘾的
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
toxic,adj. 有毒的；中毒的
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
diversion,n. 转移；消遣；分散注意力
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
apt,adj. 恰当的；有…倾向的；灵敏的
aptly,adv. 适宜地；适当地
monetary,adj. 货币的；财政的
optimum,"adj. 最适宜的
n. 最佳效果；最适宜条件"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
to name only a few,"na. (仅)举几个为例
 作插入语"
to name but a few,"adj. 略举数例
 就不一一列举了；简单地列举几个；还有很多"
sink one's teeth into sth.,找不到解释
slave away,"n. 奴隶；…的奴隶；奴隶一般工作的人；奴隶蚁
v. 做苦工
 如奴隶般的工作"
count down,"na. (9,8,7,… 0 地)倒数；(火箭发射时)倒数秒数
 倒计时；倒数计时；倒计数"
at hand,"na. 在手边；即将到来
 在附近；眼前；近在手边"
contend with sth.,找不到解释
hospitality,n. 好客；殷勤
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
entrust,vt. 委托，信托
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
speciality,n. 专业，专长；特性
handicraft,n. 手工艺；手工艺品
simplistic,adj. 过分简单化的；过分单纯化的
residential,adj. 住宅的；与居住有关的
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
utilize,vt. 利用
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
fellowship,n. 团体；友谊；奖学金；研究员职位
thereafter,adv. 其后；从那时以后
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
charitable,adj. 慈善事业的；慷慨的，仁慈的；宽恕的
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
melody,n. 旋律；歌曲；美妙的音乐
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
cobbler,n. 补鞋匠；工匠；冷饮料；脆皮水果馅饼
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
bullying,"n. 恃强欺弱的行为
v. 欺负（bully的现在分词）"
fury,n. 狂怒；暴怒；激怒者
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
undutiful,adj. 未尽职的，不顺从的，不孝的
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
rashly,adv. 轻率地；鲁莽地；无见识地
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
fabric,n. 织物；布；组织；构造；建筑物
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
infectious,adj. 传染的；传染性的；易传染的
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
invariably,adv. 总是；不变地；一定地
stitch up,"na. 缝拢
 缝合；缝补；缝纫"
live up to sth.,找不到解释
drop in,"(使)落进；(使)往里坍塌：
偶然(或顺便)走访(或访问)(on)；逐渐进入：
(有选择地)加入；愿意(或决心)参加：
放下(吊幕)，吊装布景："
give out,"na. 发表；放出；分发
 发出；用完；用尽"
play fair,"na. 规规矩矩比赛；光明正大的行动；光明正大地比赛
 玩游戏要公平；公平行事；公平竞争"
come away,"na. 脱掉
 离开；脱落；脱离"
be hard on sb.,找不到解释
endeavor to do sth.,找不到解释
take pride in,"na. 以…自豪；对…感到满意
 对…感到自豪；以……为自豪；骄傲"
pierce sb.'s heart,找不到解释
carry on sth.,找不到解释
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
meadow,n. 草地；牧场
standpoint,n. 立场；观点
gigantic,adj. 巨大的，庞大的
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
claw,"n. 爪；螯，钳；爪形器具
vi. 用爪抓（或挖）
vt. 用爪抓（或挖）"
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
innumerable,adj. 无数的，数不清的
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
casualty,n. 意外事故；伤亡人员；急诊室
landmine,n. 地雷（等于land mine）
ammunition,"n. 弹药；军火
vt. 装弹药于
vi. 装弹药"
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
flushed,"adj. 激动的；心情愉快的
v. 使激动；排水（flush的过去式和过去分词）；脸发红"
appalling,"adj. 可怕的；令人震惊的
v. 使惊愕；惊吓（appal的ing形式）"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
corpse,n. 尸体
pervasive,adj. 普遍的；到处渗透的；流行的
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
minimal,adj. 最低的；最小限度的
coverage,n. 覆盖，覆盖范围；新闻报道
furnace,n. 火炉，熔炉
robbery,n. 抢劫，盗窃；抢掠
brood,"n. 一窝；一伙
vt. 孵；沉思"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
stray,"n. 走失的家畜；流浪者
adj. 迷路的；离群的；偶遇的
vi. 流浪；迷路；偏离"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
edible,"n. 食品；食物
adj. 可食用的"
warehouse,n. 仓库；货栈；大商店
summon,vt. 召唤；召集；鼓起；振作
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
jealously,adv. 妒忌地；猜疑地
residue,n. 残渣；剩余；滤渣
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
nutrition,n. 营养，营养学；营养品
naive,"adj. 天真的,幼稚的"
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
radiate from, 自……发出；从……发出；相关词组
conceive of,"na. 想出(计划)
 设想；想象；构想"
in the direction of,"na. 向…方面
 向…方向；在…方向；朝……方向"
stay down, 留级；趴下；停留
press ... to ...,找不到解释
line ... with ...,找不到解释
dive into,"na. 探察(某人秘密)
 潜入；跳入；钻研"
fly at,"na. 扑向；责骂
 猛烈攻击；冲上去攻击某人；飞向"
next to nothing,"na. 差不多没有
 几乎没有；微乎其微；差不多等于零"
weave one's way around sth.,找不到解释
weave one's way through sth.,找不到解释
weave one's way to sth.,找不到解释
huddle together,"v. 靠在一起
 挤作一团；猪群挤在一起；凑成"
orphan,"adj. 孤儿的；无双亲的
n. 孤儿
vt. 使成孤儿"
essence,n. 本质，实质；精华；香精
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
cliff,n. 悬崖；绝壁
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
fragrance,n. 香味，芬芳
lieutenant,n. 中尉；副官；助理人员
battalion,n. 营，军营；军队，部队
dispatch,"n. 派遣；急件
vt. 派遣；分派"
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
timid,adj. 胆小的；羞怯的
timidly,adv. 羞怯地；胆小地
wording,"n.  措辞；用语；语法
v. 用词语表达；讲话（word的ing形式）"
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
briskly,adv. 迅速地；活泼地；尖刻地
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
peanut,n. 花生
cookie,n. 饼干；小甜点
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
henceforth,adv. 今后；自此以后
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
aloft,"prep. 在…之上；在…顶上
adj. 在空中的；在高处的；在上面的
adv. 在空中；在高处；在上面"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
inventory,n. 存货，存货清单；详细目录；财产清册
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
vicinity,n. 邻近，附近；近处
concise,adj. 简明的，简洁的
ascertain,vt. 确定；查明；探知
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
enclose,vt. 围绕；装入；放入封套
multitude,n. 群众；多数
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
dogged,"adj. 顽强的；顽固的
vt. 跟踪；尾随（dog的过去式）"
remnant,"n. 剩余
adj. 剩余的"
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
dwell,vi. 居住；存在于；细想某事
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
spring to life,"v. 苏醒过来；突然活跃起来
 青春焕发；突然启动；重新焕发生机"
spring into life, 勃然而起
in essence,"na. 本质上；大体上
 实质上；在本质上；本质上地"
come to life,"na. 苏醒过来
 复活；活跃起来；恢复生气"
load ... with ...,找不到解释
check sth. off,"na. 查讫；记上查讫记号
 核对；扣除；清点"
sprinkle ... with ...,找不到解释
out of sight,"adv. 无影无踪
 看不见；战略高手；在视野之外"
tear sth. apart,"v. 弄乱；撕破
 使心碎；扯开；撕开"
piece sth. together,"na. 拼合
 拼凑；拼凑在一起；综合"
leave off,"na. 戒除；不再穿；休假许可
 停止；中断；停下来"
plead with sb.,找不到解释
plead with sb. to do sth.,找不到解释
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
regulatory,adj. 管理的；控制的；调整的
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
oversight,n. 监督，照管；疏忽
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
shareholder,n. 股东；股票持有人
sizable,adj. 相当大的；大小相当的
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
layoff,n. 活动停止期间；临时解雇；操作停止；失业期
termination,n. 结束，终止
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
eviction,n. 逐出；赶出；收回
motel,n. 汽车旅馆
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
likelihood,n. 可能性，可能
bureau,n. 局，处；衣柜；办公桌
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
deteriorate,"vi. 恶化，变坏
vt. 恶化"
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
harassment,n. 骚扰；烦恼
certification,n. 证明，保证；检定
spectrum,n. 光谱；频谱；范围；余象
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
evict,vt. 驱逐；逐出
bureaucracy,n. 官僚主义；官僚机构；官僚政治
municipal,adj. 市政的，市的；地方自治的
council,n. 委员会；会议；理事会；地方议会；顾问班子
comply,vi. 遵守；顺从，遵从；答应
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
parasite,n. 寄生虫；食客
jelly,"n. 果冻；胶状物
vi. 成胶状
vt. 使结冻"
subsistence,n. 生活；生存；存在
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
brutal,adj. 残忍的；野蛮的，不讲理的
pack up,"na. 把…打成包；打包；捆好东西；解雇
 收拾；收拾行李；把…打包"
wind up,结束；使紧张；卷起；（非正式）忽悠某人（wind sb up）；上紧(钟、表等的)发条
put down,"na. 平定；贬低(的话)；(飞机的)降落
 放下；镇压；记下"
scrape sth. together,找不到解释
scrape sth. up,找不到解释
deteriorate into,发展成令人不快的形势
a roof over one's head, 住处；栖身之处
catch up with sb.,找不到解释
for good,"na. 永久地
 永远；一劳永逸地；永远地"
be in a position to do sth.,找不到解释
commodity,n. 商品，货物；日用品
estate,n. 房地产；财产；身份
real estate,"n. 房地产；不动产；房产
 房地产业；房地产专业；房地产学"
intrinsic,adj. 本质的，固有的
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
analogy,n. 类比；类推；类似
greed,n. 贪婪，贪心
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
tulip,n. 郁金香
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
avert,vt. 避免，防止；转移
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
cumulative,adj. 累积的
deregulation,n. 违反规定，反常；撤消管制规定
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
economical,adj. 经济的；节约的；合算的
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
crackdown,n. 镇压；（美）制裁；强制取缔；惩罚
dividend,n. 红利；股息； 被除数；奖金
mentality,n. 心态； 智力；精神力；头脑作用
broker,"n. 经纪人，掮客
vt. 以中间人等身分安排...
vi. 作为权力经纪人进行谈判"
mercury,n. 水星
thermometer,n. 温度计；体温计
forthcoming,"n. 来临
adj. 即将来临的"
deterioration,n. 恶化；退化；堕落
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
entrepreneur,n. 企业家；承包人；主办者
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
envisage,vt. 正视，面对；想像
billboard,"n. 广告牌；布告板
vt. 宣传；介绍"
ambiguous,adj. 模糊不清的；引起歧义的
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
arena,n. 舞台；竞技场
fad,n. 时尚；一时的爱好；一时流行的狂热
any number of sth.,找不到解释
let in,"na. 放入；嵌入；陷入…；欺骗
 放…进来；让…进来；放进"
miss out,"na. 错过(机会等)；遗漏
 漏掉；错过机会；错失"
miss out on,得不到期望中的东西，没得到期望中的东西，错过机会；不能掌握
set in,"na. 固定；停当；涨潮；进来
 开始；来临；插入"
in aggregate, 总的来说；总计；合计
in the aggregate,"na. 总计
 总共；作为总体计算；合计"
sell off,"na. (打折扣)销完；卖清(存货)
 廉价出清；廉价出售；廉价卖清"
be limited to sth.,找不到解释
buy up,"na. 囤积；整批收购；购进(其他公司)
 尽可能买进；全部买进；全部买下"
see for yourself, 亲眼看；亲眼看看；亲自看看
strike it rich,"na. 发现矿产；发横财
 走运；一夜暴富；暴富"
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
opinionated,adj. 固执己见的；武断的
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
obese,adj. 肥胖的，过胖的
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
humane,adj. 仁慈的，人道的；高尚的
ideological,adj. 思想的；意识形态的
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
presumption,n. 放肆，傲慢；推测
milestone,n. 里程碑，划时代的事件
hesitant,adj. 迟疑的；踌躇的；犹豫不定的
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
irrespective,adj. 无关的；不考虑的；不顾的
disposal,n. 处理；支配；清理；安排
hardy,"n. 强壮的人；耐寒植物；方柄凿
adj. 坚强的；勇敢的；能吃苦耐劳的；鲁莽的"
Confucian,"n. 儒家，儒家学者；孔子的门徒
adj. 孔子的，儒家的；儒家学说的"
doctrine,n. 主义；学说；教义；信条
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
offspring,n. 后代，子孙；产物
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
curfew,n. 宵禁；宵禁令；晚钟；打晚钟时刻
defiance,n. 蔑视；挑战；反抗
indignation,n. 愤慨；愤怒；义愤
obedience,n. 顺从；服从；遵守
extinguish,vt. 熄灭；压制；偿清
submission,n. 投降；提交（物）；服从；（向法官提出的）意见；谦恭
propaganda,n. 宣传；传道总会
portrait,n. 肖像；描写；半身雕塑像
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
heritage,n. 遗产；传统；继承物；继承权
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
methodology,n. 方法学，方法论
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
armor,"n.  装甲；盔甲
vt. 为…装甲"
confer,"vt. 授予；给予
vi. 协商"
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
pudding,n. 布丁
gorge on sth.,找不到解释
gorge oneself on sth.,找不到解释
lose weight,"un. 体重减轻
 减肥；减轻体重；减重"
tiptoe around sth.,找不到解释
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
get away with sth.,找不到解释
at one's disposal,"na. 随某人自由
 由某人随意支配；由某人支配；由某人做主"
force sth. on sb.,找不到解释
force sth. upon sb.,找不到解释
provide for sb.,找不到解释
provide for sth.,找不到解释
have authority over, 有权；辖管；管理
don't get me wrong, 不要误会我；误解；你搞错了
for one's part,"na. 至于某人
 对某人来说；讲到某人；就个人来说"
have a high opinion of ...,找不到解释
have a low opinion of ...,找不到解释
have a good opinion of ...,找不到解释
have a bad opinion of ...,找不到解释
the proof is in the pudding, 布丁中；事实就摆在眼前
column,n. 纵队，列；专栏；圆柱，柱形物
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
arrogance,n. 自大；傲慢态度
ascribe,vt. 归因于；归咎于
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
contention,n. 争论，争辩；争夺；论点
liar,n. 说谎的人
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
contempt,n. 轻视，蔑视；耻辱
sociology,n. 社会学；群体生态学
biochemistry,"n. 生物化学
生物化学过程"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
reproach,"n. 责备；耻辱
vt. 责备；申斥"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
admittedly,adv. 公认地；无可否认地；明白地
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
vow,"n. 发誓；誓言；许愿
vi. 发誓；郑重宣告
vt. 发誓；郑重宣告"
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
unanimous,adj. 全体一致的；意见一致的；无异议的
scrutiny,n. 详细审查；监视；细看；选票复查
dyslexia,n. 难语症； 诵读困难；阅读障碍
dyslexic,"n. 诵读困难者
adj. 诵读困难的"
psychiatrist,n. 精神病学家，精神病医生
tub,"n. 浴盆；桶
vt. 把…装入桶；为…洗盆浴
vi. 洗盆浴；（衣服等）被放在桶里洗"
bathtub,n. 浴缸
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
subdivide,"vt. 把……再分，把……细分
vi. 细分，再分"
rehearse,"vt. 排练；预演
vi. 排练；演习"
