considerable,adj. 相当大的；重要的，值得考虑的
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
to some degree,"adv. 多多少少
 在某种程度上；那就是在一定程度上；达到一定的程度"
utterly,adv. 完全地；绝对地；全然地；彻底地，十足地
absolutely,adv. 绝对地；完全地
vehemence,n. 激烈；热烈
vehement,adj. 激烈的，猛烈的；热烈的
deform,"adj. 畸形的；丑陋的
vi. 变形；变畸形
vt. 使变形；使成畸形"
deformation,n. 变形
deformed,"adj. 畸形的；丑陋的；残废的
v. 使...残缺，使...变形（deform的过去式和过去分词形式）"
fickle,adj. 浮躁的；易变的；变幻无常的
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
temporal,"n. 世间万物；暂存的事物
adj. 暂时的；当时的；现世的"
inventor,n. 发明家； 发明人；创造者
sundial,n. 日晷，日规；羽扇豆（产于美国东部）
length,n. 长度，长；时间的长短；（语）音长
direction,n. 方向；指导；趋势；用法说明
decimalism,n. 十进制，十进法
decimal,"n. 小数
adj. 小数的；十进位的"
gunpowder,n. 火药；有烟火药
hieroglyphic,"n. 象形文字；象形文字写的文章
adj. 象形文字的；难解的"
paper-making,n. 造纸，造纸术；纸的生产
printing,n. 印刷；印刷术
seismograph,n. 地震仪
waterwheel,n. 水车；水轮；吊水机
antiquarian,"n. 古文物研究者； 古文物收藏家
adj. 古文物研究的；古文物的"
Bronze Age,"na. 青铜器时代；(人类的)青铜时代
 青铜票代；青铜世；青铜文明年代"
Iron Age,"na. 黑铁时代；(人类的)颓废时期；黑铁时代；末世
 铁器时代；钢铁时代；铁器世"
material culture, 物质文化；物质文化研究；物质文明
abiding,"v. 遵守；容忍；继续存在（abide的现在分词）
adj. 持久的，永久的；不变的"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
chronic,adj. 慢性的；长期的；习惯性的
concur,vi. 同意；一致；互助
concurrent,"n.  共点；同时发生的事件
adj. 并发的；一致的；同时发生的"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
cursory,adj. 粗略的；草率的；匆忙的
dated,"v. 注有日期（date的过去式和过去分词）
adj. 陈旧的；过时的；有日期的"
duration,"n. 持续，持续的时间，期间
音长，音延"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
eternal,adj. 永恒的；不朽的
everlasting,adj. 永恒的；接连不断的
extant,adj. 现存的；显著的
extemporaneous,adj. 即席的，临时的；无准备的；不用讲稿的；善于即席讲话的
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
formerly,adv. 以前；原来
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
immediate,adj. 立即的；直接的；最接近的
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
impromptu,"n. 即兴曲；即席演出
adj. 即席的
adv. 即席地"
improvise,"vt. 即兴创作；即兴表演；临时做；临时提供
vi. 即兴创作；即兴表演；临时凑合"
instantaneous,adj. 瞬间的；即时的；猝发的
interlude,"n. 插曲；穿插；幕间节目； 插算
vt. 使中断
vi. 插入"
juncture,n. 接缝；连接；接合
lasting,"adj. 持久的；永恒的
n.  厚实斜纹织物
v. 持续；维持（last的ing形式）"
lately,adv. 近来，不久前
nocturnal,adj. 夜的；夜曲的；夜间发生的
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
overdue,adj. 过期的；迟到的；未兑的
perennial,"n. 多年生植物
adj. 多年生的；常年的；四季不断的；常在的；反复的"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
pressing,"n. 压；冲压件
v. 压；按；熨烫衣物（press的ing形式）
adj. 紧迫的；迫切的；恳切的"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
previously,adv. 以前；预先；仓促地
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
simultaneously,adv. 同时地
synchronise,"vt. 使同步；使同时发生（等于synchronize）
vi. 同步；同时发生"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
transitory,adj. 短暂的，暂时的；瞬息的
urgent,adj. 紧急的；急迫的
analysis,n. 分析；分解；验定
analyst,n. 分析者；精神分析医师；分解者
analyse,vt. 分析；分解；细察
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
germinate,"vt. 使发芽；使生长
vi. 发芽；生长"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
affecting,"v. 影响（affect的ing形式）；感动
adj. 动人的；感人的"
impressively,adv. 令人难忘地；感人地
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
cross-breed,杂种
fructification,n. 结果实，结实器官，果实
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
fruition,n. 完成，成就；结果实
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
immature,adj. 不成熟的；未成熟的；粗糙的
kernel,n. 核心，要点； 内核；仁；麦粒，谷粒；精髓
life cycle,"n. 生命周期；寿命（产品等从开发到使用完毕的一段时间）
 生活史；寿命周期；生活周期"
luxuriant,adj. 繁茂的；丰富的；奢华的；肥沃的
photosynthesis,n. 光合作用
photosynthetic,adj.  光合的；光合作用的
pistil,n.  雌蕊
pollen,"n.  花粉
vt. 传授花粉给"
pollinate,vt. 对...授粉
respiration,n. 呼吸；呼吸作用
respiratory,adj. 呼吸的
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
sprout,"n. 芽；萌芽；苗芽
vt. 使发芽；使萌芽
vi. 发芽；长芽"
stamen,n.  雄蕊
starch,"n. 淀粉；刻板，生硬
vt. 给…上浆"
tassel,"n. 流苏；缨；穗
vt. 用流苏装饰；摘下…穗
vi. 抽穗；长出穗状雄花"
transplantation,n. 移植；迁移；移民
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
arboreal,adj. 树木的；栖息在树上的
deciduous,adj. 落叶性的，脱落性的；非永久性的
foliage,n. 植物；叶子（总称）
hawthorn,n. 山楂；山楂树
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
leaflet,n. 小叶；传单
leafstalk,n. 叶柄
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
timber,n. 木材；木料
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
daffodil,"n. 水仙花
adj. 水仙花色的"
flora,n. 植物区系；植物群
floral,adj. 花的；植物的，植物群的；花似的
horticulture,n. 园艺，园艺学
jasmine,n. 茉莉；淡黄色
orchid,"n. 兰花； 兰科植物；淡紫色
adj. 淡紫色的"
ovary,n.  子房； 卵巢
petal,n. 花瓣
sunflower,n. 向日葵
tulip,n. 郁金香
fern,n.  蕨； 蕨类植物
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
shrub,n. 灌木；灌木丛
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
scrub,"n. 矮树；洗擦；擦洗者；矮小的人（或物）
vt. 用力擦洗；使净化
vi. 擦洗；进行手臂消毒
adj. 矮小的；临时凑合的；次等的"
botany,n. 植物学；地区植物总称
botanical,"n. 植物性药材
adj. 植物学的"
botanist,n. 植物学家
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
vegetative,adj. 植物的；植物人状态的，无所作为的；促使植物生长的；有生长力的
vegetal,"n. 植物；蔬菜
adj. 植物的，植物性的；生长的"
vegetarian,"n. 素食者；食草动物
adj. 素食的"
vegetarianism,n. 素食主义
vegetation,n. 植被；植物，草木；呆板单调的生活
Inuit,找不到解释
actually,adv. 实际上；事实上
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
curtail,vt. 缩减；剪短；剥夺…特权等
climate,n. 气候；风气；思潮；风土
certainly,adv. 当然；行（用于回答）；必定
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
anthropogenic,adj. 人为的； 人类起源的
biomass energy,"un. 生物质能
 生质能源；生物能源；生物质能源"
climate change,"n. 气候变化
 气候变迁；气候改变；气候变暖"
greenhouse,"n. 温室
造成温室效应的"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
off-gas,  废气，尾气，出口气
off-gas line,找不到解释
precipitation change,找不到解释
species extinction, 物种灭绝；物种灭迹；物种灭絶
littoral climate,海滨气候
monsoon climate,"un. 季风气候
 季节风气候；季候风气候；季风气候以干旱的冬"
plateau climate,高原气候
polar climate,极地气候
sub-tropical climate,找不到解释
temperate climate,"un. 温带气候
 温和的气候；温和气候；气候温和"
tropical climate,"un. 热带气候
 热带性气候；热带气候区；雨林气候"
tropical marine climate,找不到解释
activity,n. 活动；行动；活跃
austere,adj. 严峻的；简朴的；苦行的；无装饰的
biological clock,"n. 生物钟；生理钟
 生物时钟；生理时钟；生物钟现象"
chaotic lifestyle,找不到解释
deep breath,"un. 深呼吸；深层环流
 做深呼吸；深深的呼吸；记得深呼吸"
detoxify,vt. 使解毒；给…解毒
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
dietary,"n. 规定的食物；饮食的规定；食谱
adj. 饮食的，饭食的，规定食物的"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
do exercise, 锻炼；做运动；做练习
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
fitness,n. 健康；适当；适合性
health,n. 健康；卫生；保健；兴旺
healthful,adj. 健康的；有益健康的；卫生的
healthy lifestyle, 健康的生活方式；健康生活；健康生活方式
hibernation,n. 冬眠；过冬；避寒
keep fit,"na. 保持健康
 保持身体健康；健身；保持身材"
keep in good health, 保持健康；养生；保持身体健康
keep warm, 保暖；保温；保持温暖
lifestyle,"n. 生活方式
保健的"
living habit,"un. 生活方式
 生活习惯；生活习性"
massage,"vt. 按摩；揉
n. 按摩；揉"
meditation,n. 冥想；沉思，深思
nourishing,"adj. 有营养的；滋养多的
v. 滋养；养育（nourish的ing形式）"
peace,n. 和平；平静；和睦；秩序
perspire,"vt. 使流汗；分泌出
vi. 流汗；分泌；渗出"
reasonable rest,找不到解释
sit still, 静坐；坐着别动；请坐好
sleep,"n. 睡眠
vi. 睡，睡觉"
tonic,"n. 补药；主调音或基音
adj. 滋补的；声调的；使精神振作的"
tranquil,adj. 安静的，平静的；安宁的；稳定的
unhurried,adj. 从容不迫的；不慌忙的；不急的
wellbeing,n. 幸福；福利；安乐
barometer,n.  气压计；晴雨表；显示变化的事物
blizzard,"n. 暴风雪，大风雪；大打击
vi. 下暴风雪"
convection zone,"un. 对流段
 对流层；对流区；对流带"
droplet,n. 小滴，微滴
drought,n. 干旱；缺乏
funnel,"n. 漏斗；烟囱
vt. 通过漏斗或烟囱等；使成漏斗形
vi. 通过漏斗等；成漏斗形"
gale,n.  大风，狂风；（突发的）一阵
hurricane,n. 飓风，暴风
meteorology,n. 气象状态，气象学
ozone layer,"n. 臭氧层
 臭气层；臭氧层破坏；因臭氧层"
tempest,"n. 暴风雨；骚动；动乱
vt. 使狂怒；扰乱，使激动
vi. 小题大作；起大风暴"
tornado,n.  龙卷风；旋风；暴风；大雷雨
troposphere,n.  对流层
typhoon,n.  台风
whirlwind,"n. 旋风；旋风般的快速行动
adj. 旋风般的"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
decipher,"n. 密电译文
vt. 解释（过去式deciphered，过去分词deciphered，现在分词deciphering，第三人称单数deciphers，名词decipherer，形容词decipherable）；译解"
rewarding,adj. 有益的，值得的；有报酬的，报答的
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
recognition,n. 识别；承认，认出；重视；赞誉；公认
complacent,adj. 自满的；得意的；满足的
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
contented,"v. 使…满足；使…安心（content的过去式和过去分词）
adj. 满足的；心安的"
fulfilled,"v. 实现（fulfill的过去分词）；履行；满足
adj. 满足的；十分愉快的"
fulfil,vt. 履行；完成；实践；满足
fulfilment,n. 实现；成就
gratify,vt. 使满足；使满意，使高兴
gratification,n. 满意；喜悦；使人满意之事
relieved,"v. 减轻；解除（relieve的过去分词）
adj. 放心的"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
relief,n. 救济；减轻，解除；安慰；浮雕
satiate,"adj. 饱足的；厌腻的
vt. 充分满足；使厌腻"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
satisfactory,adj. 满意的；符合要求的；赎罪的
unsatisfactory,adj. 不令人满意的；不满足的；不符合要求的
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
dissatisfied,"v. 使不满（dissatisfy的过去式和过去分词）
adj. 不满意的；不高兴的；流露不满的"
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
adversity,n. 逆境；不幸；灾难；灾祸
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
arduous,adj. 努力的；费力的；险峻的
complicated,adj. 难懂的，复杂的
confront,vt. 面对；遭遇；比较
deadlock,"n. 僵局，停顿
vt. 停顿；相持不下
vi. 死锁；停顿"
despairing,"adj. 感到绝望的；表现绝望的；无望的
v. 绝望；失望（despair的ing形式）"
dilemma,n. 困境；进退两难；两刀论法
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
elude,vt. 逃避，躲避
embarrass,vt. 使局促不安；使困窘；阻碍
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
embarrassing,adj. 使人尴尬的；令人为难的
embarrassingly,adv. 使人尴尬地；令人难堪地
embarrassment,n. 窘迫，难堪；使人为难的人或事物；拮据
flounder,"n. 挣扎，辗转；比目鱼
vi. 挣扎，折腾；错乱地做事或说话"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
handicapped,"n. 残疾人；缺陷者
adj. 残废的；有生理缺陷的"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
hassle,"n. 困难，麻烦；激战
vt. 找麻烦，搅扰；与…争辩；使…烦恼
vi. 争论，争辩"
hiccup,"n. 打嗝
vi. 打嗝
vt. 呃逆着（或间断地）说出"
intricate,adj. 复杂的；错综的，缠结的
involved,"v. 涉及；使参与；包含（involve的过去式和过去分词）
adj. 有关的；卷入的；复杂的"
knotty,adj. 棘手的，难解决的； 多节的；有结的
laborious,adj. 勤劳的；艰苦的；费劲的
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
opaquely,adv. 无光泽地；不透明地
opaqueness,n. 不透明性
painstaking,"adj. 艰苦的；勤勉的；小心的
n. 辛苦；勤勉"
plight,"n. 困境；境况；誓约
vt. 保证；约定"
precipitous,adj. 险峻的；急躁的，鲁莽的
predicament,n. 窘况，困境；状态
quandary,n. 困惑；窘境；为难
rigorous,adj. 严格的，严厉的；严密的；严酷的
rigorously,adv. 严厉地；残酷地
stranded,"v. 搁浅（strand的过去式和过去分词）
adj. 搁浅的；陷于困境的；有…股的（常用来构成复合词）"
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅"
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
stringent,adj. 严格的；严厉的；紧缩的；短缺的
troublesome,adj. 麻烦的；讨厌的；使人苦恼的
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
appear,vi. 出现；显得；似乎；出庭；登场
comparatively,adv. 比较地；相当地
trivial,adj. 不重要的，琐碎的；琐细的
trifling,"adj. 微不足道的；轻浮的
v. 浪费，闲聊（trifle的现在分词）"
petty,adj. 琐碎的；小气的；小规模的
important,adj. 重要的，重大的；有地位的；有权力的
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
supplier,n. 供应厂商，供应国；供应者
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
customer,n. 顾客；家伙
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
bidding,n. 投标；出价；命令
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
commerce,n. 贸易；商业；商务
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
consolidation,n. 巩固；合并；团结
contractor,n. 承包人；立契约者
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
earnings,n. 收入
salary,"n. 薪水
vt. 给...加薪；给...薪水"
haggle,"n. 讨价还价；争论
vi. 争论；乱劈
vt. 乱劈；乱砍"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
adhesive,"n. 粘合剂；胶黏剂
adj. 粘着的；带粘性的"
attendance machine, 考勤机；考勤卡钟；机械考勤机
blotter,n. 记事簿， 流水帐；吸墨纸
bookend,n. 书挡，书夹；压书具
book stand,"书立,书架"
briefcase,n. 公文包
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
cellophane tape,胶带
clasp envelope,找不到解释
copier,n. 复印机（等于copying machine）；抄写员；模仿者
correction fluid,"n. 涂改液；修正液
 改正液；立可白；修正系列"
correction pen,找不到解释
correction tape, 修正带；改错带；立可带
cutter,n. 刀具，切割机；切割者；裁剪者
desk calendar, 台历；台历芯；桌历
expanding file, 风琴包；文件袋；文件夹
fastener,n. 扣件；钮扣；按钮；使系牢之物
fax,找不到解释
floppy disk,"n. 软盘；软磁盘
 软驱；软碟；软磁碟"
holder,n. 持有人；所有人；固定器；（台、架等）支持物
inkpad,n. 打印台，印泥
intercom,n. 对讲机；内部通话装置
locker,n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜
mouse pad,"n. 触控板；鼠标垫
 滑鼠垫；老鼠垫；求购鼠标垫"
office equipment,"un. 办公室设备
 办公设备；办公用品；办公室用品"
office supply, 办公用品专业店；办公用品供应；办工室文仪用品
office table, 办公桌；办公台；供应办公台
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
pin,"n. 大头针，别针，针；栓；琐碎物
vt. 钉住；压住；将……用针别住"
printer,n.  打印机；印刷工；印花工
printing ink,"na. 油墨
 印刷油墨；印刷墨；印墨"
projector,n.  投影仪；放映机；探照灯；设计者
scanner,n.  扫描仪；扫描器；光电子扫描装置
stapler,n.  订书机；主要商品批发商；把羊毛分级的人
stationery,n. 文具；信纸
voice recorder,"un. 话音记录器
 录音机；录音笔；录音器"
access to, 接近；进入；通向…的入口
adequate preparation, 充分准备；充分的准备；充足准备
be acquainted with,"na. 了解；与…相识
 熟悉；开始认识；开始了解"
business cycle,"n. 商业周期；经济周期
 景气循环；商业循环；景气周期"
business letter,"un. 商业书信
 商务信函；商业信函；商业信件"
enclose,vt. 围绕；装入；放入封套
essential factor,"un. 要素
 要因；构成要素；真谛"
financial gain,"un. 经济获益
 钱财增加；财务收益；经济收入"
win-win situation, 双赢局面；双赢的局面；双赢情境
tin,"n. 锡；罐头，罐；马口铁
adj. 锡制的
vt. 涂锡于；给…包马口铁"
surface,"n. 表面；表层；外观
adj. 表面的，肤浅的
vt. 使浮出水面；使成平面
vi. 浮出水面"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
horizontally,adv. 水平地；地平地
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
blowdown,n. 排污；放气；排料
brim,"n. 边；边缘
vi. 满溢；溢出
vt. 使…满溢"
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
convolute,"n. 盘旋面
adj. 回旋状的；旋绕的
v. 回旋；盘旋；卷绕"
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
distend,"vt. 使…膨胀；使…扩张
vi. 扩张；膨胀"
flow model,"un. 水流模型；流动模型；气流模型
 怜模型；流动布局模型；流场模型"
flow sheet,"n. 作业图
 流程图；流程表；工艺图"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
intertwine,"vt. 缠绕；纠缠
vi. 纠缠；编结"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
malleable,adj. 可锻的；可塑的；有延展性的；易适应的
meshed,找不到解释
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
on stream,"adv. 在生产中(的)
 投入生产；进行生产；开工"
on-stream inspection, 运转中检查；不停车检查；在线检验
procedural model, 程序模型；过程模型；程序性模式
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
sectional,"n. 组合式家俱
adj. 部分的，节的；可组合的"
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
wastage,n. 损耗；消瘦；衰老
wrought,"adj. 锻造的；加工的；精细的
v. 工作（work的过去分词）；wreak的过去分词"
maintain,vt. 维持；继续；维修；主张；供养
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
reservation,n. 预约，预订；保留
retain,vt. 保持；雇；记住
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
radiation,n. 辐射；发光；放射物
scorching,"adj. 灼热的；激烈的；讽刺的；过早硫化的
v. 把…烧焦；严厉批评；切割；过早硫化（scorch的ing形式）"
sticky,adj. 粘的；粘性的
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
tropical,adj. 热带的；热情的；酷热的
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
improvement,n. 改进，改善；提高
telecommunication,n. 电讯； 远程通信；无线电通讯
lead to,"na. 通向
 导致；引起；通往"
dispersal,n. 分散；传播；散布；疏散；消失
no longer,"na. 不再
 已不；再也；再也不"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
addressee,n. 收件人，收信人； 被访地址
click rate,"n. 点击率
 喀呖声率；点阅率；点击量"
cursor,n. 光标；（计算尺的） 游标，指针
cyberspace,n. 网络空间；赛博空间
email,"n. 电子信函
vt. 给…发电子邮件"
Facebook,找不到解释
friend circle,找不到解释
internet media, 网络媒体；互联网媒体；因特网媒体
live broadcast,"n. 直播
 现场直播；实况转播；现场广播"
mass communication,"na. 大众传播
 大众传媒；大众传播学；大众传播工具"
mass media,"n. 大众传媒
 大众媒体；大众传播媒介；大众传播媒体"
net friend, 网友；网友交流；网络朋友
network communication, 网络通讯；网络通信；网路通讯
network,n. 网络；广播网；网状物
one-to-many model,找不到解释
social media site,找不到解释
twitter,"n. 微博客，鸟叫声
vt. 吱吱叫；嘁嘁喳喳地讲"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
website,n. 网站（全球资讯网的主机站）
WeChat, 微信；微讯；腾讯微信
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地"
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
answering,"n.  应答；回应
v. 回答；回击；起反应（answer的ing形式）
adj. 应答的；回应的"
area code,"n. 区号
 电话区号；区域号码；地区代码"
broadcast media,电波媒介(指收音机、电视机等，与印刷媒体相应)
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
broadcasting,"n. 播放；广播节目
v. 广播（broadcast的ing形式）"
burgeoning,"adj. 增长迅速的；生机勃勃的
v. 成长（burgeon的ing形式）；迅速发展"
cellphone,n. 蜂窝式便携无线电话；大哥大
deliver information,找不到解释
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
digital media, 数字媒体；数位媒体；数码媒体
direct dialing,"un. 直接拨号
 直拨"
earphone,n. 耳机；听筒
extension,n. 延长；延期；扩大；伸展；电话分机
fixed-line,"un. 固定系统
 固网；固定线路；固定电话"
frequency adjustment,频率调节
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
handset,n. 手机，电话听筒
icon,n. 图标；偶像；肖像，画像；圣像
inbox,"n. 收件箱
收文篮"
indoor aerial,室内天线
infectivity,n. 传染性，易传染; 感染性
International Direct Dialing,找不到解释
leave a message,"na. 留话
 留言；留口信；留个口信"
long distance call, 长途电话；打长途电话；长途通话
long wave,"n. 长波
 超长波；长浪；久远波动"
loudspeaker,n. 喇叭，扬声器；扩音器
make a call,"na. 到
 打电话；访问；打个电话"
medium wave,"n. 中波（波长 100 到 1 000 米）
 中波周率；中速扫描；一般中波广播"
megahertz,n. 兆赫
microblog,n. 微博
mobile phone,"n. 手机；移动电话
 手机号码；行动电话；手提电话"
operator,n. 经营者；操作员；话务员；行家
passcode, 密码
