abase,vt. 使…谦卑；降低…的品格；降低…的地位
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
cardiologist,n. 心脏病学家；心脏病科医师
careen,"n. 船的倾侧
vt. 使倾侧，使倾斜
vi. 倾侧，倾斜"
caricature,"n. 漫画；讽刺画；漫画手法
vt. 画成漫画讽刺"
carnage,n. 大屠杀；残杀；大量绝灭
carnal,adj. 肉体的；肉欲的；淫荡的；性欲的
carnivorous,adj. 食肉的；肉食性的
carping,adj. 挑毛病的；吹毛求疵的（副词carpingly）
cartographer,n. 制图师；地图制作者
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
castigate,vt. 严惩；苛评；矫正；修订
casualty,n. 意外事故；伤亡人员；急诊室
cataclysm,n. 灾难；大洪水，地震；（社会政治的）大变动
catalyst,n.  催化剂；刺激因素
catapult,"n. 弹弓；石弩；飞机弹射器；（飞机上的）座椅弹射器
vt. 用弹弓射；用弹射器发射；猛投
vi. 用弹射器弹射；快速移动"
catastrophe,n. 大灾难；大祸；惨败
catcall,"n. 嘘声；不满之声；喝倒采
vt. 发嘘声
vi. 发嘘声；发尖叫声"
catechism,n. 问答教学法；教义问答书
categorical,adj. 绝对的（名词categoricalness，副词categorically，异体字categoric）；直截了当的；无条件的；属于某一范畴的
cater to,"v. 迎合
 投合；满足某种需要或要求；满足……的需要"
catharsis,n.  泻法，导泻；净化；精神发泄
catholic,"n. 天主教徒；罗马天主教
adj. 天主教的；宽宏大量的"
caucus,"n. 干部会议；核心会议；党团会议
vi. 召开干部会议；开核心会议"
caulk,vt. 填隙使不渗水；捻缝；凿密
causal,"n. 表示原因的连词
adj. 因果关系的；有原因的"
caustic,"n.  腐蚀剂；苛性钠；焦散曲线
adj.  腐蚀性的； 苛性的；刻薄的；焦散的"
cavalcade,n. 行列，队伍；骑兵队
cavalier,"n. 骑士；武士；对女人献殷勤
adj. 傲慢的；漫不经心的；无忧无虑的"
cavil,"n. 吹毛求疵；苛责；无端的指责
vt. 吹毛求疵；无端指摘
vi. 吹毛求疵；挑剔"
cede,vt. 放弃；割让（领土）
celebrated,"v. 庆祝（celebrate的过去式和过去分词）
adj. 著名的；有名望的"
celerity,n. 快速；敏捷
celestial,"n. 神仙，天堂里的居民
adj. 天上的，天空的"
celibate,"adj. 独身的；禁欲的
n. 独身者"
censor,"n. 检查员； 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
censorious,adj. 挑剔的；受批判的（名词censoriousness，副词censoriously）
censure,"n. 责难
vt. 责难，责备
vi. 谴责，责备"
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
centrifugal,"n. 离心机；转筒
adj.  离心的；远中的"
centripetal,adj. 向心的；利用向心力的
centurion,n. 百夫长；百人队队长
cerebral,adj. 大脑的，脑的
cerebration,n. 思考；精神活动；脑髓作用
ceremonious,adj. 隆重的；讲究仪式的；正式的
certitude,n. 确信；确实
cessation,n. 停止；中止；中断
cession,n. （权利的）转让，出让；（领土的）割让
chafe,"n. 擦伤；气恼
vt. 擦破；擦热；擦痛；激怒
vi. 擦伤；磨擦；激怒"
chaff,"n. 糠；谷壳；无价值的东西
vi. 开玩笑；打趣
vt. 开玩笑；逗趣"
chaffing,"adj. 玩笑的；嘲弄的
v. 开玩笑（chaff的ing形式）"
chagrin,"n. 懊恼；委屈；气愤
vt. 使…懊恼"
chalice,n. 杯；圣餐杯；酒杯
chameleon,n. 变色龙；善变的人；轻浮的人
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
charisma,n. 魅力；神授的能力；非凡的领导力
charlatan,"n. 吹牛者；江湖医生
adj. 骗人的"
chary,adj. 谨慎的；仔细的；吝啬的；怕羞的
chasm,n. 峡谷；裂口；分歧；深坑
chassis,n. 底盘，底架
chaste,adj. 纯洁的；贞洁的；有道德的；朴素的
chasten,vt. 惩罚；磨炼；抑制
chastise,vt. 惩罚；严惩；责骂
chauvinist,"n. 沙文主义者；盲目的爱国者；沙文主义组织
adj. 沙文主义的"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
checkered,"adj. 多变的；有方格的；多波折的
v. 使交错；使交替变化（checker的过去分词）"
cherubic,adj. 可爱的；天使的；无邪的
chicanery,n. 狡辩；欺骗；强词夺理
chide,"vt. 责骂；斥责
vi. 斥责；责骂"
chimerical,adj. 空想的，妄想的；荒唐的
chisel,"n. 凿子
vt. 雕，刻；凿；欺骗
vi. 雕，刻；凿；欺骗"
chisel,"n. 凿子
vt. 雕，刻；凿；欺骗
vi. 雕，刻；凿；欺骗"
chivalrous,adj. 侠义的；骑士的；有武士风度的
choleric,adj. 易怒的；暴躁的；胆汁质的
choreography,n. 编舞；舞蹈艺术；舞艺
chortle,"n. 得意的高笑
vi. 咯咯笑"
chronic,adj. 慢性的；长期的；习惯性的
churlish,adj. 没有礼貌的；脾气暴躁的
cipher,"n. 密码；暗号；零
vt. 计算；做算术；将…译成密码
vi. 使用密码；计算；做算术"
cipher,"n. 密码；暗号；零
vt. 计算；做算术；将…译成密码
vi. 使用密码；计算；做算术"
circuitous,adj. 迂曲的；绕行的；迂回线路的
circumlocution,n. 婉转曲折的说法，累赘的陈述；遁辞
circumscribe,vt. 外切，外接；限制；在…周围画线
circumspect,adj. 细心的，周到的；慎重的
circumvent,v. 包围；智取；绕行，规避
cistern,n. 水箱；水池；贮水器
citadel,n. 城堡；大本营；避难处
cite,vt. 引用；传讯；想起；表彰
clairvoyant,"n. 千里眼；有洞察力的人
adj. 透视的；有洞察力的"
clamber,"vt. 爬，攀登
vi. 攀登，爬上
n. 攀登，爬上"
clamor,"n. 喧闹，叫嚷；大声的要求
vt. 喧嚷着说出
vi. 喧嚷，发喧嚣声；持续地喊声"
clandestine,adj. 秘密的，私下的；偷偷摸摸的
clangor,"n. 连续的铿锵声；丁当声
vi. 铿锵作响"
clapper,n. 拍手者；铃舌；响板；唠唠叨叨的嘴巴
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
claustrophobia,n.  幽闭恐怖症
cleave,"vt. 砍开；使分开；打通
vi. 裂开；披荆斩棘地前进；粘住；坚持"
cleft,"adj. 分裂的；劈开的
n. 裂缝；龟裂
v. 劈开；分开（cleave的过去式和过去分词）"
clemency,n. 仁慈；温和；宽厚
clench,"vt. 紧握；确定；把…敲弯
vi. 握紧；钉牢
n. 紧抓；敲环脚"
cliche,"n. 陈词滥调； 铅版；陈腐思想
adj. 陈腐的"
clientele,n. 客户；诉讼委托人
climactic,adj. 高潮的；顶点的；渐层法的
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
clique,"n. 派系；阀；私党；小圈子
vi. 结党"
cloister,"n. 回廊；修道院；修道院生活；隐居地
vt. 使与尘世隔绝；用回廊环绕"
clout,"n. 破布；敲打；影响力；势力
vt. 给…打补钉；猛击"
cloying,adj. 厌烦的；倒胃口的；因过量而厌烦的
clump,"n. 丛；笨重的脚步声；土块
vt. 使成一丛；使凝结成块
vi. 形成一丛；以沉重的步子行走"
coagulate,"vt. 使…凝结
vi. 凝结"
coalesce,"vt. 使…联合；使…合并
vi. 合并；结合；联合"
coalition,n. 联合；结合，合并
coddle,vt. 娇养；溺爱（等于mollycoddle）；用文火煮
codicil,n. 遗嘱的附录
codify,vt. 编纂；将...编成法典；编成法典
coercion,n. 强制；强迫；高压政治；威压
cogent,adj. 强有力的；使人信服的
cogitate,"vt. 仔细考虑；谋划
vi. 思考；考虑"
cognate,"n. 同族；同根词
adj.  同源的；同类的"
cognitive,adj. 认知的，认识的
cognizance,n. 审理，审判管辖权；认知；标志
cohere,vi. 凝聚；连贯；粘着；一致
coincidence,n. 巧合；一致；同时发生
colander,n. 滤器，滤锅
collaborate,vi. 合作；勾结，通敌
collage,"n. 抽象拚贴画（用报纸、布、压平的花等碎片拼合而成的）
vt. 把…创作成拼贴画，拼贴"
collate,vt. 核对，校对；校勘
collateral,"n. 抵押品； 担保品；旁系亲属
adj. 并行的；旁系的；附属的"
colloquial,adj. 白话的；通俗的；口语体的
collusion,n. 勾结；共谋
colossal,adj. 巨大的；异常的，非常的
comatose,adj. 昏迷的；昏睡状态的；麻木的；怠惰的
combustible,"n. 可燃物；易燃物
adj. 易燃的；易激动的；燃烧性的"
comely,adj. 清秀的，标致的
comeuppance,n. 因果报应，应得的惩罚
commandeer,vt. 征用；霸占，没收；强取
commemorate,vt. 庆祝，纪念；成为…的纪念
commensurate,adj. 相称的；同量的；同样大小的
commiserate,"vt. 同情，怜悯
vi. 同情，怜悯；吊慰"
commodious,adj. 宽敞的；方便的
communal,adj. 公共的；公社的
compatible,adj. 兼容的；能共处的；可并立的
compelling,"adj. 引人注目的；强制的；激发兴趣的
v. 强迫；以强力获得（compel的ing形式）"
compensatory,adj. 补偿的，赔偿的
compile,vt. 编译；编制；编辑； 汇编
complacency,n. 自满；满足；自鸣得意
complaisant,adj. 彬彬有礼的；顺从的；殷勤的
complementary,adj. 补足的，补充的
compliance,n. 顺从，服从；承诺
compliant,adj. 顺从的；服从的；应允的
complicity,n. 共谋；串通；共犯关系
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
composure,n. 镇静；沉着
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
comprise,vt. 包含；由…组成
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
compunction,n. 悔恨，后悔；内疚
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
concave,"n. 凹面
adj. 凹的，凹面的
vt. 使成凹形"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
concentric,adj. 同轴的；同中心的
conception,n. 怀孕；概念；设想；开始
concerted,adj. 协调的；协定的；商议定的
concession,n. 让步；特许（权）；承认；退位
conciliatory,adj. 安抚的；调和的；调停的
concise,adj. 简明的，简洁的
contrived,adj. 人为的；做作的；不自然的
controvert,"vt. 驳斥；就…展开争论
vi. 争论；辩论"
contusion,n. 挫伤；撞伤；青肿
conundrum,n. 难题；谜语
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
convention,n. 大会； 惯例； 约定； 协定；习俗
conventional,adj. 符合习俗的，传统的；常见的；惯例的
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
conversant,adj. 熟悉的；精通的；亲近的
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
convex,"n. 凸面体；凸状
adj. 凸面的；凸圆的"
conveyance,n. 运输；运输工具；财产让与
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
convivial,adj. 欢乐的；欢宴的；酒宴的
convoke,vt. 召集；召集…开会
convoluted,"adj. 复杂的；费解的；旋绕的
v. 盘绕；缠绕（convolute的过去分词）"
copious,adj. 丰富的；很多的；多产的
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
cordon,"n. 警戒线；绶带；束带层
vt. 用警戒线围住；包围隔离"
cornucopia,n. 哺乳宙斯的羊角；装满花果及谷穗表丰饶的羊角状物；丰饶的象征
corollary,n. 推论；必然的结果
coronation,n. 加冕礼
corporeal,adj. 物质的，有形的；肉体的
corpulent,adj. 肥胖的
correlation,n.  相关，关联；相互关系
corroborate,vt. 证实；使坚固
corrosive,"n. 腐蚀物
adj. 腐蚀的；侵蚀性的"
corrugated,"adj. 波纹的；缩成皱纹的；有瓦楞的
v. （使）起皱纹（corrugate的过去式）"
cosmic,adj. 宇宙的（等于cosmical）
cosmopolitan,"n. 四海为家者；世界主义者；世界各地都有的东西
adj. 世界性的；世界主义的，四海一家的"
coterie,n. 圈内人；小集团；伙伴；同志
countenance,"n. 面容，表情；支持
vt. 支持，赞同"
countenance,"n. 面容，表情；支持
vt. 支持，赞同"
countermand,"vt. 取消，撤消；下反对命令召回
n. 取消；反对命令"
culvert,n. 涵洞；阴沟；电缆管道
cumbersome,adj. 笨重的；累赘的；难处理的
cumulative,adj. 累积的
cupidity,n. 贪心，贪婪
curator,n. 馆长；监护人；管理者
curmudgeon,n. 脾气坏的人，乖戾的人；吝啬鬼；存心不良的人
cursive,"adj. 草书的；草书体的
n. 草书；手写体（一种印刷字体）"
cursory,adj. 粗略的；草率的；匆忙的
curtail,vt. 缩减；剪短；剥夺…特权等
cynical,adj. 愤世嫉俗的；冷嘲的
cynosure,n. 指针；众人瞩目的焦点
dabble,"vt. 溅湿；浸入水中
vi. 涉猎；涉足；玩水"
dais,n. 讲台
dank,adj. 潮湿的；阴湿的；透水的
dapper,adj. 短小精悍的；衣冠楚楚的；整洁的；整齐的
dappled,"adj. 斑纹的；有斑点的；花的
v. 起斑纹（dapple的过去式和过去分词）"
daub,"n. 涂抹；涂料；拙劣的画
vt. 涂抹；乱画；弄脏
vi. 涂抹；乱画"
daunt,vt. 使气馁，使畏缩；威吓
dauntless,adj. 无畏的；勇敢的；不屈不挠的
dawdle,"vt. 混日子；游手好闲；浪费时间
vi. 混日子；游手好闲；偷懒"
deadlock,"n. 僵局，停顿
vt. 停顿；相持不下
vi. 死锁；停顿"
deadpan,"n. 无表情的脸；面无表情的人
adj. 毫无表情的；不动声色的
vt. 面无表情地表达（或表演、行动）"
dearth,n. 缺乏；饥馑；粮食不足
debacle,n. 崩溃；灾害；解冻
debase,vt. 降低；使…贬值；掺杂
debauch,"n. 放荡
vt. 使堕落；使颓废
vi. 放荡；诱使做不道德的事"
debilitate,vt. 使衰弱；使虚弱
debonair,adj. 高兴的，快活的；温文尔雅的；殷勤的
debris,n. 碎片，残骸
debunk,vt. 揭穿；拆穿…的假面具；暴露
debutante,n. 初次参加上层社会社交活动的少女
decadence,n. 堕落，颓废；衰落
decapitate,vt. 斩首；解雇；使无效
deciduous,adj. 落叶性的，脱落性的；非永久性的
decimate,vt. 十中抽一，取十分之一；大批杀害
decipher,"n. 密电译文
vt. 解释（过去式deciphered，过去分词deciphered，现在分词deciphering，第三人称单数deciphers，名词decipherer，形容词decipherable）；译解"
declivity,n. 下坡；倾斜
decollete,adj. （女装）低颈露肩的
decomposition,n. 分解，腐烂；变质
decorum,n. 礼仪；礼貌；端正；恪守礼仪
decoy,"n. 诱饵；诱骗
vt. 诱骗
vi. 被诱"
decrepit,adj. 衰老的；破旧的
decrepitude,n. 衰老，老朽
decry,vt. 责难，谴责；诽谤
deducible,adj. 可推论的
deface,vt. 损伤外观，丑化
defame,v. 诽谤；中伤
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
defeatist,"n. 失败主义者
adj. 失败主义（者）的"
defection,n. 背叛；缺点；变节；脱党
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
deference,n. 顺从；尊重
defiance,n. 蔑视；挑战；反抗
defile,"n. 狭谷；隘路
vt. 污损，弄脏；染污
vi. 以纵队前进"
define,vt. 定义；使明确；规定
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
deflect,"vt. 使转向；使偏斜；使弯曲
vi. 转向；偏斜"
defoliate,"vt. 使落叶
vi. 落叶"
defray,vt. 支出；支付
deft,adj. 灵巧的；机敏的；敏捷熟练的
defunct,"n. 死者
adj. 死的；非现存的"
defuse,vt. 平息；去掉…的雷管；使除去危险性
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
degradation,n. 退化；降格，降级；堕落
dehydrate,"vt. 使…脱水；使极其口渴；使丧失力量和兴趣等
vi. 脱水；去水"
deify,vt. 把…奉若神明；把…神化；崇拜
deign,"vt. 赐予
vi. 屈尊"
delectable,adj. 美味的；令人愉快的
delete,vt. 删除
deleterious,adj. 有毒的，有害的
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
delineate,vt. 描绘；描写；画…的轮廓
delirium,n. 精神错乱；发狂，狂热；说谵语状态
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
deluge,"n. 洪水；泛滥；暴雨
vt. 使泛滥；压倒"
delusion,n. 迷惑，欺骗；错觉；幻想
delve,"n. 穴；洞
vi. 钻研；探究；挖
vt. 钻研；探究；挖"
demagogue,n. 煽动者；煽动家；煽动政治家
demean,vt. 贬低...的身分；举止
demeanor,n. 风度；举止；行为
demented,"adj. 发狂的，疯狂的；精神错乱的
v. 精神错乱；变得痴呆（dement的过去分词）"
demise,"n. 死亡，终止；转让；传位
vt. 遗赠；禅让"
demolition,n. 拆除（等于demolishment）；破坏；毁坏
demoniac,"n. 着魔的人
adj. 魔鬼的；着魔的"
demur,"n. 异议；反对
vi. 反对；抗辩；提出异议"
demure,adj. 端庄的；娴静的；严肃的；假装正直的
demystify,vt. 使非神秘化；阐明；启发
denigrate,vt. 诋毁；使变黑；玷污
denizen,"n. 居民；外来语；外籍居民
vt. 给…居住权；移植"
denotation,n. 符号；表示；意义；指示
denouement,n. 结局；终场
denounce,vt. 谴责；告发；公然抨击；通告废除
depict,vt. 描述；描画
deplete,vt. 耗尽，用尽；使衰竭，使空虚
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
depose,"vt. 免职；作证；废黜
vi. 宣誓作证"
deposition,n. 沉积物；矿床；革职；（在法庭上的）宣誓作证，证词
depravity,n. 堕落；邪恶
deprecate,vt. 反对；抨击；轻视；声明不赞成
depreciate,"vi. 贬值；轻视；贬低
vt. 使贬值；贬低；轻视"
depredation,n. 掠夺；破坏，破坏痕迹
deranged,"adj. 疯狂的；精神错乱的
v. 使（精神）错乱（derange的过去分词和过去式）；扰乱"
derelict,"n. 遗弃物；玩忽职守者；被遗弃的人
adj. 玩忽职守的；无主的；被抛弃了的"
deride,vt. 嘲笑；嘲弄
derivative,"n.  衍生物，派生物；导数
adj. 派生的；引出的"
dermatologist,n. 皮肤科医生；皮肤学者
derogatory,adj. 贬损的
descant,"n. 曲调；评论；歌曲
adj. 最高音的
vi. 唱歌；评论"
descry,vt. 看见；发现；察看
desecrate,vt. 亵渎；污辱；把（神物）供俗用
desiccate,"vt. 使干；干贮
vi. 变干"
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
despise,vt. 轻视，鄙视
despoil,vt. 掠夺，剥夺；夺取
despondent,adj. 沮丧的；失望的
despot,n. 专制君主，暴君；独裁者
destitute,"n. 赤贫者
adj. 穷困的；无的；缺乏的
vt. 使穷困；夺去"
desultory,adj. 断断续续的；散漫的；不连贯的，无条理的
detached,"v. 分离
adj. 分离的，分开的；超然的"
detergent,n. 清洁剂；去垢剂
determination,n. 决心；果断；测定
deterrent,"n. 威慑；妨碍物；挽留的事物
adj. 遏制的，威慑的；制止的"
detonation,n. 爆炸；爆炸声；爆发
detraction,n. 诽谤；减损
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
deviate,"vi. 脱离；越轨
vt. 使偏离"
devious,adj. 偏僻的；弯曲的；不光明正大的
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
devoid,adj. 缺乏的；全无的
devotee,n. 信徒；爱好者
devout,adj. 虔诚的；衷心的
dexterous,adj. 灵巧的；敏捷的；惯用右手的
diabolical,adj. 恶魔的
diagnosis,n. 诊断
discomfit,vt. 挫败；扰乱，破坏；使…为难；使…破灭
discomposure,n. 不安；心乱；狼狈
disconcert,vt. 使仓皇失措；使困惑；破坏
disconsolate,adj. 郁郁不乐的；忧郁的；孤独的
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
discordant,adj. 不和谐的，刺耳的；不一致的
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
discredit,"n. 怀疑；无信用；名声的败坏
vt. 不信；使……丢脸"
discrepancy,n. 不符；矛盾；相差
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
discretion,n. 自由裁量权；谨慎；判断力；判定；考虑周到
discriminating,"v. 识别（discriminate的ing形式）；区别对待
adj. 识别的；有差别的；有识别力的"
discursive,adj. 散漫的；离题的；东拉西扯的；无层次的
disdain,"n. 蔑视
vt. 鄙弃"
disembark,"vt. 使……登陆；使……上岸
vi. 登陆，下车；上岸"
disenfranchise,vt. 剥夺…的公民权（等于disfranchise）
disengage,"vt. 使脱离；解开；解除
vi. 脱出；松开"
disfigure,vt. 使变丑；损毁…的外形；使大为减色
disgorge,vt. 吐出；被迫交出；香槟酒酿制过程中的一道程序，即在插入最后的软木塞前，把沉淀物从酒瓶中取出
disgruntle,vt. 使……不高兴
dishearten,vt. 使灰心，使沮丧，使气馁
disheveled,"adj. 不整洁的；凌乱的
v. 使（头发等）蓬松（dishevel的过去分词）"
disinclination,n. 不感兴趣；厌恶；不起劲
disingenuous,adj. 虚伪的；不诚实的；不老实的；狡猾的
disinter,vt. 掘出；发掘；显露
disinterested,"adj. 无私的；公正的；冷漠的；廉洁的
v. 使不再有利害关系；使无兴趣（disinterest的过去分词）"
disjointed,adj. 脱节的；杂乱的；脱臼的
dislodge,"vt. 逐出，驱逐；使……移动；用力移动
vi. 驱逐，逐出；离开原位"
dismantle,"vt. 拆除；取消；解散；除掉…的覆盖物
vi. 可拆卸"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
dismember,vt. 肢解，割断手足；分割，瓜分
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
disparage,vt. 蔑视；毁谤
disparate,"n. 无法相比的东西
adj. 不同的；不相干的；全异的"
disparity,n. 不同；不一致；不等
dispassionate,adj. 不带感情的；平心静气的；公平的
dispatch,"n. 派遣；急件
vt. 派遣；分派"
dispel,vt. 驱散，驱逐；消除（烦恼等）
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
dispirited,"adj. 沮丧的；没有精神的；意气消沉的
v. 使…沮丧；使…气馁（dispirit的过去分词）"
disputatious,adj. 爱争辩的
disquiet,"n. 担心，不安；焦虑，忧虑
vt. 使不安；使担心，使忧虑"
dissection,n. 解剖，切开；解剖体；详细查究
dissemble,"vt. 掩饰，掩盖；假装
vi. 隐藏，掩饰（思想、感情等）"
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
dissent,"n. 异议；（大写）不信奉国教
vi. 不同意；不信奉国教"
dissertation,n. 论文，专题；学术演讲
dissident,"n. 持不同政见者，意见不同的人
adj. 持不同政见的，意见不同的"
dissimulate,"vt. 掩饰；假装；装糊涂
vi. 掩饰；假装；装糊涂"
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
dissolute,adj. 放荡的；风流的
dissonance,n. 不一致；不调和；不和谐音
dissuade,vt. 劝阻，劝止
distend,"vt. 使…膨胀；使…扩张
vi. 扩张；膨胀"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
distinction,n. 区别；差别；特性；荣誉、勋章
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
distraught,adj. 发狂的；心烦意乱的
diurnal,"n. 日记账；日报，日刊
adj. 白天的；每日的，一日间的"
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
divergent,adj. 相异的，分歧的；散开的
diverse,adj. 不同的；多种多样的；变化多的
diversion,n. 转移；消遣；分散注意力
diversity,n. 多样性；差异
divest,vt. 剥夺；使脱去，迫使放弃
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
divulge,vt. 泄露；暴露
docile,adj. 温顺的，驯服的；容易教的
doctrinaire,"adj. 教条主义的；空谈理论的
n. 教条主义者；空论家，纯理论家"
doctrine,n. 主义；学说；教义；信条
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
doff,vt. 脱（衣，帽等）；丢弃，废除；落纱
dogged,"adj. 顽强的；顽固的
vt. 跟踪；尾随（dog的过去式）"
doggerel,"n. 打油诗
adj. 打油诗的"
dogmatic,adj. 教条的；武断的
doldrums,n. 忧郁；赤道无风带
doleful,adj. 寂寞的；悲哀的；阴沉的；忧郁的
dolt,n. 笨蛋，傻瓜；呆子
domicile,"n. 住宅；永久居住地；期票支付场所
vt. 使定居；使在指定的场所支付（期票等）
vi. 居住"
domineer,"vt. 盛气凌人
vi. 跋扈；作威作福"
don,"n. 先生，阁下；指导教师，大学教师
vt. 穿上"
doodle,"n. 涂鸦；蠢人
vt. 乱涂出；闲混；随意弹奏
vi. 涂鸦；闲混；随意弹奏"
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
dormer,n. 老虎窗；屋顶采光窗
dossier,n. 档案，卷宗；病历表册
dote,"vt. 溺爱
vi. 溺爱；昏聩"
douse,"vt. 插入水中；弄湿；弄熄；急速收帆；脱掉（衣鞋等）
vi. 浸泡
n. 泼洒"
dowdy,"n. 懒散的女人；邋遢女人
adj. 懒散的；过时的；寒酸的"
downcast,"n. 倒台；俯视的目光；向下转换
adj. 沮丧的；低垂的；气馁的"
drab,"n. 浅褐色；无生气；邋遢；小额
adj. 单调的；土褐色的
vt. 使无生气
vi. 嫖妓"
draconian,adj. 严厉的，苛刻的
dregs,n. 渣滓；少量；沉淀物（dreg的复数）
drivel,"n. 鼻涕；口水；糊涂话
vi. 淌口水；流鼻涕；说傻话
vt. 浪费"
droll,"n. 小丑，滑稽可笑的人
adj. 滑稽的；好笑的；逗趣的
vi. 开玩笑"
drone,"n. 雄蜂；嗡嗡的声音；懒惰者
n. 无人机（非正式）
vt. 低沉地说
vi. 嗡嗡作声；混日子"
drone,"n. 雄蜂；嗡嗡的声音；懒惰者
n. 无人机（非正式）
vt. 低沉地说
vi. 嗡嗡作声；混日子"
dross,n. 渣滓；浮渣；碎屑
drudgery,n. 苦工，苦差事
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
ductile,adj. 柔软的；易教导的；易延展的
dulcet,adj. 美妙的；悦耳的；怡人的
dumbfound,vt. 使惊呆；使人惊愕失声
dupe,"vt. 欺骗；愚弄（等于duplicate）
n. 上当者；易受骗的人"
duplicity,n. 口是心非；表里不一；不诚实
duration,"n. 持续，持续的时间，期间
音长，音延"
duress,n. 强迫；监禁
dutiful,adj. 忠实的；顺从的；守本分的
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
dwindle,"vi. 减少；变小
vt. 使缩小，使减少"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
earthy,adj. 土的；土质的；朴实的；粗俗的
ebb,"n. 衰退；退潮；衰落
vi. 衰退；减少；衰落；潮退"
