gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
admission,n. 承认；入场费；进入许可；坦白；录用
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
nail,"vt. 钉；使固定；揭露
n.  指甲；钉子"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
evolution,n. 演变；进化论；进展
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
surpass,vt. 超越；胜过，优于；非…所能办到或理解
responsible,adj. 负责的，可靠的；有责任的
proclaim,vt. 宣告，公布；声明；表明；赞扬
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
hardship,n. 困苦；苦难；艰难险阻
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
formulate,vt. 规划；用公式表示；明确地表达
idiot,n. 笨蛋，傻瓜；白痴
hemisphere,n. 半球
socket,"n. 插座；窝，穴；牙槽
vt. 给…配插座"
forum,n. 论坛，讨论会；法庭；公开讨论的广场
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
multitude,n. 群众；多数
testimony,n.  证词，证言；证据
device,n. 装置；策略；图案
attorney,n. 律师；代理人；检查官
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
glamor,"n. 魅力；魔法；迷人的美（等于glamour）
vt. 迷惑；使有魅力（等于glamour）"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
norm,n. 标准，规范
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
nude,"adj. 裸的，裸体的；无装饰的；与生俱有的
n. 裸体；裸体画"
repel,vt. 击退；抵制；使厌恶；使不愉快
aftermath,n. 后果；余波
myth,n. 神话；虚构的人，虚构的事
unbearable,adj. 难以忍受的；承受不住的
liberation,n. 释放，解放
cigarette,n. 香烟；纸烟
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
adaptation,n. 适应；改编；改编本，改写本
pause,"n. 暂停；间歇
vi. 暂停，停顿，中止；踌躇"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
adolescence,n. 青春期
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
dignity,n. 尊严；高贵
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
anecdote,n. 轶事；奇闻；秘史
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
cyclist,n. 骑自行车的人
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
disagree,vi. 不同意；不一致；争执；不适宜
receive,"vt. 收到；接待；接纳
vi. 接收"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
rope,"n. 绳，绳索
vt. 捆，绑
vi. 拧成绳状"
abnormal,adj. 反常的，不规则的；变态的
peach,"n. 桃子；桃树；桃红色；受人喜欢的人（或物）
adj. 桃色的；用桃子制成的
vt. 告发
vi. 告密"
adequate,adj. 充足的；适当的；胜任的
foresee,vt. 预见；预知
below,"prep. 在…下面
adv. 在下面，在较低处；在本页下面"
suspension,n. 悬浮；暂停；停职
equip,vt. 装备，配备
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
arbitrary,adj.  任意的；武断的；专制的
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
distribute,vt. 分配；散布；分开；把…分类
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
beware,"vt. 注意，当心；提防
vi. 当心，小心"
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
reluctant,adj. 不情愿的；勉强的；顽抗的
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
economics,n. 经济学；国家的经济状况
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
eternal,adj. 永恒的；不朽的
narrate,"vt. 叙述；给…作旁白
vi. 叙述；讲述"
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
facility,n. 设施；设备；容易；灵巧
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
usage,n. 使用；用法；惯例
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
evoke,vt. 引起，唤起；博得
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
beset,vt. 困扰；镶嵌；围绕
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
delete,vt. 删除
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
arise,vi. 出现；上升；起立
visual,adj. 视觉的，视力的；栩栩如生的
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
energetic,adj. 精力充沛的；积极的；有力的
considerate,adj. 体贴的；体谅的；考虑周到的
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
majority,n. 多数；成年
judgement,n. 意见；判断力； 审判；评价
expose,vt. 揭露，揭发；使曝光；显示
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
racial,adj. 种族的；人种的
cosy,"n. 保温罩
adj. 舒适的；惬意的"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
clumsy,"adj. 笨拙的
笨拙地
不得当的
不得当地"
virus,n.  病毒；恶毒；毒害
autonomous,adj. 自治的；自主的；自发的
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
astronomy,n. 天文学
retell,vt. 复述；再讲；重述
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
outcome,n. 结果，结局；成果
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
agenda,n. 议程；日常工作事项；日程表
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
bless,vt. 祝福；保佑；赞美
presentation,n. 展示；描述，陈述；介绍；赠送
tendency,n. 倾向，趋势；癖好
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
helmet,n. 钢盔，头盔
crossing,"n. 十字路口；杂交；横渡；横道
v. 横越（cross的现在分词）"
tolerate,vt. 忍受；默许；宽恕
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃"
astronaut,n. 宇航员，航天员；太空旅行者
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
surgery,n. 外科；外科手术；手术室；诊疗室
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
retain,vt. 保持；雇；记住
extinguish,vt. 熄灭；压制；偿清
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
profound,adj. 深厚的；意义深远的；渊博的
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
temporal,"n. 世间万物；暂存的事物
adj. 暂时的；当时的；现世的"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
serial,"n. 电视连续剧； 期刊；连载小说
adj. 连续的；连载的；分期偿还的"
vitamin,n.  维生素； 维他命
jury,"n.  陪审团；评判委员会
adj. 应急的"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
ace,"n. 幺点；直接得分的发球；佼佼者；（俚）最好的朋友
adj. 一流的，突出的
vt. 以发球赢一分；击败
int. 太棒了；太好了"
finite,"n. 有限之物
adj. 有限的；限定的"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
treasury,n. 国库，金库；财政部；宝库
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
screw,"n. 螺旋；螺丝钉；吝啬鬼
vt. 旋，拧；压榨；强迫
vi. 转动，拧"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
republic,n. 共和国；共和政体
appetite,n. 食欲；嗜好
bathe,"n. 洗澡；游泳
vt. 沐浴；用水洗
vi. 洗澡；沐浴"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
biscuit,n. 小点心，饼干
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
prove,"vi. 证明是
vt. 证明；检验；显示"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
butcher,"n. 屠夫
vt. 屠杀"
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
connection,n. 连接；关系；人脉；连接件
coincidence,n. 巧合；一致；同时发生
awful,adj. 可怕的；极坏的；使人敬畏的
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
disability,n. 残疾；无能；无资格；不利条件
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
consequence,n. 结果；重要性；推论
subjective,adj. 主观的；个人的；自觉的
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
allergic,adj. 对…过敏的；对…极讨厌的
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
bother,"n. 麻烦；烦恼
vt. 烦扰，打扰；使……不安；使……恼怒
vi. 操心，麻烦；烦恼"
nod,"n. 点头；打盹；摆动
vt. 点头；点头表示
vi. 点头；打盹；摆动"
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
fountain,n. 喷泉，泉水；源泉
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
harmful,adj. 有害的；能造成损害的
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
handy,adj. 便利的；手边的，就近的；容易取得的；敏捷的
cubic,adj. 立方体的，立方的
intuition,n. 直觉；直觉力；直觉的知识
define,vt. 定义；使明确；规定
testify,"vi. 作证；证明
vt. 证明，证实；作证"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
authorize,vt. 批准，认可；授权给；委托代替
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
opportunity,n. 时机，机会
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
efficient,adj. 有效率的；有能力的；生效的
decent,adj. 正派的；得体的；相当好的
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
versatile,adj. 多才多艺的；通用的，万能的；多面手的
humiliate,vt. 羞辱；使…丢脸；耻辱
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
transaction,n. 交易；事务；办理；会报，学报
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
timid,adj. 胆小的；羞怯的
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
domain,n. 领域；域名；产业；地产
recession,n. 衰退；不景气；后退；凹处
pamphlet,n. 小册子
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射"
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
anniversary,n. 周年纪念日
attraction,n. 吸引，吸引力；引力；吸引人的事物
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
admirable,adj. 令人钦佩的；极好的；值得赞扬的
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
glove,"n. 手套
vt. 给…戴手套"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
dynasty,n. 王朝，朝代
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
insurance,n. 保险；保险费；保险契约；赔偿金
applicant,n. 申请人，申请者；请求者
underwear,n. 内衣物
fond,adj. 喜欢的；温柔的；宠爱的
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
faith,n. 信仰；信念；信任；忠实
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
embassy,n. 大使馆；大使馆全体人员
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
thorough,adj. 彻底的；十分的；周密的
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
emit,vt. 发出，放射；发行；发表
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
establish,"vi. 植物定植
vt. 建立；创办；安置"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
ambassadress,n. 大使夫人; 女大使
comprehension,n. 理解；包含
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
chemical,"n. 化学制品，化学药品
adj. 化学的"
cheek,"n. 面颊，脸颊；臀部
vt. 无礼地向…讲话，对…大胆无礼"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
educate,"vt. 教育；培养；训练
vi. 教育；训练"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
debt,n. 债务；借款；罪过
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
conceal,vt. 隐藏；隐瞒
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
solve,"vt. 解决；解答；溶解
vi. 作解答"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
infrastructure,n. 基础设施；公共建设；下部构造
thrift,n. 节俭；节约； 海石竹
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
