spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
erosion,n. 侵蚀，腐蚀
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
hysterical,adj. 歇斯底里的；异常兴奋的
alcohol,n. 酒精，乙醇
symposium,n. 讨论会，座谈会；专题论文集；酒宴，宴会
manual,"adj. 手工的；体力的
n. 手册，指南"
fury,n. 狂怒；暴怒；激怒者
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
brutal,adj. 残忍的；野蛮的，不讲理的
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的"
syndrome,n.  综合症状；并发症状；校验子；并发位
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
conservative,找不到解释
interpret,"vi. 解释；翻译
vt. 说明；口译"
cliff,n. 悬崖；绝壁
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
synthesis,n. 综合， 合成；综合体
reunion,n. 重聚；（班级或学校的）同学会，同窗会
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
geology,n. 地质学；地质情况
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
tack,"n. 大头钉；粗缝；行动方针；食物
vt. 附加；以大头针钉住
vi. 抢风航行；作文字形移动"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
humid,adj. 潮湿的；湿润的；多湿气的
intervene,vi. 干涉；调停；插入
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
drainage,n. 排水；排水系统；污水；排水面积
hemisphere,n. 半球
amend,"vt. 修改；改善，改进
vi. 改正，改善；改过自新"
prototype,n. 原型；标准，模范
electrician,n. 电工；电气技师
historian,n. 历史学家
incredible,adj. 难以置信的，惊人的
acknowledge,vt. 承认；答谢；报偿；告知已收到
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
rigorous,adj. 严格的，严厉的；严密的；严酷的
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
foresee,vt. 预见；预知
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
intelligible,adj. 可理解的；明了的；仅能用智力了解的
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
analogy,n. 类比；类推；类似
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
electrical,adj. 有关电的；电气科学的
tanker,n. 油轮；运油飞机；油槽车；坦克手
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
capacity,n. 能力；容量；资格，地位；生产力
privilege,"n. 特权；优待
vt. 给与…特权；特免"
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
pastime,n. 娱乐，消遣
electron,n. 电子
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
expenditure,n. 支出，花费；经费，消费额
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
climax,n. 高潮；顶点；层进法；极点
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
rectangular,adj. 矩形的；成直角的
linear,adj. 线的，线型的；直线的，线状的；长度的
module,n.  模块；组件；模数
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
pudding,n. 布丁
tedious,adj. 沉闷的；冗长乏味的
abortion,n. 流产，堕胎，小产；流产的胎儿；（计划等）失败，夭折
faith,n. 信仰；信念；信任；忠实
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
qualitative,adj. 定性的；质的，性质上的
ideology,n. 意识形态；思想意识；观念学
telecommunications,n. 通讯行业：服务类型变更，缴纳话费，账户总览等所有业务均可通过移动设备完成
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
occur,vi. 发生；出现；存在
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
stray,"n. 走失的家畜；流浪者
adj. 迷路的；离群的；偶遇的
vi. 流浪；迷路；偏离"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
mob,"n. 暴民，暴徒；民众；乌合之众
vt. 大举包围，围攻；蜂拥进入
vi. 聚众生事，聚众滋事"
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
stimulus,n. 刺激；激励；刺激物
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
temperament,n. 气质，性情，性格；急躁
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
assert,vt. 维护，坚持；断言；主张；声称
henceforth,adv. 今后；自此以后
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
similar,"n. 类似物
adj. 相似的"
allege,vt. 宣称，断言；提出…作为理由
recede,"vi. 后退；减弱
vt. 撤回"
arena,n. 舞台；竞技场
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
decisive,adj. 决定性的；果断的，坚定的
tempo,n. 速度，发展速度；拍子
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
machinery,n. 机械；机器；机构；机械装置
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
intelligent,adj. 智能的；聪明的；理解力强的
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
paralyze,vt. 使麻痹；使瘫痪
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
immerse,vt. 沉浸；使陷入
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
extinguish,vt. 熄灭；压制；偿清
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
sociology,n. 社会学；群体生态学
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
pistol,"n. 手枪；信号枪
vt. 用手枪射击"
mansion,n. 大厦；宅邸
religion,n. 宗教；宗教信仰
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
alter,"vt. 改变，更改
vi. 改变；修改"
heir,n.  继承人；后嗣；嗣子
certify,v. 证明；保证
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
tendency,n. 倾向，趋势；癖好
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
sensation,n. 感觉；轰动；感动
conscious,adj. 意识到的；故意的；神志清醒的
circulation,n. 流通，传播；循环；发行量
dolphin,n. 海豚
missionary,"adj. 传教的；传教士的
n. 传教士"
slogan,n. 标语；呐喊声
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
ethnic,adj. 种族的；人种的
fraud,n. 欺骗；骗子；诡计
incur,vt. 招致，引发；蒙受
impart,vt. 给予（尤指抽象事物），传授；告知，透露
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
apartment,n. 公寓；房间
inevitable,adj. 必然的，不可避免的
recovery,n. 恢复，复原；痊愈；重获
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
complement,"n. 补语；余角；补足物
vt. 补足，补助"
frantic,adj. 狂乱的，疯狂的
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
eagle,n. 鹰；鹰状标饰
encourage,vt. 鼓励，怂恿；激励；支持
conspicuous,adj. 显著的；显而易见的
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
pretext,"n. 借口；托辞
vt. 以…为借口"
artillery,n. 火炮；大炮；炮队；炮术
dwell,vi. 居住；存在于；细想某事
parameter,n. 参数；系数；参量
scramble,"n. 抢夺，争夺；混乱，混乱的一团；爬行，攀登
vi. 爬行，攀登；不规则地生长；仓促行动
vt. 攀登；使混杂，仓促凑成；扰乱"
imaginary,adj. 虚构的，假想的；想像的；虚数的
Thanksgiving,找不到解释
relief,n. 救济；减轻，解除；安慰；浮雕
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
flask,n.  烧瓶；长颈瓶，细颈瓶；酒瓶，携带瓶
expertise,n. 专门知识；专门技术；专家的意见
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
loyalty,n. 忠诚；忠心；忠实；忠于…感情
depress,vt. 压抑；使沮丧；使萧条
sieve,"vt. 筛；滤
n.  筛子；滤网；不能保守秘密的人
vi. 筛；滤"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
recur,vi. 复发；重现；采用；再来；循环；递归
capable,adj. 能干的，能胜任的；有才华的
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
ammunition,"n. 弹药；军火
vt. 装弹药于
vi. 装弹药"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
massive,adj. 大量的；巨大的，厚重的；魁伟的
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
cucumber,n. 黄瓜；胡瓜
terrain,n.  地形，地势；领域；地带
robust,adj. 强健的；健康的；粗野的；粗鲁的
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
terrific,adj. 极好的；极其的，非常的；可怕的
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
assassination,n. 暗杀，行刺
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
economical,adj. 经济的；节约的；合算的
detect,vt. 察觉；发现；探测
mutual,adj. 共同的；相互的，彼此的
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
territory,n. 领土，领域；范围；地域；版图
insight,n. 洞察力；洞悉
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
instrumental,"n. 器乐曲；工具字，工具格
adj. 乐器的；有帮助的；仪器的，器械的"
testify,"vi. 作证；证明
vt. 证明，证实；作证"
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
concept,n. 观念，概念
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
testimony,n.  证词，证言；证据
certainty,n. 必然；确实；确实的事情
detain,vt. 拘留；留住；耽搁
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
texture,n. 质地；纹理；结构；本质，实质
acquaintance,n. 熟人；相识；了解；知道
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
theft,n. 盗窃；偷；赃物
mutter,"vi. 咕哝；喃喃自语
vt. 咕哝；抱怨地说；低声含糊地说
n. 咕哝；喃喃低语"
impatient,adj. 焦躁的；不耐心的
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
profession,n. 职业，专业；声明，宣布，表白
elementary,adj. 基本的；初级的； 元素的
fertilizer,n.  肥料；受精媒介物；促进发展者
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
eliminate,vt. 消除；排除
confident,adj. 自信的；确信的
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
obscene,adj. 淫秽的；猥亵的；可憎的
criterion,n. （批评判断的）标准；准则；规范；准据
queer,"n. 同性恋者；怪人；伪造的货币
adj. 奇怪的；同性恋的；不舒服的；心智不平衡的
vt. 搞糟；使陷于不利地位"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
thereafter,adv. 其后；从那时以后
mistress,n. 情妇；女主人；主妇；女教师；女能人
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
therefore,adv. 因此；所以
parasite,n. 寄生虫；食客
consequence,n. 结果；重要性；推论
famine,n. 饥荒；饥饿，奇缺
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
arc,"n. 弧（度）；弧光（全称electric arc）；弧形物；天穹
adj. 圆弧的；反三角函数的
vt. 形成电弧；走弧线"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
consequently,adv. 因此；结果；所以
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
inaugurate,vt. 创新；开辟；开创；举行开幕典礼；举行就职典礼
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
diverse,adj. 不同的；多种多样的；变化多的
drought,n. 干旱；缺乏
thesis,n. 论文；论点
optimism,n. 乐观；乐观主义
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
thigh,n. 大腿，股
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
thorn,n. 刺； 荆棘
brood,"n. 一窝；一伙
vt. 孵；沉思"
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
dedicate,vt. 致力；献身；题献
confront,vt. 面对；遭遇；比较
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
terrify,vt. 恐吓；使恐怖；使害怕
chunk,n. 大块；矮胖的人或物
assistance,n. 援助，帮助；辅助设备
prevail,vi. 盛行，流行；战胜，获胜
threshold,n. 入口；门槛；开始；极限；临界值
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
invariably,adv. 总是；不变地；一定地
attitude,n. 态度；看法；意见；姿势
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
coarse,adj. 粗糙的；粗俗的；下等的
justification,n. 理由；辩护；认为有理，认为正当；释罪
frequency,n. 频率；频繁
entertainment,n. 娱乐；消遣；款待
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
thrive,vi. 繁荣，兴旺；茁壮成长
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
marshal,"n. 元帅；司仪
vt. 整理；引领；编列
vi. 排列"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
meadow,n. 草地；牧场
provoke,vt. 驱使；激怒；煽动；惹起
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
indefinite,adj. 不确定的；无限的；模糊的
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
apology,n. 道歉；谢罪；辩护；勉强的替代物
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
aspect,n. 方面；方向；形势；外貌
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
timely,"adj. 及时的；适时的
adv. 及时地；早"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
evoke,vt. 引起，唤起；博得
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
performance,n. 性能；绩效；表演；执行；表现
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
modify,"vt. 修改，修饰；更改
vi. 修改"
remnant,"n. 剩余
adj. 剩余的"
generate,vt. 使形成；发生；生殖；产生物理反应
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
atmosphere,n. 气氛；大气；空气
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
timid,adj. 胆小的；羞怯的
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
persistent,adj. 固执的，坚持的；持久稳固的
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
gaze,"n. 凝视；注视
vi. 凝视；注视"
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
profitable,adj. 有利可图的；赚钱的；有益的
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
hypothesis,n. 假设
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
magistrate,n. 地方法官；文职官员；治安推事
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
oxygen,n.  氧气， 氧
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
tolerant,adj. 宽容的；容忍的；有耐药力的
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
feat,"n. 功绩，壮举；技艺表演
adj. 合适的；灵巧的"
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
