guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
critic,n. 批评家，评论家；爱挑剔的人
acknowledge,vt. 承认；答谢；报偿；告知已收到
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
inadequate,adj. 不充分的，不适当的
typically,adv. 代表性地；作为特色地
relatively,adv. 相当地；相对地，比较地
available,adj. 可获得的；可购得的；可找到的；有空的
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
in favor of,"na. 赞成；有利于；付与
 支持；赞同；为了支持"
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
at one's disposal,"na. 随某人自由
 由某人随意支配；由某人支配；由某人做主"
readily,adv. 容易地；乐意地；无困难地
notion,n. 概念；见解；打算
structured,"adj. 有结构的；有组织的
v. 组织；构成（structure的过去分词）；建造"
stir up,"v. 转播；重播；搅拌；煽动
 激起；挑起；引起"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
in ... range,找不到解释
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
concentration,n. 浓度；集中；浓缩；专心；集合
compression,n. 压缩，浓缩；压榨，压迫
indicator,n. 指示器； 指示剂； 指示符；压力计
tolerant,adj. 宽容的；容忍的；有耐药力的
relative to,"adj. 有关
 相对于；与…有关；相对於"
controversy,n. 争论；论战；辩论
violent,adj. 暴力的；猛烈的
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
award,"n. 奖品；判决
vt. 授予；判定"
negative-sum game,找不到解释
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
distribution,n. 分布；分配
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
disadvantage,n. 缺点；不利条件；损失
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
motivate,vt. 刺激；使有动机；激发…的积极性
administration,n. 管理；行政；实施；行政机构
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
in response, 回应；作为反应；作为回应
guideline,"n. 指导方针
参考"
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
phenomenon,n. 现象；奇迹；杰出的人才
phenomena,n. 现象（phenomenon 的复数 ）
unsolved,adj. 未解决的；未解答的
sighting,"n. 瞄准；照准；视线
v. 看见（sight的ing形式）"
creature,n. 动物，生物；人；创造物
civilization,n. 文明；文化
unusual,adj. 不寻常的；与众不同的；不平常的
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
be aware of,"na. 知道
 意识到；觉察；了解"
discover,"vi. 发现
vt. 发现；发觉"
stony,adj. 无情的；多石的；石头的
intricate,adj. 复杂的；错综的，缠结的
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
aircraft,n. 飞机，航空器
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
appear,vi. 出现；显得；似乎；出庭；登场
runway,n. 跑道；河床；滑道
community,n. 社区； 群落；共同体；团体
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
put forth,"na.  a feeler (用言语或动作)探听别人的反应
 提出；发表；努"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
senseless,adj. 愚蠢的；无知觉的；无意识的
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
marvelous,adj. 了不起的；非凡的；令人惊异的；不平常的
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
scientific,adj. 科学的，系统的
scoff at, 嘲笑；奚落；嘲弄
theory,n. 理论；原理；学说；推测
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
currently,adv. 当前；一般地
dedicate to,"v. 献给
 奉献；致力于；献身"
creation,n. 创造，创作；创作物，产物
site,"n. 地点；位置；场所
vt. 设置；为…选址"
respected,"v. 尊敬；重视（respect的过去式和过去分词）
adj. 受尊敬的"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
guidance,n. 指导，引导；领导
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
assistance,n. 援助，帮助；辅助设备
phenomenon,n. 现象；奇迹；杰出的人才
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
intuitive,adj. 直觉的；凭直觉获知的
refrain from,"na. 戒(烟)
 忍住；避免；克制"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
instructional,adj. 教学的；指导的，教育的
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
generate,vt. 使形成；发生；生殖；产生物理反应
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
significantly,adv. 显著地；相当数量地
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
effectively,adv. 有效地，生效地；有力地；实际上
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
feedback,n. 反馈；成果，资料；回复
collaborate with,"v. 私通
 勾结；通敌；与敌人合作"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
nature,n. 自然；性质；本性；种类
solution,n. 解决方案；溶液；溶解；解答
outperform,vt. 胜过；做得比……好
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
expertise,n. 专门知识；专门技术；专家的意见
beneficial,adj. 有益的，有利的；可享利益的
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
intention,n. 意图；目的；意向；愈合
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
acquisition,n. 获得物，获得；收购
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
simultaneously,adv. 同时地
bilingual,"n. 通两种语言的人
adj. 双语的"
necessity,n. 需要；必然性；必需品
misguided,"adj. 被误导的
v. 使入歧途（misguide的过去分词）"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
permanently,adv. 永久地，长期不变地
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
literature,n. 文学；文献；文艺；著作
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
primarily,adv. 首先；主要地，根本上
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
be identified as, 被认为是；被看作；被确认是
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
interact with,"v. 与…相互作用
 与……互动；与……组合；和……交往"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
dentist,"n. 牙科医生
牙医诊所"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
scholar,n. 学者；奖学金获得者
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
infancy,n. 初期；婴儿期；幼年
slavery,n. 奴役；奴隶制度；奴隶身份
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
fragile,adj. 脆的；易碎的
significantly,adv. 显著地；相当数量地
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
distaste,"n. 厌恶；讨厌
vt. 厌恶；不喜欢
vi. 不喜欢"
privately,adv. 私下地；秘密地
bedrock,n.  基岩；根底；基本原理
approximately,adv. 大约，近似地；近于
bravery,n. 勇敢；勇气
opposition,n. 反对；反对派；在野党；敌对
legislative,"adj. 立法的；有立法权的
n. 立法权；立法机构"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
approval,n. 批准；认可；赞成
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
intense,adj. 强烈的；紧张的；非常的；热情的
intermingle,"vt. 使混合；使搀和
vi. 混合；掺杂"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
affection,n. 喜爱，感情；影响；感染
worldly,"adj. 世俗的；世间的；尘世的
adv. 世俗地；世故地"
manipulative,adj. 巧妙处理的；操纵的，用手控制的
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
behavior,n. 行为，举止；态度；反应
achievement,n. 成就；完成；达到；成绩
passion,n. 激情；热情；酷爱；盛怒
unconsciously,adv. 不知不觉；无意识地
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
lead to,"na. 通向
 导致；引起；通往"
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
prestigious,adj. 有名望的；享有声望的
conditional,"n. 条件句；条件语
adj. 有条件的；假定的"
circumstance,n. 环境，情况；事件；境遇
intrinsically,adv. 本质地；内在地；固有地
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
athletic,adj. 运动的，运动员的；体格健壮的
approval,n. 批准；认可；赞成
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
criteria,n. 标准，条件（criterion的复数）
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
sensitivity,n. 敏感；敏感性；过敏
distancing,距离
fabric,n. 织物；布；组织；构造；建筑物
generate,vt. 使形成；发生；生殖；产生物理反应
assumption,n. 假定；设想；担任；采取
be worthy of, 值得；配得上；对得起
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
hair-trigger,"n. 微扣扳机
adj. 一触即发的"
possibility,n. 可能性；可能发生的事物
incredibly,adv. 难以置信地；非常地
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地"
be based on,"v. 以…为基础
 根据；基于；以……为根据"
be supposed to,"na. …(在职务上)要；不许
 应该；被认为；被期望"
desperately,adv. 拼命地；绝望地；极度地
on a false basis,找不到解释
talent,n. 才能；天才；天资
philosophy,n. 哲学；哲理；人生观
assumption,n. 假定；设想；担任；采取
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
filter out,"un. 滤光；滤出；慢慢传出；听不进去
 过滤；滤除；过滤掉"
ideology,n. 意识形态；思想意识；观念学
foretell,"vt. 预言；预示；预告
vi. 预言；预示；预告"
ability,n. 能力，能耐；才能
transparent,adj. 透明的；显然的；坦率的；易懂的
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
emotionalism,n. 感情主义；诉诸感情；主情主义
remarkable,adj. 卓越的；非凡的；值得注意的
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
frame of mind,"n. 心态；心绪
 心情；心境；情绪"
quantifiable,adj. 可以计量的
skeptical,adj. 怀疑的；怀疑论的，不可知论的
tend to,"v. 倾向于；有助于
 趋向；趋于；往往"
at the outset,"na. 在开头时
 在开始时；从一开始；开始的时候"
expose,vt. 揭露，揭发；使曝光；显示
run for,"na. 去叫(…)；做…的候选人
 竞选；让…竞选；竞选职位"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
election,n. 选举；当选；选择权；上帝的选拔
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
relationship,n. 关系；关联
intuitive,adj. 直觉的；凭直觉获知的
powerfully,adv. 强大地；强烈地；非常
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
construct,"n. 构想，概念
vt. 建造，构造；创立"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
confident,adj. 自信的；确信的
high-status, 地位高的
behavior,n. 行为，举止；态度；反应
self-centered,adj. 自我中心的；利己主义的
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
in sum,"na. 总之
 总而言之；大体上；一言以蔽之"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
revolution,n. 革命；旋转；运行；循环
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
adult,"n. 成年人
adj. 成年的；成熟的"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
surrounding,"n. 环境，周围的事物
adj. 周围的，附近的"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
biologically,adv. 生物学上，生物学地
decade,n. 十年，十年期；十
apparent,adj. 显然的；表面上的
come to grips with,"na. 扭在一起；开始努力对付
 揪扭；着手解决或对付；开始搏斗"
defective,"n. 有缺陷的人；不完全变化词
adj. 有缺陷的；不完美的"
tempting,"v. 引诱（tempt的ing形式）
adj. 吸引人的；诱惑人的"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
duplication,n. 复制；副本；成倍
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
attitude,n. 态度；看法；意见；姿势
carbon copy,"n. （文件、信等的）复写本；极相像的人；极类似的事
 抄送；副本；用复写纸复制的副本"
genetic,adj. 遗传的；基因的；起源的
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
obvious,adj. 明显的；显著的；平淡无奇的
molecular,adj.  分子的；由分子组成的
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
product,n. 产品；结果； 乘积；作品
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
connection,n. 连接；关系；人脉；连接件
unavailable,adj. 难以获得的；不能利用的；不近便的
expectation,n. 期待；预期；指望
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
psychology,n. 心理学；心理状态
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
observation,n. 观察；监视；观察报告
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
downside,"n. 负面，缺点；下降趋势；底侧
adj. 底侧的"
analysis,n. 分析；分解；验定
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
multiplication table,"n. 乘法表
 九九乘法表；九九表；乘法口诀"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
context,n. 环境；上下文；来龙去脉
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
memorize,vt. 记住，背熟；记忆
situate,"adj. 位于…的
vt. 使位于；使处于"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
modify,"vt. 修改，修饰；更改
vi. 修改"
environmentalist,n. 环保人士；环境论者；研究环境问题的专家
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
agricultural,adj. 农业的；农艺的
deliver on, 履行；实现；实现誓言
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
consumer,n. 消费者；用户，顾客
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
opposition,n. 反对；反对派；在野党；敌对
genetically,adv. 从遗传学角度；从基因方面
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
supposed,"v. 假定（suppose的过去分词）
adj. 假定的；被信以为真的；想象上的"
organic,adj.  有机的；组织的；器官的；根本的
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
sustainably,adv. 支撑得住；能保持住地
fundamentally,adv. 根本地，从根本上；基础地
act as,"na. 做(向导)
 充当；担任；担当"
devote,vt. 致力于；奉献
controversy,n. 争论；论战；辩论
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
symbol,n. 象征；符号；标志
series,n. 系列，连续； 串联；级数；丛书
conclusion,n. 结论；结局；推论
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
one-size-fits-all,一刀切；一体适用；万全之策
efficiency,n. 效率；效能；功效
acre,n. 土地，地产；英亩
entity,n. 实体；存在；本质
solution,n. 解决方案；溶液；溶解；解答
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
endlessly,adv. 不断地；无穷尽地
be focused on, 重点是；专心于；集中在
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
pressing,"n. 压；冲压件
v. 压；按；熨烫衣物（press的ing形式）
adj. 紧迫的；迫切的；恳切的"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
data,n. 数据（datum的复数）；资料
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
breakthrough,n. 突破；突破性进展
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
spectrum,n. 光谱；频谱；范围；余象
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
technology,n. 技术；工艺；术语
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
efficiency,n. 效率；效能；功效
utilize,vt. 利用
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
density,n. 密度
switch on,"v. 打开；接通；参见
 开启；合闸；打开开关"
switch off,"na. 不收听(某一广播)
 关掉；切断；关闭"
incredibly,adv. 难以置信地；非常地
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
communication,n. 通讯， 通信；交流；信函
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
traditional,adj. 传统的；惯例的
distinct,adj. 明显的；独特的；清楚的；有区别的
plentiful,adj. 丰富的；许多的；丰饶的；众多的
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
tiny,adj. 微小的；很少的
in parallel,"adv. 并联；并行
 并行的；平行；并联的"
existing,"adj. 目前的；现存的
v. 存在（exist的现在分词）"
frequency,n. 频率；频繁
electronic,"adj. 电子的
n. 电子电路；电子器件"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
draw-back, 退税
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
functional,adj. 功能的
in sight of,"na. 在看得见…的地方
 在看得见……的地方；能看见；在看见……的地方"
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
hacker,n. 电脑黑客，企图不法侵入他人电脑系统的人
connection,n. 连接；关系；人脉；连接件
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
concept,n. 观念，概念
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
phenomenon,n. 现象；奇迹；杰出的人才
acutely,adv. 尖锐地；剧烈地
fragile,adj. 脆的；易碎的
painful,adj. 痛苦的；疼痛的；令人不快的
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
outmode,vt. 使过时
insatiable,adj. 贪得无厌的；不知足的
restructure,vt. 调整；重建；更改结构
foresee,vt. 预见；预知
versus,prep. 对；与...相对；对抗
revolution,n. 革命；旋转；运行；循环
tend to,"v. 倾向于；有助于
 趋向；趋于；往往"
downturn,n. 衰退（经济方面）；低迷时期
recovery,n. 恢复，复原；痊愈；重获
boom and bust,"un. 一时性繁荣
 繁荣与萧条；大起大落；繁荣与崩溃"
for good,"na. 永久地
 永远；一劳永逸地；永远地"
technology,n. 技术；工艺；术语
appetite,n. 食欲；嗜好
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
performance,n. 性能；绩效；表演；执行；表现
automation,n. 自动化；自动操作
argument,n. 论证；论据；争吵；内容提要
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
in the first place,"na. 首先；第一
 起初；原先；第一点"
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
leave no room,找不到解释
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
