relationship,n. 关系；关联
inner,"n. 内部
adj. 内部的；内心的；精神的"
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
mysterious,adj. 神秘的；不可思议的；难解的
obvious,adj. 明显的；显著的；平淡无奇的
possibly,adv. 可能地；也许；大概
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
psychological,adj. 心理的；心理学的；精神上的
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
bureau,n. 局，处；衣柜；办公桌
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
origin,n. 起源；原点；出身；开端
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
define,vt. 定义；使明确；规定
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
racial,adj. 种族的；人种的
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
emphasis,n. 重点；强调；加强语气
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
particle,n. 颗粒； 质点；极小量；小品词
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
output,"n. 输出，输出量；产量；出产
vt. 输出"
penalty,n. 罚款，罚金；处罚
conservation,n. 保存，保持；保护
foundation,n. 基础；地基；基金会；根据；创立
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
confuse,vt. 使混乱；使困惑
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
decent,adj. 正派的；得体的；相当好的
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
flexible,adj. 灵活的；柔韧的；易弯曲的
mood,n. 情绪，语气；心境；气氛
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
enhance,vt. 提高；加强；增加
faculty,n. 科，系；能力；全体教员
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
prominent,adj. 突出的，显著的；杰出的；卓越的
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
infer,"vi. 推断；作出推论
vt. 推断；推论"
intense,adj. 强烈的；紧张的；非常的；热情的
atmosphere,n. 气氛；大气；空气
emphasize,vt. 强调，着重
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
humanity,n. 人类；人道；仁慈；人文学科
efficiency,n. 效率；效能；功效
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
core,找不到解释
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
widespread,adj. 普遍的，广泛的；分布广的
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
assumption,n. 假定；设想；担任；采取
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
limited,"adj. 有限的
n. 高级快车"
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
induce,vt. 诱导；引起；引诱；感应
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
impatient,adj. 焦躁的；不耐心的
stability,n. 稳定性；坚定，恒心
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
empire,n. 帝国；帝王统治，君权
restrict,vt. 限制；约束；限定
sympathy,n. 同情；慰问；赞同
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
forth,adv. 向前，向外；自…以后
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
silicon,n.  硅；硅元素
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
notion,n. 概念；见解；打算
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
convey,vt. 传达；运输；让与
inevitable,adj. 必然的，不可避免的
accustom,vt. 使习惯于
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
ignorant,adj. 无知的；愚昧的
ignorance,n. 无知，愚昧；不知，不懂
tremendous,adj. 极大的，巨大的；惊人的；极好的
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
skilled,adj. 熟练的；有技能的；需要技能的
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
wrap,"n. 外套；围巾
vt. 包；缠绕；隐藏；掩护
vi. 包起来；缠绕；穿外衣"
column,n. 纵队，列；专栏；圆柱，柱形物
percentage,n. 百分比；百分率，百分数
region,n. 地区；范围；部位
legislation,n. 立法；法律
proposal,n. 提议，建议；求婚
rid,vt. 使摆脱；使去掉
error,n. 误差；错误；过失
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
estate,n. 房地产；财产；身份
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
experimental,adj. 实验的；根据实验的；试验性的
seemingly,adv. 看来似乎；表面上看来
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
whereas,conj. 然而；鉴于；反之
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
confirm,vt. 确认；确定；证实；批准；使巩固
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
consistent,adj. 始终如一的，一致的；坚持的
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
violate,vt. 违反；侵犯，妨碍；亵渎
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
sufficient,adj. 足够的；充分的
coastal,adj. 沿海的；海岸的
reap,"vt. 收获，获得；收割
vi. 收割，收获"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
devote,vt. 致力于；奉献
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
curiosity,n. 好奇，好奇心；珍品，古董，古玩
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
insight,n. 洞察力；洞悉
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
suitable,adj. 适当的；相配的
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
leadership,n. 领导能力；领导阶层
slogan,n. 标语；呐喊声
eliminate,vt. 消除；排除
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
fiction,n. 小说；虚构，编造；谎言
miserable,adj. 悲惨的；痛苦的；卑鄙的
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
uneasy,adj. 不舒服的；心神不安的；不稳定的
colleague,n. 同事，同僚
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
suburb,n. 郊区；边缘
amuse,vt. 娱乐；消遣；使发笑；使愉快
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
normally,adv. 正常地；通常地，一般地
immense,adj. 巨大的，广大的；无边无际的；非常好的
complaint,n. 抱怨；诉苦；疾病；委屈
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
handful,n. 少数；一把；棘手事
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
request,"n. 请求；需要
vt. 要求，请求"
statistic,"n. 统计数值
adj. 统计的，统计学的"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
expose,vt. 揭露，揭发；使曝光；显示
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
cue,"n. 提示，暗示；线索
vt. 给…暗示"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
vain,adj. 徒劳的；自负的；无结果的；无用的
tragedy,n. 悲剧；灾难；惨案
refine,vt. 精炼，提纯；改善；使…文雅
era,n. 时代；年代；纪元
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
breakthrough,n. 突破；突破性进展
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
horizon,n.  地平线；视野；眼界；范围
identity,n. 身份；同一性，一致；特性；恒等式
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
confront,vt. 面对；遭遇；比较
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
ongoing,"adj. 不间断的，进行的；前进的
n. 前进；行为，举止"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
copyright,"n. 版权，著作权
adj. 版权的；受版权保护的
vt. 保护版权；为…取得版权"
intelligent,adj. 智能的；聪明的；理解力强的
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
saving,"n. 节约；挽救；存款
prep. 考虑到；除...之外
adj. 节约的；挽救的；补偿的；保留的"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
forum,n. 论坛，讨论会；法庭；公开讨论的广场
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
feasible,adj. 可行的；可能的；可实行的
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
literary,adj. 文学的；书面的；精通文学的
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
disagree,vi. 不同意；不一致；争执；不适宜
organ,n.  器官；机构；风琴；管风琴；嗓音
guilty,adj. 有罪的；内疚的
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
controversy,n. 争论；论战；辩论
shortage,n. 缺乏，缺少；不足
distinct,adj. 明显的；独特的；清楚的；有区别的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
appealing,"v. 恳求（appeal的ing形式）；将…上诉
adj. 吸引人的；动人的；引起兴趣的；恳求似的"
evolution,n. 演变；进化论；进展
diplomatic,adj. 外交的；外交上的；老练的
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
curriculum,"n. 课程
总课程"
excessive,adj. 过多的，极度的；过分的
series,n. 系列，连续； 串联；级数；丛书
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
session,n. 会议；（法庭的）开庭；（议会等的）开会；学期；讲习会
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
territory,n. 领土，领域；范围；地域；版图
threat,n. 威胁，恐吓；凶兆
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
convince,vt. 说服；使确信，使信服
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
gloomy,adj. 黑暗的；沮丧的；阴郁的
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
enterprise,n. 企业；事业；进取心；事业心
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
dilemma,n. 困境；进退两难；两刀论法
symptom,n.  症状；征兆
theory,n. 理论；原理；学说；推测
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
corridor,走廊
likewise,adv. 同样地；也
distract,vt. 转移；分心
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
cling,vi. 坚持，墨守；紧贴；附着
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
representation,n. 代表；表现；表示法；陈述
ego,n. 自我；自负；自我意识
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
assure,vt. 保证；担保；使确信；弄清楚
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
deadline,n. 截止期限，最后期限
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
confusion,n. 混淆，混乱；困惑
inquiry,n. 探究；调查；质询
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
dropout,n. 中途退学；辍学学生
emotion,n. 情感；情绪
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
opposition,n. 反对；反对派；在野党；敌对
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
constitute,vt. 组成，构成；建立；任命
steady,"n. 关系固定的情侣；固定支架
adj. 稳定的；不变的；沉着的
vt. 使稳定；稳固；使坚定
adv. 稳定地；稳固地
vi. 稳固"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
marvelous,adj. 了不起的；非凡的；令人惊异的；不平常的
marvellous,adj. 不可思议的；惊人的
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
tasty,"adj. 美味的；高雅的；有趣的
n. 可口的东西；引人入胜的东西"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
equip,vt. 装备，配备
resident,"n. 居民；住院医生
adj. 居住的；定居的"
recovery,n. 恢复，复原；痊愈；重获
negotiation,n. 谈判；转让；顺利的通过
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
obstacle,n. 障碍，干扰；妨害物
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
genuine,adj. 真实的，真正的；诚恳的
handwriting,"n. 笔迹；书法；书写；手稿
v. 亲手写（handwrite的ing形式）"
guideline,"n. 指导方针
参考"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
substance,n. 物质；实质；资产；主旨
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
status,n. 地位；状态；情形；重要身份
reluctant,adj. 不情愿的；勉强的；顽抗的
element,n. 元素；要素；原理；成分；自然环境
reasonable,adj. 合理的，公道的；通情达理的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
determination,n. 决心；果断；测定
numerous,adj. 许多的，很多的
thrive,vi. 繁荣，兴旺；茁壮成长
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
appetite,n. 食欲；嗜好
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
temptation,n. 引诱；诱惑物
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
enlighten,vt. 启发，启蒙；教导，开导；照耀
emerge,vi. 浮现；摆脱；暴露
