accuse of,"un. 控告
 指责；指控；因某事控告某人"
close down,"v. 关闭；关门；倒闭；歇业
 停业；查封；封闭"
close up,"na. 靠紧；(伤)愈合；密闭；结束
 关闭；特写；靠近"
coincide with,"v. 与…一致
 与……相符；不谋而合；符合"
combine with,"na. 和…结合；与…化合
 与…结合；联合；与…混合"
come about,"na. 发生；(风等)变向；抢风调向
 产生；迎风折驶；形成"
come along,"na. 进步；同意；一道来；请过来
 出现；进展；快点"
come around,"na. 赶上；达到；袭击
 苏醒；顺便过来；拜访"
come round,"na. 苏醒；(生气的人)消除怒气；(病后)复原；(从某处)转来
 到来；再来；回心转意"
come at,"v. 得到；达到
 袭击；攻击；求得"
come by,"na. 到手；通过附近；拜访
 得到；获得；看望"
come down,"na. 败落；退步；(飞机的)下降
 下来；病倒；降落"
come down to,"v. 降至；归结起来；变为；归结为
 可归结为；到达；归根结底"
come in,"na. 进入；当选；上台；(党派)组阁
 进来；请进；流行起来"
come out,"na. 出来
 出现；出柜；现身"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
 达到；来到；恢复知觉"
come under,"na. 归入…类；被…支配
 编入；受到；遭受"
come up with,"na. 想出(一个主意或计划)；提出；提供；筹措
 赶上；找到；想出某事"
comment on,"v. 评论
 对…评论；对…发表评论；对……的评论"
communicate with,"v. 联络
 与…交流；和…交流；沟通"
compare to,"un. 核对记录；商量了一番；比较；和…相仿
 与…相比；比作；把…比作"
compare with,"na. 和…比较
 与…相比；与…相比较；与…比较"
complain about,"v. 埋怨
 抱怨；抱怨某事；抱怨某人或事情"
complain of,"v. 抱怨；叫屈
 主诉；诉苦；埋怨"
concentrate on,"na. 集中在；专心于
 全神贯注于；专注于；集中精力于"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
confine to,"v. 限于
 局限于；限制；限制在一定范围之内"
confine within,把…关在…里
consent to,"v. 同意；赞成
 同意某事；应允；赞同意义的词组"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
consist of,"v. 由…合成
 由……组成；由…构成；包括"
count as, 视为；看成；算
count for,"un. 倒数；算作
 有价值；有重要性；对……有价值"
count in,"na. 算入
 把…计算在内；把……算入；算上"
cut across,"na. 对直穿过；同“cut”
 抄近路；抄近路穿过；走捷径"
cut back,"na. 缩减；修剪(树枝等)；回叙往事
 削减；减少；消减"
cut down,"na. 砍倒；削减；减价；夺去…活动力
 减少；缩短；降低"
cut out,"na. 割掉；除去；剪下；开辟
 停止；删除；切掉"
cut up,"na. 割裂；弄伤；歼灭(敌军)；使心痛
 切碎；剪碎；宰后得肉"
capable of,"na. (事物)可以…的；能…的；易…的；(人)敢于…的
 能够；有…能力的；易于做出…的"
civil servant,"n. 公务员；政府官员
 文职人员；文官；行政能力倾向测试是公务员"
close by,"adv. 在附近
 在近旁；近在手边；在旁边"
close to,"na. 接近于；在附近
 靠近；亲近；离…近"
come into being,"na. 发生
 形成；产生；开始存在"
come into effect,"na. 开始实施
 生效；开始生效；开始实行"
go into effect,"v. 生效
 施行；实施；开始生效"
come into use,"na. (某物)开始被使用
 开始使用；投入使用；开始投入使用"
come to a close,"na. 将完
 结束；临终；渐近结束"
draw to a close,"na. “come to a close”的变体
 结束；即将结束；渐近结束"
come to life,"na. 苏醒过来
 复活；活跃起来；恢复生气"
come to light,"na. 显露
 真相大白；为人所知；出现"
come true,"na. (预言等)成事实；实现；(作物)不变种地发芽生长
 成为现实；成为事实；变成现实"
commit a crime,"na. 犯罪
 作案；犯下罪行；犯事"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
commit suicide,"na. 自杀；自尽
 寻短见；自裁；自杀身亡"
common to,"adj. 对…共同
 共同的；公共的；公用的"
comparable with,"adj. 可比于
 可与……比较；可与…相比的；比得上的"
comparable to,"v. 赶得上
 比得上的；相若；可比较的"
control over, 控制；支配；对…的控制
convenient to, 便于；方便的；对某人方便
chance on,"na. 偶然发现
 不期而遇；碰巧遇见；未经约定而意外相遇"
chance upon,"na. 偶然发现
 偶然遇见；偶尔遇见；巧遇"
chew over,"na. “chew upon”的变体
 仔细考虑；仔细商量；深思，细想"
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
choke back,"na. 抑压住(感情)
 抑制；忍住；强忍住"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
choke up,"na. 使闷死；枯死；激动得说不出话来；同“choke”
 堵塞；闷住；阻塞"
clamp down,"v. 严厉打击；强制执行；严禁；施压
 取缔；施加压力；对……施压"
clear away,"na. 扫除；砍去；(雾等)消散
 收拾；把…清除掉；去掉"
clear off,"na. 理清(工作等)；清算；卖掉；撵走
 清除；消散；摆脱"
clear up,"na. 整顿；说明；(天气)转晴
 放晴；整理；清理"
close in on,"un. 崩塌下来；接近；笼罩
 包围；逼近；进逼"
come apart,"na. (精神)错乱；分开了
 崩溃；破裂；瓦解"
come between,"na. 介入…之间；离间
 介入……之间；在…中间；妨碍"
come in for,"na. 来取；接受；受到(处分等)
 领取；得到；遭到"
come into,"na. 归入；开始；得到；缔结
 进入；继承；加入"
come out with,"na. 发表；讲出；泄露(秘密)；展出
 说出；公布；供应"
compensate for,"v. 补偿；抵偿
 赔偿；弥补；补偿损失"
confess to,"v. 承认
 坦白；坦诚；拒绝做"
confide in,"v. 信任；吐露秘密
 对…讲真心话；依赖；向……吐露秘密"
cool off,"na. 变凉；使…冷静；(销量,价钱等)下降
 平静下来；冷却；冷静下来"
correspond to,"v. 符合
 相当于；相应；对应"
correspond,vi. 符合，一致；相应；通信
crack down,"na. 敏捷地做；拼命做
 镇压；制裁；打击"
crack down on,"na. 对…进行制裁
 打击；镇压；严打"
cry out against,"v. 大声反对
 大力反对；强烈反对；大声疾呼地反对"
cure of,"v. 治愈
 医治；矫正；治癒"
curl up, （使）卷; 缭绕升起; （使）厌恶; （使）身体上垮掉
call out bids,找不到解释
clear-cut,adj. 清晰的；轮廓鲜明的
come into operation,"na. 开始工作；生效
 开始运转；施行；开工"
go into operation,"na. 开始运转；生效
 开始工作；开工；投入生产"
come right out and say,找不到解释
come to a head,"na. (时机,事件等)成熟；逼近严重关头；(疮,疖等)化脓
 达到顶点；达到高潮；到达顶点"
come to blows,"na. 互相打起来；开战
 开始互殴；动手打起来；动手互殴"
come to grief,"na. 失败；受伤；受欺负；出毛病
 遭难；吃亏；无由之灾"
come to grips with,"na. 扭在一起；开始努力对付
 揪扭；着手解决或对付；开始搏斗"
get to grips with,"na. 揪扭；开始努力对付
 认真处理；认真对待；勉力对付"
come to hand,"na. 拿到手
 收到"
come to no harm, 没受伤，没有受到损害
come to one's senses,"na. 恢复理性；恢复知觉；苏醒过来；醒悟过来
 恢复理智；不再做傻事；固定用法恢复知觉"
come to terms,"na. 谈判成功；投降
 达成协议；妥协；让步"
common run of men,找不到解释
could yet do,找不到解释
may yet do,找不到解释
might yet do,找不到解释
coupled with,"un. 接在一起
 加上；外加；加之"
cross section,"n. 横截面（图）；剖面（图）；断面（图）；典型的一群人（或事物）
 横断面；横切面；横剖面"
cut and dried,"adj. 已成定局；不容更改
 老生常谈；枯燥无味；早已决定的"
cut short,"na. 打断(讲话)；使停止；缩减；从简
 中断；突然停止；缩短"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
depend on,"v. 依靠
 依赖；取决于；视……而定"
derive from,"v. 来自；起源于
 衍生；由来；来源于"
derive,"vt. 源于；得自；获得
vi. 起源"
die out,"na. 死绝
 灭绝；消失；逐渐消失"
differentiate between A and B,把(甲)和(乙)区别/分开来
do harm to,"v. 损害
 对…有害；伤害；对……造成伤害"
doze off,"v. 打瞌睡
 打盹；打盹儿；打磕睡"
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
draw a conclusion from, 从……得出结论；从……中得出结论
draw on,"na. 穿；依赖；靠；吸收
 利用；戴上；动用"
discontent with,找不到解释
date back to,"na. 回溯至
 追溯到；始于；可追溯到"
date back from,找不到解释
dedicate to,"v. 献给
 奉献；致力于；献身"
dedicate,vt. 致力；献身；题献
define as,把…解释为；定(某词、短语等)的意义为，下定义为
deprive of,"un. 剥夺
 剥夺某人的；使失去；使丧失"
deprive,vt. 使丧失，剥夺
devote to,"v. 把…贡献给
 致力于；献身于；把……献给"
devote,vt. 致力于；奉献
die down,"na. 殉国
 平息；变弱；渐渐消失"
differ in,"v. 不同
 在…方面不同；不同在；在……不同"
disagree with,"v. 不同意
 与…意见不一致；不同意某人；与…意见不同"
disapprove of,"v. 不赞成
 不赞同；不同意；反对"
dispose of,"na. 安排；解决；办妥；杀掉
 处理；除掉；处置"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
distinct from,"adj. 不同于N
 种类不同；与…截然不同的；与…截然不同"
do business,"na. 做买卖
 做生意；经商；特指经商"
do for,"na. 帮助；适合做；除掉；毁掉
 照料；对…有效；照应"
do justice to,"na. 公平评判；公平对待；逼真；大吃
 公正地评判；公正地对待；公平地对待"
do with,"na. 对付；忍耐；与…相处
 处理；处置；需要"
draw into,"v. 诱使参加
 引入；使卷入；驶进"
draw out,"na. 抽出；拔出；掏出；提出
 拉长；取出；拉出"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
 穿上盛装；装饰；精心打扮"
drive away,"v. 赶走
 开走；把车开走；离开"
drop by,"na. 随便访问一下
 顺便拜访；顺道拜访；非正式访问"
drop in,"(使)落进；(使)往里坍塌：
偶然(或顺便)走访(或访问)(on)；逐渐进入：
(有选择地)加入；愿意(或决心)参加：
放下(吊幕)，吊装布景："
drop off,"na. 同“drop”；睡着；(客)(一一)散去；衰落
 减少；减弱；下车"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
 退学；辍学；掉落"
drop out of,"v. 退出；退去
 失学；从……当中退出；不参与"
drop to,"un. 弄虚作假；坠入
 下降到；跌到；掉到"
dry out, （使）变干， （使）干涸; <非正>（使）戒（酒、毒等）; 晾干
dry up,"na. 干涸；逐渐枯萎；使干；(演员)忘记台词
 枯竭；干透；乾涸"
do one's best,"na. 竭尽所能；尽力
 尽最大努力；不遗余力；尽最大的努力"
try one's best,"na. 尽全力
 尽力；努力；竭尽全力"
double-digit,adj. 两位数的
dozens of,"adj. 许多
 几十；几十个；很多"
draw a comparison,"做比较
打比方"
drive sb. to do sth.,找不到解释
deduce from,"推断
 ...从...推断(推出)..."
detach from,"v. 分离自
 使分开；拆卸；拆下"
detach,vt. 分离；派遣；使超然
dip into,"na. 舀出；取出；看一看；探究
 浏览；浸一浸；翻阅一下"
discriminate against,"na. 歧视
 排斥；不一样对待；某些人歧视"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
dispense with,"na. 省；免除；没有也行；豁免
 无需；没有...也行；省掉"
divide by,"un. 划分；用…去除；以…为分界
 除以；用…除；被除"
do away with,"na. 废除；干掉
 去掉；除去；消灭"
double up,"na. 折；捏起(拳头)；(旅客等)同住一室；弯着身子
 把…折起来；对折；把…折叠起来"
do up,"v. 修缮；收拾
 系；打扮；包扎"
dream up,"na. 凭空想出；凭空捏造出
 虚构；创造；梦想"
drive down,"na. 压低
 沿着……开车；降低；向下开"
dwell on,"na. 细想详述仔细研究强调；拖长(发音)仔细打量；减慢
 详细讲述；凝思；老是想着"
dwell upon,"na. 细想详述仔细研究强调；盯着看；减慢
 深思；仔细想，深思；详细讲述"
dead end,"n. 一头封死的道路（或通道等）；绝境；僵局
 死胡同；死角；死路"
do one's bidding,找不到解释
do one's bit,"na. 见 bit 条
 尽自己的一份力量；尽力；尽一份力"
do one's share,找不到解释
do one's utmost,"na. 尽所有力量
 竭力；尽最大努力；尽全力"
do the honors,"na. 尽地主之谊
 作东；尽东道主之宜；有幸干某事"
draw dividend,找不到解释
dividend,n. 红利；股息； 被除数；奖金
drive into action,找不到解释
evolve from, 进化自；从……发展而成；由……进化而来
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
exert influence on, 施加影响；对…施加影响；感化
exert,vt. 运用，发挥；施以影响
equipped with,"un. 配备
 装备；装有…的；配有"
eat up,"na. 吃完；消耗；沉迷于；很快走完(距离)
 吃光；吞灭；吃掉"
embark on,"un. 着手
 从事；开始；开始着手做某事"
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
enable ... to,找不到解释
engage in,"na. 从事；参加
 参与；从事于；忙于"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
engage with,"un. 与…交战；与…接洽
 建立友好关系；交流；与……交战"
enter on,"na. 动手；入；占有(土地,财产等)
 开始；正式开始；着手"
enter upon,"na. 动手；入；占有(土地,财产等)
 开始；着手；进入"
equate with, 把…等同；看作相同；同等
equate,"vt. 使相等；视为平等
vi. 等同"
escape from,"v. 逃脱
 从…逃脱；从……逃跑；逃离"
exchange for,"un. 以…换:
 交换；汇票金额；换取"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
experiment on,"un. …的实验；试用
 尝试；对……进行实验；在…上做实验"
experiment upon,"vt.试用,用...作试验"
explain away,"na. 巧辩过去
 把…解释过去；解释掉；辩解"
extend to, 延伸到，延续到；延伸至；扩展到
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extract from,"un. 榨出(汁等)；提取:；拔取；拔出
 从…拔出；从…中提取；文件的摘录"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
earn one's living, 谋生；营生；挣钱维持生计
either ... or,找不到解释
emphasis on, 强调；注重；对……的强调
even as,"na. 正如；正在…时
 正当；恰恰在…的时候；正当…的时候"
even if,"na. 即使…也
 纵然；就算；甚至"
even though,"na. “even if”的变体
 即使；尽管；虽然"
ever since,"na. 从…以来
 从那时起；自从；此后一直"
every other,"na. 每隔；所有其他；每隔一；其他的…都
 每隔一个的；每隔一个地；其他的...都"
every so often,"na. 不时
 偶尔；时时；有时"
except for,"na. 只有
 除了；除…之外；除了……之外"
expert in,"v. 精通于
 丈母娘竟然还精通；在……熟练；是…的专家"
embed in, 嵌入；使嵌入；嵌入到
embed,vt. 栽种；使嵌入，使插入；使深留脑中
earn one's keep,"na. 挣生活费
 值得雇用；挣钱维持生活；挣饭吃"
fail to,"v. 未能；使…失望
 不能；没有；没能做成"
fall asleep,"na. 入睡
 睡着；睡着了；睡觉"
fall short,"na. “come short”的变体
 不足；达不到；缺乏"
filter out,"un. 滤光；滤出；慢慢传出；听不进去
 过滤；滤除；过滤掉"
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
fold ... into,找不到解释
feel disappointed at,找不到解释
for example,"na. 例如
 举例；比如；比如说"
for fear of,"na. 因为怕；唯恐
 以免；害怕；以防"
for fear that,"na. 生怕
 以免；唯恐；惟恐"
for instance,"na. 例如
 比如；举例说；举例来说"
for long,"na. 长久 longs and shorts 1. 诗. 2. 长短砌合
 很久；很长时间；长久地"
fall away,"n. (火箭各级的)分开
 消失；疏远；背离"
fall behind,"na. 落后；跟不上；落下；拖欠
 落在后面；落后于；掉队"
fall down,"na. (向下游)流下；失败；跌倒；同“fall”
 倒下；摔倒；倒塌"
fall for,"v. 爱慕(某人)；赞赏(某事)；上当；受骗
 爱上；爱上，迷恋；信以为真"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
 跌落；减少；衰退"
feel like,"na. 想要…；愿意…；感觉像是…
 觉得；感到想要做；想做"
fight back,"na. 抵抗
 反击；还击；回击"
fight off, 在战斗中击败（某人）; 竭力摆脱; 辟
figure out,"na. 估计；解决；了解；确定
 想出；算出；计算出"
file for, 申请；提起诉讼；提出申请
fill up,"na. 同“fill”
 装满；填补；填满"
fill with,"v. 充满
 使充满；装满；用……填充"
find out,"na. 查出；发现；看清…的面目；识破
 查明；找出；了解"
finish up,"na. 完成；吃光；用尽；同“finish”
 结束；彻底完成；完成结束"
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
fit into, （使）适合， （使）合乎…的时间，与…融为一体; 纳入
fit in, 有地方容纳; 有时间从事（某事）; 有时间接待（某人）; 相处融洽
fit in with,"v. 符合
 适应；切合；适合"
fix on, 把…固定住; 把…集中在…上; 确定; 选定
fix up,"na. 修理；解决；组织；安顿住处
 安排；修补；商妥"
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
follow through,"v. 坚持到底
 自始至终完成工作；进行到底；随球动作"
fair play,"n. 按规则比赛；公平办事
 公平竞争；公平竞赛；费厄泼赖"
far from,"na. 远离；决不
 远非；完全不；远远不是"
far off,"adj. 远方的；遥远的
 在远处；远离；远隔的"
far-reaching,adj. 深远的；广泛的；伸至远处的
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
first of all,"na. 第一
 首先；首要；是首先的意思"
fit for,"v. 适合；对…恰当
 适于；适合于；我适合"
fit to,"un. 调整到
 适合的；符合；配合"
follow one's example,找不到解释
follow suit,"na. 跟出同花色的牌；学样
 跟着做；照着做；跟风"
for all,"na. 无论…怎样；虽有…仍然
 尽管；虽然；所有"
for anything,"na. 给什么都(不干)
 无论如何；决；决不"
for a while,"adv. 片刻
 暂时；一会儿；一时"
for certain,"na. 的确
 肯定地；确凿地；确切地"
for ever,"adv. 永远地；永恒地；无休止地；永无止境地
n. 永恒；相当长的时间
 永久；长期地；直到永远"
for free, 免费地；免费的；为了免费
for fun,"na. 开玩笑
 为了好玩；不是认真的；取乐"
for good,"na. 永久地
 永远；一劳永逸地；永远地"
for life,"na. 终身；为逃命
 终生；一生；为了生命"
for nothing,"na. 徒然；白白；没有结果；免费
 白白地；无缘无故；免费的"
for one's part,"na. 至于某人
 对某人来说；讲到某人；就个人来说"
for one thing,"na. 第一；原因之一是
 首先；一则；一方面"
for real, 严肃的，认真的; <美俗>真正的
for sale,"na. 出售(的)
 待售；供出售；出售的"
for short,"na. 简称
 缩写；简称某人；把……简称为"
for sure,"adv. 确实
 肯定地；确切地；毫无疑问"
for the benefit of,"na. 为…(利益)打算；为惩戒…
 为了…的利益；为…的利益；为了……的好处"
for the most part,"na. 在极大程度上；就绝大部分而言；多半；基本上
 大多；大多数情况下；在大多数情况下"
for purpose of, 为了；为了什么原因；为…的目的
for the purpose of,"na. 为…
 为了…目的；为……目的；为了……的目的"
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
sake,n. 目的；利益；理由；日本米酒
full time,"adj. 全部时间的
n. （体育运动的）全场比赛结束时间
 全职；全日制；专职"
fall out of,"na. 放弃(习惯等)
 放弃习惯等；停止；从…掉落下来"
find fault with,"na. 吹毛求疵；找…的岔子
 挑剔；找岔子；挑毛病"
flare up,"na. 同“flare”；突然烧起来；突然发怒；忽然喧噪起来
 发火；勃然大怒；动怒"
flash on,"na. 立刻心领神会；(服迷幻药后)感觉飘飘然
 立即领悟；打开闪光灯；突然亮起来"
flesh out,"na. 充实；使…具体化
 使有血有肉；使之更充实并具体化；充实完整"
flick through,"un. 浏览
 漫不经心地翻阅；突然地伸出；快速翻阅某物"
fool about,"na. 闲游
 游手好闲；闲荡；干蠢事"
fool around,"na. “fool about”的变体
 闲荡；鬼混；吊儿郎当"
far and wide,"na. 遍；到处
 广泛地；四面八方；普遍"
feel the pinch, 感到手头拮据；会说手头拮据；感到经济拮据
figure of speech,"n. 修辞格；修辞手段
 比喻；修辞硌；比喻说法"
fill the bill,"na. 符合要求；如约完成；满足需要
 凑合；出类拔萃；解决问题"
follow one's nose,"na. 笔直走；依本能行动
 一直朝前走；凭直觉行事；凭本能行事"
for good measure,"un. 作为额外增补
 另外；作为额外增添；作为额外添加"
for the time being,"na. 暂时；一时；临时；在目前
 暂且；眼下；now暂且，就现在来说"
from the bottom up,"na. 从一开始；彻底地
 自下而上；从下到上；由下而上"
get over,"na. 同“get across”
 克服；恢复；越过"
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
rid,vt. 使摆脱；使去掉
give in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
go against,"na. 违背；不利于
 反对；违反；不顺心"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
get ahead,"na. 获得成功；前进
 进步；超过；走在前面"
get back to,"un. 报复；回到
 再和……联系；回到某地；重新回到"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
 到达；收割；进站"
get into,"na. 进入；穿上；成癖；陷于
 陷入；卷入；养成"
get out,"na. 摆脱；走出；出去!
 离开；滚开；滚出去"
get out of,"na. 逐渐放弃(恶习)；避免；由…出来；拔出
 逃避；摆脱；离开"
give access to,"na. 接见；准许出入
 向…开放；得以进入；可以接近"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
birth,n. 出生；血统，出身；起源
give credit to sb. for ...,找不到解释
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
give priority to,"na. 把优先权让给…
 为主；优先考虑；认为优先"
priority,n. 优先；优先权； 优先次序；优先考虑的事
go along,"na. 前进
 进行；沿着……一直走；同意"
go out,"na. 出去；灭；辞职；下台
 熄灭；外出；过时"
go with,"na. 同…一致；跟…谈恋爱；带有；领会
 伴随；与…相配；跟…相配"
get going,"na. 采取行动；出去；使某人发怒
 开始；出发；动手"
get in the way,"na. 妨碍
 挡道；碍事；挡路"
get ready, 准备好；预备；做好准备
give one's name to, 发明（或发现、创建）以自己名字命名的事物
go astray,"na. 走错路；误入歧途
 走入歧途；迷途；迷路"
astray,"adj. 迷路的；离开正道的；不对头的
adv. 误入歧途地；迷途地；迷路"
grind on, 无聊乏味地继续着；令人厌烦地长时间持续著
grind,"n. 磨；苦工作
vt. 磨碎；磨快
vi. 磨碎；折磨"
get on in life,"na. 立身处世
 发迹；出人头地；飞黄腾达"
get out of the way,"v. 解决；除去
 让开；避开；闪开"
get the nod, 被选中；得到许可；被选择
nod,"n. 点头；打盹；摆动
vt. 点头；点头表示
vi. 点头；打盹；摆动"
good-for-nothing,"n. 废物，无用的人
adj. 无用的，无益的"
great men of genius,找不到解释
genius,n. 天才，天赋；精神
have nothing to do with,"na. 办完；和…断绝关系；已和…无关
 与……无关；和……毫无关系；与……毫无关系"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
 交出；让与；交给"
happen to sb.,找不到解释
happen to sth.,找不到解释
have a good time,"na. 过得愉快；很愉快
 玩得高兴；玩得开心；玩得愉快"
have an advantage over,"na. 胜过
 优于；比……有优势；比…处于有利地位"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
have connection with,"un. 联运车(船)；有贸易关系的商号；食物联系；连接
 与…有联系；与……有关系；和……有关系"
connection,n. 连接；关系；人脉；连接件
have difficulty, 有困难；做某事有困难；做…有困难
have difficulty in, 在……方面有困难；在某方面有困难；在……有困难
difficulty,n. 困难，困境
have faith in,"na. 相信
 信任；对……有信心；信仰"
faith,n. 信仰；信念；信任；忠实
have little use for,vt.不怎么需要
have no use for,"na. 不需要；不喜欢；讨厌
 用不着；对……无用；没有必要"
head into,"na. 开始
 着手；走向；陷入"
hear from,"na. 得到…的消息
 收到……的来信；收到……来信；收到…的信"
help sb. toward,找不到解释
help to,"un. 替某人或自己取食物、饮料等:
 有助于；促进"
hold on,"na. 拉住；继续；坚持下去；(打电话时)不挂断
 等一等；坚持住；等一下"
hold one's own,"un. 忍耐一下；逐渐成为；打了个平手；比得上
 坚守住；不被打败；支撑住"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
 阻挡；耽搁；拿起"
hundreds of thousands of,"na. 几十万
 无数；数十万的；贴个几十万"
have a clear grasp of,找不到解释
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
have the nerve to do,找不到解释
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
impinge on,"v. 影响到；冲击；打击
 侵犯；撞击；紧密接触"
impinge,"vi. 撞击；侵犯
vt. 撞击"
insist on,"v. 坚持；强调
 坚决要求；坚持要；坚持认为"
insist,"vi. 坚持，强调
vt. 坚持，强调"
intend to,"打算(做)..., 想要(做)..."
intend,"vi. 有打算
vt. 打算；想要；意指"
if only,"na. 只要；只要…就好了
 如果能再爱一次；要是……就好了；但愿"
ignorance about,找不到解释
in addition,"na. 加之
 另外；此外；又"
in and out,"na. 迂曲；忽隐忽现
 进进出出；里里外外；进进出出的"
in a sense,"na. 在某种意义上；有一点儿
 从某种意义上说；就某种意义来说；就某种意义而言"
in a word,"na. “in a few words”的变体
 总之；简言之；总而言之"
in brief,"na. 简单地说
 简言之；简而言之；总之"
in consequence,"na. 因此
 结果；因而；在…条件下"
in contrast,"adv. 相反
 相比之下；对比；成对比"
indifference to, 对……漠不关心；对……不关心；对…无动于衷
in effect,"na. 实际上；总之；有效
 事实上；生效；正在实行"
in face of,"v. 当面对
 纵然，即使；面临；不顾"
in fact,"na. 事实上；总之
 实际上；其实；实则"
in favor of,"na. 赞成；有利于；付与
 支持；赞同；为了支持"
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
in line with,"na. 和…成一直线；和…一致
 符合；按照；跟…一致"
in order to,"na. 为了；从而；以便
 目的；为了……起见；以求"
in particular,"na. 特别；一一
 尤其；特别地；特别是"
instead of,"prep. 代替；作为…的替换
 而不是；替代；取代"
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
in theory, 理论上；从理论上看；在理论上
in the wake of,"na. 在…后接踵而来；在后追随
 仿效；紧跟；随着"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
 及时；钟点战；时间规划局"
in trouble,"na. 为难；被捕；未婚怀孕
 有麻烦；处于困境中；遇到麻烦"
in turn,"na. 挨次
 依次；轮流；反过来"
in vain,"na. 无益地；轻慢地
 徒劳；徒然；白白地"
identify with,"v. 相同于
 认同；认为…等同于；与…认同"
inject into, 把……注入；给…添加；把…注入身体
integrate into, 融入到……中去；成为一体，融入；使并入
integrate with,"v. 结合起来
 使与…结合；结合在一起；与人交往"
interact with,"v. 与…相互作用
 与……互动；与……组合；和……交往"
interfere with,干扰，干涉；妨碍；触动或弄坏；乱动；与……抵触
invite to, 邀请参加；邀请去；你们邀请了谁来作报告
ill-informed,adj. 所知不多的；消息不灵通的
in action, 在行动中；在起作用；行动中的
in a form,找不到解释
in a manner,"na. 在某种意义上；多少
 以这样的方式；用一种方式；在某种程度上"
in any case,"na. 无论如何；横竖
 不管怎样；总之；在任何情况下"
in a position, 处于某个地位；胜任；能够做
in a ... situation,找不到解释
in a small way,"na. 小
 小规模地；少量地；简朴地"
in-built,adj. 内置的；与生俱来的；同时附有的
in business,"un. 没有必要；经商
 经营；在做买卖；在经商"
in cash,"un. 占…便宜；用现钱支付的
 用现金；有现钱；现金支付"
in combination with,"na. 和…共同
 与…结合；与……合作；与……联合起来"
in competition with, 与…竞争；在与…竞争之中；与……比赛
in contact with,"prep. 和…联系
 和……联系；接触；与…联系"
in danger,"na. 在危险中
 垂危；处于危险中；处于危险之中"
in depth,"na. 广泛
 深入地；全面深入地；深入的"
in despair,"na. 绝望地
 绝望的；失望；在绝望中"
in detail,"na. 详细
 详细地；详细的；详尽"
in dispute,"na. (在)争论中的
 在争议中；在争论中；处于争议中"
in exchange, 作为交换；作为对…的交换；为了换取
