alter,"vt. 改变，更改
vi. 改变；修改"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
jumper,n. 跳高运动员；跳跃者；工作服；妇女穿的套头外衣
keeper,n. 监护人；饲养员；看守人；管理人
learner,n. 初学者，学习者
peasant,n. 农民；乡下人
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
planner,n. 计划者，规划师
porter,n. 门房；服务员；行李搬运工；守门人
resident,"n. 居民；住院医生
adj. 居住的；定居的"
saint,找不到解释
scholar,n. 学者；奖学金获得者
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
skier,n. 滑雪的人
spokesman,n. 发言人；代言人
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
stylist,n. 设计师；文体学家
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
comparison,n. 比较；对照；比喻；比较关系
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
consequence,n. 结果；重要性；推论
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
measurement,n. 测量； 度量；尺寸；量度制
outcome,n. 结果，结局；成果
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
tendency,n. 倾向，趋势；癖好
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
ashtray,n. 烟灰缸
ax,"n. 斧头
vt. 削减；用斧修整；解雇"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
basin,n. 水池；流域；盆地；盆
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
blade,n. 叶片；刀片，刀锋；剑
boiler,n. 锅炉；烧水壶，热水器；盛热水器
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
booklet,n. 小册子
brandy,n. 白兰地酒
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
cardigan,n. 羊毛衫，开襟羊毛衫（等于cardigan sweater）
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
chess,n. 国际象棋，西洋棋
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
column,n. 纵队，列；专栏；圆柱，柱形物
container,n. 集装箱；容器
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
crossword,n. 纵横字谜；纵横填字谜（等于cross puzzle）
dessert,n. 餐后甜点；甜点心
doorbell,n. 门铃
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
guidebook,n. 旅行指南；指导手册
handbook,n. 手册；指南
heater,n. 加热器；加热工
heating,"n.  加热； 供暖；暖气设备
v.  加热（heat的现在分词）
adj. 加热的；供热的"
hood,"n. 头巾；覆盖；兜帽
vt. 罩上；以头巾覆盖"
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
machinery,n. 机械；机器；机构；机械装置
mast,"n. 桅杆；柱；橡树果实
vt. 在…上装桅杆"
mill,"vi. 乱转；被碾磨
n. 工厂；磨坊；磨粉机；制造厂；压榨机
vt. 搅拌；碾磨；磨细；使乱转"
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
monument,"n. 纪念碑；历史遗迹；不朽的作品
vt. 为…树碑"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
razor,"n. 剃刀
vt. 剃，用剃刀刮"
receiver,n. 接收器；接受者；收信机；收款员，接待者
rifle,"n. 步枪；来复枪
vt. 用步枪射击；抢夺；偷走"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
software,n. 软件
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
tablespoon,n. 大调羹，大汤匙；一餐匙的量
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
vessel,n. 船，舰； 脉管，血管；容器，器皿
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
endless,adj. 无止境的；连续的；环状的；漫无目的的
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
farthest,"adj. 最远的；最久的（far的最高级）
adv. 最远地（far的最高级）；最大程度地"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
latter,adj. 后者的；近来的；后面的；较后的
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
mutual,adj. 共同的；相互的，彼此的
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
partial,adj. 局部的；偏爱的；不公平的
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
digital,"n. 数字；键
adj. 数字的；手指的"
electronic,"adj. 电子的
n. 电子电路；电子器件"
literary,adj. 文学的；书面的；精通文学的
logical,adj. 合逻辑的，合理的；逻辑学的
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
technological,adj. 技术的；工艺的
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
beloved,"n. 心爱的人；亲爱的教友
adj. 心爱的；挚爱的"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
determined,"v. 决定；断定（determine的过去分词）
adj. 决定了的；坚决的"
emotional,adj. 情绪的；易激动的；感动人的
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
fearful,adj. 可怕的；担心的；严重的
gay,"n. 同性恋者
adj. 快乐的；放荡的；艳丽的"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
joyful,adj. 欢喜的；令人高兴的
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
satisfied,"v. 使满意（satisfy的过去式）
adj. 感到满意的"
shocked,"v. 使震动（shock的过去式）
adj. 震惊的；震撼的"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
aged,"v. 老化（age的过去式）；成熟；变老
adj. 年老的；…岁的；老年人特有的"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
dried,"v. 使干（原形是dry）
adj. 干燥的；弄干了的"
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
dusty,adj. 落满灰尘的
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
fallen,"v. 落下；跌倒（fall的过去分词）
adj. 堕落的；落下来的；陷落的"
flying,"n. 飞行
v. 飞（fly的ing形式）
adj. 飞行的"
fried,"adj. 油炸的，油煎的；喝醉了的
v. 油炸（fry的过去分词）"
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
injured,adj. 受伤的；受损害的
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
sticky,adj. 粘的；粘性的
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
worn,"v. 穿；磨损（wear的过去分词）；佩戴
adj. 疲倦的；用旧的"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
lifelong,adj. 终身的
occasional,adj. 偶然的；临时的；特殊场合的
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
repeated,"adj. 再三的，反复的
v. 重复；复述（repeat的过去分词）"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
thousandth,adj. 千分之一的；第一千的
thousandth,adj. 千分之一的；第一千的
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
yearly,"n. 年刊；年鉴
adj. 每年的
adv. 每年；一年一次"
amusing,"adj. 有趣的，好玩的；引人发笑的
v. 逗乐；打发；使…高兴（amuse的ing形式）"
apt,adj. 恰当的；有…倾向的；灵敏的
capable,adj. 能干的，能胜任的；有才华的
chosen,"adj. 挑选出来的，精选的
vt. 选择（choose的过去分词）"
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
concerned,"v. 关心（concern的过去时和过去分词）；与…有关
adj. 有关的；关心的"
convinced,"v. 使确信（convince的过去分词）；说服
adj. 确信的；深信的"
cutting,"n.  切断；剪辑；开凿
v. 削减（cut的ing形式）；采伐；切开
adj. 锋利的；严寒的；尖酸刻薄的"
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
engaged,"v. 保证；约定；同…订婚（engage的过去分词）
adj. 使用中的，忙碌的"
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
finishing,"n. 完成，结束；最后的修整
v. 完成（finish的ing形式）
adj. 最后的；终点的"
fitting,"n. 装配，装置；试穿，试衣
adj. 适合的，适宜的；相称的"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
greedy,adj. 贪婪的；贪吃的；渴望的
harmful,adj. 有害的；能造成损害的
hidden,"adj. 隐藏的
v. 隐藏，躲藏（hide的过去分词）"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
inevitable,adj. 必然的，不可避免的
involved,"v. 涉及；使参与；包含（involve的过去式和过去分词）
adj. 有关的；卷入的；复杂的"
knowing,"adj. 博学的；狡猾的；心照不宣的
n. 认知
v. 知道；认识；确信（know的ing形式）"
lifeless,adj. 无生命的；死气沉沉的；无趣味的
lively,adj. 活泼的；生动的；真实的；生气勃勃的
lying,"adj. 说谎的；躺着的，卧着的
n. 说谎；横卧"
magical,adj. 魔术的；有魔力的
miserable,adj. 悲惨的；痛苦的；卑鄙的
mixed,"adj. 混合的；形形色色的；弄糊涂的
v. 混合；弄混（mix的过去式和过去分词）"
obedient,adj. 顺从的，服从的；孝顺的
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
related,"v. 叙述（relate过去式）
adj. 有关系的，有关联的；讲述的，叙述的"
relaxed,"v. relax的过去式和过去分词
adj. 松懈的，放松的；悠闲的，自在的；不严格的，不拘束的"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
telling,"n. 命令；叙述；吐露真情
v. 告诉；讲述（tell的ing形式）；命令
adj. 有效的；生动的；显著的"
tidy,"n. 椅子的背罩
adj. 整齐的；相当大的
vi. 整理；收拾
vt. 整理；收拾；弄整齐"
united,adj. 一致的，统一的；团结的，和睦的
vain,adj. 徒劳的；自负的；无结果的；无用的
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
cultural,adj. 文化的；教养的
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
postal,"n. 明信片
adj. 邮政的；邮局的"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
retired,"adj. 退休的；退役的；幽闭的
v. 退休（retire的过去分词）"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
oily,adj. 油的；油质的；油滑的；油腔滑调的
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
salty,adj. 咸的；含盐的
tropical,adj. 热带的；热情的；酷热的
windy,adj. 多风的，有风的；腹胀的；吹牛的
acceptable,adj. 可接受的；合意的；可忍受的
accurate,adj. 精确的
apparent,adj. 显然的；表面上的
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
definite,adj. 一定的；确切的
detailed,"adj. 详细的，精细的；复杂的，详尽的
v. 详细说明（detail的过去分词）"
distinct,adj. 明显的；独特的；清楚的；有区别的
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
evident,adj. 明显的；明白的
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
healing,"n. 康复
adj. 能治愈的
v. 治疗（heal的现在分词）"
immense,adj. 巨大的，广大的；无边无际的；非常好的
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
intense,adj. 强烈的；紧张的；非常的；热情的
limited,"adj. 有限的
n. 高级快车"
marvelous,adj. 了不起的；非凡的；令人惊异的；不平常的
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
precise,adj. 精确的；明确的；严格的
pressing,"n. 压；冲压件
v. 压；按；熨烫衣物（press的ing形式）
adj. 紧迫的；迫切的；恳切的"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
thorough,adj. 彻底的；十分的；周密的
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
unclear,adj. 不清楚的；不易了解的
unnecessary,adj. 不必要的；多余的，无用的
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
upward,"adj. 向上的；上升的
adv. 向上"
formerly,adv. 以前；原来
frequently,adv. 频繁地，经常地；时常，屡次
newly,adv. 最近；重新；以新的方式
previously,adv. 以前；预先；仓促地
sooner,n. （美）抢先占有土地者（在政府开放西部前）
freely,adv. 自由地；免费地；大量地；慷慨地；直率地
poorly,"adj. 身体不舒服的；心情恶劣的
adv. 贫穷地；贫乏地；不充分地"
strictly,adv. 严格地；完全地；确实地
thickly,adv. 厚地；浓地
thoroughly,adv. 彻底地，完全地
warmly,adv. 热情地；温暖地；亲切地
automatically,"adj. 不经思索的
adv. 自动地；机械地；无意识地"
chiefly,adv. 主要地；首先
essentially,adv. 本质上；本来
honestly,adv. 真诚地；公正地
merrily,adv. 愉快地；高兴地（merry的副词形式）
namely,adv. 也就是；即是；换句话说
necessarily,adv. 必要地；必定地，必然地
normally,adv. 正常地；通常地，一般地
openly,adv. 公开地；公然地；坦率地
originally,adv. 最初，起初；本来
publicly,adv. 公然地；以公众名义
purely,adv. 纯粹地；仅仅，只不过；完全地；贞淑地；清洁地
readily,adv. 容易地；乐意地；无困难地
strangely,adv. 奇怪地；奇妙地；不可思议地
undoubtedly,adv. 确实地，毋庸置疑的
unfortunately,adv. 不幸地
accustom,vt. 使习惯于
restriction,n. 限制；约束；束缚
incredible,adj. 难以置信的，惊人的
devotion,n. 献身，奉献；忠诚；热爱
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
breathing,"n. 呼吸；瞬间；微风
adj. 呼吸的；逼真的
v. 呼吸（breathe的现在分词）"
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
constitute,vt. 组成，构成；建立；任命
prefecture,n. 县；管区，辖区；地方官的任期
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
Christianity,n. 基督教；基督教精神，基督教教义
under the influence of ...,找不到解释
unusually,adv. 非常；异乎寻常地；显著地
massive,adj. 大量的；巨大的，厚重的；魁伟的
darken,"vt. 使变暗；使模糊
vi. 变黑；变得模糊"
a flock of ...,找不到解释
derive,"vt. 源于；得自；获得
vi. 起源"
relaxation,n. 放松；缓和；消遣
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
pastime,n. 娱乐，消遣
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
without a trace, 寻人密探组；失踪现场；无影无踪地
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
drip,"n. 水滴，滴水声；静脉滴注；使人厌烦的人
vt. 使滴下；溢出，发出
vi. 滴下；充满；漏下"
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
comedian,n. 喜剧演员；滑稽人物
dwell,vi. 居住；存在于；细想某事
stylish,adj. 时髦的；现代风格的；潇洒的
situated,"v. 使位于；使处于（situate的过去分词）
adj. 位于…的；处于…境遇的"
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
boyhood,n. 童年，少年时代；男孩们
ensure,vt. 保证，确保；使安全
genuine,adj. 真实的，真正的；诚恳的
equality,n. 平等；相等； 等式
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
risky,adj. 危险的；冒险的；（作品等）有伤风化的
exceed,"vt. 超过；胜过
vi. 超过其他"
assignment,n. 分配；任务；作业；功课
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
mentally,adv. 精神上，智力上；心理上
animation,n. 活泼，生气；激励；卡通片绘制
currently,adv. 当前；一般地
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
trendy,"n. 追求时髦者；新潮人物
adj. 时髦的，流行的"
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
stubborn,adj. 顽固的；顽强的；难处理的
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
woodland,"n. 林地；森林
adj. 林地的；居住在森林中的"
terrific,adj. 极好的；极其的，非常的；可怕的
originate,"vt. 引起；创作
vi. 发源；发生；起航"
refugee,n. 难民，避难者；流亡者，逃亡者
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
oversleep,"vt. 使睡过头
vi. 睡过头"
consequently,adv. 因此；结果；所以
commonly,adv. 一般地；通常地；普通地
civilization,n. 文明；文化
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
myth,n. 神话；虚构的人，虚构的事
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
chaos,n. 混沌，混乱
confusion,n. 混淆，混乱；困惑
prevail,vi. 盛行，流行；战胜，获胜
hurricane,n. 飓风，暴风
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
throne,"n. 王座；君主；王权
vt. 使登王位
vi. 登上王座"
heir,n.  继承人；后嗣；嗣子
continue to do, 继续做某事；继续做事；继续做另一件事
effectively,adv. 有效地，生效地；有力地；实际上
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
aspirin,n. 阿司匹林（解热镇痛药）
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
toothache,n.  牙痛
recess,"n. 休息；休会；凹处
vt. 使凹进；把…放在隐蔽处
vi. 休息；休假"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
be in recess,找不到解释
uncertainty,n. 不确定，不可靠
steadily,adv. 稳定地；稳固地；有规则地
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
provoking,"v. 激怒；挑拨；诱发（provoke的ing形式）
adj. 刺激的；令人生气的，激怒人的"
evidently,adv. 显然，明显地；清楚地
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
consumption,n. 消费；消耗；肺痨
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
summertime,n. 夏季
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
reach out,"na. 伸(手)；伸手(拿…)；(手)伸向前；(草木向…)生长
 伸出；伸出手；伸出双手"
psychologist,n. 心理学家，心理学者
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
psychology,n. 心理学；心理状态
misfortune,n. 不幸；灾祸，灾难
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
brutal,adj. 残忍的；野蛮的，不讲理的
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
mischief,n. 恶作剧；伤害；顽皮；不和
be up to ...,找不到解释
acquaint,vt. 使熟悉；使认识
presidential,adj. 总统的；首长的；统辖的
candidate,n. 候选人，候补者；应试者
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
condemn,vt. 谴责；判刑，定罪；声讨
colonist,"n. 殖民者；殖民地居民；移民
adj. 殖民主义者的；奉行殖民主义的"
unexpectedly,adv. 出乎意料地，意外地
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
oral,"n. 口试
adj. 口头的，口述的"
presentation,n. 展示；描述，陈述；介绍；赠送
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
plainly,adv. 明白地；坦率地；平坦地；朴素地
convey,vt. 传达；运输；让与
boredom,n. 厌倦；令人厌烦的事物
rudely,adv. 无礼地；粗暴地
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
critic,n. 批评家，评论家；爱挑剔的人
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
colleague,n. 同事，同僚
distinctly,adv. 明显地；无疑地，确实地
embarrass,vt. 使局促不安；使困窘；阻碍
the rest of,"adj. 其余
 其余的；剩下的；剩余的"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
harmless,adj. 无害的；无恶意的
flatter,vt. 奉承；谄媚；使高兴
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
unpleasant,adj. 讨厌的；使人不愉快的
