abatement,n. 减少；消除；减轻
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
diplomatic,adj. 外交的；外交上的；老练的
director,n. 主任，主管；导演；人事助理
disastrous,adj. 灾难性的；损失惨重的；悲伤的
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
disclose,vt. 公开；揭露
discourage,vt. 阻止；使气馁
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
discreet,adj. 谨慎的；小心的
discrepancy,n. 不符；矛盾；相差
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
displace,vt. 取代；置换；转移；把…免职；排水
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
disposition,n. 处置； 性情； 部署；倾向
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
distinct,adj. 明显的；独特的；清楚的；有区别的
distinction,n. 区别；差别；特性；荣誉、勋章
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
distract,vt. 转移；分心
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
distribute,vt. 分配；散布；分开；把…分类
diverse,adj. 不同的；多种多样的；变化多的
diversion,n. 转移；消遣；分散注意力
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
dividend,n. 红利；股息； 被除数；奖金
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
domain,n. 领域；域名；产业；地产
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
durable,"n. 耐用品
adj. 耐用的，持久的"
duration,"n. 持续，持续的时间，期间
音长，音延"
dwell,vi. 居住；存在于；细想某事
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
edible,"n. 食品；食物
adj. 可食用的"
efficient,adj. 有效率的；有能力的；生效的
eject,vt. 喷射；驱逐，逐出
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
elementary,adj. 基本的；初级的； 元素的
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
eliminate,vt. 消除；排除
elite,n. 精英；精华；中坚分子
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
embody,vt. 体现，使具体化；具体表达
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
emerge,vi. 浮现；摆脱；暴露
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
emigrate,"vi. 移居；移居外国
vt. 移民"
eminent,adj. 杰出的；有名的；明显的
emit,vt. 发出，放射；发行；发表
emphasize,vt. 强调，着重
empirical,adj. 经验主义的，完全根据经验的；实证的
enclose,vt. 围绕；装入；放入封套
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
encyclopedia,n. 百科全书（亦是encyclopaedia）
endow,vt. 赋予；捐赠；天生具有
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
enforce,vt. 实施，执行；强迫，强制
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
enlighten,vt. 启发，启蒙；教导，开导；照耀
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
enquire,"vi. 询问；调查；问候（等于inquire）
vt. 询问；打听"
enrich,vt. 使充实；使肥沃；使富足
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
enterprise,n. 企业；事业；进取心；事业心
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
enthusiastic,adj. 热情的；热心的；狂热的
entitle,vt. 称做…；定名为…；给…称号；使…有权利
entity,n. 实体；存在；本质
entrepreneur,n. 企业家；承包人；主办者
envisage,vt. 正视，面对；想像
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
episode,n. 插曲；一段情节；插话；有趣的事件
epoch,n.  世；新纪元；新时代；时间上的一点
equality,n. 平等；相等； 等式
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
eternal,adj. 永恒的；不朽的
ethnic,adj. 种族的；人种的
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
evoke,vt. 引起，唤起；博得
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
exceed,"vt. 超过；胜过
vi. 超过其他"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
excessive,adj. 过多的，极度的；过分的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
exert,vt. 运用，发挥；施以影响
exotic,adj. 异国的；外来的；异国情调的
expectation,n. 期待；预期；指望
expel,vt. 驱逐；开除
expenditure,n. 支出，花费；经费，消费额
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
explicit,adj. 明确的；清楚的；直率的；详述的
expose,vt. 揭露，揭发；使曝光；显示
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
extinguish,vt. 熄灭；压制；偿清
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
fabric,n. 织物；布；组织；构造；建筑物
fabricate,vt. 制造；伪造；装配
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
facilitate,vt. 促进；帮助；使容易
faculty,n. 科，系；能力；全体教员
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
famine,n. 饥荒；饥饿，奇缺
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
feasible,adj. 可行的；可能的；可实行的
federation,n. 联合；联邦；联盟；联邦政府
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
feedback,n. 反馈；成果，资料；回复
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
fertile,adj. 富饶的，肥沃的；能生育的
feudal,adj. 封建制度的；领地的；世仇的
fiction,n. 小说；虚构，编造；谎言
fierce,adj. 凶猛的；猛烈的；暴躁的
finite,"n. 有限之物
adj. 有限的；限定的"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
flatter,vt. 奉承；谄媚；使高兴
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
flexible,adj. 灵活的；柔韧的；易弯曲的
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
foresee,vt. 预见；预知
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
formation,n. 形成；构造；编队
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
formula,n.  公式，准则；配方；婴儿食品
formulate,vt. 规划；用公式表示；明确地表达
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
fraction,n. 分数；部分；小部分；稍微
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
fragile,adj. 脆的；易碎的
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
fragrant,adj. 芳香的；愉快的
fraud,n. 欺骗；骗子；诡计
friction,n. 摩擦， 摩擦力
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
fruitful,adj. 富有成效的；多产的；果实结得多的
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
furnish,vt. 提供；供应；装备
futile,adj. 无用的；无效的；没有出息的；琐细的；不重要的
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
generalize,"vi. 形成概念
vt. 概括；推广；使...一般化"
genetic,adj. 遗传的；基因的；起源的
genius,n. 天才，天赋；精神
genuine,adj. 真实的，真正的；诚恳的
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
gigantic,adj. 巨大的，庞大的
glamor,"n. 魅力；魔法；迷人的美（等于glamour）
vt. 迷惑；使有魅力（等于glamour）"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
gloomy,adj. 黑暗的；沮丧的；阴郁的
glorious,adj. 光荣的；辉煌的；极好的
gorgeous,adj. 华丽的，灿烂的；极好的
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀"
graphic,adj. 形象的；图表的；绘画似的
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
gravity,n. 重力，地心引力；严重性；庄严
greedy,adj. 贪婪的；贪吃的；渴望的
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
grim,adj. 冷酷的；糟糕的；残忍的
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
guideline,"n. 指导方针
参考"
guilt,n. 犯罪，过失；内疚
habitat,n.  栖息地，产地
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
harassment,n. 骚扰；烦恼
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
headquarters,n. 总部；指挥部；司令部
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
heritage,n. 遗产；传统；继承物；继承权
hierarchy,n. 层级；等级制度
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
honorable,adj. 光荣的；可敬的；高贵的
hospitality,n. 好客；殷勤
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
humanity,n. 人类；人道；仁慈；人文学科
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
humid,adj. 潮湿的；湿润的；多湿气的
humiliate,vt. 羞辱；使…丢脸；耻辱
hypocrisy,n. 虚伪；伪善
hypothesis,n. 假设
hysterical,adj. 歇斯底里的；异常兴奋的
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
identification,n. 鉴定，识别；认同；身份证明
ideology,n. 意识形态；思想意识；观念学
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
ignorant,adj. 无知的；愚昧的
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
illusion,n. 幻觉，错觉；错误的观念或信仰
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
imitate,vt. 模仿，仿效；仿造，仿制
immense,adj. 巨大的，广大的；无边无际的；非常好的
immerse,vt. 沉浸；使陷入
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
impair,vt. 损害；削弱；减少
impart,vt. 给予（尤指抽象事物），传授；告知，透露
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
impetus,n. 动力；促进；冲力
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
implicit,adj. 含蓄的；暗示的；盲从的
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
incredible,adj. 难以置信的，惊人的
incur,vt. 招致，引发；蒙受
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
indicate,vt. 表明；指出；预示；象征
indignant,adj. 愤愤不平的；义愤的
indignation,n. 愤慨；愤怒；义愤
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
induce,vt. 诱导；引起；引诱；感应
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
inertia,n.  惯性；惰性，迟钝；不活动
inevitable,adj. 必然的，不可避免的
infect,vt. 感染，传染
infer,"vi. 推断；作出推论
vt. 推断；推论"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
infrastructure,n. 基础设施；公共建设；下部构造
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
inhibit,vt. 抑制；禁止
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
inject,vt. 注入；注射
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
innovation,n. 创新，革新；新方法
innumerable,adj. 无数的，数不清的
inquiry,n. 探究；调查；质询
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
insight,n. 洞察力；洞悉
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
install,vt. 安装；任命；安顿
instantaneous,adj. 瞬间的；即时的；猝发的
instinct,"n. 本能，直觉；天性
adj. 充满着的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
instrument,n. 仪器；工具；乐器；手段；器械
insulate,vt. 隔离，使孤立；使绝缘，使隔热
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
insurance,n. 保险；保险费；保险契约；赔偿金
intact,adj. 完整的；原封不动的；未受损伤的
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intelligible,adj. 可理解的；明了的；仅能用智力了解的
intense,adj. 强烈的；紧张的；非常的；热情的
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
intercourse,n. 性交；交往；交流
interface,"n. 界面；<计>接口；交界面
v. （使通过界面或接口）接合，连接；使联系
vi. 相互作用（或影响）；交流，交谈"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
intermittent,adj. 间歇的；断断续续的；间歇性
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
interpret,"vi. 解释；翻译
vt. 说明；口译"
intersection,n. 交叉；十字路口；交集；交叉点
intervene,vi. 干涉；调停；插入
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
intimidate,vt. 恐吓，威胁；胁迫
intricate,adj. 复杂的；错综的，缠结的
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
intrinsic,adj. 本质的，固有的
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
intuition,n. 直觉；直觉力；直觉的知识
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
inventory,n. 存货，存货清单；详细目录；财产清册
inverse,"n. 相反；倒转
adj. 相反的；倒转的
vt. 使倒转；使颠倒"
investment,n. 投资；投入；封锁
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
involve,vt. 包含；牵涉；使陷于；潜心于
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
judicial,adj. 公正的，明断的；法庭的；审判上的
junction,n. 连接，接合；交叉点；接合点
jury,"n.  陪审团；评判委员会
adj. 应急的"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
kidnap,vt. 绑架；诱拐；拐骗
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
lapse,n. (一时的) 走神，判断错误
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
latent,adj. 潜在的；潜伏的；隐藏的
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
latitude,n. 纬度；界限；活动范围
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
lavatory,n. 厕所，盥洗室
layoff,n. 活动停止期间；临时解雇；操作停止；失业期
layout,n. 布局；设计；安排；陈列
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
legacy,n. 遗赠，遗产
legislation,n. 立法；法律
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
linguistic,adj. 语言的；语言学的
literacy,n. 读写能力；精通文学
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
locality,n. 所在；位置；地点
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
lofty,adj. 高的；崇高的；高级的；高傲的
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
magistrate,n. 地方法官；文职官员；治安推事
magnetic,adj. 地磁的；有磁性的；有吸引力的
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
maintenance,n. 维护，维修；保持；生活费用
majesty,n. 威严；最高权威，王权；雄伟；权威
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
mammal,n.  哺乳动物
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
manual,"adj. 手工的；体力的
n. 手册，指南"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
manuscript,"n.  手稿；原稿
adj. 手写的"
