dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
penalty,n. 罚款，罚金；处罚
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
guilty,adj. 有罪的；内疚的
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
legal,adj. 法律的；合法的；法定的；依照法律的
valid,adj. 有效的；有根据的；合法的；正当的
responsible,adj. 负责的，可靠的；有责任的
duty,n. 责任； 关税；职务
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
victim,n. 受害人；牺牲品；牺牲者
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
alter,"vt. 改变，更改
vi. 改变；修改"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
acknowledge,vt. 承认；答谢；报偿；告知已收到
knowledge,n. 知识，学问；知道，认识；学科
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
forbid,vt. 禁止；不准；不允许；严禁
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
prohibit,vt. 阻止，禁止
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
avoid,vt. 避免；避开，躲避；消除
inevitable,adj. 必然的，不可避免的
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
committee,n. 委员会
obtain,"vi. 获得；流行
vt. 获得"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
acquire,vt. 获得；取得；学到；捕获
require,vt. 需要；要求；命令
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
request,"n. 请求；需要
vt. 要求，请求"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
maintain,vt. 维持；继续；维修；主张；供养
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
retain,vt. 保持；雇；记住
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
forget,"vi. 忘记
vt. 忘记；忽略"
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
apology,n. 道歉；谢罪；辩护；勉强的替代物
remind,vt. 提醒；使想起
memory,n. 记忆，记忆力；内存， 存储器；回忆
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
actual,adj. 真实的，实际的；现行的，目前的
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
practical,adj. 实际的；实用性的
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
discover,"vi. 发现
vt. 发现；发觉"
detect,vt. 察觉；发现；探测
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
woman,n. 妇女；女性；成年女子
toward,"prep. 向；对于；为了；接近
adj. 即将来到的，进行中的"
century,n. 世纪，百年；（板球）一百分
as,"conj. 因为；随着；虽然；依照；当…时
prep. 如同；当作；以…的身份
adv. 同样地；和…一样的"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
superstar,n. 超级明星，巨星；超级星体
fireplace,n. 壁炉
clothes,n. 衣服
wire,"n. 电线；金属丝；电报
vt. 拍电报；给…装电线
vi. 打电报"
chair,"n. 椅子；讲座；（会议的）主席位；大学教授的职位
vt. 担任（会议的）主席；使…入座；使就任要职"
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
tyre,"n.  轮胎；轮箍
vt. 装轮胎于"
restroom,n. 厕所；洗手间
birth,n. 出生；血统，出身；起源
grey,"n. 灰色
adj. 灰色的；灰白的
vt. 使变成灰色；使变老
vi. 变成灰色；老化"
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
white,"n. 白色；洁白；白种人
adj. 白色的；白种的；纯洁的"
motherland,n. 祖国；母国
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
soy,n. 大豆；酱油
soybean,n. 大豆；黄豆
forefather,n. 祖先；前辈
sale,n. 销售；出售；拍卖；销售额；廉价出售
alcohol,n. 酒精，乙醇
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
several,"adj. 几个的；各自的
pron. 几个；数个"
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
together,"adj. 新潮的；情绪稳定的，做事有效率的
adv. 一起；同时；相互；连续地；总共"
madam,n. 夫人；女士；鸨母
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
bookstore,n. 书店（等于bookshop）
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩"
ash,n. 灰；灰烬
shine,"vt. 照射，擦亮；把…的光投向；（口）通过擦拭使…变得有光泽或光
vi. 发出光；反射光，闪耀；出类拔萃，表现突出；露出；照耀；显露；出众
n. 光亮，光泽；好天气；擦亮；晴天；擦皮鞋；鬼把戏或诡计"
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻"
noodle,n. 面条；笨蛋
sunglasses,n. 太阳镜；凸透镜（sunglass的复数）
satellite,n. 卫星；人造卫星；随从；卫星国家
dense,adj. 稠密的；浓厚的；愚钝的
startup,n. 启动；开办
camera,n. 照相机；摄影机
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
comedy,n. 喜剧；喜剧性；有趣的事情
zero,"num. 零
n. 零点，零度"
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
might,"n. 力量；威力；势力
v. 可以；或许（may的过去式）；应该
aux. 可能；也许"
bathroom,n. 浴室；厕所；盥洗室
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
taxi,"n. 出租汽车
vt. 使滑行；用出租车送
vi. 乘出租车；滑行"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
handwriting,"n. 笔迹；书法；书写；手稿
v. 亲手写（handwrite的ing形式）"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
makeup,n. 化妆品；组成；补充；补考
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
middle,"adj. 中间的，中部的；中级的，中等的
n. 中间，中央；腰部"
greenhouse,"n. 温室
造成温室效应的"
soccer,n. 英式足球，足球
ever,adv. 永远；曾经；究竟
map,"vt. 映射；计划；绘制地图；确定基因在染色体中的位置
n. 地图；示意图；染色体图
vi. 基因被安置"
classmate,n. 同班同学
person,n. 人；身体；容貌，外表；人称
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
glove,"n. 手套
vt. 给…戴手套"
dear,"n. 亲爱的人
adj. 亲爱的；尊敬的；昂贵的
adv. 高价地；疼爱地
int. 哎呀"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
bike,"n. 自行车；脚踏车
vi. 骑自行车（或摩托车）"
series,n. 系列，连续； 串联；级数；丛书
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
honeymoon,"n. 蜜月；蜜月假期；（新生事物、新建关系等的）短暂的和谐时期
vi. 度蜜月"
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
seldom,adv. 很少，不常
button,"n. 按钮；纽扣
vt. 扣住；扣紧；在…上装纽扣
vi. 扣住；装有纽扣；扣上纽扣"
dry,"n. 干涸
adj. 干的；口渴的；枯燥无味的；禁酒的
vt. 把…弄干
vi. 变干"
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
thousand,"n. 一千；一千个；许许多多
adj. 成千的；无数的"
path,n. 道路；小路；轨道
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
upper,adj. 上面的，上部的；较高的
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
radio,"n. 收音机；无线电广播设备
vt. 用无线电发送
vi. 用无线电进行通信"
gate,"n. 大门；出入口；门道
vt. 给…装大门"
hallway,n. 走廊；门厅；玄关
else,"adj. 别的；其他的
adv. 其他；否则；另外"
teen,"n. 青少年（等于teenager）；愤怒；悲哀
adj. 十几岁的（等于teenaged）"
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
forehead,n. 额，前额
freedom,n. 自由，自主；直率
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
airport,n. 机场；航空站
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
loud,"adj. 大声的，高声的；不断的；喧吵的
adv. 大声地，高声地，响亮地"
kite,"n. 风筝
vi. 使用空头支票；像风筝一样飞；轻快地移动
vt. 骗钱；涂改（支票）"
dollar,n. 美元
angel,"n. 天使；守护神；善人
vt. 出钱支持"
tale,n. 故事；传说；叙述；流言蜚语
jelly,"n. 果冻；胶状物
vi. 成胶状
vt. 使结冻"
sugar,"n. 糖；食糖；甜言蜜语
vt. 加糖于；粉饰
vi. 形成糖"
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
bed,"n. 床；基础；河底， 海底
vt. 使睡觉；安置，嵌入；栽种
vi. 上床；分层"
studio,n. 工作室； 演播室；画室；电影制片厂
weapon,n. 武器，兵器
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
shall,aux. 应；会；将；必须
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
dictionary,n. 字典；词典
sheep,n. 羊，绵羊；胆小鬼
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
refrigerator,n. 冰箱，冷藏库
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
decade,n. 十年，十年期；十
horse,"n. 马；骑兵；脚架；海洛因
vt. 使骑马；系马于；捉弄
vi. 骑马；作弄人"
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
rock,"n. 岩石；摇滚乐；暗礁
vt. 摇动；使摇晃
vi. 摇动；摇晃"
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
peanut,n. 花生
sake,n. 目的；利益；理由；日本米酒
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
autumn,"n. 秋天；成熟期；渐衰期，凋落期
adj. 秋天的，秋季的"
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
stop,"n. 停止；车站；障碍；逗留
vi. 停止；中止；逗留；被塞住
vt. 停止；堵塞；断绝"
always,adv. 永远，一直；总是；常常
bungee,n. 蹦极；橡皮筋；松紧绳
blackboard,n. 黑板
hometown,n. 家乡；故乡
bake,"n. 烤；烘烤食品
vi. 烘面包；被烤干；受热
vt. 烤，烘焙"
what,"pron. 什么；多么；多少
adv. 到什么程度，在哪一方面
adj. 什么；多么；何等
int. 什么；多么"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
strange,"adj. 奇怪的；陌生的；外行的
adv. 奇怪地；陌生地，冷淡地"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
pathway,n. 路，道；途径，路径
raincoat,n. （美）雨衣
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
balcony,n. 阳台；包厢；戏院楼厅
river,n. 河，江
vivid,adj. 生动的；鲜明的；鲜艳的
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
play,"n. 游戏；比赛；剧本
vt. 游戏；扮演；演奏；播放；同…比赛
vi. 演奏；玩耍；上演；参加比赛"
why,"int. 哎呀！什么？
adv. 为什么"
wait,"n. 等待；等候
vi. 等待；耽搁；伺候用餐
vt. 等候；推迟；延缓"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
police,"n. 警察，警方；治安
adj. 警察的；有关警察的
vt. 监督；管辖；维持治安；为…配备警察"
newspaper,"n. 报纸
报社
旧报纸"
money,n. 钱；货币；财富
study,"n. 学习，研究；课题；书房；学问
vt. 学习；考虑；攻读；细察
vi. 研究；用功"
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
hundred,"num. 百；百个
n. 一百；许多
adj. 一百的；许多的"
museum,n. 博物馆
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
language,n. 语言；语言文字；表达能力
year,n. 年；年度；历年；年纪；一年的期间；某年级的学生
undersea,adj. 水下的；海面下的
Easter,n. 复活节
through,"prep. 通过；穿过；凭借
adj. 直达的；过境的；完结的
adv. 彻底；从头至尾"
or,conj. 或，或者；还是
tax,"n. 税金；重负
vt. 向…课税；使负重担"
fireman,n. 消防队员；救火队员；锅炉工
library,n. 图书馆，藏书室；文库
bus,"n. 公共汽车
乘公共汽车"
cafe,n. 咖啡馆；小餐馆
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
south,"n. 南方，南边；南部
adj. 南的，南方的
adv. 在南方，向南方"
broadcast,"n. 广播；播音；广播节目
adj. 广播的
vt. 播送，播放；（无线电或电视）广播；播撒（种子）
vi. 广播，播送；播放"
ticket,vt. 加标签于；指派；对…开出交通违规罚单
handbook,n. 手册；指南
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
waiter,n. 服务员，侍者
youth,n. 青年；青春；年轻；青少年时期
homesick,adj. 想家的；思乡病的
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
automobile,"n. 汽车
vt. 驾驶汽车
"
soon,adv. 快；不久，一会儿；立刻；宁愿
cola,n. 可乐；可乐树（其子含咖啡碱）
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
fact,n. 事实；实际；真相
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
wet,"n. 雨天；湿气
adj.  潮湿的；有雨的
vt. 弄湿
vi. 变湿"
sidewalk,n. 人行道
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
cinema,n. 电影；电影院；电影业，电影制作术
cute,adj. 可爱的；漂亮的；聪明的，伶俐的
card,"n. 卡片；纸牌；明信片
vt. 记于卡片上"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
umbrella,n. 雨伞；保护伞；庇护；伞形结构
boss,"n. 老板；首领；工头
vt. 指挥，调遣；当…的领导
vi. 当首领，发号施令"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
carrot,"n. 胡萝卜
诱饵"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
sportsman,n. 运动员；运动家；冒险家
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
bell,"n. 铃，钟；钟声，铃声；钟状物
vt. 装钟于，系铃于
vi. 鸣钟；成钟状鼓起"
after,"conj. 在……之后
prep. 在……之后
adj. 以后的
adv. 后来，以后"
rat,"n. 鼠；卑鄙小人，叛徒
vi. 捕鼠；背叛，告密"
moreover,adv. 而且；此外
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
software,n. 软件
leg,n. 腿；支柱
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
ant,n. 蚂蚁
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
moon,"n. 月亮；月球；月光；卫星
vi. 闲荡；出神
vt. 虚度"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
wolf,"n. 狼；色狼；残忍贪婪之人
vt. 大吃；狼吞虎咽地吃"
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
tiger,n. 老虎；凶暴的人
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
use,"n. 使用；用途；发挥
vt. 利用；耗费
vi. 使用，运用"
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
badminton,n. 羽毛球
cheerleader,n. 拉拉队队员
almost,adv. 差不多，几乎
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
gun,"n. 枪支；枪状物；持枪歹徒
vt. 向…开枪；开大油门
vi. 用枪射击；加大油门快速前进"
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
opera,n. 歌剧；歌剧院；歌剧团
adult,"n. 成年人
adj. 成年的；成熟的"
lazy,adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
