flashcard,n. 教学用的抽认卡
pronoun,n. 代词
adverb,"n. 副词
adj. 副词的"
preposition,n. 介词；前置词
conjunction,n. 结合； 连接词；同时发生
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
Jimmy,找不到解释
Sally,找不到解释
invent,vt. 发明；创造；虚构
calculator,n. 计算器；计算者
be used for,"v. 用于
 用来做；被用于；被用来"
scoop,"n. 勺；铲子；独家新闻；凹处
vt. 掘；舀取；抢先获得；搜集"
adjustable,adj. 可调节的
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
battery-operated,"电池供电的
用电池作电源的"
slipper,"n. 拖鞋
vt. 用拖鞋打"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
light bulb,"n. 灯泡
 电灯泡；右下灯泡；白炽灯"
microwave,n. 微波
microwave oven,"n. 微波炉
 微波烤箱；电子微波炉；微波加热炉"
crispy,adj. 酥脆的；易碎的；干净利落的；生气勃勃的
salty,adj. 咸的；含盐的
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
by mistake,"na. 因错误
 错误地；错误的；错拿某物"
chef,n. 厨师，大师傅
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
by accident,"na. 偶然 (opp. on purpose)
 偶然地；意外；不小心"
beverage,n. 饮料
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
legend,n. 传奇；说明；图例；刻印文字
Shen Nong,找不到解释
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
fall into,"na. 开始；分解(成几部分)；陷入(网等)中；变成
 落入；分成；陷于"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
mixture,n. 混合；混合物；混合剂
in this way,"na. 用这个办法
 这样；用这种方法；以这种方式"
pie,"n. 馅饼；饼图；爱说话的人
vt. 使杂乱"
flying,"n. 飞行
v. 飞（fly的ing形式）
adj. 飞行的"
bakery,n. 面包店
Bridgeport,找不到解释
Connecticut,n. 美国康乃迪克州（位于美国东北部）
throw,"n. 投掷；冒险
vt. 投；抛；掷
vi. 抛；投掷"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
lemon,"adj. 柠檬色的
n. 柠檬"
cookie,n. 饼干；小甜点
abacus,n. 算盘
binoculars,n.  双筒望远镜； 双筒镜， 双目镜
century,n. 世纪，百年；（板球）一百分
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
indoors,adv. 在室内，在户内
create,vt. 创造，创作；造成
wooden,adj. 木制的；僵硬的，呆板的
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
knock into,"na. 敲进
 撞到；撞上；撞在某人身上"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
basket,"n. 篮子；（篮球比赛的）得分；一篮之量；篮筐
vt. 装入篮"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
hoop,"n. 箍；铁环；呼呼声
vt. 加箍于；包围
vi. 发呼呼声"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
below,"prep. 在…下面
adv. 在下面，在较低处；在本页下面"
backboard,n. 篮板；背板；后挡板
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
towards,prep. 朝，向；对于；有助于
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
Berlin,n. 柏林
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
popularity,n. 普及，流行；名气；受大众欢迎
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
risen,"v. 升高；站起来；反抗（rise的过去分词）
adj. 升起的"
worldwide,"adj. 全世界的
adv. 在世界各地"
association,n. 协会，联盟，社团；联合；联想
equipment,n. 设备，装备；器材
Chelsea Lanmon,找不到解释
Jayce Coziar,找不到解释
Jamie Ellsworth,找不到解释
Julie Thompson,找不到解释
Crum,找不到解释
James Naismith, 奈史密斯；詹姆斯·奈史密斯；詹姆士奈史密斯
by the time,"na. 到…的时候
 到……时候；直到…时候；到…时候为止"
gotten,v. 得到；达到（get的过去分词）
oversleep,"vt. 使睡过头
vi. 睡过头"
go off,"na. 进行得 (well； badly)；(话等)冒出
 爆炸；离开；离去"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
run off,"na. 逃走；流出；(火车等)出轨；越轨
 跑掉；跑掉，逃掉；复印"
on time,"na. 按时；及时
 准时；正点；准时地"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
broke,"v. 打破，断掉（break的过去式）
adj. 一文不名的，破产的"
break down,"v. 分解；抛锚；分析；划分
 损坏；出故障；瓦解"
fool,"n. 傻瓜；愚人；受骗者
vt. 欺骗，愚弄
adj. 傻的
vi. 欺骗；开玩笑；戏弄"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
empty,"n. 空车；空的东西
adj. 空的；无意义的；无知的；徒劳的
vt. 使失去；使…成为空的
vi. 成为空的；流空"
show up,"na. 显眼；揭发；嘲笑；露面
 出现；出席；揭露"
exhausted,"v. 耗尽；用尽；使…精疲力尽（exhaust的过去式）
adj. 疲惫的；耗尽的"
April Fool's Day,找不到解释
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
Mars,n. 战神； 火星
convincing,"v. 使相信；使明白（convince的现在分词）
adj. 令人信服的；有说服力的"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
set off,"na. 分；分割；划开；区划
 出发；动身；引起"
authority,n. 权威；权力；当局
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
hoax,"n. 骗局；恶作剧
vt. 愚弄；欺骗"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
fled,v. 逃走（flee的过去分词）；消逝
spaghetti,n. 意大利式细面条
farmer,n. 农夫，农民
sell out,"na. 卖完；脱销；背叛；欺骗
 售完；卖光；出卖"
girlfriend,"n. 女朋友
女伴"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
get married,"na. 结婚
 有感情的结婚；成婚；完婚"
ending,n. 结局；结尾
embarrassing,adj. 使人尴尬的；令人为难的
a piece of,"det. 一块；一只
 一张；一片；一件"
Orson Welles, 奥逊·威尔斯；奥森威尔斯；韦尔斯
Halloween,n. 万圣节前夕（指十月三十一日夜晚）
Holland,n. 荷兰
Qomolangma, 珠穆朗玛峰；西藏珠穆朗玛峰；珠峰
restroom,n. 厕所；洗手间
shampoo,"n. 洗发；洗发精
vt. 洗发"
drugstore,n.  药房（常兼售化妆品、杂志等杂货）；（美）杂货店
cafe,n. 咖啡馆；小餐馆
department,n. 部；部门；系；科；局
department store,"n. 百货公司；大百货商店
 百货商场；百货店；百货大楼"
escalator,n. （美）自动扶梯；电动扶梯
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
uncrowded,adj. 宽敞的；不拥挤的
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
water slide,"un. 水上滑梯；水滑道
 水滑梯；大型水滑梯；水上乐园"
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
organized,"adj. 有组织的；安排有秩序的；做事有条理的
v. 组织（organize的过去分词）"
dress up,"na. 乔装；装扮；为…打扮；盛装打扮
 穿上盛装；装饰；精心打扮"
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
lend,"vt. 贷；增添，提供；把……借给
vi. 贷款"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
alright,"adj. 没问题的
adv. 好吧（等于all right）"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
hand in,"na. 交进
 上交；交上；递交"
Dean,找不到解释
Sunville,找不到解释
Killeen, 角叉菜
Valve,找不到解释
West,找不到解释
shake,"n. 摇动；哆嗦
vt. 动摇；摇动；震动；握手
vi. 动摇；摇动；发抖"
shake hands,"na. 握手
 握手言和；握握手；拉手"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
kiss,"vt. 吻；（风等）轻拂
vi. 接吻；（风等）轻触
n. 吻；轻拂"
Cali,找不到解释
Colombia,n. 哥伦比亚（拉丁美洲国家）
relaxed,"v. relax的过去式和过去分词
adj. 松懈的，放松的；悠闲的，自在的；不严格的，不拘束的"
drop by,"na. 随便访问一下
 顺便拜访；顺道拜访；非正式访问"
Lausanne,n. 洛桑市（瑞士一城市名）
Switzerland,n. 瑞士（欧洲国家）
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
after all,"na. 毕竟；终究；最后
 究竟；到底；终于"
towards,prep. 朝，向；对于；有助于
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
Peru,n. 秘鲁（拉丁美洲国家名）
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
napkin,n. 餐巾；餐巾纸；尿布
make noise, 制造噪音；发出噪音；发出声音
make a noise, （为某事而）吵吵嚷嚷，成为众人谈论或注意的对象，轰动一时; 闹
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
go out of one's way to do sth.,找不到解释
make sb. feel at home,找不到解释
manner,n. 方式；习惯；种类；规矩；风俗
table manners,"n. 餐桌规矩；进餐礼节
 餐桌礼仪；餐桌礼节；用餐的规矩"
be used to,"na. 惯于
 习惯于；适应；被用来"
get used to,"na. 变得习惯于
 习惯於；适应；习惯一件事情的过程"
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
elbow,"n. 肘部；弯头；扶手
vt. 推挤；用手肘推开"
gradually,adv. 逐步地；渐渐地
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
unfamiliar,adj. 不熟悉的；不常见的；没有经验的
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
chatline,n. 聊天热线；青少年热线交谈服务
online,"adj. 联机的；在线的
adv. 在线地"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
mostly,adv. 主要地；通常；多半地
abbreviation,n. 缩写；缩写词
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
homophone,n. 同音异形异义字
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
symbol,n. 象征；符号；标志
punctuation,n. 标点；标点符号
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
emotion,n. 情感；情绪
emoticon,n. 表情符号，表情图示
colon,n.  结肠；冒号（用于引语、说明、例证等之前）；科郎（哥斯达黎加货币单位）
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
beside,prep. 在旁边；与…相比；和…无关
e-mail,找不到解释
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
learn ... by oneself,找不到解释
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）"
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
normally,adv. 正常地；通常地，一般地
whose,pron. 谁的（疑问代词）
Teresa,找不到解释
Lopez,找不到解释
Marc,找不到解释
LeBlanc,找不到解释
lagoon,n.  泻湖；环礁湖；咸水湖
scientific,adj. 科学的，系统的
therefore,adv. 因此；所以
pink,"n. 粉红色；化身，典范；石竹花；头面人物
adj. 粉红的；比较激进的；石竹科的；脸色发红的
vt. 扎，刺，戳；使…变粉红色；使…面红耳赤
vi. 变粉红色"
lighting,"n. 照明设备，舞台灯光
v. 照明；点燃（light的ing形式）"
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
endangered,adj. 濒临灭绝的；有生命危险的
slogan,n. 标语；呐喊声
mysterious,adj. 神秘的；不可思议的；难解的
shiny,adj. 有光泽的，擦亮的；闪耀的；晴朗的；磨损的
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
product,n. 产品；结果； 乘积；作品
lookout,n. 监视；监视哨；警戒；守望者；担心的事；前景
beauty,n. 美；美丽；美人；美好的东西
toothpaste,n. 牙膏
stardust,n. 星团；宇宙尘；幻觉
advertising,"n. 广告；广告业；登广告
adj. 广告的；广告业的
v. 公告；为…做广告（advertise的ing形式）"
pros and cons,n. 利弊; 正反两方面; 优缺点; 赞成和反对的理由
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
aim at,"v. 目的在于
 瞄准；针对；旨在"
specifically,adv. 特别地；明确地
instance,"n. 实例；情况；建议
vt. 举...为例"
for instance,"na. 例如
 比如；举例说；举例来说"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
confusing,"v. 使迷惑；使混乱不清；使困窘（confuse的ing形式）
adj. 混乱的；混淆的；令人困惑的"
misleading,"adj. 令人误解的；引入歧途的
v. 给…带错路；把…引入歧途（mislead的ing形式）"
truth,n. 真理；事实；诚实；实质
at times,"na. 时时
 有时；有时候；时常"
to start with,"na. 首先
 第一；作为开始；一开始"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
home-made,adj. （本）国产的；自制的；家里做的
schoolbag,n. 书包
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
guilty,adj. 有罪的；内疚的
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
saying,"n. 话；谚语；言论
v. 说（say的ing形式）"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
bathing,"n. 沐浴；游泳；洗海水澡
v. 洗浴（bath的现在进行式）"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
bathing suit,"na. 泳装；“bathing clothes”的变体
 游泳衣；浴衣；游泳装"
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
water,"n. 水；海水；雨水；海域，大片的水
vt. 使湿；供以水；给…浇水
vi. 加水；流泪；流口水"
guidebook,n. 旅行指南；指导手册
clean out,"na. 扫除干净；(把钱)花完
 清除；打扫干净；清扫"
refrigerator,n. 冰箱，冷藏库
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
suitcase,n.  手提箱；衣箱
get back to sb.,找不到解释
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
wood,"n. 木材；木制品；树林
vt. 植林于；给…添加木柴
vi. 收集木材"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
anyway,adv. 无论如何，不管怎样；总之
award,"n. 奖品；判决
vt. 授予；判定"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
scene,n. 场面；情景；景象；事件
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
appear,vi. 出现；显得；似乎；出庭；登场
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
lead singer, 主唱；主歌手；主唱手
some day,"adv. 总有一天；有朝一日；将来
 某一天；某天；来日"
be off,"na. 去
 离开；滚蛋；走吧"
poem,n. 诗
cupboard,n. 碗柜；食橱
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出"
ancestor,n. 始祖，祖先；被继承人
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
homeland,n. 祖国；故乡
government,n. 政府；政体；管辖
so far,"na. 就是那么些；到现在为止；到目前(此地)为止；就此范围来说
 到目前为止；迄今为止；至今"
southern,"n. 南方人
adj. 南的；南方的"
villager,n. 乡村居民，村民
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
strongly,adv. 强有力地；坚强地；激烈地；气味浓地
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
look forward to,"na. 盼望
 期待；期望；期盼"
Crystal,找不到解释
Elise,找不到解释
Mariah,找不到解释
Carey,找不到解释
manatee,n. 海牛
furry,adj. 毛皮的；盖着毛皮的；似毛皮的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
playful,adj. 开玩笑的；幽默的；爱嬉戏的
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
gray,"n. 灰色；暗淡的光线
adj. 灰色的；苍白的；灰白头发的；阴郁的
vt. 使成灰色或灰白
vi. 成为灰色或灰白"
spotted,"v. 发现（spot的过去分词）；玷污；弄上污痕
adj. 有斑点的；斑纹的；弄污的"
kangaroo,n. 袋鼠
chimpanzee,n.  黑猩猩
cheetah,n.  猎豹
mangrove,n. 红树林
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
habitat,n.  栖息地，产地
aquatic,"n. 水上运动；水生植物或动物
adj. 水生的；水栖的；在水中或水面进行的"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
underwater,"n. 水下
adj. 在水中的；水面下的
adv. 在水下"
vegetation,n. 植被；植物，草木；呆板单调的生活
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
pound,"n. 英镑；重击，重击声；兽栏；拘留所
vt. 捣烂；敲打；监禁，拘留
vi. 连续重击，猛击"
polluted,"adj. 受污染的；被玷污的
v. 污染（pollute的过去式和过去分词）"
present progressive, 现在进行时；现在进行式；现在进行体
present simple, 一般现在时；现在简单式；以一般现在时
infinitive,"adj. 原形的，不定式的
n. 原形，原形动词，不定式"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
present perfect,"n. 现在完成时
 现在完成式；现在完成时态；现在完成时态用法"
suitable,adj. 适当的；相配的
tiny,adj. 微小的；很少的
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
disgusted,"adj. 厌恶的；厌烦的
v. 使恶心；使讨厌（disgust的过去分词）"
educate,"vt. 教育；培养；训练
vi. 教育；训练"
care for,"v. 照顾；关心；喜欢
 照料；关怀；照管"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
built,"v. 建造（build的过去分词）
adj. 身段优美的；…建成的"
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
can,"aux. 能； 能够； 可以； 可能
n. 罐头； （用金属或塑料制作的）容器； （马口铁或其他金属制作的）食品罐头
vt. 将…装入密封罐中保存"
recently,adv. 最近；新近
planet,n. 行星
society,n. 社会；交往；社团；社交界
president,n. 总统；董事长；校长；主席
inspiration,n. 灵感；鼓舞；吸气；妙计
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
Winterbourne,找不到解释
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
business,n. 商业； 生意； 交易；事情
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
certainly,adv. 当然；行（用于回答）；必定
proud,adj. 自豪的；得意的；自负的
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
national flag,"na. 国旗
 国旗性质；加拿大国旗；五星红旗"
