adolescence,n. 青春期
recharge,"vt. 再充电；再袭击；再控告
n. 再袭击；再装填
vi. 再袭击"
recoup,"vt. 收回；恢复；偿还；扣除
vi. 获得补偿；请求扣除"
refinance,vt. 再供…资金；再为…筹钱
repackage,vt. 重新包装；重新装配
residential,adj. 住宅的；与居住有关的
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
steeply,adv. 陡峭地；险峻地
unofficial,adj. 非官方的；非正式的
unreachable,adj. 不能得到的；不能达到的
upfront,"adj. 预付的；在前面的；正直的，坦率的
adv. 在前面；提前支付（工资）"
usage,n. 使用；用法；惯例
be eligible to,找不到解释
break even,"na. 扯平；不赔不赚；(球赛)不分胜负
 收支平衡；收支相抵；不赚不赔"
check out,"na. 开支票(提款)；(旅馆)付账后离开；及格；死
 退房；检查；结帐"
drive up,"un. 抬高；加速传动；起跨；开车赶到
 哄抬；驱车来到；投机商人起哄抬高"
fit on,"na. 试穿；装上；把…置于原处
 安装；把……置于原处；固定"
jump at,"v. 欣然接受
 立即抓住；急忙接受；欣然接收"
on the cutting edge of,找不到解释
put down,"na. 平定；贬低(的话)；(飞机的)降落
 放下；镇压；记下"
sign on,"na. 签字聘用；签字承认；作工作记录
 登录；签约雇用；签约受雇用"
abundant,adj. 丰富的；充裕的；盛产
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
bacterial,adj.  细菌的
biofuel,n. 生物燃料
biogas,n. 生物气，沼气
blade,n. 叶片；刀片，刀锋；剑
by-product,n. 副产品；附带产生的结果；意外收获
caisson,n.  沉箱；弹药箱；弹药车
calculator,n. 计算器；计算者
carrier,n.  载体；运送者；带菌者；货架
combustion,n. 燃烧，氧化；骚动
conventional,adj. 符合习俗的，传统的；常见的；惯例的
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
cylindrical,adj. 圆柱形的；圆柱体的
dam,"n.  水坝；障碍
v. 控制；筑坝"
decompose,"vi. 分解；腐烂
vt. 分解；使腐烂"
degradation,n. 退化；降格，降级；堕落
depletion,n. 消耗；损耗；放血
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
disposal,n. 处理；支配；清理；安排
dissipation,n. 浪费；消散； 损耗
emission,n. （光、热等的）发射，散发；喷射；发行
envisage,vt. 正视，面对；想像
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
exhaustible,adj. 可被用尽的；会枯竭的
exploitation,n. 开发，开采；利用；广告推销；剥削
facility,n. 设施；设备；容易；灵巧
far-reaching,adj. 深远的；广泛的；伸至远处的
geothermal,adj.  地热的； 地温的
hindrance,n. 障碍；妨碍；妨害；阻碍物
hydroelectric,adj. 水力发电的；水电治疗的
hydrogen,n.  氢
inevitably,adv. 不可避免地；必然地
inexhaustible,adj. 用不完的；不知疲倦的
insulating,"adj. 绝缘的；隔热的
v. 使绝缘（insulate的ing形式）；隔离"
kinetic,adj.  运动的；活跃的
landfill,n. 垃圾填埋地；垃圾堆
mill,"vi. 乱转；被碾磨
n. 工厂；磨坊；磨粉机；制造厂；压榨机
vt. 搅拌；碾磨；磨细；使乱转"
particulate,"n. 微粒
a. 微粒的"
perpetually,adv. 永恒地，持久地
pollutant,n. 污染物
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
propel,vt. 推进；驱使；激励；驱策
reliance,n. 信赖；信心；受信赖的人或物
replenish,vt. 补充，再装满；把…装满；给…添加燃料
reservoir,n. 水库；蓄水池
respiratory,adj. 呼吸的
rotational,adj. 转动的；回转的；轮流的
semiconductor,n.  半导体
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
suspended,adj. 悬浮的；暂停的，缓期的（宣判）
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
tighten,"vt. 变紧；使变紧
vi. 绷紧；变紧"
upsurge,"n. 高潮，高涨
vi. 涌起，高涨"
utilization,n. 利用，使用
utilize,vt. 利用
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧"
a way out, 摆脱的方法；出路；一条出路
all walks of life,"un. 各界；各行各业
 各界人士；各阶层人民；社会各界"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
be comparable to, 比得上；和…相当；犹如
convert ... into,找不到解释
heat up,"na. 加热；加剧；变得激烈
 变热；升温；给…加热"
in contrast to,"un. 相形之下；与…相比；与…相反；与…对比
 “与……相比；与。。。相反；与……形成对照"
in the absence of,"na. 无…时
 缺乏；缺乏…时；缺少"
serve as,"v. 用作；充当
 作为；担任；当作"
wind turbine,"n. 风力机；风力涡轮机；风力发电机
 风轮机；风力发电机组；风机"
abdication,n. 辞职；退位
aloft,"prep. 在…之上；在…顶上
adj. 在空中的；在高处的；在上面的
adv. 在空中；在高处；在上面"
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
astronaut,n. 宇航员，航天员；太空旅行者
atmospheric,adj. 大气的，大气层的
awfully,adv. 可怕地；十分；非常；很
booster,n. 升压机；支持者；扩爆器
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
cold-call,（向潜在的主顾打的）冷不防电话；冷不防上门推销
commercialize,vt. 使商业化；使商品化
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
convection,n.  对流；传送
cosmos,n. 宇宙；和谐；秩序；大波斯菊
credibility,n. 可信性；确实性
credulously,adv. 轻信地，易被瞒地
crystalline,adj. 透明的；水晶般的；水晶制的
democratize,"vt. 使民主化；使大众化
vi. 民主化；大众化"
diffract,"vt. 衍射；使…分散；碾碎
vi. 衍射"
disciplined,"adj. 遵守纪律的；受过训练的
v. 使有纪律（discipline的过去分词）；训导"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
Dutch,"n. 荷兰人；荷兰语
adj. 荷兰的；荷兰人的；荷兰语的
adv. 费用平摊地；各自付账地"
dynamism,n. 活力；动态；物力论；推动力；精神动力作用
effectively,adv. 有效地，生效地；有力地；实际上
engaged,"v. 保证；约定；同…订婚（engage的过去分词）
adj. 使用中的，忙碌的"
enterprise,n. 企业；事业；进取心；事业心
enthusiastic,adj. 热情的；热心的；狂热的
estimable,adj. 可估计的；可尊敬的；有价值的
expendable,"n. 消耗品
adj. 可消费的；排出的；不重复使用的；可牺牲的"
exploration,n. 探测；探究；踏勘
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
fleeting,"adj. 飞逝的；转瞬间的
v. 迅速移动（fleet的ing形式）"
fusion,n. 融合；熔化；熔接；融合物； 核聚变
fuzzy,adj. 模糊的；失真的；有绒毛的
giddy,"adj. 头晕的；眼花的；令人眼花缭乱的；轻浮的
vt. 使晕眩；使眼花缭乱
vi. 眼花；眩晕"
go-to, （指对象）寻求协助的，征询意见的
grasshopper,"n. 蚱蜢； 蝗虫；小型侦察机
vi. 见异思迁；蚱蜢似地跳"
homestead,n. 宅地；家园；田产
impressively,adv. 令人难忘地；感人地
induce,vt. 诱导；引起；引诱；感应
justification,n. 理由；辩护；认为有理，认为正当；释罪
microgravity,n.  微重力
mining,n. 矿业；采矿
mostly,adv. 主要地；通常；多半地
mothball,"n. 樟脑丸，卫生球
vt. 封存
adj. 后备的；封存的"
near-term,adj. 近期的
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
ouch,"n. 扣环
int. 哎哟（突然疼痛时发出的声音）"
pathogen,n. 病原体；病菌
perpetual,adj. 永久的；不断的；四季开花的；无期限的
peyote,n. 佩奥特掌（仙人掌的一种）
phoenix,n. 凤凰；死而复生的人
presidential,adj. 总统的；首长的；统辖的
protein,"n. 蛋白质；朊
adj. 蛋白质的"
publicist,n. 国际法学家；宣传人员；公法学家
reed,"n.  芦苇；簧片；牧笛；不可依靠的人
vt. 用芦苇盖；用芦苇装饰"
rep,"n. 棱纹平布；雷普（物体伦琴当量）
abbr. 代表（representative）；名声（reputation）"
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
skeptic,"n. 怀疑论者；怀疑者；无神论者
sceptic（英）"
specifically,adv. 特别地；明确地
stubborn,adj. 顽固的；顽强的；难处理的
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
titanium,n.  钛（金属元素）
tout,"vt. 兜售；招徕；刺探赛马情报
vi. 兜售；招徕顾客；拉选票
n. 侦查者；兜售者"
undertaking,"n. 事业；企业；保证；殡仪业
v. 同意；担任；许诺（undertake的ing形式）"
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
virus,n.  病毒；恶毒；毒害
wrangle,"n. 争论；吵嘴
vt. 争论；争吵；辩驳
vi. 争论；争吵"
zero-g, 零重力
a fraction of,"det. 一小部分
 一部分；片断；零点几"
acquit oneself,"na. 行动(勇敢)
 表现；完成；使作出某种表现"
at work,"na. 做着；在工作；起着作用；运转中
 在上班；起作用；在起作用"
by all accounts,"na. 据大家所说；“by/from all accounts”的变体
 据说；人人都说；根据大家所说"
cook's tour,找不到解释
distinguish oneself,"un. 杰出
 使杰出；使自己出名；使自己与众不同"
hang on,"v. 坚守；守住；坚持；支撑着
 坚持下去；抓紧不放；等一下"
in sb.'s blood,找不到解释
in the wake of,"na. 在…后接踵而来；在后追随
 仿效；紧跟；随着"
make one's case,证明自己有理
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
within reach,"un. 在…的手边；近在咫尺；附近；力所能及
 够得着；伸手可及；伸手可及的"
accelerated,"v. 加速；促进（accelerate的变形）
adj. 加速的；加快的"
amass,vt. 积聚，积累
assassination,n. 暗杀，行刺
atrophy,"n. 萎缩，萎缩症；发育停止
vi. 萎缩；虚脱"
attributable,adj. 可归于…的；可归属的
bloodstream,n.  血流，血液的流动
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
calcium,n.  钙
capillary,"n. 毛细管
adj. 毛细管的；毛状的"
circulatory,adj. 循环的
colonization,n. 殖民；殖民地化
congresswoman,n. （美）国会女议员；众议院女议员
cosmic,adj. 宇宙的（等于cosmical）
cumulative,adj. 累积的
deprivation,n. 剥夺；损失；免职；匮乏；贫困
distorted,"v. 扭曲（distort的过去式和过去分词）
adj. 歪曲的；受到曲解的"
eardrum,n. 鼓膜，耳膜；中耳
eventual,adj. 最后的，结果的；可能的；终于的
exotic,adj. 异国的；外来的；异国情调的
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
fatigued,adj. 疲乏的
follow-up,"n. 随访；跟进；后续行动
adj. 后续的；增补的"
fragile,adj. 脆的；易碎的
girdle,"n. 腰带；围绕物；妇女紧身褡
vt. 围绕；绕…而行；用带子捆扎"
heredity,n. 遗传，遗传性
high-profile,adj. 高调的；备受瞩目的；知名度高的
hypertension,n. 高血压；过度紧张
inbound,"n. 入站
adj. 入境的；归本国的；回内地的"
inflating,"n. 充气；加压
v. 膨胀；充气（inflate的ing形式）
adj. 膨胀的；充气的"
kilopascal,n. 千帕（斯卡）（压强单位）
lethal,"adj. 致命的，致死的
n. 致死因子"
Martian,"adj. 火星的
n. 火星人"
meteor,n. 流星； 大气现象
mouthful,n. 一口，满口
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
nifty,"adj. 俏皮的；漂亮的
n. 俏皮话"
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
oriented,"adj. 导向的；定向的；以…为方向的
v. 调整；使朝向（orient的过去分词）；确定…的方位"
outbound,adj. 出站；驶向外国的，向外去的
predispose,vt. 预先处置；使…偏向于
radiation,n. 辐射；发光；放射物
remainder,"n.  余数，残余；剩余物；其余的人
adj. 剩余的；吃剩的
vt. 廉价出售；削价出售
vi. 廉价出售；削价出售"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
renown,"n. 声誉；名望
vt. 使有声望"
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
saliva,n. 唾液；涎
serendipity,n. 意外发现珍奇事物的本领；有意外发现珍宝的运气
skeletal,adj. 骨骼的，像骨骼的；骸骨的；骨瘦如柴的
slate,"n. 板岩；石板；蓝色；石片
adj. 板岩的；石板色的
vt. 铺石板；严厉批评某人；计划"
swab,"n. 药签， 拭子；医用海绵，纱布；拖把，擦帚；无赖
vt. 打扫，擦拭；涂抹（药）于"
theoretical,adj. 理论的；理论上的；假设的；推理的
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
transporter,n. 运输机；输送者
unconsciousness,n. 无意识；意识不清； 人事不省
unprecedented,adj. 空前的；无前例的
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
all the same,"na. 依然；“all/just the same”的变体
 仍然；还是；尽管如此"
at ... intervals,找不到解释
carry out,"na. 实行；开展；完成
 执行；实现；贯彻"
during the course of,"un. 在…的过程中
 在…期间"
in all directions,"na. 四面八方
 向四面八方；各方面；朝四面八方"
in anticipation of,"na. 期待
 预期；期待着；预计到"
in orbit, 在轨；进入轨道；在轨道内
in the form of,"na. 用…的形式
 以…形式；以……的形式；以某种形式"
take sb.'s life,找不到解释
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
bombardment,n. 轰炸；炮击
brandish,"n. 挥舞
vt. 挥舞；炫耀"
busty,adj. 大胸脯的，胸部丰满的
Caucasian,"n. 白种人；高加索人
adj. 白种人的；高加索的"
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
chortle,"n. 得意的高笑
vi. 咯咯笑"
clench,"vt. 紧握；确定；把…敲弯
vi. 握紧；钉牢
n. 紧抓；敲环脚"
close-up,n.  特写镜头，特写；小传
conceit,"n. 自负；狂妄；幻想
vt. 幻想"
crease,"n. 折痕；折缝
vt. 弄皱；使起折痕
vi. 起皱"
defined,"v. 使明确；给...下定义；使...的轮廓分明（define的过去分词）
adj. 有定义的，确定的；清晰的，轮廓分明的"
disastrous,adj. 灾难性的；损失惨重的；悲伤的
dour,adj. 严厉的；顽强的；阴沉的；不爱讲话的
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
excise,"n. 消费税；货物税
vt. 切除；收税"
eyelid,n.  眼睑；眼皮
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
handiwork,n. 手工艺； 手工制品；行为后果
hang-up,n. 烦恼；大难题；障碍
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
high-rise,"n. 高楼；大厦
adj. 高楼的；超高层的"
horde,n. 一大群，群；游牧部落
illicit,adj. 违法的；不正当的
impeccably,"无可挑剔地
毋庸置疑地
无瑕疵地
完美地"
inject,vt. 注入；注射
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
licensed,"adj. 得到许可的（等于licenced）
v. 许可；批准（license的过去分词）"
liposuction,n. 脂肪吸除手术；抽脂术
malleable,adj. 可锻的；可塑的；有延展性的；易适应的
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
mutant,"n. 突变体；突变异种
adj. 突变的"
nip,"vt. 夹；捏；剪断；冻伤；阻止
vi. 夹；捏；刺骨；小饮
n. 夹；捏；刺骨；小饮"
noninvasive,adj. 非侵袭的；非侵害的
petite,"n. 妇女服装尺码的小号
adj. （女子）娇小的，小个子的"
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
plump,"n. 扑通声
adj. 圆胖的，丰满的；鼓起的
vt. 使丰满；使鼓起；突然放下
adv. 沉重地；突然地
vi. 变丰满；鼓起"
pretender,n. 冒牌者；妄求者；妄提要求者
prop,"vt. 支撑，支持，维持；使倚靠在某物上
n. 支柱，支撑物；支持者；道具；（橄榄球中的）支柱前锋"
puffy,adj. 一阵阵吹的；胀大的；喘气的
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
ramen,n. （方便）拉面，拉面
reapply,"vi. 再申请；再运用
vt. 再次应用；再次申请"
re-engineering,"n. 再设计；改建；重组工程
v. 再造；重建（re-engineer的ing形式）"
relentless,adj. 无情的；残酷的；不间断的
sag,"n. 松弛；下跌；漂流；萧条
vt. 使下垂
vi. 下垂；下降；萎靡"
saggy,adj. 下垂的；松懈的
scalpel,n. 解剖刀；外科手术刀
seethe,"n. 沸腾；感情等的迸发
vt. 使浸透；使煮沸
vi. 沸腾；冒泡；激动"
sever,"vt. 割断，断绝；分开；使分离
vi. 断；裂开；分离"
shady,adj. 成荫的；阴暗的；名声不好的
silicone,n. 硅树脂； 硅酮
slay,"vt. 杀害，杀死；使禁不住大笑
vi. 杀死，杀害；残杀"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
stylist,n. 设计师；文体学家
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
surgeon,n. 外科医生
surgical,"n. 外科手术；外科病房
adj. 外科的；手术上的"
tot,"n. 小孩；合计；少量
vt. 合计
vi. 总计"
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
unlicensed,adj. 没有执照的；未经当局许可的；无节制的
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
upmarket,"n. 高档商品
adj. 质优价高的；高级的
adv. 在高档之列
vt. 使进入高消费者市场
vi. 进入高消费者市场"
uptight,adj. 紧张的；拮据的；心情焦躁的；易怒的
vanity,n. 虚荣心；空虚；浮华；无价值的东西
wall-mounted,adj. 固定在墙上的；安装在墙上的
wield,vt. 使用；行使；挥舞
"any Tom, Dick, or Harry",随便什么人
be a hit, 大受欢迎
beauty is in the eye of the beholder, 情人眼里出西施；情人眼中出西施；观者眼中出美景
buy into,"na. (出钱)做股东
 买进；买入股票；相信"
chop up,"na. 切细；(地层等)突然露出；割断(历史等)；同“chop”
 切开；剁碎；切碎"
hard cash,"n. 现金（尤指硬币和纸币）
 现钱；硬钞票；辛苦钱"
hold back,"na. 阻止；踌躇；隐瞒；抑制
 退缩；控制；退缩不前"
in the quest for,找不到解释
judge a book by its cover, 以貌取人；以其封面判断此书的好坏
lag behind,"na. 落后
 滞后；落在后面；落后于"
rake in,"un. 赚大钱
 迅速取得；大量地敛集；大量敛集"
subject ... to,"v. 处于…中；使服从
 受制于；以……为条件；以……为准"
top dollar, 最高的可能价格；高价；最高价
agonizing,"adj. 苦恼的；痛苦难忍的
vt. 使极度痛苦；折磨（agonize的ing形式）
vi. 感到极度痛苦（agonize的ing形式）"
agony,n. 苦恼；极大的痛苦；临死的挣扎
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
cartilage,n. 软骨
chaplain,n. 牧师；专职教士
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
chiropractor,n. 脊椎指压治疗者；脊椎按摩师
circulation,n. 流通，传播；循环；发行量
collagen,n.  胶原，胶原质
conservative,找不到解释
consign,vt. 交付；托运；寄存；把…委托给
cushioning,"n. 缓冲器；软垫
v. 缓和（cushion的ing形式）"
debilitating,"adj. 使衰弱的
v. 使虚弱（debilitate的ing形式）"
degeneration,n. 退化； 变性；堕落；恶化
degenerative,adj. 退化的；变质的；退步的
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
elasticity,n. 弹性；弹力；灵活性
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
envision,vt. 想象；预想
epidural,adj. 硬脑膜外的；硬膜上的
gel,"n.  凝胶，胶体
vi. 胶化"
hospice,n. 收容所；旅客招待所；救济院
implantable,adj. 可移植的，可植入的
implantation,n. 移植；灌输；鼓吹
infrared,"n. 红外线
adj. 红外线的"
intervertebral,adj.  椎间的
invasive,adj. 侵略性的；攻击性的
ligament,n. 韧带；纽带，系带
lumbar,"n. 腰椎；腰神经；腰动脉
adj. 腰的；腰部的"
massage,"vt. 按摩；揉
n. 按摩；揉"
methadone,n. 美沙酮；美散痛
minimally,adv. 最低限度地；最低程度地
miraculous,adj. 不可思议的，奇迹的
mystify,vt. 使神秘化；使迷惑，使困惑
neurostimulator, 神经刺激器；神经电源发生器
neurosurgeon,n. 神经外科医生
odyssey,找不到解释
originate,"vt. 引起；创作
vi. 发源；发生；起航"
pacemaker,n.  起搏器；领跑者；标兵
painkiller,n. 止痛药
pat,"n. 轻拍；小块；轻拍声
adj. 恰好的；熟练的；合适的
vt. 轻拍
adv. 恰好；熟记地
vi. 轻拍"
physiotherapy,n. 物理疗法
prolonged,adj. 延长的；拖延的；持续很久的
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
regenerate,"vt. 使再生；革新
adj. 再生的；革新的
vi. 再生；革新"
regenerative,adj. 再生的，更生的；更新的
spinal,"n. 脊椎麻醉
adj. 脊髓的；脊柱的；针的；脊骨的；尖刺的"
spine,n. 脊柱，脊椎；刺；书脊
stenosis,n. （器官） 狭窄
sufferer,n. 患者；受害者
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
vertebra,n.  椎骨； 脊椎
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
in conjunction with,"na. 与…共同；连带着
 连同；与...协力；与之伴随的"
originate from,"v. 起源于；发源于
 来源于；来自；起源於"
rest assured,"na. 请放心
 放心的；放心吧；放心好了"
anemic,adj. 患贫血症的，贫血的
annually,adv. 每年；一年一次
assure,vt. 保证；担保；使确信；弄清楚
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
basically,adv. 主要地，基本上
bête noire,找不到解释
borough,n. 区；自治的市镇
chronological,adj. 按年代顺序排列的；依时间前后排列而记载的
clamshell,n. 蛤壳状挖泥器；蛤壳
collection,n. 采集，聚集； 征收；收藏品；募捐
colloquially,adv. 口语地；用通俗语
commissioner,n. 理事；委员；行政长官；总裁
compliance,n. 顺从，服从；承诺
compost,"n. 堆肥；混合物
vt. 堆肥；施堆肥"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
cost-effective,adj. 划算的；成本效益好的（等于cost-efficient）
covet,"vt. 垂涎；觊觎
vi. 垂涎；觊觎"
crucially,adv. 关键地；至关重要地
crumble,"n. 面包屑
vi. 崩溃；破碎，粉碎
vt. 崩溃；弄碎，粉碎"
deputy,"n. 代理人，代表
adj. 副的；代理的"
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
ecological,adj. 生态的，生态学的
enact,vt. 颁布；制定法律；扮演；发生
excessive,adj. 过多的，极度的；过分的
fiber,n. 纤维；光纤（等于fibre）
fluorescent,"n. 荧光；日光灯
adj. 荧光的；萤光的；发亮的"
framework,n. 框架，骨架；结构，构架
frustrated,"v. 挫败；阻挠（frustrate的过去式和过去分词形式）
adj. 失意的，挫败的；泄气的"
fungal,adj. 真菌的（等于fungous）
grizzled,"adj. 灰色的；头发斑白的
v. 变成灰色；发脾气（grizzle的过去分词）"
hallelujah,"n. 赞美上帝的颂歌
int. 哈利路亚"
hanger,n. 衣架；挂钩；绞刑执行者
hazardous,adj. 有危险的；冒险的；碰运气的
incinerator,n.  焚化炉，焚尸炉；焚烧装置
inedible,adj. 不能吃的
lather,"n. 肥皂泡；激动
vt. 涂以肥皂泡；使紧张；狠狠地打
vi. 起泡沫"
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
legislation,n. 立法；法律
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
mattress,n. 床垫；褥子；空气垫
mind-set,n. 心态；思想的形式
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
nonrenewable,adj. 不可再生的；不可更新的
nontoxic,adj. 无毒的
paradigm,n. 范例；词形变化表
pertinent,adj. 相关的，相干的；中肯的；切题的
polyethylene,n.  聚乙烯
polystyrene,n.  聚苯乙烯
recyclable,adj. 可回收利用的；可再循环的
regarding,prep. 关于，至于
resale,n. 转售；零售；再贩卖
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
sanitation,n.  环境卫生；卫生设备；下水道设施
septic,"n. 腐烂物
adj. 败血症的； 脓毒性的；腐败的"
simplicity,n. 朴素；简易；天真；愚蠢
single-use,一次性的
specter,n. 幽灵；妖怪；恐怖之物
sticky,adj. 粘的；粘性的
styrofoam,n. 泡沫聚苯乙烯
takeout,"n. 外卖；（桥牌中）示意搭档改叫的叫牌
adj. 外卖的，供顾客带出外吃的"
taxpayer,n. 纳税人；所收租金只够支付地产税的建筑物
tear-off,n. 可按虚线撕下的纸
terephthalate,n. 对苯二酸盐（或酯）
thermometer,n. 温度计；体温计
throwaway,"n. 废品；广告传单；脱口而出的话
adj. 抛弃型的；脱口而出的；漫不经心的"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
truckload,n. 一货车的容量；货车荷载
upstate,"n. 州的北部
adj. 北部的；偏僻的
adv. 在州的北部；在州内远离大城市地区"
water-soluble,adj. 可溶于水的
a boon to,找不到解释
at the very least,"na. 一点
 至少；起码；最低限度"
be fed up with,"na. 吃…吃得过饱；厌倦
 厌烦；受够了；讨厌"
conceive of,"na. 想出(计划)
 设想；想象；构想"
fold into,"v. 调入；拌入
 面糊和蛋白轻轻混合"
for the most part,"na. 在极大程度上；就绝大部分而言；多半；基本上
 大多；大多数情况下；在大多数情况下"
go it alone,"na. 单干
 只身单干；单枪匹马；单枪匹马地干"
in discussions with,找不到解释
in the event that, 如果；万一；假使
off the hook,"un. 齿轮脱开
 逃脱；摆脱困境；脱身"
pipe up,"na. 开始吹；开始说；装饰衣边；加快速度
 开始吹奏；增强；高声说话"
scale up,"v. 增加；扩大；提高
 向上扩展；按比例增加；纵向扩展"
shine a light on,找不到解释
