unofficial,adj. 非官方的；非正式的
far-reaching,adj. 深远的；广泛的；伸至远处的
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
buffer,"n.  缓冲区；缓冲器， 减震器
vt. 缓冲"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
differentiate,"vt. 区分，区别
vi. 区分，区别"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
fellowship,n. 团体；友谊；奖学金；研究员职位
fade,"n.  淡出； 淡入
adj. 平淡的；乏味的
vi. 褪色；凋谢；逐渐消失
vt. 使褪色"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
naked,adj. 裸体的；无装饰的；无证据的；直率的
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
woke,v. 唤醒；激发；使…复活（wake的过去式）
woken,v. 唤醒；觉醒（wake的过去分词）
awaken,"vt. 唤醒；唤起；使…意识到
vi. 觉醒；醒来；意识到"
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
domain,n. 领域；域名；产业；地产
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
mainstream,n. 主流
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
belong,vi. 属于，应归入；居住；适宜；应被放置
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
longevity,n. 长寿，长命；寿命
elongate,"adj. 伸长的；延长的
vi. 拉长；延长；伸长
vt. 拉长；使延长；使伸长"
prolong,vt. 延长；拖延
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
emphasize,vt. 强调，着重
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
cue,"n. 提示，暗示；线索
vt. 给…暗示"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
insecure,adj. 不安全的；不稳定的；不牢靠的
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
secular,"n. 修道院外的教士，(对宗教家而言的) 俗人
adj. 世俗的；长期的；现世的；不朽的"
procure,"vt. 获得，取得；导致
vi. 取得"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
duration,"n. 持续，持续的时间，期间
音长，音延"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
enrich,vt. 使充实；使肥沃；使富足
enable,vt. 使能够，使成为可能；授予权利或方法
disable,vt. 使失去能力；使残废；使无资格
pollute,vt. 污染；玷污；败坏
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
industry,n. 产业；工业；勤勉
terrestrial,"n. 陆地生物；地球上的人
adj. 地球的；陆地的， 陆生的；人间的"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
trivial,adj. 不重要的，琐碎的；琐细的
petty,adj. 琐碎的；小气的；小规模的
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
logical,adj. 合逻辑的，合理的；逻辑学的
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
lengthy,adj. 漫长的，冗长的；啰唆的
strength,n. 力量；力气；兵力；长处
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
bombard,"n. 射石炮
vt. 轰炸；炮击"
hoard,"n. 贮藏物
vt. 贮藏
vi. 积聚钱财；贮藏货物"
overload,"vt. 超载，超过负荷
n. 超载；负荷过多"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
taboo,"n. 禁忌；禁止
adj. 禁忌的；忌讳的
vt. 禁忌；禁止"
tycoon,n. 企业界大亨，巨头；巨富
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
barbarous,adj. 野蛮的；残暴的
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
intense,adj. 强烈的；紧张的；非常的；热情的
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
convey,vt. 传达；运输；让与
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
wealth,n. 财富；大量；富有
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
swarm,"n. 蜂群；一大群
vi. 挤满；成群浮游；云集
vt. 挤满；爬"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
lukewarm,adj. 冷淡的；微温的；不够热心的
parcel,"n. 包裹，小包
vt. 打包；捆扎"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
opportunity,n. 时机，机会
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
merely,adv. 仅仅，只不过；只是
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
borne,v. 忍受；负荷；结果实；生子女（bear的过去分词）
bearing,"n.  轴承；关系；方位；举止
v. 忍受（bear的ing形式）"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
carefree,adj. 无忧无虑的；不负责的
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
daring,"n. 胆量，勇气
v. 敢（dare的现在分词）
adj. 大胆的，勇敢的"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
impair,vt. 损害；削弱；减少
irreparable,adj. 不能挽回的；不能修补的
spearhead,"n. 矛头；先锋；先锋部队
vt. 带头；做先锋"
headquarters,n. 总部；指挥部；司令部
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
invariable,"n. 常数；不变的东西
adj. 不变的；常数的"
variety,n. 多样；种类；杂耍；变化，多样化
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
mutual,adj. 共同的；相互的，彼此的
mutable,adj. 易变的，不定的；性情不定的
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
engulf,vt. 吞没；吞食，狼吞虎咽
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
sap,"n.  树液；精力，元气；活力；坑道
vt. 使衰竭，使伤元气；挖掘以破坏基础
vi. 挖坑道"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
taper,"n. 细蜡烛，烛芯；逐渐变弱；锥形物
vi. 逐渐减少；逐渐变弱
vt. 逐渐减少；使成锥形"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
lapse,n. (一时的) 走神，判断错误
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
entire,adj. 全部的，整个的；全体的
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
enquire,"vi. 询问；调查；问候（等于inquire）
vt. 询问；打听"
require,vt. 需要；要求；命令
acquire,vt. 获得；取得；学到；捕获
acquaint,vt. 使熟悉；使认识
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
seem,vi. 似乎；像是；装作
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
redeem,vt. 赎回；挽回；兑换；履行；补偿；恢复
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
event,n. 事件，大事；项目；结果
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
protect,vt. 保护，防卫；警戒
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
gist,n. 主旨，要点；依据
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
everlasting,adj. 永恒的；接连不断的
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
forecasted,v.  预测；预见（forecast的过去分词）
forecasted,v.  预测；预见（forecast的过去分词）
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
learned,adj. 博学的；有学问的；学术上的
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
adapt,"vi. 适应
vt. 使适应；改编"
adept,"n. 内行；能手
adj. 熟练的；擅长…的"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
affection,n. 喜爱，感情；影响；感染
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
efficiency,n. 效率；效能；功效
effort,n. 努力；成就
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
refute,vt. 反驳，驳斥；驳倒
rebut,"n. 驳回；提出反证
vt. 反驳；揭露；拒绝
vi. 反驳；揭露"
repudiate,vt. 拒绝；否定；批判；与…断绝关系；拒付
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
degree,n. 程度，等级；度；学位；阶层
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
confer,"vt. 授予；给予
vi. 协商"
encourage,vt. 鼓励，怂恿；激励；支持
discourage,vt. 阻止；使气馁
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
expectation,n. 期待；预期；指望
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
rapport,n. 密切关系，交往；和谐一致
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
transit,"n. 运输；经过
vt. 运送
vi. 经过"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
prowl,"n. 徘徊，潜行；悄悄踱步
vt. 在…搜寻；潜行于
vi. 徘徊，潜行"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
crew,"n. 队，组；全体人员，全体船员
vt. 使当船员
vi. 一起工作"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
honesty,n. 诚实，正直
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
clamor,"n. 喧闹，叫嚷；大声的要求
vt. 喧嚷着说出
vi. 喧嚷，发喧嚣声；持续地喊声"
glamor,"n. 魅力；魔法；迷人的美（等于glamour）
vt. 迷惑；使有魅力（等于glamour）"
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
wield,vt. 使用；行使；挥舞
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
narrate,"vt. 叙述；给…作旁白
vi. 叙述；讲述"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
natal,adj. 出生的；诞生的；分娩的；出生地的
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
occur,vi. 发生；出现；存在
recur,vi. 复发；重现；采用；再来；循环；递归
incur,vt. 招致，引发；蒙受
concur,vi. 同意；一致；互助
odds,n. 几率；胜算；不平等；差别
additional,adj. 附加的，额外的
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
cope,"n. 长袍
vi. 处理；对付；竞争"
copious,adj. 丰富的；很多的；多产的
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
microscopic,adj. 微观的；用显微镜可见的
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
globalization,n. 全球化
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
reap,"vt. 收获，获得；收割
vi. 收割，收获"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
toxic,adj. 有毒的；中毒的
poisonous,adj. 有毒的；恶毒的；讨厌的
imprison,vt. 监禁；关押；使…下狱
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
introduce,vt. 介绍；引进；提出；采用
deduce,vt. 推论，推断；演绎出
induce,vt. 诱导；引起；引诱；感应
behavior,n. 行为，举止；态度；反应
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
enact,vt. 颁布；制定法律；扮演；发生
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
transact,"vt. 办理；处理
vi. 交易；谈判"
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
actual,adj. 真实的，实际的；现行的，目前的
tragedy,n. 悲剧；灾难；惨案
disaster,n. 灾难，灾祸；不幸
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
masterpiece,n. 杰作；绝无仅有的人
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
belief,n. 相信，信赖；信仰；教义
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
relief,n. 救济；减轻，解除；安慰；浮雕
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
assert,vt. 维护，坚持；断言；主张；声称
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
inertia,n.  惯性；惰性，迟钝；不活动
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
indebted,"adj. 负债的；感激的；受惠的
v. 使负债；使受恩惠（indebt的过去分词）"
heated,"adj. 热的；激昂的；激动的
v. 加热；使兴奋（heat的过去分词）"
hatred,n. 憎恨；怨恨；敌意
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
hardy,"n. 强壮的人；耐寒植物；方柄凿
adj. 坚强的；勇敢的；能吃苦耐劳的；鲁莽的"
hardship,n. 困苦；苦难；艰难险阻
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
worsen,"vi. 恶化；变得更坏；更坏
vt. 使恶化；使变得更坏"
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
rugged,adj. 崎岖的；坚固的；高低不平的；粗糙的
brag,"n. 吹牛，自夸
vi. 吹牛，自夸
vt. 吹牛，吹嘘"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
outrageous,adj. 粗暴的；可恶的；令人吃惊的
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
forage,"n. 饲料；草料；搜索
vi. 搜寻粮草；搜寻"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
avoid,vt. 避免；避开，躲避；消除
devoid,adj. 缺乏的；全无的
detailed,"adj. 详细的，精细的；复杂的，详尽的
v. 详细说明（detail的过去分词）"
frail,"n. 灯心草篓；少妇；少女
adj. 脆弱的；虚弱的"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
labyrinth,n. 迷宫； 迷路；难解的事物
maze,"n. 迷宫；迷惑；糊涂
vt. 迷失；使混乱；使困惑"
amaze,vt. 使吃惊
hazy,adj. 朦胧的；模糊的；有薄雾的
rosy,adj. 蔷薇色的，玫瑰红色的；美好的；乐观的；涨红脸的
vie,"vi. 争；竞争
vt. 使针锋相对；提出...来竞争；以...作较量"
vying,"v. 争夺（vie的现在分词）
adj. 竞争的"
via,prep. 渠道，通过；经由
viable,adj. 可行的；能养活的；能生育的
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
vivid,adj. 生动的；鲜明的；鲜艳的
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
march,n. 三月
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
emerge,vi. 浮现；摆脱；暴露
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
doctrine,n. 主义；学说；教义；信条
improvise,"vt. 即兴创作；即兴表演；临时做；临时提供
vi. 即兴创作；即兴表演；临时凑合"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
disprove,vt. 反驳，证明…是虚假的
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
rooted,"v. 生根（root的过去式）
adj. 根深蒂固的；生根的"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
