purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
desertification,n. （土壤）荒漠化；沙漠化（等于desertization）
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
fertile,adj. 富饶的，肥沃的；能生育的
fertiliser,n. 化肥（等于fertilizer）
fertilizer,n.  肥料；受精媒介物；促进发展者
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
trench,"n. 沟，沟渠；战壕；堑壕
vt. 掘沟
vi. 挖战壕；侵害"
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
drainage,n. 排水；排水系统；污水；排水面积
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
clay,"n.  粘土；泥土；肉体；似黏土的东西
vt. 用黏土处理"
ore,n. 矿；矿石
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
magnet,n. 磁铁； 磁体；磁石
magnetic,adj. 地磁的；有磁性的；有吸引力的
quartz,n. 石英
geology,n. 地质学；地质情况
geological,adj. 地质的，地质学的
geography,n. 地理；地形
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
peninsula,n. 半岛
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
interval,n. 间隔；间距；幕间休息
loop,"vi. 打环；翻筋斗
n. 环；圈；弯曲部分；翻筋斗
vt. 使成环；以环连结；使翻筋斗"
southwest,"n. 西南方
adj. 西南的
adv. 往西南；来自西南"
northeast,"adj. 东北的；向东北的；来自东北的
n. 东北
adv. 向东北；来自东北"
eastern,"n. 东方人；（美国）东部地区的人
adj. 东方的；朝东的；东洋的"
oriental,"adj. 东方的；东方人的
n. 东方人"
urban,adj. 城市的；住在都市的
suburb,n. 郊区；边缘
suburban,"n. 郊区居民
adj. 郊区的，城郊的；土气的；见闻不广的"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
outskirts,n. 市郊，郊区
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
adjacent,adj. 邻近的，毗连的
junction,n. 连接，接合；交叉点；接合点
junctional,adj.  结合的，接合的
juncture,n. 接缝；连接；接合
dense,adj. 稠密的；浓厚的；愚钝的
density,n. 密度
intensity,n. 强度；强烈； 亮度；紧张
intense,adj. 强烈的；紧张的；非常的；热情的
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
intensively,adv. 强烈地；集中地
emerge,vi. 浮现；摆脱；暴露
garbage,n. 垃圾；废物
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
dirt,n. 污垢，泥土；灰尘，尘土；下流话
dirty,"adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的
vt. 弄脏
vi. 变脏"
pollute,vt. 污染；玷污；败坏
pollutant,n. 污染物
pollution,"n. 污染
污染物"
toxic,adj. 有毒的；中毒的
poisonous,adj. 有毒的；恶毒的；讨厌的
petrol,n. （英）汽油
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
gasoline,n. 汽油
petroleum,n. 石油
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
escalation,n. 增加；扩大；逐步上升
escalator,n. （美）自动扶梯；电动扶梯
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
interesting,adj. 有趣的；引起兴趣的，令人关注的
interested,"v. 使…感兴趣（interest的过去分词）
adj. 感兴趣的；有权益的；有成见的"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
degenerative,adj. 退化的；变质的；退步的
destructive,adj. 破坏的；毁灭性的；有害的，消极的
destruct,"n. 自毁
为可自毁而设计的
vi. 自毁"
destroy,vt. 破坏；消灭；毁坏
deteriorate,"vi. 恶化，变坏
vt. 恶化"
deterioration,n. 恶化；退化；堕落
aggravate,vt. 加重；使恶化；激怒
gravity,n. 重力，地心引力；严重性；庄严
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
inevitable,adj. 必然的，不可避免的
evitable,adj. 可以避免的
ecology,n. 生态学；社会生态学
ecological,adj. 生态的，生态学的
ecologist,n. 生态学者
surroundings,n. 环境；周围的事物
environment,n. 环境，外界
organism,n. 有机体；生物体；微生物
organ,n.  器官；机构；风琴；管风琴；嗓音
vegetation,n. 植被；植物，草木；呆板单调的生活
vegetarian,"n. 素食者；食草动物
adj. 素食的"
plantation,"n. 栽植；殖民；大农场
adj. 适用于种植园或热带、亚热带国家的"
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
herb,n. 香草，药草
herbivore,n.  食草动物
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
meadow,n. 草地；牧场
lawn,n. 草地；草坪
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
bush,"n. 灌木；矮树丛
adj. 如灌木般长得低矮的；粗野的
vt. 以灌木装饰；使…精疲力竭
vi. 丛生；浓密地生长"
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
reed,"n.  芦苇；簧片；牧笛；不可依靠的人
vt. 用芦苇盖；用芦苇装饰"
straw,"n. 稻草；吸管；一文不值的东西
adj. 稻草的；无价值的"
strawberry,n. 草莓；草莓色
hay,"n. 干草
vt. 把晒干
vi. 割草晒干"
timber,n. 木材；木料
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
stem cell,"n. 干细胞
 造血干细胞；骨髓干细胞；干细胞研究"
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
pine,"n.  松树；凤梨，菠萝
adj. 松木的；似松的
vt. 为…悲哀；哀悼
vi. 渴望，痛苦；憔悴"
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
garlic,n. 大蒜；蒜头
heroin,n.  海洛因，吗啡
violet,"n. 紫罗兰；堇菜；羞怯的人
adj. 紫色的；紫罗兰色的"
violate,vt. 违反；侵犯，妨碍；亵渎
violent,adj. 暴力的；猛烈的
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
thorn,n. 刺； 荆棘
thorny,adj. 多刺的；痛苦的；令人苦恼的
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
fruitful,adj. 富有成效的；多产的；果实结得多的
vase,n. 瓶；花瓶
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
bundle,"n. 束；捆
vt. 捆
vi. 匆忙离开"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
rotten,"adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的
adv. 非常"
stale,"n. 尿
adj. 陈腐的；不新鲜的
vt. 使变旧；变得不新鲜
vi. 变陈旧；撒尿；变得不新鲜"
staleness,n. 腐败；陈腐；不新鲜；泄气
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
rake,"n. 耙子；斜度；钱耙；放荡的人，浪子
vt. 倾斜；搜索；掠过；用耙子耙
vi. 搜索；用耙子耙；掠过，擦过"
plough,"n. 犁；耕地（等于plow）
vi. 用犁耕田；开路
vt. 犁；耕"
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
gaze,"n. 凝视；注视
vi. 凝视；注视"
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
rear,"n. 后面；屁股；后方部队
adj. 后方的；后面的；背面的
vt. 培养；树立；栽种
adv. 向后；在后面
vi. 暴跳；高耸"
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
trimly,adv. 整齐地，整洁地
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
variation,n. 变化； 变异，变种
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
protect,vt. 保护，防卫；警戒
protection,n. 保护；防卫；护照
protective,adj. 防护的；关切保护的；保护贸易的
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
preservation,n. 保存，保留
undermine,vt. 破坏，渐渐破坏；挖掘地基
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
extinguish,vt. 熄灭；压制；偿清
extinguisher,n. 灭火器；消灭者；熄灭者
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
species,"n.  物种；种类
adj. 物种上的"
mammal,n.  哺乳动物
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
vertebrate,"adj. 脊椎动物的；有脊椎的
n. 脊椎动物"
beast,n. 野兽；畜生，人面兽心的人
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
predator,n.  捕食者； 食肉动物；掠夺者
exist,vi. 存在；生存；生活；继续存在
existence,n. 存在，实在；生存，生活；存在物，实在物
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
extinction,n. 灭绝；消失；消灭；废止
originate,"vt. 引起；创作
vi. 发源；发生；起航"
origin,n. 起源；原点；出身；开端
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
derive,"vt. 源于；得自；获得
vi. 起源"
ancestor,n. 始祖，祖先；被继承人
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
offspring,n. 后代，子孙；产物
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
breeding,"n. 繁殖；饲养；教养；再生
v. 生产；培育；使…繁殖（breed的ing形式）"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
immature,adj. 不成熟的；未成熟的；粗糙的
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
mating,"n. （动物等的）交配，交尾；配套；（植物等的）杂交
v. 交配；使配对；使紧密配合（mate的现在分词）"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
feather,"n. 羽毛
vt. 用羽毛装饰
vi. 长羽毛"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
claw,"n. 爪；螯，钳；爪形器具
vi. 用爪抓（或挖）
vt. 用爪抓（或挖）"
horn,"n. 喇叭，号角；角
vt. 装角于"
shell,"n. 壳，贝壳；炮弹；外形
vt. 剥皮；炮轰
vi. 剥落；设定命令行解释器的位置"
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
herdsman,n. 牧人
swarm,"n. 蜂群；一大群
vi. 挤满；成群浮游；云集
vt. 挤满；爬"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
habitat,n.  栖息地，产地
inhabitant,n. 居民；居住者
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
cellular,"n. 移动电话；单元
adj. 细胞的；多孔的；由细胞组成的"
cage,"n. 笼，兽笼；牢房，监狱
vt. 把…关进笼子；把…囚禁起来"
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
saddle,"n. 鞍，鞍状物；车座；拖具
vt. 承受；使负担；装以马鞍
vi. 跨上马鞍"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
zebra,"n.  斑马
adj. 有斑纹的"
zebra crossing,"n. 斑马线；人行横道
 人行横道线；人行道；斑马线过路处"
panda,n. 熊猫；猫熊
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
elephant,n. 象；大号图画纸
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
ox,n. 牛；公牛
oxen,n. 牛（ox的复数）
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
donkey,n. 驴子；傻瓜；顽固的人
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
sheepdog,n. 牧羊犬
wolf,"n. 狼；色狼；残忍贪婪之人
vt. 大吃；狼吞虎咽地吃"
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
hounder,n. hound的变形
bark,"n. 树皮；深青棕色；毛皮；皮肤；狗叫
vt. 狗叫；尖叫；剥皮"
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
mice,n. 老鼠（mouse的复数）
rat,"n. 鼠；卑鄙小人，叛徒
vi. 捕鼠；背叛，告密"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
pigeon,n. 鸽子
dove,"n. 鸽子；鸽派人士
v. 潜水（dive的过去式）"
owl,n. 猫头鹰；枭；惯于晚上活动的人
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
eagle,n. 鹰；鹰状标饰
eagle-eyed,adj. 有眼力的；目光锐利的
goose,"n. 鹅；鹅肉；傻瓜；雌鹅
vt. 突然加大油门；嘘骂"
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
cock,"n. 公鸡；龙头；雄鸟；头目
vt. 使竖起；使耸立；使朝上
vi. 翘起；竖起；大摇大摆"
insect,n. 昆虫；卑鄙的人
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
bookworm,n. 书呆子；蠹鱼，蛀书虫
parasite,n. 寄生虫；食客
parasitic,adj. 寄生的（等于parasitical）
spider,n. 蜘蛛；设圈套者；三脚架
mosquito,n. 蚊子
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
education,n. 教育；培养；教育学
educated,"v. 训练；教导；培育（educate的过去分词形式）
adj. 受过教育的；有教养的"
educational,adj. 教育的；有教育意义的
system,n. 制度，体制；系统；方法
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
framework,n. 框架，骨架；结构，构架
elementary,adj. 基本的；初级的； 元素的
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
primarily,adv. 首先；主要地，根本上
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
profound,adj. 深厚的；意义深远的；渊博的
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
learning,"n. 学习；学问
v. 学习（learn的现在分词）"
learned,adj. 博学的；有学问的；学术上的
acquire,vt. 获得；取得；学到；捕获
acquisition,n. 获得物，获得；收购
knowledge,n. 知识，学问；知道，认识；学科
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
academy,n. 学院；研究院；学会；专科院校
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
university,n. 大学；综合性大学；大学校舍
college,n. 大学；学院；学会
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
faculty,n. 科，系；能力；全体教员
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
majority,n. 多数；成年
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
platform,n. 平台；月台，站台；坛；讲台
degree,n. 程度，等级；度；学位；阶层
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
certification,n. 证明，保证；检定
certify,v. 证明；保证
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
qualification,n. 资格；条件；限制；赋予资格
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
permission,n. 允许，许可
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
semester,n. 学期；半年
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
registration,n. 登记；注册；挂号
candidate,n. 候选人，候补者；应试者
pupil,n. 学生； 瞳孔；未成年人
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
sophomore,"n. 大学二年级生；（美）有二年经验的人
adj. 二年级的；二年级学生的"
freshman,n. 新手，生手；大学一年级学生
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
postgraduate,"n. 研究生，研究所学生
adj. 大学毕业后的"
graduate student,"n. 研究生
 毕业生；硕士研究生；硕士生"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
PhD,找不到解释
headmaster,n. 校长
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
professor,n. 教授；教师；公开表示信仰的人
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
teaching assistant,"n. 教学助理
 助教；教师助理；受聘担任教学任务的研究生"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
tuition,n. 学费；讲授
scholar,n. 学者；奖学金获得者
scholarship,n. 奖学金；学识，学问
layman,n. 外行；门外汉；俗人；一般信徒
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
practise,"vi. 练习，实践；实施，实行；从事
vt. 练习，实践；实施，实行"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
practical,adj. 实际的；实用性的
practically,adv. 实际地；几乎；事实上
empirical,adj. 经验主义的，完全根据经验的；实证的
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
logical,adj. 合逻辑的，合理的；逻辑学的
logically,adv. 逻辑上；合乎逻辑
illogical,adj. 不合逻辑的；不合常理的
introduce,vt. 介绍；引进；提出；采用
introduction,n. 介绍；引进；采用；入门；传入
deduce,vt. 推论，推断；演绎出
deduction,n. 扣除，减除；推论；减除额
infer,"vi. 推断；作出推论
vt. 推断；推论"
inference,n. 推理；推论；推断
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
conclusion,n. 结论；结局；推论
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
researcher,n. 研究员
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
analogy,n. 类比；类推；类似
analogous,adj. 类似的； 同功的；可比拟的
campus,n. （大学）校园；大学，大学生活；校园内的草地
cafeteria,n. 自助餐厅
canteen,n. 食堂，小卖部；水壶
dorm,n. 宿舍（等于dormitory）
dormitory,"n. 宿舍，学生宿舍
adj. 住宅区的"
library,n. 图书馆，藏书室；文库
librarian,n. 图书馆员；图书管理员
laboratory,n. 实验室，研究室
lab,n. 实验室，研究室
test,"n. 试验；检验
vt. 试验；测试
vi. 试验；测试"
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
mentally,adv. 精神上，智力上；心理上
intelligent,adj. 智能的；聪明的；理解力强的
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
