economic,adj. 经济的，经济上的；经济学的
expertise,n. 专门知识；专门技术；专家的意见
accommodation,n. 住处，膳宿；调节；和解；预订铺位
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
assert,vt. 维护，坚持；断言；主张；声称
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
deteriorate,"vi. 恶化，变坏
vt. 恶化"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
fiction,n. 小说；虚构，编造；谎言
imitate,vt. 模仿，仿效；仿造，仿制
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
prolong,vt. 延长；拖延
rectify,vt. 改正；精馏；整流
sociology,n. 社会学；群体生态学
spontaneous,adj. 自发的；自然的；无意识的
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
transmission,n. 传动装置， 变速器；传递；传送；播送
casualty,n. 意外事故；伤亡人员；急诊室
commitment,n. 承诺，保证；委托；承担义务；献身
consultant,n. 顾问；咨询者；会诊医生
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
intuition,n. 直觉；直觉力；直觉的知识
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
poisonous,adj. 有毒的；恶毒的；讨厌的
testify,"vi. 作证；证明
vt. 证明，证实；作证"
relief,n. 救济；减轻，解除；安慰；浮雕
abnormal,adj. 反常的，不规则的；变态的
abundance,n. 充裕，丰富
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
bacteria,n.  细菌
confidential,adj. 机密的；表示信任的；获信任的
definition,n. 定义； 清晰度；解说
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
embarrass,vt. 使局促不安；使困窘；阻碍
exception,n. 例外；异议
exotic,adj. 异国的；外来的；异国情调的
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
furthermore,adv. 此外；而且
gloomy,adj. 黑暗的；沮丧的；阴郁的
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
loyalty,n. 忠诚；忠心；忠实；忠于…感情
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
morality,n. 道德；品行，美德
obstacle,n. 障碍，干扰；妨害物
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
restrain,vt. 抑制，控制；约束；制止
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
sake,n. 目的；利益；理由；日本米酒
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
constitute,vt. 组成，构成；建立；任命
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
faith,n. 信仰；信念；信任；忠实
furniture,n. 家具；设备；储藏物
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
intricate,adj. 复杂的；错综的，缠结的
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
optimistic,adj. 乐观的；乐观主义的
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
perception,n. 知觉； 感觉；看法；洞察力；获取
precedent,"n. 先例；前例
adj. 在前的；在先的"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
decisive,adj. 决定性的；果断的，坚定的
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
tolerant,adj. 宽容的；容忍的；有耐药力的
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
racial,adj. 种族的；人种的
thrive,vi. 繁荣，兴旺；茁壮成长
crucial,adj. 重要的；决定性的；定局的；决断的
toxic,adj. 有毒的；中毒的
tuition,n. 学费；讲授
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
silicon,n.  硅；硅元素
version,n. 版本；译文；倒转术
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
primarily,adv. 首先；主要地，根本上
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
deceive,v. 欺骗；行骗
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
harmony,n. 协调；和睦；融洽；调和
immerse,vt. 沉浸；使陷入
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
inhabitant,n. 居民；居住者
inspiration,n. 灵感；鼓舞；吸气；妙计
instantaneous,adj. 瞬间的；即时的；猝发的
manipulate,vt. 操纵；操作；巧妙地处理；篡改
occupation,n. 职业；占有；消遣；占有期
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
probability,n. 可能性；机率； 或然率
provoke,vt. 驱使；激怒；煽动；惹起
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
abolish,vt. 废除，废止；取消，革除
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
certify,v. 证明；保证
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
continual,adj. 持续不断的；频繁的
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
deviate,"vi. 脱离；越轨
vt. 使偏离"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
invariably,adv. 总是；不变地；一定地
logical,adj. 合逻辑的，合理的；逻辑学的
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
refute,vt. 反驳，驳斥；驳倒
repel,vt. 击退；抵制；使厌恶；使不愉快
sensation,n. 感觉；轰动；感动
carton,"n. 纸板箱；靶心白点
vt. 用盒包装
vi. 制作纸箱"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
tedious,adj. 沉闷的；冗长乏味的
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
texture,n. 质地；纹理；结构；本质，实质
athlete,n. 运动员，体育家；身强力壮的人
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
impair,vt. 损害；削弱；减少
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
perpetual,adj. 永久的；不断的；四季开花的；无期限的
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
weapon,n. 武器，兵器
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
acceptance,n. 接纳；赞同；容忍
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
adequate,adj. 充足的；适当的；胜任的
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
compel,vt. 强迫，迫使；强使发生
confident,adj. 自信的；确信的
considerate,adj. 体贴的；体谅的；考虑周到的
convenience,n. 便利；厕所；便利的事物
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
impart,vt. 给予（尤指抽象事物），传授；告知，透露
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
insect,n. 昆虫；卑鄙的人
integrity,n. 完整；正直；诚实；廉正
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
machinery,n. 机械；机器；机构；机械装置
misfortune,n. 不幸；灾祸，灾难
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
output,"n. 输出，输出量；产量；出产
vt. 输出"
portray,vt. 描绘；扮演
privilege,"n. 特权；优待
vt. 给与…特权；特免"
rational,"n. 有理数
adj. 合理的；理性的"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
sticky,adj. 粘的；粘性的
vivid,adj. 生动的；鲜明的；鲜艳的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
critic,n. 批评家，评论家；爱挑剔的人
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
enrich,vt. 使充实；使肥沃；使富足
inject,vt. 注入；注射
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
penalty,n. 罚款，罚金；处罚
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
chronic,adj. 慢性的；长期的；习惯性的
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
controversial,adj. 有争议的；有争论的
jeopardize,vt. 危害；使陷危地；使受危困
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
ridiculous,adj. 可笑的；荒谬的
spacious,adj. 宽敞的，广阔的；无边无际的
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
circulation,n. 流通，传播；循环；发行量
exceptional,"n. 超常的学生
adj. 异常的，例外的"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
civic,adj. 市的；公民的，市民的
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
arrangement,n. 布置；整理；准备
literary,adj. 文学的；书面的；精通文学的
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
readily,adv. 容易地；乐意地；无困难地
elite,n. 精英；精华；中坚分子
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
suppress,vt. 抑制；镇压；废止
accumulate,"vt. 积攒
vi. 累积；积聚"
acquaint,vt. 使熟悉；使认识
alleviate,vt. 减轻，缓和
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
ascertain,vt. 确定；查明；探知
authorize,vt. 批准，认可；授权给；委托代替
bewilder,vt. 使迷惑，使不知所措
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
conspicuous,adj. 显著的；显而易见的
contaminate,vt. 污染，弄脏
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
contradiction,n. 矛盾；否认；反驳
convention,n. 大会； 惯例； 约定； 协定；习俗
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
counterpart,n. 副本；配对物；极相似的人或物
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
denial,n. 否认；拒绝；节制；背弃
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
dwell,vi. 居住；存在于；细想某事
electrical,adj. 有关电的；电气科学的
evoke,vt. 引起，唤起；博得
expenditure,n. 支出，花费；经费，消费额
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
intervene,vi. 干涉；调停；插入
intrinsic,adj. 本质的，固有的
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
obedient,adj. 顺从的，服从的；孝顺的
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
orientation,n. 方向；定向；适应；情况介绍；向东方
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
pessimistic,adj. 悲观的，厌世的；悲观主义的
prominent,adj. 突出的，显著的；杰出的；卓越的
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
scrutiny,n. 详细审查；监视；细看；选票复查
speculate,"vi. 推测；投机；思索
vt. 推断"
subjective,adj. 主观的；个人的；自觉的
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
temperament,n. 气质，性情，性格；急躁
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
tendency,n. 倾向，趋势；癖好
territory,n. 领土，领域；范围；地域；版图
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
undergo,vt. 经历，经受；忍受
violate,vt. 违反；侵犯，妨碍；亵渎
worthwhile,adj. 值得做的，值得花时间的
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
aggravate,vt. 加重；使恶化；激怒
catastrophe,n. 大灾难；大祸；惨败
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
dedicate,vt. 致力；献身；题献
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
fantastic,"n. 古怪的人
adj. 奇异的；空想的；异想天开的；古怪的；极好的，极出色的；不可思议的；不切实际的"
foresee,vt. 预见；预知
liability,n. 责任；债务；倾向；可能性；不利因素
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
nutrition,n. 营养，营养学；营养品
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
enact,vt. 颁布；制定法律；扮演；发生
fiscal,adj. 会计的，财政的；国库的
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
trait,n. 特性，特点；品质；少许
vain,adj. 徒劳的；自负的；无结果的；无用的
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
genetic,adj. 遗传的；基因的；起源的
versus,prep. 对；与...相对；对抗
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
abundant,adj. 丰富的；充裕的；盛产
alcohol,n. 酒精，乙醇
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
council,n. 委员会；会议；理事会；地方议会；顾问班子
deduce,vt. 推论，推断；演绎出
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
expedition,n. 远征；探险队；迅速
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
illusion,n. 幻觉，错觉；错误的观念或信仰
infectious,adj. 传染的；传染性的；易传染的
installment,n. 安装；分期付款；部分；就职
manual,"adj. 手工的；体力的
n. 手册，指南"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
oxygen,n.  氧气， 氧
realistic,adj. 现实的；现实主义的；逼真的；实在论的
reap,"vt. 收获，获得；收割
vi. 收割，收获"
reception,n. 接待；接收；招待会；感受；反应
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
threshold,n. 入口；门槛；开始；极限；临界值
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
variation,n. 变化； 变异，变种
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
prestige,n. 威望，声望；声誉
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
seemingly,adv. 看来似乎；表面上看来
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
committee,n. 委员会
explicit,adj. 明确的；清楚的；直率的；详述的
faculty,n. 科，系；能力；全体教员
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
genuine,adj. 真实的，真正的；诚恳的
identification,n. 鉴定，识别；认同；身份证明
luggage,n. 行李；皮箱
precious,adj. 宝贵的；珍贵的；矫揉造作的
prosperous,adj. 繁荣的；兴旺的
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
ethnic,adj. 种族的；人种的
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
nominate,vt. 推荐；提名；任命；指定
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
passion,n. 激情；热情；酷爱；盛怒
dean,n. 院长；系主任；教务长；主持牧师
quota,n. 配额；定额；限额
forum,n. 论坛，讨论会；法庭；公开讨论的广场
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
analogy,n. 类比；类推；类似
ancestor,n. 始祖，祖先；被继承人
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
coincidence,n. 巧合；一致；同时发生
commence,v. 开始；着手；<英>获得学位
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
cumulative,adj. 累积的
cynical,adj. 愤世嫉俗的；冷嘲的
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
dentist,"n. 牙科医生
牙医诊所"
dilemma,n. 困境；进退两难；两刀论法
disastrous,adj. 灾难性的；损失惨重的；悲伤的
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
disturbance,n. 干扰；骚乱；忧虑
economical,adj. 经济的；节约的；合算的
eject,vt. 喷射；驱逐，逐出
endow,vt. 赋予；捐赠；天生具有
enlighten,vt. 启发，启蒙；教导，开导；照耀
eternal,adj. 永恒的；不朽的
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
formula,n.  公式，准则；配方；婴儿食品
fragile,adj. 脆的；易碎的
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
hospitality,n. 好客；殷勤
incidence,n. 发生率；影响； 入射；影响范围
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
junction,n. 连接，接合；交叉点；接合点
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
notify,vt. 通告，通知；公布
nourish,vt. 滋养；怀有；使健壮
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
presumably,adv. 大概；推测起来；可假定
prohibit,vt. 阻止，禁止
prone,adj. 俯卧的；有…倾向的，易于…的
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
