shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
dense,adj. 稠密的；浓厚的；愚钝的
symphony,n. 交响乐；谐声，和声
thorough,adj. 彻底的；十分的；周密的
unauthorized,adj. 非法的；未被授权的；独断的
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
wax,"n. 蜡；蜡状物
adj. 蜡制的；似蜡的
vt. 给…上蜡
vi. 月亮渐满；增大"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
enrich,vt. 使充实；使肥沃；使富足
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
ambiguous,adj. 模糊不清的；引起歧义的
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
bewilder,vt. 使迷惑，使不知所措
civilize,"vt. 使文明；教化；使开化
vi. 变得文明"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
annihilate,"vt. 歼灭；战胜；废止
vi. 湮灭；湮没"
climax,n. 高潮；顶点；层进法；极点
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
committee,n. 委员会
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
controversial,adj. 有争议的；有争论的
deprive,vt. 使丧失，剥夺
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
daybreak,n. 黎明；破晓
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
resultant,"n. 合力；结果； 生成物
adj. 结果的；合成的"
discretion,n. 自由裁量权；谨慎；判断力；判定；考虑周到
diversification,n. 多样化；变化
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
egoist,n. 自我主义者；利己主义者
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
excellence,n. 优秀；美德；长处
instinct,"n. 本能，直觉；天性
adj. 充满着的"
execute,vt. 实行；执行；处死
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
gait,"n. 步法，步态
vt. 训练步法"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
subsequent,adj. 后来的，随后的
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
greenish,adj. 呈绿色的
freshman,n. 新手，生手；大学一年级学生
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
illusion,n. 幻觉，错觉；错误的观念或信仰
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
inseparable,"n. 不可分离的事物；形影不离的朋友
adj.  不可分割的；不能分离的"
utterance,n. 表达；说话；说话方式
intricate,adj. 复杂的；错综的，缠结的
inventory,n. 存货，存货清单；详细目录；财产清册
staple,"n. 主要产品；订书钉；主题；主食
adj. 主要的，大宗生产的；常用的；纺织纤维的
vt. 把…分级；钉住"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
millennia,n. 千年期（millennium的复数）；一千年；千年庆典；太平盛世
carcass,n. （人或动物的）尸体；残骸；（除脏去头备食用的）畜体
livelihood,n. 生计，生活；营生
mundane,adj. 世俗的，平凡的；世界的，宇宙的
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
indefensible,adj. 站不住脚的；不能防卫的；无辩护余地的
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
infamous,adj. 声名狼藉的；无耻的；邪恶的；不名誉的
dwindle,"vi. 减少；变小
vt. 使缩小，使减少"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
miscellaneous,adj. 混杂的，各种各样的；多方面的，多才多艺的
rubble,n. 碎石，碎砖；粗石堆
scenario,n. 方案；情节；剧本；设想
enrollment,n. 登记；入伍
sexual,adj. 性的；性别的；有性的
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
denounce,vt. 谴责；告发；公然抨击；通告废除
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
subtlety,n. 微妙；敏锐；精明
assess,vt. 评定；估价；对…征税
beguile,vt. 欺骗；使着迷；轻松地消磨
swerve,"vt. 使转弯；使突然转向；使背离
vi. 转弯；突然转向；背离
n. 转向；偏离的程度"
thesis,n. 论文；论点
tolerant,adj. 宽容的；容忍的；有耐药力的
underestimate,"n. 低估
vt. 低估；看轻"
kidnap,vt. 绑架；诱拐；拐骗
languish,vi. 憔悴；凋萎；失去活力；苦思
veer,"n. 转向；方向的转变
vt. 使转向；使顺风；使船尾向上风
vi. 转向；改变观点；风向顺时针转；调转船尾向上风"
confidential,adj. 机密的；表示信任的；获信任的
wellbeing,n. 幸福；福利；安乐
symptom,n.  症状；征兆
tuition,n. 学费；讲授
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
pneumonia,n. 肺炎
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
cautious,adj. 谨慎的；十分小心的
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
beehive,n. 蜂窝；蜂箱
assert,vt. 维护，坚持；断言；主张；声称
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
acronym,n. 首字母缩略词
citizenship,n.  公民身份，公民资格；国籍；公民权
clinch,"n. 拥吻；钉牢
v. 扭住；敲弯；最终确定或解决"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
brochure,n. 手册，小册子
concept,n. 观念，概念
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
ablaze,"adj. 着火的；闪耀的；激昂的
adv. 着火；闪耀"
convention,n. 大会； 惯例； 约定； 协定；习俗
cramp,"n. 痉挛，绞痛； 铁夹钳
adj. 狭窄的；难解的；受限制的
vt. 束缚，限制；使…抽筋；以铁箍扣紧"
criterion,n. （批评判断的）标准；准则；规范；准据
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
deputy,"n. 代理人，代表
adj. 副的；代理的"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
diverse,adj. 不同的；多种多样的；变化多的
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
domesticate,"vt. 驯养；教化；引进
vi. 驯养；使习惯于或喜爱家务和家庭生活"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
dwell,vi. 居住；存在于；细想某事
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
exceedingly,adv. 非常；极其；极度地；极端
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
pastime,n. 娱乐，消遣
warfare,n. 战争；冲突
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
freshen,"vt. 使清新；使新鲜；使精神焕发
vi. 显得新鲜；减少咸味；精神饱满"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
shriek,"vt. 尖声发出
vi. 尖叫；促人注意
n. 尖声；尖锐的响声"
greed,n. 贪婪，贪心
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
impartial,adj. 公平的，公正的；不偏不倚的
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
infect,vt. 感染，传染
endow,vt. 赋予；捐赠；天生具有
insecurity,n. 不安全；不牢靠；无把握；心神不定
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
intimidate,vt. 恐吓，威胁；胁迫
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
lap,"n. 一圈；膝盖；下摆；山坳
vt. 使重叠；拍打；包围
vi. 重叠；轻拍；围住"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
logical,adj. 合逻辑的，合理的；逻辑学的
manageable,adj. 易管理的；易控制的；易办的
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
aura,n. 光环；气氛；（中风等的）预兆；气味
bibliography,n. 参考书目；文献目录
milestone,n. 里程碑，划时代的事件
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
multitude,n. 群众；多数
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
opium,"n. 鸦片；麻醉剂
adj. 鸦片的"
ordeal,n. 折磨；严酷的考验；痛苦的经验
trustworthy,adj. 可靠的；可信赖的
pistol,"n. 手枪；信号枪
vt. 用手枪射击"
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
proficiency,n. 精通，熟练
publicize,vt. 宣传；公布
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
reflective,adj. 反射的；反映的；沉思的
dioxide,n. 二氧化物
resolution,n.  分辨率；决议；解决；决心
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
sewage,n. 污水；下水道；污物
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
specimen,n. 样品，样本；标本
mislead,vt. 误导；带错
stampede,"n. 惊跑；人群的蜂拥；军队溃败
vt. 使…惊逃；抢占
vi. 蜂拥；逃窜"
succession,n. 连续；继位；继承权； 演替
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
undergo,vt. 经历，经受；忍受
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
tolerate,vt. 忍受；默许；宽恕
wharf,"n. 码头；停泊处
vt. 使靠码头；为…建码头；把货卸在码头上
vi. 靠码头"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
groundless,adj. 无理由的
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
bearable,adj. 可忍受的；支持得住的
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
auspicious,adj. 吉兆的，吉利的；幸运的
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
communal,adj. 公共的；公社的
acquire,vt. 获得；取得；学到；捕获
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
advent,n. 到来；出现；基督降临；基督降临节
derail,"n. 脱轨； 脱轨器
vt. 使出轨
vi. 出轨"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
daunting,adj. 使人畏缩的；使人气馁的；令人怯步的
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
declassify,vt. 从机密表删除；撤销文件等的机密级
column,n. 纵队，列；专栏；圆柱，柱形物
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
elasticity,n. 弹性；弹力；灵活性
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
endanger,vt. 危及；使遭到危险
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
ensure,vt. 保证，确保；使安全
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
exceed,"vt. 超过；胜过
vi. 超过其他"
flammable,"n. 易燃物
adj. 易燃的；可燃的；可燃性的"
exemplify,vt. 例证；例示
falter,"n. 踌躇；支吾；颤抖
vi. 支吾；蹒跚地走
vt. 支吾地说；结巴地讲出"
topple,"vt. 推翻；颠覆；使倒塌
vi. 倾倒；倒塌；摇摇欲坠"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
graze,"n. 放牧；轻擦
vi. 吃草；擦伤
vt. 放牧；擦伤"
hitherto,adv. 迄今；至今
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
dominance,n. 优势；统治；支配
confirm,vt. 确认；确定；证实；批准；使巩固
impede,vt. 阻碍；妨碍；阻止
anonymous,adj. 匿名的，无名的；无个性特征的
indebted,"adj. 负债的；感激的；受惠的
v. 使负债；使受恩惠（indebt的过去分词）"
underlie,vt. 成为……的基础；位于……之下
waterproof,"n. 防水材料
vt. 使防水
adj. 防水的，不透水的"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
lapse,n. (一时的) 走神，判断错误
instruction,n. 指令，命令；指示；教导；用法说明
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
intervention,n. 介入；调停；妨碍
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
demolish,vt. 拆除；破坏；毁坏；推翻；驳倒
linguist,"n. 语言学家
学多种外语的人"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
overweight,"adj. 超重的；过重的
vt. 使负担过重
n. 超重"
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
nominate,vt. 推荐；提名；任命；指定
omnipresent,adj. 无所不在的
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
organism,n. 有机体；生物体；微生物
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
investigate,v. 调查；研究
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
resolute,adj. 坚决的；果断的
publicity,n. 宣传，宣扬；公开；广告；注意
quota,n. 配额；定额；限额
redundancy,n.  冗余（等于redundance）；裁员；人浮于事
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
rejuvenate,"vt. 使年轻；使更新；使恢复精神；使复原
vi. 复原；变年轻"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
rover,"n. 漫游者；流浪者；漂泊者
n. 罗孚（汽车品牌）"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
abnormal,adj. 反常的，不规则的；变态的
bronze,"n. 青铜；古铜色；青铜制品
adj. 青铜色的；青铜制的
vt. 镀青铜于
vi. 变成青铜色，被晒黑"
ceaselessly,adv. 不停地
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
cite,vt. 引用；传讯；想起；表彰
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
cling,vi. 坚持，墨守；紧贴；附着
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
successive,adj. 连续的；继承的；依次的；接替的
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
verify,vt. 核实；查证
whereas,conj. 然而；鉴于；反之
thereby,adv. 从而，因此；在那附近；在那方面
acquaintance,n. 熟人；相识；了解；知道
circumstance,n. 环境，情况；事件；境遇
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
austere,adj. 严峻的；简朴的；苦行的；无装饰的
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
ashore,"adj. 在岸上的；在陆上的
adv. 在岸上；向岸"
celebrity,n. 名人；名声
clinic,n. 临床；诊所
adversary,n. 对手；敌手
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
community,n. 社区； 群落；共同体；团体
abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
cyberspace,n. 网络空间；赛博空间
demise,"n. 死亡，终止；转让；传位
vt. 遗赠；禅让"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
derive,"vt. 源于；得自；获得
vi. 起源"
infer,"vi. 推断；作出推论
vt. 推断；推论"
disgraceful,adj. 不名誉的，可耻的
exalt,"vt. 提升；提拔；赞扬；使得意
vi. 使人得意"
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
extol,vt. 颂扬；赞美；赞颂
familiarize,vt. 使熟悉
forbid,vt. 禁止；不准；不允许；严禁
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
identification,n. 鉴定，识别；认同；身份证明
district,n. 区域；地方；行政区
freezing,adj. 冰冻的；严寒的；冷冻用的
gravel,"n. 碎石；砂砾
vt. 用碎石铺；使船搁浅在沙滩上；使困惑"
flake,"n. 小薄片；火花
vt. 使…成薄片；将…剥落
vi. 剥落；成片状剥落"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
innovative,adj. 革新的，创新的；新颖的；有创新精神的
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
incurable,"n. 患不治之症者，不能治愈的人
adj. 不能治愈的；无可救药的"
gambler,n. 赌徒；投机商人
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
massive,adj. 大量的；巨大的，厚重的；魁伟的
longevity,n. 长寿，长命；寿命
investigator,n. 研究者；调查者；侦查员
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
laser,n. 激光
antenna,n.  天线； 触角， 触须
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
capitalize,"vi. 利用；积累资本
vt. 使资本化；以大写字母写；估计…的价值"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
mammoth,"n. 长毛象；猛犸象；庞然大物
adj. 巨大的，庞大的；猛犸似的"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
polish,找不到解释
rectangular,adj. 矩形的；成直角的
mourn,v. 哀悼；忧伤；服丧
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
nonetheless,adv. 尽管如此，但是
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
setback,n. 挫折；退步；逆流
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
misty,adj. 模糊的；有雾的
profound,adj. 深厚的；意义深远的；渊博的
shrub,n. 灌木；灌木丛
psychologist,n. 心理学家，心理学者
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
rotational,adj. 转动的；回转的；轮流的
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠"
tabloid,"n. 小报；药片；文摘；小型画报
adj. 小报式的；缩略的；轰动性的；扼要的"
