agnostic,"n. 不可知论者
adj. 不可知论的"
heartfelt,adj. 衷心的；真诚的；真心真意的
heartiness,n. 热心；诚实
fainthearted,adj. 懦弱的，胆小的；无精神的
lighthearted,adj. 快乐的，心情愉快的；无忧无虑的
stouthearted,adj. 大胆的；刚毅的
hearten,"vt. 激励；鼓励；使振作
vi. 振作"
hydrate,"n. 水合物；氢氧化物
vt. 使成水化合物
vi. 与水化合"
dehydrate,"vt. 使…脱水；使极其口渴；使丧失力量和兴趣等
vi. 脱水；去水"
carbohydrate,n.  碳水化合物； 糖类
hyperactivity,n. 极度活跃；活动过度
hyperbole,n. 夸张的语句；夸张法
hypercritical,adj. 吹毛求疵的，苛评的
hypocritical,adj. 虚伪的；伪善的
hypocrite,n. 伪君子；伪善者
hypochondria,n. 忧郁症；臆想病（hypochondrium的复数）
hypothesis,n. 假设
dyslexia,n. 难语症； 诵读困难；阅读障碍
amnesia,n. 健忘症， 记忆缺失
anemia,n. 贫血；贫血症
hemophilia,n.  血友病（等于haemophilia）
hysteria,n. 癔病，歇斯底里；不正常的兴奋
insomnia,n. 失眠症，失眠
mania,n. 狂热；狂躁；热衷
nostalgia,n. 乡愁；怀旧之情；怀乡病
paranoia,n.  偏执狂， 妄想狂
ethics,n. 伦理学；伦理观；道德标准
genetics,n. 遗传学
linguistics,n. 语言学
metaphysics,n. 玄学，形而上学
mnemonics,n. 记忆术
insulate,vt. 隔离，使孤立；使绝缘，使隔热
insularity,n. （思想、观点等）偏狭，性僵化；岛国性质（或状态）；岛屿生活状况，与外界隔绝的生活状况
insulin,n.  胰岛素
peninsula,n. 半岛
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
integrity,n. 完整；正直；诚实；廉正
interval,n. 间隔；间距；幕间休息
intermittent,adj. 间歇的；断断续续的；间歇性
intermission,n. 幕间休息；暂停；中断
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
intercede,vi. 调解，调停；求情，说项
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
interject,vt. 突然插入；插嘴
interloper,n. 闯入者；（为私利）干涉他人事务者；无执照营业者
interpolate,"vt. 篡改；插入新语句
vi. 插入；篡改"
intersperse,"vt. 点缀；散布
vi. 点缀；散布"
judgment,n. 判断；裁判；判决书；辨别力
judicial,adj. 公正的，明断的；法庭的；审判上的
judicious,adj. 明智的；头脑精明的；判断正确的
adjudicate,"vt. 裁定；宣判
vi. 裁定；宣判"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
jury,"n.  陪审团；评判委员会
adj. 应急的"
jurist,n. 法学家；法官；律师；法律著作家
perjury,n. 伪证；伪誓；背信弃义
abjure,vt. 发誓放弃；公开放弃；避免
conjure,"vt. 念咒召唤；用魔法驱赶；提出，想象；恳求
vi. 施魔法；变魔术"
labored,"adj. 吃力的；费劲的；不自然的
v. 工作；劳动；分娩（labor的过去分词）"
laborer,n. 劳动者；工人
laboratory,n. 实验室，研究室
laborious,adj. 勤劳的；艰苦的；费劲的
belabor,vt. 痛打；抨击；过度说明；反复讨论
collaborate,vi. 合作；勾结，通敌
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
landlord,n. 房东，老板；地主
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
landslide,"n.  山崩；大胜利
vi. 发生山崩；以压倒优势获胜"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
wasteland,n. 荒地，不毛之地；未开垦地，荒漠；（精神或文化上的）贫乏
lax,"n. 松元音；泻肚
adj. 松的；松懈的；腹泻的
adj. 不严格的；不严谨的"
laxative,"n. 泻药； 缓泻药
adj. 通便的"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
paralysis,n. 麻痹；无力；停顿
collection,n. 采集，聚集； 征收；收藏品；募捐
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
election,n. 选举；当选；选择权；上帝的选拔
elective,"adj. 选修的；选举的；选任的
n. 选修课程"
eclectic,"n. 折衷派的人；折衷主义者
adj. 折衷的；选择的；折衷学派的
adj. 不拘一格的"
selective,"adj. 选择性的
讲究的
有选择地
有选择性地
仔细挑选地"
lectern,n. 讲台；诵经台
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
legislation,n. 立法；法律
legislature,n. 立法机关；立法机构
legitimacy,n. 合法；合理；正统
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
elevation,n. 高地；海拔；提高；崇高；正面图
elevator,n. 电梯；升降机；升降舵；起卸机
levee,"n. 堤坝（码头）；（旧时君主或显贵的）早晨接见
vt. 为…筑堤"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
pipeline,n. 管道；输油管；传递途径
byline,"n. 标题下署名之行；铁路支线；副业
vt. 署名"
delineate,vt. 描绘；描写；画…的轮廓
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
literal,adj. 文字的；逐字的；无夸张的
literary,adj. 文学的；书面的；精通文学的
literati,n. 文人（literatus的复数）；文学界
alliteration,n. 头韵；同音韵错误症
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
obliterate,vt. 消灭；涂去；冲刷；忘掉
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
logical,adj. 合逻辑的，合理的；逻辑学的
logistics,"n.  后勤；后勤学
物流"
catalog,"n.  目录；登记
vt. 登记；为…编目录
vi. 编目录；按确定价格收入目录（等于catalogue）"
apology,n. 道歉；谢罪；辩护；勉强的替代物
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
epilogue,n. 结语，收场白；尾声，后记
analogous,adj. 类似的； 同功的；可比拟的
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
anthology,n. （诗、文、曲、画等的）选集
astrology,n. 占星术；占星学；星座
biology,n. （一个地区全部的）生物；生物学
dermatology,n. 皮肤医学， 皮肤病学
epistemology,n. 认识论
genealogy,n. 宗谱；血统；家系；系谱学
meteorology,n. 气象状态，气象学
mythology,n. 神话；神话学；神话集
neurology,n. 神经病学；神经学
phenomenology,n. 现象学；现象论
zoology,n. 动物学，动物学课程; （某一地区的）全部动物，（某种动物的）动物特性
loquacious,adj. 饶舌的，多话的
colloquial,adj. 白话的；通俗的；口语体的
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
grandiloquent,adj. 夸张的；夸大的；大言不惭的
soliloquy,n. 独白；自言自语
lucid,adj. 明晰的；透明的；易懂的；头脑清楚的
pellucid,adj. 透明的；清晰的；明了的
elucidate,vt. 阐明；说明
translucent,adj. 透明的；半透明的
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
collude,vi. 勾结；串通；共谋
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
elude,vt. 逃避，躲避
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
prelude,"n. 前奏；序幕；前奏曲
vt. 成为…的序幕；演奏…作为前奏曲
vi. 作为序曲；奏序曲"
occlude,"vt. 使闭塞；封闭；挡住
vi. 咬合"
illusion,n. 幻觉，错觉；错误的观念或信仰
illusionist,n. 魔术师；爱幻想的人；幻觉论者；幻觉派的艺术家
ludicrous,adj. 滑稽的；荒唐的
maladroit,adj. 笨拙的；不灵巧的；愚钝的
malaise,n. 不舒服；心神不安
malapropism,n. 文字误用；词语荒唐误用
malevolent,adj. 恶毒的；有恶意的；坏心肠的
malicious,adj. 恶意的；恶毒的；蓄意的；怀恨的
malign,"vt. 诽谤，污蔑；中伤，说坏话
adj. 恶意的，恶性的；有害的"
manual,"adj. 手工的；体力的
n. 手册，指南"
manumit,vt. 解放；释放
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
emancipate,vt. 解放；释放
manipulate,vt. 操纵；操作；巧妙地处理；篡改
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
mandatory,"adj. 强制的；托管的；命令的
n. 受托者（等于mandatary）"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
countermand,"vt. 取消，撤消；下反对命令召回
n. 取消；反对命令"
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
reprimand,"n. 谴责；训斥；申诉
vt. 谴责；训斥；责难"
hallmark,"n. 特点；品质证明
vt. 给…盖上品质证明印记；使具有…标志"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
trademark,"n. 商标
标志"
remarkable,adj. 卓越的；非凡的；值得注意的
climax,n. 高潮；顶点；层进法；极点
anticlimax,n. 突降法；虎头蛇尾；令人扫兴的结尾
maximal,adj. 最高的，最大的；最全面的
magnate,n. 巨头；大资本家；要人；富豪；……大王
magnanimous,adj. 宽宏大量的；有雅量的；宽大的
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
immemorial,adj. 远古的，古老的；无法追忆的
memorable,adj. 显著的，难忘的；值得纪念的
commemorate,vt. 庆祝，纪念；成为…的纪念
mnemonics,n. 记忆术
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
commentary,n. 评论；注释；评注；说明
mentor,"n. 指导者，良师益友
vt. 指导"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
mercantile,"adj. 商业的；商人的；重商主义的
n. 商品"
mercenary,"adj. 雇佣的；唯利是图的
n. 雇佣兵；唯利是图者"
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
emerge,vi. 浮现；摆脱；暴露
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
immerse,vt. 沉浸；使陷入
perimeter,n. 周长；周界； 视野计
kilometer,n.  公里； 千米（等于kilometre）
odometer,n. （汽车的）里程表， 里程计
thermometer,n. 温度计；体温计
diameter,n. 直径
symmetry,n. 对称（性）；整齐，匀称
symmetric,adj. 对称的；匀称的
asymmetric,adj. 不对称的；非对称的
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
commensurate,adj. 相称的；同量的；同样大小的
microbe,n. 细菌，微生物
microorganism,n.  微生物；微小动植物
microphone,n. 扩音器，麦克风
microscope,n. 显微镜
mime,"n. 哑剧；小丑；滑稽戏
vi. 摸拟表演
vt. 摸拟表演"
pantomime,"n. 哑剧；舞剧；手势
vi. 打手势；演哑剧
vt. 打手势；演哑剧"
mimic,"vt. 模仿，摹拟
n. 效颦者，模仿者；仿制品；小丑
adj. 模仿的，模拟的；假装的"
mimicry,n. 模仿，模拟；（动物等）拟态伪装
imitate,vt. 模仿，仿效；仿造，仿制
inimitable,adj. 独特的；无比的；无法仿效的
eminent,adj. 杰出的；有名的；明显的
imminent,adj. 即将来临的；迫近的
prominent,adj. 突出的，显著的；杰出的；卓越的
preeminent,adj. 卓越的；超群的
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
minimal,adj. 最低的；最小限度的
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
minuscule,"n. 小写字；草写小字
adj. 极小的；用草写小字写的"
minutia,n. 琐事，细节
diminutive,"adj. 小的，小型的，微小的
n. 爱称；指小词；身材极小的人"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
misdeed,n. 罪行；犯罪
misdemeanor,n. 轻罪；品行不端
misbehave,"vi. 作弊；行为不礼貌
vt. 使举止失礼；使行为不端"
miscreant,"adj. 异端的；邪道的；极恶的
n. 异端；恶棍；罪大恶极之人"
modish,adj. 流行的；时髦的
outmoded,"adj. 过时的，不流行的
v. 使不流行（outmode的过去分词）"
remodel,vt. 改造；改变；改型
modify,"vt. 修改，修饰；更改
vi. 修改"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
monocle,n. 单片眼镜；单眼绷带
monologue,n. 独白
monopoly,n. 垄断；垄断者；专卖权
monotony,n. 单调；千篇一律
monolithic,"adj. 整体的；巨石的，庞大的；完全统一的
n. 单块集成电路，单片电路"
demote,vt. 使降级；使降职
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
commotion,n. 骚动；暴乱
motility,n. 运动性；能动性；自动力
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
motivate,vt. 刺激；使有动机；激发…的积极性
nominate,vt. 推荐；提名；任命；指定
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
denominate,"adj. 有特定名称的
vt. 为…命名；把…称作…"
ignominious,adj. 可耻的；下流的
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
normalization,n. 正常化；标准化；正规化；常态化
abnormal,adj. 反常的，不规则的；变态的
anomalous,adj. 异常的；不规则的；不恰当的
enormity,n. 巨大；暴行；极恶
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
pronounced,"v. 发音；宣告；断言（pronounce的过去分词）
adj. 显著的；断然的；讲出来的"
denounce,vt. 谴责；告发；公然抨击；通告废除
renounce,"n. 垫牌
vt. 宣布放弃；与…断绝关系；垫牌
vi. 放弃权利；垫牌"
enunciate,"vt. 发音；阐明；宣布
vi. 阐明；清晰地发音"
anonymity,n. 匿名；匿名者；无名之辈
synonymous,adj. 同义的；同义词的；同义突变的
pseudonym,n. 笔名；假名
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
disoriented,"adj. 无判断力的；分不清方向或目标的
v. 使…迷惑（disorient的过去时和过去分词）"
origin,n. 起源；原点；出身；开端
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
outcast,"n. 流浪的人；被驱逐的人
adj. 被遗弃的；无家可归的；被逐出的"
outing,"n. 远足；短途旅游；体育比赛
adj. 远足适用的
v. 出来；暴露（out的ing形式）"
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
outskirts,n. 市郊，郊区
outlandish,adj. 古怪的；奇异的；异国风格的；偏僻的
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
outmaneuver,vt. 以计谋胜过；运用策略击败
overcome,"vt. 克服；胜过
vi. 克服；得胜"
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
overbearing,"adj. 傲慢的；压倒一切的
v. 压住；否定；专横地对待；繁殖过度（overbear的ing形式）"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
overreach,"vt. 走过头；过度伸张；诈骗
vi. 伸得过远；（马）以后蹄踢前蹄"
overwrought,"adj. 过度紧张的；过度兴奋的；过分劳累的；（文体等）过于考究的
v. 工作过度；把…做过头；使过于激动（overwork的过去式和过去分词）"
disparage,vt. 蔑视；毁谤
disparate,"n. 无法相比的东西
adj. 不同的；不相干的；全异的"
parity,n. 平价；同等；相等；胎次；分娩
comparison,n. 比较；对照；比喻；比较关系
partial,adj. 局部的；偏爱的；不公平的
impartial,adj. 公平的，公正的；不偏不倚的
impart,vt. 给予（尤指抽象事物），传授；告知，透露
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
repartee,n. 机敏的应答；妙语；巧辩
apartment,n. 公寓；房间
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
partisan,"n. 游击队；虔诚信徒；党羽
adj. 党派的；效忠的；偏袒的；盲目推崇的"
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
encompass,vt. 包含；包围，环绕；完成
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
impassable,adj. 不能通行的（名词impassability，副词impassably）；无路可通的
trespass,"n. 罪过；非法侵入；过失；擅自进入
vi. 侵入；犯罪；打扰；冒犯"
impasse,n. 僵局；死路
passion,n. 激情；热情；酷爱；盛怒
compassion,n. 同情；怜悯
passionate,adj. 热情的；热烈的，激昂的；易怒的
impassioned,"adj. 充满激情的；感激的
v. 使充满激情（impassion的过去式和过去分词）"
dispassionate,adj. 不带感情的；平心静气的；公平的
passivity,n. 被动性；被动结构；无抵抗
impassive,adj. 冷漠的；无感觉的
apathetic,adj. 冷漠的；无动于衷的，缺乏兴趣的
antipathy,n. 反感；厌恶；憎恶；不相容
empathy,"n. 神入；移情作用；执着
n. 感同身受；同感；共鸣"
sympathy,n. 同情；慰问；赞同
paucity,n. 缺乏；少数；少量
pauper,"n. 乞丐；穷人；靠救济度日者
adj. 贫民的"
puerile,adj. 幼稚的；孩子气的；未成熟的；天真的
pusillanimous,adj. 胆怯的；懦弱的；优柔寡断的
poverty,n. 贫困；困难；缺少；低劣
impoverish,vt. 使贫穷；使枯竭
penury,n. 贫困；贫穷
spendthrift,"n. 挥霍无度的人；浪费的人
adj. 挥霍无度的；浪费的"
expend,vt. 花费；消耗；用光；耗尽
expensive,adj. 昂贵的；花钱的
expenditure,n. 支出，花费；经费，消费额
personable,adj. 品貌兼优的
personality,n. 个性；品格；名人
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
impersonate,vt. 扮演；模仿；拟人，人格化
diaphanous,adj. 透明的；精致的；模糊的
phenomenon,n. 现象；奇迹；杰出的人才
sycophant,"n. 谄媚者；奉承者
adj. 奉承的；拍马的"
emphasize,vt. 强调，着重
emphasis,n. 重点；强调；加强语气
emphatically,adv. 着重地；强调地；断然地
philanthropy,n. 博爱，慈善；慈善事业
philanthropic,adj. 博爱的；仁慈的
philatelist,n. 集邮家
phonetic,adj. 语音的，语音学的；音形一致的；发音有细微区别的
cacophony,n. 刺耳的音调；不和谐音
symphony,n. 交响乐；谐声，和声
euphonious,adj. 悦耳的
microphone,n. 扩音器，麦克风
placate,vt. 抚慰；怀柔；使和解
implacable,adj. 不能安抚的；难和解的；不能缓和的
placid,adj. 平静的；温和的；沉着的
placebo,n. 安慰剂；为死者所诵的晚祷词
displace,vt. 取代；置换；转移；把…免职；排水
misplace,vt. 放错地方；忘记把…放在什么地方；错误地信任某人
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
porter,n. 门房；服务员；行李搬运工；守门人
deport,vt. 驱逐出境；举止；放逐
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
importune,"vt. 强求；一再向某人要求
vi. 强求；胡搅蛮缠"
opportune,adj. 适当的；恰好的；合时宜的
opportunity,n. 时机，机会
depose,"vt. 免职；作证；废黜
vi. 宣誓作证"
depository,"n. 贮藏所；受托者；存储处
adj. 保管的；存储的"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
disposed,"v. 处理；配置；使适应（dispose的过去分词）；使有倾向
adj. 有…倾向的；打算做…的；有某种健康状态的"
predisposition,n. 倾向；素质；易染病体质
expose,vt. 揭露，揭发；使曝光；显示
exposition,n. 博览会；阐述；展览会
oppose,"vt. 反对；对抗，抗争
vi. 反对"
transpose,"n. 转置阵
vt. 调换；移项；颠倒顺序
vi. 进行变换"
juxtapose,vt. 并列；并置
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
superimpose,vt. 添加；重叠；附加；安装
repose,"n. 休息；睡眠；静止
vt. 使休息；寄托于
vi. 休息；座落；长眠；依靠；静卧；建立于"
precarious,adj. 危险的；不确定的
precedent,"n. 先例；前例
adj. 在前的；在先的"
precipitous,adj. 险峻的；急躁的，鲁莽的
premeditated,"adj. 预谋的；预先考虑的；经预先计划的
v. 预谋（premeditate的过去式和过去分词）；预先考虑"
premeditation,n. 预谋；预先设想
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
presumptuous,adj. 专横的；放肆的；冒昧的
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
oppression,n. 压抑；镇压；压迫手段；沉闷；苦恼
repress,"vt. 抑制；镇压（叛乱等）；约束
vi. 抑制；镇压"
suppress,vt. 抑制；镇压；废止
depress,vt. 压抑；使沮丧；使萧条
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
primer,n. 初级读本；识字课本；原始物
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
primordial,adj. 原始的；根本的；原生的
printing,n. 印刷；印刷术
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
fingerprint,"n. 指纹；手印
vt. 采指纹"
imprint,"n. 印记；痕迹；特征；版本说明
vt. 加特征；刻上记号"
probity,n. 廉洁；正直
reprobate,"n. 恶棍，无赖
adj. 邪恶的；堕落的
v. 非难；拒绝；斥责"
approbation,n. 认可；赞许；批准
opprobrium,n. 耻辱，不名誉；责骂，咒骂
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
propriety,n. 适当；礼节；得体
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
prove,"vi. 证明是
vt. 证明；检验；显示"
approval,n. 批准；认可；赞成
disprove,vt. 反驳，证明…是虚假的
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
reprove,"vt. 责骂；谴责；非难
vi. 责备；指责；非难"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
pure,adj. 纯的；纯粹的；纯洁的；清白的；纯理论的
purity,n.  纯度；纯洁；纯净；纯粹
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
purist,n. 纯化论者，力求纯化的人
purebred,"n. 纯种的动物
adj. （动物）纯种的"
repute,"n. 名誉；声望
vt. 名誉；认为；把…称为"
reputation,n. 名声，名誉；声望
disrepute,n. 不光彩，坏名声
disreputable,adj. 声名狼藉的；肮脏的；破烂不堪的
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
acquire,vt. 获得；取得；学到；捕获
acquired,"v. 取得；捕获（acquire的过去分词）
adj.  后天的；已获得的；已成习惯的"
acquisition,n. 获得物，获得；收购
acquisitiveness,n. 占有欲
inquiry,n. 探究；调查；质询
inquisition,n. 调查；宗教法庭；审讯
inquisitive,adj. 好奇的；好问的，爱打听的
questionable,adj. 可疑的；有问题的
questionnaire,n. 问卷；调查表
querulous,adj. 易怒的，暴躁的；爱发牢骚的，抱怨的；爱挑剔的
request,"n. 请求；需要
vt. 要求，请求"
conquest,n. 征服，战胜；战利品
quietude,n. 平静；寂静；沉着
disquiet,"n. 担心，不安；焦虑，忧虑
vt. 使不安；使担心，使忧虑"
acquiesce,vi. 默许；勉强同意
persecute,vt. 迫害；困扰；同…捣乱
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
sequential,adj. 连续的；相继的；有顺序的
consequence,n. 结果；重要性；推论
consequential,adj. 间接的；结果的；重要的；随之发生的；自傲的
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
spirited,"adj. 英勇的；生机勃勃的
v. 鼓舞（spirit的过去分词）"
dispirited,"adj. 沮丧的；没有精神的；意气消沉的
v. 使…沮丧；使…气馁（dispirit的过去分词）"
spiritual,"n. 圣歌（尤指美国南部黑人的）
adj. 精神的，心灵的"
aspirant,"n. 有抱负的人；野心家
adj. 上进的；有野心的"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
extemporize,"vt. 即兴演奏或演说；当场作成
vi. 即兴演奏或演说；临时凑合"
extemporaneous,adj. 即席的，临时的；无准备的；不用讲稿的；善于即席讲话的
tempo,n. 速度，发展速度；拍子
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
extensive,adj. 广泛的；大量的；广阔的
distend,"vt. 使…膨胀；使…扩张
vi. 扩张；膨胀"
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
ostensible,adj. 表面的；假装的
ostentatious,adj. 招摇的；卖弄的；夸耀的；铺张的；惹人注目的
pretentious,adj. 自命不凡的；炫耀的；做作的
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
revitalize,vt. 使…复活；使…复兴；使…恢复生气
survival,n. 幸存，残存；幸存者，残存物
vitality,n. 活力，生气；生命力，生动性
vitalize,vt. 赋予…生命；激发；使有生气
vitiate,vt. 损害，弄坏；使无效；污染
convivial,adj. 欢乐的；欢宴的；酒宴的
