bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
repel,vt. 击退；抵制；使厌恶；使不愉快
recurrent,adj. 复发的；周期性的，经常发生的
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
masquerade,"vi. 化装；伪装
n. 伪装；化妆舞会
vt. 化装；乔装"
outlay,"vt. 花费
n.  经费；支出；费用"
wrest,"n. 扭，拧
vt. 用力拧；抢夺；歪曲"
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
antipathy,n. 反感；厌恶；憎恶；不相容
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
exhilarate,vt. 使高兴，使振奋；使愉快
juncture,n. 接缝；连接；接合
implicit,adj. 含蓄的；暗示的；盲从的
substitution,n. 代替； 置换；代替物
wreath,"n. 花冠；圈状物
vt. 环绕（等于wreathe）
vi. 盘旋（等于wreathe）"
prudent,adj. 谨慎的；精明的；节俭的
bluff,"n. 吓唬；绝壁；断崖
vi. 吓唬
adj. 直率的；陡峭的
vt. 吓唬；愚弄"
materialize,"vt. 使具体化，使有形；使突然出现；使重物质而轻精神
vi. 实现，成形；突然出现"
radiantly,adv. 清朗地；辉煌地
undersell,vt. 抛售；以低于市价售出
consign,vt. 交付；托运；寄存；把…委托给
restitution,n. 恢复；赔偿；归还
interpose,"vt. 提出（异议等）；使插入；使干涉
vi. 干预；插入；调停"
encroach,vi. 蚕食，侵占
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
dehydrate,"vt. 使…脱水；使极其口渴；使丧失力量和兴趣等
vi. 脱水；去水"
disinterested,"adj. 无私的；公正的；冷漠的；廉洁的
v. 使不再有利害关系；使无兴趣（disinterest的过去分词）"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
extort,vt. 敲诈；侵占；强求；牵强地引出
incoming,"n. 进入；到来；常作 incomings 收入，收益
adj. 进来的，到来的； 即将就任的"
fleeting,"adj. 飞逝的；转瞬间的
v. 迅速移动（fleet的ing形式）"
infirmity,n. 虚弱；疾病；衰弱；缺点
appease,vt. 使平息；使满足；使和缓；对…让步
trample,"n. 蹂躏；践踏声
vi. 践踏；蔑视，伤害；脚步沉重地走
vt. 践踏；蔑视，伤害"
mania,n. 狂热；狂躁；热衷
headway,n. 前进；进步；航行速度；间隔时间
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
inept,adj. 笨拙的；不适当的
incur,vt. 招致，引发；蒙受
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
squint,"n. 斜视；斜孔小窗；一瞥
adj. 斜视的；斜的
vt. 使斜眼；眯眼看
vi. 眯眼看；斜视；窥视；偏移"
makeshift,"n. 权宜之计；凑合；临时措施；将就
adj. 临时的；权宜之计的；凑合的"
empathy,"n. 神入；移情作用；执着
n. 感同身受；同感；共鸣"
pageant,n. 盛会；游行；虚饰；露天表演
conciliate,vt. 安抚，安慰；调和；驯服；怀柔；赢得
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
element,n. 元素；要素；原理；成分；自然环境
hobble,"n. 跛行步态
vt. 使跛行
vi. 蹒跚；跛行"
sundry,"n. 杂货；杂项
adj. 杂的；各式各样的"
bashful,adj. 害羞的，腼腆的
fiasco,n. 惨败
afoot,"adj. 在进行中的；徒步的；准备中
adv. 在进行中，在准备中"
flagrant,adj. 公然的；不能容忍的；非常的；臭名远扬的；明目张胆的；恶名昭著的（名词flagrancy，副词flagrantly）
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
insipid,adj. 清淡的；无趣的
deviate,"vi. 脱离；越轨
vt. 使偏离"
sleek,"adj. 圆滑的；井然有序的
vt. 使…光滑；掩盖
vi. 打扮整洁；滑动"
fractious,adj. 易怒的；倔强的，难以对待的
methodical,adj. 有系统的；有方法的
acknowledge,vt. 承认；答谢；报偿；告知已收到
fingertip,n. 指尖；指套
jumbo,"adj. 巨大的；特大的
n. 庞然大物；巨型喷气式飞机；体大而笨拙的人或物"
sag,"n. 松弛；下跌；漂流；萧条
vt. 使下垂
vi. 下垂；下降；萎靡"
empower,vt. 授权，允许；使能够
quibble,"n. 谬论；双关语；遁辞
vi. 诡辩；挑剔；说模棱两可的话
vt. 对…诡辩"
countenance,"n. 面容，表情；支持
vt. 支持，赞同"
muddle,"vt. 混合；使咬字不清晰；使微醉
n. 糊涂；困惑；混浊状态
vi. 胡乱思考；糊里糊涂地行事"
granular,adj. 颗粒的；粒状的
luxuriant,adj. 繁茂的；丰富的；奢华的；肥沃的
feverish,adj. 发热的；极度兴奋的
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
anew,adv. 重新；再
improvise,"vt. 即兴创作；即兴表演；临时做；临时提供
vi. 即兴创作；即兴表演；临时凑合"
recline,"vt. 使躺下；使斜倚
vi. 靠；依赖；斜倚"
iterate,vt. 迭代；重复；反复说；重做
aggrieved,"v. 侵害，伤害（aggrieve的过去分词形式）；使悲痛
adj. 受委屈的，愤愤不平的；权利受到不法侵害的"
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
undercharge,"n. 充电不足；低的索价；填不够量的火药
vt. 充电不足；索价低于常价；弹药装填不足"
overstate,vt. 夸张；夸大的叙述
ignominy,n. 耻辱；不体面；丑行
blatant,adj. 喧嚣的；公然的；炫耀的；俗丽的
demonstrable,adj. 可论证的；显而易见的
defuse,vt. 平息；去掉…的雷管；使除去危险性
perilous,adj. 危险的，冒险的
flippant,adj. 轻率的；嘴碎的；没礼貌的
rapt,adj. 全神贯注的；入迷的
endorse,vt. 背书；认可；签署；赞同；在背面签名
seethe,"n. 沸腾；感情等的迸发
vt. 使浸透；使煮沸
vi. 沸腾；冒泡；激动"
chuck,vt. 丢弃，抛掷；驱逐；轻拍
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
liquidate,"vt. 清算；偿付；消除
vi. 清算；清理债务"
crackle,"n. 裂纹；龟裂；爆裂声
vt. 使发爆裂声；使产生碎裂花纹
vi. 发劈啪声，发出细碎的爆裂声；表面形成碎裂花纹"
proximity,n. 接近，邻近；接近；接近度，距离；亲近
postulate,"n. 基本条件；假定
vt. 假定；要求；视…为理所当然"
muse,"n. 沉思；冥想
vt. 沉思；沉思地说
vi. 沉思；凝望"
hulking,adj. 笨重的；粗陋的
lenient,adj. 宽大的；仁慈的
disconcert,vt. 使仓皇失措；使困惑；破坏
amass,vt. 积聚，积累
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
spasm,n.  痉挛；抽搐；一阵发作
obesity,n. 肥大，肥胖
coerce,vt. 强制，迫使
ordain,"vt. 任命某人为牧师；授某人以圣职；（上帝、法律等）命令；注定
vi. 颁布命令"
deify,vt. 把…奉若神明；把…神化；崇拜
salutary,adj. 有益的，有用的；有益健康的
ethereal,adj. 优雅的；轻飘的；缥缈的；超凡的
debut,"n. 初次登台；开张
vi. 初次登台"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
imperious,adj. 专横的；迫切的；傲慢的
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
discretion,n. 自由裁量权；谨慎；判断力；判定；考虑周到
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
callow,adj. 年轻而无经验的；羽毛未丰的
intricacy,n. 错综，复杂；难以理解
myriad,"adj. 无数的；种种的
n. 无数，极大数量；无数的人或物"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
whoop,"n. 大叫；哮喘声；呐喊；一点点
vt. 高声说；唤起
vi. 叫喊；喘息"
obsessive,adj. 强迫性的；着迷的；分神的
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
bicker,"n. 吵嘴；口角；（水的）潺潺声
vi. 闪动；斗嘴；潺潺而流"
chic,"n. 时髦；别致的款式
adj. 别致的"
balk,"n. 障碍；错误
vi. 犹豫；突然止步不前
vt. 阻止；推诿；错过"
inflame,"vt. 激怒；使燃烧；使发炎
vi. 燃烧；发炎；激动"
mercenary,"adj. 雇佣的；唯利是图的
n. 雇佣兵；唯利是图者"
harrowing,"adj. 痛心的；悲惨的
v. 使痛苦（harrow的ing形式）；开拓"
disadvantage,n. 缺点；不利条件；损失
unfailing,adj. 经久不衰的；可靠的；无穷尽的
snarl,"vt. 搞乱；咆哮着说；使…缠结
vi. 咆哮；怒骂；缠结
n. 咆哮；怒骂；混乱"
dampen,"vt. 抑制；使…沮丧；使…潮湿
vi. 潮湿；丧气"
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
craven,"adj. 畏缩的；怯懦的
n. 懦夫"
scanty,adj. 缺乏的；吝啬的；仅有的；稀疏的
highbrow,"n. 卖弄知识的人；知识分子
adj. 不切实际的；自炫博学的；知识分子的"
recount,"n. 重算
vt. 叙述；重新计算"
corrugate,"adj. 起皱的；波状的
vt. 使起皱；成波状
vi. 起皱；缩成皱状"
permissible,adj. 可允许的；获得准许的
crux,n. 关键；难题；十字架形，坩埚
gurgle,"n. 咯咯声；汩汩声
vt. 用咯咯声表示
vi. 作汩汩声；作咯咯声"
fortify,"vt. 加强；增强；（酒）的酒精含量；设防于
vi. 筑防御工事"
rectify,vt. 改正；精馏；整流
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
virulent,adj. 剧毒的；恶性的；有恶意的
tantamount,adj. 同等的；相当于…的
incumbent,"n. 在职者；现任者；领圣俸者
adj. 现任的；依靠的；负有职责的"
unaccountable,adj. 无责任的；莫名其妙的；不可理解的
energize,"vt. 激励；使活跃；供给…能量
vi. 活动；用力"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
implant,"n.  植入物；植入管
vt. 种植；灌输；嵌入
vi. 被移植"
commensurate,adj. 相称的；同量的；同样大小的
incursion,n. 入侵；侵犯
feint,"n. 佯攻；伪装
vi. 佯攻；假装
vt. 佯攻
adj. 假的"
limit,"n. 限制；限度；界线
vt. 限制；限定"
plea,n. 恳求，请求；辩解，辩护；借口，托辞
reprimand,"n. 谴责；训斥；申诉
vt. 谴责；训斥；责难"
install,vt. 安装；任命；安顿
irreverent,adj. 不敬的，无礼的
gaunt,adj. 憔悴的；荒凉的；枯瘦的
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
tinker,"n. 补锅匠；修补匠；焊锅；（美）小鲭鱼
vi. 做焊锅匠；焊补；笨手笨脚地做事
vt. 修补；粗修"
extricate,vt. 使解脱；解救；使游离
haste,"n. 匆忙；急忙；轻率
vt. 赶快
vi. 匆忙；赶紧"
havoc,"n. 大破坏；浩劫；蹂躏
vt. 严重破坏
vi. 损毁"
squabble,"n. 争吵；口角
vt. 弄乱（排好的铅字）
vi. 发生口角；大声争吵"
grandiose,adj. 宏伟的；堂皇的；浮夸的；宏大的
jostle,"vt. 推挤，撞；争夺
vi. 竞争，争夺；推挤
n. 推撞，挤拥"
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
sterile,adj. 不育的；无菌的；贫瘠的；不毛的；枯燥乏味的
operative,"adj. 有效的；运转着的；从事生产劳动的
n. 侦探；技工"
communicable,adj. 可传达的；会传染的；爱说话的
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
curt,adj. 简略的；简要的；草率的；简单粗暴的
factitious,adj. 人为的，人工的；不自然的；虚假的
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
scavenge,"vt. 打扫；排除废气；以…为食
vi. 清除污物；打扫"
cowardice,n. 怯懦；胆小
intrusive,adj. 侵入的；打扰的
gruff,"adj. 粗暴的；粗哑的；脾气坏的
vt. 粗鲁地说；生硬地说
vi. 粗鲁地说；生硬地说话
n. 格拉夫（英国珠宝品牌）"
entity,n. 实体；存在；本质
capitulate,vi. 认输，屈服；屈从，停止反抗；有条件投降；让步
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
covet,"vt. 垂涎；觊觎
vi. 垂涎；觊觎"
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
above board,"adj. 光明正大的
 光明正大地；公开的；光明磊落"
benevolent,adj. 仁慈的；慈善的；亲切的
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
matrix,n.  矩阵；模型； 基质；母体；子宫； 脉石
sulk,"n. 生气；愠怒；生气的人
vi. 生气；愠怒"
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
paradoxical,adj. 矛盾的；诡论的；似非而是的
hype,"n. 大肆宣传；皮下注射
vt. 大肆宣传；使…兴奋"
deluxe,"adj. 高级的；豪华的，奢华的
adv. 豪华地"
generic,adj. 类的；一般的；属的；非商标的
equable,adj. 平静的；变动小的
raft,"n. 筏；救生艇；（美）大量
vt. 筏运；制成筏
vi. 乘筏"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
shirk,"vt. 逃避
vi. 推卸；逃避"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
blanch,"n. 铅矿石
vi. 漂白；发白；变白
vt. 漂白；使变白
adj. 漂白的；银白色的"
butt,"n. 屁股；烟头；笑柄；靶垛；粗大的一端
vt. 以头抵撞；碰撞"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
incriminate,vt. 控告；暗示...有罪
attribute,"n. 属性；特质
vt. 归属；把…归于"
controversy,n. 争论；论战；辩论
tumultuous,adj. 吵闹的；骚乱的；狂暴的
farsighted,adj. 有远见的；能看到远处的
implacable,adj. 不能安抚的；难和解的；不能缓和的
irk,vt. 使烦恼；使厌倦
hectic,"n. 脸红；患肺结核
adj. 兴奋的，狂热的；脸上发红；肺病的；忙碌的"
embroil,vt. 使卷入；使混乱
uproot,"vt. 根除，连根拔起；迫使某人离开出生地或定居处
vi. 迁离；改变生活方式"
interlude,"n. 插曲；穿插；幕间节目； 插算
vt. 使中断
vi. 插入"
quell,vt. 平息；镇压；减轻；消除
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
magnitude,n. 大小；量级； 震级；重要；光度
recur,vi. 复发；重现；采用；再来；循环；递归
discredit,"n. 怀疑；无信用；名声的败坏
vt. 不信；使……丢脸"
replenish,vt. 补充，再装满；把…装满；给…添加燃料
unpalatable,adj. 味道差的，难吃的；讨人厌的，使人不快的
flail,"n. 连枷（打谷物用的工具）
vt. 打；用连枷打
vi. 打；用连枷打"
malpractice,n. 玩忽职守；不法行为；治疗不当
plumb,"n. 垂直；铅锤
adj. 垂直的
vt. 使垂直；探测，探索
adv. 恰恰，正；垂直地
vi. 当管子工"
distraught,adj. 发狂的；心烦意乱的
affront,"n. 轻蔑；公开侮辱
vt. 冒犯，有意冒犯；面对；公开侮辱"
secrete,vt. 藏匿；私下侵吞；分泌
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
disprove,vt. 反驳，证明…是虚假的
undertake,vt. 承担，保证；从事；同意；试图
vault,"n. 拱顶；撑竿跳；地下室
vi. 跳跃；成穹状弯曲
vt. 做成圆拱形；撑竿跳过"
quail,"n. 鹌鹑
vi. 畏缩，胆怯；感到恐惧"
irreconcilable,adj. 矛盾的；不能和解的；不能协调的
nip,"vt. 夹；捏；剪断；冻伤；阻止
vi. 夹；捏；刺骨；小饮
n. 夹；捏；刺骨；小饮"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
forbidding,"v. 禁止；不准（forbid的ing形式）
adj. 令人生畏的；严峻的；险恶的"
furl,"n. 卷起，折叠；卷起之物
vt. 叠，卷收；收拢
vi. 收拢，卷起"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
indeterminate,adj. 不确定的；模糊的；含混的
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
hypothesis,n. 假设
revoke,"n. 有牌不跟
vt. 撤回，取消；废除
vi. 有牌不跟"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
heinous,adj. 可憎的；极凶恶的
hilarious,adj. 欢闹的；非常滑稽的；喜不自禁的
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
flinch,"n. 退缩；畏惧
vi. 退缩；畏惧"
idolize,"vt. 极端崇拜；把...当偶像崇拜
vi. 崇拜偶像"
venom,"n. 毒液；恶意
vt. 使有毒；放毒"
unfathomable,adj. 深不可测的；无底的；莫测高深的
opt,vi. 选择
fret,"n. 烦躁；焦急；磨损
vi. 烦恼；焦急；磨损
vt. 使烦恼；焦急；使磨损"
efface,vt. 抹去，抹掉；使自己不受人注意
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
floppy,"n. 软磁碟
adj. 松软的；叭嗒叭嗒响的；懒散的，邋遢的"
literate,"adj. 受过教育的；精通文学的
n. 学者"
regress,"n. 回归；退回
vi. 逆行，倒退；复归
vt. 使…倒退"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
intransigent,"n. 不妥协的人
adj. 不妥协的；不让步的"
far-fetched,adj. 牵强附会的
decadent,"adj. 颓废的；衰微的
n. 颓废者"
repentance,n. 悔改；后悔
interrogate,"vt. 审问；质问； 询问
vi. 审问；质问"
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
irreparable,adj. 不能挽回的；不能修补的
interval,n. 间隔；间距；幕间休息
treacherous,adj. 奸诈的，叛逆的，背叛的；危险的；不牢靠的
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
loot,"n. 战利品；抢劫；掠夺品
vt. 抢劫，洗劫；强夺
vi. 洗劫，掠夺；抢劫"
flout,"n. 嘲笑；轻视；愚弄
vt. 嘲笑；藐视；愚弄
vi. 嘲笑；表示轻蔑"
valet,"n. 贴身男仆；用车的人；伺候客人停车
vt. 为...管理衣物；替...洗熨衣服
vi. 清洗汽车；服侍"
decipher,"n. 密电译文
vt. 解释（过去式deciphered，过去分词deciphered，现在分词deciphering，第三人称单数deciphers，名词decipherer，形容词decipherable）；译解"
contingent,"n. 分遣队；偶然事件；分得部分；代表团
adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；有条件的"
impregnable,adj. 无法攻取的；不受影响的；要塞坚固的；不可受孕的
morbid,adj. 病态的；由病引起的；恐怖的；病变部位的
hypercritical,adj. 吹毛求疵的，苛评的
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
hearten,"vt. 激励；鼓励；使振作
vi. 振作"
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
differentiate,"vt. 区分，区别
vi. 区分，区别"
irreducible,adj.  不可约的；不能削减的；不能复归的
indiscreet,adj. 轻率的；不慎重的
problematic,adj. 问题的；有疑问的；不确定的
problematical,adj. 有疑问的；成问题的
detour,"n. 绕道；便道
vt. 使…绕道而行
vi. 绕道；迂回"
misapprehend,vt. 误会，误解
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
huff,"n. 发怒
vt. 把…吹胀；激怒；蔑视
vi. 吹气；发怒；恫吓"
censure,"n. 责难
vt. 责难，责备
vi. 谴责，责备"
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
camouflage,"n. 伪装，掩饰
vt. 伪装，掩饰
vi. 伪装起来"
gratify,vt. 使满足；使满意，使高兴
heredity,n. 遗传，遗传性
prophesy,"vt. 预言；预告
vi. 预言；预报；传教"
muster,"vt. 召集；对…进行点名；使振作
n. 集合；检阅；点名册；集合人员
vi. 召集；聚集"
gripe,"n. 发牢骚；肠绞痛
vt. 绞痛；握紧；惹恼
vi. 抱怨，发牢骚；肠绞痛"
tamper,"n. 填塞者；捣棒
vi. 篡改；干预；损害；削弱；玩弄；贿赂
vt. 篡改"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
hapless,adj. 运气不好的，倒霉的
mar,"vt. 损毁；损伤；糟蹋；玷污
n. 污点；瑕疵"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
twilight,"adj. 黎明，黄昏；薄暮；衰退期；朦胧状态
n. 黄昏；薄暮；衰退期；朦胧状态"
panacea,n. 灵丹妙药；万能药
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
deft,adj. 灵巧的；机敏的；敏捷熟练的
martial,adj. 军事的；战争的；尚武的
bereaved,"n. 丧失亲人的人
adj. 丧失的；死了…的
vt. 使丧失（bereave的过去式和过去分词）"
refute,vt. 反驳，驳斥；驳倒
defame,v. 诽谤；中伤
pungent,adj. 辛辣的；刺激性的；刺鼻的；苦痛的；尖刻的
impressionable,adj. 敏感的；易受影响的
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
diffident,adj. 羞怯的；缺乏自信的；谦虚谨慎的
rummage,"n. 翻找；检查；查出的物件；零星杂物
vt. 检查；搜出；仔细搜查；翻找出
vi. 翻找；仔细搜查"
requisite,"n. 必需品
adj. 必备的，必不可少的；需要的"
legible,adj. 清晰的；易读的；易辨认的
throb,"n. 悸动；脉搏
vi. 悸动；抽动；颤动；跳动着作痛；充满活力"
excavate,"vt. 挖掘；开凿
vi. 发掘；细查"
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
fanciful,adj. 想像的；稀奇的
insanity,n. 疯狂；精神错乱；精神病；愚顽
coax,"vt. 哄；哄诱；慢慢将…弄好
vi. 哄骗；劝诱"
extent,n. 程度；范围；长度
sultry,adj. 闷热的；狂暴的；淫荡的
emblem,"n. 象征；徽章；符号
vt. 象征；用符号表示；用纹章装饰"
replicate,"n. 复制品；八音阶间隔的反覆音
vt. 复制；折叠
adj. 复制的；折叠的
vi. 重复；折转"
hoodwink,vt. 蒙蔽；欺骗；遮眼
incessant,adj. 不断的；不停的；连续的
devour,v. 吞食；毁灭
harangue,"n. 长篇大论；高谈阔论；热烈的演说
vt. 向…滔滔不绝地演讲；大声训斥
vi. 高谈阔论；慷慨陈词"
scour,"n. 擦，冲刷；洗涤剂；（畜类等的）腹泻
vt. 擦亮，洗涤；冲洗，清除
vi. 冲刷；擦；腹泻"
unprincipled,adj. 无原则的；不道德的，不正直的；不合人道的
impasse,n. 僵局；死路
decompose,"vi. 分解；腐烂
vt. 分解；使腐烂"
manoeuvre,"vi. 调动；演习；用策略
vt. 诱使；操纵；耍花招
n. 策略（等于maneuvre）"
artful,adj. 巧妙的；狡猾的；有技巧的；欺诈的
charisma,n. 魅力；神授的能力；非凡的领导力
fatuous,adj. 愚笨的；昏庸的；发呆的；自满的
perceptible,adj. 可察觉的；可感知的；看得见的
ardent,adj. 热情的；热心的；激烈的；燃烧般的
contort,"vt. 扭曲；曲解
vi. 扭曲"
airy,adj. 空气的；通风的；幻想的；轻快的；空中的
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
shear,"n.  切变；修剪；大剪刀
vi. 剪；剪切；修剪
vt. 剪；修剪；剥夺"
authorize,vt. 批准，认可；授权给；委托代替
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
emulate,"n. 仿真；仿效
vt. 仿真；模仿；尽力赶上；同…竞争"
infest,vt. 骚扰；寄生于；大批出没；大批滋生
lapse,n. (一时的) 走神，判断错误
dissuade,vt. 劝阻，劝止
recourse,n. 求援，求助； 追索权；依赖；救生索
fraudulent,adj. 欺骗性的；不正的
snag,"n. 障碍；意外障碍；突出物
vt. 抓住机会；造成阻碍；清除障碍物
vi. 被绊住；形成障碍"
heart-warming,adj. 感人的
impale,vt. 刺穿；钉住；使绝望
depreciate,"vi. 贬值；轻视；贬低
vt. 使贬值；贬低；轻视"
manageable,adj. 易管理的；易控制的；易办的
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
detract,"vi. 贬低；减去
vt. 转移，使分心"
omniscient,"adj. 全知的；无所不知的
n. 上帝；无所不知者"
pseudo,"n. 伪君子；假冒的人
adj. 冒充的，假的"
predicament,n. 窘况，困境；状态
senile,adj. 高龄的；老衰的；高龄所致的
enthral,vt. 奴役；使…做奴隶；迷惑（等于enthrall）
enthrall,vt. 迷住，使着迷
jerky,"adj. 抽筋的；急动的；不平稳的
n. 牛肉干"
lunge,"n. 刺；跃进；刺进；套马索
vt. 刺；戳；使前冲
vi. 刺；突进"
fallible,adj. 易犯错误的；不可靠的
intangible,adj. 无形的，触摸不到的；难以理解的
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
annihilate,"vt. 歼灭；战胜；废止
vi. 湮灭；湮没"
ghastly,"adj. 可怕的；惨白的；惊人的；极坏的
adv. 恐怖地；惨白地"
wield,vt. 使用；行使；挥舞
wriggle,"vt. 使蠕动；蠕动到；不知不觉地潜入
vi. 蠕动；蜿蜒而行
n. 蠕动；扭动"
manifesto,"n. 宣言；声明；告示
vi. 发表宣言"
abate,"vt. 减轻；减少；废除
vi. 减轻；失效"
baleful,adj. 恶意的；有害的
perception,n. 知觉； 感觉；看法；洞察力；获取
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
harrow,"vt. 耙地；使苦恼
n. 耙
vi. 被耙松"
dab,"n. 轻拍；少量；熟手；比目鱼
v. 轻拍；涂；轻擦；轻敷（过去式dabbed，过去分词dabbed，现在分词dabbing，第三人称单数dabs）"
supersede,"vt. 取代，代替；紧接着……而到来
vi. 推迟行动"
inquisition,n. 调查；宗教法庭；审讯
tacit,adj. 缄默的；不言而喻的；心照不宣的；默许的
waive,vt. 放弃；搁置
