technology,n. 技术；工艺；术语
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
ton,n. 吨；很多，大量
toxic,adj. 有毒的；中毒的
trillion,"num.  万亿
n.  万亿
adj. 万亿的"
undermine,vt. 破坏，渐渐破坏；挖掘地基
youth,n. 青年；青春；年轻；青少年时期
abundant,adj. 丰富的；充裕的；盛产
accustom,vt. 使习惯于
adolescence,n. 青春期
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
ageing,"n. 老化；变老，成熟
adj. 变老的，老化的
v. 变老（age的现在分词）"
aging,n. 老化；陈化，熟化
approximately,adv. 大约，近似地；近于
arrangement,n. 布置；整理；准备
assert,vt. 维护，坚持；断言；主张；声称
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
bacteria,n.  细菌
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
businessman,n. 商人
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
checkout,n. 检验；签出；结账台；检出
circus,n. 马戏；马戏团
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
classify,vt. 分类；分等
clinical,adj. 临床的；诊所的
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
collaborate,vi. 合作；勾结，通敌
communal,adj. 公共的；公社的
competitiveness,n. 竞争力，好竞争
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
conscious,adj. 意识到的；故意的；神志清醒的
conservative,找不到解释
consistent,adj. 始终如一的，一致的；坚持的
consistently,adv. 一贯地；一致地；坚实地
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
counsellor,n. 顾问；参赞；辅导员（等于counselor）；律师；法律顾问
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
definition,n. 定义； 清晰度；解说
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
deteriorate,"vi. 恶化，变坏
vt. 恶化"
developer,n. 开发者； 显影剂
dioxide,n. 二氧化物
distinction,n. 区别；差别；特性；荣誉、勋章
distinctive,adj. 有特色的，与众不同的
distribution,n. 分布；分配
doll,"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展"
dweller,n. 居民，居住者
elimination,n. 消除；淘汰；除去
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
fertilizer,n.  肥料；受精媒介物；促进发展者
fierce,adj. 凶猛的；猛烈的；暴躁的
fitness,n. 健康；适当；适合性
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
hacker,n. 电脑黑客，企图不法侵入他人电脑系统的人
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
historic,adj. 有历史意义的；历史上著名的
historically,adv. 历史上地；从历史观点上说
ideology,n. 意识形态；思想意识；观念学
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
inefficient,adj. 无效率的，效率低的；无能的
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
install,vt. 安装；任命；安顿
insult,"n. 侮辱；凌辱；无礼
vt. 侮辱；辱骂；损害"
interpretation,n. 解释；翻译；演出
intuitive,adj. 直觉的；凭直觉获知的
legend,n. 传奇；说明；图例；刻印文字
legislator,n. 立法者
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
monetary,adj. 货币的；财政的
municipal,adj. 市政的，市的；地方自治的
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
nonetheless,adv. 尽管如此，但是
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
obviously,"adv. 明显地
显然地"
occupy,vt. 占据，占领；居住；使忙碌
overuse,"n. 过度使用
vt. 把…使用过度"
pacific,"adj. 和平的；温和的；平静的
n. 太平洋
adj. 太平洋的"
parenting,"n. 父母对子女的养育
v. 教养（parent的ing形式）；做…的父亲或母亲"
passionate,adj. 热情的；热烈的，激昂的；易怒的
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
persistent,adj. 固执的，坚持的；持久稳固的
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
poorly,"adj. 身体不舒服的；心情恶劣的
adv. 贫穷地；贫乏地；不充分地"
portray,vt. 描绘；扮演
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
possibly,adv. 可能地；也许；大概
predator,n.  捕食者； 食肉动物；掠夺者
predominantly,adv. 主要地；显著地
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
propel,vt. 推进；驱使；激励；驱策
publication,n. 出版；出版物；发表
quantitative,adj. 定量的；量的，数量的
recipe,n. 食谱； 处方；秘诀；烹饪法
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
ring,"n. 戒指；铃声，钟声；拳击场；环形物
vi. 按铃；敲钟；回响；成环形
vt. 按铃；包围；敲钟；套住"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
selection,n. 选择，挑选；选集；精选品
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
serving,"n. 服务；上菜；一份食物
v. 服务（serve的ing形式）
adj. 用于上菜的"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
socio-economic,adj. 社会经济的
specifically,adv. 特别地；明确地
spectacular,adj. 壮观的，惊人的；公开展示的
stimulation,n. 刺激；激励，鼓舞
subsequently,adv. 随后，其后；后来
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
testify,"vi. 作证；证明
vt. 证明，证实；作证"
testimony,n.  证词，证言；证据
totally,adv. 完全地
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
transparent,adj. 透明的；显然的；坦率的；易懂的
treaty,n. 条约，协议；谈判
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
uncomfortable,adj. 不舒服的；不安的
undergo,vt. 经历，经受；忍受
underground,"n. 地下；地铁；地道；地下组织；秘密活动；先锋派团体
adj. 地下的；秘密的；先锋派的
adv. 在地下；秘密地"
unity,n. 团结；一致；联合；个体
urgency,n. 紧急；催促；紧急的事
visual,adj. 视觉的，视力的；栩栩如生的
willingness,n. 乐意；心甘情愿；自动自发
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
agenda,n. 议程；日常工作事项；日程表
aggravate,vt. 加重；使恶化；激怒
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
anniversary,n. 周年纪念日
architecture,n. 建筑学；建筑风格；建筑式样；架构
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
bacon,n. 咸肉；腌肉；熏猪肉
ballet,n. 芭蕾舞剧；芭蕾舞乐曲
bankruptcy,n. 破产
beverage,n. 饮料
breath,n. 呼吸，气息；一口气，（呼吸的）一次；瞬间，瞬息；微风；迹象；无声音，气音
bury,vt. 埋葬；隐藏
capability,n. 才能，能力；性能，容量
capitalist,"n. 资本家；资本主义者
adj. 资本主义的；资本家的"
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
catastrophic,adj. 灾难的；悲惨的；灾难性的，毁灭性的
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
cautious,adj. 谨慎的；十分小心的
certification,n. 证明，保证；检定
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
chronically,adv. 长期地；慢性地；习惯性地
chunk,n. 大块；矮胖的人或物
citation,n. 引用，引证； 传票；褒扬
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
collaborative,adj. 合作的，协作的
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
comparable,adj. 可比较的；比得上的
complexity,n. 复杂，复杂性；复杂错综的事物
composition,n. 作文，作曲，作品； 构成；合成物；成分
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
consultant,n. 顾问；咨询者；会诊医生
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
contributor,n. 贡献者；投稿者；捐助者
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
dean,n. 院长；系主任；教务长；主持牧师
decent,adj. 正派的；得体的；相当好的
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
dedicate,vt. 致力；献身；题献
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
democracy,n. 民主，民主主义；民主政治
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
destructive,adj. 破坏的；毁灭性的；有害的，消极的
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
dip,"n. 下沉，下降；倾斜；浸渍，蘸湿
vi. 浸；下降，下沉；倾斜；舀，掏
vt. 浸，泡，蘸；舀取；把伸入"
disable,vt. 使失去能力；使残废；使无资格
disadvantaged,"n. 弱势团体；不利条件
adj. 贫困的；处于不利地位的；社会地位低下的
v. 使处于不利地位（disadvantage的过去式和过去分词）"
disruption,n. 破坏，毁坏；分裂，瓦解
distribute,vt. 分配；散布；分开；把…分类
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
effectiveness,n. 效力
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
enforce,vt. 实施，执行；强迫，强制
enthusiasm,n. 热心，热忱，热情
entirely,adv. 完全地，彻底地
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
ethnic,adj. 种族的；人种的
excellence,n. 优秀；美德；长处
exclude,vt. 排除；排斥；拒绝接纳；逐出
explosion,n. 爆炸；爆发；激增
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
financially,adv. 财政上；金融上
formulate,vt. 规划；用公式表示；明确地表达
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
globalisation,n. 全球化，=globalization
handful,n. 少数；一把；棘手事
hemisphere,n. 半球
hesitant,adj. 迟疑的；踌躇的；犹豫不定的
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
incredibly,adv. 难以置信地；非常地
independence,n. 独立性，自立性；自主
indirect,adj. 间接的；迂回的；非直截了当的
inertia,n.  惯性；惰性，迟钝；不活动
inevitably,adv. 不可避免地；必然地
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
insurer,n. 保险公司；承保人
intensely,adv. 强烈地；紧张地；热情地
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
intimidating,adj. 吓人的
intolerance,n. （尤指对别人的意见）不宽容；偏狭
irreversible,adj. 不可逆的；不能取消的；不能翻转的
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
lawmaker,n. 立法者
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
lessen,"vt. 使…变小；使…减轻；使…变少
vi. 减少；减轻；变小"
lifelong,adj. 终身的
managerial,adj.  管理的；经理的
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
metric,"adj. 公制的；米制的；公尺的
n. 度量标准"
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
millennium,n. 千年期，千禧年；一千年，千年纪念；太平盛世，黄金时代
needy,adj. 贫困的；贫穷的；生活艰苦的
negotiator,n. 谈判者；磋商者；交涉者
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
nutritionist,n. 营养工作者
on-screen,"屏幕上的
银幕上的
银幕上地"
optimism,n. 乐观；乐观主义
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
originally,adv. 最初，起初；本来
oven,n. 炉，灶；烤炉，烤箱
overwork,"vi. 工作过度
vt. 工作过度
n. 过度工作
过度工作的"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
perception,n. 知觉； 感觉；看法；洞察力；获取
persuasive,adj. 有说服力的；劝诱的，劝说的
petroleum,n. 石油
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
politically,adv. 政治上
pollutant,n. 污染物
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
prevalent,adj. 流行的；普遍的，广传的
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
questionnaire,n. 问卷；调查表
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
ranking,"n. 等级；地位
adj. 上级的；头等的；超群的
v. 排列；归类于（rank的ing形式）"
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
reflection,n. 反射；沉思；映象
registration,n. 登记；注册；挂号
reinforcement,n. 加固；增援；援军；加强
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
representation,n. 代表；表现；表示法；陈述
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
restrict,vt. 限制；约束；限定
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
robust,adj. 强健的；健康的；粗野的；粗鲁的
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
sake,n. 目的；利益；理由；日本米酒
salty,adj. 咸的；含盐的
satellite,n. 卫星；人造卫星；随从；卫星国家
scared,"v. 使害怕（scare的过去分词）
adj. 害怕的"
separation,n. 分离，分开；间隔，距离； 分居；缺口
sewage,n. 污水；下水道；污物
sharply,adv. 急剧地；锐利地
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
situate,"adj. 位于…的
vt. 使位于；使处于"
slacker,n. 懒鬼；逃避兵役者
slavery,n. 奴役；奴隶制度；奴隶身份
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
strive,vi. 努力；奋斗；抗争
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
supposedly,adv. 可能；按照推测；恐怕
sustainably,adv. 支撑得住；能保持住地
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
syndrome,n.  综合症状；并发症状；校验子；并发位
technologically,adv. 科技地；技术上地
temporarily,adv. 临时地，临时
texture,n. 质地；纹理；结构；本质，实质
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
trader,n. 交易者；商人；商船
trait,n. 特性，特点；品质；少许
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
underlie,vt. 成为……的基础；位于……之下
unrealistic,adj. 不切实际的；不实在的
untreated,adj. 未经处理的；未经治疗的
usage,n. 使用；用法；惯例
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
virtue,n. 美德；优点；贞操；功效
vivid,adj. 生动的；鲜明的；鲜艳的
vocational,adj. 职业的，行业的
acceptable,adj. 可接受的；合意的；可忍受的
acceptance,n. 接纳；赞同；容忍
aisle,n. 通道，走道；侧廊
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
amendment,n. 修正案；改善；改正
arguably,"adv. 可论证地；可争辩地；正如可提出证据加以证明的那样地
可能，大概"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
assure,vt. 保证；担保；使确信；弄清楚
attachment,n. 附件；依恋；连接物；扣押财产
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
barrel,"n. 桶；枪管，炮管
vt. 把……装入桶内
vi. 快速移动"
bizarre,adj. 奇异的（指态度，容貌，款式等）
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
breakthrough,n. 突破；突破性进展
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
bureaucracy,n. 官僚主义；官僚机构；官僚政治
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
certify,v. 证明；保证
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
civic,adj. 市的；公民的，市民的
colony,n. 殖民地；移民队；种群；动物栖息地
compensation,n. 补偿；报酬；赔偿金
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
confrontation,n. 对抗；面对；对质
consensus,n. 一致；舆论；合意
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
contaminate,vt. 污染，弄脏
continuous,adj. 连续的，持续的；继续的；连绵不断的
corrosive,"n. 腐蚀物
adj. 腐蚀的；侵蚀性的"
courageous,adj. 有胆量的，勇敢的
cosy,"n. 保温罩
adj. 舒适的；惬意的"
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
cultivation,n. 培养；耕作；耕种；教化；文雅
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
debris,n. 碎片，残骸
dedication,n. 奉献；献身；赠言
defend,"vi. 保卫；防守
vt. 辩护；防护"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
density,n. 密度
deprive,vt. 使丧失，剥夺
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
distinct,adj. 明显的；独特的；清楚的；有区别的
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
drone,"n. 雄蜂；嗡嗡的声音；懒惰者
n. 无人机（非正式）
vt. 低沉地说
vi. 嗡嗡作声；混日子"
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
endless,adj. 无止境的；连续的；环状的；漫无目的的
endorsement,n. 认可，支持；背书；签注（文件）
enforcement,n. 执行，实施；强制
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
ethical,"n. 处方药
adj. 伦理的；道德的；凭处方出售的"
exaggeration,n. 夸张；夸大之词；夸张的手法
exotic,adj. 异国的；外来的；异国情调的
extensive,adj. 广泛的；大量的；广阔的
faith,n. 信仰；信念；信任；忠实
favourable,"n. 有利
adj. 有利的，顺利的；赞成的"
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
feasible,adj. 可行的；可能的；可实行的
fertility,n. 多产；肥沃； 生产力；丰饶
finite,"n. 有限之物
adj. 有限的；限定的"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
grim,adj. 冷酷的；糟糕的；残忍的
groundbreaking,"n. 动工
adj. 开创性的"
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
hurricane,n. 飓风，暴风
hypothesis,n. 假设
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
inadequate,adj. 不充分的，不适当的
incidentally,adv. 顺便；偶然地；附带地
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
incur,vt. 招致，引发；蒙受
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
inevitable,adj. 必然的，不可避免的
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
instruct,vt. 指导；通知；命令；教授
instrument,n. 仪器；工具；乐器；手段；器械
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
intrinsic,adj. 本质的，固有的
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
irrelevant,adj. 不相干的；不切题的
jeopardize,vt. 危害；使陷危地；使受危困
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
literary,adj. 文学的；书面的；精通文学的
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
marginal,adj. 边缘的；临界的；末端的
mentor,"n. 指导者，良师益友
vt. 指导"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
monopoly,n. 垄断；垄断者；专卖权
morality,n. 道德；品行，美德
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
multitude,n. 群众；多数
navy,"n. 海军
深蓝色的"
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
obligation,n. 义务；职责；债务
orientation,n. 方向；定向；适应；情况介绍；向东方
overly,adv. 过度地；极度地
overview,n.  综述；概观
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
paradise,"n. 天堂
至福境地"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
pole,找不到解释
precise,adj. 精确的；明确的；严格的
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
reap,"vt. 收获，获得；收割
vi. 收割，收获"
refine,vt. 精炼，提纯；改善；使…文雅
refuge,"n. 避难；避难所；庇护
vt. 给予…庇护；接纳…避难
vi. 避难；逃避"
