ability,n. 能力，能耐；才能
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
huge,adj. 巨大的；庞大的；无限的
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
human,"n. 人；人类
adj. 人的；人类的"
humane,adj. 仁慈的，人道的；高尚的
humanism,"n. 人道主义
adj. 人文主义的；人道主义的"
humanist,"n. 人道主义者；人类学者，人文学者；人文主义者
adj. 人文主义的；人道主义的"
humankind,n. 人类（总称）
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
hundred,"num. 百；百个
n. 一百；许多
adj. 一百的；许多的"
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿"
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
hurricane,n. 飓风，暴风
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
husband,"n. 丈夫
vt. 节约地使用（或管理）"
ice,"n. 冰；冰淇淋；矜持；（俚）钻石
adj. 冰的
vt. 冰镇；结冰
vi. 结冰"
iceberg,n.  冰山；显露部分
ice-cream,"a. 冰淇淋的, 乳白色的"
idea,n. 想法；主意；概念
idiom,n. 成语，习语；土话
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
ignore,vt. 驳回诉讼；忽视；不理睬
ill,"n. 疾病；不幸
adj. 生病的；坏的；邪恶的；不吉利的
adv. 不利地；恶劣地；几乎不"
illness,n. 病；疾病
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
importance,n. 价值；重要；重大；傲慢
important,adj. 重要的，重大的；有地位的；有权力的
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
improvement,n. 改进，改善；提高
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
income,n. 收入，收益；所得
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
indoor,adj. 室内的，户内的
industry,n. 产业；工业；勤勉
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
information,n. 信息，资料；知识；情报；通知
injury,n. 伤害，损害；受伤处
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
inner,"n. 内部
adj. 内部的；内心的；精神的"
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
insist,"vi. 坚持，强调
vt. 坚持，强调"
instead,adv. 代替；反而；相反
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
interesting,adj. 有趣的；引起兴趣的，令人关注的
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
introduce,vt. 介绍；引进；提出；采用
introduction,n. 介绍；引进；采用；入门；传入
invention,n. 发明；发明物；虚构；发明才能
invite,"n. 邀请
vt. 邀请，招待；招致"
inward,"n. 内部；内脏；密友
adj. 向内的；内部的；精神的；本质上的；熟悉的
adv. 向内；内心里"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
jack,"n. 千斤顶； 插座；男人
adj. 雄的
vt. 增加；提醒；抬起；用千斤顶顶起某物"
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
jade,"n. 翡翠； 碧玉；老马
adj. 玉制的；绿玉色的
vt. 使疲倦
vi. 疲倦"
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
January,n. 一月
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
jelly,"n. 果冻；胶状物
vi. 成胶状
vt. 使结冻"
jewel,"n. 宝石；珠宝
vt. 镶以宝石；饰以珠宝"
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
joke,"n. 玩笑，笑话；笑柄
vt. 开…的玩笑
vi. 开玩笑"
journal,n. 日报，杂志；日记；分类账
journey,"n. 旅行；行程
vi. 旅行"
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
judgment,n. 判断；裁判；判决书；辨别力
juicy,adj. 多汁的；利润多的；生动的
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
kill,"vt. 杀死；扼杀；使终止；抵消
vi. 杀死
n. 杀戮；屠杀
adj. 致命的；致死的"
kilowatt,n.  千瓦（功率单位）
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
kindness,n. 仁慈；好意；友好的行为
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
kingdom,n. 王国；界；领域
kiss,"vt. 吻；（风等）轻拂
vi. 接吻；（风等）轻触
n. 吻；轻拂"
kitchen,n. 厨房；炊具；炊事人员
knee,"n. 膝盖，膝
vt. 用膝盖碰"
kneel,vi. 跪下，跪
knife,"n. 刀；匕首
vt. 用刀切；（口）伤害
vi. 劈开；划过"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
knowledge,n. 知识，学问；知道，认识；学科
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
lad,n. 少年，小伙子；家伙
lady,n. 女士，夫人；小姐；妻子
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
landmine,n. 地雷（等于land mine）
lane,n. 小巷； 航线；车道；罚球区
language,n. 语言；语言文字；表达能力
lantern,n. 灯笼；提灯；灯笼式天窗
laptop,n. 膝上型轻便电脑，笔记本电脑
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
largely,adv. 主要地；大部分；大量地
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的"
Latin,"adj. 拉丁语的；拉丁人的
n. 拉丁语；拉丁人"
laugh,"n. 笑；引人发笑的事或人
vi. 笑
vt. 以笑表示；使…笑得"
laughter,n. 笑；笑声
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
lawyer,n. 律师；法学家
lazy,adj. 懒惰的；懒洋洋的；怠惰的；慢吞吞的
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
learn,"vt. 学习；得知；认识到
vi. 学习；获悉"
learning,"n. 学习；学问
v. 学习（learn的现在分词）"
least,"adj. 最小的；最少的（little的最高级）
adv. 最小；最少
n. 最小；最少"
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
left,"adj. 左边的；左派的；剩下的
adv. 在左面
n. 左边；左派；激进分子
v. 离开（leave的过去式）"
left-handed,adj. 左撇的；用左手的；笨拙的
leftist,"n. 左派；急进派；左翼的人；左撇子
adj. 左派的；左撇子的；急进派的"
leg,n. 腿；支柱
legend,n. 传奇；说明；图例；刻印文字
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
less,"adv. 较少地；较小地；更小地
adj. 较少的；较小的
prep. 减去
n. 较少；较小"
lesson,"n. 教训；课
vt. 教训；上课"
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
library,n. 图书馆，藏书室；文库
lieutenant,n. 中尉；副官；助理人员
life,n. 生活，生存；寿命
lifetime,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的"
lightly,adv. 轻轻地；轻松地；容易地；不费力地
like,"vt. 喜欢；想；愿意
vi. 喜欢；希望
prep. 像；如同
adj. 同样的；相似的
n. 爱好；同样的人或物
adv. 可能
conj. 好像"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
limit,"n. 限制；限度；界线
vt. 限制；限定"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
linen,"n. 亚麻布，亚麻线；亚麻制品
adj. 亚麻的；亚麻布制的"
liner,n. 班轮，班机；衬垫；画线者
lion,n. 狮子；名人；勇猛的人；社交场合的名流
lip,"n. 嘴唇；边缘
vt. 以嘴唇碰
adj. 口头上的
vi. 用嘴唇"
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
living,"adj. 活的；现存的；活跃的；逼真的
n. 生活；生存；生计
v. 生活；居住（live的ing形式）；度过"
living-room,n. 起居室；客厅
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
locust,n.  蝗虫， 蚱蜢
logo,n. 商标，徽标；标识语
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
look,"vt. 看；期待；注意；面向；看上去像
vi. 看；看起来；注意；面向
n. 看；样子；面容"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
lose,"vt. 浪费；使沉溺于；使迷路；遗失；错过
vi. 失败；受损失"
lot,"n. 份额；许多；命运；阄
adv. （与形容词和副词连用）很，非常；（与动词连用）非常
pron. 大量，许多
vt. 分组，把…划分（常与out连用）；把（土地）划分成块
vi. 抽签，拈阄"
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
love,"n. 恋爱；亲爱的；酷爱；喜爱的事物；爱情，爱意；疼爱；热爱；爱人，所爱之物
v. 爱，热爱；爱戴；赞美，称赞；喜爱；喜好；喜欢；爱慕"
lovely,"adj. 可爱的；令人愉快的；爱恋的；秀丽的，优美的
n. 美女；可爱的东西"
lover,"n. 爱人，恋人；爱好者
n. 小三；第三者"
low,"adj. 低的，浅的；卑贱的；粗俗的；消沉的
adv. 低声地；谦卑地，低下地
n. 低；低价；低点；牛叫声
vi. 牛叫"
luck,"n. 运气；幸运；带来好运的东西
vi. 靠运气，走运；凑巧碰上"
lucky,adj. 幸运的；侥幸的
luggage,n. 行李；皮箱
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
lung,n. 肺；呼吸器
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
madam,n. 夫人；女士；鸨母
magazine,n. 杂志；弹药库；胶卷盒
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
mall,n. 购物商场；林荫路；铁圈球场
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
management,n. 管理；管理人员；管理部门；操纵；经营手段
manager,n. 经理；管理人员
mankind,n. 人类；男性
man-made,adj. 人造的；人工的；合成的
manner,n. 方式；习惯；种类；规矩；风俗
mansion,n. 大厦；宅邸
manual,"adj. 手工的；体力的
n. 手册，指南"
manufacturer,n. 制造商； 厂商
march,n. 三月
March,找不到解释
market,"n. 市场；行情；股票市场；市面；集市；销路；商店
vt. 在市场上出售
vi. 做买卖"
marriage,n. 结婚；婚姻生活；密切结合，合并
married,"adj. 已婚的，有配偶的；婚姻的，夫妇的；密切结合的
n. 已婚者
v. 结婚，与…结婚（marry的过去式）"
marry,"vt. 嫁；娶；与……结婚
vi. 结婚"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
mathematics,n. 数学；数学运算
May,找不到解释
maybe,"adv. 也许；可能；大概
n. 可能性；不确定性"
meadow,n. 草地；牧场
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
meaning,"n. 意义；含义；意图
adj. 意味深长的
v. 意味；意思是（mean的ing形式）"
meanwhile,"adv. 同时，其间
n. 其间，其时"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
meat,n. 肉，肉类（食用）
Medicare,找不到解释
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
meeting,"n. 会议；会见；集会；汇合点
v. 会面；会合（meet的ing形式）"
melon,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
member,n. 成员；会员；议员
membership,n. 资格；成员资格；会员身份
memory,n. 记忆，记忆力；内存， 存储器；回忆
mend,"vt. 修理，修补；改善；修改
vi. 改善，好转
n. 好转，改进；修补处"
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
metallic,adj. 金属的，含金属的
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
microwave,n. 微波
middle,"adj. 中间的，中部的；中级的，中等的
n. 中间，中央；腰部"
Midwest,n. 美国的中西部
midwife,"n. 助产士；促成因素
vt. 助胎儿出生；促成"
might,"n. 力量；威力；势力
v. 可以；或许（may的过去式）；应该
aux. 可能；也许"
mile,n. 英里；一英里赛跑；较大的距离
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
minibus,"n. 面包车（等于microbus）；小型公共汽车；中客车
vi. 乘中客车"
ministry,n. （政府的）部门
mint,"n. 薄荷； 造币厂，巨款
vt. 铸造，铸币
adj. 完美的"
minute,"n. 分，分钟；片刻，一会儿；备忘录，笔记；会议记录
vt. 将…记录下来
adj. 微小的，详细的 "
miserable,adj. 悲惨的；痛苦的；卑鄙的
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
missing,"adj. 失踪的；缺少的
v. 错过（miss的ing形式）；想念；漏掉"
missionary,"adj. 传教的；传教士的
n. 传教士"
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
Mister,n. 先生（用于姓名或职称前，常缩写为Mr.）
misunderstand,vt. 误解；误会
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
modem,n. 调制解调器（等于modulator-demodulator）
modernization,n. 现代化
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
module,n.  模块；组件；模数
Monday,n. 星期一
monk,n. 僧侣，修道士；和尚
money,n. 钱；货币；财富
monkey,"n. 猴子；顽童
vi. 胡闹；捣蛋
vt. 嘲弄"
month,n. 月，一个月的时间
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
mood,n. 情绪，语气；心境；气氛
moon,"n. 月亮；月球；月光；卫星
vi. 闲荡；出神
vt. 虚度"
moon-cake,月饼
mop,"vt. 擦干；用拖把拖洗
vi. 用拖把擦洗地板；扮鬼脸
n. 拖把；蓬松的头发；鬼脸"
moreover,adv. 而且；此外
morning,n. 早晨；黎明；初期
moss,"n. 苔藓；泥沼
vt. 使长满苔藓"
mostly,adv. 主要地；通常；多半地
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
motel,n. 汽车旅馆
motorbike,n. 摩托车
moustache,n. 小胡子；髭；触须
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
movement,n. 运动；活动；运转；乐章
movie,"n. 电影；电影院；电影业
adj. 电影的"
much,"adv. 非常，很
adj. 大量的
n. 许多，大量
pron. 许多，大量"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
museum,n. 博物馆
music,n. 音乐，乐曲
musician,n. 音乐家
mutton,n. 羊肉
myth,n. 神话；虚构的人，虚构的事
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
nation,n. 国家；民族；国民
naught,"n.  零；无价值
adj. 无价值的；无用的"
near,"adj. 近的；亲近的；近似的
adv. 近；接近
prep. 靠近；近似于"
nearby,"adj. 附近的，邻近的
adv. 在附近
prep. 在…附近"
nearly,adv. 差不多，几乎；密切地
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻"
need,"n. 需要，要求；缺乏；必要之物
vt. 需要
vi. 需要"
needle,"n. 针；指针；刺激；针状物
vi. 缝纫；做针线
vt. 刺激；用针缝"
Negro,找不到解释
neighbor,"n. 邻居
adj. 邻近的
vi. 友好；毗邻而居
vt. 邻接"
neighborhood,n. 附近；街坊；接近；街区
network,n. 网络；广播网；网状物
night,"n. 夜晚，晚上；黑暗，黑夜
adj. 夜晚的，夜间的"
night-club,n. 夜总会
ninth,"num. 第九
adj. 第九的；九分之一的
n. 九分之一"
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
nobody,"pron. 无人，没有人；没有任何人
n. 无名小卒；小人物"
noodle,n. 面条；笨蛋
noise,"n.  噪音；响声；杂音
vt. 谣传
vi. 发出声音；大声议论"
noisy,adj. .嘈杂的；喧闹的；聒噪的
none,"pron. 没有人；一个也没有；没有任何东西
adj. 没有的，一点没有的
adv. 决不，一点也不"
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
north,找不到解释
northeast,"adj. 东北的；向东北的；来自东北的
n. 东北
adv. 向东北；来自东北"
northern,"adj. 北部的；北方的
n. 北部方言"
nose,"n. 鼻子；嗅觉；突出的部分；探问
vt. 嗅；用鼻子触
vi. 小心探索着前进；探问"
notebook,n. 笔记本，笔记簿；手册
nothing,"neg. 没什么；毫不
n. 无；零；不关紧要之事
adv. 毫不；决不
pron. 无事；无物
int. 什么也没有"
noun,n. 名词
novel,"adj. 新奇的；异常的
n. 小说"
November,n. 十一月
nowadays,"adv. 现今；时下
n. 当今"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
nylon,n. 尼龙， 聚酰胺纤维；尼龙袜
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
ocean,n. 海洋；大量；广阔
o'clock,abbr. …点钟（等于of the clock）
October,n.  十月
off,"prep. 离开；脱落
adv. 切断；走开
adj. 远离的；空闲的"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
office,n. 办公室；政府机关；官职；营业处
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
often,adv. 常常，时常
oil,"n. 油；石油；油画颜料
vt. 加油；涂油；使融化
vi. 融化；加燃油"
oily,adj. 油的；油质的；油滑的；油腔滑调的
okay,"adv. 可以；对；很好地
adj. 可以；对；不错
n. 同意，批准
int. 好；行"
olive,"n. 橄榄；橄榄树；橄榄色
adj. 橄榄的；橄榄色的"
only,"adv. 只，仅仅；不料
adj. 唯一的，仅有的；最合适的
conj. 但是；不过；可是"
onto,"prep. 在…之上；对…了解；映射到…上
adj. 映射的；自身的；映成的"
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
opinion,n. 意见；主张
opium,"n. 鸦片；麻醉剂
adj. 鸦片的"
optic,"adj. 光学的；视觉的；眼睛的
n. 眼睛；镜片"
orange,"adj. 橙色的；橘色的
n. 橙；橙色；桔子"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
ore,n. 矿；矿石
oriental,"adj. 东方的；东方人的
n. 东方人"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
ouch,"n. 扣环
int. 哎哟（突然疼痛时发出的声音）"
ought,"aux. 应该，应当；大概
vi. 应该，应当；大概"
ounce,n. 盎司；少量；雪豹
out,"adv. 出现；在外；出局；出声地；不流行地
adj. 外面的；出局的；下台的
n. 出局
prep. 向；离去
vi. 出来；暴露
vt. 使熄灭；驱逐"
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）"
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
overcoat,n. 大衣，外套
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的"
owner,n.  所有者；物主
page,"n. 页；记录；大事件，时期；男侍者
vt. 给…标页码
vi. 翻书页，浏览"
painful,adj. 痛苦的；疼痛的；令人不快的
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
painter,n. 画家；油漆匠
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
pair,"n. 一对，一双，一副
vt. 把…组成一对"
palace,n. 宫殿；宅邸；豪华住宅
panda,n. 熊猫；猫熊
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
paperwork,n. 文书工作
paradise,"n. 天堂
至福境地"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
pardon,"n. 原谅；赦免；宽恕
vt. 原谅；赦免；宽恕"
parent,n. 父亲（或母亲）；父母亲；根源
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
partly,adv. 部分地；在一定程度上
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
passerby,n. 行人，过路人
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
pea,n. 豌豆
peace,n. 和平；平静；和睦；秩序
peaceful,adj. 和平的，爱好和平的；平静的
peanut,n. 花生
pearl,"n. 珍珠；珍珠色；杰出者；珍品
adj. 镶珍珠的；珍珠状的
vt. 使成珠状；用珍珠装饰；使呈珍珠色
vi. 采珍珠；成珍珠状"
peasant,n. 农民；乡下人
pen,"n. 钢笔；作家；围栏
vt. 写；关入栏中"
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
