state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
unimpressive,adj. 无印象的；给人印象不深的；不惹人注意的
depress,vt. 压抑；使沮丧；使萧条
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
depressant,"n. 镇静剂， 抑制剂
adj. 有镇静作用的"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
pressing,"n. 压；冲压件
v. 压；按；熨烫衣物（press的ing形式）
adj. 紧迫的；迫切的；恳切的"
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
suppress,vt. 抑制；镇压；废止
press for,"na. 催逼；(时间)迫促；(资金)短少
 迫切要求；催促；敦促"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
convey,vt. 传达；运输；让与
consequence,n. 结果；重要性；推论
in consequence,"na. 因此
 结果；因而；在…条件下"
outcome,n. 结果，结局；成果
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
contributing,"v. 捐献（contribute的ing形式）
adj. 贡献的；起作用的"
contribution,n. 贡献；捐献；投稿
contribute to,"na. 捐助；给…投稿；捐(款)给；投寄(一篇论文)给(某杂志)
 有助于；促成；贡献"
lead to,"na. 通向
 导致；引起；通往"
give rise to,"na. 惹起
 引起；导致；使发生"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
sort sth. out,"na. 清理
 分类；整理；解决"
assort,"vt. 把…分级；把…归为一类
vi. 协调；交往"
classify,vt. 分类；分等
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
threat,n. 威胁，恐吓；凶兆
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
materialism,n. 唯物主义；唯物论；物质主义
materialistic,adj. 唯物主义的；唯物论的；金钱至上的
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
observer,n. 观察者； 观测者；遵守者
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
establish,"vi. 植物定植
vt. 建立；创办；安置"
establishment,n. 确立，制定；公司；设施
well-established,"adj. 得到确认的；固定下来的
v. 已确立起来；固定下来（well-establish的过去分词）"
establish oneself in, 定居于；在…落户；在…安居下来
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
no wonder, 难怪；怪不得；不足为奇
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
access to, 接近；进入；通向…的入口
come up to,"na. 到达；不亚于；不负(期待)
 达到；符合；达到，符合"
get close to, 接近；靠近；与接近
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
take ... for granted,"v. 想当然
 认为…理所当然；视为当然；认为…是理所当然"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
composition,n. 作文，作曲，作品； 构成；合成物；成分
opposition,n. 反对；反对派；在野党；敌对
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
disposition,n. 处置； 性情； 部署；倾向
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
brainstorm,"n. 集思广益；头脑风暴；灵机一动
vt. 集体讨论；集思广益以寻找
vi. 集体讨论；动脑筋；出主意"
brain-drain,"n. 人才外流；人才流失
 人材流失；人才的不断流出；大量流失"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
determinedly,adv. 决然地；断然地
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
terminally,adv. 最后；在末端；处于末期症状上；致命地
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
clause,n. 条款； 子句
increasingly,adv. 越来越多地；渐增地
increased,adj. 增强的（increase的过去分词）
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
laboratory,n. 实验室，研究室
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
laborsaving,adj. 节省劳力的，省力气的
collaborate,vi. 合作；勾结，通敌
collaboratively,adv. 合作地；协作地
workforce,n. 劳动力；工人总数，职工总数
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
renounce,"n. 垫牌
vt. 宣布放弃；与…断绝关系；垫牌
vi. 放弃权利；垫牌"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
vital,adj. 至关重要的；生死攸关的；有活力的
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
core,找不到解释
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
headache,n. 头痛；麻烦；令人头痛之事
go-ahead,"n. 前进，进步；放行信号
adj. 前进着的"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
headway,n. 前进；进步；航行速度；间隔时间
headlong,"adj. 轻率的；头向前的；匆促而用力的
adv. 头向前地；猛然用力地"
headhunter,n. 猎头者；物色人才的人；猎取人头的蛮人
head for,"na. 走向
 前往；向…方向前进；朝…方向走去"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
talent,n. 才能；天才；天资
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
respected,"v. 尊敬；重视（respect的过去式和过去分词）
adj. 受尊敬的"
respectable,"n. 可敬的人
adj. 值得尊敬的；人格高尚的；相当数量的"
respectively,adv. 分别地；各自地，独自地
irrespectively,adv. 无关地
with respect to,"na. 考虑到
 关于；至于；有关"
in respect of,"na. 关于
 就…来说；关于和涉及；至于"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
maintain,vt. 维持；继续；维修；主张；供养
retain,vt. 保持；雇；记住
uphold,vt. 支撑；鼓励；赞成；举起
sustain,vt. 维持；支撑，承担；忍受；供养；证实
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
primarily,adv. 首先；主要地，根本上
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
interrelated,"adj. 相关的；互相联系的
v. 使相互联系（interrelate的过去式）"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
correlated,"adj. 有相互关系的
v. （使）相关联；（使）相互对照（correlate的过去分词）"
be correlated with,"v. 与…相关连
 和……有关系；相关词组；与---有关"
relate to,"na. 有关联；与…有关；理解
 涉及；与…有联系；与……有关联"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
commune,"n. 公社
vi. 谈心，亲密交谈；密切联系"
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
directive,"n. 指示；指令
adj. 指导的；管理的"
indirectly,adv. 间接地；不诚实；迂回地
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
frankly,adv. 真诚地，坦白地
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
likewise,adv. 同样地；也
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
reflection,n. 反射；沉思；映象
unreflecting,adj. 不反射的; 不反省的; 无思虑的; 浅薄的
reflect on,"v. 考虑；回想
 反省；思考；仔细考虑"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
landing,"n. 登陆；码头；楼梯平台
v. 登陆（land的ing形式）"
element,n. 元素；要素；原理；成分；自然环境
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
indicate,vt. 表明；指出；预示；象征
expose,vt. 揭露，揭发；使曝光；显示
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
supposedly,adv. 可能；按照推测；恐怕
be exposed to, 暴露于；面临；暴露在
be composed of ...,找不到解释
as opposed to,"adv. 相反于
 和…相反；而不是；与…相对"
be supposed to,"na. …(在职务上)要；不许
 应该；被认为；被期望"
religion,n. 宗教；宗教信仰
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
suffering,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的"
suffer sth.,找不到解释
suffer from sth.,找不到解释
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
circumstance,n. 环境，情况；事件；境遇
under the circumstances,"na. 在这种情形下
 这种情况下；在这种情况下；既然如此"
in the circumstances,"na. 远不及
 在这种情况下；既然如此；既然这样"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
rejection,n. 抛弃；拒绝；被抛弃的东西；盖帽
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
occur,vi. 发生；出现；存在
occurrence,n. 发生；出现；事件；发现
incur,vt. 招致，引发；蒙受
happen,vi. 发生；碰巧；偶然遇到
arise,vi. 出现；上升；起立
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
interpersonal,adj. 人际的；人与人之间的
personality,n. 个性；品格；名人
impersonal,"n. 非人称动词；不具人格的事物
adj. 客观的；非个人的；没有人情味的；非人称的"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
certainly,adv. 当然；行（用于回答）；必定
definitely,adv. 清楚地，当然；明确地，肯定地
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
manager,n. 经理；管理人员
manageable,adj. 易管理的；易控制的；易办的
management,n. 管理；管理人员；管理部门；操纵；经营手段
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
regulate,vt. 调节，规定；控制；校准；有系统的管理
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
unrecognized,adj. 未被承认的；未被认出的；未被认可的
recognition,n. 识别；承认，认出；重视；赞誉；公认
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
objectivity,n. 客观；客观性
objectiveness,"n. 客观, 客观性"
object to sth.,找不到解释
object to doing sth.,找不到解释
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
distrust,"n. 不信任
vt. 不信任
怀疑"
mistrusted,v. 不信任( mistrust的过去式和过去分词 )
trust fund,"n. 信托基金
 信托资金；成立基金信托；托管基金"
put trust in sb.,找不到解释
put trust in sth.,找不到解释
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
critically,adv. 精密地；危急地；严重地；批评性地；用钻研眼光地；很大程度上；极为重要地
hypocritical,adj. 虚伪的；伪善的
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
be critical of, 批评的；爱挑毛病的；对……持批评态度
immediate,adj. 立即的；直接的；最接近的
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
let out,"na. 放宽；打；放出；泄漏
 泄露；发出；放掉"
let alone,"na. 任随；更不用说；放任；莫说…(连)
 更别提；更不必说；不管"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
instance,"n. 实例；情况；建议
vt. 举...为例"
instantly,"conj. 一…就…
adv. 立即地；马上地；即刻地"
instantaneously,adv. 即刻；突如其来地
for instance,"na. 例如
 比如；举例说；举例来说"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
maintain,vt. 维持；继续；维修；主张；供养
concept,n. 观念，概念
conception,n. 怀孕；概念；设想；开始
preconception,n. 偏见；先入之见；预想
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
notion,n. 概念；见解；打算
enhance,vt. 提高；加强；增加
enhanced,"v. 提高；加强（enhance的过去分词）
adj. 加强的；增大的"
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
enhancement,n. 增加；放大
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
unparalleled,adj. 无比的；无双的；空前未有的
parachute,"n. 降落伞
vi. 跳伞
空投"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
be succeeded by,vt.继之以
conscious,adj. 意识到的；故意的；神志清醒的
consciousness,n. 意识；知觉；觉悟；感觉
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
subconscious,"n. 潜在意识；下意识心理活动
adj. 潜意识的；下意识的"
be conscious of,"na. 意识到
 察觉；知道；觉察"
be aware of,"na. 知道
 意识到；觉察；了解"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
spontaneous,adj. 自发的；自然的；无意识的
conservative,找不到解释
conservation,n. 保存，保持；保护
conserve energy, 节约能源；保存能量；节能
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
global,adj. 全球的；总体的；球形的
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
critic,n. 批评家，评论家；爱挑剔的人
criticism,n. 批评；考证；苛求
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
muscular,adj. 肌肉的；肌肉发达的；强健的
presence,n. 存在；出席；参加；风度；仪态
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
in the presence of,"na. 在…之前；面临着…
 在…在场的情况下；在…面前；见证人"
gene,n.  基因，遗传因子
genetic,adj. 遗传的；基因的；起源的
genealogist,n. 系谱学者；系谱专家
generate,vt. 使形成；发生；生殖；产生物理反应
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
encode,vt. （将文字材料）译成密码；编码，编制成计算机语言
moral code,"n. 道德规范
 道德准则；道德标准；道德法则"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
retailer,n. 零售商；传播的人
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
upsetting,"n. 缩锻，镦锻；倾复，倒转
adj. 令人心烦意乱的，令人苦恼的"
disturbance,n. 干扰；骚乱；忧虑
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
spouse,"n. 配偶
vt. 和…结婚"
version,n. 版本；译文；倒转术
diversion,n. 转移；消遣；分散注意力
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
government,n. 政府；政体；管辖
governance,n. 管理；统治；支配
government-funded,政府资助的
self-governing,adj. 自治的；自己管理自己的
be governed by,prep.  取决于(以 ... 为转移)
administrate,vt. 管理；经营，实施
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
interpret,"vi. 解释；翻译
vt. 说明；口译"
interpretation,n. 解释；翻译；演出
misinterpret,vt. 曲解，误解
define,vt. 定义；使明确；规定
specify,vt. 指定；详细说明；列举；把…列入说明书
prove,"vi. 证明是
vt. 证明；检验；显示"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
proverb,n. 谚语，格言；众所周知的人或事
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
confirm,vt. 确认；确定；证实；批准；使巩固
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
returning,"n. 回归
v. 归还， 返回，回复（return的ing形式）"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
in return for,"na. 作…的报酬
 作为…的报答；作为对…的回报；作为…的交换"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
industry,n. 产业；工业；勤勉
industrialized,"adj. 工业化的
v. 使工业化；将…组成产业（industrialize的过去分词）"
industrialization,n. 工业化
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
be opposed to,"v. 反对；与…相对
 她不反对必要的改变；强烈地反对；反对老师的观点"
repel,vt. 击退；抵制；使厌恶；使不愉快
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
imaging,"n. 成像
v. 想像（image的ing形式）；画…的像"
imaginary,adj. 虚构的，假想的；想像的；虚数的
unimaginable,adj. 不可思议的；难以想像的
imaginative,adj. 富于想象的；有创造力的
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
drop by,"na. 随便访问一下
 顺便拜访；顺道拜访；非正式访问"
drop out,"na. 退出；(因不满传统制度而)退出正常社会；落出；隐退
 退学；辍学；掉落"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
engage in,"na. 从事；参加
 参与；从事于；忙于"
engage with,"un. 与…交战；与…接洽
 建立友好关系；交流；与……交战"
property,n. 性质，性能；财产；所有权
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
unemployment,n. 失业；失业率；失业人数
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
employer,n. 雇主，老板
employee,n. 雇员；从业员工
employment,n. 使用；职业；雇用
unemployment rate,"un. 失业率
 失业增长率；社会失业率；失业率与非农就业数据"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
responsible,adj. 负责的，可靠的；有责任的
responsibility,n. 责任，职责；义务
corresponding,"adj. 相当的，相应的；一致的；通信的
v. 类似（correspond的ing形式）；相配"
correspondent,n. 通讯记者；客户；通信者；代理商行
respond to ...,找不到解释
in response to,"na. 应…而
 响应；回答；对…做出反应"
afford,vt. 给予，提供；买得起
unaffordable,adj. 买不起的
afford to,（有条件）做；能承担；买得起某物；支付的起
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
complexity,n. 复杂，复杂性；复杂错综的事物
perplexing,adj. 复杂的，令人费解的；令人困惑的
intricate,adj. 复杂的；错综的，缠结的
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
ensure,vt. 保证，确保；使安全
assure,vt. 保证；担保；使确信；弄清楚
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
unfavorable,adj. 不宜的；令人不快的；不顺利的
in favor of,"na. 赞成；有利于；付与
 支持；赞同；为了支持"
novel,"adj. 新奇的；异常的
n. 小说"
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
requirement,n. 要求；必要条件；必需品
require,vt. 需要；要求；命令
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
predominance,n. 优势；卓越
predominantly,adv. 主要地；显著地
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
priority,n. 优先；优先权； 优先次序；优先考虑的事
hence,adv. 因此；今后
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
be neglectful of,找不到解释
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
owing to,"conj. 由于；因为
prep. 因为；由于
 归因于；由于…的原因；多亏"
revenue,n. 税收，国家的收入；收益
taxation,n. 课税，征税；税款
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
devoted,"v. 献身于…；致力于…（devote的过去分词）
adj. 献身的；忠诚的"
election campaign,"un. 竞选运动；选举活动
 竞选活动；竞选传播与台湾社会"
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
be sorrowful of,找不到解释
grief,n. 悲痛；忧伤；不幸
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
routinely,adv. 例行公事地；老一套地
circular bus route,找不到解释
inevitable,adj. 必然的，不可避免的
unavoidable,adj. 不可避免的；不能废除的
solve,"vt. 解决；解答；溶解
vi. 作解答"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
solution,n. 解决方案；溶液；溶解；解答
commerce,n. 贸易；商业；商务
commercialized,"adj. 商业化的
v. 使商品化；靠…赚钱（commercialize的过去分词）"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
e-commerce,n. 电子商务
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
