a bunch of,"det. 一束
 一群；一堆；一串"
fix one's attention on sth.,找不到解释
fix one's eyes on,"na. 注视
 目不转睛；盯着；凝视"
float off,"na. (搁浅的船)浮起
 出浅；漂浮；的船浮起"
fly over,"un. 飞过；立体交叉用跨线桥
 飞越；飘扬；在上空飞过"
fold up,"na. 折起；放弃；倒塌；倒闭
 折叠；折叠起来；破产"
follow one's advice on,找不到解释
follow the rules,找不到解释
fool about,"na. 闲游
 游手好闲；闲荡；干蠢事"
fool around,"na. “fool about”的变体
 闲荡；鬼混；吊儿郎当"
fool sb. into doing sth.,找不到解释
for a while,"adv. 片刻
 暂时；一会儿；一时"
for example,"na. 例如
 举例；比如；比如说"
for fear that,"na. 生怕
 以免；唯恐；惟恐"
for free, 免费地；免费的；为了免费
for God's sake,"na. 看在上帝面上
 看在上帝的份上；看在上帝的面上；看在上帝份上，拜托"
for instance,"na. 例如
 比如；举例说；举例来说"
for oneself,"na. 为自己；亲自；独自
 替自己；为了自己；独立"
for one's sake,"un. 行行好；看在…面上；为了…自己好；为…着想
 为了...的缘故；为……起见；为......着想"
for one thing,"na. 第一；原因之一是
 首先；一则；一方面"
for reasons,找不到解释
for political reasons,找不到解释
for sale,"na. 出售(的)
 待售；供出售；出售的"
for the first time,"na. 第一次
 首次；初次；从第一次开始"
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
forbid sb. to do sth.,找不到解释
force oneself to one's feet,找不到解释
force sb. to do,"v. 强人所难
 强迫；好多都用不定式；被迫做某事"
foreign affairs,"n. (美国)《外交》季刊
 外交事务；外交季刊；外事"
frankly speaking,"na. 老实说
 坦白地说；坦率地说；坦白说"
from a great distance,找不到解释
from cover to cover,"na. 从头到尾
 从头至尾；从头到尾一页不漏；从头到尾地读"
from door to door,"na. 挨门挨户；家家
 挨家挨户；挨家挨户地；挨门挨户地"
from side to side,"na. 左右(摇等)
 左右摇摆；从一边到另一边；左右地"
from that time on,"adv. 自此
 从那时起；从那时以来；从那以后"
from the beginning,"na. 自始
 从一开始；从头开始；从开始"
from time to time,"na. 时时
 有时；不时；不时地"
generally speaking,"na. 一般地说；一般地说来
 一般说来；一般来说；一般而言"
get across,"na. 使了解；使通过；使人了解；与(人)冲突
 讲清楚；说明；使被理解"
get along with,"na. (工作)进行
 与……相处；相处融洽；与…友好相处"
get along well with, 与某人相处的很好；与……相处融洽；与…相处很好
get broken, 弄坏了；破碎了；被弄破
get burnt, 遭殃；被烧伤；烧着了
get caught in, 陷入；遇到；困住了
get changed, 换衣服；洗漱梳妆；换好衣服
get close to, 接近；靠近；与接近
get down to doing sth.,找不到解释
get good from ...,找不到解释
get hold of,"v. 抓住；捉住
 掌握；得到；拿到"
get hurt,"na. 受伤
 受伤了；受到伤害；受伤害"
get in,"na. 进入；收(庄稼)；收集(税收,捐款等)；插入
 到达；收割；进站"
get in touch with,"na. 和…联系
 与…取得联系；与……联系；和……取得联系"
get into,"na. 进入；穿上；成癖；陷于
 陷入；卷入；养成"
get into the habit of,"na. 养成某种习惯
 养成……的习惯；染上…的习惯；养成习惯"
get it settled,找不到解释
get married,"na. 结婚
 有感情的结婚；成婚；完婚"
get off,"na. 下车；脱下(衣服等)；脱(衣)；下(马)
 下来；动身；离开"
get on the right track,找不到解释
get on with,"na. 同“get along ”
 继续干；与…相处；继续做"
get on well with, 与……相处融洽；和……相处得好；与……相处得好
get over,"na. 同“get across”
 克服；恢复；越过"
get paid,"un. 领工资
 获得报酬；得到报酬；发工资"
get ready for,"v. 作准备
 为…做准备；为……准备好；为……作准备"
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
get separated,找不到解释
get through,"na. 花光；了结；(使)通过(议案)；及格
 到达；度过；接通"
get tired of, 对……感到厌倦；厌烦；对……厌烦
get to know sb.,找不到解释
get together,"na. 聚集；集合；汇齐；积累
 聚会；相聚；联欢"
get up to one's feet,找不到解释
get used to doing,找不到解释
get used to sth.,找不到解释
get worse,"v. 变坏
 恶化；转坏；越来越坏了"
give a hand,"un. 制住；帮着干一点
 帮助；帮忙；提供帮助"
give a promise, 许下诺言；提出诺言；给予保证
give away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
give back,"na. 归还；返回；往后站；凹陷
 恢复；送还；后退"
give birth to, 生（孩子），生育; 引起，产生; 娩出; 娩
give in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
give off,"na. 发散(水蒸气等)
 发出；放出；释放"
give one's regards to sb.,找不到解释
give out,"na. 发表；放出；分发
 发出；用完；用尽"
give over,"v. 停止；托
 放弃；让给；托付"
give sb. a lift, 让…搭车；搭便车
give sb. a message,找不到解释
give sb. advice on ...,找不到解释
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
give way to,"v. 让步；退却
 让位于；给…让路；给…让路，对…让步"
go aboard,"v. 上车
 上船；出国；我们叫登机登船登飞机"
go abroad,"na. 出国；到外国
 去国外；出洋；到国外"
go after,"na. 追求
 追逐；追赶；寻找"
go against,"na. 违背；不利于
 反对；违反；不顺心"
go ahead,"na. 取得进展
 继续；前进；干吧"
go all the way back to the time of,找不到解释
go bad,"na. (食品,蛋等)坏掉
 变坏；腐败；变质"
go by,"na. 走过；以…为根据(作判断)；顺道访问；受…所控制
 过去；经过；依照"
go down,"na. 下去；(飞机)坠落；继续到  (风,浪等)平静下来；消退
 下降；下沉；下降，降低"
go in for,"na. 赞成；寻求；参加
 从事；追求；爱好"
go mad about,找不到解释
go missing, 失踪；丢失；不见了
go off,"na. 进行得 (well； badly)；(话等)冒出
 爆炸；离开；离去"
go off duty,离开岗位； 下班
go on a trip on ...,找不到解释
go on board,"v. 上船；上火车
 登；登机；点动"
go out,"na. 出去；灭；辞职；下台
 熄灭；外出；过时"
go over,"na. 仔细查看；仔细搜查；排练；重温
 复习；检查；仔细检查"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
go up,"na. 上升；上城市去；腾贵；烧起来
 上涨；增长；上去"
go with,"na. 同…一致；跟…谈恋爱；带有；领会
 伴随；与…相配；跟…相配"
good manner,找不到解释
good manners,"na. 有礼貌
 礼貌行为；良好的礼仪；良好的习惯"
good-for-nothing,"n. 废物，无用的人
adj. 无用的，无益的"
graduate from,"v. 毕业于
 从…毕业；毕业於；从…毕业例句"
grow rich,找不到解释
guess sb. to be,找不到解释
hand down,"na. 宣布(判决等)；传下来
 把…传下去；传给；传递"
hand in,"na. 交进
 上交；交上；递交"
hand out,"na. 分；拿出来；施舍
 分发；散发；分给"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
 交出；让与；交给"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
 挂起；把…挂起来；挂电话"
happen to do sth.,找不到解释
... has a population of ...,找不到解释
have a cold,"na. 伤风
 感冒；患感冒；受凉"
have a great effect on,找不到解释
have a high opinion of,"na. (对某人或某事)有很高的评价
 认为好；重视；尊重"
have a problem with sth.,找不到解释
have a rest,"v. 休息一下
 休息一会儿；休憩；好好休息"
have a seat,"na. 留在原位不动
 坐下；请坐；请坐吧"
have a short memory, 健忘；记忆力差；容易忘事
have a talk with sb.,找不到解释
have a trip on ...,找不到解释
have a word with sb.,找不到解释
have an effect on sb.,找不到解释
have difficulty doing sth.,找不到解释
have difficulty in doing sth.,找不到解释
have trouble doing sth.,找不到解释
have trouble in doing sth.,找不到解释
have on,"v. 戏弄
 穿着；戴着；穿戴"
have sth. for breakfast,找不到解释
have sth. for lunch,找不到解释
have sth. for supper,找不到解释
have the habit of doing sth.,找不到解释
have trouble with sth.,找不到解释
have words with sb.,找不到解释
head back,"v. 绕至前方
 回去；调头；折回"
hear from,"na. 得到…的消息
 收到……的来信；收到……来信；收到…的信"
help sb. out,"v. 帮助…摆脱困境；救出；协助
 帮忙；帮助解决困难；帮助克服困难"
hit sb. on the ...,找不到解释
hold a position, 持仓；担任职务；处于
hold back,"na. 阻止；踌躇；隐瞒；抑制
 退缩；控制；退缩不前"
hold down,"na. 压制；牵制；阻止；压低(物价等)
 抑制；缩减；保有"
hold on,"na. 拉住；继续；坚持下去；(打电话时)不挂断
 等一等；坚持住；等一下"
hold one's breath,"na. 屏息
 屏住呼吸；憋住气；屏住气"
hold one's head high,"na. 趾高气扬
 昂首；趾高气昂；高昂着头"
hold out,"na. 伸出；提出；维持；制止
 坚持；支持；坚持，不屈服"
hold the record, 保持纪录；保持记录；保持纪录是
hold to,"na. “Hold fast”的变体
 坚持；紧握；坚持某个看法"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
 阻挡；耽搁；拿起"
honestly speaking, 老实说；说句实话；诚实地说来
how to do, 如何做；怎么做；怎样做
humour sense,找不到解释
hundreds of thousands of,"na. 几十万
 无数；数十万的；贴个几十万"
hunt for,"na. 追猎；搜寻
 寻找；搜索；探求"
hurry off,"na. 匆匆离去；使赶快去
 匆匆离开；匆忙离开；匆匆忙忙离去"
I wonder whether ...,找不到解释
I wonder how ...,找不到解释
imagine doing sth.,找不到解释
imagine sb. doing sth.,找不到解释
in a high voice,找不到解释
in a low voice, 低声地；低声的；低声说
in a while, 一会儿；一段时间；一会儿之后
in a word,"na. “in a few words”的变体
 总之；简言之；总而言之"
in addition,"na. 加之
 另外；此外；又"
in advance,"na. 预先；在先头
 事先；提前；事前"
in all,"na. 总计
 总共；一共；总共，合计"
in case,"na. 以防万一；作为准备；如果；免得
 假使；假如；以防免得"
in charge of,"na. 受托…的
 负责；主管；掌管"
in common,"un. 和…有相通之处；公有
 共同；共有的；共同的"
in despair,"na. 绝望地
 绝望的；失望；在绝望中"
in fact,"na. 事实上；总之
 实际上；其实；实则"
in favour of,"na. 赞成；有利于；付与
 支持；赞同；以……为受益人"
in front of,"na. 在…的前面
 在……前面；在……的前面；在…面前"
in future, 今后；将来；从今以后
in general,"na. 一般；大体上
 通常；一般来说；一般而言"
in honour of,"na. 向…表示敬意
 为纪念；为了纪念；向……表示敬意"
in hopes of,"na. 希望着
 怀着…的希望；期待着；为期待"
in many ways, 在许多方面；在很多方面；从许多方面来说
in memory of,"na. 纪念…
 为纪念；为了纪念；以纪念"
in modern times, 在现代；现代；近代
in one's judgement,找不到解释
in one's opinion,"na. 据某人意见
 在……看来；在某人看来；就某人看来"
in other words,"na. 换句话说
 换言之；也就是说；也就是"
in pain, 疼痛；在痛苦中；处于痛苦中
in particular,"na. 特别；一一
 尤其；特别地；特别是"
in person,"na. 亲自；身体上；外貌上
 本人；当面；亲自上阵"
in place,"na. 得其所；适当的
 在适当的位置；在合适的位置；适当地"
in place of,"na. 代替
 取代；替代；取代，交换"
in practice,"na. 事实上；在实践中；在不断练习中；练习充足
 实际上；在实际中；从实践上看"
in praise of,"na. 称赞…
 赞扬；为赞扬；表扬"
in reach,够得着
in return,"na. 作报复；作替换
 作为回报；作为报答；作为交换"
in search of,"na. 寻找；去找；追求；为了寻求
 为了寻找；搜索；查究"
in silence,"na. 沉默着
 沉默地；静静地；沉默不语"
in space,"na. 片刻就
 在太空；在空间；在太空中"
in spite of,"na. spite of 不管；无视
 尽管；不顾；虽然"
in that,"na. 因为；以…的理由
 由于；在于；在…方面"
in that case,"na. 既然是那样
 既然那样；如果是那样的话；如果那样的话"
in the beginning,"na. 当初
 起初；开始；一开始"
in the dark,"na. 秘密；在暗处；不知
 在黑暗中；蒙在鼓里；一无所知"
in the direction of,"na. 向…方面
 向…方向；在…方向；朝……方向"
in the distance,"na. 在远处；在很远的那边
 在远方；远方的；在远处那边"
in the fields of, 在…领域；在……领域里
in the following years,找不到解释
in the front of, 在……的前部；在……的前面；在里面的前面
in the future,"adv. 今后
 将来；在将来；在未来"
in the hope of,"na. “in hopes of”的变体
 希望；怀着…的希望；希望能"
in the hospital, 在医院；在医院里；在这所医院里
in the last hours,找不到解释
in the old days,"un. 得意的日子；从前
 旧社会；过去；过去的日子里"
in the past years,找不到解释
in the past ten years,找不到解释
in the same way,"adv. 同样
 同样地；以同样的方式；用同样的方法"
in the shade,"na. 在阴处；在树阴下；在暗处；没落
 在阴凉处；在荫凉处；背阴"
in the years that followed,找不到解释
in this way,"na. 用这个办法
 这样；用这种方法；以这种方式"
in time,"na. 经过一段时间以后；早晚；在恰好的时候；和…合拍
 及时；钟点战；时间规划局"
in total,"adv. 全部；完全
 总共；总计；一共"
increase by, 增加了；增长了；增加了多少
insist on,"v. 坚持；强调
 坚决要求；坚持要；坚持认为"
intend for,"v. 想要；打算
 打算送给；打算使；打算供……使用"
intend to do, 打算做某事；想要做；打算去做
invite sb. to ...,找不到解释
It is no use doing ...,找不到解释
It is no good doing ...,找不到解释
It is no wonder that ...,找不到解释
It is one's turn to do sth.,找不到解释
It is reported that ...,找不到解释
It is said that ...,找不到解释
It is up to sb.,找不到解释
It is up to sb. to do sth.,找不到解释
It occurred to sb. that ...,找不到解释
It seems as if ...,找不到解释
It looks as if ...,找不到解释
It sounds as if ...,找不到解释
It seems as though ...,找不到解释
It looks as though ...,找不到解释
It sounds as though ...,找不到解释
judge by,"v. 以…来判断
 根据…作出判断；根据…来判断；根据什么判断"
judge from,"v. 以…来判断
 从……来判断；从…判断；从某事物判断"
keep a strict eye on ...,找不到解释
keep away from,"v. 远离
 避开；使远离；别靠近"
keep back,"na. 隐瞒；阻止；阻止向前；忍住
 留下；留在后面；保留"
keep fit,"na. 保持健康
 保持身体健康；健身；保持身材"
keep in touch with,"v. 与…保持接触
 与……保持联系；和…保持联系；与…保持联络"
keep off,"na. 不让接近；不接近
 避开；远离；防止"
keep on doing sth.,找不到解释
keep one's promise,"na. 遵守诺言；守约
 遵守承诺；信守诺言；坚守诺言"
keep one's words, 遵守承诺
keep quiet,"na. (对某事)保守秘密
 保持安静；保持沉默；保持肃静"
keep sb. doing sth.,找不到解释
keep sb. from doing sth.,找不到解释
keep silent, 沉默；保持沉默；保持安静
keep the record,找不到解释
keep the rules,"na. 守规则
 遵守规则；保持规则；遵守……的规则"
key points, 关键点，要点(key point的复数)
knock at the door, 敲门；敲敲门；敲门声
knock on the door,夜晚敲门(恐怖统治的标志)；夜晚敲门(恐怖统治的标志)
knock at the window,找不到解释
knock on the window,找不到解释
knock down,"na. 打倒；拆除；拆卸；(拍卖时)敲槌卖出
 撞倒；击倒；击落"
knock into,"na. 敲进
 撞到；撞上；撞在某人身上"
knock oneself against,找不到解释
knock over,"na. 弄倒；屈服；死；逮捕
 打翻；撞倒；撞翻"
knock ... out of ...,找不到解释
know about,"v. 知道
 了解；知道关于；知道…的情况"
land on,"na. 批评
 登陆；降落；降落于"
Lantern Festival,"n. 元宵节
 农历正月十五元宵节；灯节；元霄节"
laugh at sb.,找不到解释
lead a simple life, 过着简朴的生活；过着俭朴的生活；朴素地生活
lead to,"na. 通向
 导致；引起；通往"
leave for,"un. 到…地方去；去某地:
 动身去；动身去某地；前往"
leave sb. alone,"na. 丢下不管；不要管
 不理会；让独自呆着；不干涉"
leave ... to ...,找不到解释
leave ... to chance,找不到解释
let ... in,"na. 放入；嵌入；陷入…；欺骗
 放…进来；让…进来；放进"
let sb. down,"na. 使失望；放下；丢面子
 失望沮丧；辜负；松劲"
lie in,"na. 存在于；(分娩后)坐月子
 位于；睡懒觉；躺在"
light up,"na. 点灯；照亮；点香烟；变快活
 点燃；点亮；点火"
like doing, 喜欢做某事；喜欢干某事；喜爱做某事
like to do, 喜欢做某事；喜欢干；喜欢干某事
line up to, 满足……的要求
listen for,"na. 倾耳听
 等着听；倾听；留神听"
live a simple life,"过着俭朴的生活,艰苦朴素"
live in separate rooms,找不到解释
live on,"na. 以…为主食；靠…生活；继续活着；靠［吃］…生活
 以……为主食；靠……为生；以…为食"
load with,"v. 装载着
 把……装载到……上；装载某物；满载着"
long before,"na. 很久以前；老早以前
 在…以前很久；很早以前；早在…之前"
look ahead,"na. 考虑未来；“look/think/plan ahead”的变体
 展望未来；向前看；前瞻"
look down upon,"v. 轻视
 看不起；瞧不起；蔑视"
look for,"v. 寻找；探索；渴望；盼望
 期待；找寻；查找"
look forward to doing,找不到解释
look forward to sth.,找不到解释
look into,"na. 窥视；调查；过问
 研究；检查；了解"
look on ... as, 把……看作；把看做；把当作看待
look out,"na. 挑选；注意；看外头；展望 (on；over)
 当心；小心；留神"
look over,"na. 浏览；检查；察看
 查看；翻阅；调查"
look through,"na. 浏览；翻查；对…视而不见；看穿
 仔细查看；翻阅；看一遍"
look ... up and down,"v. 上下打量着
 到处搜查；到处寻找；仔细打量"
lose heart,"na. 沮丧
 失去信心；灰心；丧失勇气"
lose one's life,"na. 死；丢了性命
 丧生；丧命；牺牲"
lose one's sight,"na. 失明
 丧失视力；失去视力"
lose one's temper,"na. 发脾气；发怒
 发火；动怒；生气"
lose one's way,"na. 迷路
 迷失方向；迷途；谁迷路"
lose touch with,"v. 失去联系
 与……失去联系；和……失去联系；失去联络"
lose weight,"un. 体重减轻
 减肥；减轻体重；减重"
make use of,"na. 使用
 利用；利用某事物；利用好时间"
make good use of, 充分利用；好好利用；合理利用
make a call,"na. 到
 打电话；访问；打个电话"
make a phone call, 打电话；打个电话；打电话号码
make a choice,"un. 不得不；除…外；没有别的选择；拿定主意
 做出选择；做选择；作出选择"
make a decision, 做出决定；做决定；作出决定
make a fire,"na. 生火
 生一堆火"
make a fresh start,"na. 从新开始
 另起炉灶；重新开始；重起炉灶"
make a good effort,找不到解释
make a hit,"na. 很受欢迎
 很成功；出风头；获得成功"
make a plan for,"v. 为…制定计划
 为……作计划；为…制订计划；为……制定计划"
make a promise,"na. 约定；许诺
 许下诺言；允诺；答应"
make an effort to do, 努力去做；努力做；努力做某事
make arrangements, 操办；筹办；安排
make contributions to sth.,找不到解释
make contributions to doing,找不到解释
make ends meet, 使收支相抵；量入为出；收支平衡
make for,"na. 有利于；对…有益；倾向于；支持
 走向；向…前进；有助于"
make fun of sb.,找不到解释
make no answer,找不到解释
make noise, 制造噪音；发出噪音；发出声音
make one's living,"谋生, 挣钱度日, 维持生活"
make one's living by doing,找不到解释
make one's way,"na. 前往；发迹
 前进；行进；走去"
make out,"na. 理解；发现；起草；证明
 辨认出；填写；开列"
make progress,"na. 前进；进展
 取得进步；取得进展；有进步"
make room for sb.,找不到解释
make sth. to one's own measure,找不到解释
make up,"na. 弥补；起草；定；签订
 组成；化妆；编造"
make up one's mind,"na. 决心 (to do)
 下决心；下定决心；决定"
make up one's mind to do,找不到解释
make use of,"na. 使用
 利用；利用某事物；利用好时间"
manage to do, 设法做某事；设法做成某事；设法做成了某事
man-made project,找不到解释
man-made satellite,人造卫星
many a,na. 很多； an] one 许许多多人
marry ... to ...,找不到解释
may have done,找不到解释
might have done, 本可以做而没做；本来应该；也许已经做了
mean doing, 意味着；意味着做某事；意味着干
mean to do, 打算做某事；想要做某事；本意是想要做某事
meet one's needs,找不到解释
meet one's demands,找不到解释
meet one's requirements,找不到解释
meet with,"na. 碰见；遭遇；偶然发现；达到
 遇见；遇到；碰到"
mention sth. to sb.,找不到解释
mention to sb. sth.,找不到解释
mix ... with ...,找不到解释
mix sb. up in sth.,找不到解释
much too, 太；实在太；非常
must have done,"na. 必然；must = should 或 would surely
 表对过去事实的肯定推测；一定是；表示一定做过某事"
name plate,"na. 姓名牌；(报头上的)报刊名
 铭牌；商标；铭板"
need have done,找不到解释
neither ... nor ...,找不到解释
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
no better than,"na. 简直就是；顶多不过是
 不比…好；几乎等于；与……一样差"
no later than,"na. 不迟于；“no/not later than”的变体
 不晚于；不能晚于；决不迟于"
no longer,"na. 不再
 已不；再也；再也不"
no more than,"na. 不过是；仅仅
 至多；只是；只不过"
no sooner ... than ...,找不到解释
no wonder, 难怪；怪不得；不足为奇
nobody but ...,找不到解释
nod to, 向某人点头；向……点头；相互点头
not a bit,"na. 一点没有
 一点也不；一点不难；表示一点也不"
not ... but ...,找不到解释
not a little,"na. 不少；非常
 很；许多；相当多"
not all,"adv. 并非全部都
 不是所有的；并非所有的；不是所有的都"
not ... any longer,找不到解释
not ... any more,找不到解释
not ... at all,找不到解释
not only ... but ...,找不到解释
not only ... but also ...,找不到解释
nothing but,"na. 不外；的确
 只有；只不过；只是"
nothing except,"只, 不过"
now and then, 偶尔；时而；不时
now that,"na. 由于
 既然；既然已；现在已经"
obey the rules, 遵守规则；遵守规章；遵守规章制度
object to,"na. 反对
 反对某事；不赞成；我反对"
of oneself,"na. 独自
 自发地；自行；自动地"
of one's own,"na. 自己的
 属于某人自己的；属于自己的；某人的自己的"
offer sb. sth.,找不到解释
Olympic Games,"n. 奥林匹克运动会；奥运会
 北京奥运会；雅典奥运会；奥林匹克竞技会"
on average, 平均；平均起来；通常
on condition that,"na. 在…的条件下
 在…条件下；条件是；如果"
"On doing ... , ...",找不到解释
on earth,"na. 到底；在地球上；全然
 究竟；在世上；在人间"
on one's arrival,找不到解释
on one's feet,"na. 站起；健康复原
 自立；经济独立；站立着"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
on one's way to,找不到解释
on purpose,"na. 故意；意欲
 故意地；有意；故意的"
on sale,"na. 出售的；上市的；出售(的)；廉价出售(的)
 减价；打折；大减价"
on the coast of some country,找不到解释
on the west coast of some country,找不到解释
on the contrary,"na. 反之
 正相反；相反地；相反的"
on the earth, 在地球上；在地上；地球上的第一代动物
on the edge of,"na. 快要
 在…的边缘；处于……的边缘；在边缘"
on the left, 在左边；在左侧；在右边
on the other side,"na. 反对方面的；在对面
 在另一边；另一方面；换个情境"
on the radio, 通过收音机；通过广播；通过无线电广播
on the right, 在右边；在右侧；在右面
on the sands,找不到解释
on the two sides,找不到解释
on the whole,"na. 整体上说
 总的来说；大体上；基本上"
on time,"na. 按时；及时
 准时；正点；准时地"
once a while, 偶尔；有时
once again,"na. 一再；再一次；“once again/more”的变体
 再度；再次；又一次"
once in a while,偶尔；有时（等于every once in a while）
once more,"na. 再一次；“once again/more”的变体
 又一次；再次；再来一次"
once upon a time,"na. 从前；很久很久以前；古时候
 童话镇；曾经；童话小镇"
one after another,"na. 一个又一个地；陆续；相继
 一个接一个；一个接一个地；先后"
one and a half years, 一年半；一年半的表达可以是
one another,"pron. 互相
 相互；彼此；互相地"
one such ...,找不到解释
one's attitude to sth.,找不到解释
one's attitude towards sth.,找不到解释
one-sided view,找不到解释
operate on sb.,找不到解释
opposite direction,"un. 相反方向；对向
 反向；相反的方向；敌对方向"
or rather,"na. (或者)说得更正确点
 更确切地说；更精确地说；倒不如说"
ought to have done,找不到解释
out of breath,"na. 大喘气
 喘不过气来；上气不接下气；气喘吁吁"
out of one's reach,找不到解释
out of order,"na. 杂乱无章；不合规则；情况反常；有故障
 乱序执行；发生故障；坏了"
out of the reach of sb.,找不到解释
over and over again,"na. 翻来覆去
 反复；一次又一次；反复地"
owe one's thanks to sb.,找不到解释
owe sb. sth.,找不到解释
owe sth. to sb.,找不到解释
owe success to sb.,找不到解释
pass away,"na. 消失；Vi. 经过；去；终止
 去世；逝世；过世"
pass down,"un. 过；一闪即逝；下达
 传递；传下去；传下来"
pass on,"na. “pass away”的变体；递；传达；通过
 传递；传授；把…传给别人"
pass on a message to sb.,找不到解释
pay a visit to,"v. 访问；参观
 拜访；去参观；前往访问"
pay attention to,"na. 注意
 重视；对……注意；关心"
pay special attention to,vt.特别注意
pay little attention to,找不到解释
pay much attention to,找不到解释
pay back the money,找不到解释
pay money for sth.,找不到解释
pay off the money,找不到解释
pay off the debt,找不到解释
pay one's way,"na. 作到不负债；不借债过日子
 支付生活费；付……的路费；付分内之款"
permit doing,找不到解释
permit sb. to do,找不到解释
persist in,"v. 坚持
 固执；坚持不懈；坚持不懈，执意"
personal affairs,"na. 私事
 个人事务；私人事件；个人话题"
persuade sb. into doing,找不到解释
persuade sb. out of doing,找不到解释
persuade sb. to do,找不到解释
persuade sb. not to do,找不到解释
pick on,"na. 与…为难；不断责骂；挑中
 挑剔；作弄；挑选"
pick out,"na. 挑选；掘出；闻出；领会
 挑出；选出；选出，挑出，拣出"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
plan a bicycle trip,找不到解释
plan to do, 计划做某事；打算做；计划干某事
play a joke with sb.,找不到解释
play a part in,"v. 贡献力量；起…作用
 起作用；在…方面起作用；在…中起作用"
play a trick on sb.,找不到解释
play against sb.,找不到解释
play on words,"na. 说俏皮话；说模棱两可的话；说双关语
 文字游戏；玩文字游戏；玩弄文字游戏"
play the part of,"v. 扮演
 充当；扮演……角色；扮演……的角色"
plenty of,"na. 很多的
 许多；大量的；充足的"
pocket money,"n. 零用钱；常用于英式英语
 零花钱；给小孩零用钱的利与弊；两条牛仔龙"
point at,"v. 指向
 指着；瞄准；对准"
point of view,"n. 观点；态度；意见；看法
 视角；视点；角度"
point out,"na. 指出
 指明；说明；指示"
point to,"v. 指向；针对
 指着；表明；指出"
pour in,"v. 蜂拥而来
 源源而来；大量涌入；注入"
power failure,"un. 停电；断电；电源故障；电力故障
 掉电；出现电源故障；电源问题除了市电中断"
practise sth.,找不到解释
practise doing, 练习做某事；联系做某事；练习干某事
prefer doing ... to doing ...,找不到解释
prefer sb. to do,找不到解释
prefer sth. to sth.,找不到解释
prefer to do, 更喜欢做某事；宁愿做某事；宁可做某事
prefer to do ... rather than do ...,找不到解释
pretend to do, 假装做某事；假装干；假装去做某事
prevent ... from doing sth.,找不到解释
promise to do sth.,找不到解释
promise sb. to do sth.,找不到解释
protect ... from ...,找不到解释
prove sb. to be,找不到解释
provide sb. with sth.,找不到解释
provide sth. to sb.,找不到解释
push over,"na. 推倒
 刮倒；退推倒；静力非线性工况"
put a tax on sth.,找不到解释
put aside,"na. “set aside”的变体
 储蓄；撇开；放在一边"
put away,"v. 把…收起来；储存
 放好；把……收起来；收好"
put down,"na. 平定；贬低(的话)；(飞机的)降落
 放下；镇压；记下"
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
 提前；推荐；表提出"
put off,"na. 延期；辩解
 推迟；拖延；推延"
put on,"na. 假话
 穿上；上演；戴上"
put on airs,"v. 装腔作势；端架子
 摆架子；摆谱儿；臭屁摆架子，装模作样"
put on performances,找不到解释
put on weight,"v. 长肉；发胖；发福；体重增加
 增加体重；增肥；长胖"
put one's heart into, 致力于某事；全神贯注于；全心全意投入
put out the fire,"un. 灭火
 扑灭火；扑灭篝火；扑灭大火"
put ... into practice,"na. 实行
 实施；付诸实施；落实"
put ... in practice,找不到解释
put sb. in prison,找不到解释
put sb. into prison, 关进监狱；把……投进监狱；使……坐牢
put through,"na. 经受；测试；试验；使…通过
 接通；完成；把……接通"
put up,提供；建造；举起；提高；推举，提名；供给…住宿；直接行动
put up with,"na. 忍住
 忍受；容忍；忍耐"
quantities of, 大量的；大批；其后谓语用复数
quite a few,"na. 很多；许多；相当多
 不少；还不少；有相当数目的"
raise a cheer,找不到解释
raise a question, 提出问题；提问；提出一个问题
range from ... to ...,找不到解释
reach an agreement, 达成协议；达成一致；达成共识
read between the lines,"na. 体会出字里行间之意；看出言外之意
 字里行间的言外之意；体会言外之意；明白其言外之意"
read for sb.,找不到解释
read one's thoughts,找不到解释
read through,"na. (从头到尾)读完
 通读；读一遍；看完"
receive degree,找不到解释
receive one's doctor's degree,找不到解释
reduce ... to ...,找不到解释
refer to,"v. 查阅；提到
 参考；涉及；谈到"
refer to ... as,"v. 提交；归类；称谓
 把…称作；把…当作；称为"
regard ... as,找不到解释
regret doing, 后悔做过某事；后悔干了某事；后悔做了某事
regret to do,找不到解释
rely on sb.,找不到解释
remain in business,找不到解释
remember doing, 记得做过某事；记得曾经做过某事；记得曾做过某事
remember to do, 记得去做某事；记得要去做某事；记住去做某事
