anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
altar,n. 祭坛；圣坛；圣餐台
braid,"n. 辫子；穗带；发辫
vt. 编织"
congregation,n. 集会；集合；圣会
deacon,"n. 执事；助祭
vt. 朗读；搞欺骗"
dire,adj. 可怕的；悲惨的；极端的
ecstatic,"adj. 狂喜的；入迷的
n. 狂喜的人"
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
hardened,"adj. 变硬的；坚定的
v. 坚定，变硬（harden的过去分词）"
hushed,"adj. 寂静的；安静的
v. 安静；缄默；肃静（hush的过去分词）"
jet-black,adj. 黑而发亮的；墨黑的；黑玉色的
knickerbockered,"(knickerbocker 的过去时) n. 荷兰移民的后代, 纽约人, 灯笼裤"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
membership,n. 资格；成员资格；会员身份
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
mourner,n. 哀悼者；悲伤者；送葬者；忏悔者
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
punctuate,"vt. 不时打断；强调；加标点于
vi. 加标点"
rejoicing,"n. 高兴；欣喜；庆祝
v. 使欣喜（rejoice的ing形式）；感到高兴"
revival,n. 复兴；复活；苏醒；恢复精神；再生效
rhythmical,adj. 有节奏的；有韵律的
rounder,n. 酒鬼；惯犯；看夜人；搓圆机；巡回者
salvation,n. 拯救；救助
serenely,adv. 安详地；沉着地；宁静地
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
sister,"n. 姐妹；（称志同道合者）姐妹；修女；护士
adj. 姐妹般的；同类型的"
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
swirl,"n. 漩涡；打旋；涡状形
vi. 盘绕；打旋；眩晕；大口喝酒
vt. 使成漩涡"
wail,"n. 哀号；悲叹；恸哭声
vt. 为某人死亡而悲痛；哀悼某人；哀号着说
vi. 哀号；悲叹"
work-gnarled,找不到解释
be left out in the cold,vi.被冷落
break into,"na. 闯进；拦(别人话头)；侵占(别人时间等)；突然…起来
 闯入；破门而入；强行进入"
by leaps and bounds,"na. 飞跃地；连跑带跳地
 突飞猛进地；飞速地；一日千里"
hold out,"na. 伸出；提出；维持；制止
 坚持；支持；坚持，不屈服"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
 阻挡；耽搁；拿起"
quiet down,"v. 静下来
 平静下来；平息；安静下来"
take sb.'s name in vain,找不到解释
babe,n. 婴儿，小孩；女孩；天真幼稚的人
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
chick,"n. 小鸡；小鸟；少妇
adj. 胆小的；懦弱的"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
connotation,n. 内涵；含蓄；暗示，隐含意义；储蓄的东西（词、语等）
denote,vt. 表示，指示
destruction,n. 破坏，毁灭；摧毁
discerning,"adj. 有辨识能力的；眼光敏锐的
v. 辨别（discern的ing形式）"
disparity,n. 不同；不一致；不等
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
encode,vt. （将文字材料）译成密码；编码，编制成计算机语言
endow,vt. 赋予；捐赠；天生具有
enforce,vt. 实施，执行；强迫，强制
exalted,"adj. 高尚的；尊贵的；兴奋的
v. 高举；赞扬；使激动（exalt的过去分词）"
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
genealogy,n. 宗谱；血统；家系；系谱学
genetics,n. 遗传学
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
ill-tempered,adj. 脾气暴躁的；坏脾气的
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
inherently,adv. 内在地；固有地；天性地
internally,adv. 内部地；国内地；内在地
linguistic,adj. 语言的；语言学的
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
nuance,n. 细微差别
ombudsman,n. 监察专员（专门负责调查人民对政府各部门控告案件的官员）；视察官
oriented,"adj. 导向的；定向的；以…为方向的
v. 调整；使朝向（orient的过去分词）；确定…的方位"
perpetuate,"vt. 使不朽；保持
adj. 长存的"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
scoff,"n. 嘲笑；愚弄；笑柄
vt. 嘲笑；嘲弄；贪婪地吃
vi. 嘲笑；嘲弄；狼吞虎咽"
scolding,"n. 责骂，斥责
v. 责骂；训斥（scold的ing形式）
adj. 责骂的"
shrew,n. 泼妇，悍妇
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
subservience,n. 有益；奉承，谄媚；从属性
supremacy,n. 霸权；至高无上；主权；最高地位
tomboy,n. 假小子，行为似男孩的顽皮姑娘
unmerited,adj. 无功受禄的；不当的；不应受的
virginity,n. 童贞；处女；纯洁
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
wed,"vt. 与...结婚；娶；嫁
vi. 结婚；娶；嫁"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
identify sb. with,找不到解释
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
accolade,n. 荣誉；荣誉称号授予仪式；连谱号；称赞
addiction,n. 上瘾，沉溺；癖嗜
alter,"vt. 改变，更改
vi. 改变；修改"
apathy,n. 冷漠，无兴趣，漠不关心；无感情
blues,"n. 忧郁布鲁斯歌曲；蓝色物（blue的复数）
v. 把…染成蓝色（blue的第三人称单数）"
clarity,n. 清楚，明晰；透明
clinical,adj. 临床的；诊所的
clutter,"n. 杂乱，混乱
vt. 使凌乱；胡乱地填满"
deception,n. 欺骗，欺诈；骗术
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
diabetes,n. 糖尿病；多尿症
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
hallway,n. 走廊；门厅；玄关
heartbreaking,"adj. 悲伤或失望到难忍程度的；令人悲伤的
v. 使…心碎（heartbreak的ing形式）"
junk,n. 垃圾，废物；舢板
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
melancholic,"adj. 忧郁的；抑郁的；患忧郁症的
n. 忧郁症患者"
milky,adj. 乳白色的；牛奶的；乳状的；柔和的；混浊不清的
misplace,vt. 放错地方；忘记把…放在什么地方；错误地信任某人
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
passion,n. 激情；热情；酷爱；盛怒
personality,n. 个性；品格；名人
psychiatric,adj. 精神病学的；精神病治疗的
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
rummage,"n. 翻找；检查；查出的物件；零星杂物
vt. 检查；搜出；仔细搜查；翻找出
vi. 翻找；仔细搜查"
seep,"n. 小泉；水陆两用的吉普车
vi. 漏；渗出"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
transcend,vt. 胜过，超越
uncaring,adj. 心不在焉的，不注意的
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
voluntarily,adv. 自动地；以自由意志
keep up appearances,"na. 装场面
 摆谱儿；装门面；摆门面"
settle upon,"na. 决定；选定；授与；赠与(财产,遗产等)"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
attendance,n. 出席；到场；出席人数；考勤
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
capacity,n. 能力；容量；资格，地位；生产力
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
cultivated,"v. 发展（cultivate的过去分词）；耕作；教化
adj. 耕种的；有教养的"
diction,n. 用语；措词
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
efficiency,n. 效率；效能；功效
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
inconsiderable,adj. 不足取的；不值得考虑的；琐屑的
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
induce,vt. 诱导；引起；引诱；感应
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
philosopher,n. 哲学家；哲人
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
refined,adj.  精炼的；精确的；微妙的；有教养的
scholarship,n. 奖学金；学识，学问
slovenliness,n. 邋遢；马虎；懒散
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
trait,n. 特性，特点；品质；少许
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
variously,adv. 不同地；多方面地；个别地；多彩地
visionary,"n. 空想家；梦想者；有眼力的人
adj. 梦想的；幻影的"
vulgarity,n. 粗俗；粗俗语；粗野的动作
after all,"na. 毕竟；终究；最后
 究竟；到底；终于"
in letters,找不到解释
stand out,"na. 突出；显著；不参加战争；抵抗到底
 显眼；引人注目；站出来"
settle down to,"v. 安下心来
 专心致志于；安定下来专心于；专心致力于"
