state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
impair,vt. 损害；削弱；减少
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
undermine,vt. 破坏，渐渐破坏；挖掘地基
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
depend,vi. 依赖，依靠；取决于；相信，信赖
rely,vi. 依靠；信赖
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
eliminate,vt. 消除；排除
eradicate,vt. 根除，根绝；消灭
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
wipe,"n. 擦拭；用力打
vi. 擦；打
vt. 擦；消除；涂上"
rid,vt. 使摆脱；使去掉
delete,vt. 删除
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
abolish,vt. 废除，废止；取消，革除
expel,vt. 驱逐；开除
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
widespread,adj. 普遍的，广泛的；分布广的
sweeping,"n. 扫除；垃圾
adj. 彻底的；广泛的；扫荡的
v. 打扫；扫除（sweep的现在分词形式）"
prevailing,"adj. 流行的；一般的，最普通的；占优势的；盛行很广的
v. 盛行，流行（prevail的现在分词形式）；获胜"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
eventual,adj. 最后的，结果的；可能的；终于的
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
pinpoint,"n. 针尖；精确位置；极小之物
vt. 查明；精确地找到；准确描述
adj. 精确的；详尽的"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
novel,"adj. 新奇的；异常的
n. 小说"
fiction,n. 小说；虚构，编造；谎言
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
innovative,adj. 革新的，创新的；新颖的；有创新精神的
precise,adj. 精确的；明确的；严格的
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
accurate,adj. 精确的
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
assure,vt. 保证；担保；使确信；弄清楚
ensure,vt. 保证，确保；使安全
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
vow,"n. 发誓；誓言；许愿
vi. 发誓；郑重宣告
vt. 发誓；郑重宣告"
oath,n. 誓言，誓约；诅咒，咒骂
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
embody,vt. 体现，使具体化；具体表达
symbolize,"vt. 象征；用符号表现
vi. 采用象征；使用符号；作为…的象征"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
unfold,"vi. 展开；显露
vt. 打开；呈现"
disclose,vt. 公开；揭露
expose,vt. 揭露，揭发；使曝光；显示
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
cue,"n. 提示，暗示；线索
vt. 给…暗示"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
wave,"n. 波动；波浪；高潮；挥手示意；卷曲
vt. 卷（烫）发；向…挥手示意；使成波浪形
vi. 波动；起伏；挥手示意；摇动；呈波形"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
symbol,n. 象征；符号；标志
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
symptom,n.  症状；征兆
herald,"n. 预兆，征兆；先驱；传令官；报信者
vt. 通报；预示…的来临"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
criterion,n. （批评判断的）标准；准则；规范；准据
norm,n. 标准，规范
status,n. 地位；状态；情形；重要身份
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
class,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）"
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
distinctive,adj. 有特色的，与众不同的
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
captivate,vt. 迷住，迷惑
invite,"n. 邀请
vt. 邀请，招待；招致"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
seduce,vt. 引诱；诱惑；诱奸；怂恿
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
tolerate,vt. 忍受；默许；宽恕
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
describe,vt. 描述，形容；描绘
depict,vt. 描述；描画
portray,vt. 描绘；扮演
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
nonetheless,adv. 尽管如此，但是
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
extensive,adj. 广泛的；大量的；广阔的
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
gigantic,adj. 巨大的，庞大的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
tremendous,adj. 极大的，巨大的；惊人的；极好的
immense,adj. 巨大的，广大的；无边无际的；非常好的
monumental,adj. 不朽的；纪念碑的；非常的
sizable,adj. 相当大的；大小相当的
instance,"n. 实例；情况；建议
vt. 举...为例"
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
masterpiece,n. 杰作；绝无仅有的人
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
herd,"n. 兽群，畜群；放牧人
vt. 放牧；使成群
vi. 成群，聚在一起"
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
pile,"n. 堆；大量；建筑群
vt. 累积；打桩于
vi. 挤；堆积；积累"
majority,n. 多数；成年
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
step,"n. 步，脚步；步骤；步伐；梯级
vt. 走，迈步
vi. 踏，踩；走"
passion,n. 激情；热情；酷爱；盛怒
zeal,n. 热情；热心；热诚
enthusiasm,n. 热心，热忱，热情
affection,n. 喜爱，感情；影响；感染
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
execute,vt. 实行；执行；处死
enact,vt. 颁布；制定法律；扮演；发生
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
optimistic,adj. 乐观的；乐观主义的
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
definite,adj. 一定的；确切的
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
reputation,n. 名声，名誉；声望
prestige,n. 威望，声望；声誉
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
dig,"n. 戳，刺；挖苦
vi. 挖掘
vt. 挖，掘；探究"
rake,"n. 耙子；斜度；钱耙；放荡的人，浪子
vt. 倾斜；搜索；掠过；用耙子耙
vi. 搜索；用耙子耙；掠过，擦过"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
detach,vt. 分离；派遣；使超然
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
acknowledge,vt. 承认；答谢；报偿；告知已收到
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
prohibit,vt. 阻止，禁止
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
denounce,vt. 谴责；告发；公然抨击；通告废除
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
condemn,vt. 谴责；判刑，定罪；声讨
liability,n. 责任；债务；倾向；可能性；不利因素
category,n. 种类，分类； 范畴
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
species,"n.  物种；种类
adj. 物种上的"
colleague,n. 同事，同僚
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
comrade,n. 同志；伙伴
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
complicated,adj. 难懂的，复杂的
intricate,adj. 复杂的；错综的，缠结的
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
controversy,n. 争论；论战；辩论
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
warfare,n. 战争；冲突
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
disagree,vi. 不同意；不一致；争执；不适宜
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
expend,vt. 花费；消耗；用光；耗尽
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
district,n. 区域；地方；行政区
region,n. 地区；范围；部位
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
area,n. 区域，地区；面积；范围
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
zone,  地带、地区（德语）
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
similar,"n. 类似物
adj. 相似的"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
even,"adj.  偶数的；平坦的；相等的
adv. 甚至；即使；还；实际上
vt. 使平坦；使相等
vi. 变平；变得可比较；成为相等"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
ignore,vt. 驳回诉讼；忽视；不理睬
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
maintain,vt. 维持；继续；维修；主张；供养
retain,vt. 保持；雇；记住
sustain,vt. 维持；支撑，承担；忍受；供养；证实
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
decent,adj. 正派的；得体的；相当好的
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
displace,vt. 取代；置换；转移；把…免职；排水
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
plea,n. 恳求，请求；辩解，辩护；借口，托辞
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
involuntary,adj. 无意识的；自然而然的；不知不觉的
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
spontaneous,adj. 自发的；自然的；无意识的
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
context,n. 环境；上下文；来龙去脉
circumstance,n. 环境，情况；事件；境遇
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
environment,n. 环境，外界
surroundings,n. 环境；周围的事物
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
herb,n. 香草，药草
therapy,n. 治疗，疗法
device,n. 装置；策略；图案
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
instrument,n. 仪器；工具；乐器；手段；器械
equipment,n. 设备，装备；器材
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
additional,adj. 附加的，额外的
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
superfluous,adj. 多余的；不必要的；奢侈的
plus,"prep. 加，加上
n. 正号，加号；好处；附加额
adj. 正的；附加的"
complement,"n. 补语；余角；补足物
vt. 补足，补助"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
ache,"n. 疼痛
vi. 疼痛；渴望"
injure,vt. 伤害，损害
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
prototype,n. 原型；标准，模范
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
inevitable,adj. 必然的，不可避免的
unavoidable,adj. 不可避免的；不能废除的
inescapable,adj. 不可避免的；逃脱不了的
inexorable,adj. 无情的；不屈不挠的；不可阻挡的；无法改变的
inherent,adj. 固有的；内在的；与生俱来的，遗传的
intrinsic,adj. 本质的，固有的
innate,adj. 先天的；固有的；与生俱来的
implicit,adj. 含蓄的；暗示的；盲从的
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
insist,"vi. 坚持，强调
vt. 坚持，强调"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
situate,"adj. 位于…的
vt. 使位于；使处于"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
chronic,adj. 慢性的；长期的；习惯性的
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
eternal,adj. 永恒的；不朽的
perpetual,adj. 永久的；不断的；四季开花的；无期限的
everlasting,adj. 永恒的；接连不断的
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
