abdicate,"vt. 退位；放弃
vi. 退位；放弃"
fraction,n. 分数；部分；小部分；稍微
fragile,adj. 脆的；易碎的
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
frugal,adj. 节俭的；朴素的；花钱少的
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
fund,"n. 基金；资金；存款
vt. 投资；资助"
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
generate,vt. 使形成；发生；生殖；产生物理反应
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
genetic,adj. 遗传的；基因的；起源的
genius,n. 天才，天赋；精神
genuinely,adv. 真诚地；诚实地
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
glamorous,adj. 迷人的，富有魅力的
gloom,n. 昏暗；阴暗
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
gratification,n. 满意；喜悦；使人满意之事
gratitude,n. 感谢（的心情）；感激
greed,n. 贪婪，贪心
grievance,n. 不满，不平；委屈；冤情
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
habitat,n.  栖息地，产地
hasten,"vt. 加速；使赶紧；催促
vi. 赶快；急忙"
hemisphere,n. 半球
heritage,n. 遗产；传统；继承物；继承权
hierarchical,adj. 分层的；等级体系的
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
horizon,n.  地平线；视野；眼界；范围
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
humane,adj. 仁慈的，人道的；高尚的
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
ignore,vt. 驳回诉讼；忽视；不理睬
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
illusory,adj. 错觉的；幻影的；虚假的；产生幻觉的
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
imitate,vt. 模仿，仿效；仿造，仿制
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
immediate,adj. 立即的；直接的；最接近的
immense,adj. 巨大的，广大的；无边无际的；非常好的
immigrate,"vi. 移入
vt. 使移居入境"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
impel,vt. 推动；驱使；激励
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
impoverished,"adj. 穷困的；用尽了的，无创造性的
v. 使贫困（impoverish的过去分词）"
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
inability,n. 无能力；无才能
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
incite,vt. 煽动；激励；刺激
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
include,vt. 包含，包括
incomplete,adj. 不完全的； 不完备的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
indicate,vt. 表明；指出；预示；象征
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
induce,vt. 诱导；引起；引诱；感应
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
inedible,adj. 不能吃的
inevitable,adj. 必然的，不可避免的
infection,n. 感染；传染；影响；传染病
infer,"vi. 推断；作出推论
vt. 推断；推论"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
infirm,adj. 衰弱的；意志薄弱的；不坚固的
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
infrastructure,n. 基础设施；公共建设；下部构造
infuriating,"v. 使发怒（infuriate的ing形式）
adj. 令人大怒的"
infuse,"vt. 灌输；使充满；浸渍
vi. （茶叶、草药等）被泡"
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
inject,vt. 注入；注射
innate,adj. 先天的；固有的；与生俱来的
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
innovation,n. 创新，革新；新方法
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
insightful,adj. 有深刻见解的，富有洞察力的
insist,"vi. 坚持，强调
vt. 坚持，强调"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
instinct,"n. 本能，直觉；天性
adj. 充满着的"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
instruct,vt. 指导；通知；命令；教授
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
intangible,adj. 无形的，触摸不到的；难以理解的
integrity,n. 完整；正直；诚实；廉正
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intend,"vi. 有打算
vt. 打算；想要；意指"
intense,adj. 强烈的；紧张的；非常的；热情的
interact,"n. 幕间剧；幕间休息
vt. 互相影响；互相作用
vi. 互相影响；互相作用"
interpersonal,adj. 人际的；人与人之间的
interpretation,n. 解释；翻译；演出
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
intervention,n. 介入；调停；妨碍
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
intricate,adj. 复杂的；错综的，缠结的
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
intuitive,adj. 直觉的；凭直觉获知的
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
investigation,n. 调查；调查研究
involve,vt. 包含；牵涉；使陷于；潜心于
ironic,adj. 讽刺的；反话的
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
journal,n. 日报，杂志；日记；分类账
jury,"n.  陪审团；评判委员会
adj. 应急的"
justice,n. 司法，法律制裁；正义；法官，审判员
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
leakage,n. 泄漏；渗漏物；漏出量
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
legacy,n. 遗赠，遗产
legal,adj. 法律的；合法的；法定的；依照法律的
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
lineage,n. 血统；家系， 世系
literate,"adj. 受过教育的；精通文学的
n. 学者"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
maintain,vt. 维持；继续；维修；主张；供养
majestic,adj. 庄严的；宏伟的
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
mandatory,"adj. 强制的；托管的；命令的
n. 受托者（等于mandatary）"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
manuscript,"n.  手稿；原稿
adj. 手写的"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
massive,adj. 大量的；巨大的，厚重的；魁伟的
mastery,n. 掌握；精通；优势；征服；统治权
materialistic,adj. 唯物主义的；唯物论的；金钱至上的
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
memorize,vt. 记住，背熟；记忆
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
merger,n. （企业等的）合并；并购；吸收（如刑法中重罪吸收轻罪）
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
minimal,adj. 最低的；最小限度的
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
mislead,vt. 误导；带错
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
monarch,n. 君主，帝王；最高统治者
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
monopoly,n. 垄断；垄断者；专卖权
motivate,vt. 刺激；使有动机；激发…的积极性
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
mutually,adv. 互相地；互助
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
notably,adv. 显著地；尤其
noteworthy,adj. 值得注意的；显著的
novel,"adj. 新奇的；异常的
n. 小说"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
occupy,vt. 占据，占领；居住；使忙碌
occur,vi. 发生；出现；存在
odds,n. 几率；胜算；不平等；差别
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
omission,n. 疏忽，遗漏；省略；冗长
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
oppressive,adj. 压迫的；沉重的；压制性的；难以忍受的
optimistic,adj. 乐观的；乐观主义的
option,n.  选项；选择权；买卖的特权
organism,n. 有机体；生物体；微生物
organization,n. 组织；机构；体制；团体
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
outraged,"adj. 义愤填膺的；愤慨的，气愤的
v. 使愤怒（outrage的过去式，过去分词）"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
paralysis,n. 麻痹；无力；停顿
partial,adj. 局部的；偏爱的；不公平的
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
passionate,adj. 热情的；热烈的，激昂的；易怒的
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
penalty,n. 罚款，罚金；处罚
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
permissible,adj. 可允许的；获得准许的
perpetuate,"vt. 使不朽；保持
adj. 长存的"
perplexed,adj. 困惑的；不知所措的
persistent,adj. 固执的，坚持的；持久稳固的
perspective,"n. 观点；远景；透视图
adj. 透视的"
pervasive,adj. 普遍的；到处渗透的；流行的
pessimistic,adj. 悲观的，厌世的；悲观主义的
philosophy,n. 哲学；哲理；人生观
phony,"n. 假冒者；赝品
adj. 假的，欺骗的"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
polarize,"vt. （使）极化；（使）偏振；（使）两极分化
vi. 极化；偏振；两极分化"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
popularity,n. 普及，流行；名气；受大众欢迎
portray,vt. 描绘；扮演
possession,n. 拥有；财产；领地；自制；着迷
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
precious,adj. 宝贵的；珍贵的；矫揉造作的
precisely,adv. 精确地；恰恰
predecessor,n. 前任，前辈
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
preference,n. 偏爱，倾向；优先权
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
prestige,n. 威望，声望；声誉
presumptively, 据推测
prevailing,"adj. 流行的；一般的，最普通的；占优势的；盛行很广的
v. 盛行，流行（prevail的现在分词形式）；获胜"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
procedure,n. 程序，手续；步骤
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
proclaim,vt. 宣告，公布；声明；表明；赞扬
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
profound,adj. 深厚的；意义深远的；渊博的
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
prominent,adj. 突出的，显著的；杰出的；卓越的
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
prone,adj. 俯卧的；有…倾向的，易于…的
pronounced,"v. 发音；宣告；断言（pronounce的过去分词）
adj. 显著的；断然的；讲出来的"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
property,n. 性质，性能；财产；所有权
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
prosperity,n. 繁荣，成功
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
provoke,vt. 驱使；激怒；煽动；惹起
prudent,adj. 谨慎的；精明的；节俭的
psychology,n. 心理学；心理状态
publication,n. 出版；出版物；发表
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
pursuit,n. 追赶，追求；职业，工作
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
rarely,adv. 很少地；难得；罕有地
readily,adv. 容易地；乐意地；无困难地
realm,n. 领域，范围；王国
reap,"vt. 收获，获得；收割
vi. 收割，收获"
reasonable,adj. 合理的，公道的；通情达理的
recessing,v. 把某物放在墙壁的凹处( recess的现在分词 ); 将（墙）做成凹形，在（墙）上做壁龛; 休息，休会，休庭
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
recitation,n. 背诵；朗诵；详述；背诵的诗
recklessly,adv. 鲁莽地；不顾一切地
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
recovery,n. 恢复，复原；痊愈；重获
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
rectify,vt. 改正；精馏；整流
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
refutation,n. 反驳；驳斥；辩驳
regime,n. 政权，政体；社会制度；管理体制
region,n. 地区；范围；部位
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
regrettable,adj. 令人遗憾的；可惜的；可悲的；抱歉的
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
reliance,n. 信赖；信心；受信赖的人或物
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
reluctant,adj. 不情愿的；勉强的；顽抗的
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
reminder,n. 暗示；提醒的人/物；催单
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
renovation,n. 革新；修理；恢复活力
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
reproducibility,n.  再现性
reputation,n. 名声，名誉；声望
require,vt. 需要；要求；命令
resent,vt. 怨恨；愤恨；厌恶
resident,"n. 居民；住院医生
adj. 居住的；定居的"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
responsible,adj. 负责的，可靠的；有责任的
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
retain,vt. 保持；雇；记住
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
retrospection,n. 回顾；反省；追忆
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
revenue,n. 税收，国家的收入；收益
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
revival,n. 复兴；复活；苏醒；恢复精神；再生效
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
righteous,adj. 正义的；正直的；公正的
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
rigorous,adj. 严格的，严厉的；严密的；严酷的
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
robust,adj. 强健的；健康的；粗野的；粗鲁的
rough,"n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分
adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的
vt. 使粗糙；粗暴对待；草拟
adv. 粗糙地；粗略地；粗暴地
vi. 举止粗野"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
scapegoat,"n. 替罪羊，替人顶罪者；替身
vt. 使成为…的替罪羊"
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
segment,"n. 段；部分
vt. 分割
vi. 分割"
selective,"adj. 选择性的
讲究的
有选择地
有选择性地
仔细挑选地"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
sentiment,n. 感情，情绪；情操；观点；多愁善感
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
series,n. 系列，连续； 串联；级数；丛书
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
shrinking,"v. 萎缩（shrink的ing形式）；收缩；退缩
adj. 畏缩的；犹豫不决的"
signature,n. 署名；签名；信号
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
slacking,"n. 消解；熟化
v. 松弛（slack的ing形式）"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
species,"n.  物种；种类
adj. 物种上的"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
spontaneity,n. 自发性；自然发生
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
stagnation,n. 停滞；滞止
statement,n. 声明；陈述，叙述；报表，清单
statistical,adj. 统计的；统计学的
status,n. 地位；状态；情形；重要身份
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
