influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
abundant,adj. 丰富的；充裕的；盛产
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
accomplish,vt. 完成；实现；达到
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
acquaintance,n. 熟人；相识；了解；知道
acquire,vt. 获得；取得；学到；捕获
acquisition,n. 获得物，获得；收购
adequate,adj. 充足的；适当的；胜任的
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
affirm,"vt. 肯定；断言
vi. 确认；断言"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
applicable,adj. 可适用的；可应用的；合适的
arbitrary,adj.  任意的；武断的；专制的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
aspire,vi. 渴望；立志；追求
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
attribute,"n. 属性；特质
vt. 归属；把…归于"
authentic,adj. 真正的，真实的；可信的
avert,vt. 避免，防止；转移
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
campus,n. （大学）校园；大学，大学生活；校园内的草地
casualty,n. 意外事故；伤亡人员；急诊室
cautious,adj. 谨慎的；十分小心的
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
chronic,adj. 慢性的；长期的；习惯性的
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
compile,vt. 编译；编制；编辑； 汇编
complement,"n. 补语；余角；补足物
vt. 补足，补助"
complicate,vt. 使复杂化；使恶化；使卷入
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
confirm,vt. 确认；确定；证实；批准；使巩固
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
consequently,adv. 因此；结果；所以
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
counterpart,n. 副本；配对物；极相似的人或物
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
derive,"vt. 源于；得自；获得
vi. 起源"
detach,vt. 分离；派遣；使超然
disposition,n. 处置； 性情； 部署；倾向
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
distribute,vt. 分配；散布；分开；把…分类
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
efficiency,n. 效率；效能；功效
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
emit,vt. 发出，放射；发行；发表
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
enforce,vt. 实施，执行；强迫，强制
enlighten,vt. 启发，启蒙；教导，开导；照耀
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
evident,adj. 明显的；明白的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
exert,vt. 运用，发挥；施以影响
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
explicit,adj. 明确的；清楚的；直率的；详述的
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
extensive,adj. 广泛的；大量的；广阔的
extent,n. 程度；范围；长度
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
finite,"n. 有限之物
adj. 有限的；限定的"
fitting,"n. 装配，装置；试穿，试衣
adj. 适合的，适宜的；相称的"
fixture,n. 设备；固定装置；固定于某处不大可能移动之物
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
hitherto,adv. 迄今；至今
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
ideology,n. 意识形态；思想意识；观念学
imitate,vt. 模仿，仿效；仿造，仿制
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
indication,n. 指示，指出；迹象；象征
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
indignation,n. 愤慨；愤怒；义愤
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
inflation,n. 膨胀；通货膨胀；夸张；自命不凡
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
inject,vt. 注入；注射
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
inquiry,n. 探究；调查；质询
instinct,"n. 本能，直觉；天性
adj. 充满着的"
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
interval,n. 间隔；间距；幕间休息
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
likewise,adv. 同样地；也
linguistic,adj. 语言的；语言学的
literacy,n. 读写能力；精通文学
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
literary,adj. 文学的；书面的；精通文学的
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
mutual,adj. 共同的；相互的，彼此的
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
necessity,n. 需要；必然性；必需品
nonetheless,adv. 尽管如此，但是
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
occasional,adj. 偶然的；临时的；特殊场合的
odds,n. 几率；胜算；不平等；差别
offspring,n. 后代，子孙；产物
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
owing,"adj. 未付的；欠着的
v. 欠；把…归功于（owe的ing形式）"
particle,n. 颗粒； 质点；极小量；小品词
pastime,n. 娱乐，消遣
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
personality,n. 个性；品格；名人
pessimistic,adj. 悲观的，厌世的；悲观主义的
pilgrim,"n. 朝圣者；漫游者；（美）最初的移民
vi. 去朝圣；漫游"
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
preferable,adj. 更好的，更可取的；更合意的
preference,n. 偏爱，倾向；优先权
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
prestige,n. 威望，声望；声誉
profitable,adj. 有利可图的；赚钱的；有益的
prominent,adj. 突出的，显著的；杰出的；卓越的
prosperity,n. 繁荣，成功
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
ratio,n. 比率，比例
reap,"vt. 收获，获得；收割
vi. 收割，收获"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
recession,n. 衰退；不景气；后退；凹处
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
recur,vi. 复发；重现；采用；再来；循环；递归
regulate,vt. 调节，规定；控制；校准；有系统的管理
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
reliance,n. 信赖；信心；受信赖的人或物
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
renovate,vt. 更新；修复；革新；刷新
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
roundabout,"n. 迂回路线；环状交叉路口
adj. 迂回的，绕道的；圆滚滚的"
scrutiny,n. 详细审查；监视；细看；选票复查
sensation,n. 感觉；轰动；感动
sentiment,n. 感情，情绪；情操；观点；多愁善感
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
slot,"n. 位置；狭槽；水沟；硬币投币口
vt. 跟踪；开槽于"
spacious,adj. 宽敞的，广阔的；无边无际的
specify,vt. 指定；详细说明；列举；把…列入说明书
speculate,"vi. 推测；投机；思索
vt. 推断"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
stability,n. 稳定性；坚定，恒心
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
strategy,n. 战略，策略
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
succession,n. 连续；继位；继承权； 演替
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
suppress,vt. 抑制；镇压；废止
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
swift,"n. 褐雨燕
adj. 快的；迅速的；敏捷的；立刻的
adv. 迅速地
n. 苹果公司开创的新款编程语言，应用于iOS 8及以上的应用程序"
symptom,n.  症状；征兆
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
textile,"n. 纺织品，织物
adj. 纺织的"
tolerance,n. 公差；宽容；容忍；公差
transaction,n. 交易；事务；办理；会报，学报
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
unfold,"vi. 展开；显露
vt. 打开；呈现"
urgent,adj. 紧急的；急迫的
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
vanity,n. 虚荣心；空虚；浮华；无价值的东西
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
vessel,n. 船，舰； 脉管，血管；容器，器皿
violence,n. 暴力；侵犯；激烈；歪曲
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accustom,vt. 使习惯于
acquaint,vt. 使熟悉；使认识
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
adapt,"vi. 适应
vt. 使适应；改编"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
advent,n. 到来；出现；基督降临；基督降临节
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
agony,n. 苦恼；极大的痛苦；临死的挣扎
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
allege,vt. 宣称，断言；提出…作为理由
alleviate,vt. 减轻，缓和
alliance,n. 联盟，联合；联姻
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
amiable,adj. 和蔼可亲的，亲切的
ample,adj. 丰富的；足够的；宽敞的
analogy,n. 类比；类推；类似
anecdote,n. 轶事；奇闻；秘史
anonymous,adj. 匿名的，无名的；无个性特征的
anticipate,vt. 预期，期望；占先，抢先；提前使用
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
appliance,n. 器具；器械；装置
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
assembly,n. 装配；集会，集合
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
assure,vt. 保证；担保；使确信；弄清楚
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
astronomy,n. 天文学
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
attorney,n. 律师；代理人；检查官
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
autonomy,n. 自治，自治权
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
bewilder,vt. 使迷惑，使不知所措
bizarre,adj. 奇异的（指态度，容貌，款式等）
blade,n. 叶片；刀片，刀锋；剑
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
bonus,n. 奖金；红利；额外津贴
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
bureaucracy,n. 官僚主义；官僚机构；官僚政治
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
cape,n.  海角，岬；披肩
cape,n.  海角，岬；披肩
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
chaos,n. 混沌，混乱
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
classify,vt. 分类；分等
clause,n. 条款； 子句
cling,vi. 坚持，墨守；紧贴；附着
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
collaborate,vi. 合作；勾结，通敌
column,n. 纵队，列；专栏；圆柱，柱形物
combination,n. 结合；组合；联合； 化合
commence,v. 开始；着手；<英>获得学位
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
committee,n. 委员会
commodity,n. 商品，货物；日用品
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
comparable,adj. 可比较的；比得上的
compatible,adj. 兼容的；能共处的；可并立的
compel,vt. 强迫，迫使；强使发生
competent,adj. 胜任的；有能力的；能干的；足够的
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
comprehend,vt. 理解；包含；由…组成
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
concession,n. 让步；特许（权）；承认；退位
concise,adj. 简明的，简洁的
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
confer,"vt. 授予；给予
vi. 协商"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
confidential,adj. 机密的；表示信任的；获信任的
conjunction,n. 结合； 连接词；同时发生
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
conscience,n. 道德心，良心
consensus,n. 一致；舆论；合意
consistent,adj. 始终如一的，一致的；坚持的
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
conspicuous,adj. 显著的；显而易见的
conspiracy,n. 阴谋；共谋；阴谋集团
constitute,vt. 组成，构成；建立；任命
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
convention,n. 大会； 惯例； 约定； 协定；习俗
conversely,adv. 相反地
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
correspond,vi. 符合，一致；相应；通信
correspondence,n. 通信；一致；相当
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
criterion,n. （批评判断的）标准；准则；规范；准据
cue,"n. 提示，暗示；线索
vt. 给…暗示"
cultivate,vt. 培养；陶冶；耕作
curriculum,"n. 课程
总课程"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
deduce,vt. 推论，推断；演绎出
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
delivery,n.  交付；分娩；递送
denote,vt. 表示，指示
density,n. 密度
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
depict,vt. 描述；描画
deputy,"n. 代理人，代表
adj. 副的；代理的"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
deteriorate,"vi. 恶化，变坏
vt. 恶化"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
differentiate,"vt. 区分，区别
vi. 区分，区别"
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
displace,vt. 取代；置换；转移；把…免职；排水
