take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
discussion,n. 讨论，议论
exactly,adv. 恰好地；正是；精确地；正确地
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
as long as,"conj. 只要
 长达；如果；既然"
stick to sth.,找不到解释
stick to doing sth.,找不到解释
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
easily,adv. 容易地；无疑地
download,vt.  下载
actually,adv. 实际上；事实上
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
imitate,vt. 模仿，仿效；仿造，仿制
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
rocket,"n. 火箭
vt. 用火箭运载
vi. 飞驰，飞快地移动；迅速增加"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
satellite,n. 卫星；人造卫星；随从；卫星国家
spaceship,n.  宇宙飞船
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
laptop,n. 膝上型轻便电脑，笔记本电脑
digital,"n. 数字；键
adj. 数字的；手指的"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
airplane,n. 飞机
hard-wearing,耐磨的
Korea,n. 韩国；朝鲜
invention,n. 发明；发明物；虚构；发明才能
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
crayon,"n. 蜡笔，有色粉笔
vt. 以蜡笔作画，用颜色粉笔画"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
silly,"n. 傻瓜
adj. 愚蠢的；不明事理的；没头脑的"
brainstorm,"n. 集思广益；头脑风暴；灵机一动
vt. 集体讨论；集思广益以寻找
vi. 集体讨论；动脑筋；出主意"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
detailed,"adj. 详细的，精细的；复杂的，详尽的
v. 详细说明（detail的过去分词）"
redesign,"n. 重新设计；新设计
vt. 重新设计"
imagination,n.  想象力；空想；幻想物
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
gun,"n. 枪支；枪状物；持枪歹徒
vt. 向…开枪；开大油门
vi. 用枪射击；加大油门快速前进"
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字"
explorer,n. 探险家；勘探者；探测器；探针
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
system,n. 制度，体制；系统；方法
man-made,adj. 人造的；人工的；合成的
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
outer space,"na. 外层空间；宇宙空间
 外太空；外部空间；星际空间"
describe,vt. 描述，形容；描绘
astronaut,n. 宇航员，航天员；太空旅行者
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
dancer,n. 舞蹈家；舞蹈演员；舞女；跳舞者
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
realise,"vt. 实现, 认识到, 体会到, 了解, 认清, 使显得逼真, 变卖财产为现钱"
universe,n. 宇宙；世界；领域
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
Roman,"n. 罗马人；古罗马语
adj. 罗马的；罗马人的"
god,找不到解释
diameter,n. 直径
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
gravity,n. 重力，地心引力；严重性；庄严
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
generally,adv. 通常；普遍地，一般地
journey,"n. 旅行；行程
vi. 旅行"
limit,"n. 限制；限度；界线
vt. 限制；限定"
excitement,n. 兴奋；刺激；令人兴奋的事物
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
prove,"vi. 证明是
vt. 证明；检验；显示"
lunar probe,"na. 月球探测
 月球探测卫星；月球探测器；探月卫星"
legend,n. 传奇；说明；图例；刻印文字
significance,n. 意义；重要性；意思
independently,adv. 独立地；自立地
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
spacewalk,n. 太空漫步，太空行走；航天舱外活动
electronic,"adj. 电子的
n. 电子电路；电子器件"
spacesuit,n. 航天服；太空服
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
entertainment,n. 娱乐；消遣；款待
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
no doubt,"na. 无疑地；很可能
 毫无疑问；必定；不要怀疑合唱团"
tiny,adj. 微小的；很少的
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
normally,adv. 正常地；通常地，一般地
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
workplace,n. 工作场所；车间
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
for instance,"na. 例如
 比如；举例说；举例来说"
besides,"prep. 除…之外
adv. 此外；而且"
properly,adv. 适当地；正确地；恰当地
servant,n. 仆人，佣人；公务员；雇工
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
for certain,"na. 的确
 肯定地；确凿地；确切地"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
might,"n. 力量；威力；势力
v. 可以；或许（may的过去式）；应该
aux. 可能；也许"
housework,n. 家务事
waitress,"n. 女服务员；女侍者
vi. 做女服务生"
magazine,n. 杂志；弹药库；胶卷盒
rooster,n. 公鸡；狂妄自负的人
wife,n. 妻子，已婚妇女；夫人
chick,"n. 小鸡；小鸟；少妇
adj. 胆小的；懦弱的"
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
palace,n. 宫殿；宅邸；豪华住宅
the Summer Palace,找不到解释
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
prisoner,n. 囚犯，犯人；俘虏；刑事被告
vocabulary,n. 词汇；词表；词汇量
a bunch, 串；一束；许多
