triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
indifference,n. 漠不关心；冷淡；不重视；中立
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
detailed,"adj. 详细的，精细的；复杂的，详尽的
v. 详细说明（detail的过去分词）"
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
absolutely,adv. 绝对地；完全地
frank,"n. 免费邮寄特权
adj. 坦白的，直率的；老实的
vt. 免费邮寄"
frankly,adv. 真诚地，坦白地
reluctant,adj. 不情愿的；勉强的；顽抗的
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
appealing,"v. 恳求（appeal的ing形式）；将…上诉
adj. 吸引人的；动人的；引起兴趣的；恳求似的"
forum,n. 论坛，讨论会；法庭；公开讨论的广场
triumphant,adj. 成功的；得意洋洋的；狂欢的
heartfelt,adj. 衷心的；真诚的；真心真意的
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
response,n. 响应；反应；回答
distract,vt. 转移；分心
podcast,n. 播客
upload,vt. 上传
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
simultaneously,adv. 同时地
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
interaction,"n. 相互作用； 交互作用
n. 互动"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
vicinity,n. 邻近，附近；近处
laptop,n. 膝上型轻便电脑，笔记本电脑
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
revealing,"v. 揭示；展现（reveal的ing形式）
adj. 透露真情的；有启迪作用的；袒胸露肩的"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
define,vt. 定义；使明确；规定
intertwine,"vt. 缠绕；纠缠
vi. 纠缠；编结"
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
reframe,vt. 再构造，再组织；重新制订；给……装上新框架
catch a glimpse of sb.,
catch a glimpse of sth.,
get a glimpse of sb.,
get a glimpse of sth.,
have a glimpse of sb.,
have a glimpse of sth.,
get to do sth.,
all the time,"na. 始终；老是
 一直；总是；无时无刻"
hang on sb.'s words,
hang on sb.'s every word,
switch off,"na. 不收听(某一广播)
 关掉；切断；关闭"
side by side,"na. 并排着
 肩并肩；肩并肩地；朗文国际英语教程"
at all times,"na. 不论什么时候；老是；时时
 总是；随时；一直"
capture sb.'s heart,
give up sth.,
in between,"na. 在…期间；在中间；每隔…
 在两者之间；在…之间；半熟恋人"
eternal,adj. 永恒的；不朽的
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
honorary,"n. 名誉学位；获名誉学位者；名誉团体
adj. 荣誉的；名誉的；道义上的"
laureate,"adj. 戴桂冠的；荣誉的
n. 桂冠诗人；得奖者
vt. 使戴桂冠"
award,"n. 奖品；判决
vt. 授予；判定"
applause,n. 欢呼，喝采；鼓掌欢迎
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
podium,n. 乐队指挥台；矮墙；墩座墙
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
blockade,"n. 阻塞
vt. 封锁"
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
dedication,n. 奉献；献身；赠言
predecessor,n. 前任，前辈
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
conscientiously,adv. 良心上
derive,"vt. 源于；得自；获得
vi. 起源"
enable,vt. 使能够，使成为可能；授予权利或方法
manure,"vt. 施肥于；耕种
n. 肥料；粪肥"
hoe,"n. 锄头
vi. 用锄耕地
vt. 锄，用锄头"
squat,"vt. 使蹲坐，使蹲下
vi. 蹲，蹲下；蹲坐；蹲伏
n. 蹲坐，蜷伏
adj. 蹲着的；矮胖的"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
padded,"adj. 有装填垫料的；脚底有厚肉的
v. 填补（pad的过去分词形式）"
gnaw,"vt. 咬；折磨；侵蚀
vi. 咬；折磨；侵蚀"
pickle,"n. 泡菜；盐卤；腌制食品
vt. 泡；腌制"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
affectionate,"adj. 深情的；
adj. 充满爱的；"
affectionately,adv. 亲切地；挚爱地
premier,"n. 总理，首相
adj. 第一的；最初的"
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
cordially,adv. 诚挚地，诚恳地；友善地
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
journalism,n. 新闻业，新闻工作；报章杂志
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
economic,adj. 经济的，经济上的；经济学的
crucial,adj. 重要的；决定性的；定局的；决断的
hesitation,n. 犹豫
grass roots,"n. 草根；基层民众；平民百姓
 基础；草根阶层；基层群众"
in the spotlight, 站在聚光灯圈里；聚光灯下；出风头
think of sb.,
think of sth.,
break through,"na. 突破(点)；(科技等的)重大发现；关键问题的解决
 突围；冲破；冲垮"
break through sth.,
note sth. down,"un. 记录
 记下；记下来；写下"
put sth. aside,"na. “set aside”的变体
 储蓄；撇开；放在一边"
out of,"prep. 来自；离开
 从...中；由于；从……向外"
report for duty,"na. 报到
 报到上班；报到应遣；报到上任"
except for,"na. 只有
 除了；除…之外；除了……之外"
turn sb. down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
turn sth. down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
the Great Hall of the People,
Isabel Crook,
David Crook,
Revolution in a Chinese Village: Ten Mile Inn,
the Central Foreign Affairs School,
Beijing Foreign Studies University,
the Soviet,
the University of Leeds,
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
contradiction,n. 矛盾；否认；反驳
cinematic,adj. 电影的；影片的
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
magnetic,adj. 地磁的；有磁性的；有吸引力的
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
abandoned,"v. 抛弃（abandon的过去式和过去分词）
adj. 被抛弃的；无约束的；恣意放荡的；寡廉鲜耻的"
windshield,n. 挡风玻璃
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
steering,"n. 操纵；指导；掌舵
v. 驾驶；掌舵（steer的ing形式）"
intact,adj. 完整的；原封不动的；未受损伤的
continuous,adj. 连续的，持续的；继续的；连绵不断的
continuously,adv. 连续不断地
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
inevitable,adj. 必然的，不可避免的
inevitably,adv. 不可避免地；必然地
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
occurrence,n. 发生；出现；事件；发现
interpret,"vi. 解释；翻译
vt. 说明；口译"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
abruptly,adv. 突然地；唐突地
detect,vt. 察觉；发现；探测
conductor,n. 导体；售票员；领导者；管理人
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
scared,"v. 使害怕（scare的过去分词）
adj. 害怕的"
spontaneous,adj. 自发的；自然的；无意识的
spontaneously,adv. 自发地；自然地；不由自主地
transparent,adj. 透明的；显然的；坦率的；易懂的
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
cursed,"v. 诅咒（curse的过去分词）
adj. 被诅咒的"
relief,n. 救济；减轻，解除；安慰；浮雕
rational,"n. 有理数
adj. 合理的；理性的"
tendency,n. 倾向，趋势；癖好
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
restrain,vt. 抑制，控制；约束；制止
restrained,"v. 抑制；约束（restrain的过去分词）
adj. 克制的，受限制的；拘谨的"
in ... terms,
in comparison, 相比之下；比较；比较起来
make up for sth.,
at the time, 当时；在那时；在那个时候
on a mission,带着使命执行任务的时候
pull away,"un. 绷起脸；开走；抽回；挖走
 脱身；离开；拉离"
in a new light, 在新的角度；生命的再思；另一种光线
in a bad light,在暗处，在光线不好的地方，在看不清楚的地方；从坏的角度;处于不利的环境 
in a different light, 用一种全新的眼光；在不同的光线中；在一种不同的光束里
as well,"na. 也；同样
 又；还；也倒不如"
look sb. in the eye, 直视；正视
be born with sth.,
Donald,
Jessica,
John Gray,
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
route,"n. 路线；航线；通道
vt. 按某路线发送"
endurance,n. 忍耐力；忍耐；持久；耐久
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
prominent,adj. 突出的，显著的；杰出的；卓越的
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
furnish,vt. 提供；供应；装备
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
contest,"n. 竞赛；争夺；争论
vt. 争辩；质疑
vi. 竞争；争辩"
distinction,n. 区别；差别；特性；荣誉、勋章
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
attendance,n. 出席；到场；出席人数；考勤
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
assembled,"v. 装配（assemble的过去分词）；集合
adj. 组合的；安装的"
assert,vt. 维护，坚持；断言；主张；声称
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
publicity,n. 宣传，宣扬；公开；广告；注意
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
shuffle,"n. 洗牌，洗纸牌；混乱，蒙混；拖着脚走
v. 洗牌；推诿，推卸；拖曳，慢吞吞地走；搅乱"
commentator,n. 评论员，解说员；实况播音员；时事评论者
concerned,"v. 关心（concern的过去时和过去分词）；与…有关
adj. 有关的；关心的"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
insane,adj. 疯狂的；精神病的；极愚蠢的
outrun,vt. 超过；跑得比…快；从…逃脱
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
endear,vt. 使…受钟爱；使…亲密
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
legend,n. 传奇；说明；图例；刻印文字
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
be under contract to sb.,
be under contract to sth.,
be under a contract to sb.,
be under a contract to do sth.,
up to sth.,
in attendance,"un. 出席；出席人数；在场；照料
 列席；参加；在场的"
might as well,"na. 不如
 不妨；倒不如；最好"
might just as well, 最好还是；倒不如
go on,"na. 往前走；继续…下去 (with； doing)；日子过得
 发生；进行；继续下去"
leave sb. behind,"na. 遗留；留下；追过；留在后头
 超过；落后；丢弃"
leave sth. behind,"na. 遗留；留下；追过；留在后头
 超过；落后；丢弃"
out loud, 大声地；大声地许愿；大声点
fall ill,"na. 病倒；染疾
 生病；患病；得病"
keep at it,"na. 使劲
 坚持下去；别松劲；加油干"
come to prominence,
gain prominence,"出名,突出,显着"
give sth. away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
pass away,"na. 消失；Vi. 经过；去；终止
 去世；逝世；过世"
to this day,"na. 到今天
 直到今天；至今；迄今"
Cliff Young,
Sydney,
Melbourne,n. 墨尔本（澳大利亚一座城市）
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
inspiration,n. 灵感；鼓舞；吸气；妙计
stimulation,n. 刺激；激励，鼓舞
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
emphasize,vt. 强调，着重
mutual,adj. 共同的；相互的，彼此的
obligation,n. 义务；职责；债务
graceful,adj. 优雅的；优美的
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
concept,n. 观念，概念
application,n. 应用；申请；应用程序；敷用
strategy,n. 战略，策略
cooperation,n. 合作，协作； 协力
inherent,adj. 固有的；内在的；与生俱来的，遗传的
inherently,adv. 内在地；固有地；天性地
overcome,"vt. 克服；胜过
vi. 克服；得胜"
lacking,"adj. 缺乏的；没有的；不足的
v. 缺少；不足（lack的ing形式）"
envious,adj. 羡慕的；嫉妒的
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
outcome,n. 结果，结局；成果
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
participation,n. 参与；分享；参股
competitive,adj. 竞争的；比赛的；求胜心切的
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
intensity,n. 强度；强烈； 亮度；紧张
emphasis,n. 重点；强调；加强语气
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
exclusively,adv. 唯一地；专有地；排外地
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
demanding,"v. 要求；查问（demand的ing形式）
adj. 苛求的；要求高的；吃力的"
excessive,adj. 过多的，极度的；过分的
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
draining,"n.  排水；敷设排水渠道；倾浆
v.  排水；使枯竭；逐渐消失（drain的现在分词）
adj. 排水的；滤水的"
consequence,n. 结果；重要性；推论
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
accomplishment,n. 成就；完成；技艺，技能
adapt,"vi. 适应
vt. 使适应；改编"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
extremely,adv. 非常，极其；极端地
pave,vt. 铺设；安排；作铺设之用
the here and now, 现时；现实情况中
early on,"adj. 不久之前
 前一阵子；在早期；继续下去"
free ride,"n. 不劳而获的东西；搭便车
 免费乘车；免费搭车；搭顺风车"
blame sb. for sth.,
blame sth. for sth.,
cancel out,"v. 相约；相消；抵消
 取消；抵偿；抵销"
on the surface,"na. 表面上
 外表上；在表面上；表面上的"
in shape,"un. 完全不；情况；模样
 处于良好状态；在外形上；在形状上"
the way of the world,"na. (世上的)一般习惯
 如此世道；人情世故；人之常情"
the ways of the world, 世态；世态人情；世情
pave the way for sth.,
Juvenal,"a. 羽毛未丰的, 雏鸟的"
