system,n. 制度，体制；系统；方法
deteriorate,"vi. 恶化，变坏
vt. 恶化"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
extinction,n. 灭绝；消失；消灭；废止
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
fertile,adj. 富饶的，肥沃的；能生育的
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
legislation,n. 立法；法律
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
occur,vi. 发生；出现；存在
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
sociologist,n. 社会学家
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
commitment,n. 承诺，保证；委托；承担义务；献身
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
tax,"n. 税金；重负
vt. 向…课税；使负重担"
reputation,n. 名声，名誉；声望
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
data,n. 数据（datum的复数）；资料
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
extent,n. 程度；范围；长度
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
frequency,n. 频率；频繁
employee,n. 雇员；从业员工
reasonable,adj. 合理的，公道的；通情达理的
railroad,"n. 铁路；铁路公司
vt. 由铁道运输；铺设铁路；以捏造不实之罪使入狱
vi. 在铁路工作；乘火车旅行；筑铁路"
convince,vt. 说服；使确信，使信服
distinct,adj. 明显的；独特的；清楚的；有区别的
establish,"vi. 植物定植
vt. 建立；创办；安置"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
creature,n. 动物，生物；人；创造物
adapt,"vi. 适应
vt. 使适应；改编"
prominent,adj. 突出的，显著的；杰出的；卓越的
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
urban,adj. 城市的；住在都市的
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
millimeter,n.  毫米
topic,n. 主题（等于theme）；题目；一般规则；总论
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
application,n. 应用；申请；应用程序；敷用
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
opportunity,n. 时机，机会
reflection,n. 反射；沉思；映象
similarly,adv. 同样地；类似于
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
possibility,n. 可能性；可能发生的事物
speculate,"vi. 推测；投机；思索
vt. 推断"
requirement,n. 要求；必要条件；必需品
occupy,vt. 占据，占领；居住；使忙碌
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
protein,"n. 蛋白质；朊
adj. 蛋白质的"
judgement,n. 意见；判断力； 审判；评价
upper,adj. 上面的，上部的；较高的
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
elderly,adj. 上了年纪的；过了中年的；稍老的
detect,vt. 察觉；发现；探测
virtue,n. 美德；优点；贞操；功效
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
oppose,"vt. 反对；对抗，抗争
vi. 反对"
acknowledge,vt. 承认；答谢；报偿；告知已收到
device,n. 装置；策略；图案
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
arise,vi. 出现；上升；起立
extensive,adj. 广泛的；大量的；广阔的
consultant,n. 顾问；咨询者；会诊医生
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
beneficial,adj. 有益的，有利的；可享利益的
solution,n. 解决方案；溶液；溶解；解答
summon,vt. 召唤；召集；鼓起；振作
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
humanity,n. 人类；人道；仁慈；人文学科
morality,n. 道德；品行，美德
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
temperament,n. 气质，性情，性格；急躁
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
invariably,adv. 总是；不变地；一定地
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
versatile,adj. 多才多艺的；通用的，万能的；多面手的
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
bewilder,vt. 使迷惑，使不知所措
dedicate,vt. 致力；献身；题献
cumulative,adj. 累积的
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
intuition,n. 直觉；直觉力；直觉的知识
disastrous,adj. 灾难性的；损失惨重的；悲伤的
assert,vt. 维护，坚持；断言；主张；声称
surpass,vt. 超越；胜过，优于；非…所能办到或理解
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
induce,vt. 诱导；引起；引诱；感应
authorize,vt. 批准，认可；授权给；委托代替
authorise,vt. 授权；批准；允许；委任（等于authorize）
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
evoke,vt. 引起，唤起；博得
authentic,adj. 真正的，真实的；可信的
blunder,"n. 大错
vt. 做错
vi. 跌跌撞撞地走；犯大错"
liability,n. 责任；债务；倾向；可能性；不利因素
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
stimulus,n. 刺激；激励；刺激物
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
intrinsic,adj. 本质的，固有的
junction,n. 连接，接合；交叉点；接合点
profound,adj. 深厚的；意义深远的；渊博的
accomplish,vt. 完成；实现；达到
adoption,n. 采用；收养；接受
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
apparently,adv. 显然地；似乎，表面上
award,"n. 奖品；判决
vt. 授予；判定"
bacterium,n.  细菌；杆菌属
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
complicate,vt. 使复杂化；使恶化；使卷入
congress,n. 国会；代表大会；会议；社交
constantly,adv. 不断地；时常地
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
counterpart,n. 副本；配对物；极相似的人或物
criticism,n. 批评；考证；苛求
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
deceptive,adj. 欺诈的；迷惑的；虚伪的
distract,vt. 转移；分心
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
drastically,adv. 彻底地；激烈地
effort,n. 努力；成就
eject,vt. 喷射；驱逐，逐出
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
eruption,n. 爆发，喷发；火山灰；出疹
exploration,n. 探测；探究；踏勘
extremely,adv. 非常，极其；极端地
fulfillment,n. 履行；实行
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
inadequate,adj. 不充分的，不适当的
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
library,n. 图书馆，藏书室；文库
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
modification,n. 修改，修正；改变
operation,n. 操作；经营； 手术； 运算
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
opposition,n. 反对；反对派；在野党；敌对
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
persistent,adj. 固执的，坚持的；持久稳固的
philosophical,adj. 哲学的（等于philosophic）；冷静的
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
psychologist,n. 心理学家，心理学者
questionnaire,n. 问卷；调查表
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
rigorous,adj. 严格的，严厉的；严密的；严酷的
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
sensor,n. 传感器
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
essence,n. 本质，实质；精华；香精
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
texture,n. 质地；纹理；结构；本质，实质
inherent,adj. 固有的；内在的；与生俱来的，遗传的
hierarchy,n. 层级；等级制度
employer,n. 雇主，老板
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
lawn,n. 草地；草坪
psychological,adj. 心理的；心理学的；精神上的
modify,"vt. 修改，修饰；更改
vi. 修改"
assignment,n. 分配；任务；作业；功课
author,"n. 作者；作家；创始人
vt. 创作出版"
surroundings,n. 环境；周围的事物
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
precise,adj. 精确的；明确的；严格的
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
whereas,conj. 然而；鉴于；反之
comprehension,n. 理解；包含
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
recommendation,n. 推荐；建议；推荐信
reality,n. 现实；实际；真实
incredible,adj. 难以置信的，惊人的
widespread,adj. 普遍的，广泛的；分布广的
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
penalty,n. 罚款，罚金；处罚
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
acquire,vt. 获得；取得；学到；捕获
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
policy,n. 政策，方针；保险单
valid,adj. 有效的；有根据的；合法的；正当的
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
machinery,n. 机械；机器；机构；机械装置
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
affection,n. 喜爱，感情；影响；感染
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
emphasis,n. 重点；强调；加强语气
entertainment,n. 娱乐；消遣；款待
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
wisdom,n. 智慧，才智；明智；学识；至理名言
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
boundary,n. 边界；范围；分界线
route,"n. 路线；航线；通道
vt. 按某路线发送"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
invention,n. 发明；发明物；虚构；发明才能
absence,n. 没有；缺乏；缺席；不注意
destination,n. 目的地，终点
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
settlement,n. 解决，处理； 结算；沉降；殖民
electrical,adj. 有关电的；电气科学的
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
recognition,n. 识别；承认，认出；重视；赞誉；公认
enforce,vt. 实施，执行；强迫，强制
convention,n. 大会； 惯例； 约定； 协定；习俗
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
centimeter,n.  厘米； 公分
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
exceed,"vt. 超过；胜过
vi. 超过其他"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
reservation,n. 预约，预订；保留
sympathy,n. 同情；慰问；赞同
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
furthermore,adv. 此外；而且
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
provoke,vt. 驱使；激怒；煽动；惹起
preference,n. 偏爱，倾向；优先权
distribution,n. 分布；分配
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
alter,"vt. 改变，更改
vi. 改变；修改"
comparison,n. 比较；对照；比喻；比较关系
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
consistent,adj. 始终如一的，一致的；坚持的
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
vivid,adj. 生动的；鲜明的；鲜艳的
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
treatment,n. 治疗，疗法；处理；对待
eliminate,vt. 消除；排除
scholar,n. 学者；奖学金获得者
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
astonish,vt. 使惊讶
recorder,n. 录音机；记录器；记录员；八孔直笛
failure,n. 失败；故障；失败者；破产
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
publicity,n. 宣传，宣扬；公开；广告；注意
accordance,n. 一致；和谐
basis,n. 基础；底部；主要成分；基本原则或原理
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
specialise,"vt. 使专门化；限定…的范围；深入（等于specialize）
vi. 专门研究（等于specialize）"
oxygen,n.  氧气， 氧
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
network,n. 网络；广播网；网状物
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
furnish,vt. 提供；供应；装备
licence,"n. 许可证，执照；特许
vt. 特许，许可；发给执照"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
interaction,"n. 相互作用； 交互作用
n. 互动"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
ridiculous,adj. 可笑的；荒谬的
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
instinct,"n. 本能，直觉；天性
adj. 充满着的"
accurate,adj. 精确的
conservative,
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
alcohol,n. 酒精，乙醇
phenomenon,n. 现象；奇迹；杰出的人才
derive,"vt. 源于；得自；获得
vi. 起源"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
deceive,v. 欺骗；行骗
investigate,v. 调查；研究
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
harm,"n. 伤害；损害
vt. 伤害；危害；损害"
translation,n. 翻译；译文；转化；调任
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地"
moreover,adv. 而且；此外
notorious,adj. 声名狼藉的，臭名昭著的
tuition,n. 学费；讲授
literal,adj. 文字的；逐字的；无夸张的
chronic,adj. 慢性的；长期的；习惯性的
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
contaminate,vt. 污染，弄脏
installment,n. 安装；分期付款；部分；就职
facilitate,vt. 促进；帮助；使容易
odor,n. 气味；名声
prestige,n. 威望，声望；声誉
complement,"n. 补语；余角；补足物
vt. 补足，补助"
refute,vt. 反驳，驳斥；驳倒
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
repel,vt. 击退；抵制；使厌恶；使不愉快
successor,n. 继承者；后续的事物
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
creation,n. 创造，创作；创作物，产物
silicon,n.  硅；硅元素
ascertain,vt. 确定；查明；探知
vicinity,n. 邻近，附近；近处
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
empirical,adj. 经验主义的，完全根据经验的；实证的
intact,adj. 完整的；原封不动的；未受损伤的
scrutiny,n. 详细审查；监视；细看；选票复查
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
denial,n. 否认；拒绝；节制；背弃
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
reap,"vt. 收获，获得；收割
vi. 收割，收获"
aggravate,vt. 加重；使恶化；激怒
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
axis,n. 轴；轴线；轴心国
originate,"vt. 引起；创作
vi. 发源；发生；起航"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
breakthrough,n. 突破；突破性进展
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
minimise,vt. 使缩到最小；成极小；求最小值
commence,v. 开始；着手；<英>获得学位
marginal,adj. 边缘的；临界的；末端的
persuasion,n. 说服；说服力；信念；派别
indignant,adj. 愤愤不平的；义愤的
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
transistor,n. 晶体管（收音机）
strive,vi. 努力；奋斗；抗争
extinguish,vt. 熄灭；压制；偿清
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
negligible,adj. 微不足道的，可以忽略的
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
perpetual,adj. 永久的；不断的；四季开花的；无期限的
destiny,n. 命运，定数，天命
cynical,adj. 愤世嫉俗的；冷嘲的
tragic,adj. 悲剧的；悲痛的，不幸的
apparatus,n. 装置，设备；仪器；器官
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
automation,n. 自动化；自动操作
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
hospitality,n. 好客；殷勤
incidentally,adv. 顺便；偶然地；附带地
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
