compatible,adj. 兼容的；能共处的；可并立的
impetus,n. 动力；促进；冲力
nephew,n. 侄子；外甥
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
punctual,adj. 准时的，守时的；精确的
boycott,"n. 联合抵制
vt. 联合抵制；拒绝参加"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
licence,"n. 许可证，执照；特许
vt. 特许，许可；发给执照"
theft,n. 盗窃；偷；赃物
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
scarf,"n. 围巾；嵌接，嵌接处；头巾领巾
vt. 披嵌接；用围巾围"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
renaissance,n. 文艺复兴（欧洲14至17世纪）
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
by-pass,n.  旁路；支路
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
impatient,adj. 焦躁的；不耐心的
outcome,n. 结果，结局；成果
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
prudent,adj. 谨慎的；精明的；节俭的
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
astronaut,n. 宇航员，航天员；太空旅行者
extent,n. 程度；范围；长度
deduct,vt. 扣除，减去；演绎
cigar,n. 雪茄
incredible,adj. 难以置信的，惊人的
vocabulary,n. 词汇；词表；词汇量
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
intense,adj. 强烈的；紧张的；非常的；热情的
axis,n. 轴；轴线；轴心国
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
quiz,"n. 考查；恶作剧；课堂测验
vt. 挖苦；张望；对…进行测验"
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
optical,adj. 光学的；眼睛的，视觉的
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
relief,n. 救济；减轻，解除；安慰；浮雕
sophomore,"n. 大学二年级生；（美）有二年经验的人
adj. 二年级的；二年级学生的"
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
seminar,n. 讨论会，研讨班
inhabitant,n. 居民；居住者
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
orchestra,n. 管弦乐队；乐队演奏处
eccentric,"n. 古怪的人
adj. 古怪的，反常的"
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
journalist,n. 新闻工作者；报人；记日志者
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
continuous,adj. 连续的，持续的；继续的；连绵不断的
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
suburb,n. 郊区；边缘
integrity,n. 完整；正直；诚实；廉正
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
supermarket,n. 超级市场；自助售货商店
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
endow,vt. 赋予；捐赠；天生具有
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
sustain,vt. 维持；支撑，承担；忍受；供养；证实
kingdom,n. 王国；界；领域
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
sulfur,"n. 硫磺；硫磺色
vt. 用硫磺处理"
sulphur,"n. 硫磺；硫磺色
vt. 使硫化；用硫磺处理"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
melon,n. 瓜；甜瓜；大肚子；圆鼓鼓像瓜似的东西
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
slippery,adj. 滑的；狡猾的；不稳定的
beard,"n. 胡须；颌毛
vt. 公然反对；抓…的胡须
vi. 充当掩护；充当男随员"
reap,"vt. 收获，获得；收割
vi. 收割，收获"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
twinkle,"n. 闪烁
vt. 使闪耀；闪耀
vi. 闪烁；发亮"
metric,"adj. 公制的；米制的；公尺的
n. 度量标准"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
assassinate,vt. 暗杀；行刺
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
memory,n. 记忆，记忆力；内存， 存储器；回忆
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
diligent,adj. 勤勉的；用功的，费尽心血的
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
unity,n. 团结；一致；联合；个体
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
critic,n. 批评家，评论家；爱挑剔的人
notify,vt. 通告，通知；公布
distinct,adj. 明显的；独特的；清楚的；有区别的
quartz,n. 石英
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
machinery,n. 机械；机器；机构；机械装置
passport,n. 护照，通行证；手段
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
reflection,n. 反射；沉思；映象
reflexion,n. <主英>反射，反射光; 反射作用（等于reflection）
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
regime,n. 政权，政体；社会制度；管理体制
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
comprise,vt. 包含；由…组成
debut,"n. 初次登台；开张
vi. 初次登台"
dynasty,n. 王朝，朝代
foresee,vt. 预见；预知
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
addition,n. 添加； 加法；增加物
endorse,vt. 背书；认可；签署；赞同；在背面签名
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
incidence,n. 发生率；影响； 入射；影响范围
successor,n. 继承者；后续的事物
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
slogan,n. 标语；呐喊声
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
democracy,n. 民主，民主主义；民主政治
amiable,adj. 和蔼可亲的，亲切的
grammar,n. 语法；语法书
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
spokesman,n. 发言人；代言人
dentist,"n. 牙科医生
牙医诊所"
salvation,n. 拯救；救助
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
shortcoming,n. 缺点；短处
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆"
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
consumption,n. 消费；消耗；肺痨
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
valid,adj. 有效的；有根据的；合法的；正当的
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
restraint,n. 抑制，克制；约束
description,n. 描述，描写；类型；说明书
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
marvelous,adj. 了不起的；非凡的；令人惊异的；不平常的
marvellous,adj. 不可思议的；惊人的
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
rhythm,n. 节奏；韵律
educate,"vt. 教育；培养；训练
vi. 教育；训练"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
shear,"n.  切变；修剪；大剪刀
vi. 剪；剪切；修剪
vt. 剪；修剪；剥夺"
kidnap,vt. 绑架；诱拐；拐骗
propaganda,n. 宣传；传道总会
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
cape,n.  海角，岬；披肩
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
faulty,adj. 有错误的；有缺点的
eliminate,vt. 消除；排除
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
invitation,n. 邀请；引诱；请帖；邀请函
commemorate,vt. 庆祝，纪念；成为…的纪念
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
sane,adj. 健全的；理智的； 神志正常的
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
seam,"n. 缝；接缝
vt. 缝合；接合；使留下伤痕
vi. 裂开；产生裂缝"
highway,n. 公路，大路；捷径
alter,"vt. 改变，更改
vi. 改变；修改"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
accuracy,n.  精确度，准确性
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
linguistic,adj. 语言的；语言学的
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
brochure,n. 手册，小册子
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
exclude,vt. 排除；排斥；拒绝接纳；逐出
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
brutal,adj. 残忍的；野蛮的，不讲理的
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
network,n. 网络；广播网；网状物
evident,adj. 明显的；明白的
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
dynamical,adj. 动力学的（等于dynamic）；有生气的；有力的
swan,"n. 天鹅；天鹅星座
vi. 游荡，闲荡"
rigorous,adj. 严格的，严厉的；严密的；严酷的
technology,n. 技术；工艺；术语
wax,"n. 蜡；蜡状物
adj. 蜡制的；似蜡的
vt. 给…上蜡
vi. 月亮渐满；增大"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
solidarity,n. 团结，团结一致
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
pit,"n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众
vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕
vi. 凹陷；起凹点"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
pray,"vi. 祈祷；请；恳求
vt. 祈祷；恳求；央求"
crucial,adj. 重要的；决定性的；定局的；决断的
economy,n. 经济；节约；理财
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
thorn,n. 刺； 荆棘
bewilder,vt. 使迷惑，使不知所措
cargo,n. 货物，船货
turmoil,n. 混乱，骚动
patience,n. 耐性，耐心；忍耐，容忍
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
benign,adj. 良性的；和蔼的，亲切的；吉利的
contempt,n. 轻视，蔑视；耻辱
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
conception,n. 怀孕；概念；设想；开始
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
accordance,n. 一致；和谐
association,n. 协会，联盟，社团；联合；联想
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
digital,"n. 数字；键
adj. 数字的；手指的"
fearful,adj. 可怕的；担心的；严重的
testify,"vi. 作证；证明
vt. 证明，证实；作证"
prolong,vt. 延长；拖延
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
amplifier,n.  放大器，扩大器；扩音器
prayer,n. 祈祷，祷告；恳求；祈祷文
proposal,n. 提议，建议；求婚
redeem,vt. 赎回；挽回；兑换；履行；补偿；恢复
legacy,n. 遗赠，遗产
myth,n. 神话；虚构的人，虚构的事
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
latitude,n. 纬度；界限；活动范围
doorway,n. 门口；途径
spectator,n. 观众；旁观者
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
damn,"n. 一点；诅咒
vt. 谴责；罚…下地狱
adj. 可恶的
adv. 非常
vi. 谴责
int. 讨厌"
investment,n. 投资；投入；封锁
fellowship,n. 团体；友谊；奖学金；研究员职位
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
limited,"adj. 有限的
n. 高级快车"
organ,n.  器官；机构；风琴；管风琴；嗓音
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
instrument,n. 仪器；工具；乐器；手段；器械
handful,n. 少数；一把；棘手事
pail,n. 桶，提桶
conceal,vt. 隐藏；隐瞒
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
argument,n. 论证；论据；争吵；内容提要
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
inject,vt. 注入；注射
lawn,n. 草地；草坪
imaginary,adj. 虚构的，假想的；想像的；虚数的
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
miserable,adj. 悲惨的；痛苦的；卑鄙的
abolish,vt. 废除，废止；取消，革除
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
elite,n. 精英；精华；中坚分子
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
imitate,vt. 模仿，仿效；仿造，仿制
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
stairway,n. 阶梯，楼梯
surpass,vt. 超越；胜过，优于；非…所能办到或理解
compassion,n. 同情；怜悯
nourish,vt. 滋养；怀有；使健壮
fortnight,n. 两星期
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
liberty,n. 自由；许可；冒失
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
cope,"n. 长袍
vi. 处理；对付；竞争"
aluminum,n. 铝
aluminium,"n. 铝
adj. 铝的"
porter,n. 门房；服务员；行李搬运工；守门人
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
disastrous,adj. 灾难性的；损失惨重的；悲伤的
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
tune,"n. 曲调；和谐；心情
vt. 调整；使一致；为…调音
vi.  调谐；协调"
energetic,adj. 精力充沛的；积极的；有力的
sarcastic,adj. 挖苦的；尖刻的，辛辣的
chap,"n. 小伙子；家伙；龟裂
vt. 使皲裂
vi. 皲裂"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
snatch,"n. 抢夺；抓举；小量
vt. 夺得；抽空做；及时救助
vi. 抢走；很快接受"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
epoch,n.  世；新纪元；新时代；时间上的一点
conversely,adv. 相反地
equip,vt. 装备，配备
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
particle,n. 颗粒； 质点；极小量；小品词
genetics,n. 遗传学
formulate,vt. 规划；用公式表示；明确地表达
pneumonia,n. 肺炎
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
naval,adj. 海军的；军舰的
towel,"n. 毛巾，手巾； 纸巾
vi. 用毛巾擦干身体
vt. 用毛巾擦"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
beneficial,adj. 有益的，有利的；可享利益的
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
gorgeous,adj. 华丽的，灿烂的；极好的
requirement,n. 要求；必要条件；必需品
coke,n. 可口可乐（等于Coca-Cola）
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
parameter,n. 参数；系数；参量
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
recovery,n. 恢复，复原；痊愈；重获
deputy,"n. 代理人，代表
adj. 副的；代理的"
breast,"n. 乳房，胸部；胸怀；心情
vt. 以胸对着；与…搏斗"
infrared,"n. 红外线
adj. 红外线的"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
assistance,n. 援助，帮助；辅助设备
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
motivate,vt. 刺激；使有动机；激发…的积极性
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
warmth,n. 温暖；热情；激动
district,n. 区域；地方；行政区
guilt,n. 犯罪，过失；内疚
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
journal,n. 日报，杂志；日记；分类账
spaceship,n.  宇宙飞船
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
sideways,"adj. 向侧面的；一旁的
adv. 向侧面地；向一旁"
council,n. 委员会；会议；理事会；地方议会；顾问班子
urgent,adj. 紧急的；急迫的
aggravate,vt. 加重；使恶化；激怒
tumor,n. 肿瘤；肿块；赘生物
famine,n. 饥荒；饥饿，奇缺
expansion,n. 膨胀；阐述；扩张物
consequently,adv. 因此；结果；所以
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
option,n.  选项；选择权；买卖的特权
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
artery,n. 动脉；干道；主流
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
linear,adj. 线的，线型的；直线的，线状的；长度的
furthermore,adv. 此外；而且
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
generator,n. 发电机；发生器；生产者
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
stubborn,adj. 顽固的；顽强的；难处理的
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
renovate,vt. 更新；修复；革新；刷新
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
youngster,n. 年轻人；少年
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
molecule,n.  分子；微小颗粒，微粒
disgrace,"n. 耻辱；丢脸的人或事；失宠
vt. 使……失宠；给……丢脸；使……蒙受耻辱；贬黜"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
diameter,n. 直径
brow,n. 眉，眉毛；额；表情
brandy,n. 白兰地酒
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
additional,adj. 附加的，额外的
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
personality,n. 个性；品格；名人
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
wreath,"n. 花冠；圈状物
vt. 环绕（等于wreathe）
vi. 盘旋（等于wreathe）"
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
transcend,vt. 胜过，超越
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
dioxide,n. 二氧化物
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
authentic,adj. 真正的，真实的；可信的
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
centimeter,n.  厘米； 公分
centimetre,n. 厘米；公分
sudden,"n. 突然发生的事
adj. 突然的，意外的；快速的"
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
endurance,n. 忍耐力；忍耐；持久；耐久
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
forehead,n. 额，前额
accomplish,vt. 完成；实现；达到
bloody,"adj. 血腥的；非常的；嗜杀的，残忍的；血色的
vt. 使流血
adv. 很"
piston,n. 活塞
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
