appoint,"vt. 任命；指定；约定
vi. 任命；委派"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
eliminate,vt. 消除；排除
embarrass,vt. 使局促不安；使困窘；阻碍
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
instruct,vt. 指导；通知；命令；教授
instruction,n. 指令，命令；指示；教导；用法说明
investigate,v. 调查；研究
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
recreation,n. 娱乐；消遣；休养
scandal,n. 丑闻；流言蜚语；诽谤；公愤
segment,"n. 段；部分
vt. 分割
vi. 分割"
sequence,"n.  序列；顺序；续发事件
vt. 按顺序排好"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
theme,"n. 主题；主旋律；题目
adj. 以奇想主题布置的"
undertake,vt. 承担，保证；从事；同意；试图
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
acknowledge,vt. 承认；答谢；报偿；告知已收到
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
compel,vt. 强迫，迫使；强使发生
compete,vi. 竞争；比赛；对抗
competition,n. 竞争；比赛，竞赛
competitive,adj. 竞争的；比赛的；求胜心切的
depend,vi. 依赖，依靠；取决于；相信，信赖
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
emphasize,vt. 强调，着重
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
enforce,vt. 实施，执行；强迫，强制
feasible,adj. 可行的；可能的；可实行的
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
income,n. 收入，收益；所得
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
performance,n. 性能；绩效；表演；执行；表现
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
eternal,adj. 永恒的；不朽的
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
reflection,n. 反射；沉思；映象
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
variety,n. 多样；种类；杂耍；变化，多样化
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
comprehension,n. 理解；包含
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
conceal,vt. 隐藏；隐瞒
concede,"vi. 让步
vt. 承认；退让；给予，容许"
depress,vt. 压抑；使沮丧；使萧条
gloomy,adj. 黑暗的；沮丧的；阴郁的
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
deserve,"vi. 应受，应得
vt. 应受，应得"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
environment,n. 环境，外界
fiction,n. 小说；虚构，编造；谎言
incredible,adj. 难以置信的，惊人的
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
legislation,n. 立法；法律
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
personality,n. 个性；品格；名人
pessimistic,adj. 悲观的，厌世的；悲观主义的
refresh,"vt. 更新；使……恢复；使……清新；消除……的疲劳
vi. 恢复精神；喝饮料，吃点心；补充给养"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
sincere,adj. 真诚的；诚挚的；真实的
thoughtful,adj. 深思的；体贴的；关切的
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
beat,"n. 拍子；敲击；有规律的一连串敲打
adj. 筋疲力尽的；疲惫不堪的
vt. 打；打败
vi. 打；打败；拍打；有节奏地舒张与收缩"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
conclusion,n. 结论；结局；推论
condemn,vt. 谴责；判刑，定罪；声讨
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
destruction,n. 破坏，毁灭；摧毁
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
devote,vt. 致力于；奉献
enhance,vt. 提高；加强；增加
enlarge,"vt. 扩大；使增大；扩展
vi. 扩大；放大；详述"
ensure,vt. 保证，确保；使安全
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
massive,adj. 大量的；巨大的，厚重的；魁伟的
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
offense,n. 犯罪，过错；进攻；触怒；引起反感的事物
offensive,"adj. 攻击的；冒犯的；无礼的；讨厌的
n. 攻势；攻击"
phenomenon,n. 现象；奇迹；杰出的人才
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
pilot,"n. 飞行员；领航员
adj. 试点的
v. 驾驶；领航；试用"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
restrain,vt. 抑制，控制；约束；制止
restraint,n. 抑制，克制；约束
restrict,vt. 限制；约束；限定
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
alliance,n. 联盟，联合；联姻
bore,"n. 孔；令人讨厌的人
vt. 钻孔；使烦扰
vi. 钻孔"
confirm,vt. 确认；确定；证实；批准；使巩固
confront,vt. 面对；遭遇；比较
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
conservation,n. 保存，保持；保护
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
entertainment,n. 娱乐；消遣；款待
error,n. 误差；错误；过失
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
gaze,"n. 凝视；注视
vi. 凝视；注视"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
historical,adj. 历史的；史学的；基于史实的
historic,adj. 有历史意义的；历史上著名的
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
slippery,adj. 滑的；狡猾的；不稳定的
tolerance,n. 公差；宽容；容忍；公差
strive,vi. 努力；奋斗；抗争
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
opt,vi. 选择
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
consideration,n. 考虑；原因；关心；报酬
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
consist,vi. 由…组成；在于；符合
constitute,vt. 组成，构成；建立；任命
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
disaster,n. 灾难，灾祸；不幸
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
honorable,adj. 光荣的；可敬的；高贵的
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
operation,n. 操作；经营； 手术； 运算
option,n.  选项；选择权；买卖的特权
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
reputation,n. 名声，名誉；声望
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
unexpected,adj. 意外的，想不到的
expectation,n. 期待；预期；指望
weakness,n. 弱点；软弱；嗜好
profound,adj. 深厚的；意义深远的；渊博的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
anticipate,vt. 预期，期望；占先，抢先；提前使用
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
contradiction,n. 矛盾；否认；反驳
contribution,n. 贡献；捐献；投稿
convenience,n. 便利；厕所；便利的事物
convention,n. 大会； 惯例； 约定； 协定；习俗
conventional,adj. 符合习俗的，传统的；常见的；惯例的
convey,vt. 传达；运输；让与
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
injury,n. 伤害，损害；受伤处
inner,"n. 内部
adj. 内部的；内心的；精神的"
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
inward,"n. 内部；内脏；密友
adj. 向内的；内部的；精神的；本质上的；熟悉的
adv. 向内；内心里"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
notify,vt. 通告，通知；公布
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
precious,adj. 宝贵的；珍贵的；矫揉造作的
rescue,"n. 营救；援救；解救
vt. 营救；援救"
reservation,n. 预约，预订；保留
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
tradition,n. 惯例，传统；传说
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
appliance,n. 器具；器械；装置
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
arbitrary,adj.  任意的；武断的；专制的
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
convince,vt. 说服；使确信，使信服
cope,"n. 长袍
vi. 处理；对付；竞争"
courage,n. 勇气；胆量
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
distinction,n. 区别；差别；特性；荣誉、勋章
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
division,n.  除法；部门；分配；分割；师（军队）；赛区
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
doubtful,adj. 可疑的；令人生疑的；疑心的；不能确定的
exceed,"vt. 超过；胜过
vi. 超过其他"
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
flexible,adj. 灵活的；柔韧的；易弯曲的
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
inquiry,n. 探究；调查；质询
library,n. 图书馆，藏书室；文库
mercy,n. 仁慈，宽容；怜悯；幸运；善行
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
precise,adj. 精确的；明确的；严格的
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
speculate,"vi. 推测；投机；思索
vt. 推断"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
usual,adj. 通常的，惯例的；平常的
violate,vt. 违反；侵犯，妨碍；亵渎
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
crucial,adj. 重要的；决定性的；定局的；决断的
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
donation,n. 捐款，捐赠物；捐赠
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
exclude,vt. 排除；排斥；拒绝接纳；逐出
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
instinct,"n. 本能，直觉；天性
adj. 充满着的"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
location,n. 位置（形容词locational）；地点；外景拍摄场地
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
transmission,n. 传动装置， 变速器；传递；传送；播送
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
virtually,adv. 事实上，几乎；实质上
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
attribute,"n. 属性；特质
vt. 归属；把…归于"
cling,vi. 坚持，墨守；紧贴；附着
concept,n. 观念，概念
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
execute,vt. 实行；执行；处死
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
intensity,n. 强度；强烈； 亮度；紧张
indicate,vt. 表明；指出；预示；象征
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
mislead,vt. 误导；带错
presentation,n. 展示；描述，陈述；介绍；赠送
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
prevail,vi. 盛行，流行；战胜，获胜
presumably,adv. 大概；推测起来；可假定
prominent,adj. 突出的，显著的；杰出的；卓越的
reluctant,adj. 不情愿的；勉强的；顽抗的
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
resource,n. 资源，财力；办法；智谋
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
start,"n. 开始；起点
vt. 开始；启动
vi. 出发"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
award,"n. 奖品；判决
vt. 授予；判定"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
entire,adj. 全部的，整个的；全体的
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
priority,n. 优先；优先权； 优先次序；优先考虑的事
privilege,"n. 特权；优待
vt. 给与…特权；特免"
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
profession,n. 职业，专业；声明，宣布，表白
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
proposal,n. 提议，建议；求婚
revenue,n. 税收，国家的收入；收益
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
sticky,adj. 粘的；粘性的
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
string,n. 线，弦，细绳；一串，一行
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
subsequent,adj. 后来的，随后的
treasure,"n. 财富，财产；财宝；珍品
vt. 珍爱；珍藏"
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
apparent,adj. 显然的；表面上的
bet,"n. 打赌，赌注；被打赌的事物
vt. 打赌；敢断定，确信
vi. 打赌"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
failure,n. 失败；故障；失败者；破产
