private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
besides,"prep. 除…之外
adv. 此外；而且"
a number of,"na. 若干；=numbers of 许多的
 一些；大量的；很多"
in addition to,"na. 加之
 除…之外；除了；除…外"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
even if,"na. 即使…也
 纵然；就算；甚至"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
far from,"na. 远离；决不
 远非；完全不；远远不是"
turn back,"na. 同“turn down ”
 折回；往回走；翻回到"
sell out,"na. 卖完；脱销；背叛；欺骗
 售完；卖光；出卖"
at any moment,"na. 不知何时
 随时；在任何时候；即使，随时"
ticket office,"na. 票房
 售票处；购票处；售票口"
pity,"n. 怜悯，同情；遗憾
vt. 对……表示怜悯；对……感到同情"
What a pity!,
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
might,"n. 力量；威力；势力
v. 可以；或许（may的过去式）；应该
aux. 可能；也许"
sadly,adv. 悲哀地；悲痛地
disappointed,adj. 失望的，沮丧的；受挫折的
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
in advance,"na. 预先；在先头
 事先；提前；事前"
get together,"na. 聚集；集合；汇齐；积累
 聚会；相聚；联欢"
Spring Festival,
arrangement,n. 布置；整理；准备
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
may as well,"na. “may well”的变体
 不妨；最好；还不如"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
delighted,"adj. 高兴的；欣喜的
v. 使…兴高采烈；感到快乐（delight的过去分词）"
fisherman,n. 渔夫；渔人
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
fall off,"na. 下降；(从马上)掉下来；扫兴颓丧；离开
 跌落；减少；衰退"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
pastime,n. 娱乐，消遣
apologise,vi. 道歉（等于apologize）
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
excited,"v. 激动；唤起（excite的过去分词）
adj. 兴奋的；激动的；活跃的"
engine,n. 引擎，发动机；机车，火车头；工具
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
explorer,n. 探险家；勘探者；探测器；探针
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
pull sth. up,"v. 拔起；使…停下
 停车；上拉；阻止"
pull sb. up,"v. 拔起；使…停下
 停车；上拉；阻止"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
aeroplane,n. 飞机（等于airplane）
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
come into,"na. 归入；开始；得到；缔结
 进入；继承；加入"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
determined,"v. 决定；断定（determine的过去分词）
adj. 决定了的；坚决的"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
accurately,adv. 精确地，准确地
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
instruction,n. 指令，命令；指示；教导；用法说明
seriously,adv. 认真地；严重地，严肃地
thoroughly,adv. 彻底地，完全地
drive sb. into sth.,
drive sth. into sth.,
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
drive sb. back,
drive sth. back,
drive sb. out of sth.,
drive sth. out of sth.,
government,n. 政府；政体；管辖
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
strongly,adv. 强有力地；坚强地；激烈地；气味浓地
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
theft,n. 盗窃；偷；赃物
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
assure,vt. 保证；担保；使确信；弄清楚
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
convince,vt. 说服；使确信，使信服
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
experienced,adj. 老练的，熟练的；富有经验的
believe in sb.,
believe in sth.,
delight,"n. 高兴
vt. 使高兴
vi. 高兴"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
economise,vi. 节省，减少开支
cost of living,"n. 生活费用
 生活成本；生活的代价；生活开销"
pollution,"n. 污染
污染物"
live on sb.,
live on sth.,
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
beware,"vt. 注意，当心；提防
vi. 当心，小心"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
consist,vi. 由…组成；在于；符合
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
rid,vt. 使摆脱；使去掉
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
get tired of, 对……感到厌倦；厌烦；对……厌烦
be tired of,"v. 厌烦；厌倦
 对…厌倦；对……厌烦；讨厌"
defend,"vi. 保卫；防守
vt. 辩护；防护"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
emerge,vi. 浮现；摆脱；暴露
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
prohibit,vt. 阻止，禁止
protect,vt. 保护，防卫；警戒
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
include,vt. 包含，包括
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
instruct,vt. 指导；通知；命令；教授
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
involve,vt. 包含；牵涉；使陷于；潜心于
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
depend,vi. 依赖，依靠；取决于；相信，信赖
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
insist on sth.,
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
rely on sb.,
rely on sth.,
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
engaged,"v. 保证；约定；同…订婚（engage的过去分词）
adj. 使用中的，忙碌的"
punctual,adj. 准时的，守时的；精确的
Beethoven,n. 贝多芬（德国作曲家）
Dickens,
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
effort,n. 努力；成就
correspond,vi. 符合，一致；相应；通信
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
sheet,"n. 薄片，纸张；薄板；床单
adj. 片状的
vt. 覆盖；盖上被单；使成大片
vi. 成片流动；大片落下"
now and again, 不时地；时而；偶尔
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
picnic,"n. 野餐
vi. 去野餐"
thunderstorm,n.  雷暴；雷暴雨；大雷雨
politics,n. 政治，政治学；政治活动；政纲
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
gentleman,n. 先生；绅士；有身份的人
honesty,n. 诚实，正直
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
footstep,n. 脚步；脚步声；足迹
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
explanation,n. 说明，解释；辩解
bad tempered,"adj. 暴躁的
 坏脾气的；脾气坏的"
furniture,n. 家具；设备；储藏物
honourable,adj. 荣誉的；值得尊敬的；表示尊敬的；正直的
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
