abnormal,adj. 反常的，不规则的；变态的
vague,adj. 模糊的；含糊的；不明确的；暧昧的
dine,"vi. 进餐，用餐
vt. 宴请"
reception,n. 接待；接收；招待会；感受；反应
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
luncheon,n. 午宴；正式的午餐会
cuisine,n. 烹饪，烹调法
delicacy,n. 美味；佳肴；微妙；精密；精美；敏锐，敏感；世故，圆滑
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
disaster,n. 灾难，灾祸；不幸
catastrophe,n. 大灾难；大祸；惨败
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
disclose,vt. 公开；揭露
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
displace,vt. 取代；置换；转移；把…免职；排水
displacement,n. 取代，位移； 排水量
disarm,"vt. 解除武装；裁军；缓和
vi. 放下武器；裁减军备"
dismantle,"vt. 拆除；取消；解散；除掉…的覆盖物
vi. 可拆卸"
distil,"vt. 蒸馏；提取…的精华；使渗出
vi. 蒸馏；提炼；渗出"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
discrepancy,n. 不符；矛盾；相差
dissident,"n. 持不同政见者，意见不同的人
adj. 持不同政见的，意见不同的"
dissent,"n. 异议；（大写）不信奉国教
vi. 不同意；不信奉国教"
distract,vt. 转移；分心
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
confer,"vt. 授予；给予
vi. 协商"
commentary,n. 评论；注释；评注；说明
exposition,n. 博览会；阐述；展览会
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
differentiate,"vt. 区分，区别
vi. 区分，区别"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
turmoil,n. 混乱，骚动
havoc,"n. 大破坏；浩劫；蹂躏
vt. 严重破坏
vi. 损毁"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
distortion,n. 变形； 失真；扭曲；曲解
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
doctrine,n. 主义；学说；教义；信条
dogma,n. 教条，教理；武断的意见
gospel,"n. 真理；信条
adj. 传播福音的；福音赞美诗的"
dough,n. 生面团；金钱
drought,n. 干旱；缺乏
dropout,n. 中途退学；辍学学生
dwell,vi. 居住；存在于；细想某事
knob,"n. 把手；瘤；球形突出物
vi. 鼓起
vt. 使有球形突出物"
wardrobe,n. 衣柜；行头；全部戏装
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
sofa,n. 沙发；长椅
couch,"vt. 使躺下；表达；弯下
vi. 蹲伏，埋伏；躺着
n. 睡椅，长沙发；床；卧榻"
economy,n. 经济；节约；理财
economical,adj. 经济的；节约的；合算的
economics,n. 经济学；国家的经济状况
ecosystem,n. 生态系统
edit,"vt. 编辑；校订
n. 编辑工作"
editorial,"n. 社论
adj. 编辑的；社论的"
proofread,"vt. 校对，校勘
vi. 做校对工作"
compile,vt. 编译；编制；编辑； 汇编
catalogue,"n. 目录；（美）大学情况一览
vt. 把…编入目录"
bibliography,n. 参考书目；文献目录
royalty,n. 皇室；版税；王权；专利税
elapse,"n. 流逝；时间的过去
vi. 消逝；时间过去"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
electrician,n. 电工；电气技师
insulator,n.  绝缘体；从事绝缘工作的工人
arc,"n. 弧（度）；弧光（全称electric arc）；弧形物；天穹
adj. 圆弧的；反三角函数的
vt. 形成电弧；走弧线"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
grid,n. 网格；格子，栅格；输电网
element,n. 元素；要素；原理；成分；自然环境
molecule,n.  分子；微小颗粒，微粒
molecular,adj.  分子的；由分子组成的
substance,n. 物质；实质；资产；主旨
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
versatile,adj. 多才多艺的；通用的，万能的；多面手的
elite,n. 精英；精华；中坚分子
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
conqueror,n. 征服者；胜利者
celebrity,n. 名人；名声
prestige,n. 威望，声望；声誉
emancipate,vt. 解放；释放
capable,adj. 能干的，能胜任的；有才华的
capability,n. 才能，能力；性能，容量
capacity,n. 能力；容量；资格，地位；生产力
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
enclose,vt. 围绕；装入；放入封套
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
entrust,vt. 委托，信托
endanger,vt. 危及；使遭到危险
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
endurance,n. 忍耐力；忍耐；持久；耐久
endorse,vt. 背书；认可；签署；赞同；在背面签名
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
envelop,"n. 信封；包裹
vt. 包围；包封；遮盖"
embody,vt. 体现，使具体化；具体表达
include,vt. 包含，包括
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
emotion,n. 情感；情绪
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
gloom,n. 昏暗；阴暗
enact,vt. 颁布；制定法律；扮演；发生
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
pact,n. 协定；公约；条约；契约
endow,vt. 赋予；捐赠；天生具有
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
subscribe,"vt. 签署；赞成；捐助
vi. 订阅；捐款；认购；赞成；签署"
energetic,adj. 精力充沛的；积极的；有力的
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
propel,vt. 推进；驱使；激励；驱策
animate,"adj. 有生命的
vt. 使有生气；使活泼；鼓舞；推动"
inspiration,n. 灵感；鼓舞；吸气；妙计
momentum,n. 势头； 动量；动力；冲力
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
enhance,vt. 提高；加强；增加
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
entertainment,n. 娱乐；消遣；款待
recreation,n. 娱乐；消遣；休养
pastime,n. 娱乐，消遣
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
casino,n. 俱乐部，赌场；娱乐场
salon,n. 沙龙；客厅；画廊；美术展览馆
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
hockey,n. 曲棍球；冰球
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
entity,n. 实体；存在；本质
hospitality,n. 好客；殷勤
maturity,n. 成熟；到期；完备
nationality,n. 国籍，国家；民族；部落
personality,n. 个性；品格；名人
equation,n. 方程式，等式；相等； 反应式
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
equate,"vt. 使相等；视为平等
vi. 等同"
eradicate,vt. 根除，根绝；消灭
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
extinction,n. 灭绝；消失；消灭；废止
extinguish,vt. 熄灭；压制；偿清
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
establish,"vi. 植物定植
vt. 建立；创办；安置"
creation,n. 创造，创作；创作物，产物
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
erosion,n. 侵蚀，腐蚀
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
corrosion,n. 腐蚀；腐蚀产生的物质；衰败
errand,n. 使命；差事；差使
dividend,n. 红利；股息； 被除数；奖金
legend,n. 传奇；说明；图例；刻印文字
essence,n. 本质，实质；精华；香精
instinct,"n. 本能，直觉；天性
adj. 充满着的"
inborn,adj. 天生的；先天的
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
adore,"vt. 崇拜；爱慕；喜爱；极喜欢
vi. 崇拜；爱慕"
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
fidelity,n. 保真度；忠诚；精确；尽责
loyalty,n. 忠诚；忠心；忠实；忠于…感情
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
evacuate,"vt. 疏散，撤退；排泄
vi. 疏散；撤退；排泄"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
alleviate,vt. 减轻，缓和
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
saturate,"adj. 浸透的，饱和的；深颜色的
vt. 浸透，使湿透；使饱和，使充满"
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
emulate,"n. 仿真；仿效
vt. 仿真；模仿；尽力赶上；同…竞争"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
proximate,adj. 近似的；最近的
evenly,adv. 均匀地；平衡地；平坦地；平等地
correctly,adv. 正确地；得体地
largely,adv. 主要地；大部分；大量地
formerly,adv. 以前；原来
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
testimony,n.  证词，证言；证据
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
sinister,adj. 阴险的；凶兆的；灾难性的；左边的
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
evolution,n. 演变；进化论；进展
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
exemplify,vt. 例证；例示
paradigm,n. 范例；词形变化表
prototype,n. 原型；标准，模范
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
extraction,n. 取出；抽出；拔出；抽出物；出身
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
exclude,vt. 排除；排斥；拒绝接纳；逐出
exponent,"n.  指数；典型；说明者，说明物
n. 倡导者，鼓吹者，代表者，拥护者
adj. 说明的"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
experimentally,adv. 实验上；用实验方法；实验式地
experimentation,n. 实验；试验；实验法；实验过程
empirical,adj. 经验主义的，完全根据经验的；实证的
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
porter,n. 门房；服务员；行李搬运工；守门人
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
extraordinarily,adv. 非常；格外地；非凡地
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
intricate,adj. 复杂的；错综的，缠结的
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
perfection,n. 完善；完美
faculty,n. 科，系；能力；全体教员
dean,n. 院长；系主任；教务长；主持牧师
chancellor,n. 总理（德、奥等的）；（英）大臣；校长（美国某些大学的）；（英）大法官；（美）首席法官
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
semester,n. 学期；半年
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
cafeteria,n. 自助餐厅
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
illusion,n. 幻觉，错觉；错误的观念或信仰
envisage,vt. 正视，面对；想像
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
beckon,"vt. 召唤；吸引
vi. 吸引；（招手或点头）示意
n. 表召唤的点头；手势"
fascist,"n. 法西斯主义者；法西斯党员
adj. 法西斯主义的，法西斯党的"
gangster,n. 歹徒，流氓；恶棍
partisan,"n. 游击队；虔诚信徒；党羽
adj. 党派的；效忠的；偏袒的；盲目推崇的"
faction,n. 派别；内讧；小集团；纪实小说
layman,n. 外行；门外汉；俗人；一般信徒
ultra,"n. 极端主义者；过激论者；急进论者
adj. 极端的；过分的"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
viable,adj. 可行的；能养活的；能生育的
flexible,adj. 灵活的；柔韧的；易弯曲的
intelligible,adj. 可理解的；明了的；仅能用智力了解的
respectable,"n. 可敬的人
adj. 值得尊敬的；人格高尚的；相当数量的"
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
innumerable,adj. 无数的，数不清的
fellowship,n. 团体；友谊；奖学金；研究员职位
relationship,n. 关系；关联
hardship,n. 困苦；苦难；艰难险阻
scholarship,n. 奖学金；学识，学问
partnership,n. 合伙； 合伙企业；合作关系；合伙契约
fertile,adj. 富饶的，肥沃的；能生育的
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
abundant,adj. 丰富的；充裕的；盛产
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
finite,"n. 有限之物
adj. 有限的；限定的"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
infinitely,adv. 无限地；极其
infinity,n. 无穷；无限大；无限距
flap,"n. 拍打，拍打声；神经紧张； 襟翼
vt. 拍打；扔；拉下帽边；飘动
vi. 拍动；神经紧张；鼓翼而飞；（帽边等）垂下"
flutter,"n. 摆动；鼓翼；烦扰
vt. 拍；使焦急；使飘动
vi. 飘动；鼓翼；烦扰"
wag,"n. 摇摆；爱说笑打趣的人
vt. 摇摆；摇动；饶舌
vi. 摆动；喋喋不休；蹒跚而行"
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
foreign,adj. 外国的；外交的；异质的；不相关的
foreigner,n. 外地人，外国人
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
exotic,adj. 异国的；外来的；异国情调的
formulation,n. 构想，规划；公式化；简洁陈述
fluctuation,n. 起伏，波动
intervention,n. 介入；调停；妨碍
irritation,n. 刺激；激怒，恼怒，生气；兴奋；令人恼火的事
manifestation,n. 表现；显示；示威运动
obsession,n. 痴迷；困扰； 强迫观念
elevation,n. 高地；海拔；提高；崇高；正面图
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
fortify,"vt. 加强；增强；（酒）的酒精含量；设防于
vi. 筑防御工事"
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
fortuitous,adj. 偶然的，意外的；幸运的
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
unfortunate,adj. 不幸的；令人遗憾的；不成功的
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
dependant,n. 家眷；侍从；食客（等于dependent）
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
obscene,adj. 淫秽的；猥亵的；可憎的
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
coarse,adj. 粗糙的；粗俗的；下等的
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
shipment,n. 装货；装载的货物
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
container,n. 集装箱；容器
freshen,"vt. 使清新；使新鲜；使精神焕发
vi. 显得新鲜；减少咸味；精神饱满"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
freshener,洁净爽肤水
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
crouch,"n. 蹲伏
vt. 低头；屈膝
vi. 蹲伏，蜷伏；卑躬屈膝"
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
sprawl,"n. 蔓生；伸开手足躺卧姿势
vt. 懒散地伸开；使蔓生
vi. 蔓延；伸开手足躺；无计划地扩展"
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
yawn,"n. 哈欠；裂口
vt. 张开；打著哈欠说
vi. 打哈欠；裂开"
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
peep,"n. 偷看；隐约看见，瞥见
vi. 窥视；慢慢露出，出现；吱吱叫
vt. 使出现"
skim,"n. 撇；撇去的东西；表层物；瞒报所得的收入
adj. 脱脂的；撇去浮沫的；表层的
vt. 略读；撇去…的浮物；从…表面飞掠而过；去除；（为逃税而）隐瞒（部分收入）
vi. 浏览；掠过"
fruitful,adj. 富有成效的；多产的；果实结得多的
powerful,"adj. 强大的；强有力的
adv. 很；非常"
awful,adj. 可怕的；极坏的；使人敬畏的
dreadful,adj. 可怕的；糟透的，令人不快的
shameful,adj. 可耻的；不体面的；不道德的；猥亵的
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
violent,adj. 暴力的；猛烈的
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
fury,n. 狂怒；暴怒；激怒者
indignation,n. 愤慨；愤怒；义愤
wrath,n. 愤怒；激怒
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
workshop,n. 车间；研讨会；工场；讲习班
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
refinery,n. 精炼厂；提炼厂；冶炼厂
gathering,"n. 聚集；集会；收款
v. 聚集（gather的ing形式）"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
turnout,n. 产量；出席者；参加人数；出动；清除； 岔道
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
equip,vt. 装备，配备
rig,"n. 装备；钻探设备；服装； 帆装
vt. 操纵；装配；装扮；装上索具"
outfit,"n. 机构；用具；全套装备
vi. 得到装备
vt. 配备；供应"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
geology,n. 地质学；地质情况
geologic,adj. 地质的；地质学上的
geographical,adj. 地理的；地理学的
geometry,"n. 几何学
几何结构"
geometrical,adj. 几何的，几何学的
cubic,adj. 立方体的，立方的
oval,"adj. 椭圆的；卵形的
n. 椭圆形；卵形"
triangle,n. 三角（形）；三角关系；三角形之物；三人一组
triangular,adj. 三角的， 三角形的；三人间的
spherical,adj. 球形的，球面的；天体的
graphics,n.  制图学；制图法；图表算法
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
vaccinate,"vt. 给…注射疫苗
vi. 接种疫苗
n. 被接种牛痘者"
gigantic,adj. 巨大的，庞大的
massive,adj. 大量的；巨大的，厚重的；魁伟的
mountainous,adj. 多山的；巨大的；山一般的
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
jolly,"adj. 愉快的；欢乐的；宜人的
adv. 很；非常
vt. （口）用好话劝某人做…；（口）用好话使高兴
vi. （口）开玩笑"
flatter,vt. 奉承；谄媚；使高兴
gland,"n. 腺
密封压盖"
artery,n. 动脉；干道；主流
kidney,n.  肾脏；腰子；个性
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
skull,n. 头盖骨，脑壳
spine,n. 脊柱，脊椎；刺；书脊
thigh,n. 大腿，股
urine,n. 尿
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
metabolism,n.  新陈代谢
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
wink,"n. 眨眼；使眼色；闪烁；瞬间
vt. 眨眼
vi. 眨眼；使眼色；闪烁"
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
glossary,n. 术语（特殊用语）表；词汇表；专业词典
sanctuary,n. 避难所；至圣所；耶路撒冷的神殿
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
goodness,"n. 善良，优秀 ；精华，养分
int. 天哪"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
courageous,adj. 有胆量的，勇敢的
fearless,adj. 无畏的；大胆的
industrious,adj. 勤勉的
vigorous,adj. 有力的；精力充沛的
thrift,n. 节俭；节约； 海石竹
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
hypocrisy,n. 虚伪；伪善
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀"
