foods,n.  食品
long-term,"adj. 长期的
从长远来看"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
agreement,n. 协议；同意，一致
lawyer,n. 律师；法学家
law department, 法律系；法律部；纽约市法务局
law firm, 律师事务所；法律事务所；律师情人
legal,adj. 法律的；合法的；法定的；依照法律的
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
standard grade,
arrangement,n. 布置；整理；准备
regulations,n.  条例；规程（regulation的复数）；章则
strict,adj. 严格的；绝对的；精确的；详细的
smoking,"n. 抽烟；冒气
v. 吸烟；冒烟（smoke的现在分词）
adj. 准许吸烟的
adv. 冒着烟"
non-smoking,adj. 不抽烟的；禁止吸烟的
smoke alarms,"na. (防火用的)烟雾报警器
 烟雾警报器；防火器；火警"
cigar,n. 雪茄
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
neighbours,"n. 邻居；同胞；仁慈的人（neighbour的复数）
v. 邻近；亲近（neighbour的三单形式）"
landlady,n. 女房东；女地主；女店主
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
consumers,n.  消费者，消耗者；用户，顾客（consumer的复数）
consumption,n. 消费；消耗；肺痨
customers,n. 客户； 顾客（customer的复数）
client,n.  客户；顾客；委托人
shoppers,n. 购物者（shopper复数）
wallet,n. 钱包，皮夹
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
shops,"n.  商店；商店用包装纸（shop的复数）
v. 购物（shop的第三人称单数）"
local shops,
shopping,"n. 购物，买东西
v. 购物（shop的ing形式）"
shopping mall,"un. 商业区林荫路
 购物中心；大型购物中心；商场"
department store,"n. 百货公司；大百货商店
 百货商场；百货店；百货大楼"
booth,n. 货摊；公用电话亭
canteen,n. 食堂，小卖部；水壶
grocery,"n. 食品杂货店
食品杂货"
fast food shop,
supermarket,n. 超级市场；自助售货商店
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
bakery,n. 面包店
barber shop,"n. 理发店
 理发厅；理发室；理发馆"
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
salesman,n. 推销员；售货员
sales,"n. 销售（sale的复数）；销售额
adj. 销售的，售货的；有关销售的"
leaflet,n. 小叶；传单
delivery,n.  交付；分娩；递送
commerce,n. 贸易；商业；商务
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
evaluation,n. 评价； 评估；估价；求值
fees,n.  费用（fee的复数）；规费
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
cost-effective,adj. 划算的；成本效益好的（等于cost-efficient）
costly,adj. 昂贵的；代价高的
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
goods,n. 商品；动产；合意的人；真本领
products,n.  产品；商品（product的复数）
production,n. 成果；产品；生产；作品
bar code,"na. (商品上示价的)条纹码
 条码；条形码；商品条码"
labels,"n. 标签；分类（label的复数形式）
v. 贴标签于；把…称为（label的三单形式）"
sticker,"n. 尖刀；难题；张贴物；坚持不懈的人
vt. 给…贴上标签价
adj. 汽车价目标签的；汽车标签价的"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
savings,n. 储蓄；存款；救助；节省物（saving的复数形式）
special offers,"n. 特价；特别优惠
 优惠活动；特价商品；特价优惠"
cheap,"adj. 便宜的；小气的；不值钱的
adv. 便宜地"
expensive,adj. 昂贵的；花钱的
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
families,n. 家庭（family的复数）；家族
family photo, 全家福；家庭照片；全家福照片
family ticket,
family relationship, 家庭关系；亲情关系；家庭亲属关系的称呼
family members, 家庭成员；家庭成员数目；家人
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
marriage,n. 结婚；婚姻生活；密切结合，合并
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
pairs,"n. 夫妇；一副（pair的复数）
v. 合作（pair的第三人称单数）；使…成对；为…配搭档"
babies,n. 婴儿（baby的复数）
birth,n. 出生；血统，出身；起源
relationships,n. 人际关系；生物间的关系；情侣关系（relationship的复数）
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
connected,"v. 连接（connect的过去式）
adj.  连接的；有联系的；连贯的"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
generation,n. 一代；产生；一代人；生殖
brother-in-law,n. 姐夫；妹夫；内弟；内兄；小叔；大伯；堂兄弟；表兄弟
mother,"n. 母亲；大娘；女修道院院长
vt. 生下；养育；像母亲般关怀或照管
adj. 母亲的；出生地的"
uncle,n. 叔叔；伯父；伯伯；舅父；姨丈；姑父
parent,n. 父亲（或母亲）；父母亲；根源
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
grandfather,"n. 祖父；始祖
vt. 不受新规定限制"
grandmother,"n. 祖母；女祖先
vt. 当…的祖母
vi. 当祖母"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
boys,n. 男孩子们；小伙子们（boy的复数）
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
women,n. 女人（woman的复数）
children,n. 孩子们（child的复数）
children mind,
friend,n. 朋友；助手；赞助者
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
friendship,n. 友谊；友爱；友善
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
society,n. 社会；交往；社团；社交界
sociable,"n. 联谊会
adj. 社交的；好交际的；友善的"
social event, 社会活动；社交活动；社交文化活动
social interactions,
social worker,"n. 社会工作者
 社工；社会福利工作者；社会工作员"
social skills,"n. 软技能
 社交技巧；社交技能；社会技能"
social information,
social activities, 社会活动；社交活动；社会生活
socialize,"vt. 使社会化；使社会主义化；使适应社会生活
vi. 交际；参与社交"
people,"n. 人；人类；民族；公民
vt. 居住于；使住满人"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
person,n. 人；身体；容貌，外表；人称
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
personnel officer, 人事主任；人事管理员；人事军官
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
wealthy people,"富裕的人
有钱的人"
rich,"adj. 富有的；肥沃的；昂贵的
adj. 油腻的，含有很多脂肪"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
poverty,n. 贫困；困难；缺少；低劣
identity,n. 身份；同一性，一致；特性；恒等式
heroes,n. 英雄（hero的复数形式）
celebrities,n. 名人（celebrity的复数）；名誉
privacy,n. 隐私；秘密；隐居；隐居处
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
private property,"na. 私有财产
 私人财产；私有制；私人物业"
juniors,n. 青少年（junior的复数）
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
young,"n. 年轻人；（动物的）崽，仔
adj. 年轻的；初期的；没有经验的"
young people,"na. 年轻人；(特指已到结婚年龄的)小伙子
 青年人；青少年；指上述年龄的人"
young children, 幼儿；幼童；儿童
young teenagers,
young graduates,
youth,n. 青年；青春；年轻；青少年时期
maturity,n. 成熟；到期；完备
adults,n. 成年人（adult的复数形式）
oldest,adj. 最老的（old的最高级）；最旧的
old people, 老人；老年人；旧人
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
peers,"n. 平辈，同事（peer的复数）
v. 凝视；比得上（peer的三单形式）"
peer group,"n. 同龄群体；社会地位相同的群体
 同侪团体；对等体组；对等组"
color,"n. 颜色；肤色；颜料；脸色
vt. 粉饰；给...涂颜色；歪曲
vi. 变色；获得颜色"
colours,"n. 颜色；特色；旗帜；外表（colour的复数）
v. 影响（colour的单三形式）；给…着色"
coloured,"n. 混血人；有色人种的人
adj. 有色的；着色的
vt. 给…着色（colour的过去式和过去分词）"
colour photos,
dark,"n. 黑暗；夜；黄昏；模糊
adj. 黑暗的，深色的；模糊的；无知的；忧郁的"
dark blue,"na. 深蓝色
 暗蓝；藏青；暗警"
dark and light,"n.光线的明暗,浓淡"
darkroom,n. 暗房； 暗室
blue,"adj. 蓝色的；沮丧的，忧郁的；下流的
n. 蓝色；（美国海、陆、空三军穿的）蓝色制服；蓝颜料；布鲁斯（歌曲）（一种伤感的美国黑人民歌
vi. 变成蓝色，呈蓝色
vt. 把…染成蓝色；使成蓝色；给…用上蓝剂；用上蓝剂于"
yellow,"n. 黄色；黄种人；黄色颜料
adj. 黄色的；黄皮肤的
vt. 使变黄或发黄
vi. 变黄或发黄"
grey,"n. 灰色
adj. 灰色的；灰白的
vt. 使变成灰色；使变老
vi. 变成灰色；老化"
purple,"n. 紫色；紫袍
adj. 紫色的；帝王的；华而不实的
vt. 使成紫色
vi. 变成紫色"
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的"
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
silver cloth, 银光呢；银布；镀银清洁布
silver coins, 银币；银币修改方法；银币雨
metallic grey,银灰色
white,"n. 白色；洁白；白种人
adj. 白色的；白种的；纯洁的"
white board, 白板；白纸板；白板纸
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
hazel,"n. 淡褐色；榛子
adj. 淡褐色的；榛树的"
appearance,n. 外貌，外观；出现，露面
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
prevalent,adj. 流行的；普遍的，广传的
trends,n. 动态， 趋势
traditional style, 传统风格；传统样式；传统式培训
traditional,adj. 传统的；惯例的
cosmetics,"n.  化妆品（cosmetic的复数）；装饰品
v. 用化妆品打扮（cosmetic的三单形式）"
cream,n. 奶油，乳脂；精华；面霜；乳酪
perfumes,"n. 香水（perfume的复数）； 香料
v. 使充满香气；撒香水于（perfume的三单形式）"
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
clothes,n. 衣服
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
clothing sections,
formal clothing,
outfits,"n. 全套装备；一套服装（outfit的复数）
v. 装备；获得装备（outfit的单数第三人称）"
dress code,"n. （工作时的）着装规定
 着装要求；服装规定；服装标准"
fancy dress,"n. 化装服；化装舞会服
 聚会时所穿的奇装异服；化装服装；化妆服"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
bags,"n.  包（bag的复数形式）
v. 把…装入袋中（bag的第三人称单数形式）"
shoes,"n. 鞋子（shoe的复数）
v. 穿鞋（shoe的第三人称单数）"
washable shoes,
boots,n. 靴子（boot的复数）；（英）擦靴的仆役
socks,n. 袜子（sock的复数）
gloves,"n.  手套（glove的复数）
v. 给…戴手套（glove的三单形式）"
hat,"n. 帽子
vt. 给……戴上帽子
vi. 供应帽子；制造帽子"
party hats,(警车、急救车等的)车顶灯
helmet,n. 钢盔，头盔
pockets,"n. 口袋（pocket的复数）
v. 装口袋（pocket的第三人称单数形式）"
shirt,n. 衬衫；汗衫，内衣
sweaters,n. 毛衣（sweater的复数形式）
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
trousers,n. 裤子，长裤
jeans,n. 牛仔裤；工装裤
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
string,n. 线，弦，细绳；一串，一行
ropes,n. 绳索（rope的复数）；围绳
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
stretching,"n. 伸长；展宽
v. 拉伸（stretch的ing形式）"
financial,adj. 金融的；财政的，财务的
finance market,金融市场
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
bank statement,"n. 银行结单（某时期内存户存取款项的清单）
 银行对账单；银行对帐单；银行存款证明"
bank transfer,"un. 银行间转帐；银行转帐
 银行转账；银行汇款；对于银行转账"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
bookkeeping,n. 记帐，簿记
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accountants,会计人员
accountable,adj. 有责任的；有解释义务的；可解释的
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
cashier,"n. 出纳员；司库；收银员
vt. 解雇；抛弃"
cash machine,"n. 自动取款机
 自动提款机；自动柜员机；印钞机"
money,n. 钱；货币；财富
money lender,"un. 放债人
 钱庄；放款人；放贷人"
coins,n. 硬币（coin的复数）
pounds,"n. 磅，英镑；重击（pound复数形式）
v. 猛击（pound的第三人称单数）"
cheque,n. 支票
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
credit card,"n. 信用卡
 贷记卡；申请信用卡；意思是信用卡"
credit check, 信用检查；信用核查；信用审查
loans,n.  贷款（loan的复数形式）；借贷
cooperation loan,
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
economy,n. 经济；节约；理财
economics,n. 经济学；国家的经济状况
economic depression,"un. 经济萧条；经济贬值
 经济衰退；就会用经济萧条；经济大恐慌"
economics history,
economical,adj. 经济的；节约的；合算的
insurance,n. 保险；保险费；保险契约；赔偿金
insurance company,"na. 保险公司
 保险企业；投保公司；对方保险公司名"
house insurance, 房屋保险；找房屋保险公司；住宅保险
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
life assurance,n.  人寿保险；（保险公司付给的） 人寿保险金；（被保险人缴纳的） 人寿保险费
investment,n. 投资；投入；封锁
reinvest,"vt. 再投资于；再授给
vi. 再投资"
funding,"n. 提供资金；用发行长期债券的方法来收回短期债券
v. 提供资金；积存（fund的ing形式）"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
working,"n. 工作；活动；制作；操纵
v. 工作；影响；受雇用（work的ing形式）
adj. 工作的；操作的；可行的"
workforce,n. 劳动力；工人总数，职工总数
workplace,n. 工作场所；车间
workshop,n. 车间；研讨会；工场；讲习班
workload,n. 工作量
worksheet,n. (学生的)活页练习题
practical work, 实际工作；社会实践；实习作业
worker,n. 工人；劳动者；职蚁
former worker,
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
comer,n. 来者，来的人；有成功希望的人
employee,n. 雇员；从业员工
employer,n. 雇主，老板
unemployed,adj. 失业的；未被利用的
jobs,n. 工作（job的复数形式）
full time,"adj. 全部时间的
n. （体育运动的）全场比赛结束时间
 全职；全日制；专职"
part time,"adv. 花部分时间；兼任地；兼职地
adj. 非全日工作的
n. 业余时间
 全职；兼职的；非全日制"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
interview questions, 面试问题；访谈问题；面试题
phone interviews,
job interviews, 求职面试；工作面试；参加面试
interview skills,
job application, 职位申请；求职；工作申请
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
invitations,n. 邀请函；邀约（invitation的复数）
placement,n. 布置；定位球；人员配置
placement test,"n. 分级考试
 测试；分班考试；安置考试"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
retire,"n. 退休；退隐；退兵信号
vi. 退休；撤退；退却
vt. 退休；离开；收回"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
earning,"n. 收入；所赚的钱
v. 赚得( earn的现在分词 )；挣钱；生（利）；获（利）"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
wages,"n.  工资；报酬（wage的复数形式）
v. 开展（运动等）（wage的第三人称单数形式）"
income,n. 收入，收益；所得
low income,"un. 低收入
 低收入国家；低收入户；低收入比"
bonus,n. 奖金；红利；额外津贴
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
bonus,n. 奖金；红利；额外津贴
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
compensation,n. 补偿；报酬；赔偿金
sick pay,"n. 病假工资
 病假津贴；病假付款；给薪病假"
office,n. 办公室；政府机关；官职；营业处
career office,职业介绍所
large office,
future career,
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的"
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
retrain,"vt. 重新教育；再教育
vi. 再训练；再教育"
further training, 进修；深造；深造进修
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
cities,n. 城市（city的复数）
city centre, 市中心；城市中心；城中心
urban,adj. 城市的；住在都市的
urban areas, 城市地区；城镇；城镇地区
regional,adj. 地区的；局部的；整个地区的
area,n. 区域，地区；面积；范围
smaller areas,
district,n. 区域；地方；行政区
territory,n. 领土，领域；范围；地域；版图
population,n. 人口； 种群， 群体；全体居民
residents,n. 居民；住院医生（resident的复数）；房客
citizen,n. 公民；市民；老百姓
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
large scale,"adj. 大规模的；大面积的；巨型的；(地图等的)大比例的
 大尺度；大型；大尺度问题"
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
central,"n. 电话总机
adj. 中心的；主要的；中枢的"
central location,"un. 中央位置；中央单元
 中心位置；中心定点；中心趋势"
town,n. 城镇，市镇；市内商业区
town hall,"n. 镇公所；市政厅；（英国）市镇集会所
 城镇大厅；市政大厅；市政府"
landmarks,n. 地标， 陆标；标志（landmark复数形式）
public,"n. 公众；社会；公共场所
adj. 公众的；政府的；公用的；公立的"
public square, 广场；公共广场；公众广场
public areas,公共区
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
common room,"n. （学校、学院等的）公共休息室
 教员休息室；师生公用的休息室；交谊厅"
builder,n. 建筑者；建立者
building,"n. 建筑；建筑物
v. 建筑；建立；增加（build的ing形式）"
planner,n. 计划者，规划师
construction,n. 建设；建筑物；解释；造句
castles,"城堡，堡垒（castle的名词复数）
置于城堡中
(棋)移动王车易位
巨大建筑物（城堡,船楼）,卡斯图尔
国际象棋车"
churches,"n. 教会，教堂（church复数形式）
v. 到教堂接受宗教仪式（church的第三人称单数形式）"
palace,n. 宫殿；宅邸；豪华住宅
tower,"n. 塔；高楼；堡垒
vi. 高耸；超越"
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
blocks,"n.  街区；积木；楼群（block的复数）；黑金石；双头木鱼
v. 阻碍；封锁；使成块（block的三单形式）"
square,"n. 平方；广场；正方形
adj. 平方的；正方形的；直角的；正直的
vt. 使成方形；与…一致
vi. 一致；成方形
adv. 成直角地"
infrastructures,n.  基础设施；下部构造；基本建设（infrastructure的复数）
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
road,"n. 公路，马路；道路；手段
adj. （美）巡回的
vt. （狗）沿臭迹追逐（猎物）"
road map,"n. （尤指为开车者设计的）公路交通图；指南
 路线图；中东和平路线图；路标图"
smooth road,
smoother,n.  路面平整机；弄平的人； 修光工具；滤波器
streets,n.  街道；市区；城市道路（street的复数形式）
bridges,"n.  桥梁；纽带（bridge的复数）
vt. 架桥于；把…弥合起来（bridge的第三人称单数）"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
dams,abbr. 海洋建筑的设计与分析；防御性反导弹系统（Defense Against Missiles Systems）
harbours,"n. 海港，港口( harbour的名词复数 )
v. 庇护( harbour的第三人称单数 ); 怀着; 包含; 藏有"
port,"n. 港口，口岸；（计算机的）端口；左舷；舱门
vt. 持（枪）；左转舵
vi. 转向左舷"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
non-native,"adj. 非本地；非原生
n. 外乡人"
none,"pron. 没有人；一个也没有；没有任何东西
adj. 没有的，一点没有的
adv. 决不，一点也不"
community,n. 社区； 群落；共同体；团体
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
local community,"un. 地方团体
 地方社区；当地社区；地方性社区"
location,n. 位置（形容词locational）；地点；外景拍摄场地
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
garden tools, 园林工具；园艺工具；花园工具
gardening,n. 园艺；园林工人的工作
parks,n. 公园( park的名词复数 ); 停车场
government,n. 政府；政体；管辖
government election,
government policy, 政府政策；政策支持；政府的政策
government agencies, 政府机构；政府机关；国家机关
authority,n. 权威；权力；当局
supervision,n. 监督，管理
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
permission,n. 允许，许可
tax,"n. 税金；重负
vt. 向…课税；使负重担"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
immigration,n. 外来移民；移居
policy,n. 政策，方针；保险单
politics,n. 政治，政治学；政治活动；政纲
politician,n. 政治家，政客
vote right,
democratic,adj. 民主的；民主政治的；大众的
president,n. 总统；董事长；校长；主席
army,n. 陆军，军队
soldiers,n.  士兵；战士数量（soldier的复数）
rangers,n. 流浪者；特种战线（ranger的复数）
weapons,"n. 武器（weapon的复数）；武装切换；斗争工具
v. 武装（weapon的第三人称单数）"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
gun,"n. 枪支；枪状物；持枪歹徒
vt. 向…开枪；开大油门
vi. 用枪射击；加大油门快速前进"
alarms,"n.  警报； 警报器；闹钟（alarm的复数形式）
v. 警告；使恐慌（alarm的第三人称单数）"
alarming system,
personal alarm,
police,"n. 警察，警方；治安
adj. 警察的；有关警察的
vt. 监督；管辖；维持治安；为…配备警察"
police helicopters,
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
prisoners,n. 被囚者，囚犯（prisoner的复数）
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
safety,n. 安全；保险；安全设备；保险装置；安打
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
safety regulations,"un. 安全规程；安全操作规程；安全技术规程；安全规则
 安全法规；安全规章；安全守则"
safety check,"na. 安全检查
 安全检测；安检；检查安全带"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
security officer, 安全人员；保安员；保安主任
guards,"n. 守卫；后卫（guard的复数形式）；护卫队；禁卫军
v. 守卫；看守（guard的第三人称单数）"
films,"n.  电影；薄膜； 胶片（film的复数）
v. 拍摄（film的第三人称单数）；以薄膜覆盖"
filmed,"v. 拍摄（复以薄膜）
adj. 电影录音的"
microfilm,"vt. 缩微拍摄
vi. 缩微拍摄
n. 缩微胶卷"
comedy,n. 喜剧；喜剧性；有趣的事情
cartoons,"n. 卡通动画；动漫图书（cartoon的复数）
v. 画漫画（cartoon的三单形式）"
comics,n. 漫画；连环画；喜剧演员（comic的复数形式）
joke,"n. 玩笑，笑话；笑柄
vt. 开…的玩笑
vi. 开玩笑"
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
director,n. 主任，主管；导演；人事助理
actors,n. 演员，男演员；电影演员（actor的复数形式）
movie,"n. 电影；电影院；电影业
adj. 电影的"
theater,n. 电影院，戏院，剧场；戏剧；手术室
cinemas,n. 电影院（cinema的复数）
audience,n. 观众；听众；读者；接见；正式会见；拜会
music,n. 音乐，乐曲
write music,
music festival, 音乐节；音乐节介绍；音乐夏令营之随写二
music concert, 音乐会；演唱会；儿童音乐会
music video, 音乐录影带；音乐录像带；音乐影片
live music,"n. 现场音乐
 现场音乐表演；乐器故事；实况音乐"
background music,"un. 本底谐音；背景时乐；背景音乐
 配乐；背景乐；陪衬音乐"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
opera,n. 歌剧；歌剧院；歌剧团
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
concert room,演奏室
concert hall,"na. 音乐堂
 音乐厅；演奏厅；音乐大厅"
singer,n. 歌手，歌唱家
singing,"n. 歌唱；歌声；耳鸣；振鸣
v. 唱歌（sing的ing形式）
adj. 唱歌的；音乐般的"
songs,n. 歌曲，歌集（song的复数）
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
composers,n. 作曲家；作曲者（composer的复数形式）
composing,"n. 组成； 排字
v. 组成；写作（compose的ing形式）
adj. 起镇静作用的"
tape,"n. 胶带；磁带；带子；卷尺
vt. 录音；用带子捆扎；用胶布把…封住
vi. 用磁带录音"
recorders,n. 录音机( recorder的名词复数 ); 记录员; （英国）刑事法院的临时法官; 竖笛
tape recorder,"n. 录音机
 磁带录音机；磁带记录器；磁带机"
recordings,n. 记录( recording的名词复数 ); 录音; 录像; 唱片
