approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
theatrical,adj. 戏剧性的；剧场的，戏剧的；夸张的；做作的
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
nun,n. 修女，尼姑
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
dinosaur,n. 恐龙；过时、落伍的人或事物
expel,vt. 驱逐；开除
submarine,"n. 潜水艇；海底生物
adj. 海底的；水下的
vt. 用潜水艇攻击
vi. 在下疾行；在下滑动"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
gravel,"n. 碎石；砂砾
vt. 用碎石铺；使船搁浅在沙滩上；使困惑"
mimic,"vt. 模仿，摹拟
n. 效颦者，模仿者；仿制品；小丑
adj. 模仿的，模拟的；假装的"
thriller,n. 惊险小说；使人毛骨悚然的东西；使人毛骨悚然的小说
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
spacious,adj. 宽敞的，广阔的；无边无际的
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
dismantle,"vt. 拆除；取消；解散；除掉…的覆盖物
vi. 可拆卸"
enlighten,vt. 启发，启蒙；教导，开导；照耀
cramp,"n. 痉挛，绞痛； 铁夹钳
adj. 狭窄的；难解的；受限制的
vt. 束缚，限制；使…抽筋；以铁箍扣紧"
fume,"n. 烟；愤怒，烦恼
vt. 熏；冒烟；愤怒地说
vi. 冒烟；发怒"
potent,adj. 有效的；强有力的，有权势的；有说服力的
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
archaeologist,n. 考古学家
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
trademark,"n. 商标
标志"
moisture,n. 水分；湿度；潮湿；降雨量
fertile,adj. 富饶的，肥沃的；能生育的
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
congestion,n. 拥挤；拥塞；淤血
odor,n. 气味；名声
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
prevalent,adj. 流行的；普遍的，广传的
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
humiliate,vt. 羞辱；使…丢脸；耻辱
advent,n. 到来；出现；基督降临；基督降临节
bustle,"n. 喧闹；活跃；裙撑；热闹的活动
vt. 使忙碌；催促
vi. 喧闹；忙乱；充满"
intimacy,n. 性行为；亲密；亲昵行为；隐私
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
categorize,vt. 分类
recur,vi. 复发；重现；采用；再来；循环；递归
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
comprehend,vt. 理解；包含；由…组成
prosperous,adj. 繁荣的；兴旺的
resemblance,n. 相似；相似之处；相似物；肖像
alienate,vt. 使疏远，离间；让与
autobiography,n. 自传；自传文学
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
equate,"vt. 使相等；视为平等
vi. 等同"
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
clan,n. 宗族；部落；集团
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
solidarity,n. 团结，团结一致
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
extinction,n. 灭绝；消失；消灭；废止
roam,"n. 漫步，漫游；流浪
vt. 在…漫步，漫游；在…流浪
vi. 漫游，漫步；流浪"
apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
envision,vt. 想象；预想
shortcoming,n. 缺点；短处
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
vibrant,adj. 振动的；充满生气的；响亮的；战栗的
inclination,n. 倾向，爱好；斜坡
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
backdrop,n. 背景；背景幕；交流声
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
carbohydrate,n.  碳水化合物； 糖类
hazardous,adj. 有危险的；冒险的；碰运气的
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
frenzy,"n. 狂暴；狂怒；暴怒
vt. 使发狂；使狂怒"
superiority,n. 优越，优势；优越性
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
decease,"n. 死亡
vi. 死，死亡"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
vicinity,n. 邻近，附近；近处
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
granite,n. 花岗岩；坚毅；冷酷无情
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
contamination,n. 污染，玷污；污染物
trickle,"n. 滴，淌；细流
vt. 使…滴；使…淌；使…细细地流
vi. 滴；细细地流；慢慢地移动"
inclusive,adj. 包括的，包含的
cache,"n. 电脑高速缓冲存储器；贮存物；隐藏处
vt. 隐藏；窖藏
vi. 躲藏"
chaotic,adj. 混沌的；混乱的，无秩序的
anatomy,n. 解剖；解剖学；剖析；骨骼
surpass,vt. 超越；胜过，优于；非…所能办到或理解
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
intrinsic,adj. 本质的，固有的
famine,n. 饥荒；饥饿，奇缺
propel,vt. 推进；驱使；激励；驱策
communal,adj. 公共的；公社的
anomaly,n. 异常；不规则；反常事物
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
slender,adj. 细长的；苗条的；微薄的
adjoin,"vt. 毗连，邻接
vi. 毗连，邻接"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
recreational,adj. 娱乐的，消遣的；休养的
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
diffuse,"vt. 扩散；传播；漫射
adj. 弥漫的；散开的
vi. 传播；四散"
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
perennial,"n. 多年生植物
adj. 多年生的；常年的；四季不断的；常在的；反复的"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
flake,"n. 小薄片；火花
vt. 使…成薄片；将…剥落
vi. 剥落；成片状剥落"
geometric,adj. 几何学的； 几何学图形的
credential,n. 证书；凭据；国书
occupant,n. 居住者；占有者
certification,n. 证明，保证；检定
deception,n. 欺骗，欺诈；骗术
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
crater,"n. 火山口；弹坑
vt. 在…上形成坑；取消；毁坏
vi. 形成坑；消亡"
greed,n. 贪婪，贪心
deterioration,n. 恶化；退化；堕落
mitigate,"vt. 使缓和，使减轻
vi. 减轻，缓和下来"
comet,n.  彗星
catalyst,n.  催化剂；刺激因素
compass,"n. 指南针，罗盘；圆规
vt. 包围"
gigantic,adj. 巨大的，庞大的
attic,n. 阁楼；顶楼；鼓室上的隐窝
ruthless,adj. 无情的，残忍的
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
brood,"n. 一窝；一伙
vt. 孵；沉思"
bleach,"n. 漂白剂
vt. 使漂白，使变白
vi. 变白，漂白"
eradicate,vt. 根除，根绝；消灭
lava,n. 火山岩浆；火山所喷出的熔岩
coarse,adj. 粗糙的；粗俗的；下等的
pinpoint,"n. 针尖；精确位置；极小之物
vt. 查明；精确地找到；准确描述
adj. 精确的；详尽的"
imprint,"n. 印记；痕迹；特征；版本说明
vt. 加特征；刻上记号"
conquest,n. 征服，战胜；战利品
glacier,n. 冰河，冰川
gland,"n. 腺
密封压盖"
dwindle,"vi. 减少；变小
vt. 使缩小，使减少"
excavate,"vt. 挖掘；开凿
vi. 发掘；细查"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
sprout,"n. 芽；萌芽；苗芽
vt. 使发芽；使萌芽
vi. 发芽；长芽"
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
recede,"vi. 后退；减弱
vt. 撤回"
canyon,n. 峡谷
immerse,vt. 沉浸；使陷入
discredit,"n. 怀疑；无信用；名声的败坏
vt. 不信；使……丢脸"
unravel,"vt. 解开；阐明；解决；拆散
vi. 解决；散开"
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
impetus,n. 动力；促进；冲力
heed,"n. 注意到；留心到
vt. 注意，留心
vi. 注意，留心"
ubiquitous,adj. 普遍存在的；无所不在的
attest,"vt. 证明；证实；为…作证
vi. 证明；作证"
allude,vi. 暗指，转弯抹角地说到；略为提及，顺便提到
entice,vt. 诱使；怂恿
renewable,"n. 再生性能源
adj. 可再生的；可更新的；可继续的"
authoritative,adj. 有权威的；命令式的；当局的
flop,"n. 失败；砰然落下；拍击声
vi. 失败；扑拍；扑通落下；笨重地摔
vt. 笨拙地抛下；扑通放下；拍（翅）
adv. 扑通一声；恰巧"
touchdown,n. 着陆，降落；触地；触地得分
hasten,"vt. 加速；使赶紧；催促
vi. 赶快；急忙"
resonate,"vt. 共鸣；共振
vi. 共鸣；共振"
improvise,"vt. 即兴创作；即兴表演；临时做；临时提供
vi. 即兴创作；即兴表演；临时凑合"
paramount,"n. 最高统治者
adj. 最重要的，主要的；至高无上的"
myriad,"adj. 无数的；种种的
n. 无数，极大数量；无数的人或物"
latitude,n. 纬度；界限；活动范围
ridicule,"n. 嘲笑；笑柄；愚弄
vt. 嘲笑；嘲弄；愚弄"
feminism,n. 女权主义；女权运动；男女平等主义
perimeter,n. 周长；周界； 视野计
courageous,adj. 有胆量的，勇敢的
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
clog,"n. 障碍；木底鞋
v. 阻塞；障碍"
fortify,"vt. 加强；增强；（酒）的酒精含量；设防于
vi. 筑防御工事"
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
analogous,adj. 类似的； 同功的；可比拟的
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
visionary,"n. 空想家；梦想者；有眼力的人
adj. 梦想的；幻影的"
plumb,"n. 垂直；铅锤
adj. 垂直的
vt. 使垂直；探测，探索
adv. 恰恰，正；垂直地
vi. 当管子工"
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
cosmic,adj. 宇宙的（等于cosmical）
wane,"n. 衰退；月亏；衰退期；缺损
vi. 衰落；变小；亏缺；退潮；消逝"
repress,"vt. 抑制；镇压（叛乱等）；约束
vi. 抑制；镇压"
endow,vt. 赋予；捐赠；天生具有
incompetent,"n. 无能力者
adj. 无能力的，不胜任的；不合适的；不适当的；无力的"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
encyclopedia,n. 百科全书（亦是encyclopaedia）
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
pessimistic,adj. 悲观的，厌世的；悲观主义的
outspoken,adj. 坦率的，直言不讳的
petal,n. 花瓣
bland,"adj. 乏味的；温和的；冷漠的
vt. 使…变得淡而无味；除掉…的特性
vi. 变得平淡无奇；丧失特性"
toxin,n. 毒素；毒质
impoverish,vt. 使贫穷；使枯竭
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀"
thaw,"n. 解冻；融雪
vt. 使融解；使变得不拘束
vi. 融解；变暖和"
explanatory,adj. 解释的；说明的
pivotal,"n. 关键事物；中心事物
adj. 关键的；中枢的；枢轴的"
sterile,adj. 不育的；无菌的；贫瘠的；不毛的；枯燥乏味的
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
tidal,adj. 潮汐的；潮的，有关潮水的；定时涨落的
deplete,vt. 耗尽，用尽；使衰竭，使空虚
culprit,n. 犯人，罪犯；被控犯罪的人
vigor,n.  活力，精力
constellation,n.  星座；星群；荟萃；兴奋丛
neutralize,"vt. 抵销；使…中和；使…无效；使…中立
vi. 中和；中立化；变无效"
deduce,vt. 推论，推断；演绎出
negligible,adj. 微不足道的，可以忽略的
burrow,"n. （兔、狐等的）洞穴，地道；藏身处，住处
vt. 挖掘，挖出；在…挖洞（或通道）；使躲入洞穴
vi. 探索，寻找；挖地洞，挖通道；住入地洞，躲藏起来；钻进某处；偎依著"
sparse,adj. 稀疏的；稀少的
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
recourse,n. 求援，求助； 追索权；依赖；救生索
disarm,"vt. 解除武装；裁军；缓和
vi. 放下武器；裁减军备"
dissolution,n. 分解，溶解；（议会等的）解散；（契约等的）解除；死亡
cosmopolitan,"n. 四海为家者；世界主义者；世界各地都有的东西
adj. 世界性的；世界主义的，四海一家的"
engender,"vt. 使产生；造成
vi. 产生；引起"
formative,"n. 构词要素
adj. 形成的；造型的；格式化的"
primate,"n. 大主教；灵长类的动物；首领
adj. 灵长目动物的；首要的"
rectangular,adj. 矩形的；成直角的
furnace,n. 火炉，熔炉
hallmark,"n. 特点；品质证明
vt. 给…盖上品质证明印记；使具有…标志"
devour,v. 吞食；毁灭
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
prolific,adj. 多产的；丰富的
carnival,n. 狂欢节，嘉年华会；饮宴狂欢
enrichment,n. 丰富；改进；肥沃；发财致富
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
retard,"n. 延迟；阻止
vt. 延迟；阻止；妨碍；使减速
vi. 减慢；受到阻滞"
asteroid,"n.  小行星； 海盘车；小游星
adj. 星状的"
feasibility,n. 可行性；可能性
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
paraphrase,"n. 释义；解释；意译
vt. 释义"
conformity,n. 一致，适合；符合；相似
chronological,adj. 按年代顺序排列的；依时间前后排列而记载的
seep,"n. 小泉；水陆两用的吉普车
vi. 漏；渗出"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
requisite,"n. 必需品
adj. 必备的，必不可少的；需要的"
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
engulf,vt. 吞没；吞食，狼吞虎咽
dignify,vt. 使高贵；增威严；授以荣誉
shroud,"n. 寿衣；覆盖物；船的横桅索； 护罩
vt. 覆盖；包以尸衣"
intruder,n. 侵入者；干扰者；妨碍者
camouflage,"n. 伪装，掩饰
vt. 伪装，掩饰
vi. 伪装起来"
intersect,"vt. 横断，横切；贯穿
vi. 相交，交叉"
barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
shun,vt. 避开，避免；回避
colonize,"vt. 将…开拓为殖民地；移于殖民地；从他地非法把选民移入
vi. 开拓殖民地；移居于殖民地"
refute,vt. 反驳，驳斥；驳倒
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
mania,n. 狂热；狂躁；热衷
integer,n.  整数；整体；完整的事物
nourish,vt. 滋养；怀有；使健壮
fauna,n. 动物群； 动物区系
shady,adj. 成荫的；阴暗的；名声不好的
synchronize,"vt. 使……合拍；使……同步
vi. 同步；同时发生"
aquatic,"n. 水上运动；水生植物或动物
adj. 水生的；水栖的；在水中或水面进行的"
hardy,"n. 强壮的人；耐寒植物；方柄凿
adj. 坚强的；勇敢的；能吃苦耐劳的；鲁莽的"
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
grandeur,n. 壮丽；庄严；宏伟
improbable,adj. 不大可能的，未必确实的；不可信的；未必会发生的
reptile,"n. 爬行动物；卑鄙的人
adj. 爬虫类的；卑鄙的"
emblem,"n. 象征；徽章；符号
vt. 象征；用符号表示；用纹章装饰"
chronology,n. 年表；年代学
candid,adj. 公正的；坦白的；率直的；偷拍的
pristine,adj. 原始的，古时的；纯朴的
alight,"adj. 烧着的；点亮着的
vi. 下来；飞落"
meticulous,adj. 一丝不苟的；小心翼翼的；拘泥小节的
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
tranquil,adj. 安静的，平静的；安宁的；稳定的
fidelity,n. 保真度；忠诚；精确；尽责
fabricate,vt. 制造；伪造；装配
increment,n.  增量；增加；增额；盈余
deficient,adj. 不足的；有缺陷的；不充分的
smother,"n. 窒息状态；令人窒息的浓烟
vt. 使窒息；抑制；（用灰等）闷熄；忍住
vi. 窒息；被抑制；闷死"
perplex,vt. 使困惑，使为难；使复杂化
terrestrial,"n. 陆地生物；地球上的人
adj. 地球的；陆地的， 陆生的；人间的"
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
sporadic,adj. 零星的；分散的；不定时发生的
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
leftover,"n. 残留物；吃剩的饭菜；剩余物
adj. 残余的；吃剩的"
intertwine,"vt. 缠绕；纠缠
vi. 纠缠；编结"
brittle,adj. 易碎的，脆弱的；易生气的
delineate,vt. 描绘；描写；画…的轮廓
eject,vt. 喷射；驱逐，逐出
scribe,"n. 抄写员；作家；划线器
vt. 写下，记下；用划线器划
vi. 写下，记下；担任抄写员"
abdomen,n. 腹部；下腹；腹腔
temperate,adj. 温和的；适度的；有节制的
starch,"n. 淀粉；刻板，生硬
vt. 给…上浆"
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
repel,vt. 击退；抵制；使厌恶；使不愉快
edible,"n. 食品；食物
adj. 可食用的"
ancestry,n. 祖先；血统
beak,n.  鸟嘴；鹰钩鼻子；地方执法官；男教师
immortal,"n. 神仙；不朽人物
adj. 不朽的；神仙的；长生的"
colossal,adj. 巨大的；异常的，非常的
deviate,"vi. 脱离；越轨
vt. 使偏离"
celestial,"n. 神仙，天堂里的居民
adj. 天上的，天空的"
allusion,n. 暗示；提及
decipher,"n. 密电译文
vt. 解释（过去式deciphered，过去分词deciphered，现在分词deciphering，第三人称单数deciphers，名词decipherer，形容词decipherable）；译解"
exemplary,adj. 典范的；惩戒性的；可仿效的
divisive,adj. 分裂的；区分的；造成不和的
heterogeneous,adj.  多相的；异种的； 不均匀的；由不同成分形成的
glossary,n. 术语（特殊用语）表；词汇表；专业词典
intermittent,adj. 间歇的；断断续续的；间歇性
desolate,"adj. 荒凉的；无人烟的
vt. 使荒凉；使孤寂"
crystallize,"vt. 使结晶；明确；使具体化；做成蜜饯
vi. 结晶，形成结晶；明确；具体化"
recital,n. 朗诵，吟诵；独奏会；背诵；独唱会
decompose,"vi. 分解；腐烂
vt. 分解；使腐烂"
avalanche,"n. 雪崩
vt. 雪崩
vi. 崩塌"
feudal,adj. 封建制度的；领地的；世仇的
impulsive,adj. 冲动的；受感情驱使的；任性的
heyday,"n. 全盛期
int. 嘿！（表喜悦或惊奇等）"
helium,n.  氦（符号为He，2号元素）
insightful,adj. 有深刻见解的，富有洞察力的
carbonate,"n. 碳酸盐
vt. 使充满二氧化碳；使变成碳酸盐"
downplay,vt. 不予重视；将...轻描淡写
neurological,adj. 神经病学的，神经学上的
nibble,"vi. 细咬；一点一点地咬；吹毛求疵
vt. 细咬；一点一点地咬；吹毛求疵
n. 轻咬；啃；细咬"
ferment,"vt. 使发酵；酝酿；使动乱
vi. 发酵；动乱
n. 发酵；酵素；动乱"
clam,"n. 蛤；沉默寡言的人；钳子
vi. 捞蛤；保持沉默，闭嘴不言"
luminous,adj. 发光的；明亮的；清楚的
proverb,n. 谚语，格言；众所周知的人或事
amphibian,"n.  两栖动物；水陆两用飞机；具有双重性格的人
adj. 两栖类的； 水陆两用的；具有双重性格的"
cello,n. 大提琴
unforeseen,adj. 未预见到的，无法预料的
atlas,n. 地图集；寰椎
percussion,n.  叩诊；振动；碰撞；敲打乐器；打击乐器组
pictorial,"n. 画报；画刊
adj. 绘画的；形象化的"
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
decimal,"n. 小数
adj. 小数的；十进位的"
tyrant,n. 暴君
rudimentary,adj. 基本的；初步的；退化的；残遗的；未发展的
flashy,adj. 闪光的；瞬间的；俗丽的；暴躁的
drench,"n. 滂沱大雨；浸液
vt. 使湿透；给（牲畜）灌药"
exertion,n. 发挥；运用；努力
arduous,adj. 努力的；费力的；险峻的
mystify,vt. 使神秘化；使迷惑，使困惑
aria,n. 咏叹调，独唱曲
exhale,"vt. 呼气；发出；发散；使蒸发
vi. 呼气；发出；发散"
hind,"n. 雌鹿
adj. 后部的"
gist,n. 主旨，要点；依据
fragrant,adj. 芳香的；愉快的
perpendicular,"n. 垂线；垂直的位置
adj. 垂直的，正交的；直立的；陡峭的"
coerce,vt. 强制，迫使
surmise,"n. 推测；猜度
vt. 猜测；推测
vi. 猜测；认为"
reassess,vt. 再评价；再课税；再摊派
entangle,vt. 使纠缠；卷入；使混乱
mutate,"vi. 变化，产生突变
vt. 改变，使突变"
inconclusive,adj. 不确定的；非决定性的；无结果的
encroach,vi. 蚕食，侵占
grandiose,adj. 宏伟的；堂皇的；浮夸的；宏大的
aromatic,"n. 芳香植物；芳香剂
adj. 芳香的，芬芳的；芳香族的"
embellish,"vt. 修饰；装饰；润色
vi. 装饰起来；加以润色"
durability,n. 耐久性；坚固；耐用年限
germinate,"vt. 使发芽；使生长
vi. 发芽；生长"
diligent,adj. 勤勉的；用功的，费尽心血的
painstaking,"adj. 艰苦的；勤勉的；小心的
n. 辛苦；勤勉"
orbital,adj. 轨道的；眼窝的
idealist,"n. 空想家，理想主义者；唯心主义者
adj. 理想主义的；唯心主义的"
unbiased,adj. 公正的；无偏见的
dramatize,"vt. 使戏剧化；编写剧本；改编成戏剧
vi. 戏剧化"
agility,n. 敏捷；灵活；机敏
binder,n.  粘合剂；活页夹；装订工；捆缚者；用以绑缚之物
foresight,n. 先见，远见；预见；深谋远虑
forerunner,n. 先驱；先驱者；预兆
enigma,n. 谜，不可思议的东西
enliven,vt. 使活泼；使生动；使有生气，使活跃
ecologist,n. 生态学者
resourceful,adj. 资源丰富的；足智多谋的；机智的
fragility,n. 脆弱； 易碎性；虚弱
adrift,"adj. 漂泊的；漂浮着的
adv. 随波逐流地；漂浮着"
constrict,vt. 压缩；束紧
bemoan,"vt. 惋惜；为…恸哭
vi. 叹息"
virtuoso,"n. 艺术品鉴赏家；古董收藏家；艺术大师
adj. 行家里手的；艺术爱好者的"
reciprocate,"vt. 报答；互换；互给
vi. 往复运动；互换；酬答；互给"
frigid,adj. 寒冷的，严寒的；冷淡的
inferiority,n. 自卑；下属；次等；下部
nourishment,n. 食物；营养品；滋养品
undisputed,adj. 无可争辩的；无异议的；毫无疑问的
vertebra,n.  椎骨； 脊椎
photosynthesis,n. 光合作用
blemish,"n. 瑕疵；污点；缺点
vt. 玷污；损害；弄脏"
inquisitive,adj. 好奇的；好问的，爱打听的
nomad,"n. 游牧民；流浪者
adj. 游牧的；流浪的"
conflate,vt. 合并；异文合并
overuse,"n. 过度使用
vt. 把…使用过度"
asymmetrical,adj.  非对称的（等于asymmetric）；不均匀的；不匀称的
cosmology,n.  宇宙论， 宇宙学
elliptical,adj. 椭圆的；省略的
interracial,adj. 人种间的；人种混合的
finality,n. 定局；终结；结尾；最后的事物；最后的言行
geothermal,adj.  地热的； 地温的
rapidity,n. 迅速，急速；速度；险峻
zenith,"n. 顶峰；顶点；最高点
n. 真力时（瑞士名表）"
interstellar,adj.  星际的
inadvertent,adj. 疏忽的；不注意的（副词inadvertently）；无意中做的
argumentative,adj. 好辩的；辩论的；争辩的
inhospitable,adj. 荒凉的；冷淡的，不好客的；不适居留的
heredity,n. 遗传，遗传性
outgrowth,n. 结果；副产物；自然的发展；分枝
marshland,n. 沼泽地，沼泽地区
permeable,adj. 能透过的；有渗透性的
upend,vt. 倒放，颠倒；竖立
deface,vt. 损伤外观，丑化
pollinate,vt. 对...授粉
traceable,adj. 起源于；可追踪的；可描绘的
symbiosis,n.  共生；合作关系；共栖
airtight,adj. 密闭的，密封的；无懈可击的
oversimplification,n. 过度单纯化；过分简单化
vaporize,"vt. 使…蒸发
vi. 蒸发"
reducible,adj.  可约的，可化简的；可还原的；可缩小的
deprecate,vt. 反对；抨击；轻视；声明不赞成
diffidence,n. 无自信；羞怯；内向
soundproof,"adj. 隔音的
vt. 使隔音；给装以隔音设备"
discoloration,n. 变色；污点
conductive,adj. 传导的；传导性的；有传导力的
accomplished,adj. 完成的；熟练的，有技巧的；有修养的；有学问的
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
amusing,"adj. 有趣的，好玩的；引人发笑的
v. 逗乐；打发；使…高兴（amuse的ing形式）"
Antarctica,n. 南极洲
arid,adj. 干旱的；不毛的， 荒芜的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
biased,adj. 有偏见的；结果偏倚的，有偏的
by-product,n. 副产品；附带产生的结果；意外收获
coating,"n. 涂层；包衣；衣料
v. 给…穿上外衣；盖上（coat的ing形式）"
complicated,adj. 难懂的，复杂的
compressed,adj. 被压缩的；扁平的
degradation,n. 退化；降格，降级；堕落
deprive of,"un. 剥夺
 剥夺某人的；使失去；使丧失"
deserted,"v. 遗弃（desert的过去式和过去分词）
adj. 荒芜的；被遗弃的"
devastate,vt. 毁灭；毁坏
devoted,"v. 献身于…；致力于…（devote的过去分词）
adj. 献身的；忠诚的"
enduring,"adj. 持久的；能忍受的
v. 忍耐（endure的ing形式）"
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
