consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
categorize,vt. 分类
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
thief,n. 小偷，贼
region,n. 地区；范围；部位
silent,"n. 无声电影
adj. 沉默的；寂静的；无记载的"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
output,"n. 输出，输出量；产量；出产
vt. 输出"
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
beast,n. 野兽；畜生，人面兽心的人
history,n. 历史，历史学；历史记录；来历
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
zebra,"n.  斑马
adj. 有斑纹的"
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
skill,n. 技能，技巧；本领，技术
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
resemble,vt. 类似，像
milestone,n. 里程碑，划时代的事件
umbrella,n. 雨伞；保护伞；庇护；伞形结构
fulfil,vt. 履行；完成；实践；满足
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
specify,vt. 指定；详细说明；列举；把…列入说明书
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
romance,"n. 传奇；浪漫史；风流韵事；冒险故事
vi. 虚构；渲染；写传奇"
audience,n. 观众；听众；读者；接见；正式会见；拜会
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
precious,adj. 宝贵的；珍贵的；矫揉造作的
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
passion,n. 激情；热情；酷爱；盛怒
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
depress,vt. 压抑；使沮丧；使萧条
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
symbol,n. 象征；符号；标志
volcano,n. 火山
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
naked,adj. 裸体的；无装饰的；无证据的；直率的
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
spider,n. 蜘蛛；设圈套者；三脚架
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
diary,n. 日志，日记；日记簿
capacity,n. 能力；容量；资格，地位；生产力
harmony,n. 协调；和睦；融洽；调和
theory,n. 理论；原理；学说；推测
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
punish,"vt. 惩罚；严厉对待；贪婪地吃喝
vi. 惩罚"
pollute,vt. 污染；玷污；败坏
tax,"n. 税金；重负
vt. 向…课税；使负重担"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
proclaim,vt. 宣告，公布；声明；表明；赞扬
introvert,"n. 内向的人；内翻的东西
vi. 成为内弯；成为性格内向的人
vt. 使内向；使内倾；使内弯"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
adequate,adj. 充足的；适当的；胜任的
phenomenon,n. 现象；奇迹；杰出的人才
phenomena,n. 现象（phenomenon 的复数 ）
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
add up,"na. 合计；符合预期的数目
 加起来；相加；把……加起来"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
ignore,vt. 驳回诉讼；忽视；不理睬
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
calm down,"na. 平静下来
 镇定下来；冷静；冷静下来"
calm ... down,
have got to,"v. 必须
 不得不；非得；必须做"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
be concerned with,"na. 干与；关怀
 关心；与…有关；参与"
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
go through,"na. 认真检查；仔细地搜；(提案或法案)通过；被批准
 经历；经受；仔细检查"
set down,"na. 记入；登记；定；设
 记下；放下；写下"
series,n. 系列，连续； 串联；级数；丛书
a series of,"na. 一系列；许多
 一连串；一连串的；一系列的"
outdoors,"adv. 在户外
n. 户外
adj. 户外的（等于outdoor）"
on purpose,"na. 故意；意欲
 故意地；有意；故意的"
in order to,"na. 为了；从而；以便
 目的；为了……起见；以求"
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
at dusk,"na. 在黄昏时刻
 傍晚；黄昏时分；薄暮"
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
entire,adj. 全部的，整个的；全体的
entirely,adv. 完全地，彻底地
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
face to face,"na. 面对面
 面对面地；结构长度；面对面的"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
dusty,adj. 落满灰尘的
no longer,"na. 不再
 已不；再也；再也不"
not ... any longer,
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
suffer from, 患（某种病），受（某种病痛）折磨; 因…而受罚; 闹; 罹
loneliness,n. 寂寞，孤独
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
get tired of ...,
be tired of ...,
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
pack up,"na. 把…打成包；打包；捆好东西；解雇
 收拾；收拾行李；把…打包"
pack sth. up,
suitcase,n.  手提箱；衣箱
overcoat,n. 大衣，外套
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
get along with,"na. (工作)进行
 与……相处；相处融洽；与…友好相处"
fall in love,"v. 坠入情网
 坠入爱河；相爱；爱上"
exactly,adv. 恰好地；正是；精确地；正确地
disagree,vi. 不同意；不一致；争执；不适宜
grateful,adj. 感谢的；令人愉快的，宜人的
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
join in,"na. 参加；参与
 加入；加盟；参加某种活动"
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
secondly,adv. 其次；第二
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
subway,"n. 地铁；地道
vi. 乘地铁"
elevator,n. 电梯；升降机；升降舵；起卸机
petrol,n. （英）汽油
gasoline,n. 汽油
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
because of,"na. 因
 因为；由于；由于，因为"
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
come up,"na. 走近；上升；抬头；(暴风雨等)起
 上来；出现；发生"
apartment,n. 公寓；房间
actually,adv. 实际上；事实上
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
at present,"na. 目前
 现在；当今；眼下"
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
gradually,adv. 逐步地；渐渐地
enrich,vt. 使充实；使肥沃；使富足
vocabulary,n. 词汇；词表；词汇量
make use of,"na. 使用
 利用；利用某事物；利用好时间"
spelling,"n. 拼写；拼字；拼法
v. 拼写；意味着（spell的ing形式）；迷住"
latter,adj. 后者的；近来的；后面的；较后的
identity,n. 身份；同一性，一致；特性；恒等式
fluent,adj. 流畅的，流利的；液态的；畅流的
fluently,adv. 流利地；通畅地
such as,"un. 例如；像；象…这样；诸如…之类
 比如；像这种的；像……那样的"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
frequently,adv. 频繁地，经常地；时常，屡次
usage,n. 使用；用法；惯例
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
request,"n. 请求；需要
vt. 要求，请求"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
eastern,"n. 东方人；（美国）东部地区的人
adj. 东方的；朝东的；东洋的"
southeastern,adj. 东南方的；朝东南的
northwestern,adj. 来自西北的；西北方的；在西北部的
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
lorry,n. （英）卡车； 货车；运料车
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
accent,"n. 口音；重音；强调；特点；重音符号
vt. 强调；重读；带…口音讲话"
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
cab,"n. 驾驶室；出租汽车；出租马车
vi. 乘出租马车（或汽车）"
journal,n. 日报，杂志；日记；分类账
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
disadvantage,n. 缺点；不利条件；损失
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
route,"n. 路线；航线；通道
vt. 按某路线发送"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
ever since,"na. 从…以来
 从那时起；自从；此后一直"
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
finally,adv. 最后；终于；决定性地
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
fond,adj. 喜欢的；温柔的；宠爱的
be fond of,"v. 爱好
 喜欢；喜爱；喜好"
stubborn,adj. 顽固的；顽强的；难处理的
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
care about,"v. 在意
 关心；在乎；担心"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
in detail,"na. 详细
 详细地；详细的；详尽"
source,n. 来源；水源；原始资料
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
determined,"v. 决定；断定（determine的过去分词）
adj. 决定了的；坚决的"
change one's mind,"na. 改变想法
 改变主意；变卦；改变心意"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
make up one's mind,"na. 决心 (to do)
 下决心；下定决心；决定"
give in,"na. 让步；屈服；投降；上交
 交上；认输；放弃"
glacier,n. 冰河，冰川
rapids,n.  急流；湍流
valley,n. 山谷；流域；溪谷
waterfall,n. 瀑布；瀑布似的东西
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
bend,"n. 弯曲
vt. 使弯曲；使屈服；使致力；使朝向
vi. 弯曲，转弯；屈服；倾向；专心于"
attitude,n. 态度；看法；意见；姿势
boil,"n. 沸腾，煮沸；疖子
vt. 煮沸，烧开；使…激动；使…蒸发
vi. 煮沸，沸腾；激动，激昂"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
as usual,"adv. 照常；照例
 像往常一样；像平常一样；和往常一样"
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
pillow,"n. 枕头
vt. 垫；枕于…；使…靠在
vi. 枕着头；靠在枕上"
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
at midnight, 在午夜；在半夜；午夜时
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
beneath,"prep. 在…之下
adv. 在下方"
temple,n. 庙宇；寺院；神殿；太阳穴
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
earthquake,n. 地震；大动荡
quake,"vi. 震动；颤抖
n. 地震；颤抖"
right away,"na. 立刻
 马上；立即；立即，马上"
well,"n. 井；源泉
adj. 良好的；健康的；适宜的
adv. 很好地；充分地；满意地；适当地
v. 涌出"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
smelly,adj. 有臭味的，发臭的
farmyard,n. 农家庭院；农场；农家
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
at an end,"adv. 完毕；结束
 终结；结束了；在尽头"
nation,n. 国家；民族；国民
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
dirt,n. 污垢，泥土；灰尘，尘土；下流话
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
in ruins, 成为废墟；一片废墟；成废墟
suffering,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的"
injure,vt. 伤害，损害
survivor,n. 幸存者；生还者；残存物
destroy,vt. 破坏；消灭；毁坏
brick,"n. 砖，砖块；砖形物；心肠好的人
adj. 用砖做的；似砖的
vt. 用砖砌"
dam,"n.  水坝；障碍
v. 控制；筑坝"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
useless,adj. 无用的；无效的
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
electricity,n. 电力；电流；强烈的紧张情绪
disaster,n. 灾难，灾祸；不幸
dig out,"na. 挖出；查出(事实)；慌慌忙忙走开
 掘出；挖掉；挖掘"
bury,vt. 埋葬；隐藏
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
miner,n. 矿工；开矿机
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
a number of,"na. 若干；=numbers of 许多的
 一些；大量的；很多"
a great number of,"det. 极多；许多
 大量的；许多的；可数名词复数"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
reporter,n. 记者
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
frightening,adj. 令人恐惧的；引起突然惊恐的
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
sincerely,adv. 真诚地；由衷地，诚恳地
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
cyclist,n. 骑自行车的人
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
warm-hearted,adj. 热心的（等于warmhearted）；热诚的
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
easy-going,adj. 随和的，容易相处的
self,"n. 自己，自我；本质；私心
adj. 同一的
vt. 使自花授精；使近亲繁殖
vi. 自花授精"
selfish,adj. 自私的；利己主义的
selfless,adj. 无私的；不考虑自己的
selflessly,adv. 无私地；忘我地
devote,vt. 致力于；奉献
devoted,"v. 献身于…；致力于…（devote的过去分词）
adj. 献身的；忠诚的"
invader,n. 侵略者；侵入物
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
republic,n. 共和国；共和政体
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
nationalism,n. 民族主义；国家主义；民族特性
livelihood,n. 生计，生活；营生
peaceful,adj. 和平的，爱好和平的；平静的
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
mankind,n. 人类；男性
lawyer,n. 律师；法学家
guidance,n. 指导，引导；领导
legal,adj. 法律的；合法的；法定的；依照法律的
fee,"n. 费用；酬金；小费
vt. 付费给……"
out of work,"na. 失业；(机器等)有毛病
 失业了；失业的；没有工作"
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
youth,n. 青年；青春；年轻；青少年时期
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
violence,n. 暴力；侵犯；激烈；歪曲
as a matter of fact,"na. 事实上；事实是
 实际上；其实；实际情况"
blow up,"v. 炸掉；爆炸；充气；放大
 炸毁；发脾气；爆发"
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
in trouble,"na. 为难；被捕；未婚怀孕
 有麻烦；处于困境中；遇到麻烦"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
unfair,adj. 不公平的，不公正的
turn to,"v. 向(某人)求助；求助于
 转向；变成；翻到"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
lose heart,"na. 沮丧
 失去信心；灰心；丧失勇气"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
educate,"vt. 教育；培养；训练
vi. 教育；训练"
educated,"v. 训练；教导；培育（educate的过去分词形式）
adj. 受过教育的；有教养的"
come to power, 上台；掌权；执政
beg,"vi. 乞讨；请求
vt. 乞讨；恳求；回避正题"
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
cruelty,n. 残酷；残忍；残酷的行为
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
set up,"na. 建立；创立；发起；开办
 设立；设置；成立"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
be sentenced to, 被判处；被宣判为；徒刑
anti-,pref. 表示“反对，抵抗”之义
antiwar,adj. 反对战争的
president,n. 总统；董事长；校长；主席
opinion,n. 意见；主张
cultural,adj. 文化的；教养的
relic,n. 遗迹，遗物；废墟；纪念物
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
vase,n. 瓶；花瓶
dynasty,n. 王朝，朝代
ivory,"n. 象牙；乳白色；长牙
adj. 乳白色的；象牙制的"
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
amber,"n. 琥珀；琥珀色
adj. 琥珀色的；琥珀制的
vt. 使呈琥珀色"
in search of,"na. 寻找；去找；追求；为了寻求
 为了寻找；搜索；查究"
amaze,vt. 使吃惊
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
jewel,"n. 宝石；珠宝
vt. 镶以宝石；饰以珠宝"
artist,n. 艺术家；美术家（尤指画家）；大师
belong,vi. 属于，应归入；居住；适宜；应被放置
belong to,"v. 属于；附属
 归于；归属；属於"
in return,"na. 作报复；作替换
 作为回报；作为报答；作为交换"
reception,n. 接待；接收；招待会；感受；反应
at war,"na. 在战争中
 处于交战状态；在交战；处于战争状态"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
less than,"adj. 少于
 不到；小于；低于"
wooden,adj. 木制的；僵硬的，呆板的
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
worth,"n. 价值；财产
adj. 值…的"
rebuild,"vt. 重建；改造，重新组装；复原
vi. 重建"
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
take apart,"na. 分解；拆分；剖析
 拆开；拆卸；卸开"
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
eyewitness,n. 目击者；见证人
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
entrance,"n. 入口；进入
vt. 使出神，使入迷"
sailor,n. 水手，海员；乘船者
sink,"n. 水槽；洗涤槽；污水坑
vi. 下沉；消沉；渗透
vt. 使下沉；挖掘；使低落"
think highly of,"na. 尊重；评价极高
 看重；器重；高度评价"
informal,adj. 非正式的；不拘礼节的；随便的；通俗的；日常使用的
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
compete,vi. 竞争；比赛；对抗
competitor,n. 竞争者，对手
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
medal,n. 勋章，奖章；纪念章
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
magical,adj. 魔术的；有魔力的
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
homeland,n. 祖国；故乡
