abdicate,"vt. 退位；放弃
vi. 退位；放弃"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
despise,vt. 轻视，鄙视
detach,vt. 分离；派遣；使超然
detached,"v. 分离
adj. 分离的，分开的；超然的"
detection,n. 侦查，探测；发觉，发现；察觉
deter,vt. 制止，阻止；使打消念头
deteriorate,"vi. 恶化，变坏
vt. 恶化"
deterioration,n. 恶化；退化；堕落
determination,n. 决心；果断；测定
determinism,n.  决定论
detrimental,"n. 有害的人（或物）；不受欢迎的求婚者
adj. 不利的；有害的"
devastate,vt. 毁灭；毁坏
deviate,"vi. 脱离；越轨
vt. 使偏离"
deviation,n. 偏差；误差；背离
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
devoid,adj. 缺乏的；全无的
dexterity,n. 灵巧；敏捷；机敏
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
diagnostic,"n. 诊断法；诊断结论
adj. 诊断的；特征的"
diagonal,"n. 对角线；斜线
adj. 斜的；对角线的；斜纹的"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
diameter,n. 直径
diaper,"n. 尿布
vt. 给孩子换尿布"
dichotomy,n. 二分法；两分；分裂；双歧分枝
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
diesel,"n. 柴油机；柴油；（俚）健康的身体
adj. 内燃机传动的；供内燃机用的
n. 迪赛（意大利时装品牌）"
dietary,"n. 规定的食物；饮食的规定；食谱
adj. 饮食的，饭食的，规定食物的"
differentiate,"vt. 区分，区别
vi. 区分，区别"
differentiation,n. 变异， 分化；区别
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
digit,n. 数字；手指或足趾；一指宽
digitize,vt.  数字化
dilemma,n. 困境；进退两难；两刀论法
dilute,"vt. 稀释；冲淡；削弱
adj. 稀释的；淡的
vi. 变稀薄；变淡"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
diminution,n. 减少，降低；缩小
dinosaur,n. 恐龙；过时、落伍的人或事物
dioxide,n. 二氧化物
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
diplomatic,adj. 外交的；外交上的；老练的
dire,adj. 可怕的；悲惨的；极端的
disability,n. 残疾；无能；无资格；不利条件
disaster,n. 灾难，灾祸；不幸
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
disciple,n. 门徒，信徒；弟子
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
disclosure,n.  披露；揭发；被揭发出来的事情
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
discrepancy,n. 不符；矛盾；相差
discrete,"n. 分立元件；独立部件
adj. 离散的，不连续的"
discretion,n. 自由裁量权；谨慎；判断力；判定；考虑周到
discretionary,adj. 任意的；自由决定的
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
disdainful,adj. 轻蔑的；倨傲的；鄙视的
disenchanted,"adj. 不再着迷的；不再抱幻想的；感到幻灭的
v. 使不再着迷（disenchant的过去分词）"
disenfranchise,vt. 剥夺…的公民权（等于disfranchise）
disinclined,"adj. 不想的，不愿的
v. 使讨厌（disincline的过去分词）"
disintegration,n. 瓦解，崩溃；分解
dislocation,n. 转位；混乱； 脱臼
dislodge,"vt. 逐出，驱逐；使……移动；用力移动
vi. 驱逐，逐出；离开原位"
dismal,"n. 低落的情绪
adj. 凄凉的，忧郁的；阴沉的，沉闷的"
dismantle,"vt. 拆除；取消；解散；除掉…的覆盖物
vi. 可拆卸"
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
disorient,vt. 使…迷惑；使…失去方向感
disparaging,"v. 蔑视（disparage的ing形式）
adj. 毁谤的；轻蔑的"
disparate,"n. 无法相比的东西
adj. 不同的；不相干的；全异的"
dispel,vt. 驱散，驱逐；消除（烦恼等）
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
displace,vt. 取代；置换；转移；把…免职；排水
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
disproportionate,"adj. 不成比例的
不成比例地"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
dissent,"n. 异议；（大写）不信奉国教
vi. 不同意；不信奉国教"
dissimilar,adj. 不同的
dissipate,"vi. 驱散；放荡
vt. 浪费；使…消散"
dissociate,"vt. 游离；使分离；分裂
vi. 游离；分离；分裂"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
distinct,adj. 明显的；独特的；清楚的；有区别的
distinctive,adj. 有特色的，与众不同的
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
distribute,vt. 分配；散布；分开；把…分类
distribution,n. 分布；分配
distributor,n. 经销商；批发商； 分配器；分配者；散布者； 配电盘
district,n. 区域；地方；行政区
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
diverge,"vt. 使偏离；使分叉
vi. 分歧；偏离；分叉；离题"
diverse,adj. 不同的；多种多样的；变化多的
diversification,n. 多样化；变化
diversify,vt. 使多样化，使变化；增加产品种类以扩大
diversion,n. 转移；消遣；分散注意力
divest,vt. 剥夺；使脱去，迫使放弃
dividend,n. 红利；股息； 被除数；奖金
divisible,adj. 可分的；可分割的
division,n.  除法；部门；分配；分割；师（军队）；赛区
divisive,adj. 分裂的；区分的；造成不和的
divulge,vt. 泄露；暴露
doctorate,n. 博士学位；博士头衔
doctrine,n. 主义；学说；教义；信条
documentation,"n. 文件, 证明文件, 史实, 文件编制"
dogma,n. 教条，教理；武断的意见
domain,n. 领域；域名；产业；地产
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
domesticate,"vt. 驯养；教化；引进
vi. 驯养；使习惯于或喜爱家务和家庭生活"
domestication,n. 驯养；教化
domesticity,n. 家庭生活；专心于家务；对家庭的挚爱
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
dosage,n. 剂量，用量
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
dough,n. 生面团；金钱
downplay,vt. 不予重视；将...轻描淡写
downstream,"adj. 下游的；顺流的
adv. 下游地；顺流而下"
drab,"n. 浅褐色；无生气；邋遢；小额
adj. 单调的；土褐色的
vt. 使无生气
vi. 嫖妓"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
drainage,n. 排水；排水系统；污水；排水面积
dramatize,"vt. 使戏剧化；编写剧本；改编成戏剧
vi. 戏剧化"
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
drilling,"n. 钻孔；训练，教练；演练
v. 钻孔；训练（drill的ing形式）"
drizzle,"n. 细雨，毛毛雨
vt. 下毛毛雨
vi. 下毛毛雨"
droplet,n. 小滴，微滴
dropout,n. 中途退学；辍学学生
drought,n. 干旱；缺乏
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
ductile,adj. 柔软的；易教导的；易延展的
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
dumpster,n. 大型垃圾装卸卡车；垃圾大铁桶
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
duplication,n. 复制；副本；成倍
durability,n. 耐久性；坚固；耐用年限
duration,"n. 持续，持续的时间，期间
音长，音延"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
dwindle,"vi. 减少；变小
vt. 使缩小，使减少"
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
echolocation,n. 回波定位；回声测距；回声定位能力（鲸和蝙蝠等所具备得一种机能）
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
ecology,n. 生态学；社会生态学
economy,n. 经济；节约；理财
ecosystem,n. 生态系统
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
edible,"n. 食品；食物
adj. 可食用的"
editorial,"n. 社论
adj. 编辑的；社论的"
educator,n. 教育家；教育工作者；教师
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
efficacy,n. 功效，效力
efficiency,n. 效率；效能；功效
efficient,adj. 有效率的；有能力的；生效的
effigy,n. 雕像，肖像
effluent,"n. 污水；流出物；废气
adj. 流出的，发出的"
egalitarianism,n. 平等主义， 平均主义
egoistic,adj. 自私自利的，自我中心的
eject,vt. 喷射；驱逐，逐出
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
elective,"adj. 选修的；选举的；选任的
n. 选修课程"
electorate,n. 选民；选区
electricity,n. 电力；电流；强烈的紧张情绪
electro,"n. 电镀物品
vt. 电镀"
electromagnetic,adj. 电磁的
electron,n. 电子
element,n. 元素；要素；原理；成分；自然环境
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
elevation,n. 高地；海拔；提高；崇高；正面图
elicit,vt. 抽出，引出；引起
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
eliminate,vt. 消除；排除
elite,n. 精英；精华；中坚分子
elliptical,adj. 椭圆的；省略的
elongate,"adj. 伸长的；延长的
vi. 拉长；延长；伸长
vt. 拉长；使延长；使伸长"
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
elude,vt. 逃避，躲避
emancipation,n. 解放；释放
embalm,vt. 铭记于心；使不朽；防腐；使充满香气
embargo,"vt. 禁止出入港口；禁止或限制贸易；征用或扣押
n. 禁令；禁止；封港令"
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
embarrass,vt. 使局促不安；使困窘；阻碍
embarrassed,"v. 使...困窘；使...局促不安（embarrass的过去分词形式）
adj. 尴尬的；窘迫的"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
embellish,"vt. 修饰；装饰；润色
vi. 装饰起来；加以润色"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
embryonic,adj.  胚胎的；似胚胎的
emerge,vi. 浮现；摆脱；暴露
emergence,n. 出现，浮现；发生；露头
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
emigrate,"vi. 移居；移居外国
vt. 移民"
eminent,adj. 杰出的；有名的；明显的
emission,n. （光、热等的）发射，散发；喷射；发行
emit,vt. 发出，放射；发行；发表
emphasis,n. 重点；强调；加强语气
emphasize,vt. 强调，着重
empirical,adj. 经验主义的，完全根据经验的；实证的
emulate,"n. 仿真；仿效
vt. 仿真；模仿；尽力赶上；同…竞争"
enact,vt. 颁布；制定法律；扮演；发生
enamel,"n. 搪瓷；珐琅；瓷釉；指甲油
vt. 彩饰；涂以瓷釉"
encephalitis,n.  脑炎
enclose,vt. 围绕；装入；放入封套
encode,vt. （将文字材料）译成密码；编码，编制成计算机语言
encompass,vt. 包含；包围，环绕；完成
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
encroach,vi. 蚕食，侵占
encyclopedia,n. 百科全书（亦是encyclopaedia）
endanger,vt. 危及；使遭到危险
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
endemic,"n. 地方病
adj. 地方性的；风土的"
endorphin,n. 脑内啡
endorse,vt. 背书；认可；签署；赞同；在背面签名
endothermic,adj.  吸热的；温血的
enforce,vt. 实施，执行；强迫，强制
enfranchisement,n. 解放，释放
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
engender,"vt. 使产生；造成
vi. 产生；引起"
engulf,vt. 吞没；吞食，狼吞虎咽
enhance,vt. 提高；加强；增加
enhanced,"v. 提高；加强（enhance的过去分词）
adj. 加强的；增大的"
enlightened,"v. 启迪（enlighten的过去式）
adj. 开明的；文明的；进步的；被启发的"
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
enrich,vt. 使充实；使肥沃；使富足
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
ensemble,"n. 全体；总效果；全套服装；全套家具；合奏组
adv. 同时"
enshrine,vt. 铭记，珍藏；把…置于神龛内；把…奉为神圣
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
enterprise,n. 企业；事业；进取心；事业心
entertainment,n. 娱乐；消遣；款待
enthusiastically,adv. 热心地；满腔热情地
entice,vt. 诱使；怂恿
entitle,vt. 称做…；定名为…；给…称号；使…有权利
entity,n. 实体；存在；本质
entrant,n. 进入者；新会员；参加竞赛者；新工作者
entrapment,n. 诱捕；圈套；截留
entrepreneur,n. 企业家；承包人；主办者
entrepreneurship,n. 企业家精神
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
enumerate,vt. 列举；枚举；计算
envelop,"n. 信封；包裹
vt. 包围；包封；遮盖"
envelope,n. 信封，封皮；包膜； 包层；包迹
envision,vt. 想象；预想
enzyme,n.  酶
epic,"n. 史诗；叙事诗；史诗般的作品
adj. 史诗的，叙事诗的"
epicenter,n. 震中；中心
epidemic,"n. 传染病；流行病；风尚等的流行
adj. 流行的；传染性的"
episode,n. 插曲；一段情节；插话；有趣的事件
episodic,"adj. 插曲式的
adj. 偶然发生的"
epochal,adj. 划时代的；新纪元的
equalize,"vt. 补偿；使相等
vi. 成为相等；打成平局"
equilibrium,n. 均衡；平静；保持平衡的能力
equip,vt. 装备，配备
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
era,n. 时代；年代；纪元
eradicate,vt. 根除，根绝；消灭
eradication,n. 消灭，扑灭；根除
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
ergonomic,adj. 人类环境改造学的；人类工程学的
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
errand,n. 使命；差事；差使
erratic,"n. 漂泊无定的人；古怪的人
adj. 不稳定的；古怪的"
eruption,n. 爆发，喷发；火山灰；出疹
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
eschew,vt. 避免；避开；远避
essence,n. 本质，实质；精华；香精
estate,n. 房地产；财产；身份
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
et al,abbr. 以及其他人，等人
etched,"adj. 被侵蚀的；风化的
v.  蚀刻（etch的过去分词）"
eternal,adj. 永恒的；不朽的
ethanol,n.  乙醇， 酒精
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
ethnic,adj. 种族的；人种的
ethnographic,adj. 人种志的；民族志学的
ethnomusicology,n. 人种音乐学
euphoria,n. 精神欢快， 欣快；兴高采烈；欣快症；幸福愉快感
eusocial,adj. （昆虫）完全社会性的，完全群居的
evacuation,n. 疏散；撤离；排泄
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
eventual,adj. 最后的，结果的；可能的；终于的
evident,adj. 明显的；明白的
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
exacerbate,vt. 使加剧；使恶化；激怒
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
excavate,"vt. 挖掘；开凿
vi. 发掘；细查"
excavation,n. 挖掘，发掘
exceedingly,adv. 非常；极其；极度地；极端
exceptional,"n. 超常的学生
adj. 异常的，例外的"
excerpt,"n. 摘录，引用
vt. 引用，摘录
vi. 摘录，引用"
excessive,adj. 过多的，极度的；过分的
exclude,vt. 排除；排斥；拒绝接纳；逐出
excluder,n. 排除器（等于封隔器）
exclusion,n. 排除；排斥；驱逐；被排除在外的事物
exclusively,adv. 唯一地；专有地；排外地
excrete,vt. 排泄；分泌
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
execute,vt. 实行；执行；处死
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
exemplary,adj. 典范的；惩戒性的；可仿效的
exemplify,vt. 例证；例示
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
exert,vt. 运用，发挥；施以影响
exhale,"vt. 呼气；发出；发散；使蒸发
vi. 呼气；发出；发散"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
exhaustive,adj. 详尽的；彻底的；消耗的
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
exodus,n. 《出埃及记》（《圣经》第二卷）
exonerate,vt. 使免罪
exotic,adj. 异国的；外来的；异国情调的
expatriate,"n. 被流放者；移居国外者
adj. 移居国外的；被流放的
vt. 使移居国外；流放，放逐；使放弃国籍
vi. 移居国外；放弃原国籍"
expedient,"n. 权宜之计；应急手段
adj. 权宜的；方便的；有利的"
expedition,n. 远征；探险队；迅速
expenditure,n. 支出，花费；经费，消费额
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
expertise,n. 专门知识；专门技术；专家的意见
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
explicit,adj. 明确的；清楚的；直率的；详述的
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
exploration,n. 探测；探究；踏勘
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
explosion,n. 爆炸；爆发；激增
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
expound,"vt. 解释；详细说明
vi. 解释；详细说明"
expulsion,n. 驱逐；开除
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extensive,adj. 广泛的；大量的；广阔的
exterminate,vt. 消灭；根除
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
extinction,n. 灭绝；消失；消灭；废止
extinguish,vt. 熄灭；压制；偿清
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
extraction,n. 取出；抽出；拔出；抽出物；出身
extracurricular,adj. 课外的；业余的；婚外的
extraneous,adj. 外来的；没有关联的；来自体外的
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
extrapolation,n.  外推法；推断
extraterrestrial,"n. 天外来客
adj. 地球外的"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
fabric,n. 织物；布；组织；构造；建筑物
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
facilitate,vt. 促进；帮助；使容易
facility,n. 设施；设备；容易；灵巧
faction,n. 派别；内讧；小集团；纪实小说
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
faculty,n. 科，系；能力；全体教员
faith,n. 信仰；信念；信任；忠实
fallow,"n. 休耕地；休耕
adj. 休耕的；不活跃的
vt. 使（土地）休闲；潜伏"
falsify,"vt. 伪造；篡改；歪曲；证明...虚假
vi. 撒谎"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
fatality,n. 死亡；宿命；致命性；不幸；灾祸
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
feasible,adj. 可行的；可能的；可实行的
fecundity,n.  繁殖力；多产；肥沃
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
feign,"vt. 假装；装作；捏造；想象
vi. 假装；装作；作假；佯作"
feminist,"n. 女权主义者
adj. 主张女权的"
ferrous,adj.  亚铁的；铁的，含铁的
fertility,n. 多产；肥沃； 生产力；丰饶
fertilized,adj. 已受精的
fertilizer,n.  肥料；受精媒介物；促进发展者
fervent,adj. 热心的；强烈的；炽热的；热烈的
fetal,adj. 胎的，胎儿的
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
feudal,adj. 封建制度的；领地的；世仇的
fiber,n. 纤维；光纤（等于fibre）
fibrosis,n.  纤维化， 纤维变性
fickle,adj. 浮躁的；易变的；变幻无常的
fierce,adj. 凶猛的；猛烈的；暴躁的
figurine,n. 小雕像，小塑像
filament,n. 灯丝；细丝；细线；单纤维
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
filibuster,"n. 海盗；暴兵，掠夺兵；阻挠议事的议员；阻挠议事的行动
vt. 阻碍议案通过
vi. 掠夺；阻饶议事"
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
financier,"vi. 欺骗；从事欺骗性金融活动
vt. 对…提供资金
n. 金融家；投资家"
finite,"n. 有限之物
adj. 有限的；限定的"
fiscal,adj. 会计的，财政的；国库的
fivefold,"adj. 五倍的；五重的
adv. 五倍地；五重地"
fixture,n. 设备；固定装置；固定于某处不大可能移动之物
fjord,n.  峡湾（等于fiord）
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
flatten,"vt. 击败，摧毁；使……平坦
vi. 变平；变单调"
flaunt,"n. 炫耀；飘扬；招展
vt. 炫耀；飘扬
vi. 飘扬；夸耀"
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
fledgling,n. 无经验的人；刚会飞的幼鸟
flexible,adj. 灵活的；柔韧的；易弯曲的
flip,"n. 弹；筋斗
vi. 用指轻弹；蹦跳
adj. 无礼的；轻率的
vt. 掷；轻击"
flippant,adj. 轻率的；嘴碎的；没礼貌的
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
fluctuation,n. 起伏，波动
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
fluorescent,"n. 荧光；日光灯
adj. 荧光的；萤光的；发亮的"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
fodder,"n. 饲料；素材
vt. 喂"
folklore,n. 民俗学；民间传说；民间风俗
folkway,n. 社会习俗
follicle,n. 卵泡；滤泡；小囊
forage,"n. 饲料；草料；搜索
vi. 搜寻粮草；搜寻"
forager,n. 搜寻（食物）的人；四处寻找的人
foraging,n. 觅食（forage的ing形式）；觅食力
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
foreclosure,n. 丧失抵押品赎回权
foresee,vt. 预见；预知
foreseeable,adj. 可预知的；能预测的
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
foresight,n. 先见，远见；预见；深谋远虑
forestall,vt. 先发制人，预先阻止；垄断，屯积；领先；占先一步
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
formation,n. 形成；构造；编队
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
formula,n.  公式，准则；配方；婴儿食品
forthcoming,"n. 来临
adj. 即将来临的"
fortify,"vt. 加强；增强；（酒）的酒精含量；设防于
vi. 筑防御工事"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
fossilize,"vt. 使成化石；使陈腐
vi. 变成化石；变陈腐；使过时或固定不变；搜集（或发掘）化石标本"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
fraction,n. 分数；部分；小部分；稍微
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
fragile,adj. 脆的；易碎的
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
framework,n. 框架，骨架；结构，构架
franchise,"n. 特权；公民权；经销权；管辖权
vt. 给…以特许（或特权）；赋予公民权"
fraternal,adj. 兄弟般的；友好的
frequency,n. 频率；频繁
friction,n. 摩擦， 摩擦力
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
frugal,adj. 节俭的；朴素的；花钱少的
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
fundraise,n. 募捐
fungi,n. 真菌；菌类；蘑菇（fungus的复数）
fungus,n. 真菌，霉菌；菌类
funnel,"n. 漏斗；烟囱
vt. 通过漏斗或烟囱等；使成漏斗形
vi. 通过漏斗等；成漏斗形"
furnace,n. 火炉，熔炉
