triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
category,n. 种类，分类； 范畴
civilization,n. 文明；文化
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
collaborate,vi. 合作；勾结，通敌
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
exquisite,"n. 服饰过于讲究的男子
adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的"
extinguish,vt. 熄灭；压制；偿清
confront,vt. 面对；遭遇；比较
faulty,adj. 有错误的；有缺点的
facilitate,vt. 促进；帮助；使容易
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
formidable,adj. 强大的；可怕的；令人敬畏的；艰难的
fragrant,adj. 芳香的；愉快的
glorious,adj. 光荣的；辉煌的；极好的
gorgeous,adj. 华丽的，灿烂的；极好的
graceful,adj. 优雅的；优美的
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
harmony,n. 协调；和睦；融洽；调和
harness,"n. 马具；甲胄；挽具状带子；降落伞背带；日常工作
vt. 治理；套；驾驭；披上甲胄；利用"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
ignorant,adj. 无知的；愚昧的
imitate,vt. 模仿，仿效；仿造，仿制
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
innovation,n. 创新，革新；新方法
integrity,n. 完整；正直；诚实；廉正
intricate,adj. 复杂的；错综的，缠结的
invariable,"n. 常数；不变的东西
adj. 不变的；常数的"
journalist,n. 新闻工作者；报人；记日志者
occurrence,n. 发生；出现；事件；发现
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
odds,n. 几率；胜算；不平等；差别
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
relief,n. 救济；减轻，解除；安慰；浮雕
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
privacy,n. 隐私；秘密；隐居；隐居处
priority,n. 优先；优先权； 优先次序；优先考虑的事
proclaim,vt. 宣告，公布；声明；表明；赞扬
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
specify,vt. 指定；详细说明；列举；把…列入说明书
speculate,"vi. 推测；投机；思索
vt. 推断"
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
stall,"n. 货摊；畜栏；托辞
vt. 拖延；使停转；使陷于泥中
vi. 停止，停转；拖延"
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
congratulate,vt. 祝贺；恭喜；庆贺
authentic,adj. 真正的，真实的；可信的
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
congress,n. 国会；代表大会；会议；社交
benign,adj. 良性的；和蔼的，亲切的；吉利的
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
cargo,n. 货物，船货
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
cognitive,adj. 认知的，认识的
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
competitive,adj. 竞争的；比赛的；求胜心切的
competent,adj. 胜任的；有能力的；能干的；足够的
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
inertia,n.  惯性；惰性，迟钝；不活动
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
intelligible,adj. 可理解的；明了的；仅能用智力了解的
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
marvelous,adj. 了不起的；非凡的；令人惊异的；不平常的
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
miserable,adj. 悲惨的；痛苦的；卑鄙的
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
conjunction,n. 结合； 连接词；同时发生
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
omit,vt. 省略；遗漏；删除；疏忽
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
preclude,vt. 排除；妨碍；阻止
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
preside,"vi. 主持，担任会议主席
vt. 管理"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
sack,"n. 麻布袋；洗劫
vt. 解雇；把……装入袋；劫掠"
sacred,adj. 神的；神圣的；宗教的；庄严的
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
caress,"n. 爱抚，拥抱；接吻
vt. 爱抚，抚抱"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
conquest,n. 征服，战胜；战利品
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
rotten,"adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的
adv. 非常"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
rotary,"n. 旋转式机器； 转缸式发动机
adj. 旋转的，转动的；轮流的"
conscience,n. 道德心，良心
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
political,adj. 政治的；党派的
politician,n. 政治家，政客
politics,n. 政治，政治学；政治活动；政纲
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
retrospect,"n. 回顾，追溯
vt. 回顾；追忆
vi. 回顾，追溯；回想"
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
pneumonia,n. 肺炎
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
brim,"n. 边；边缘
vi. 满溢；溢出
vt. 使…满溢"
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
brittle,adj. 易碎的，脆弱的；易生气的
sociable,"n. 联谊会
adj. 社交的；好交际的；友善的"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
socialism,n. 社会主义
society,n. 社会；交往；社团；社交界
sociology,n. 社会学；群体生态学
up-to-date,adj. 最新的，最近的；现代的，新式的
upward,"adj. 向上的；上升的
adv. 向上"
urban,adj. 城市的；住在都市的
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
urgent,adj. 紧急的；急迫的
used,"v. 用（use的过去式）；（used to）过去常做
adj. 习惯的；二手的，使用过的"
equator,n. 赤道
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
equip,vt. 装备，配备
equipment,n. 设备，装备；器材
crystallize,"vt. 使结晶；明确；使具体化；做成蜜饯
vi. 结晶，形成结晶；明确；具体化"
era,n. 时代；年代；纪元
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
wedding,"n. 婚礼，婚宴；结婚；结合
v. 与…结婚（wed的ing形式）"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
welcome,"n. 欢迎
vt. 欢迎
adj. 受欢迎的
int. 欢迎"
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
zeal,n. 热情；热心；热诚
zebra,"n.  斑马
adj. 有斑纹的"
prone,adj. 俯卧的；有…倾向的，易于…的
thorny,adj. 多刺的；痛苦的；令人苦恼的
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
abdomen,n. 腹部；下腹；腹腔
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
ability,n. 能力，能耐；才能
abnormal,adj. 反常的，不规则的；变态的
commemorate,vt. 庆祝，纪念；成为…的纪念
commence,v. 开始；着手；<英>获得学位
paradise,"n. 天堂
至福境地"
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
commerce,n. 贸易；商业；商务
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
orientation,n. 方向；定向；适应；情况介绍；向东方
origin,n. 起源；原点；出身；开端
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
revelation,n. 启示；揭露；出乎意料的事；被揭露的真相
conscious,adj. 意识到的；故意的；神志清醒的
paralyze,vt. 使麻痹；使瘫痪
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
parachute,"n. 降落伞
vi. 跳伞
空投"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
revenue,n. 税收，国家的收入；收益
passion,n. 激情；热情；酷爱；盛怒
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
pastime,n. 娱乐，消遣
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
simplify,vt. 简化；使单纯；使简易
simplicity,n. 朴素；简易；天真；愚蠢
underestimate,"n. 低估
vt. 低估；看轻"
undergo,vt. 经历，经受；忍受
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
undertake,vt. 承担，保证；从事；同意；试图
entertain,"vt. 娱乐；招待；怀抱；容纳
vi. 款待"
entertainment,n. 娱乐；消遣；款待
enthusiasm,n. 热心，热忱，热情
enthusiastic,adj. 热情的；热心的；狂热的
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
nominate,vt. 推荐；提名；任命；指定
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
observation,n. 观察；监视；观察报告
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
noticeable,adj. 显而易见的，显著的；值得注意的
notify,vt. 通告，通知；公布
notion,n. 概念；见解；打算
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
operational,adj. 操作的；运作的
operator,n. 经营者；操作员；话务员；行家
transaction,n. 交易；事务；办理；会报，学报
consequence,n. 结果；重要性；推论
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
transistor,n. 晶体管（收音机）
transition,n. 过渡；转变； 转换；变调
translate,"vt. 翻译；转化；解释；转变为；调动
vi. 翻译"
translation,n. 翻译；译文；转化；调任
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
transmission,n. 传动装置， 变速器；传递；传送；播送
transparent,adj. 透明的；显然的；坦率的；易懂的
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
wrench,"n. 扳手，扳钳；扭伤；痛苦；歪曲；猛扭
vt. 扭伤；猛扭；曲解；折磨
vi. 扭伤；猛扭；猛绞"
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
yet,"conj. 但是；然而
adv. 还；但是；已经"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
youngster,n. 年轻人；少年
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
facility,n. 设施；设备；容易；灵巧
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
super,"n. 特级品，特大号；临时雇员
adj. 特级的；极好的"
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
superstition,n. 迷信
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
worldwide,"adj. 全世界的
adv. 在世界各地"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
profession,n. 职业，专业；声明，宣布，表白
proficiency,n. 精通，熟练
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
diverse,adj. 不同的；多种多样的；变化多的
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
considerable,adj. 相当大的；重要的，值得考虑的
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
allege,vt. 宣称，断言；提出…作为理由
alleviate,vt. 减轻，缓和
alliance,n. 联盟，联合；联姻
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
charter,"n. 宪章；执照；特许状
vt. 特许；包租；发给特许执照"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
fruitful,adj. 富有成效的；多产的；果实结得多的
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
linear,adj. 线的，线型的；直线的，线状的；长度的
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
linguistic,adj. 语言的；语言学的
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
consist,vi. 由…组成；在于；符合
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
overnight,"adv. 通宵；突然；昨晚
adj. 晚上的；通宵的；前夜的
n. 头天晚上；一夜的逗留
vt. 连夜快递
vi. 过一夜"
overpass,"vt. 超越；胜过；忽略
n. 天桥；陆桥"
overseas,"adv. 在海外，海外
adj. 海外的，国外的"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
overturn,"vt. 推翻；倾覆；破坏
vi. 推翻；倾覆
n. 倾覆；周转；破灭"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
ridiculous,adj. 可笑的；荒谬的
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
rigorous,adj. 严格的，严厉的；严密的；严酷的
pamphlet,n. 小册子
patriotic,adj. 爱国的
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）"
setback,n. 挫折；退步；逆流
cater,vt. 投合，迎合；满足需要；提供饮食及服务
civilian,"n. 平民，百姓
adj. 民用的；百姓的，平民的"
climax,n. 高潮；顶点；层进法；极点
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
cue,"n. 提示，暗示；线索
vt. 给…暗示"
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
humiliate,vt. 羞辱；使…丢脸；耻辱
enlighten,vt. 启发，启蒙；教导，开导；照耀
entitle,vt. 称做…；定名为…；给…称号；使…有权利
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
conspiracy,n. 阴谋；共谋；阴谋集团
various,adj. 各种各样的；多方面的
variety,n. 多样；种类；杂耍；变化，多样化
consistent,adj. 始终如一的，一致的；坚持的
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
denote,vt. 表示，指示
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
endurance,n. 忍耐力；忍耐；持久；耐久
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
enemy,"n. 敌人，仇敌；敌军
adj. 敌人的，敌方的"
energetic,adj. 精力充沛的；积极的；有力的
energy,n.  能量；精力；活力；精神
democracy,n. 民主，民主主义；民主政治
democratic,adj. 民主的；民主政治的；大众的
demonstrate,"vt. 证明；展示；论证
vi. 示威"
denial,n. 否认；拒绝；节制；背弃
denounce,vt. 谴责；告发；公然抨击；通告废除
dense,adj. 稠密的；浓厚的；愚钝的
density,n. 密度
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
frequency,n. 频率；频繁
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
department,n. 部；部门；系；科；局
departure,n. 离开；出发；违背
depend,vi. 依赖，依靠；取决于；相信，信赖
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
uphold,vt. 支撑；鼓励；赞成；举起
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
uproar,n. 骚动；喧嚣
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
successive,adj. 连续的；继承的；依次的；接替的
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
succession,n. 连续；继位；继承权； 演替
veil,"n. 面纱；面罩；遮蔽物；托词
vt. 遮蔽；掩饰；以面纱遮掩；用帷幕分隔
vi. 蒙上面纱；出现轻度灰雾"
establishment,n. 确立，制定；公司；设施
perplex,vt. 使困惑，使为难；使复杂化
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
emphasis,n. 重点；强调；加强语气
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
velocity,n. 速度
verb,"n. 动词；动词词性；动词性短语或从句
adj. 动词的；有动词性质的；起动词作用的"
verdict,n. 结论；裁定
resent,vt. 怨恨；愤恨；厌恶
establish,"vi. 植物定植
vt. 建立；创办；安置"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
absence,n. 没有；缺乏；缺席；不注意
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的"
vein,"n. 血管；叶脉； 岩脉；纹理；翅脉；性情
vt. 使成脉络；象脉络般分布于"
venture,"n. 企业；风险；冒险
vt. 敢于
vi. 冒险；投机"
ventilate,vt. 使通风；给…装通风设备；宣布
