overcome,"vt. 克服；胜过
vi. 克服；得胜"
bat,"n. 蝙蝠；球棒；球拍；批处理文件的扩展名
vt. 用球棒击球；击球率达…
vi. 轮到击球；用球棒击球"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
venality,n. 唯利是图；贪赃枉法；受贿
shocking,"adj. 令人震惊的；可怕的，令人厌恶的；糟糕的
v. 感到震惊；震动；冲突（shock的ing形式）"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
vigilant,adj. 警惕的；警醒的；注意的；警戒的
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
episode,n. 插曲；一段情节；插话；有趣的事件
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
deflect,"vt. 使转向；使偏斜；使弯曲
vi. 转向；偏斜"
perk,"n. 小费；额外收入
vt. 使振作；打扮；竖起
vi. 振作；昂首"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
sterling,"n. 英国货币；标准纯银
adj. 纯正的；英币的；纯银制的"
insist,"vi. 坚持，强调
vt. 坚持，强调"
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
universe,n. 宇宙；世界；领域
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
sod it, 真该死；去他的；去它的
in case,"na. 以防万一；作为准备；如果；免得
 假使；假如；以防免得"
get after,"v. 督促；训诫；责备；追逐
 攻击；盯着；追击"
double back,"na. 向后折叠；扭头往回跑
 把…对折；双背；循原路折回"
tear off,"na. 扯下来；扯掉；飞跑；急急忙忙做成某事
 撕下；撕掉；撕纸"
just as well,"adv. 同样；完全一样
 幸好；不如做某事也可；无妨"
live with,"v. 和…住在一起；和…同居；和…妥协；容忍
 忍受；接受；与……住在一起"
not bat an eye,"连眼也不眨一下,神色不变,泰然自若"
have in mind,"na. 记住；铭记不忘；注意
 考虑到；想到；记得"
come to,"na. 总计为；结果是；苏醒；把船朝着风头
 达到；来到；恢复知觉"
no doubt,"na. 无疑地；很可能
 毫无疑问；必定；不要怀疑合唱团"
perk up,n. 额外津贴，附带福利，外快; （使）活跃; （重新）活跃起来; 使更有趣; （使）增值
keep an eye on,"v. 密切注意
 照看；留意；密切注视"
at a moment's notice,"na. 一经通知；随时；马上
 即刻；立即；提前很短时间通知"
insist on,"v. 坚持；强调
 坚决要求；坚持要；坚持认为"
carry on,"adj. (飞机乘客的行李)可随身携带的
n. (飞机乘客的)随身行李
 继续；继续下去；进行"
stadium,n. 体育场；露天大型运动场
brandish,"n. 挥舞
vt. 挥舞；炫耀"
squirt,"n. 喷射；注射
vt. 喷湿
vi. 喷出"
squirt gun,"na. 喷射器
 水枪；油枪；玩具水枪"
beach ball,"n. 沙滩球
 海滩球；大充气球；沙滩排球"
adulthood,n. 成年；成人期
rousing,"adj. 活泼的；使奋起的；使感动的
v. 唤醒；激怒；唤起（rouse的ing形式）"
orator,n. 演说者；演讲者；雄辩家；原告
podium,n. 乐队指挥台；矮墙；墩座墙
announcement,n. 公告；宣告；发表；通告
newsfeed,新闻供应
alum,n. 矾；明矾
resonate,"vt. 共鸣；共振
vi. 共鸣；共振"
uniquely,adv. 独特地；珍奇地
reread,"n. 重读
vt. 重读；再读
vi. 重读，再读"
calligraphy,n. 书法；笔迹
font,n. 字体；字形；泉；洗礼盘，圣水器
animation,n. 活泼，生气；激励；卡通片绘制
poignant,adj. 尖锐的；辛酸的；深刻的；切中要害的
diagnosis,n. 诊断
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
embarrassment,n. 窘迫，难堪；使人为难的人或事物；拮据
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
averse,adj. 反对的；不愿意的
aspire,vi. 渴望；立志；追求
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
lie ahead, 在前面；即将发生；即将来临
step down,"na. 走下；退出；下降；辞退
 辞职；下台；让位"
light up,"na. 点灯；照亮；点香烟；变快活
 点燃；点亮；点火"
resonate with, 与……共鸣；共振；引起共鸣
fall away,"n. (火箭各级的)分开
 消失；疏远；背离"
in the face of,"na. 不避；不管；在…前面；面临
 面对；在...面前；不顾"
follow one's heart,"做自己想做的事情
跟着感觉走"
contrary to,"na. 跟…相反
 与……相反；违反；和…相反"
aspire to,"v. 渴望；立志
 追求；渴求；有志于"
in disguise,"na. 假装的；伪装的
 乔装；假象；假扮"
catering,"n. 给养；承办酒席；提供饮食及服务
v. 备办食物（cater的ing形式）"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
steadily,adv. 稳定地；稳固地；有规则地
path,n. 道路；小路；轨道
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
operator,n. 经营者；操作员；话务员；行家
switchboard,n. 配电盘；接线总机
attendant,"n. 服务员，侍者；随员，陪从
adj. 伴随的；侍候的"
reception,n. 接待；接收；招待会；感受；反应
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
concierge,n. 门房；看门人
relation,n. 关系；叙述；故事；亲属关系
VIP,abbr. 大人物，贵宾（Very Important Person）；视频接口处理器（Video Interface Processor）；可变信息处理（Variable Information Processing）
luggage,n. 行李；皮箱
friendliness,n. 友谊；亲切；亲密
abound,vi. 富于；充满
swiftly,adv. 很快地；敏捷地；即刻
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
additional,adj. 附加的，额外的
thorough,adj. 彻底的；十分的；周密的
attribute,"n. 属性；特质
vt. 归属；把…归于"
liaison,n. 联络；（语言）连音
find out,"na. 查出；发现；看清…的面目；识破
 查明；找出；了解"
meet with,"na. 碰见；遭遇；偶然发现；达到
 遇见；遇到；碰到"
have sb. over,
there you go,"na. 说的很对；用于带路时说“这边请”；用于评论某人的重复行为
 就这样了；你走了；你看吧"
work one's way up, 获得晋升；向上爬；逐步使自己地位上升
take the initiative,"na. 带头
 采取主动；倡导；积极主动"
act as,"na. 做(向导)
 充当；担任；担当"
seek out,"na. 找出；寻求；想获得
 挑出；找到；搜寻出"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
diversity,n. 多样性；差异
myriad,"adj. 无数的；种种的
n. 无数，极大数量；无数的人或物"
urbanization,n. 都市化；文雅化
commerce,n. 贸易；商业；商务
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
multicultural,adj. 多种文化的；融合或具有多种文化的
evidently,adv. 显然，明显地；清楚地
globalize,vt. 使全球化
multilingual,"adj. 使用多种语言的
n. 使用多种语言的人"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
pot,"n. 壶；盆；罐
vt. 把…装罐；射击；节略
vi. 随手射击"
melting pot,"n. 熔炉（指多种民族、多种思想等融合混杂的地方或状况）
 大熔炉；熔化锅；熔锅"
Hispanic,adj. 西班牙的
origin,n. 起源；原点；出身；开端
translator,n. 译者；翻译器
interpreter,n. 解释者；口译者；注释器
divergent,adj. 相异的，分歧的；散开的
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
monolingual,"adj. 单语的；仅用一种语言的；仅懂一种语言的
n. 只用一种语言的人"
outscore,vt. 得分超过
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
proficient,"n. 精通；专家，能手
adj. 熟练的，精通的"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
capacity,n. 能力；容量；资格，地位；生产力
achievement,n. 成就；完成；达到；成绩
nowadays,"adv. 现今；时下
n. 当今"
civilization,n. 文明；文化
comprehend,vt. 理解；包含；由…组成
enrich,vt. 使充实；使肥沃；使富足
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
tolerance,n. 公差；宽容；容忍；公差
immigration,n. 外来移民；移居
empathy,"n. 神入；移情作用；执着
n. 感同身受；同感；共鸣"
even though,"na. “even if”的变体
 即使；尽管；虽然"
day by day,"na. “day after day”的变体
 逐日；每一天；只往好处想"
result in,"na. 终于(失败)
 导致；结果是；造成"
a number of,"na. 若干；=numbers of 许多的
 一些；大量的；很多"
apart from,"prep. 除了…外（都）；要不是；除了…外（还）；此外
 除……之外；除...外；除去"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
flawless,adj. 完美的；无瑕疵的；无裂缝的
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
grandparent,n. 祖父母；祖父或祖母；外祖父母；外祖父或外祖母
Renaissance,
Renaissance man,"n. 文艺复兴人
 天兵总动员；多才多艺的人；文艺复兴之士"
guitar,"n. 吉他，六弦琴
vi. 弹吉他"
heritage,n. 遗产；传统；继承物；继承权
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
mesa,n. 台地； 平顶山
relief,n. 救济；减轻，解除；安慰；浮雕
southwestern,adj. 西南部的；向西南的；来自西南的
landform,n.  地形
blurt,vt. 未加思索地冲口说出；突然说出
ah,int. 啊；呀
rainforest,n. （热带）雨林
casa,n. 房屋
charade,n. 看手势猜字谜游戏
attendance,n. 出席；到场；出席人数；考勤
receptacle,n.  花托；容器；插座
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
Puerto Rican, 波多黎各人；波多黎各的；波多黎各首都圣胡安
Jewish,adj. 犹太人的；犹太族的
Hebrew,"n. 希伯来人，犹太人；希伯来语
adj. 希伯来人的；希伯来语的"
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
barrio,n. （西）地方行政区域
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
ancestor,n. 始祖，祖先；被继承人
look back,"na. 回头看；回顾；追想 (to；upon)；(对事业等)不起劲
 回忆；追忆；向后看"
make it easy on sb.,
make it easy for sb.,
come to mind, 想到；出现在脑海中；想起
single out,"v. 挑选出；精选出
 挑出；是选出，挑出的意思；脱颖而出"
have no idea,"un. 心中有数；对…一无所知；感到茫无头绪；不想
 不知道；不清楚；一点不知道"
imagination,n.  想象力；空想；幻想物
breakthrough,n. 突破；突破性进展
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
cloud computing,n. 云计算(Cloud Computing)是一种新兴的商业计算模型。它将计算任务分布在大量计算机构成的资源池上，使各种应用系统能够根据需要获取计算力、存储空间和各种软件服务。
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
foretell,"vt. 预言；预示；预告
vi. 预言；预示；预告"
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
storage,n. 存储；仓库；贮藏所
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
menu,"n. 菜单
饭菜"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
app,
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
surfing,"n. 冲浪游戏
v. 冲浪（surf的ing形式）"
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
execute,vt. 实行；执行；处死
transaction,n. 交易；事务；办理；会报，学报
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
fiercely,adv. 猛烈地；厉害地
woo,"vt. 追求；招致；向…求爱；恳求
vi. 求爱；恳求"
revolutionize,"vt. 发动革命；彻底改革；宣传革命
vi. 革命化；从事革命"
arena,n. 舞台；竞技场
advent,n. 到来；出现；基督降临；基督降临节
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
buddy,"n. 伙伴，好朋友；密友；小男孩
vi. 做好朋友，交朋友"
pivotal,"n. 关键事物；中心事物
adj. 关键的；中枢的；枢轴的"
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
portability,n.  可移植性；轻便；可携带性
momentum,n. 势头； 动量；动力；冲力
reap,"vt. 收获，获得；收割
vi. 收割，收获"
juicy,adj. 多汁的；利润多的；生动的
netizen,n. 泛指一般的网民
portal,n. 大门，入口
socialise,"vt. 使社会化；使社会主义化
vi. 参加社交活动；发生社交往来（等于socialize）"
socialize,"vt. 使社会化；使社会主义化；使适应社会生活
vi. 交际；参与社交"
extent,n. 程度；范围；长度
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
prevalent,adj. 流行的；普遍的，广传的
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
oral,"n. 口试
adj. 口头的，口述的"
visual,adj. 视觉的，视力的；栩栩如生的
e-learning,n. 电子学习；在线学习
webinar,
teleconference,电话会议； 远程会议
telecommunications,n. 通讯行业：服务类型变更，缴纳话费，账户总览等所有业务均可通过移动设备完成
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
handset,n. 手机，电话听筒
mode,n. 模式；方式；风格；时尚
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
popularly,adv. 流行地；通俗地；普及地；大众地
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
bandwidth,n.  带宽； 频带宽度
spectrum,n. 光谱；频谱；范围；余象
facilitate,vt. 促进；帮助；使容易
usher in,"na. 迎接(来客)；传报
 开创；开始；引领"
spread one's wings, 展开翅膀
no more,"na. (此后)不再；死了；…也不
 再也不；不再存在；再也不需要"
lease out,"v. 租出去
 租赁；出租；定约出租"
in exchange for,"na. 换
 交换；用……交换；作为交换"
the eye of the storm, 风暴之眼；暴风眼；风暴眼
at the moment,"na. “for the moment”的变体
 此刻；现在；目前"
come with, 伴随…发生；与……一起供给；与……一起来
look upon,"na. 像很健康；看上去漂亮；(事情)顺利
 看待；看作；把…看作"
bring together,"na. 集合
 使团结；使…团结起来；撮合"
make one's mark,"na. 出名
 使自己出名；水牛过河；获得成功"
the talk of the town, 小镇话语；慈母泪；城里的话题
luddite,
column,n. 纵队，列；专栏；圆柱，柱形物
deafness,n. 聋；听力不佳
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
protection,n. 保护；防卫；护照
earbud,n. 耳塞
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
inability,n. 无能力；无才能
subtract,vt. 减去；扣掉
calculator,n. 计算器；计算者
atrophy,"n. 萎缩，萎缩症；发育停止
vi. 萎缩；虚脱"
cashier,"n. 出纳员；司库；收银员
vt. 解雇；抛弃"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
disorganized,adj. 紊乱的；无组织的
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
intuitive,adj. 直觉的；凭直觉获知的
connectivity,n.  连通性
wane,"n. 衰退；月亏；衰退期；缺损
vi. 衰落；变小；亏缺；退潮；消逝"
Balkanization,n. 巴尔干化；分割成小国；割据
mass media,"n. 大众传媒
 大众媒体；大众传播媒介；大众传播媒体"
baseball,n. 棒球；棒球运动
series,n. 系列，连续； 串联；级数；丛书
agenda,n. 议程；日常工作事项；日程表
befriend,vt. 帮助；待人如友；扶助
subgroup,"n. 小群；隶属的小组织
vt. 给…加副标题"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
mores,n. 习惯，习俗；风俗；道德观念
puffed-up,adj. 充满空气的；鼓胀的，膨胀的，肿胀的
blowhard,"n. 吹牛大家
adj. 吹牛的；唠唠叨叨的"
forum,n. 论坛，讨论会；法庭；公开讨论的广场
slavery,n. 奴役；奴隶制度；奴隶身份
dependency,n. 属国；从属；从属物
scribble,"n. 潦草写成的东西；潦草的写法；杂文
vt. 乱写；滥写；潦草地书写
vi. 乱写；乱涂"
legible,adj. 清晰的；易读的；易辨认的
grid,n. 网格；格子，栅格；输电网
refrigerator,n. 冰箱，冷藏库
BBQer,
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
mid,"adj. 中间的；中央的
prep. 在…之中"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
yearbook,n. 年鉴；年刊
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
campfire,n. 营火；营火会
BYOB,abbr. （用于宴会请柬上等）请自带酒来（bring your own booze/bottle）
go off,"na. 进行得 (well； badly)；(话等)冒出
 爆炸；离开；离去"
get into,"na. 进入；穿上；成癖；陷于
 陷入；卷入；养成"
at large,"na. 随便；拉杂地
 逍遥法外；在逃；未被捕获的"
hang out,"na. 同“hang”；把上身伸出(窗外)；挂出门外；拖延
 闲逛；闲荡；出去消遣"
as a whole,"na. (作为一个)整体
 作为一个整体；总体上；作为整体"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
think of as, 把…认为是；看作；把…当作
lord it over sb.,
go down,"na. 下去；(飞机)坠落；继续到  (风,浪等)平静下来；消退
 下降；下沉；下降，降低"
in earnest,"na. 诚挚
 认真地；认真的；诚挚地"
fall apart,"na. 土崩瓦解
 崩溃；破碎；四分五裂"
in favor of,"na. 赞成；有利于；付与
 支持；赞同；为了支持"
point to,"v. 指向；针对
 指着；表明；指出"
enough said, 说够了；不用多说；你说够了
give in to,"v. 交上；同意；接受
 屈服于；向…让步；投降"
be in the majority, 居多；占多数；占大多数
