explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
little by little,"na. “by little and little”的变体
 逐渐地；一点一点地；一点点地"
conclusion,n. 结论；结局；推论
by the end of,"prep. 在…尽头
 到……为止；到……末为止；到……底为止"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
contribution,n. 贡献；捐献；投稿
nominate,vt. 推荐；提名；任命；指定
object to,"na. 反对
 反对某事；不赞成；我反对"
break out,"na. 起；(战争等)突发；(囚犯等)逃脱；起(锚)
 爆发；突然发生；逃出"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
exposure,n. 暴露；曝光；揭露；陈列
aplastic anemia,"un. 再生障碍性贫血
 再生不良性贫血；再生不良性贫血症；再障"
remains,n. 残余；遗骸
inter,vt. 埋；葬
curium,n.  锔（元素符号Cm）
saint,
gutter,"n. 排水沟；槽；贫民区
vi. 流；形成沟
vt. 开沟于…；弄熄
adj. 贫贱的；粗俗的；耸人听闻的"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
hold ... in great esteem,
hold ... in high esteem,
hold ... in low esteem,
nun,n. 修女，尼姑
at half-mast, （潜艇）露出半段通气设备
Mass,
gigantic,adj. 巨大的，庞大的
be known as,"na. 通称
 被称为；被称作；被认为是"
wind,"vi. 缠绕；上发条；吹响号角
n. 风；呼吸；气味；卷绕
vt. 缠绕；上发条；使弯曲；吹号角；绕住或缠住某人"
wind one's way,
minister,"n. 部长；大臣；牧师
vi. 执行牧师职务；辅助或伺候某人"
headquarters,n. 总部；指挥部；司令部
missionary,"adj. 传教的；传教士的
n. 传教士"
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
humanitarian,"n. 人道主义者；慈善家；博爱主义者；基督凡人论者
adj. 人道主义的；博爱的；基督凡人论的"
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
Catholic,
convent,n. 女修道院
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
live hand-to-mouth,
infect,vt. 感染，传染
be infected with,"na. 感染
 沾染上；感染上；被感染"
archbishop,n. 大主教；总教主
stubborn,adj. 顽固的；顽强的；难处理的
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
sari,n. （印）纱丽（等于saree）；卷布
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
in despair,"na. 绝望地
 绝望的；失望；在绝望中"
undertaking,"n. 事业；企业；保证；殡仪业
v. 同意；担任；许诺（undertake的ing形式）"
maggot,n.  蛆；空想，狂想
priest,"n. 牧师；神父；教士
vt. 使成为神职人员；任命…为祭司"
for fear of,"na. 因为怕；唯恐
 以免；害怕；以防"
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
donation,n. 捐款，捐赠物；捐赠
dowry,n. 嫁妆；天资；亡夫遗产
come of age,"na. 成年；达成人年龄
 达到法定年龄；到达法定年龄；成熟"
elicit,vt. 抽出，引出；引起
recognition,n. 识别；承认，认出；重视；赞誉；公认
in recognition of,"na. 承认…而
 按照；为酬答...而；认可"
malaria,n.  疟疾；瘴气
artemisinin, Arteannuin
dig into,"na. 掘进；钻研；用掉；吃
 深入钻研；探究；开始吃"
transcript,n. 成绩单；抄本，副本；文字记录
pharmacologist,n. 药理学家
accolade,n. 荣誉；荣誉称号授予仪式；连谱号；称赞
diminutive,"adj. 小的，小型的，微小的
n. 爱称；指小词；身材极小的人"
jet black,"adj. 乌黑发亮的
 墨黑色；深黑；烟黑"
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
dangle,"vt. 使摇晃地悬挂
vi. 摇晃地悬挂着"
rampant,adj. 猖獗的；蔓延的；狂暴的；奔放的
chloroquine,n.  氯喹（疟疾特效药的一种）
parasite,n. 寄生虫；食客
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
draw a blank,"na. 没有找到
 一无所获；记不起来；脑中一片空白"
forthcoming,"n. 来临
adj. 即将来临的"
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
scour ... for,
herb,n. 香草，药草
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
entrust,vt. 委托，信托
nursery,n. 苗圃；托儿所；温床
recipe,n. 食谱； 处方；秘诀；烹饪法
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
sweet wormwood,"un. 青蒿；黄蒿
 黄花蒿；香苦蒿；甜蒿"
hallmark,"n. 特点；品质证明
vt. 给…盖上品质证明印记；使具有…标志"
melt away,"na. 融掉；消失；(钱)渐渐花光；(使)着迷
 融化；融化掉；融化或溶解而消失"
appositely,adv. 适切地
prescription,"n. 药方；指示；惯例
adj. 凭处方方可购买的"
sleeve,"n.  套筒， 套管；袖子， 袖套
vt. 给……装袖子；给……装套筒"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
ether,n. 乙醚； 以太；苍天；天空醚
solvent,"n. 溶剂；解决方法
adj. 有偿付能力的；有溶解力的"
clinical,adj. 临床的；诊所的
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
subside,vi. 平息；减弱；沉淀；坐下
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
anonymous,adj. 匿名的，无名的；无个性特征的
botanical,"n. 植物性药材
adj. 植物学的"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
in combination with,"na. 和…共同
 与…结合；与……合作；与……联合起来"
antimalarial,"n.  抗疟药；抗疟疾剂
adj.  抗疟疾的"
vigilant,adj. 警惕的；警醒的；注意的；警戒的
fight for,"v. 争取
 为…而战；为……而斗争；为…而战斗"
healthcare,n. 医疗保健；健康护理，健康服务；卫生保健
gratitude,n. 感谢（的心情）；感激
the icing on the cake, 锦上添花；蛋糕上的糖霜；蛋糕上的糖衣
physiology,n. 生理学；生理机能
kill off,"na. 消灭
 杀光；扼杀，否决；除去"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
LOL,
amazeballs, 神奇重力球；重力滚球
BRB,
emoji, 表情符号，来自日语词汇“絵文字”（假名为“えもじ”，读音即emoji）
emoticon,n. 表情符号，表情图示
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
ingrained,"adj. 根深蒂固的；彻头彻尾的；生染的
v. 使根深蒂固（ingrain的过去分词形式）；生染；就原料染色"
get ... across,"na. 使了解；使通过；使人了解；与(人)冲突
 讲清楚；说明；使被理解"
abbreviate,"vt. 缩写，使省略；使简短
vi. 使用缩写词"
abbreviation,n. 缩写；缩写词
have an effect on,"na. 对…有影响
 对……产生影响；对……产生作用；对……有效果"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
contracted,"v. 使收缩；订契约（contract的过去式和过去分词）
adj. 契约的；收缩了的；狭小的"
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
streamlined,"v. 使成流线型；使合理化（streamline的过去式和过去分词）
adj. 流线型的；改进的；最新型的"
concise,adj. 简明的，简洁的
conform to,"na. 遵照；顺应；遵守
 符合；遵从；适合，符合"
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
acronym,n. 首字母缩略词
hail from,"v. 来自
 出生于；来自于；来自或发源于"
be vital to, 是举足轻重的；对……至关重要的；关重要的
confident,adj. 自信的；确信的
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字"
icon,n. 图标；偶像；肖像，画像；圣像
PR,abbr. 公共关系（public relations）；性能要求（Performance Requirement）
stunt,"n. 噱头，手腕；绝技
vt. 阻碍…的正常生长或发展
vi. 表演特技；作惊人表演"
arguably,"adv. 可论证地；可争辩地；正如可提出证据加以证明的那样地
可能，大概"
slang,"n. 俚语；行话
adj. 俚语的
vt. 用俚语说
vi. 用粗话骂"
shorthand,"n. 速记；速记法
adj. 速记法的"
misunderstand,vt. 误解；误会
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
linguistically,adv. 语言的；语言学方面
economic,adj. 经济的，经济上的；经济学的
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
passionate,adj. 热情的；热烈的，激昂的；易怒的
deride,vt. 嘲笑；嘲弄
mood,n. 情绪，语气；心境；气氛
evolution,n. 演变；进化论；进展
regression,n. 回归；退化；逆行；复原
sharpen up, （使）变得更好（或技术更高、更有效等）; 提高某人（或事物）的水平（或技术、效率等）; 使…更敏锐; 打扮
specialism,n. 专长；专攻；专门研究
lay bare,"na. 露出；说出
 暴露；揭露；揭示"
raise the bar,"un. 升高横竿
 提高横竿；更上一层楼；提高目标"
globalize,vt. 使全球化
globalise,使全球化（英式英语）
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
be ingrained into,
be ingrained in,
ELF,n. 小精灵；淘气鬼
lingua franca,"n. （母语不同的人共用的）通用语
 混合语；共通语；通用语言"
spawn,"n. 卵；菌丝；产物
vt. 产卵；酿成，造成；大量生产
vi. 产卵；大量生产"
specialize,"vi. 专门从事；详细说明；特化
vt. 使专门化；使适应特殊情况；详细说明"
specialise,"vt. 使专门化；限定…的范围；深入（等于specialize）
vi. 专门研究（等于specialize）"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
Twitter-sphere,
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
impact on, 影响；对…冲击，碰撞；对…之影响
filter into,"un. 渗入
 加入"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
be all about, 所有；大约是全部
context,n. 环境；上下文；来龙去脉
millennial,adj. 一千年的；千禧年的
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
ROFL,笑得在地上打滚，是 rolling on the floor laughing 的网络缩略语
personality,n. 个性；品格；名人
only if,"conj. 只有当
 只要；除非；只要…就"
as a whole,"na. (作为一个)整体
 作为一个整体；总体上；作为整体"
a moot point, 争论未决的问题；争论不休；尚有争议
at best,"na. 充其量也不过
 至多；最多；最好也只是"
have a way of doing sth.,
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
priority,n. 优先；优先权； 优先次序；优先考虑的事
creep into,"na. 悄悄混进
 开始发生；开始发生于；溜进"
disaster,n. 灾难，灾祸；不幸
acceptable,adj. 可接受的；合意的；可忍受的
at work,"na. 做着；在工作；起着作用；运转中
 在上班；起作用；在起作用"
exclamation,n. 感叹；惊叫；惊叹词
etiquette,n. 礼节，礼仪；规矩
contention,n. 争论，争辩；争夺；论点
piece,"n. 块；件；篇；硬币
vt. 修补；接合；凑合"
what if,"v. 应如何
 如果；如果…将会怎样；如果…将会怎么样"
ever-evolving, 时刻演进；不断演进；永远处於发展变化之中的
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
act as,"na. 做(向导)
 充当；担任；担当"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
semantic,adj. 语义的；语义学的（等于semantical）
linguist,"n. 语言学家
学多种外语的人"
threat,n. 威胁，恐吓；凶兆
take sth. the wrong way,
inflection,n. 弯曲，变形；音调变化
toneless,adj. 沉闷的；单调的；缺乏声调的；无声的
Scandinavian,"n. 斯堪的纳维亚人；斯堪的纳维亚语；北欧日耳曼语系
adj. 斯堪的纳维亚的；斯堪的纳维亚人的；斯堪的纳维亚语的；北欧日耳曼语系的"
convey,vt. 传达；运输；让与
vibe,n. 气氛，氛围
reprimand,"n. 谴责；训斥；申诉
vt. 谴责；训斥；责难"
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
in-person,亲自；外貌上
feel comfortable with,
widespread,adj. 普遍的，广泛的；分布广的
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
have a shot at,"na. “have a shot for”的变体
 尝试；试着去做；试一试"
be conscious of,"na. 意识到
 察觉；知道；觉察"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
deviate from,"v. 越轨；违背
 偏离；背离；背离，偏离"
sarcasm,n. 讽刺；挖苦；嘲笑
sarcastic,adj. 挖苦的；尖刻的，辛辣的
bear in mind,"na. 记住；铭记不忘；注意
 牢记在心；记在心里；考虑到"
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
obnoxious,adj. 讨厌的；可憎的；不愉快的
crass,adj. 愚钝的；粗鲁的；非常的
nouveau riche,"n. 暴发户
 新贵；新富；新贵们"
jade,"n. 翡翠； 碧玉；老马
adj. 玉制的；绿玉色的
vt. 使疲倦
vi. 疲倦"
uncultured,adj.  未耕作的；未受教育的；无教养的
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
parvenu,"n. 暴发户，新贵
adj. 暴发户的"
bling,n. 锦衣珠宝
viral,adj. 病毒性的
flashy,adj. 闪光的；瞬间的；俗丽的；暴躁的
resentment,n. 愤恨，怨恨
traction,n. 牵引； 牵引力
slogan,n. 标语；呐喊声
legitimacy,n. 合法；合理；正统
edition,"n. 版本
版次
集"
underling,n. 下属，部下；走卒
of the moment,"na. 此刻
 现在；红极一时的；现在的"
garish,adj. 炫耀的；过分装饰的；过分鲜艳的
sophistication,n. 复杂；诡辩；老于世故；有教养
derisive,adj. 嘲笑的，嘲弄的；可付之一笑的
netizen,n. 泛指一般的网民
luxurious,adj. 奢侈的；丰富的；放纵的；特级的
blogosphere,n. 博客圈（网络上博客的总称）；博客世界
make the round,巡回；巡视；(邮递员等)按户投递；(自由作家或演员等)到处寻求录用
make the rounds, 串门拜访；检查油井或机器；四处走动
hold out,"na. 伸出；提出；维持；制止
 坚持；支持；坚持，不屈服"
catchphrase,n. 标语，警句
surpass,vt. 超越；胜过，优于；非…所能办到或理解
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
threat,n. 威胁，恐吓；凶兆
existence,n. 存在，实在；生存，生活；存在物，实在物
voice,"n. 声音；嗓音；发言权；愿望
vt. 表达；吐露"
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
comparable,adj. 可比较的；比得上的
burn down,"na. 把…烧成平地；(蜡烛等)逐渐烧完；火力减弱
 烧毁；烧光；烧为平地"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
be integrated into, 被结合成为；融入或成为一体；融入…之中
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
have access to,"na. 得接近；得会见；得进入
 使用；有权使用；可以接近"
enhance,vt. 提高；加强；增加
take comfort from sth.,
draw comfort from sth.,
take comfort in sth.,
draw comfort in sth.,
take comfort from doing sth.,
draw comfort from doing sth.,
take comfort in doing sth.,
draw comfort in doing sth.,
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
violence,n. 暴力；侵犯；激烈；歪曲
statistics,n. 统计；统计学； 统计资料
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
on the rise,"na. 在涨；在增加；好转
 在上升；正在上升；在上涨"
result from,"v. 由于
 由...产生；起因于；由…引起"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
a couple of,"det. 一对
 几个；两个；两三个"
guideline,"n. 指导方针
参考"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
clinical,adj. 临床的；诊所的
consideration,n. 考虑；原因；关心；报酬
go back to,"v. 追溯到
 回到；返回到；追溯至"
in place,"na. 得其所；适当的
 在适当的位置；在合适的位置；适当地"
similar to,"v. 与…类似
 相似；与……相似；与……类似"
build in,"na. 加入；埋入；围以(房屋,围墙等)
 固定；插入；内建"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
avoid,vt. 避免；避开，躲避；消除
destructive,adj. 破坏的；毁灭性的；有害的，消极的
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
renewable,"n. 再生性能源
adj. 可再生的；可更新的；可继续的"
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
opportunity,n. 时机，机会
make strides in sth.,
make strides in doing sth.,
pivotal,"n. 关键事物；中心事物
adj. 关键的；中枢的；枢轴的"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
giddy,"adj. 头晕的；眼花的；令人眼花缭乱的；轻浮的
vt. 使晕眩；使眼花缭乱
vi. 眼花；眩晕"
technological,adj. 技术的；工艺的
improvement,n. 改进，改善；提高
automation,n. 自动化；自动操作
productivity,n. 生产力；生产率；生产能力
imply,vt. 意味；暗示；隐含
capital-intensive,adj. 资本密集的；投资密集的
skill-intensive, 技术密集型
proficiency,n. 精通，熟练
displace,vt. 取代；置换；转移；把…免职；排水
blue-collar,adj. 蓝领阶级的，体力劳动者的
the dust settle,
the dust settles, 混乱结束，骚乱平息，纷扰平静下来
man,"n. 人；男人；人类；丈夫；雇工
vt. 操纵；给…配置人员；使增强勇气；在…就位"
offshore,"adj. 离岸的； 近海的；吹向海面的
adv. 向海面，向海"
replace ... with,
cream,n. 奶油，乳脂；精华；面霜；乳酪
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
earn a living, 谋生；谋生或维持生活；赚钱谋生
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
deficit,n. 赤字；不足额
courtesy of, 蒙…好意；经由…提供；由……配音
by courtesy of,"na. 由于…好意
 由于…的作用；蒙…的好意，蒙…提供；由于..好意"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
be a drag on sth.,
be a drag on sb.,
abolish,vt. 废除，废止；取消，革除
humane,adj. 仁慈的，人道的；高尚的
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
stabilize,"vt. 使稳固，使安定
vi. 稳定，安定"
fragile,adj. 脆的；易碎的
enlighten,vt. 启发，启蒙；教导，开导；照耀
enlightened,"v. 启迪（enlighten的过去式）
adj. 开明的；文明的；进步的；被启发的"
loom large, 显得突出；赫然耸现；显得严重
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
federation,n. 联合；联邦；联盟；联邦政府
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
seemingly,adv. 看来似乎；表面上看来
limitless,adj. 无限制的；无界限的
emergence,n. 出现，浮现；发生；露头
hub,n. 中心；毂；木片
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
aim to do, 打算做某事；指望做某事；意欲
modernize,"vt. 使…现代化
vi. 现代化"
labor-intensive,adj. 劳动密集型的
annex,"n. 附加物；附属建筑物
vt. 附加；获得；并吞"
indigenous,adj. 本土的；土著的；国产的；固有的
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
capable,adj. 能干的，能胜任的；有才华的
be capable of,"v. 能够承担
 有能力；有能力干；有能力做"
reliant,adj. 依赖的；可靠的；信赖的
be reliant on,"信赖,依靠"
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
in a bid to, 为了；试图；力求
look into,"na. 窥视；调查；过问
 研究；检查；了解"
automatization,n. 自动化
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
ratio,n. 比率，比例
droid,n. 机器人
on target,"un. 已捕获目标
 到达目标上空；论目标；射正目标"
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
prediction,n. 预报；预言
telecom,n. 电信，远距通信；电讯
catch up,"na. 与…并驾齐驱 (to with)；扰乱(说话人)
 赶上；追上；跟上"
