invite,"n. 邀请
vt. 邀请，招待；招致"
in one's opinion,"na. 据某人意见
 在……看来；在某人看来；就某人看来"
greatly,adv. 很，大大地；非常
northern,"adj. 北部的；北方的
n. 北部方言"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
beautifully,adv. 漂亮地；美好地
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
similar,"n. 类似物
adj. 相似的"
dressing,"n. 穿衣；加工；调味品；装饰；梳理
v. 给…穿衣；为…打扮（dress的现在分词）"
catwalk,n. 猫步；狭小通道；桥上人行道
cheongsam,n. 旗袍
traditional,adj. 传统的；惯例的
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
Tibetan,"n. 藏语；西藏人
adj. 西藏的；藏族的"
Korean,"adj. 韩国人的；韩国语的；朝鲜人的；朝鲜语的
n. 韩国人；韩国语；朝鲜人；朝鲜语"
decoration,n. 装饰，装潢；装饰品；奖章
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
dynasty,n. 王朝，朝代
from then on,"na. 从那时起
 从那以后；从那时开始；从此以后"
Asian,"n. 亚洲人
adj. 亚洲的；亚洲人的"
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
attractive,adj. 吸引人的；有魅力的；引人注目的
western-style,"adj. 西式
 西方款式的；西装；西式中餐"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
Mongolian,"n. 蒙古人；蒙古语
adj. 蒙古人的；蒙古语的"
above,"prep. 超过；在……上面；在……之上
n. 上文
adj. 上文的
adv. 在上面；在上文"
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
well-known,adj. 著名的；众所周知的；清楚明白的
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的"
marriage,n. 结婚；婚姻生活；密切结合，合并
celebration,n. 庆典，庆祝会；庆祝；颂扬
saleswoman,n.  女售货员； 女店员
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
as a result,"adv. 结果
 因此；结果是；作为结果"
