compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
consistent,adj. 始终如一的，一致的；坚持的
comprehensible,adj. 可理解的
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
nuance,n. 细微差别
be apt to,"v. 易于；善于
 倾向于；有……倾向的；易于……的"
droop,"n. 下垂；消沉
vt. 使…下垂
vi. 下垂；萎靡；凋萎"
eyelid,n.  眼睑；眼皮
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
idiom,n. 成语，习语；土话
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
ethnic,adj. 种族的；人种的
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
bilingual,"n. 通两种语言的人
adj. 双语的"
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
flat,"n. 平地；公寓；平面
adj. 平的；单调的；不景气的；干脆的；平坦的；扁平的；浅的
vi. 逐渐变平；以降调唱（或奏）
vt. 使变平；使（音调）下降，尤指降半音
adv. （尤指贴着另一表面）平直地；断然地；水平地；直接地，完全地"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
formula,n.  公式，准则；配方；婴儿食品
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
kinesics,n. 人体动作学；举止神态学
precise,adj. 精确的；明确的；严格的
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
interpretation,n. 解释；翻译；演出
potent,adj. 有效的；强有力的，有权势的；有说服力的
element,n. 元素；要素；原理；成分；自然环境
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
circumstance,n. 环境，情况；事件；境遇
haughty,adj. 傲慢的；自大的
secretive,adj. 秘密的；偷偷摸摸的；促进分泌的
inquisitive,adj. 好奇的；好问的，爱打听的
attentively,adv. 注意地；聚精会神地；周到地
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
leak out,"na. 漏出；泄漏
 泄露；走漏；露风"
constantly,adv. 不断地；时常地
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
tense,"n. 时态
adj. 紧张的；拉紧的
vt. 变得紧张；使拉紧
vi. 拉紧，变得紧张"
perceptible,adj. 可察觉的；可感知的；看得见的
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
consciously,adv. 自觉地；有意识地
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
rigidly,adv. 严格地；坚硬地；严厉地；牢牢地
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
standoffish,adj. 冷淡的，不友好的
compatible,adj. 兼容的；能共处的；可并立的
extrovert,n. 外向；外倾者；性格外向者（等于extravert）
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
biologist,n. 生物学家
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
quota,n. 配额；定额；限额
ignore,vt. 驳回诉讼；忽视；不理睬
dump,"n. 垃圾场；仓库；无秩序地累积
vt. 倾倒；倾卸；丢下，卸下；摆脱，扔弃；倾销
vi. 倒垃圾；突然跌倒或落下；卸货；转嫁（责任等）"
fake,"n. 假货；骗子；假动作
adj. 伪造的
vt. 捏造；假装…的样子
vi. 假装；做假动作"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
regulator,n. 调整者；监管者；校准器
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
envelop,"n. 信封；包裹
vt. 包围；包封；遮盖"
mantle,"n. 地幔；斗篷；覆盖物
vi. 覆盖；脸红
vt. 覆盖"
radiator,n. 散热器；暖气片；辐射体
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
distribute,vt. 分配；散布；分开；把…分类
originate,"vt. 引起；创作
vi. 发源；发生；起航"
hemisphere,n. 半球
make up for,"v. 偿还；赔偿
 弥补；补偿；补偿，弥补"
uneven,adj. 不均匀的；不平坦的； 奇数的
equatorial,"n. 赤道仪
adj. 赤道的，近赤道的；中纬线的"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
accomplish,vt. 完成；实现；达到
interface,"n. 界面；<计>接口；交界面
v. （使通过界面或接口）接合，连接；使联系
vi. 相互作用（或影响）；交流，交谈"
continuous,adj. 连续的，持续的；继续的；连绵不断的
interaction,"n. 相互作用； 交互作用
n. 互动"
tremendous,adj. 极大的，巨大的；惊人的；极好的
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧"
evaporation,n. 蒸发；消失
salinity,n. 盐度；盐分；盐性
variable,"n.  变量；可变物，可变因素
adj. 变量的；可变的；易变的，多变的；变异的， 畸变的"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
humidity,n.  湿度；湿气
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
cubic,adj. 立方体的，立方的
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
extent,n. 程度；范围；长度
retain,vt. 保持；雇；记住
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
modify,"vt. 修改，修饰；更改
vi. 修改"
reactor,n.  反应器； 反应堆；起反应的人
get rid of,"na. 除掉；摆脱；撵走
 除去；去掉；处理掉"
enrich,vt. 使充实；使肥沃；使富足
mighty,"adj. 有力的；强有力的；有势力的
adv. 很；极；非常
n. 有势力的人"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
dispose of,"na. 安排；解决；办妥；杀掉
 处理；除掉；处置"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
grind,"n. 磨；苦工作
vt. 磨碎；磨快
vi. 磨碎；折磨"
grind on, 无聊乏味地继续着；令人厌烦地长时间持续著
consumption,n. 消费；消耗；肺痨
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
dilemma,n. 困境；进退两难；两刀论法
harmony,n. 协调；和睦；融洽；调和
harmonious,adj. 和谐的，和睦的；协调的；悦耳的
foresight,n. 先见，远见；预见；深谋远虑
greed,n. 贪婪，贪心
contaminate,vt. 污染，弄脏
impurity,n. 杂质；不纯；不洁
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
civilization,n. 文明；文化
smog,n. 烟雾
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
stinging,adj. 激烈的；刺人的；刺一样的
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
sewage,n. 污水；下水道；污物
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
tube,"n. 管；电子管；隧道；电视机
vt. 使成管状；把…装管；用管输送
vi. 乘地铁；不及格"
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
end up,"na. 结束；完事；死；直立着
 告终；竖着；最终成为"
bulky,adj. 体积大的；庞大的；笨重的
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
flatten,"vt. 击败，摧毁；使……平坦
vi. 变平；变单调"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
ingenuity,"n. 心灵手巧，独创性；精巧；精巧的装置
n. 西门子公司将其品牌宣言“Ingenuity for life” 诠释为“博大精深 同心致远”"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
purify,"vt. 净化；使纯净
vi. 净化；变纯净"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
emit,vt. 发出，放射；发行；发表
eliminate,vt. 消除；排除
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
envious,adj. 羡慕的；嫉妒的
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
relationship,n. 关系；关联
source,n. 来源；水源；原始资料
length,n. 长度，长；时间的长短；（语）音长
navigable,adj. 可航行的；可驾驶的；适于航行的
paddle,"n. 划桨；明轮翼
vt. 拌；搅；用桨划
vi. 划桨；戏水；涉水"
canoe,"n. 独木舟；轻舟
vi. 乘独木舟
vt. 用独木舟运"
steamer,n. 轮船；蒸汽机；蒸笼
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
noted,"adj. 著名的；显著的；附有乐谱的
v. 注意；记下（note的过去式和过去分词）"
novel,"adj. 新奇的；异常的
n. 小说"
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
huge,adj. 巨大的；庞大的；无限的
tributary,"n. 支流；进贡国；附属国
adj. 纳贡的；附属的；辅助的"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
colony,n. 殖民地；移民队；种群；动物栖息地
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
threat,n. 威胁，恐吓；凶兆
pickle,"n. 泡菜；盐卤；腌制食品
vt. 泡；腌制"
biscuit,n. 小点心，饼干
demonstrate,"vt. 证明；展示；论证
vi. 示威"
occupational,adj. 职业的；占领的
ailment,n. 小病；不安
symptom,n.  症状；征兆
precipitate,"n.  沉淀物
vt. 使沉淀；促成；猛抛；使陷入
adj. 突如其来的；猛地落下的；急促的
vi.  沉淀；猛地落下；冷凝成为雨或雪等"
intercourse,n. 性交；交往；交流
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
norm,n. 标准，规范
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
series,n. 系列，连续； 串联；级数；丛书
prop,"vt. 支撑，支持，维持；使倚靠在某物上
n. 支柱，支撑物；支持者；道具；（橄榄球中的）支柱前锋"
grouse,"n. 松鸡；雷鸟科的猎鸟；怨言
vi. 埋怨"
regression,n. 回归；退化；逆行；复原
glorify,vt. 赞美；美化；崇拜（神）；使更壮丽
excessive,adj. 过多的，极度的；过分的
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
satisfactory,adj. 满意的；符合要求的；赎罪的
adjustment,n. 调整，调节；调节器
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
mentality,n. 心态； 智力；精神力；头脑作用
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
insensitive,adj. 感觉迟钝的，对…没有感觉的
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
propeller,n.  螺旋桨；推进器
remarkable,adj. 卓越的；非凡的；值得注意的
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
practically,adv. 实际地；几乎；事实上
equipment,n. 设备，装备；器材
sensor,n. 传感器
bury,vt. 埋葬；隐藏
fatality,n. 死亡；宿命；致命性；不幸；灾祸
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
dial,"n. 转盘；刻度盘；钟面
vt. 给…拨号打电话
vi. 拨号"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
via,prep. 渠道，通过；经由
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
contour,"n. 轮廓；等高线；周线；电路；概要
vt. 画轮廓；画等高线"
salient,"n. 凸角；突出部分
adj. 显著的；突出的；跳跃的"
detect,vt. 察觉；发现；探测
deviation,n. 偏差；误差；背离
collision,n. 碰撞；冲突；（意见，看法）的抵触；（政党等的）倾轧
radar,n.  雷达，无线电探测器
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
tighten,"vt. 变紧；使变紧
vi. 绷紧；变紧"
destination,n. 目的地，终点
vocal,"adj. 直言不讳的
adj. 歌唱的；声音的，有声的
n. 声乐作品；元音"
replacement,n. 更换；复位；代替者；补充兵员
