survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
isolated,"adj. 孤立的；分离的；单独的； 绝缘的
v. 使孤立；使绝缘；脱离（isolate的过去分词）"
receive,"vt. 收到；接待；接纳
vi. 接收"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
dedicate,vt. 致力；献身；题献
lend,"vt. 贷；增添，提供；把……借给
vi. 贷款"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
observation,n. 观察；监视；观察报告
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
edit,"vt. 编辑；校订
n. 编辑工作"
editor,n. 编者，编辑；社论撰写人；编辑装置
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
cite,vt. 引用；传讯；想起；表彰
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
modify,"vt. 修改，修饰；更改
vi. 修改"
modification,n. 修改，修正；改变
invent,vt. 发明；创造；虚构
invention,n. 发明；发明物；虚构；发明才能
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
creation,n. 创造，创作；创作物，产物
creativity,n. 创造力；创造性
formulate,vt. 规划；用公式表示；明确地表达
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
innovation,n. 创新，革新；新方法
innovative,adj. 革新的，创新的；新颖的；有创新精神的
assessment,n. 评定；估价
assess,vt. 评定；估价；对…征税
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
underestimate,"n. 低估
vt. 低估；看轻"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
evaluation,n. 评价； 评估；估价；求值
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
cooperation,n. 合作，协作； 协力
cooperate,vi. 合作，配合；协力
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
assistance,n. 援助，帮助；辅助设备
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
collaboration,n. 合作；勾结；通敌
collaborative,adj. 合作的，协作的
collaborate,vi. 合作；勾结，通敌
supportive,adj. 支持的；支援的；赞助的
supporter,n. 支持者；拥护者
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
widespread,adj. 普遍的，广泛的；分布广的
emission,n. （光、热等的）发射，散发；喷射；发行
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assignment,n. 分配；任务；作业；功课
distribute,vt. 分配；散布；分开；把…分类
distribution,n. 分布；分配
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
expose,vt. 揭露，揭发；使曝光；显示
exposure,n. 暴露；曝光；揭露；陈列
discover,"vi. 发现
vt. 发现；发觉"
discovery,n. 发现，发觉；被发现的事物
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
extracurricular,adj. 课外的；业余的；婚外的
pop,abbr. 卖点广告（Point of Purchase）
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
dramatically,"adv. 戏剧地；引人注目地
adv. 显著地，剧烈地"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
complaint,n. 抱怨；诉苦；疾病；委屈
ignore,vt. 驳回诉讼；忽视；不理睬
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
cultivate,vt. 培养；陶冶；耕作
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
director,n. 主任，主管；导演；人事助理
direction,n. 方向；指导；趋势；用法说明
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
guideline,"n. 指导方针
参考"
guidance,n. 指导，引导；领导
mislead,vt. 误导；带错
instruct,vt. 指导；通知；命令；教授
instruction,n. 指令，命令；指示；教导；用法说明
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
establish,"vi. 植物定植
vt. 建立；创办；安置"
establishment,n. 确立，制定；公司；设施
construct,"n. 构想，概念
vt. 建造，构造；创立"
construction,n. 建设；建筑物；解释；造句
install,vt. 安装；任命；安顿
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
critic,n. 批评家，评论家；爱挑剔的人
criticism,n. 批评；考证；苛求
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
majority,n. 多数；成年
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
essence,n. 本质，实质；精华；香精
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
significantly,adv. 显著地；相当数量地
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
vital,adj. 至关重要的；生死攸关的；有活力的
necessarily,adv. 必要地；必定地，必然地
necessity,n. 需要；必然性；必需品
primarily,adv. 首先；主要地，根本上
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
priority,n. 优先；优先权； 优先次序；优先考虑的事
basically,adv. 主要地，基本上
crucial,adj. 重要的；决定性的；定局的；决断的
grand,"n. 大钢琴；一千美元
adj. 宏伟的；豪华的；极重要的"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
core,
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
unprecedented,adj. 空前的；无前例的
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
elementary,adj. 基本的；初级的； 元素的
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
privileged,"adj. 享有特权的；有特别恩典的
v. 给予…特权；免除（privilege的过去分词）"
historic,adj. 有历史意义的；历史上著名的
possibility,n. 可能性；可能发生的事物
might,"n. 力量；威力；势力
v. 可以；或许（may的过去式）；应该
aux. 可能；也许"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
perhaps,"n. 假定；猜想；未定之事
adv. 或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许；可能"
probably,adv. 大概；或许；很可能
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
certainly,adv. 当然；行（用于回答）；必定
uncertain,adj. 无常的；含糊的；靠不住的；迟疑不决的
inevitable,adj. 必然的，不可避免的
odds,n. 几率；胜算；不平等；差别
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
seemingly,adv. 看来似乎；表面上看来
greatly,adv. 很，大大地；非常
especially,adv. 特别；尤其；格外
quite,adv. 很；相当；完全
mostly,adv. 主要地；通常；多半地
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
completely,adv. 完全地，彻底地；完整地
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
fully,adv. 充分地；完全地；彻底地
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
extremely,adv. 非常，极其；极端地
largely,adv. 主要地；大部分；大量地
highly,adv. 高度地；非常；非常赞许地
heavily,adv. 沉重地；猛烈地；沉闷地
fairly,adv. 相当地；公平地；简直
absolutely,adv. 绝对地；完全地
intense,adj. 强烈的；紧张的；非常的；热情的
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
rapid,"n. 急流；高速交通工具，高速交通网
adj. 迅速的，急促的；飞快的；险峻的"
urgent,adj. 紧急的；急迫的
urgency,n. 紧急；催促；紧急的事
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
rigorous,adj. 严格的，严厉的；严密的；严酷的
strict,adj. 严格的；绝对的；精确的；详细的
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
tight,"adj. 紧的；密封的；绷紧的；麻烦的；严厉的；没空的；吝啬的
adv. 紧紧地；彻底地"
tighten,"vt. 变紧；使变紧
vi. 绷紧；变紧"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
grim,adj. 冷酷的；糟糕的；残忍的
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
overwhelmingly,adv. 压倒性地；不可抵抗地
thorough,adj. 彻底的；十分的；周密的
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
percentage,n. 百分比；百分率，百分数
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
aspect,n. 方面；方向；形势；外貌
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
partly,adv. 部分地；在一定程度上
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
element,n. 元素；要素；原理；成分；自然环境
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
segment,"n. 段；部分
vt. 分割
vi. 分割"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
point,"n. 要点；得分；标点； 尖端
vt. 指向；弄尖；加标点于
vi. 表明；指向"
attention,n. 注意力；关心；立正！（口令）
devote,vt. 致力于；奉献
emphasis,n. 重点；强调；加强语气
emphasize,vt. 强调，着重
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
reduction,n. 减少；下降；缩小；还原反应
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
lessen,"vt. 使…变小；使…减轻；使…变少
vi. 减少；减轻；变小"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
concept,n. 观念，概念
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
notion,n. 概念；见解；打算
remind,vt. 提醒；使想起
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
artistic,adj. 艺术的；风雅的；有美感的
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
imagination,n.  想象力；空想；幻想物
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
myth,n. 神话；虚构的人，虚构的事
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
sort,"n. 种类；方式；品质
vt. 将…分类；将…排序；挑选出某物
vi. 分类；协调；交往"
variety,n. 多样；种类；杂耍；变化，多样化
species,"n.  物种；种类
adj. 物种上的"
category,n. 种类，分类； 范畴
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
merely,adv. 仅仅，只不过；只是
least,"adj. 最小的；最少的（little的最高级）
adv. 最小；最少
n. 最小；最少"
slightly,adv. 些微地，轻微地；纤细地
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
rare,"adj. 稀有的；稀薄的；半熟的
adj. 杰出的；极度的；非常好的
adv. 非常；极其
vi. 用后腿站起；渴望"
tiny,adj. 微小的；很少的
subtle,adj. 微妙的；精细的；敏感的；狡猾的；稀薄的
seldom,adv. 很少，不常
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
somehow,adv. 以某种方法；莫名其妙地
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
leadership,n. 领导能力；领导阶层
humanity,n. 人类；人道；仁慈；人文学科
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
courage,n. 勇气；胆量
honest,adj. 诚实的，实在的；可靠的；坦率的
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
flexible,adj. 灵活的；柔韧的；易弯曲的
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
clearly,adv. 清晰地；明显地；无疑地；明净地
simply,adv. 简单地；仅仅；简直；朴素地；坦白地
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
obvious,adj. 明显的；显著的；平淡无奇的
obviously,"adv. 明显地
显然地"
apparently,adv. 显然地；似乎，表面上
apparent,adj. 显然的；表面上的
definitely,adv. 清楚地，当然；明确地，肯定地
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
connection,n. 连接；关系；人脉；连接件
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
relation,n. 关系；叙述；故事；亲属关系
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
tie,"n. 领带；平局；鞋带；领结；不分胜负
vi. 打结；不分胜负；被用带（或绳子等）系住
vt. 系；约束；打结；与…成平局"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
irrelevant,adj. 不相干的；不切题的
parental,adj. 父母亲的，父母的；亲代的，亲本的
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
correlation,n.  相关，关联；相互关系
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
balance,"n. 平衡；余额；匀称
vt. 使平衡；结算；使相称
vi. 保持平衡；相称；抵销"
freedom,n. 自由，自主；直率
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
well-being,n. 幸福；康乐
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
relief,n. 救济；减轻，解除；安慰；浮雕
readily,adv. 容易地；乐意地；无困难地
convenient,adj. 方便的；适当的；近便的；实用的
convenience,n. 便利；厕所；便利的事物
alleviate,vt. 减轻，缓和
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
cozy,"n. 保温罩
vt. 蒙骗；抚慰
adj. 舒适的；安逸的"
nearly,adv. 差不多，几乎；密切地
generally,adv. 通常；普遍地，一般地
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
widely,adv. 广泛地
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
virtually,adv. 事实上，几乎；实质上
roughly,adv. 粗糙地；概略地
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
whereas,conj. 然而；鉴于；反之
nonetheless,adv. 尽管如此，但是
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
typical,adj. 典型的；特有的；象征性的
typically,adv. 代表性地；作为特色地
specifically,adv. 特别地；明确地
specialty,"n. 专业，专长；特产；特性；招牌菜
adj. 特色的；专门的；独立的"
exotic,adj. 异国的；外来的；异国情调的
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
bizarre,adj. 奇异的（指态度，容貌，款式等）
fancy,"n. 幻想；想象力；爱好
adj. 想象的；奇特的；昂贵的；精选的
vt. 想象；喜爱；设想；自负
vi. 幻想；想象"
effort,n. 努力；成就
labor,"n. 劳动；工作；劳工；分娩
vi. 劳动；努力；苦干
vt. 详细分析；使厌烦"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
strive,vi. 努力；奋斗；抗争
entire,adj. 全部的，整个的；全体的
entirely,adv. 完全地，彻底地
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
totally,adv. 完全地
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
achievement,n. 成就；完成；达到；成绩
reputation,n. 名声，名誉；声望
accomplish,vt. 完成；实现；达到
award,"n. 奖品；判决
vt. 授予；判定"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
celebrity,n. 名人；名声
breakthrough,n. 突破；突破性进展
known,"adj. 已知的；知名的；大家知道的
v. 知道（know的过去分词）"
milestone,n. 里程碑，划时代的事件
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
diverse,adj. 不同的；多种多样的；变化多的
diversity,n. 多样性；差异
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
distinction,n. 区别；差别；特性；荣誉、勋章
distinct,adj. 明显的；独特的；清楚的；有区别的
distinctive,adj. 有特色的，与众不同的
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
expansion,n. 膨胀；阐述；扩张物
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extended,"v. 延长；扩充（extend的过去分词）
adj. 延伸的；扩大的；长期的；广大的"
extensive,adj. 广泛的；大量的；广阔的
broad,"n. 宽阔部分
adj. 宽的，辽阔的；显著的；大概的
adv. 宽阔地"
broaden,"vt. 使扩大；使变宽
vi. 扩大，变阔；变宽，加宽"
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
accumulate,"vt. 积攒
vi. 累积；积聚"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
widen,"vt. 放宽
vi. 变宽"
prolong,vt. 延长；拖延
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
tendency,n. 倾向，趋势；癖好
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
fashionable,adj. 流行的；时髦的；上流社会的
popularity,n. 普及，流行；名气；受大众欢迎
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
energy,n.  能量；精力；活力；精神
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
recovery,n. 恢复，复原；痊愈；重获
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
rely,vi. 依靠；信赖
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
incredibly,adv. 难以置信地；非常地
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
truly,adv. 真实地，不假；真诚地
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
independence,n. 独立性，自立性；自主
duty,n. 责任； 关税；职务
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
responsibility,n. 责任，职责；义务
responsible,adj. 负责的，可靠的；有责任的
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
ought,"aux. 应该，应当；大概
vi. 应该，应当；大概"
obligation,n. 义务；职责；债务
involve,vt. 包含；牵涉；使陷于；潜心于
involvement,n. 牵连；包含；混乱；财政困难
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
consist,vi. 由…组成；在于；符合
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intelligent,adj. 智能的；聪明的；理解力强的
talent,n. 才能；天才；天资
talented,adj. 有才能的；多才的
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
insight,n. 洞察力；洞悉
profound,adj. 深厚的；意义深远的；渊博的
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
wisdom,n. 智慧，才智；明智；学识；至理名言
clever,"adj. 聪明的；机灵的；熟练的
"
genius,n. 天才，天赋；精神
similarity,n. 类似；相似点
