recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
confer,"vt. 授予；给予
vi. 协商"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
infer,"vi. 推断；作出推论
vt. 推断；推论"
inference,n. 推理；推论；推断
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
referendum,n. 公民投票权；外交官请示书
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transference,n. 转移；转让；调任
second,"num. 第二
n. 秒；第二名；瞬间；二等品
adj. 第二的；次要的；附加的
vt. 支持
adv. 第二；其次；居第二位"
secondary,"n. 副手；代理人
adj. 第二的；中等的；次要的；中级的"
secondly,adv. 其次；第二
consecutive,adj. 连贯的；连续不断的
execute,vt. 实行；执行；处死
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
persecute,vt. 迫害；困扰；同…捣乱
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
fact,n. 事实；实际；真相
faction,n. 派别；内讧；小集团；纪实小说
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
defective,"n. 有缺陷的人；不完全变化词
adj. 有缺陷的；不完美的"
infect,vt. 感染，传染
infectious,adj. 传染的；传染性的；易传染的
factory,n. 工厂；制造厂；代理店
artifact,n. 人工制品；手工艺品
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
manufacturer,n. 制造商； 厂商
lecture,"n. 演讲；讲稿；教训
vt. 演讲；训诫
vi. 讲课；讲演"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
allege,vt. 宣称，断言；提出…作为理由
allegedly,adv. 依其申述；据说，据称
legend,n. 传奇；说明；图例；刻印文字
migrate,"vi. 移动；随季节而移居；移往
vt. 使移居；使移植"
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
immigrate,"vi. 移入
vt. 使移居入境"
emigrate,"vi. 移居；移居外国
vt. 移民"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
emigrant,"n. 移民；侨民
adj. 移民的；移居的"
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
obstacle,n. 障碍，干扰；妨害物
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
inhibit,vt. 抑制；禁止
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
stifle,"n. （马等的）后膝关节；（马等的） 后膝关节病
vt. 扼杀；使窒息；藏匿
vi. 窒息；被扼杀"
strangle,"vt. 把…勒死；使…窒息
vi. 窒息而死；被勒死"
stimulus,n. 刺激；激励；刺激物
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
strive,vi. 努力；奋斗；抗争
debris,n. 碎片，残骸
inertia,n.  惯性；惰性，迟钝；不活动
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
robust,adj. 强健的；健康的；粗野的；粗鲁的
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
brink,n. （峭壁的）边缘
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
endow,vt. 赋予；捐赠；天生具有
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
bestow,vt. 使用；授予；放置；留宿
sarcasm,n. 讽刺；挖苦；嘲笑
satire,n. 讽刺；讽刺文学，讽刺作品
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
flatter,vt. 奉承；谄媚；使高兴
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
suitable,adj. 适当的；相配的
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
sue,"vt. 控告；请求
vi. 控告；提出请求"
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
pursuit,n. 追赶，追求；职业，工作
universe,n. 宇宙；世界；领域
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
anniversary,n. 周年纪念日
avert,vt. 避免，防止；转移
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
conversion,n. 转换；变换； 兑换；改变信仰
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
diversion,n. 转移；消遣；分散注意力
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
reversible,"adj. 可逆的；可撤消的；可反转的
n. 双面布料"
revert,"n. 恢复原状者
vt. 使回复原状
vi. 回复；重提；返祖遗传；归还"
traverse,"n. 穿过；横贯；横木
vt. 穿过；反对；详细研究；在…来回移动
vi. 横越；旋转；来回移动
adj. 横贯的"
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
version,n. 版本；译文；倒转术
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
adversary,n. 对手；敌手
conversely,adv. 相反地
versus,prep. 对；与...相对；对抗
diverse,adj. 不同的；多种多样的；变化多的
versatile,adj. 多才多艺的；通用的，万能的；多面手的
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
equality,n. 平等；相等； 等式
adequate,adj. 充足的；适当的；胜任的
inadequate,adj. 不充分的，不适当的
equate,"vt. 使相等；视为平等
vi. 等同"
equation,n. 方程式，等式；相等； 反应式
equator,n. 赤道
equity,n. 公平，公正；衡平法；普通股；抵押资产的净值
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
exit,"n. 出口，通道；退场
vi. 退出；离去"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
initially,adv. 最初，首先；开头
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
transit,"n. 运输；经过
vt. 运送
vi. 经过"
transition,n. 过渡；转变； 转换；变调
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
motel,n. 汽车旅馆
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
motivate,vt. 刺激；使有动机；激发…的积极性
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
mobile,"adj. 可移动的；机动的；易变的；非固定的
n. 运动物体"
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
mobilise,"vt. 动员；调动；使流通
vi. 动员起来（等于mobilize）"
mob,"n. 暴民，暴徒；民众；乌合之众
vt. 大举包围，围攻；蜂拥进入
vi. 聚众生事，聚众滋事"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
regulate,vt. 调节，规定；控制；校准；有系统的管理
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
regulatory,adj. 管理的；控制的；调整的
deregulate,"vt. 解除对……的管制
vi. 解除控制"
deregulation,n. 违反规定，反常；撤消管制规定
regal,adj. 帝王的；王室的；豪华的；庄严的
regime,n. 政权，政体；社会制度；管理体制
regiment,"n. 团；大量
vt. 把…编成团；严格地管制"
region,n. 地区；范围；部位
realm,n. 领域，范围；王国
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
royalty,n. 皇室；版税；王权；专利税
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
sovereignty,n. 主权；主权国家；君主；独立国
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
author,"n. 作者；作家；创始人
vt. 创作出版"
authority,n. 权威；权力；当局
authorize,vt. 批准，认可；授权给；委托代替
authorise,vt. 授权；批准；允许；委任（等于authorize）
authentic,adj. 真正的，真实的；可信的
authenticity,n. 真实性，确实性；可靠性
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
recyclable,adj. 可回收利用的；可再循环的
encyclopedia,n. 百科全书（亦是encyclopaedia）
encyclopaedia,n. 百科全书
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
novel,"adj. 新奇的；异常的
n. 小说"
anew,adv. 重新；再
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
renewable,"n. 再生性能源
adj. 可再生的；可更新的；可继续的"
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
innovation,n. 创新，革新；新方法
renovate,vt. 更新；修复；革新；刷新
compete,vi. 竞争；比赛；对抗
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
impetus,n. 动力；促进；冲力
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
perpetual,adj. 永久的；不断的；四季开花的；无期限的
geography,n. 地理；地形
graph,"n. 图表；曲线图
vt. 用曲线图表示"
graphic,adj. 形象的；图表的；绘画似的
bibliography,n. 参考书目；文献目录
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
disclose,vt. 公开；揭露
disclosure,n.  披露；揭发；被揭发出来的事情
enclose,vt. 围绕；装入；放入封套
enclosure,n. 附件；围墙；围场
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
accordingly,adv. 因此，于是；相应地；照著
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accordance,n. 一致；和谐
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
intricate,adj. 复杂的；错综的，缠结的
coup,"n. 政变；妙计；出乎意料的行动；砰然的一击
vt. 使…颠倒；使…倾斜
vi. 推倒；倾斜；溢出"
coalition,n. 联合；结合，合并
bloc,n. 集团
turmoil,n. 混乱，骚动
pact,n. 协定；公约；条约；契约
errand,n. 使命；差事；差使
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
hierarchy,n. 层级；等级制度
hierarchical,adj. 分层的；等级体系的
wield,vt. 使用；行使；挥舞
decree,"n. 法令；判决
vt. 命令；颁布；注定；判决
vi. 注定；发布命令"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
franchise,"n. 特权；公民权；经销权；管辖权
vt. 给…以特许（或特权）；赋予公民权"
monarchy,n. 君主政体；君主国；君主政治
prestige,n. 威望，声望；声誉
monetary,adj. 货币的；财政的
dole,"n. 失业救济金；赈济物；施舍品
vt. 发放救济；以小份发给"
monopoly,n. 垄断；垄断者；专卖权
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
inventory,n. 存货，存货清单；详细目录；财产清册
audit,"n. 审计； 查账
vt. （美）旁听
vi. 审计； 查账"
appropriation,n. 拨款；挪用
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
oath,n. 誓言，誓约；诅咒，咒骂
magistrate,n. 地方法官；文职官员；治安推事
stipulate,"adj. 有托叶的
vi. 规定；保证
vt. 规定；保证"
illicit,adj. 违法的；不正当的
waive,vt. 放弃；搁置
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
parole,"n. 语言；誓言，诺言；释放宣言
vt. 有条件释放，假释；使假释出狱；宣誓后释放"
custody,n. 保管；监护；拘留；抚养权
jargon,n. 行话，术语；黄锆石
obedient,adj. 顺从的，服从的；孝顺的
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
escalator,n. （美）自动扶梯；电动扶梯
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
ascent,n. 上升；上坡路；登高
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
transcend,vt. 胜过，超越
maintain,vt. 维持；继续；维修；主张；供养
maintenance,n. 维护，维修；保持；生活费用
detain,vt. 拘留；留住；耽搁
detention,n. 拘留；延迟；挽留
retain,vt. 保持；雇；记住
retention,n. 保留；扣留，滞留；记忆力；闭尿
sustain,vt. 维持；支撑，承担；忍受；供养；证实
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
tenure,"n. 任期；占有
vt. 授予…终身职位"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
expend,vt. 花费；消耗；用光；耗尽
expenditure,n. 支出，花费；经费，消费额
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compensation,n. 补偿；报酬；赔偿金
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
append,"n. 设置数据文件的搜索路径
vt. 附加；贴上；盖章"
appendix,n. 附录；阑尾；附加物
pendulum,n. 钟摆；摇锤；摇摆不定的事态
perpendicular,"n. 垂线；垂直的位置
adj. 垂直的，正交的；直立的；陡峭的"
pending,"prep. 在…期间；直到…时为止；在等待…之际
v. 待定；悬而不决（pend的ing形式）
adj. 未决定的；行将发生的"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
suspension,n. 悬浮；暂停；停职
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
lighten,"vi. 减轻；发亮
vt. 使照亮；使轻松"
enlighten,vt. 启发，启蒙；教导，开导；照耀
ball,"n. 球；舞会
vt. 捏成球形
vi. 成团块"
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
belly,"n. 腹部；胃；食欲
vt. 使鼓起
vi. 涨满；鼓起"
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
occur,vi. 发生；出现；存在
occurrence,n. 发生；出现；事件；发现
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
currency,n. 货币；通货
concur,vi. 同意；一致；互助
concurrent,"n.  共点；同时发生的事件
adj. 并发的；一致的；同时发生的"
incur,vt. 招致，引发；蒙受
recur,vi. 复发；重现；采用；再来；循环；递归
same,"adj. 相同的；同一的；上述的（通常与the连用）；无变化的
adv. 同样地（通常与the连用）
pron. 同样的事物或人（通常与the连用）"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
assembly,n. 装配；集会，集合
resemble,vt. 类似，像
resemblance,n. 相似；相似之处；相似物；肖像
similar,"n. 类似物
adj. 相似的"
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
simultaneous,"n. 同时译员
adj. 同时的；联立的；同时发生的"
pre,abbr. 炼油工程师（Petroleum Refining Engineer）
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
priority,n. 优先；优先权； 优先次序；优先考虑的事
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
primarily,adv. 首先；主要地，根本上
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
memory,n. 记忆，记忆力；内存， 存储器；回忆
commemorate,vt. 庆祝，纪念；成为…的纪念
memo,n. 备忘录
memorial,"n. 纪念碑，纪念馆；纪念仪式；纪念物
adj. 记忆的；纪念的，追悼的"
memorize,vt. 记住，背熟；记忆
memorise,vt. （英）记忆；存储（等于memorize）
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
respective,adj. 分别的，各自的
respectful,adj. 恭敬的；有礼貌的
respectable,"n. 可敬的人
adj. 值得尊敬的；人格高尚的；相当数量的"
respected,"v. 尊敬；重视（respect的过去式和过去分词）
adj. 受尊敬的"
irrespective,adj. 无关的；不考虑的；不顾的
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
victory,n. 胜利；成功；克服
convince,vt. 说服；使确信，使信服
victorious,adj. 胜利的；凯旋的
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
maritime,adj. 海的；海事的；沿海的；海员的
loot,"n. 战利品；抢劫；掠夺品
vt. 抢劫，洗劫；强夺
vi. 洗劫，掠夺；抢劫"
trophy,"n. 奖品；战利品；纪念品
vt. 用战利品装饰
adj. 显示身份的；有威望的"
militia,n. 民兵组织；自卫队；义勇军；国民军
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
brigade,"n. 旅；大部队；队列
vt. 把…编成旅；把…编成队"
squad,"n. 班；小队；五人组（篮球队的非正式说法）
vt. 把…编成班；把…编入班"
barracks,"n. 兵营，营房；简陋的房子；警察所（barrack的复数）
v. 使驻扎军营里；住在工房、棚屋里；（澳）大声鼓噪（barrack的三单形式）"
colonel,n. 陆军上校
lieutenant,n. 中尉；副官；助理人员
sergeant,n. 军士；警察小队长；海军陆战队中士；高等律师
artillery,n. 火炮；大炮；炮队；炮术
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
armor,"n.  装甲；盔甲
vt. 为…装甲"
armour,n. 盔甲；装甲；护面
ammunition,"n. 弹药；军火
vt. 装弹药于
vi. 装弹药"
dart,"vt. 投掷，投射；使迅速突然移动
vi. 向前冲，飞奔
n. 飞镖，标枪；急驰，飞奔；（虫的）螯；飞快的移动"
salute,"n. 致敬，欢迎；敬礼
vt. 行礼致敬，欢迎
vi. 致意，打招呼；行礼"
morale,n. 士气，斗志
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
appease,vt. 使平息；使满足；使和缓；对…让步
curfew,n. 宵禁；宵禁令；晚钟；打晚钟时刻
martyr,"vt. 牺牲；折磨；杀害
n. 烈士；殉道者"
casualty,n. 意外事故；伤亡人员；急诊室
catastrophe,n. 大灾难；大祸；惨败
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
astronomy,n. 天文学
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
axis,n. 轴；轴线；轴心国
latitude,n. 纬度；界限；活动范围
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
strait,"n. 海峡；困境
adj. 狭窄的；苦恼的"
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
hurricane,n. 飓风，暴风
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
vicinity,n. 邻近，附近；近处
compel,vt. 强迫，迫使；强使发生
compulsion,n. 强制；强迫；强制力
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
expel,vt. 驱逐；开除
propel,vt. 推进；驱使；激励；驱策
repel,vt. 击退；抵制；使厌恶；使不愉快
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
crackdown,n. 镇压；（美）制裁；强制取缔；惩罚
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
long,"n. 长时间； 长音节；（服装的）长尺寸；长裤
adj. 长的；过长的；做多头的；长时间的；冗长的，长音
vi. 渴望；热望
adv. 长期地；始终"
longitude,n.  经度；经线
longevity,n. 长寿，长命；寿命
prolong,vt. 延长；拖延
length,n. 长度，长；时间的长短；（语）音长
lengthy,adj. 漫长的，冗长的；啰唆的
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
alter,"vt. 改变，更改
vi. 改变；修改"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
alienate,vt. 使疏远，离间；让与
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
intervene,vi. 干涉；调停；插入
venue,n. 审判地；犯罪地点；发生地点；集合地点
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
revenue,n. 税收，国家的收入；收益
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
ventilate,vt. 使通风；给…装通风设备；宣布
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
stationary,"n. 不动的人；驻军
adj. 固定的；静止的；定居的；常备军的"
stationery,n. 文具；信纸
statue,"n. 雕像，塑像
vt. 以雕像装饰"
estate,n. 房地产；财产；身份
static,"n. 静电；静电干扰
adj. 静态的；静电的；静力的"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
instantaneous,adj. 瞬间的；即时的；猝发的
stance,n. 立场；姿态；位置；准备击球姿势
instance,"n. 实例；情况；建议
vt. 举...为例"
constitute,vt. 组成，构成；建立；任命
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
constitutional,"n. 保健散步；保健运动
adj. 宪法的；本质的；体质上的；保健的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
institutional,"adj. 制度的；制度上的
学会的；由来已久的； 习以为常的
公共机构的； 慈善机构的"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
substitution,n. 代替； 置换；代替物
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
clamp,"n. 夹钳，螺丝钳
vt. 夹紧，固定住"
clasp,"n. 扣子，钩子；握手
vt. 紧抱；扣紧；紧紧缠绕
vi. 扣住"
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
cling,vi. 坚持，墨守；紧贴；附着
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
bankruptcy,n. 破产
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
