ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
phoenix,n. 凤凰；死而复生的人
predator,n.  捕食者； 食肉动物；掠夺者
raven,"n. 掠夺，劫掠；大乌鸦
adj. 乌黑的
vt. 掠夺；狼吞虎咽
vi. 掠夺；狼吞虎咽"
ambush,"n. 埋伏，伏击；伏兵
vt. 埋伏，伏击
vi. 埋伏"
archer,n. 弓箭手
batsman,n. 击球手，打者
bout,n. 回合；较量；发作；一阵
dexterity,n. 灵巧；敏捷；机敏
exodus,n. 《出埃及记》（《圣经》第二卷）
firing,"n. 开火；烧制；解雇；生火
v. 开火；烧制；解雇（fire的ing形式）；点燃；激励"
fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
impetus,n. 动力；促进；冲力
inertia,n.  惯性；惰性，迟钝；不活动
jolt,"vt. 使颠簸；使震惊；使摇动
vi. 摇晃；颠簸而行
n. 颠簸；摇晃；震惊；严重挫折"
mountaineer,"n. 登山家，登山运动员；山地人
vi. 登山"
racecourse,n. 赛马场，跑马场；跑道
tee,"n. 球座；字母T；T形物
adj. T字形的
vt. 搁在球座上
vi. 放球于球座上"
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
antibiotic,"n. 抗生素，抗菌素
adj. 抗生的；抗菌的"
booster,n. 升压机；支持者；扩爆器
burnout,n. 烧坏；燃料烧尽
cavity,n. 腔；洞，凹处
childbearing,n. 分娩；生子
complexion,"n. 肤色；面色；情况；局面
vt. 使增添色彩"
diarrhea,n. 腹泻，痢疾
diarrhoea,n. 腹泻
extraction,n. 取出；抽出；拔出；抽出物；出身
gland,"n. 腺
密封压盖"
hype,"n. 大肆宣传；皮下注射
vt. 大肆宣传；使…兴奋"
indigestion,n. 消化不良；不消化
maternity,"n. 母性，母道； 妇产科医院
adj. 产科的；产妇的，孕妇的"
paralysis,n. 麻痹；无力；停顿
penis,n. 阳物； 阴茎
piss,"n. 小便
vt. 撒尿弄脏
vi. 小便
int. 呸！"
spasm,n.  痉挛；抽搐；一阵发作
sperm,n. 精子；精液；鲸蜡油
affinity,n. 密切关系；吸引力；姻亲关系；类同
antagonism,n. 对抗，敌对；对立；敌意
aversion,n. 厌恶；讨厌的人
brutality,n. 无情；残忍；暴行（需用复数形式）
composure,n. 镇静；沉着
dishonesty,n. 不诚实；欺诈；不正直
disquiet,"n. 担心，不安；焦虑，忧虑
vt. 使不安；使担心，使忧虑"
fervor,n. 热情；热烈；热心；炽热
fidelity,n. 保真度；忠诚；精确；尽责
foresight,n. 先见，远见；预见；深谋远虑
frenzy,"n. 狂暴；狂怒；暴怒
vt. 使发狂；使狂怒"
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
grievance,n. 不满，不平；委屈；冤情
heartache,n. 心痛；悲叹
heartbreak,n. 心碎；伤心事
hysteria,n. 癔病，歇斯底里；不正常的兴奋
inducement,n. 诱因，刺激物
ingratitude,n. 忘恩负义
inhibition,n. 抑制；压抑；禁止
leaning,"n. 倾向，爱好；倾斜
v. 倚靠（lean的ing形式）"
mania,n. 狂热；狂躁；热衷
outburst,n. （火山、情感等的）爆发；破裂
perplexity,n. 困惑；混乱
poise,"n. 平衡；姿势；镇静
vi. 平衡；准备好；悬着
vt. 使平衡；保持...姿势"
reassurance,n. 使安心，再保证
resonance,n.  共振；共鸣；反响
screaming,"n. 尖叫声；啸声；振动
v. 尖叫；大笑；呼啸着前进（scream的ing形式）
adj. 尖叫的；使人惊叹的；使人捧腹大笑的"
solemnity,n. 严肃；庄严；一本正经
timidity,n. 胆怯，胆小；羞怯
trance,"n. 恍惚；出神；着迷，入迷
vt. 使恍惚；使发呆"
tranquility,n. 宁静；平静
whim,n. 奇想；一时的兴致；怪念头；幻想
accompanist,n. 伴奏者；伴随者
caricature,"n. 漫画；讽刺画；漫画手法
vt. 画成漫画讽刺"
handiwork,n. 手工艺； 手工制品；行为后果
modernism,n. 现代主义；现代思想；现代作风
modernist,"n. 现代主义者；现代主义艺术家
adj. 现代主义的"
octave,"n. 八度音阶；八行诗；十四行诗的前八行；八个一组的事物
adj. 八个一组的；高八度音的"
pastel,"n. 粉蜡笔；粉蜡笔画
adj. 柔和的；彩色蜡笔的，粉蜡笔的"
subculture,"n. 亚文化群
vt. 作再次培养"
aesthetics,n. 美学；美的哲学
antonym,n.  反义词
archive,"n. 档案馆；档案文件
vt. 把…存档"
baptism,n. 洗礼；严峻考验
cliché,
commencement,n. 开始，发端；毕业典礼
contemplation,n. 沉思；注视；意图
generality,n. 概论；普遍性；大部分
glossary,n. 术语（特殊用语）表；词汇表；专业词典
martyr,"vt. 牺牲；折磨；杀害
n. 烈士；殉道者"
mosque,n. 清真寺
nuance,n. 细微差别
orthodoxy,n. 正统；正教；正统说法
parenthesis,"n. 插入语,插入成分
n. 圆括号
n. 间歇，插曲"
particularity,n. 特质；个性；讲究
recitation,n. 背诵；朗诵；详述；背诵的诗
reviewer,n. 评论者，评论家
shorthand,"n. 速记；速记法
adj. 速记法的"
skeptic,"n. 怀疑论者；怀疑者；无神论者
sceptic（英）"
synthesis,n. 综合， 合成；综合体
continuance,n. 持续；停留；续篇；诉讼延期
countdown,n. 倒数计秒
noonday,"n. 中午
adj. 正午的（等于midday）"
onset,n. 开始，着手；发作；攻击，进攻
outset,n. 开始；开端
peacetime,"n. 平时；和平时期
adj. 平时的；和平时期的"
semester,n. 学期；半年
showdown,n. 摊牌；紧要关头；最后一决胜负
ammonia,n.  氨，阿摩尼亚
cascade,"n. 小瀑布，瀑布状物；串联
vi. 像瀑布般大量倾泻下来
vi. 像瀑布般悬挂着"
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
gravitation,n. 重力；万有引力；地心吸力
iceberg,n.  冰山；显露部分
lilac,"n. 淡紫色；丁香花； 紫丁香
adj. 淡紫色的"
manure,"vt. 施肥于；耕种
n. 肥料；粪肥"
naturalist,"n. 自然主义者；博物学者；（英）动物标本剥制者；买卖玩赏动物的商人
adj. 自然的（等于naturalistic）；自然主义的；博物学的"
upheaval,n. 剧变；隆起；举起
vintage,"n. 葡萄收获期；葡萄酒酿造期
adj. 古老的；最佳的；过时的
vt. 采葡萄；用葡萄酿酒
vi. 采葡萄"
backup,"n. 支持；后援；阻塞
adj. 支持的；候补的
vt. 做备份"
beige,"n. 米黄色
adj. 浅褐色的；米黄色的；枯燥乏味的"
bingo,n. 宾戈游戏
coexistence,n. 共存；和平共处；并立
cohesion,n. 凝聚；结合； 内聚力
compression,n. 压缩，浓缩；压榨，压迫
concord,n. 和谐；和睦；一致；协调
confidentiality,n. 机密， 机密性
connector,n. 连接器，连接头
conveyance,n. 运输；运输工具；财产让与
eminence,n. 显赫；卓越；高处
facing,n. 饰面；衣服等的贴边
fraternity,n. 友爱；兄弟会；互助会；大学生联谊会
furnishing,"n. 供给；装备；服饰；家俱
v. 供给；装备；陈设（furnish的ing形式）"
lather,"n. 肥皂泡；激动
vt. 涂以肥皂泡；使紧张；狠狠地打
vi. 起泡沫"
liaison,n. 联络；（语言）连音
magnificence,n. 壮丽；宏伟；富丽堂皇
millstone,n. 磨石；重担
parody,"n. 拙劣的模仿；诙谐的改编诗文
vt. 拙劣模仿"
pawn,"n. 典当；抵押物；兵，卒；人质
vt. 当掉；以……担保"
payoff,"adj. 支付的；决定性的；产生结果的
n. 报酬；结果；发工资；结算"
petticoat,"n. 衬裙；裙子
adj. 女性的"
propriety,n. 适当；礼节；得体
regulator,n. 调整者；监管者；校准器
sedan,n. 轿车；轿子
selector,n. 选择器；挑选者
semblance,n. 外貌；假装；类似
shipwreck,"n. 海难；遇难船
vt. 使失事；使毁灭；使失败"
stopover,n. 中途停留
stoppage,n. 停止；故障；罢工；堵塞；扣留
subdivision,n. 细分；分部；供出卖而分成的小块土地
tab,"n. 标签；制表；帐单
vt. 给…贴标签"
tangle,"n. 纠纷；混乱状态
vt. 使纠缠；处于混乱状态
vi. 缠结；乱作一团"
tint,"n. 色彩；浅色
vt. 染（发）；给…着色"
advocacy,n. 主张；拥护；辩护
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
affiliation,n. 友好关系；加入；联盟；从属关系
affluence,n. 富裕；丰富；流入；汇聚
appropriation,n. 拨款；挪用
birthright,n. 与生俱来的权利；长子继承权
borrowing,"n. 借款；借用
v. 借入；采用（borrow的ing形式）"
bourgeois,"n. 资本家；九点活字；中产阶级的人；追求物质享受和社会地位者
adj. 资产阶级的；中产阶级的；贪图享受的"
centralization,n. 集中化；中央集权管理
conjunction,n. 结合； 连接词；同时发生
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
deterrent,"n. 威慑；妨碍物；挽留的事物
adj. 遏制的，威慑的；制止的"
dominion,n. 主权，统治权；支配；领土
embargo,"vt. 禁止出入港口；禁止或限制贸易；征用或扣押
n. 禁令；禁止；封港令"
envoy,n. 使者；全权公使
influx,n. 流入；汇集；河流的汇集处
interrogation,n. 讯问；审问； 疑问句
misconduct,"n. 不端行为；处理不当
vt. 处理不当；行为不检"
moratorium,n. 暂停，中止； 延期偿付
outcry,n. 强烈抗议；大声疾呼；尖叫；倒彩
partisan,"n. 游击队；虔诚信徒；党羽
adj. 党派的；效忠的；偏袒的；盲目推崇的"
proponent,n. 支持者；建议者；提出认证遗嘱者
proxy,n. 代理人；委托书；代用品
rebirth,n. 再生；复兴
remittance,n. 汇款；汇寄之款；汇款额
retrieval,n. 检索；恢复；取回；拯救
socialization,n. 社会化，社会主义化
solidarity,n. 团结，团结一致
speculator,n. 投机者；思索者
unionist,n. 工会会员；联合主义者
additive,"n. 添加剂，添加物
adj. 附加的； 加法的"
ale,n. 麦芽酒
carbohydrate,n.  碳水化合物； 糖类
dripping,"n. 滴；水滴；滴下物
adj. 湿淋淋的；欲滴的
v. 滴下（drip的ing形式）
adv. 欲滴地；湿淋淋地"
fixing,"n. 固定；安装；设备；修理
v. 固定（fix的现在分词）"
gin,"n. 杜松子酒；网； 三角起重机
vi. 喝杜松子酒； 用陷阱(或网)捕捉，诱捕(猎物)"
malt,"n. 麦芽；麦芽酒
adj. 麦芽的；含麦芽的，用麦芽作的
vt. 用麦芽处理"
oatmeal,n. 燕麦粥；燕麦片
ration,"n. 定量；口粮；配给量
vt. 配给；定量供应"
sustenance,n. 食物；生计；支持
allotment,n. 分配；分配物；养家费；命运
bulge,"n. 胀；膨胀；凸出部分
vt. 使膨胀；使凸起
vi. 膨胀；凸出"
discrepancy,n. 不符；矛盾；相差
exaltation,n. 得意洋洋，欣喜；提拔；举起
expectancy,n. 期望，期待
fineness,n. 美好；纯度；细微；优雅
gloss,"n. 光彩；注释；假象
vt. 使光彩；掩盖；注释"
infinity,n. 无穷；无限大；无限距
parameter,n. 参数；系数；参量
quid,n. 咀嚼物；一英镑；一镑金币
relativity,n. 相对论；相关性；相对性
variant,"n. 变体；转化
adj. 不同的；多样的"
concealment,n. 隐藏，隐蔽；隐匿处
facade,n. 正面；表面；外观
facet,"n. 面；方面；小平面
vt. 在…上琢面"
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
midland,"n. 内地；中部地方
adj. 中部的；在内陆的"
niche,"n. 壁龛；合适的职业；有利可图的市场(或形势等)
vt. 放入壁龛"
notch,"n. 刻痕，凹口；等级；峡谷
vt. 赢得；用刻痕计算；在…上刻凹痕"
proximity,n. 接近，邻近；接近；接近度，距离；亲近
quarry,"n. 采石场；猎物；来源
vt. 挖出；努力挖掘
vi. 费力地找"
repository,n. 贮藏室，仓库；知识库；智囊团
rift,"n. 裂缝；不和； 裂口
vt. 使断裂；使分开
vi. 裂开"
shroud,"n. 寿衣；覆盖物；船的横桅索； 护罩
vt. 覆盖；包以尸衣"
terminus,n. 终点；终点站；界标；界石
underside,n. 下面；阴暗面
upside,n. 优势，上面
vista,n. 远景，狭长的街景；展望；回顾
adherent,"n. 信徒；追随者
adj. 附着的；粘着的"
airman,n. 飞行员，空军士兵
antagonist,n. 敌手； 对抗肌； 拮抗物；反协同试剂
bloke,n. 家伙；小子
caddie,"n. 球童
vi. 当球童"
courier,n. 导游；情报员，通讯员；送快信的人
custodian,n. 管理人；监护人；保管人
headteacher,n. 中小学的校长
mentor,"n. 指导者，良师益友
vt. 指导"
midwife,"n. 助产士；促成因素
vt. 助胎儿出生；促成"
newsagent,n. 报刊经销商
outcast,"n. 流浪的人；被驱逐的人
adj. 被遗弃的；无家可归的；被逐出的"
pygmy,"n.  侏儒；俾格米人（一种身高不满五英尺的矮小人种）；微不足道的人
adj. 矮小的；俾格米人的"
scapegoat,"n. 替罪羊，替人顶罪者；替身
vt. 使成为…的替罪羊"
seniority,n. 长辈；老资格；前任者的特权
suitor,n. 求婚者；请愿者； 起诉人
wretch,n. 可怜的人，不幸的人；卑鄙的人
accelerator,n. 油门；催化剂； 加速装置
amber,"n. 琥珀；琥珀色
adj. 琥珀色的；琥珀制的
vt. 使呈琥珀色"
chisel,"n. 凿子
vt. 雕，刻；凿；欺骗
vi. 雕，刻；凿；欺骗"
churn,"n. 搅乳器
vt. 搅拌；搅动
vi. 搅拌；搅动"
clothespin,n. （晒衣用的）衣夹
crank,"n. 曲柄；奇想
adj. 易怒的
vt. 装曲柄"
crib,"n. 婴儿床；栅栏；食槽
vi. 剽窃
vt. 拘禁，关入栅栏；抄袭"
derivative,"n.  衍生物，派生物；导数
adj. 派生的；引出的"
detector,n. 探测器；检测器；发现者；侦察器
diesel,"n. 柴油机；柴油；（俚）健康的身体
adj. 内燃机传动的；供内燃机用的
n. 迪赛（意大利时装品牌）"
dropping,"n. 落下；空投；滴下物
v. 落下；退出（drop的ing形式）；滴入；随口漏出"
flint,n. 燧石；打火石；极硬的东西
flooring,"n. 地板；地板材料；室内地面；铺地板
v. 在…上铺地板；击败（floor的ing形式）"
frill,"n. 装饰；褶边
vt. 折成皱边
vi. 起边皱"
fuse,"n. 保险丝，熔线；导火线，雷管
vt. 使融合；使熔化，使熔融
vi. 融合；熔化，熔融"
helm,"n. 舵；舵柄；领导地位；驾驶盘
vt. 指挥；给...掌舵"
mainframe,n.  主机；大型机
mortar,"n. 迫击炮；臼，研钵；灰浆
vt. 用灰泥涂抹，用灰泥结合"
neutron,n.  中子
plaything,n. 玩物；玩具；被玩弄的人
rubble,n. 碎石，碎砖；粗石堆
semicircle,n. 半圆，半圆形
sham,"n. 假装；骗子；赝品
adj. 假的；虚假的；假装的
vt. 假装；冒充
vi. 假装；佯装"
shred,"n. 碎片；少量剩余；最少量；破布
vi. 撕碎
vt. 切成条状；用碎纸机撕毁"
slate,"n. 板岩；石板；蓝色；石片
adj. 板岩的；石板色的
vt. 铺石板；严厉批评某人；计划"
spout,"n. 喷口；水龙卷；水落管；水柱
vt. 喷出；喷射；滔滔不绝地讲；把…典当掉
vi. 喷出；喷射；滔滔不绝地讲"
stub,"n. 存根；烟蒂；树桩；断株
vt. 踩熄；连根拔除"
sulfur,"n. 硫磺；硫磺色
vt. 用硫磺处理"
transistor,n. 晶体管（收音机）
trimming,n. 整理；装饰品；配料；修剪下来的东西
varnish,"n. 亮光漆，清漆；虚饰；光泽面
vt. 装饰，粉饰；在…上涂清漆；使…有光泽"
vault,"n. 拱顶；撑竿跳；地下室
vi. 跳跃；成穹状弯曲
vt. 做成圆拱形；撑竿跳过"
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
wig,"n. 假发；要人；头脑
vt. 使戴假发；斥责
vi. 激动；发狂"
divisional,adj. 分区的；分割的
dual,"n. 双数；双数词
adj. 双的；双重的"
elevated,"n. 高架铁路
adj. 提高的；高尚的；严肃的；欢欣的
v. 提高；抬起；振奋；提拔（elevate的过去分词）"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
immovable,adj. 不动的；固定的；不改变的
interdependent,adj. 相互依赖的；互助的
intermediary,"n. 中间人；仲裁者；调解者；媒介物
adj. 中间的；媒介的；中途的"
paternal,adj. 父亲的；得自父亲的；父亲般的
pervasive,adj. 普遍的；到处渗透的；流行的
proportionate,"adj. 成比例的；相称的；适当的
vt. 使成比例；使相称"
relational,adj. 相关的；亲属的
reliant,adj. 依赖的；可靠的；信赖的
reversible,"adj. 可逆的；可撤消的；可反转的
n. 双面布料"
rotary,"n. 旋转式机器； 转缸式发动机
adj. 旋转的，转动的；轮流的"
symmetrical,adj. 匀称的，对称的
cognitive,adj. 认知的，认识的
colloquial,adj. 白话的；通俗的；口语体的
discernible,adj. 可辨别的；可识别的
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
empirical,adj. 经验主义的，完全根据经验的；实证的
existential,adj. 存在主义的；有关存在的；存在判断的
figurative,adj. 比喻的；修饰丰富的；形容多的
geometric,adj. 几何学的； 几何学图形的
investigative,adj. 研究的；调查的；好调查的
methodical,adj. 有系统的；有方法的
microscopic,adj. 微观的；用显微镜可见的
molecular,adj.  分子的；由分子组成的
monumental,adj. 不朽的；纪念碑的；非常的
mystic,"adj. 神秘的；神秘主义的
n. 神秘主义者"
mythical,adj. 神话的；虚构的
occult,"adj. 神秘的；超自然的；难以理解的
vt. 掩蔽
n. 神秘学
vi. 被掩蔽"
proverbial,adj. 谚语的；众所周知的；谚语式的
reactive,adj. 反应的；电抗的；反动的
substantive,"n. 名词性实词；独立存在的实体
adj. 有实质的；大量的；真实的；独立存在的"
utilitarian,"n. 功利主义者
adj. 功利的；功利主义的；实利的"
hale,"adj. 矍铄的（尤指老人）；强壮的
vt. 迫使；猛拉
adv. 完全地
vi. 不断流出"
injurious,adj. 有害的；诽谤的
malignant,"adj.  恶性的；有害的；有恶意的
n. 保王党员；怀恶意的人"
neurotic,"adj. 神经过敏的；神经病的
n. 神经病患者；神经过敏者"
psychiatric,adj. 精神病学的；精神病治疗的
retarded,adj. 智力迟钝的；发展迟缓的
toothless,"adj. 无牙齿的
adj. 无权势的"
appalling,"adj. 可怕的；令人震惊的
v. 使惊愕；惊吓（appal的ing形式）"
audible,"adj. 听得见的
听得见地"
awakening,"n. 觉醒；唤醒；认识
v. 唤醒；唤起（awaken的ing形式）
adj. 觉醒中的；正在产生的"
blinding,"n. 碎石子
adj. 使人眩目的；使人失去判断力的"
creepy,adj. 诡异的；令人毛骨悚然的；爬行的
eerie,adj. 可怕的；怪异的
expectant,"n. 期待者；候选人
adj. 期待的；怀孕的；预期中的"
fraught,adj. 担心的，忧虑的；充满…的
inflammatory,adj. 炎症性的；煽动性的；激动的
intriguing,"adj. 有趣的；迷人的
v. 引起…的兴趣；策划阴谋；私通（intrigue的ing形式）"
lamentable,adj. 可悲的；可怜的；哀伤的
objectionable,adj. 讨厌的；会引起反对的；有异议的
oblivious,adj. 遗忘的；健忘的；不注意的；不知道的
observant,adj. 善于观察的；机警的；严格遵守的
possessed,adj. 疯狂的；着魔的
sensual,adj. 感觉的；肉欲的；世俗的；感觉论的
unspoken,adj. 无言的；未说出口的；不言而喻的
wistful,adj. 渴望的；沉思的，默想的；引起怀念的；不满足似的
arduous,adj. 努力的；费力的；险峻的
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
bumpy,adj. 颠簸的；崎岖不平的
cellular,"n. 移动电话；单元
adj. 细胞的；多孔的；由细胞组成的"
ceremonious,adj. 隆重的；讲究仪式的；正式的
convertible,"n. 有活动折篷的汽车
adj. 可改变的；同意义的；可交换的"
creditable,adj. 可信的；声誉好的；值得称赞的
crossed,"v. 交叉；越过（cross的过去式和过去分词）
adj. 交叉的；划掉的；十字形的"
deserving,"v. 值得；应得到（deserve的现在分词）
adj. 值得的；应得的；有功的"
disorderly,"adj. 混乱的，无秩序的；骚乱的；无法无天的
adv. 杂乱地，无秩序地"
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
floppy,"n. 软磁碟
adj. 松软的；叭嗒叭嗒响的；懒散的，邋遢的"
gallant,adj. 英勇的，勇敢的；华丽的；雄伟的
ghostly,adj. 幽灵的；可怕的；影子似的
homely,adj. 家庭的；平凡的；不好看的
inconspicuous,adj. 不显眼的；不引人注意的；（花）不显著的
indistinct,adj. 模糊的，不清楚的；朦胧的；难以清楚辨认的
latent,adj. 潜在的；潜伏的；隐藏的
laughable,adj. 有趣的，可笑的
lax,"n. 松元音；泻肚
adj. 松的；松懈的；腹泻的
adj. 不严格的；不严谨的"
matching,"adj. 相配的；一致的；相称的
n. 匹配
v. 使…相配（match的ing形式）"
monotone,"n. 单调；单音调
adj. 单调的
vt. 单调地读"
ornate,adj. 华丽的；装饰的；（文体）绚丽的
phony,"n. 假冒者；赝品
adj. 假的，欺骗的"
powdery,adj. 粉的；粉状的；布满粉状物的
seamless,adj. 无缝的；无缝合线的；无伤痕的
shaggy,adj. 蓬松的；表面粗糙的；毛发粗浓杂乱的
simplistic,adj. 过分简单化的；过分单纯化的
slick,"n.  平滑器； 修光工具；通俗杂志
adj. 光滑的；华而不实的；聪明的；熟练的；老套的
adv. 灵活地；聪明地
vt. 使光滑；使漂亮
vi. 打扮整洁"
unambiguous,adj. 不含糊的；清楚的；明白的
opportune,adj. 适当的；恰好的；合时宜的
predictive,adj. 预言性的；成为前兆的
presumable,adj. 可能有的；可推测的
primal,"n. 被压抑童年情绪的释放
adj. 原始的；主要的；最初的
vt. 释放（被压抑的童年情绪）"
repetitive,adj. 重复的
presumable,adj. 可能有的；可推测的
primal,"n. 被压抑童年情绪的释放
adj. 原始的；主要的；最初的
vt. 释放（被压抑的童年情绪）"
repetitive,adj. 重复的
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
unbeaten,adj. 未被击败的；未被践踏的；未搅打的
unforeseen,adj. 未预见到的，无法预料的
unparalleled,adj. 无比的；无双的；空前未有的
accommodating,"v. 使适应；调节（accommodate的ing形式）；调解
adj. 随和的；乐于助人的；肯通融的"
assured,"n. 被保险人
v. 保证；确实（assure的过去分词）
adj. 确定的；自信的"
benevolent,adj. 仁慈的；慈善的；亲切的
bland,"adj. 乏味的；温和的；冷漠的
vt. 使…变得淡而无味；除掉…的特性
vi. 变得平淡无奇；丧失特性"
boyish,adj. 男孩的；孩子气的；（女孩）像男孩的
calculating,"adj. 计算的；深谋远虑的；审慎的
v. 计算（calculate的ing形式）"
cardinal,"adj. 主要的，基本的；深红色的
n. 红衣主教；枢机主教；鲜红色；(北美)主红雀"
delinquent,"n. 流氓；行为不良的人；失职者
adj. 有过失的；怠忽的；拖欠债务的"
devout,adj. 虔诚的；衷心的
egotistic,adj. 自我本位的；自负的；自高自大的
flattering,adj. 奉承的；谄媚的
genial,adj. 亲切的，友好的；和蔼的；适宜的
heartless,adj. 无情的；无勇气的
incompetent,"n. 无能力者
adj. 无能力的，不胜任的；不合适的；不适当的；无力的"
invincible,adj. 无敌的；不能征服的
neglectful,adj. 疏忽的；忽略的；不小心的
politic,"adj. 精明的；有策略的；狡猾的；审慎的；政治的
vi. 拉选票"
quarrelsome,adj. 喜欢吵架的；好争论的
receptive,adj. 善于接受的；能容纳的
relentless,adj. 无情的；残酷的；不间断的
secretive,adj. 秘密的；偷偷摸摸的；促进分泌的
sheepish,adj. 羞怯的；懦弱的
sterling,"n. 英国货币；标准纯银
adj. 纯正的；英币的；纯银制的"
stingy,adj. 吝啬的，小气的；有刺的；缺乏的
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
uncompromising,adj. 不妥协的，不让步的；坚定的
uncontrolled,adj. 不受控制的
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
accountable,adj. 有责任的；有解释义务的；可解释的
apologetic,adj. 道歉的；赔罪的
communal,adj. 公共的；公社的
hierarchical,adj. 分层的；等级体系的
imperialist,"n. 帝国主义者
adj. 帝国主义的"
lawmaking,n. 立法
managerial,adj.  管理的；经理的
nomadic,adj. 游牧的；流浪的；游动的
provisional,"adj. 临时的，暂时的；暂定的
n. 临时邮票"
regulatory,adj. 管理的；控制的；调整的
retiring,"v. 退休（retire的ing形式）
adj. 退休的；不善社交的；过隐居生活的"
secretarial,adj. 秘书的；书记的；部长的
sparing,"n. 抽出；宽恕；免去；给予（spare的ing形式）
adj. 节约的；贫乏的；保守的"
tactical,adj. 战术的；策略的；善于策略的
unauthorized,adj. 非法的；未被授权的；独断的
unprofitable,adj. 无益的，没有用的；没有利润的
visionary,"n. 空想家；梦想者；有眼力的人
adj. 梦想的；幻影的"
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
warlike,adj. 战争的；好战的；有战争危险的
flowering,"n. 开花；饰以花
adj. 开花的"
freshwater,"n. 淡水；内河；湖水
adj. 淡水的；无经验的"
overgrown,"adj. 蔓生的；生长过快的
v. 生长过度（overgrow的过去分词）"
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
untouched,adj. 未受影响的；未改变的；未触动过的；不受感动的
wooded,"adj. 树木繁茂的；森林多的
v. 植林于（wood的过去式）"
zoological,"adj. 动物的，动物学的
n. 动物园"
complementary,adj. 补足的，补充的
complimentary,adj. 赠送的；称赞的；问候的
cumulative,adj. 累积的
facile,"adj. （言语或理论）轻率的，未经深思熟虑的
adj. 温和的；灵巧的；易做到的"
fateful,adj. 重大的；决定性的；宿命的
feasible,adj. 可行的；可能的；可实行的
imminent,adj. 即将来临的；迫近的
invariable,"n. 常数；不变的东西
adj. 不变的；常数的"
manageable,adj. 易管理的；易控制的；易办的
minimal,adj. 最低的；最小限度的
momentous,adj. 重要的；重大的
mundane,adj. 世俗的，平凡的；世界的，宇宙的
peripheral,"adj. 外围的；次要的；（神经）末梢区域的
n. 外部设备"
pertinent,adj. 相关的，相干的；中肯的；切题的
practicable,adj. 可用的；行得通的；可实行的
praiseworthy,adj. 值得称赞的；可嘉的
superfluous,adj. 多余的；不必要的；奢侈的
unorthodox,adj. 非正统的；异端的；异教的
unthinkable,adj. 不能想象的；过分的
usable,adj. 可用的；合用的（等于useable）
wee,"n. 一点点
adj. 极小的；很早的"
weighty,adj. 重的；重大的；严肃的
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
counterclockwise,"adj. 反时针方向的
adv. 反时针方向"
afresh,adv. 重新；再度
expressly,adv. 清楚地，明显地；特别地，专门地
gingerly,"adj. 谨慎的；轻手轻脚的；慎重的
adv. 小心翼翼地；慎重地"
minutely,"adv. 详细地；精密地
adj. 每分钟的"
sorely,adv. 疼痛地；非常；剧烈地
aye,"n. 赞成票；投赞成票者
adv. 赞成"
theoretically,adv. 理论地；理论上
gee,"n. 马；字母G；一千美元（美俚）
v. 向右转
int. 向右！前进！快！（驾驭马牛等的吆喝声）"
thee,pron. 你（古英语thou的宾格）
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
accrue,"vt. 获得；积累
vi. 产生；自然增长或利益增加"
financier,"vi. 欺骗；从事欺骗性金融活动
vt. 对…提供资金
n. 金融家；投资家"
plaza,n. 广场；市场，购物中心
invest in ...,
accomplice,n. 同谋者， 共犯
acquit,vt. 无罪释放；表现；脱卸义务和责任；清偿
aria,n. 咏叹调，独唱曲
alleviate,vt. 减轻，缓和
wrath,n. 愤怒；激怒
annul,vt. 取消；废除；宣告无效
ferocity,n. 凶猛；残忍；暴行
pharmaceutical,"n. 药物
adj. 制药（学）的"
burgeon,"vt. 萌芽, 发芽
n. 芽, 嫩枝
vi. 萌芽, 发芽"
